,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2018-03,20.63M,,20.63M,125.69M,,5.235M,4.051M,134.98M,16.24M,7.974M,209.77M,,,,,,,,14.94M,1.262B,1.277B,,,3.638M,11.93M,14.26B,14.47B,,2018-03,,77.86M,77.43M,155.28M,,,,,155.28M,6.594B,5.404M,6.600B,112.00M,112.00M,,29.68M,,309.51M,7.021B,7.176B,,2018-03,9.625B,,,7.268B,,2018-03
2017-12,6.898M,,6.898M,119.53M,,5.267M,3.919M,128.72M,12.85M,8.179M,163.32M,,,,,,,,14.97M,1.195B,1.210B,,,4.366M,10.75M,13.89B,14.06B,,2017-12,,72.52M,97.80M,170.32M,,,,,170.32M,6.111B,5.326M,6.117B,105.28M,105.28M,,19.21M,,275.06M,6.497B,6.667B,,2017-12,9.624B,,0.00,7.372B,,2017-12
2017-09,3.199M,,3.199M,113.72M,,5.298M,,119.02M,13.27M,23.70M,162.06M,,,,,,,,14.99M,1.165B,1.180B,,,5.094M,9.364M,13.54B,13.70B,,2017-09,,82.56M,70.49M,153.05M,,,,,153.05M,5.787B,5.249M,5.792B,103.52M,103.52M,,19.50M,,278.64M,6.174B,6.327B,,2017-09,9.488B,,,7.354B,,2017-09
2017-06,10.94M,,10.94M,107.15M,,5.329M,10.73M,123.21M,14.39M,8.55M,169.56M,,,,,,,,15.00M,1.180B,1.195B,,,5.823M,8.818M,13.40B,13.57B,,2017-06,,74.43M,99.44M,173.88M,,,,,173.88M,5.988B,5.171M,5.993B,113.18M,113.18M,,19.65M,,272.79M,6.379B,6.553B,,2017-06,9.047B,,,7.001B,,2017-06
2017-03,27.60M,,27.60M,103.76M,,5.36M,10.64M,119.76M,16.91M,25.33M,201.38M,,,,,,,,15.04M,1.108B,1.123B,,,6.563M,7.056M,13.22B,13.42B,,2017-03,,71.24M,73.29M,144.52M,,,,,144.52M,5.424B,5.094M,5.429B,110.47M,110.47M,,19.78M,408.75M,275.00M,6.223B,6.367B,,2017-03,8.988B,,,7.035B,,2017-03
2016-12,9.42M,,9.42M,104.58M,,5.39M,,109.97M,14.41M,4.246M,164.62M,,,,,,,,15.07M,1.082B,1.097B,,,7.303M,6.344M,12.99B,13.15B,,2016-12,,72.18M,104.21M,176.39M,,,,,176.39M,5.840B,5.016M,5.845B,74.10M,74.10M,,20.25M,,270.71M,6.189B,6.366B,,2016-12,8.624B,395.38M,,6.767B,,2016-12
2016-09,29.80M,,29.80M,94.50M,,5.419M,,99.92M,14.21M,11.59M,180.33M,,,,,,,,15.16M,1.088B,1.103B,,,8.043M,6.426M,12.36B,12.54B,,2016-09,,75.93M,76.38M,152.31M,,,,,152.31M,5.251B,4.939M,5.256B,86.48M,86.48M,,15.77M,,271.53M,5.614B,5.766B,,2016-09,8.540B,395.38M,,6.755B,,2016-09
2016-06,20.44M,,20.44M,87.17M,,5.448M,,92.61M,13.69M,21.07M,157.82M,,,,,,,,15.22M,1.063B,1.078B,,,8.734M,6.461M,12.09B,12.25B,,2016-06,,69.01M,115.03M,184.05M,,,,,184.05M,4.948B,4.862M,4.952B,29.74M,29.74M,,19.44M,,263.10M,5.245B,5.429B,,2016-06,8.501B,395.38M,,6.801B,,2016-06
2016-03,8.695M,,8.695M,82.99M,,5.477M,,88.47M,16.00M,8.247M,123.19M,,,,,,,,15.28M,1.017B,1.033B,,,9.473M,5.256M,11.91B,12.04B,,2016-03,,63.83M,74.98M,138.81M,,,,,138.81M,5.105B,4.784M,5.110B,31.92M,31.92M,,21.49M,,256.00M,5.398B,5.537B,,2016-03,8.095B,395.38M,,6.479B,,2016-03
2015-12,40.29M,,40.29M,81.68M,,17.90M,,99.58M,14.26M,4.179M,168.08M,,,,,,,,15.32M,1.034B,1.050B,,,10.23M,8.217M,11.68B,11.85B,,2015-12,,63.70M,102.47M,166.17M,,,,,166.17M,4.821B,4.707M,4.826B,42.84M,42.84M,,21.74M,,257.33M,5.126B,5.292B,,2015-12,8.062B,395.38M,,6.532B,,2015-12
2015-09,7.074M,,7.074M,74.98M,,18.04M,,93.02M,13.29M,17.44M,144.17M,,,,,,,,15.37M,1.044B,1.059B,,,32.41M,7.105M,11.59B,11.74B,,2015-09,,67.02M,78.04M,145.06M,,,,,145.06M,5.252B,4.629M,5.256B,26.31M,26.31M,,24.19M,0.00,247.18M,5.530B,5.675B,,2015-09,7.503B,395.38M,,6.040B,,2015-09
2015-06,18.74M,,18.74M,70.32M,,18.14M,,88.46M,12.99M,8.083M,137.24M,,,,,,,,15.39M,1.052B,1.067B,,,34.19M,9.089M,11.59B,11.73B,,2015-06,,61.52M,98.40M,159.91M,,,,,159.91M,5.306B,4.552M,5.310B,29.90M,29.90M,,24.27M,0.00,243.96M,5.584B,5.744B,,2015-06,7.349B,395.38M,,5.960B,,2015-06
2015-03,12.19M,,12.19M,66.83M,,18.24M,,85.07M,15.17M,18.30M,140.12M,,,,,,,,15.42M,1.057B,1.072B,,,25.70M,10.31M,10.95B,11.09B,,2015-03,,55.11M,67.95M,123.06M,,,,,123.06M,5.025B,4.475M,5.030B,30.93M,30.93M,,24.43M,0.00,234.19M,5.295B,5.418B,,2015-03,6.965B,395.38M,,5.650B,,2015-03
2014-12,3.852M,,3.852M,64.39M,,18.34M,,82.73M,14.14M,36.54M,152.10M,,,,,,,,15.47M,1.040B,1.055B,,,27.44M,11.19M,10.86B,11.01B,,2014-12,,55.31M,111.65M,166.96M,,,,,166.96M,4.931B,4.397M,4.935B,36.12M,36.12M,,27.70M,6.75M,226.34M,5.205B,5.372B,,2014-12,6.860B,395.38M,,5.613B,,2014-12
2014-09,16.94M,,16.94M,47.85M,0.00,18.44M,,66.29M,12.59M,27.34M,138.92M,,,,,,,,15.54M,1.060B,1.075B,,,29.32M,10.10M,10.80B,10.94B,,2014-09,,43.29M,78.27M,121.56M,,,,,121.56M,4.762B,,4.762B,31.72M,31.72M,,28.60M,226.75M,207.19M,5.228B,5.349B,,2014-09,6.757B,395.38M,,5.562B,,2014-09
2014-06,8.908M,,8.908M,43.75M,0.00,18.54M,,62.29M,12.74M,5.28M,98.82M,,,,,,,,15.56M,1.048B,1.064B,,,28.58M,9.785M,10.71B,10.81B,,2014-06,,44.35M,98.97M,143.33M,,,,,143.33M,4.593B,,4.593B,24.00M,24.00M,,28.71M,6.75M,180.70M,4.805B,4.948B,,2014-06,6.966B,609.36M,,5.836B,,2014-06
2014-03,14.14M,,14.14M,40.33M,0.00,18.98M,,59.31M,14.02M,0.46M,100.08M,,,,,,,,15.60M,986.06M,1.002B,,,26.91M,11.05M,10.38B,10.48B,,2014-03,,41.54M,70.34M,111.88M,,,,,111.88M,4.818B,,4.818B,28.21M,28.21M,,29.13M,6.75M,161.01M,5.014B,5.126B,,2014-03,6.384B,609.36M,,5.326B,,2014-03
2013-12,10.26M,,10.26M,39.32M,48.84M,19.08M,,107.24M,11.67M,10.16M,151.36M,,,,,,,,15.66M,935.46M,951.12M,,,28.47M,8.91M,9.773B,9.924B,,2013-12,,41.45M,102.51M,143.96M,,,,,143.96M,4.167B,0.00,4.167B,31.14M,31.14M,,35.91M,6.75M,154.39M,4.359B,4.503B,,2013-12,6.377B,609.36M,,5.385B,,2013-12
2013-09,9.96M,,9.96M,32.17M,48.74M,27.96M,,108.86M,11.32M,7.344M,154.76M,,,,,,,,15.74M,955.89M,971.63M,,,43.43M,7.299M,9.726B,9.881B,,2013-09,,39.36M,69.30M,108.66M,,,,,108.66M,4.549B,,4.549B,26.01M,26.01M,,36.08M,6.75M,143.73M,4.726B,4.835B,,2013-09,5.943B,609.36M,,5.010B,,2013-09
2013-06,22.58M,,22.58M,27.51M,48.89M,28.03M,,104.42M,13.02M,14.45M,171.27M,,,,,,,,15.83M,972.05M,987.88M,,,36.71M,5.77M,9.244B,9.416B,,2013-06,,39.28M,77.41M,116.69M,,,,,116.69M,4.048B,,4.048B,16.81M,16.81M,,36.21M,6.75M,122.09M,4.194B,4.310B,,2013-06,5.939B,609.36M,,5.069B,,2013-06
2013-03,4.159M,,4.159M,24.59M,44.81M,28.06M,,97.46M,12.15M,37.35M,161.62M,,,,,,,,15.98M,848.67M,864.64M,,,38.01M,6.915M,8.602B,8.764B,,2013-03,,39.11M,51.72M,90.84M,,,,,90.84M,3.401B,,3.401B,15.09M,15.09M,,13.80M,6.75M,108.80M,3.531B,3.622B,,2013-03,5.935B,609.36M,,5.128B,,2013-03
2012-12,5.248M,,5.248M,21.66M,35.13M,28.08M,,84.86M,9.489M,1.805M,120.63M,,,,,,,,16.94M,242.12M,259.07M,,,25.40M,1.333M,5.309B,5.429B,,2012-12,,23.74M,70.43M,94.17M,,,,,94.17M,2.870B,,2.870B,20.93M,20.93M,,0.00,0.00,31.60M,2.922B,3.017B,,2012-12,3.181B,609.36M,,2.413B,,2012-12
2012-09,2.794M,,2.794M,17.19M,,,,17.19M,,,19.98M,0.00,1.914B,3.715B,,5.629B,-901.50M,4.728B,17.01M,,17.01M,,,,271.76M,5.016B,5.036B,,2012-09,38.03M,61.73M,,61.73M,,,,,61.73M,2.492B,,2.492B,,,,,,39.50M,2.532B,2.594B,,2012-09,3.179B,609.36M,,2.443B,,2012-09
2012-06,6.064M,,6.064M,17.60M,,,,17.60M,,,23.66M,0.00,1.808B,3.347B,,5.155B,-870.16M,4.285B,17.09M,147.90M,164.99M,7.341M,,21.70M,64.64M,4.553B,4.577B,,2012-06,17.59M,40.58M,41.91M,82.49M,,,,,82.49M,1.990B,,1.990B,,,,,,30.92M,2.021B,2.104B,,2012-06,3.177B,609.36M,,2.473B,,2012-06
2012-03,5.194M,,5.194M,17.57M,,,,17.57M,,,22.76M,0.00,1.748B,3.226B,,4.973B,-844.00M,4.129B,17.19M,149.36M,166.55M,4.704M,,22.29M,43.52M,4.376B,4.398B,,2012-03,13.91M,36.66M,20.51M,57.17M,,,,,57.17M,1.850B,,1.850B,,,,,,30.44M,1.880B,1.937B,,2012-03,3.139B,574.93M,,2.461B,,2012-03
2011-12,4.165M,,4.165M,15.38M,2.178M,28.18M,,45.73M,9.833M,0.05M,61.94M,,,,,,,,17.21M,153.34M,170.54M,,,26.10M,2.956M,4.357B,4.419B,,2011-12,,21.40M,58.77M,80.18M,,,,,80.18M,2.055B,,2.055B,18.15M,18.15M,,,,11.03M,2.084B,2.165B,,2011-12,2.901B,337.79M,,2.255B,,2011-12
2011-09,5.543M,,5.543M,12.06M,,,,12.06M,,,17.61M,0.00,1.690B,3.111B,,4.801B,-786.86M,4.014B,17.21M,150.12M,167.33M,,,23.56M,44.12M,4.257B,4.275B,,2011-09,16.59M,37.95M,17.95M,55.90M,,,,,55.90M,1.915B,,1.915B,,,,,,28.58M,1.943B,1.999B,,2011-09,2.898B,337.79M,,2.276B,,2011-09
2011-06,155.67M,,155.67M,10.90M,,,,10.90M,,,166.57M,0.00,1.568B,2.819B,,4.388B,-761.08M,3.627B,17.21M,106.55M,123.76M,,,23.81M,41.28M,3.824B,3.991B,,2011-06,19.02M,39.42M,32.94M,72.36M,,,,,72.36M,1.810B,,1.810B,,,,,,18.09M,1.828B,1.900B,,2011-06,2.692B,337.79M,,2.091B,,2011-06
2011-03,129.71M,,129.71M,10.51M,,,,10.51M,,,140.21M,0.00,1.548B,2.682B,,4.230B,-736.77M,3.493B,17.21M,58.36M,75.56M,,,13.82M,39.08M,3.630B,3.771B,,2011-03,11.27M,31.63M,12.53M,44.16M,,,,,44.16M,1.60B,,1.60B,,,,,,16.25M,1.616B,1.660B,,2011-03,2.690B,337.79M,,2.110B,,2011-03
2010-12,17.61M,,17.61M,11.30M,,,,11.30M,,,28.91M,0.00,1.520B,2.592B,,4.113B,-711.62M,3.401B,17.21M,26.22M,43.43M,,,14.20M,39.37M,3.507B,3.536B,,2010-12,13.78M,32.83M,33.24M,66.07M,,,,,66.07M,1.60B,,1.60B,,,,,,22.56M,1.623B,1.689B,,2010-12,2.404B,337.79M,,1.847B,,2010-12
2010-09,155.58M,,155.58M,10.40M,,,,10.40M,,,165.98M,0.00,1.354B,2.367B,9.639M,3.730B,-690.51M,3.040B,17.21M,,17.21M,,,,62.63M,3.120B,3.286B,,2010-09,26.85M,44.80M,,44.80M,,,,,44.80M,1.60B,,1.60B,,,,,,13.75M,1.614B,1.659B,,2010-09,2.167B,337.79M,,1.627B,,2010-09
2010-06,0.872M,,0.872M,10.12M,,,,10.12M,,,11.00M,0.00,1.329B,2.393B,7.75M,3.730B,-673.98M,3.056B,17.21M,,17.21M,22.15M,,14.95M,14.24M,3.132B,3.143B,,2010-06,12.32M,29.35M,26.05M,55.40M,,,,11.76M,67.16M,1.627B,,1.627B,,,,,,,1.627B,1.694B,,2010-06,1.969B,337.79M,,1.449B,,2010-06
2010-03,0.849M,,0.849M,9.517M,,,,9.517M,,,10.37M,0.00,1.177B,2.286B,10.16M,3.473B,-651.84M,2.821B,17.21M,,17.21M,,,,56.64M,2.895B,2.906B,,2010-03,19.40M,36.38M,,36.38M,39.90M,39.90M,39.90M,11.98M,88.26M,1.35B,,1.35B,,,,,,,1.35B,1.438B,,2010-03,1.967B,337.79M,,1.467B,,2010-03
2009-12,10.03M,,10.03M,10.40M,,,,10.40M,,,20.42M,0.00,1.169B,2.270B,8.266M,3.448B,-630.84M,2.817B,17.21M,,17.21M,,,,60.28M,2.894B,2.915B,,2009-12,38.44M,55.37M,,55.37M,,,,,55.37M,1.355B,,1.355B,,,,,,16.81M,1.371B,1.427B,,2009-12,1.967B,337.79M,,1.488B,,2009-12
2009-09,20.04M,,20.04M,9.582M,,,,9.582M,,,29.62M,0.00,1.157B,2.248B,8.16M,3.413B,-612.62M,2.801B,17.21M,,17.21M,,,,54.04M,2.872B,2.901B,,2009-09,,37.61M,,37.61M,,,,11.36M,48.97M,1.35B,,1.35B,,,,,,,1.35B,1.399B,,2009-09,1.966B,337.79M,,1.502B,,2009-09
2009-06,35.82M,,35.82M,10.42M,,,,10.42M,,,46.24M,0.00,1.156B,2.245B,7.007M,3.409B,-593.62M,2.815B,17.21M,,17.21M,,,,53.79M,2.886B,2.933B,,2009-06,36.56M,53.42M,,53.42M,,,,10.30M,63.72M,1.35B,,1.35B,,,,,,,1.35B,1.414B,,2009-06,1.965B,337.79M,,1.519B,,2009-06
2009-03,10.44M,,10.44M,10.12M,,,,10.12M,,,20.56M,0.00,1.158B,2.248B,7.725M,3.413B,-573.04M,2.840B,17.21M,,17.21M,,,,53.49M,2.911B,2.932B,,2009-03,17.86M,34.70M,,34.70M,,,,11.48M,46.19M,1.35B,,1.35B,,,,,,,1.35B,1.396B,,2009-03,1.964B,337.79M,,1.535B,,2009-03
2008-12,46.82M,,46.82M,10.62M,,,,10.62M,,,57.44M,0.00,1.158B,2.251B,6.66M,3.416B,-553.42M,2.862B,17.21M,,17.21M,,,,,2.879B,2.994B,,2008-12,,54.82M,,54.82M,,,,,54.82M,1.37B,,1.37B,,,,,,,1.37B,1.440B,,2008-12,1.962B,337.79M,,1.555B,,2008-12
2008-09,112.56M,,112.56M,8.858M,,,,8.858M,,,121.42M,0.00,1.159B,2.249B,10.08M,3.418B,-530.59M,2.887B,17.21M,,17.21M,,,,,2.904B,3.090B,,2008-09,,38.65M,,38.65M,,,,,38.65M,1.47B,,1.47B,,,,,,,1.47B,1.521B,,2008-09,1.961B,337.79M,,1.570B,,2008-09
2008-06,39.37M,,39.37M,9.13M,,,,9.13M,,,48.50M,0.00,1.162B,2.251B,13.89M,3.427B,-512.08M,2.914B,17.21M,,17.21M,,,,,2.932B,3.043B,,2008-06,,53.38M,,53.38M,,,,,53.38M,1.47B,,1.47B,,,,,,,1.47B,1.535B,,2008-06,1.886B,337.79M,,1.508B,,2008-06
2008-03,13.34M,,13.34M,8.312M,,,,8.312M,,,21.66M,,,,,3.458B,-492.07M,2.966B,17.21M,,17.21M,,,,,2.983B,3.039B,,2008-03,,36.45M,,36.45M,,,,,36.45M,1.47B,,1.47B,,,,,,,1.47B,1.518B,,2008-03,1.884B,337.79M,,1.521B,,2008-03
2007-12,193.10M,,193.10M,7.142M,,,,7.142M,,,200.24M,0.00,1.111B,2.128B,56.16M,3.295B,-470.70M,2.824B,17.21M,,17.21M,,,,,2.841B,3.077B,,2007-12,,53.96M,,53.96M,,,,,53.96M,1.47B,,1.47B,,,,,,,1.47B,1.539B,,2007-12,1.883B,337.79M,,1.538B,,2007-12
2007-09,266.64M,,266.64M,6.098M,,,,6.098M,,,272.74M,,,,,3.196B,-450.22M,2.746B,17.21M,,17.21M,,,,,2.763B,3.076B,,2007-09,,29.24M,,29.24M,,,,,29.24M,1.47B,,1.47B,,,,,,,1.47B,1.525B,,2007-09,1.882B,337.79M,,1.551B,,2007-09
2007-06,8.914M,,8.914M,6.019M,,,,6.019M,,,14.93M,,,,,2.913B,-432.31M,2.480B,17.21M,,17.21M,,,,,2.498B,2.545B,,2007-06,,26.23M,,26.23M,,,,,26.23M,930.00M,,930.00M,,,,,,,930.00M,981.88M,,2007-06,1.881B,337.79M,,1.563B,,2007-06
2007-03,5.399M,,5.399M,5.639M,,,,5.639M,,,11.04M,,,,,2.925B,-414.09M,2.511B,17.21M,,17.21M,,,,,2.528B,2.575B,,2007-03,,16.19M,,16.19M,,,,,16.19M,965.80M,,965.80M,,,,,,,965.80M,1.006B,,2007-03,1.879B,337.79M,,1.569B,,2007-03
2006-12,10.57M,,10.57M,,,,,,,,10.57M,,,,,,,,,,,,,,,,2.547B,,2006-12,,,,,,,,,,920.00M,,920.00M,,,,,,,920.00M,970.52M,,2006-12,,,,1.576B,,2006-12
2006-09,113.37M,,113.37M,5.27M,,,,5.27M,,,118.64M,,,,,2.377B,-381.05M,1.996B,17.21M,,17.21M,,,,,2.013B,2.160B,,2006-09,,20.48M,,20.48M,,,,,20.48M,920.00M,,920.00M,,,,,,,920.00M,962.43M,,2006-09,1.490B,123.80M,,1.198B,,2006-09
2006-06,10.75M,,10.75M,4.814M,,,,4.814M,,,15.56M,,,,,2.283B,-366.05M,1.917B,17.21M,,17.21M,,,,,1.934B,1.976B,,2006-06,,19.88M,,19.88M,,,,,19.88M,837.30M,,837.30M,,,,,,,837.30M,878.30M,,2006-06,1.381B,123.80M,,1.097B,,2006-06
2006-03,4.107M,,4.107M,4.593M,,,,4.593M,,,8.70M,,,,,2.231B,-353.40M,1.877B,17.21M,,17.21M,,,,,1.894B,1.930B,,2006-03,,28.21M,,28.21M,,,,,28.21M,788.60M,,788.60M,,,,,,,788.60M,826.75M,,2006-03,1.379B,123.80M,,1.103B,,2006-03
2005-12,65.70M,,65.70M,,,,,,,,65.70M,,,,,,,,,,,,,,,,1.921B,,2005-12,,,,,,,,,,891.70M,,891.70M,,,,,,,891.70M,931.77M,,2005-12,,,,989.21M,,2005-12
2005-09,2.244M,,2.244M,3.587M,,,,3.587M,,,5.831M,0.00,722.43M,1.304B,51.60M,2.078B,-329.76M,1.749B,17.21M,,17.21M,,,,,1.766B,1.799B,,2005-09,,42.30M,,42.30M,,,,,42.30M,755.00M,,755.00M,,,,,,,755.00M,806.46M,,2005-09,1.258B,123.80M,,992.25M,,2005-09
2005-06,1.948M,,1.948M,3.539M,,,,3.539M,,,5.487M,,,,,1.843B,-320.03M,1.523B,17.21M,,17.21M,,,,,1.540B,1.572B,,2005-06,,14.32M,,14.32M,,,,,14.32M,634.80M,,634.80M,,,,,,,634.80M,666.00M,,2005-06,1.164B,123.80M,,905.58M,,2005-06
2005-03,11.08M,,11.08M,3.512M,,,,3.512M,,,14.59M,,,,,1.779B,-309.49M,1.469B,17.21M,,17.21M,,,,,1.486B,1.523B,,2005-03,,23.89M,,23.89M,,,,,23.89M,583.10M,,583.10M,,,,,,,583.10M,614.08M,,2005-03,1.163B,123.80M,,909.14M,,2005-03
2004-12,2.141M,,2.141M,,,,,,,,2.141M,,,,,,,,,,,,,,,,1.442B,,2004-12,,,,,,,,,,503.60M,,503.60M,,,,,,,503.60M,528.58M,,2004-12,,,,913.74M,,2004-12
2004-09,8.483M,,8.483M,2.614M,,,,2.614M,,,11.10M,,,,,1.691B,-293.19M,1.398B,17.21M,,17.21M,,,,,1.415B,1.438B,,2004-09,,21.00M,,21.00M,,,,,21.00M,523.40M,,523.40M,,,,,,,523.40M,549.71M,,2004-09,1.135B,96.43M,,887.93M,,2004-09
2004-06,15.04M,,15.04M,2.924M,,,,2.924M,,,17.96M,,,,,1.665B,-286.90M,1.378B,17.21M,,17.21M,,,,,1.395B,1.425B,,2004-06,,16.48M,,16.48M,,,,,16.48M,480.00M,,480.00M,,,,,,,480.00M,501.28M,,2004-06,1.168B,129.44M,,923.58M,,2004-06
2004-03,5.55M,,5.55M,3.216M,,,,3.216M,,,8.766M,,,,,1.633B,-279.81M,1.353B,17.21M,,17.21M,,,,,1.370B,1.433B,,2004-03,,18.49M,,18.49M,,,,,18.49M,513.20M,,513.20M,,,,,,,513.20M,537.88M,,2004-03,1.137B,99.37M,,895.46M,,2004-03
2003-12,4.837M,,4.837M,,,,,,,,4.837M,,,,,1.321B,,1.321B,,,17.21M,,,,,1.338B,1.360B,,2003-12,,,,,,,,,,506.40M,,506.40M,,,,,,,506.40M,532.49M,,2003-12,969.03M,,,827.77M,,2003-12
