,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2009-09,90.58M,-0.015M,,,-0.015M,,,22.45M,22.45M,0.994M,,,-56.24M,2.06M,-15.40M,,,,-13.34M,1.315M,42.02M,2009-09,-0.86M,-6.365M,-6.365M,-0.86M,,-0.033M,,-7.258M,2009-09,0.00,0.00,0.00,0.00,,0.00,,,,-44.54M,-6.063M,0.066M,-50.54M,,2009-09,-15.78M,,20.04M,,2009-09,0.00,0.00,,,2009-09,AOR,Restated
2009-06,-29.97M,0.00,,,0.00,,,22.77M,22.77M,1.342M,,,58.58M,-1.051M,17.54M,,,,16.49M,0.582M,71.19M,2009-06,2.439M,5.272M,7.711M,,,-3.032M,,4.679M,2009-06,0.00,,0.00,,,,,,,-44.46M,-6.064M,0.043M,-50.48M,,2009-06,25.38M,,35.82M,,2009-06,,0.00,,,2009-06,AOR,Restated
2009-03,29.97M,,,,,,,22.76M,22.76M,1.397M,,,1.397M,3.997M,-23.00M,,,,-19.00M,0.492M,35.62M,2009-03,-2.439M,1.093M,-1.346M,,,,,-1.346M,2009-03,-20.00M,0.00,-20.00M,,,,,,,-44.36M,-6.063M,-0.224M,-70.65M,,2009-03,-36.38M,,10.44M,,2009-03,,0.00,,,2009-03,AOR,Restated
2008-12,24.02M,31.46M,,,31.46M,,,21.64M,21.64M,1.083M,,,2.396M,-2.265M,19.89M,,,,17.62M,-33.66M,71.91M,2008-12,0.00,27.80M,27.80M,0.00,,182.14M,,12.66M,2008-12,-100.00M,,-100.00M,-0.072M,,-0.072M,,,,-169.66M,-6.063M,125.47M,-150.32M,,2008-12,-65.75M,,46.82M,,2008-12,-0.072M,,,,2008-12,AOR,Restated
2008-09,86.28M,0.00,,,0.00,,,22.66M,22.66M,1.113M,,,-82.32M,1.567M,-13.94M,,,,-12.37M,33.66M,45.06M,2008-09,0.00,,,0.00,,1.908M,,1.908M,2008-09,0.00,,0.00,74.50M,,74.50M,,,,83.31M,-6.063M,-125.52M,26.23M,,2008-09,73.19M,,112.56M,,2008-09,74.50M,,,,2008-09,AOR,Restated
2008-06,-30.07M,0.203M,,,0.203M,,,22.73M,22.73M,1.71M,,,85.14M,-0.061M,17.83M,,,,17.77M,-17.55M,81.08M,2008-06,180.66M,-0.808M,179.85M,0.00,,-184.05M,,-4.199M,2008-06,0.00,,0.00,,,,,,,-41.76M,-6.064M,-3.03M,-50.85M,,2008-06,26.03M,,39.37M,,2008-06,,,,,2008-06,AOR,Restated
2008-03,30.07M,-0.439M,,,-0.439M,,,22.08M,22.08M,1.143M,,,1.143M,-0.171M,-22.11M,,,,-22.28M,17.55M,48.11M,2008-03,-181.05M,0.808M,-179.85M,-0.397M,,,,-180.25M,2008-03,0.00,,0.00,,,,,,,-41.55M,-6.063M,-0.008M,-47.62M,,2008-03,-179.76M,,13.34M,,2008-03,,,,,2008-03,AOR,Restated
2007-12,29.71M,0.00,,,0.00,20.95M,0.832M,21.78M,21.78M,,,,0.138M,-0.777M,22.45M,,,,21.67M,26.02M,99.31M,2007-12,-0.678M,,,-0.678M,,-124.90M,0.00,-125.57M,2007-12,-0.04M,,-0.04M,0.088M,,0.088M,,,0.009M,-41.28M,-6.063M,,-47.28M,,2007-12,-73.54M,,193.10M,,2007-12,0.088M,-0.04M,,,2007-12,AOR,Restated
2007-09,30.00M,-1.835M,,,-1.835M,55.74M,3.025M,22.33M,22.33M,,,,-66.18M,-0.262M,-3.103M,,,,-3.365M,65.64M,46.60M,2007-09,0.00,,,0.00,,-276.25M,-1.493M,-277.74M,2007-09,534.44M,,534.44M,0.02M,,0.02M,,,,-39.52M,-6.063M,,488.88M,,2007-09,257.73M,,266.64M,,2007-09,0.02M,816.84M,,,2007-09,AOR,Restated
2007-06,31.50M,,,,,,,18.37M,18.37M,-0.823M,,,57.14M,0.961M,10.46M,,,,11.42M,0.293M,117.91M,2007-06,60.86M,,60.86M,0.00,,-96.75M,1.493M,-34.39M,2007-06,-35.80M,,-35.80M,0.405M,,0.405M,-0.009M,,-0.009M,-38.53M,-6.064M,,-80.00M,,2007-06,3.515M,,8.914M,,2007-06,0.396M,65.50M,,,2007-06,AOR,Restated
2007-03,34.53M,,,,,,,18.07M,18.07M,0.823M,,,9.035M,0.029M,-8.133M,,,,-8.104M,,54.35M,2007-03,-61.18M,,-60.86M,-0.319M,,2.917M,-2.648M,-60.92M,2007-03,45.80M,,45.80M,0.303M,,0.303M,0.009M,,0.009M,-38.33M,-6.393M,,1.39M,,2007-03,-5.174M,,5.399M,,2007-03,0.312M,69.90M,,,2007-03,AOR,Restated
2006-12,31.14M,,,,,,,18.94M,18.94M,-2.297M,,,-9.084M,-0.615M,7.018M,-5.033M,3.636M,1.397M,6.403M,,-40.90M,2006-12,245.52M,,245.52M,0.00,,-644.34M,-10.74M,-409.56M,2006-12,161.88M,,161.88M,173.21M,,173.21M,,,,-37.06M,-2.351M,-162.00M,347.66M,,2006-12,-102.80M,,10.57M,,2006-12,173.21M,515.18M,,,2006-12,AOR,Restated
2006-09,25.42M,,,,,,,14.51M,14.51M,0.654M,,,5.855M,0.505M,-3.858M,0.505M,-3.857M,3.352M,-3.353M,,43.08M,2006-09,-100.07M,,-99.13M,-0.937M,,,5.318M,-94.75M,2006-09,-82.30M,,-82.30M,109.06M,,109.06M,,,,-32.11M,-2.35M,162.00M,154.29M,,2006-09,102.63M,,113.37M,,2006-09,109.06M,113.90M,,,2006-09,AOR,Restated
