,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-09,479.00M,575.00M,1.054B,1.123B,,1.123B,276.00M,128.00M,95.00M,2.676B,38.53B,,,,,38.53B,-10.54B,27.99B,,,1.345B,608.00M,29.95B,32.62B,,986.00M,249.00M,507.00M,1.742B,,1.742B,151.00M,,230.00M,,230.00M,108.00M,2.231B,281.00M,9.387B,,9.387B,8.742B,8.742B,,23.00M,840.00M,19.25B,21.48B,,995.00M,10.53B,80.00M,-483.00M,11.12B,,AOR,Restated
2014-06,573.00M,216.00M,789.00M,1.062B,,1.062B,275.00M,123.00M,123.00M,2.372B,38.01B,,,,,38.01B,-10.32B,27.68B,,,1.331B,587.00M,29.60B,31.98B,,900.00M,229.00M,490.00M,1.619B,,1.619B,151.00M,,899.00M,,899.00M,128.00M,2.797B,289.00M,8.41B,,8.41B,8.728B,8.728B,,22.00M,847.00M,18.27B,21.07B,,1.00B,10.30B,70.00M,-492.00M,10.88B,,AOR,Restated
2014-03,475.00M,248.00M,723.00M,1.073B,,1.073B,259.00M,143.00M,91.00M,2.289B,37.60B,,,,,37.60B,-10.11B,27.49B,,,1.314B,583.00M,29.39B,31.68B,,975.00M,246.00M,404.00M,1.625B,,1.625B,149.00M,,325.00M,,325.00M,113.00M,2.212B,285.00M,9.021B,,9.021B,8.658B,8.658B,,21.00M,859.00M,18.82B,21.04B,,1.004B,10.06B,65.00M,-507.00M,10.62B,,AOR,Restated
2013-12,592.00M,487.00M,1.079B,1.052B,,1.052B,252.00M,155.00M,64.00M,2.602B,,1.842B,9.764B,24.72B,854.00M,37.18B,-9.893B,27.29B,64.00M,64.00M,1.298B,527.00M,29.18B,31.78B,,957.00M,91.00M,587.00M,1.635B,,1.635B,151.00M,,533.00M,,533.00M,105.00M,2.424B,300.00M,9.022B,,9.022B,8.662B,8.662B,,21.00M,870.00M,18.85B,21.28B,,1.009B,9.936B,61.00M,-523.00M,10.48B,,AOR,Restated
2013-09,591.00M,128.00M,719.00M,981.00M,,981.00M,267.00M,148.00M,85.00M,2.20B,36.64B,,,,,36.64B,-9.691B,26.95B,,,1.241B,556.00M,28.74B,30.94B,,1.078B,138.00M,511.00M,1.727B,,1.727B,149.00M,,264.00M,,264.00M,111.00M,2.251B,284.00M,8.787B,,8.787B,8.387B,8.387B,,20.00M,1.366B,18.82B,21.08B,,1.014B,9.67B,50.00M,-886.00M,9.848B,,AOR,Restated
2013-06,614.00M,403.00M,1.017B,946.00M,,946.00M,264.00M,144.00M,118.00M,2.489B,36.15B,,,,,36.15B,-9.55B,26.60B,,,1.228B,565.00M,28.39B,30.88B,,1.022B,111.00M,452.00M,1.585B,,1.585B,150.00M,,564.00M,,564.00M,119.00M,2.418B,299.00M,8.811B,,8.811B,8.313B,8.313B,,19.00M,1.378B,18.80B,21.22B,,1.019B,9.482B,44.00M,-902.00M,9.643B,,AOR,Restated
2013-03,705.00M,367.00M,1.072B,976.00M,,976.00M,283.00M,133.00M,103.00M,2.567B,35.67B,,,,,35.67B,-9.386B,26.29B,,,1.215B,516.00M,28.02B,30.59B,,1.043B,206.00M,376.00M,1.625B,,1.625B,139.00M,,572.00M,,572.00M,138.00M,2.474B,323.00M,8.846B,,8.846B,8.202B,8.202B,,18.00M,1.393B,18.76B,21.24B,,1.022B,9.191B,36.00M,-919.00M,9.33B,,AOR,Restated
2012-12,784.00M,587.00M,1.371B,1.114B,,1.114B,274.00M,119.00M,75.00M,2.953B,,1.745B,9.301B,23.63B,602.00M,35.28B,-9.229B,26.05B,64.00M,64.00M,1.206B,450.00M,27.77B,30.72B,,948.00M,169.00M,468.00M,1.585B,,1.585B,140.00M,,780.00M,,780.00M,140.00M,2.645B,337.00M,9.052B,,9.052B,8.096B,8.096B,,14.00M,1.457B,18.94B,21.59B,,1.02B,9.01B,28.00M,-936.00M,9.122B,,AOR,Restated
2012-09,693.00M,35.00M,728.00M,1.163B,,1.163B,264.00M,134.00M,104.00M,2.393B,35.02B,,,,,35.02B,-9.088B,25.93B,,,1.195B,410.00M,27.54B,29.93B,,1.197B,261.00M,,1.458B,169.00M,1.627B,,,806.00M,,806.00M,172.00M,3.021B,,8.257B,,8.257B,8.018B,8.018B,319.00M,15.00M,1.284B,17.88B,20.90B,,1.031B,8.798B,20.00M,-833.00M,9.016B,,AOR,Restated
2012-06,642.00M,41.00M,683.00M,1.136B,,1.136B,256.00M,172.00M,125.00M,2.372B,,,,,,34.62B,-8.984B,25.63B,,,1.183B,402.00M,27.22B,29.59B,,1.055B,228.00M,,1.283B,171.00M,1.454B,,,508.00M,,508.00M,179.00M,2.575B,,8.581B,,8.581B,7.896B,7.896B,327.00M,14.00M,1.315B,18.12B,20.69B,,1.04B,8.679B,11.00M,-849.00M,8.881B,,AOR,Restated
