,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,877.00M,-37.00M,-30.00M,,-67.00M,329.00M,329.00M,329.00M,44.00M,-22.00M,3.00M,,-204.00M,33.00M,50.00M,,-118.00M,,1.043B,,-455.00M,89.00M,-366.00M,,-73.00M,0.00,-439.00M,,0.00,,0.00,,-1.064B,-1.064B,-190.00M,-190.00M,,-10.00M,-1.264B,,1.98B,-660.00M,1.32B,,,0.00,,-1.064B,,AOR,Restated
2018-03,695.00M,-32.00M,-25.00M,,-57.00M,323.00M,323.00M,323.00M,54.00M,-6.00M,-50.00M,,191.00M,-19.00M,-165.00M,,-43.00M,,966.00M,,-368.00M,52.00M,-316.00M,,8.00M,-8.00M,-316.00M,,2.00B,,2.00B,,-836.00M,-836.00M,-194.00M,-194.00M,,-41.00M,929.00M,,401.00M,1.579B,1.98B,,,2.00B,,-836.00M,,AOR,Restated
2017-12,4.14B,-13.00M,-171.00M,,-184.00M,337.00M,337.00M,337.00M,-3.394B,-68.00M,8.00M,,-221.00M,-46.00M,39.00M,,-220.00M,,611.00M,,-578.00M,59.00M,-519.00M,,99.00M,4.00M,-416.00M,,-1.00M,,-1.00M,,-207.00M,-207.00M,-178.00M,-178.00M,,1.00M,-385.00M,,591.00M,-190.00M,401.00M,,,0.00,-1.00M,-207.00M,,AOR,Restated
2017-09,459.00M,-1.00M,-19.00M,,-20.00M,331.00M,331.00M,331.00M,49.00M,5.00M,25.00M,,322.00M,35.00M,89.00M,,471.00M,,1.295B,,-507.00M,22.00M,-485.00M,,365.00M,8.00M,-112.00M,,-19.00M,,-19.00M,,-1.006B,-1.006B,-180.00M,-180.00M,,-7.00M,-1.212B,,620.00M,-29.00M,591.00M,,,0.00,-19.00M,-1.006B,,AOR,Restated
2017-06,510.00M,-2.00M,-16.00M,,-18.00M,327.00M,327.00M,327.00M,53.00M,6.00M,-73.00M,,-293.00M,-21.00M,32.00M,,-355.00M,,523.00M,,-514.00M,3.00M,-511.00M,,-183.00M,13.00M,-681.00M,,537.00M,,537.00M,,-499.00M,-499.00M,-184.00M,-184.00M,,-6.00M,-152.00M,,930.00M,-310.00M,620.00M,,,850.00M,-313.00M,-499.00M,,AOR,Restated
2017-03,362.00M,-2.00M,-13.00M,,-15.00M,320.00M,320.00M,320.00M,59.00M,178.00M,-30.00M,,253.00M,33.00M,-117.00M,,139.00M,,1.043B,,-441.00M,13.00M,-428.00M,,130.00M,12.00M,-286.00M,,0.00,,0.00,,-258.00M,-258.00M,-166.00M,-166.00M,,-6.00M,-430.00M,,603.00M,327.00M,930.00M,,,0.00,,-258.00M,,AOR,Restated
2016-12,458.00M,,,,,348.00M,348.00M,348.00M,93.00M,-219.00M,16.00M,,-6.00M,-55.00M,96.00M,,51.00M,,553.00M,,-808.00M,,-613.00M,,-264.00M,-28.00M,-905.00M,,800.00M,,800.00M,,-278.00M,-278.00M,-167.00M,-167.00M,,-3.00M,352.00M,,603.00M,0.00,603.00M,,,2.20B,-1.40B,-278.00M,,AOR,Restated
2016-09,455.00M,,,,,321.00M,321.00M,321.00M,147.00M,-24.00M,2.00M,,42.00M,3.00M,-50.00M,,-3.00M,,896.00M,,-524.00M,,-524.00M,,110.00M,2.00M,-412.00M,,-19.00M,,-19.00M,,-263.00M,-263.00M,-169.00M,-169.00M,,4.00M,-447.00M,,566.00M,37.00M,603.00M,,,0.00,-19.00M,-263.00M,,AOR,Restated
2016-06,445.00M,,,,,319.00M,319.00M,319.00M,85.00M,2.00M,9.00M,,-82.00M,-31.00M,91.00M,,-13.00M,,838.00M,,-641.00M,,-641.00M,,115.00M,4.00M,-522.00M,,0.00,,0.00,,-266.00M,-266.00M,-171.00M,-171.00M,,-44.00M,-481.00M,,731.00M,-165.00M,566.00M,,,0.00,0.00,-266.00M,,AOR,Restated
2016-03,356.00M,,,,,313.00M,313.00M,313.00M,80.00M,-29.00M,57.00M,,109.00M,-30.00M,-102.00M,,34.00M,,754.00M,,-425.00M,,-425.00M,,435.00M,31.00M,41.00M,,,,,,-249.00M,-249.00M,-173.00M,-173.00M,,-270.00M,-692.00M,,628.00M,103.00M,731.00M,,,,,-249.00M,,AOR,Restated
2015-12,466.00M,-70.00M,,,-110.00M,312.00M,312.00M,312.00M,374.00M,15.00M,23.00M,,-254.00M,-23.00M,55.00M,,-199.00M,,858.00M,,-653.00M,101.00M,-552.00M,,-384.00M,-5.00M,-941.00M,,599.00M,,599.00M,,-258.00M,-258.00M,-174.00M,-174.00M,,3.00M,170.00M,,541.00M,87.00M,628.00M,,,600.00M,-1.00M,-258.00M,,AOR,Restated
2015-09,507.00M,-1.00M,,,-1.00M,302.00M,302.00M,302.00M,49.00M,-18.00M,25.00M,,103.00M,-9.00M,-28.00M,,91.00M,,930.00M,,-621.00M,-1.00M,-622.00M,,255.00M,-10.00M,-377.00M,,-18.00M,,-18.00M,,-262.00M,-262.00M,-176.00M,-176.00M,,6.00M,-450.00M,,438.00M,103.00M,541.00M,,,0.00,-18.00M,-262.00M,,AOR,Restated
2015-06,553.00M,-19.00M,,,-19.00M,299.00M,299.00M,299.00M,27.00M,39.00M,82.00M,,-144.00M,-1.00M,56.00M,,-7.00M,,892.00M,,-690.00M,47.00M,-643.00M,,-420.00M,-11.00M,-1.074B,,390.00M,,390.00M,,-157.00M,-157.00M,-178.00M,-178.00M,,4.00M,59.00M,,561.00M,-123.00M,438.00M,,,600.00M,-210.00M,-157.00M,,AOR,Restated
2015-03,442.00M,,,,,295.00M,295.00M,295.00M,6.00M,26.00M,19.00M,,154.00M,-51.00M,-201.00M,,-79.00M,,690.00M,,-598.00M,,-598.00M,,35.00M,63.00M,-500.00M,,,,,,-127.00M,-127.00M,-158.00M,-158.00M,,-13.00M,-298.00M,,669.00M,-108.00M,561.00M,,,,,-127.00M,,AOR,Restated
2014-12,491.00M,-6.00M,,,-6.00M,290.00M,290.00M,290.00M,208.00M,33.00M,-3.00M,,-87.00M,21.00M,94.00M,,25.00M,,1.041B,,-892.00M,5.00M,-887.00M,,309.00M,15.00M,-563.00M,,-1.00M,,-1.00M,,-129.00M,-129.00M,-159.00M,-159.00M,,1.00M,-288.00M,,479.00M,190.00M,669.00M,,,0.00,-1.00M,-129.00M,,AOR,Restated
2014-09,509.00M,-1.00M,,,-1.00M,291.00M,291.00M,291.00M,4.00M,-20.00M,-56.00M,,98.00M,13.00M,19.00M,,74.00M,,857.00M,,-601.00M,20.00M,-581.00M,,-354.00M,-35.00M,-970.00M,,312.00M,,312.00M,,-131.00M,-131.00M,-159.00M,-159.00M,,-3.00M,19.00M,,573.00M,-94.00M,479.00M,,,1.00B,-688.00M,-131.00M,,AOR,Restated
2014-06,529.00M,-3.00M,,,-3.00M,287.00M,287.00M,287.00M,87.00M,10.00M,-14.00M,,-125.00M,-19.00M,94.00M,,-64.00M,,846.00M,,-481.00M,37.00M,-444.00M,,42.00M,-21.00M,-423.00M,,-35.00M,,-35.00M,,-130.00M,-130.00M,-160.00M,-160.00M,,0.00,-325.00M,,475.00M,98.00M,573.00M,,,0.00,-35.00M,-130.00M,,AOR,Restated
2014-03,398.00M,-1.00M,,,-1.00M,283.00M,283.00M,283.00M,-1.00M,-9.00M,-46.00M,,189.00M,-41.00M,-173.00M,,-71.00M,,599.00M,,-475.00M,,-475.00M,,244.00M,4.00M,-227.00M,,-209.00M,,-209.00M,,-127.00M,-127.00M,-151.00M,-151.00M,,-2.00M,-489.00M,,592.00M,-117.00M,475.00M,,,,-209.00M,-127.00M,,AOR,Restated
2013-12,426.00M,-2.00M,,,-2.00M,281.00M,281.00M,281.00M,71.00M,18.00M,47.00M,,-186.00M,42.00M,71.00M,,-26.00M,,768.00M,,-626.00M,,-573.00M,,-353.00M,-58.00M,-984.00M,,499.00M,,499.00M,,-129.00M,-129.00M,-152.00M,-152.00M,0.00,-1.00M,217.00M,,591.00M,1.00M,592.00M,,,500.00M,-1.00M,-129.00M,,AOR,Restated
2013-09,455.00M,-1.00M,,,-1.00M,277.00M,277.00M,277.00M,57.00M,8.00M,-60.00M,,89.00M,25.00M,70.00M,,124.00M,,920.00M,,-602.00M,,-602.00M,,284.00M,-4.00M,-322.00M,,-324.00M,,-324.00M,,-129.00M,-129.00M,-152.00M,-152.00M,0.00,-16.00M,-621.00M,,614.00M,-23.00M,591.00M,,,0.00,-324.00M,-129.00M,,AOR,Restated
2013-06,521.00M,-37.00M,,,-37.00M,276.00M,276.00M,276.00M,90.00M,-4.00M,54.00M,,-119.00M,7.00M,60.00M,,2.00M,,848.00M,,-594.00M,,-594.00M,,-30.00M,-32.00M,-656.00M,,-42.00M,,-42.00M,,-95.00M,-95.00M,-153.00M,-153.00M,3.00M,4.00M,-283.00M,,705.00M,-91.00M,614.00M,,,,-42.00M,-95.00M,,AOR,Restated
2013-03,462.00M,-30.00M,,,-30.00M,270.00M,270.00M,270.00M,82.00M,-57.00M,-47.00M,,177.00M,-38.00M,-88.00M,,4.00M,,731.00M,,-491.00M,,-491.00M,,244.00M,-18.00M,-265.00M,,-413.00M,,-413.00M,,0.00,0.00,-143.00M,-143.00M,6.00M,5.00M,-545.00M,,784.00M,-79.00M,705.00M,,,,-413.00M,0.00,,AOR,Restated
2012-12,447.00M,-94.00M,,,-94.00M,271.00M,271.00M,271.00M,136.00M,-25.00M,49.00M,,-214.00M,25.00M,47.00M,,-93.00M,,642.00M,,-511.00M,,-325.00M,,-547.00M,-80.00M,-952.00M,,773.00M,,773.00M,,-234.00M,-234.00M,-143.00M,-143.00M,3.00M,2.00M,401.00M,,693.00M,91.00M,784.00M,,,800.00M,-27.00M,-234.00M,,AOR,Restated
2012-09,455.00M,-33.00M,,,-33.00M,268.00M,268.00M,268.00M,156.00M,-17.00M,19.00M,,150.00M,13.00M,2.00M,,184.00M,,1.013B,,-607.00M,,-607.00M,,7.00M,4.00M,-596.00M,,-26.00M,,-26.00M,,-200.00M,-200.00M,-145.00M,-145.00M,1.00M,4.00M,-366.00M,,642.00M,51.00M,693.00M,,,0.00,-26.00M,-200.00M,,AOR,Restated
2012-06,512.00M,-20.00M,,,-20.00M,263.00M,263.00M,263.00M,105.00M,15.00M,29.00M,,-67.00M,-18.00M,28.00M,,-28.00M,,847.00M,,-754.00M,,-754.00M,,104.00M,-2.00M,-652.00M,,-42.00M,,-42.00M,,0.00,0.00,-145.00M,-145.00M,2.00M,5.00M,-180.00M,,627.00M,15.00M,642.00M,,,0.00,-42.00M,0.00,,AOR,Restated
2012-03,449.00M,-19.00M,,,-19.00M,257.00M,257.00M,257.00M,195.00M,-312.00M,-36.00M,,113.00M,-52.00M,-151.00M,,-126.00M,,444.00M,,-469.00M,,-469.00M,,384.00M,8.00M,-77.00M,,-113.00M,,-113.00M,,-300.00M,-300.00M,-125.00M,-125.00M,8.00M,7.00M,-523.00M,,783.00M,-156.00M,627.00M,,,300.00M,-413.00M,-300.00M,,AOR,Restated
2011-12,489.00M,,,,-19.00M,236.00M,236.00M,236.00M,123.00M,,32.00M,,-8.00M,14.00M,49.00M,,87.00M,,906.00M,,-861.00M,,-621.00M,,-470.00M,-95.00M,-1.186B,,590.00M,,590.00M,,0.00,0.00,,-126.00M,2.00M,17.00M,483.00M,,580.00M,203.00M,783.00M,,,600.00M,-10.00M,0.00,,AOR,Restated
2011-09,464.00M,,,0.00,4.00M,251.00M,251.00M,251.00M,206.00M,,-28.00M,,89.00M,27.00M,-13.00M,,75.00M,,1.00B,,-491.00M,,-491.00M,,18.00M,1.00M,-472.00M,,-25.00M,,-25.00M,,-1.036B,-1.036B,,-126.00M,3.00M,-16.00M,-1.20B,,1.252B,-672.00M,580.00M,,,0.00,-25.00M,-1.036B,,AOR,Restated
2011-06,506.00M,,,0.00,-9.00M,246.00M,246.00M,246.00M,143.00M,,-35.00M,,88.00M,-29.00M,180.00M,,204.00M,,1.09B,,-566.00M,,-566.00M,,22.00M,-20.00M,-564.00M,,554.00M,,554.00M,,-228.00M,-228.00M,,-132.00M,5.00M,-7.00M,192.00M,,534.00M,718.00M,1.252B,,,600.00M,-46.00M,-228.00M,,AOR,Restated
2011-03,395.00M,,,0.00,-1.00M,243.00M,243.00M,243.00M,137.00M,,-86.00M,,23.00M,-35.00M,-181.00M,,-279.00M,,495.00M,,-379.00M,,-379.00M,,12.00M,2.00M,-365.00M,,-524.00M,,-524.00M,,-300.00M,-300.00M,,-96.00M,19.00M,13.00M,-888.00M,,1.292B,-758.00M,534.00M,,,0.00,-524.00M,-300.00M,,AOR,Restated
2010-12,1.563B,,,,-59.00M,257.00M,257.00M,257.00M,335.00M,-1.102B,33.00M,,-91.00M,22.00M,26.00M,,-10.00M,,984.00M,,-737.00M,,-629.00M,,,-121.00M,-709.00M,,790.00M,,790.00M,,-329.00M,-329.00M,,-97.00M,21.00M,-4.00M,381.00M,,636.00M,656.00M,1.292B,,,800.00M,-10.00M,-329.00M,,AOR,Restated
2010-09,-719.00M,,,,1.00M,232.00M,232.00M,232.00M,60.00M,1.133B,-52.00M,,117.00M,8.00M,75.00M,,148.00M,,855.00M,,-416.00M,,-416.00M,,,-27.00M,-443.00M,,-32.00M,,-32.00M,,-300.00M,-300.00M,,-91.00M,5.00M,9.00M,-409.00M,,633.00M,3.00M,636.00M,,,0.00,-32.00M,-300.00M,,AOR,Restated
2010-06,414.00M,,,,15.00M,230.00M,230.00M,230.00M,33.00M,,33.00M,,-39.00M,-18.00M,10.00M,,-14.00M,,678.00M,,-359.00M,,-359.00M,,,50.00M,-309.00M,,-54.00M,,-54.00M,,-594.00M,-594.00M,,-91.00M,10.00M,0.00,-729.00M,,993.00M,-360.00M,633.00M,,,0.00,-54.00M,-594.00M,,AOR,Restated
2010-03,305.00M,,,,64.00M,228.00M,228.00M,228.00M,46.00M,,24.00M,,99.00M,-34.00M,12.00M,,101.00M,,744.00M,,-328.00M,,-328.00M,,,18.00M,-310.00M,,-17.00M,,-17.00M,,-229.00M,-229.00M,,-93.00M,6.00M,-137.00M,-470.00M,,1.029B,-36.00M,993.00M,,,,-17.00M,-229.00M,,AOR,Restated
2009-12,303.00M,,,,-32.00M,228.00M,228.00M,228.00M,104.00M,-84.00M,-67.00M,,-48.00M,78.00M,-31.00M,,-68.00M,,451.00M,,-396.00M,,-396.00M,,,3.00M,-393.00M,,-213.00M,,-213.00M,,0.00,0.00,,-86.00M,15.00M,15.00M,-269.00M,,1.24B,-211.00M,1.029B,,,0.00,-213.00M,0.00,,AOR,Restated
2009-09,290.00M,,,,22.00M,224.00M,224.00M,224.00M,117.00M,-166.00M,-43.00M,,104.00M,33.00M,37.00M,,131.00M,,618.00M,,-374.00M,,-374.00M,,,2.00M,-372.00M,,-27.00M,,-27.00M,,0.00,0.00,,-83.00M,7.00M,-11.00M,-114.00M,,1.108B,132.00M,1.24B,,,0.00,-27.00M,0.00,,AOR,Restated
2009-06,304.00M,,,,-107.00M,227.00M,227.00M,227.00M,130.00M,,70.00M,,-64.00M,-7.00M,-31.00M,,-32.00M,,522.00M,,-348.00M,,-348.00M,,,12.00M,-336.00M,,-57.00M,,-57.00M,,0.00,0.00,,-90.00M,10.00M,3.00M,-134.00M,,1.056B,52.00M,1.108B,,,0.00,-57.00M,0.00,,AOR,Restated
2009-03,246.00M,,,,-65.00M,224.00M,224.00M,224.00M,79.00M,,132.00M,,-5.00M,-76.00M,-86.00M,,-35.00M,,449.00M,,-309.00M,,-309.00M,,,37.00M,-272.00M,,474.00M,,474.00M,,0.00,0.00,,-86.00M,2.00M,-180.00M,210.00M,,669.00M,387.00M,1.056B,,,500.00M,-26.00M,0.00,,AOR,Restated
2008-12,247.00M,,,,79.00M,232.00M,232.00M,232.00M,79.00M,114.00M,150.00M,,-189.00M,41.00M,-30.00M,,-28.00M,,723.00M,,-432.00M,,-432.00M,,0.00,9.00M,-423.00M,,-71.00M,,-71.00M,,-263.00M,-263.00M,,-86.00M,8.00M,-114.00M,-526.00M,,895.00M,-226.00M,669.00M,,,351.00M,-422.00M,-263.00M,,AOR,Restated
2008-09,382.00M,,,,16.00M,230.00M,230.00M,230.00M,155.00M,-50.00M,-32.00M,,96.00M,12.00M,39.00M,,115.00M,,848.00M,,-396.00M,,-396.00M,,0.00,28.00M,-368.00M,,-44.00M,,-44.00M,,-854.00M,-854.00M,,-88.00M,10.00M,-7.00M,-983.00M,,1.398B,-503.00M,895.00M,,,0.00,-44.00M,-854.00M,,AOR,Restated
2008-06,385.00M,,,,-6.00M,231.00M,231.00M,231.00M,112.00M,,-47.00M,,-50.00M,-3.00M,-13.00M,,-113.00M,,609.00M,,-466.00M,,-466.00M,,10.00M,-13.00M,-469.00M,,-132.00M,,-132.00M,,-153.00M,-153.00M,,-73.00M,29.00M,17.00M,-312.00M,,1.57B,-172.00M,1.398B,,,0.00,-132.00M,-153.00M,,AOR,Restated
2008-03,351.00M,,,,-24.00M,225.00M,225.00M,225.00M,89.00M,,3.00M,,94.00M,-13.00M,9.00M,,93.00M,,734.00M,,-446.00M,,-446.00M,,245.00M,12.00M,-189.00M,,956.00M,,956.00M,,-300.00M,-300.00M,,-61.00M,36.00M,26.00M,657.00M,,368.00M,1.202B,1.57B,,,1.00B,-44.00M,-300.00M,,AOR,Restated
2007-12,365.00M,,,,-97.00M,224.00M,224.00M,224.00M,118.00M,-266.00M,-33.00M,,65.00M,13.00M,-23.00M,,22.00M,,366.00M,,-578.00M,,-578.00M,,242.00M,-44.00M,-380.00M,,310.00M,-5.00M,305.00M,,-565.00M,-565.00M,,-61.00M,9.00M,34.00M,-278.00M,,660.00M,-292.00M,368.00M,,,381.00M,-77.00M,-565.00M,,AOR,Restated
2007-09,407.00M,,,,6.00M,218.00M,218.00M,218.00M,103.00M,-153.00M,-20.00M,,97.00M,25.00M,60.00M,,162.00M,,743.00M,,-371.00M,,-371.00M,,-180.00M,5.00M,-546.00M,,961.00M,-1.00M,960.00M,,-1.609B,-1.609B,,-64.00M,14.00M,734.00M,35.00M,,428.00M,232.00M,660.00M,,,1.00B,-39.00M,-1.609B,,AOR,Restated
2007-06,324.00M,,,,-25.00M,223.00M,223.00M,223.00M,37.00M,34.00M,-59.00M,,-2.00M,-16.00M,-38.00M,,-115.00M,,478.00M,,-396.00M,,-396.00M,,31.00M,0.00,-365.00M,,354.00M,-1.00M,353.00M,,,,,-53.00M,41.00M,-538.00M,-197.00M,,512.00M,-84.00M,428.00M,,,999.00M,-646.00M,,,AOR,Restated
2007-03,240.00M,,,,25.00M,225.00M,225.00M,225.00M,14.00M,9.00M,62.00M,,122.00M,-63.00M,-37.00M,,84.00M,,597.00M,,-428.00M,,-428.00M,,28.00M,-2.00M,-402.00M,,-29.00M,1.00M,-28.00M,,,,,-53.00M,89.00M,-152.00M,-144.00M,,461.00M,51.00M,512.00M,,,1.00M,-29.00M,,,AOR,Restated
2006-12,347.00M,,,,,219.00M,219.00M,219.00M,-4.00M,100.00M,100.00M,,-103.00M,23.00M,16.00M,61.00M,97.00M,,691.00M,,-435.00M,,-435.00M,,-171.00M,30.00M,-576.00M,,-49.00M,-5.00M,-54.00M,-237.00M,-43.00M,-280.00M,,-44.00M,319.00M,17.00M,-42.00M,,388.00M,73.00M,461.00M,,-237.00M,-2.00M,-47.00M,-43.00M,,AOR,Restated
2006-09,328.00M,,,,,218.00M,218.00M,218.00M,40.00M,-40.00M,-70.00M,,70.00M,7.00M,21.00M,-61.00M,-33.00M,,513.00M,,-325.00M,,-325.00M,,92.00M,21.00M,-212.00M,,54.00M,10.00M,64.00M,237.00M,-422.00M,-185.00M,,-44.00M,-224.00M,156.00M,-233.00M,,320.00M,68.00M,388.00M,,237.00M,410.00M,-356.00M,-422.00M,,AOR,Restated
2006-06,390.00M,,,,,218.00M,218.00M,218.00M,-20.00M,-160.00M,7.00M,,-61.00M,64.00M,10.00M,-39.00M,-19.00M,,409.00M,,-512.00M,,-512.00M,,-5.00M,115.00M,-402.00M,,-12.00M,0.00,-12.00M,-129.00M,,-129.00M,,-28.00M,224.00M,-118.00M,-63.00M,,376.00M,-56.00M,320.00M,,-129.00M,60.00M,-72.00M,,,AOR,Restated
2006-03,245.00M,,,,,212.00M,212.00M,212.00M,26.00M,100.00M,-70.00M,,42.00M,2.00M,-151.00M,39.00M,-138.00M,,445.00M,,-367.00M,,-367.00M,,-38.00M,-15.00M,-420.00M,,-68.00M,2.00M,-66.00M,129.00M,0.00,129.00M,,-29.00M,,8.00M,42.00M,,309.00M,67.00M,376.00M,,129.00M,3.00M,-71.00M,0.00,,AOR,Restated
2005-12,237.00M,,,,-139.00M,213.00M,213.00M,213.00M,86.00M,,30.00M,,-8.00M,8.00M,-346.00M,251.00M,-65.00M,,332.00M,,-410.00M,0.00,-410.00M,0.00,24.00M,43.00M,-343.00M,,32.00M,-1.00M,31.00M,36.00M,0.00,36.00M,,-28.00M,,3.00M,42.00M,,278.00M,31.00M,309.00M,,36.00M,76.00M,-44.00M,0.00,,AOR,Restated
2005-09,164.00M,,,,-401.00M,202.00M,202.00M,202.00M,-81.00M,552.00M,-115.00M,,46.00M,8.00M,99.00M,-25.00M,13.00M,,449.00M,,-1.453B,1.108B,-345.00M,,-94.00M,23.00M,-416.00M,,-24.00M,0.00,-24.00M,10.00M,0.00,10.00M,,-21.00M,,-21.00M,-56.00M,,301.00M,-23.00M,278.00M,,10.00M,2.00M,-26.00M,0.00,,AOR,Restated
