,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-09,835.40M,838.20M,589.80M,248.40M,-0.10M,53.40M,94.70M,,-94.70M,,177.20M,71.20M,,94.70M,-94.70M,5.60M,-94.70M,-17.90M,-0.70M,-17.20M,48.60M,,0.00,,31.40M,-17.10M,200.60M,65.30M,76.80M,,-0.05,0.15,,-0.0497,0.10,,-0.05,0.15,,-0.0497,0.10,,315.40M,315.40M,0.26,,AOR,Restated
2014-06,1.218B,1.335B,904.80M,430.30M,0.70M,73.40M,109.10M,,-109.10M,,222.50M,207.80M,,109.10M,-109.10M,19.30M,-109.10M,118.00M,39.50M,78.50M,-0.30M,,0.00,,78.20M,78.03M,376.20M,149.10M,227.10M,,0.25,0.00,,0.2485,0.25,,0.25,0.00,,0.2485,0.25,,315.00M,316.10M,0.25,,AOR,Restated
2014-03,2.244B,2.320B,1.562B,758.00M,15.70M,101.10M,109.10M,,-109.10M,,249.80M,508.20M,,109.10M,-109.10M,30.00M,-109.10M,429.10M,162.70M,266.40M,-0.20M,,0.00,,266.20M,256.65M,686.90M,148.70M,538.20M,,0.85,0.00,,0.8190,0.85,,0.85,0.00,,0.8191,0.85,,314.20M,315.10M,0.25,,AOR,Restated
2013-12,712.00M,564.90M,573.50M,-8.60M,-19.50M,16.70M,45.00M,,-55.80M,,55.70M,-64.30M,,45.00M,-55.80M,-67.40M,-55.80M,-187.50M,-70.60M,-116.90M,268.70M,,,,151.80M,-104.74M,-103.50M,39.00M,-142.50M,,-0.37,0.85,,-0.3312,0.48,,-0.37,0.85,,-0.3315,0.48,,313.30M,315.40M,0.25,,AOR,Restated
2013-09,1.015B,1.077B,711.90M,364.90M,9.80M,64.30M,103.70M,,-103.70M,,208.80M,156.10M,,103.70M,-103.70M,25.00M,-103.70M,77.40M,27.90M,49.50M,-1.40M,,,,48.10M,43.23M,325.60M,144.50M,181.10M,,0.16,0.00,,0.1399,0.16,,0.16,0.00,,0.1400,0.16,,312.80M,313.80M,0.25,,AOR,Restated
2013-06,1.144B,1.202B,801.70M,399.80M,0.20M,70.70M,102.00M,,-102.00M,,214.00M,185.80M,,102.00M,-102.00M,21.50M,-102.00M,105.30M,32.90M,72.40M,-0.70M,,,,71.70M,72.26M,350.60M,143.30M,207.30M,,0.23,0.00,,0.2296,0.23,,0.23,0.00,,0.2296,0.23,,312.20M,313.20M,0.24,,AOR,Restated
2013-03,1.738B,1.782B,1.130B,651.90M,0.20M,86.70M,98.60M,,-98.60M,,230.30M,421.60M,,98.60M,-98.60M,11.40M,-98.60M,334.40M,118.40M,216.00M,44.50M,,,,260.50M,215.87M,576.60M,143.60M,433.00M,,0.69,0.15,,0.6896,0.84,,0.69,0.14,,0.6896,0.83,,311.10M,312.10M,0.24,,AOR,Restated
2012-12,1.356B,1.394B,878.70M,514.90M,0.00,72.40M,83.40M,,-103.90M,,216.30M,298.60M,,83.40M,-103.90M,4.40M,-103.90M,199.10M,67.00M,132.10M,1.90M,,,,134.00M,132.10M,426.40M,143.90M,282.50M,,0.43,0.01,,0.43,0.44,,0.43,0.01,,0.43,0.44,,309.90M,311.50M,0.24,,AOR,Restated
2012-09,922.60M,956.20M,645.80M,310.40M,0.70M,62.30M,107.90M,,-107.90M,,187.60M,122.80M,,107.90M,-107.90M,10.90M,-107.90M,25.80M,9.20M,16.60M,2.70M,,,,19.30M,16.15M,259.00M,125.30M,133.70M,,0.05,0.01,,0.0484,0.06,,0.05,0.01,,0.0485,0.06,,290.30M,300.00M,0.24,,AOR,Restated
2012-06,1.016B,1.039B,629.90M,408.90M,1.50M,66.60M,103.20M,,-103.20M,,213.90M,195.00M,,103.20M,-103.20M,12.80M,-103.20M,104.60M,36.30M,68.30M,1.10M,,,,69.40M,67.32M,355.10M,147.30M,207.80M,,0.25,0.00,,0.2466,0.25,,0.23,0.00,,0.2267,0.23,,284.40M,295.80M,0.23,,AOR,Restated
2012-03,1.636B,1.649B,1.028B,620.60M,1.60M,86.80M,103.30M,,-103.30M,,232.20M,388.40M,,103.30M,-103.30M,9.60M,-103.30M,294.70M,102.20M,192.50M,0.90M,,,,193.40M,191.46M,543.40M,145.40M,398.00M,,0.68,0.00,,0.6763,0.68,,0.66,0.00,,0.6564,0.66,,282.90M,293.10M,0.23,,AOR,Restated
2011-12,1.172B,1.222B,2.049B,-826.70M,-75.10M,73.10M,,,-90.10M,,-1.032B,205.00M,,,-90.10M,-83.50M,-90.10M,31.40M,8.00M,23.40M,-8.70M,,,,14.70M,79.37M,267.60M,132.00M,135.60M,,0.08,-0.03,,0.2790,0.05,,0.07,-0.03,,0.2618,0.04,,281.30M,291.80M,0.23,,AOR,Restated
2011-09,1.069B,1.069B,323.10M,745.60M,1.20M,59.20M,,,-95.70M,,601.30M,144.30M,,,-95.70M,4.70M,-95.70M,53.30M,17.00M,36.30M,-1.60M,,,,34.70M,35.48M,279.20M,134.90M,144.30M,,0.13,-0.01,,0.1271,0.12,,0.13,-0.01,,0.1272,0.12,,280.80M,289.00M,0.23,,AOR,Restated
2011-06,1.228B,1.228B,462.50M,765.80M,0.60M,67.80M,,,-94.40M,,602.60M,163.20M,,,-94.40M,2.90M,-94.40M,71.70M,30.90M,40.80M,-0.60M,,,,40.20M,40.41M,297.70M,134.50M,163.20M,,0.14,0.00,,0.1386,0.14,,0.14,0.00,,0.1386,0.14,,280.20M,287.10M,0.23,,AOR,Restated
2011-03,2.232B,2.232B,1.171B,1.061B,2.60M,93.00M,,,-89.80M,,656.60M,404.10M,,,-89.80M,5.60M,-89.80M,319.90M,110.80M,209.10M,0.40M,,,,209.50M,207.40M,538.40M,134.30M,404.10M,,0.75,0.00,,0.7439,0.75,,0.73,0.00,,0.7240,0.73,,279.30M,285.00M,0.23,,AOR,Restated
2010-12,1.067B,1.703B,2.465B,-761.70M,-104.80M,73.80M,,,-97.50M,,-984.70M,223.00M,,,-97.50M,-97.30M,-97.50M,28.20M,10.20M,18.00M,6.00M,,,,24.00M,84.89M,281.00M,140.30M,140.70M,,0.07,0.02,,0.3100,0.09,,0.06,0.02,,0.2958,0.08,,278.70M,283.70M,0.23,,AOR,Restated
2010-09,1.138B,1.138B,420.00M,718.10M,1.00M,62.00M,,,-97.60M,,597.20M,120.90M,,,-97.60M,4.50M,-97.60M,27.80M,-5.60M,33.40M,-0.20M,,,,33.20M,32.75M,274.00M,153.10M,120.90M,,0.12,0.00,,0.1177,0.12,,0.12,0.00,,0.1177,0.12,,278.10M,279.90M,0.23,,AOR,Restated
2010-06,1.171B,1.171B,439.10M,732.00M,2.60M,64.50M,,,-98.40M,,593.20M,138.80M,,,-98.40M,3.00M,-98.40M,43.40M,15.40M,28.00M,0.10M,,,,28.10M,26.32M,290.40M,151.60M,138.80M,,0.10,0.00,,0.0940,0.10,,0.10,0.00,,0.0940,0.10,,277.60M,278.40M,0.23,,AOR,Restated
2010-03,2.359B,2.359B,1.286B,1.072B,2.50M,86.90M,,,-98.80M,,676.30M,396.10M,,,-98.80M,9.90M,-98.80M,307.20M,109.80M,197.40M,-0.10M,,,,197.30M,195.79M,545.90M,149.80M,396.10M,,0.71,0.00,,0.7042,0.71,,0.71,0.00,,0.7042,0.71,,276.90M,277.50M,0.23,,AOR,Restated
2009-12,1.685B,1.685B,757.80M,927.30M,-26.20M,73.00M,88.30M,,-91.80M,,672.90M,254.40M,,88.30M,-91.80M,-10.20M,-91.80M,142.80M,54.30M,88.50M,1.00M,,,,89.50M,104.74M,379.70M,148.60M,231.10M,,0.32,0.00,,0.3788,0.32,,0.32,0.00,,0.3788,0.32,,276.00M,276.00M,0.23,,AOR,Restated
