,NetIncome,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,472.00M,,,311.00M,311.00M,11.00M,4.00M,10.00M,-82.00M,-2.00M,-19.00M,-67.00M,,50.00M,-120.00M,0.00,688.00M,-325.00M,,,7.00M,,,-318.00M,-503.00M,288.00M,-215.00M,29.00M,0.00,29.00M,-237.00M,-237.00M,,-6.00M,-429.00M,617.00M,-59.00M,-13.00M,545.00M,0.00,29.00M,0.00,-503.00M,0.00
2017-12,49.00M,,,307.00M,307.00M,508.00M,15.00M,37.00M,-9.00M,-11.00M,-2.00M,11.00M,,-69.00M,-80.00M,,836.00M,-339.00M,,,-7.00M,,,-346.00M,-423.00M,154.00M,-269.00M,30.00M,-1.00M,29.00M,-226.00M,-226.00M,,-7.00M,-473.00M,607.00M,17.00M,-7.00M,617.00M,,30.00M,0.00,-423.00M,-1.00M
2017-09,435.00M,,,298.00M,298.00M,-26.00M,16.00M,2.00M,12.00M,-6.00M,-24.00M,35.00M,,52.00M,69.00M,,794.00M,-320.00M,,,-11.00M,,,-331.00M,-1.00M,-196.00M,-197.00M,20.00M,0.00,20.00M,-225.00M,-225.00M,,-1.00M,-403.00M,535.00M,60.00M,12.00M,607.00M,,20.00M,1.00M,-2.00M,0.00
2017-06,420.00M,,,292.00M,292.00M,26.00M,16.00M,8.00M,-46.00M,-3.00M,-27.00M,18.00M,,-3.00M,-61.00M,,701.00M,-325.00M,,,12.00M,,,-313.00M,1.00M,-133.00M,-132.00M,44.00M,0.00,44.00M,-225.00M,-225.00M,,-71.00M,-384.00M,519.00M,4.00M,12.00M,535.00M,,44.00M,3.00M,-2.00M,0.00
2017-03,404.00M,,,287.00M,287.00M,22.00M,12.00M,3.00M,-49.00M,-2.00M,-13.00M,-42.00M,,88.00M,-18.00M,,710.00M,-327.00M,,,3.00M,,,-324.00M,-149.00M,-24.00M,-173.00M,26.00M,-11.00M,15.00M,-225.00M,-225.00M,,-13.00M,-396.00M,524.00M,-10.00M,5.00M,519.00M,,26.00M,7.00M,-156.00M,-11.00M
2016-12,419.00M,,,285.00M,285.00M,17.00M,3.00M,-56.00M,11.00M,-24.00M,38.00M,86.00M,,-37.00M,74.00M,,742.00M,-409.00M,,,-1.00M,,,-410.00M,-31.00M,-168.00M,-199.00M,30.00M,-95.00M,-65.00M,-214.00M,-214.00M,,51.00M,-427.00M,627.00M,-95.00M,-8.00M,524.00M,,30.00M,11.00M,-42.00M,-95.00M
2016-09,344.00M,,,284.00M,284.00M,-34.00M,14.00M,91.00M,17.00M,19.00M,-34.00M,69.00M,,18.00M,89.00M,,788.00M,-376.00M,,,13.00M,,,-363.00M,15.00M,-149.00M,-134.00M,49.00M,-50.00M,-1.00M,-214.00M,-214.00M,,-13.00M,-362.00M,567.00M,63.00M,-3.00M,627.00M,,49.00M,17.00M,-2.00M,-50.00M
2016-06,409.00M,,,281.00M,281.00M,-5.00M,14.00M,-4.00M,-41.00M,-1.00M,1.00M,14.00M,,38.00M,11.00M,,706.00M,-357.00M,,,-256.00M,,,-613.00M,10.00M,585.00M,595.00M,26.00M,-51.00M,-25.00M,-214.00M,-214.00M,,-107.00M,249.00M,221.00M,342.00M,4.00M,567.00M,,26.00M,10.00M,0.00,-51.00M
2016-03,366.00M,,,272.00M,272.00M,9.00M,8.00M,-2.00M,-20.00M,-7.00M,1.00M,-77.00M,,3.00M,-100.00M,,553.00M,-323.00M,,,-61.00M,,,-384.00M,172.00M,-77.00M,95.00M,34.00M,-32.00M,2.00M,-214.00M,-214.00M,,-2.00M,-119.00M,147.00M,50.00M,24.00M,221.00M,,34.00M,898.00M,-726.00M,-32.00M
2015-12,431.00M,,,275.00M,275.00M,74.00M,5.00M,-99.00M,58.00M,-9.00M,15.00M,-20.00M,,61.00M,105.00M,,791.00M,-387.00M,,,36.00M,,,-351.00M,0.00,-203.00M,-203.00M,14.00M,-21.00M,-7.00M,-204.00M,-204.00M,,4.00M,-410.00M,136.00M,30.00M,-19.00M,147.00M,,14.00M,1.00M,-1.00M,-21.00M
2015-09,413.00M,,,276.00M,276.00M,42.00M,8.00M,3.00M,-13.00M,1.00M,-6.00M,43.00M,,-91.00M,-66.00M,,676.00M,-405.00M,,,5.00M,,,-400.00M,243.00M,-73.00M,170.00M,13.00M,-235.00M,-222.00M,-203.00M,-203.00M,,-5.00M,-260.00M,136.00M,16.00M,-16.00M,136.00M,,13.00M,740.00M,-497.00M,-235.00M
2015-06,319.00M,,,278.00M,278.00M,-31.00M,10.00M,134.00M,6.00M,-9.00M,-33.00M,3.00M,,43.00M,10.00M,,720.00M,-352.00M,,,200.00M,,,-152.00M,2.00M,-91.00M,-89.00M,17.00M,-234.00M,-217.00M,-205.00M,-205.00M,,-29.00M,-540.00M,117.00M,28.00M,-9.00M,136.00M,,17.00M,3.00M,-1.00M,-234.00M
2015-03,428.00M,,,277.00M,277.00M,14.00M,7.00M,-11.00M,-50.00M,-6.00M,2.00M,-66.00M,,-87.00M,-207.00M,,508.00M,-397.00M,,,-3.00M,,,-400.00M,252.00M,38.00M,290.00M,44.00M,-235.00M,-191.00M,-207.00M,-207.00M,,8.00M,-100.00M,126.00M,8.00M,-17.00M,117.00M,,44.00M,753.00M,-501.00M,-235.00M
2014-12,313.00M,,,291.00M,291.00M,87.00M,9.00M,18.00M,64.00M,10.00M,-38.00M,16.00M,,21.00M,73.00M,,791.00M,-482.00M,,,-9.00M,,,-491.00M,227.00M,-32.00M,195.00M,18.00M,-300.00M,-282.00M,-189.00M,-189.00M,,-3.00M,-279.00M,168.00M,21.00M,-63.00M,126.00M,,18.00M,679.00M,-452.00M,-300.00M
2014-09,490.00M,,,301.00M,301.00M,-49.00M,14.00M,-1.00M,25.00M,-19.00M,-18.00M,29.00M,,-59.00M,-42.00M,,713.00M,-430.00M,,,-6.00M,,,-436.00M,5.00M,25.00M,30.00M,16.00M,-116.00M,-100.00M,-189.00M,-189.00M,,-8.00M,-267.00M,173.00M,10.00M,-15.00M,168.00M,,16.00M,9.00M,-4.00M,-116.00M
2014-06,481.00M,,,293.00M,293.00M,-6.00M,13.00M,-4.00M,-33.00M,-17.00M,16.00M,84.00M,,20.00M,70.00M,,847.00M,-384.00M,,,-41.00M,,,-425.00M,6.00M,-106.00M,-100.00M,20.00M,-160.00M,-140.00M,-190.00M,-190.00M,,33.00M,-397.00M,144.00M,25.00M,4.00M,173.00M,,20.00M,11.00M,-5.00M,-160.00M
2014-03,462.00M,,,285.00M,285.00M,23.00M,15.00M,-9.00M,-136.00M,-16.00M,20.00M,-116.00M,,8.00M,-240.00M,,536.00M,-393.00M,,,-58.00M,,,-451.00M,544.00M,-80.00M,464.00M,49.00M,-286.00M,-237.00M,-191.00M,-191.00M,,-120.00M,-84.00M,138.00M,1.00M,5.00M,144.00M,,49.00M,847.00M,-303.00M,-286.00M
2013-12,507.00M,-23.00M,-23.00M,287.00M,287.00M,13.00M,18.00M,-69.00M,55.00M,9.00M,-15.00M,89.00M,,93.00M,231.00M,,964.00M,-516.00M,,,29.00M,,,-487.00M,146.00M,-355.00M,-209.00M,46.00M,-132.00M,-86.00M,-177.00M,-177.00M,,4.00M,-468.00M,134.00M,9.00M,-5.00M,138.00M,,46.00M,554.00M,-408.00M,-132.00M
2013-09,462.00M,0.00,0.00,281.00M,281.00M,-11.00M,18.00M,-5.00M,25.00M,-36.00M,110.00M,24.00M,,36.00M,159.00M,,904.00M,-516.00M,,,-15.00M,,,-531.00M,13.00M,-98.00M,-85.00M,32.00M,-113.00M,-81.00M,-176.00M,-176.00M,,0.00,-342.00M,102.00M,31.00M,1.00M,134.00M,,32.00M,17.00M,-4.00M,-113.00M
2013-06,461.00M,0.00,0.00,275.00M,275.00M,98.00M,17.00M,-38.00M,-3.00M,-11.00M,-158.00M,-6.00M,,-58.00M,-236.00M,,577.00M,-522.00M,,,-164.00M,,,-686.00M,-223.00M,662.00M,439.00M,43.00M,-195.00M,-152.00M,-177.00M,-177.00M,,-2.00M,108.00M,113.00M,-1.00M,-10.00M,102.00M,,43.00M,685.00M,-908.00M,-195.00M
2013-03,406.00M,23.00M,23.00M,266.00M,266.00M,1.00M,17.00M,-5.00M,-161.00M,-16.00M,-6.00M,0.00,,-53.00M,-236.00M,,472.00M,-466.00M,,,-1.067B,,,-1.533B,1.376B,-60.00M,1.316B,33.00M,-150.00M,-117.00M,-178.00M,-178.00M,,9.00M,1.03B,157.00M,-31.00M,-13.00M,113.00M,,33.00M,1.403B,-27.00M,-150.00M
2012-12,428.00M,-9.00M,-9.00M,254.00M,254.00M,56.00M,18.00M,-199.00M,71.00M,12.00M,89.00M,41.00M,,118.00M,331.00M,,879.00M,-586.00M,,,-166.00M,,,-752.00M,174.00M,50.00M,224.00M,38.00M,-185.00M,-147.00M,-163.00M,-163.00M,,9.00M,-77.00M,108.00M,50.00M,-1.00M,157.00M,,38.00M,620.00M,-446.00M,-185.00M
2012-09,440.00M,52.00M,52.00M,248.00M,248.00M,119.00M,17.00M,-3.00M,-60.00M,-16.00M,-109.00M,43.00M,,15.00M,-127.00M,,746.00M,-547.00M,,,-52.00M,,,-599.00M,-330.00M,461.00M,131.00M,19.00M,-125.00M,-106.00M,-164.00M,-164.00M,,-8.00M,-147.00M,104.00M,0.00,4.00M,108.00M,,19.00M,16.00M,-346.00M,-125.00M
2012-06,444.00M,0.00,0.00,247.00M,247.00M,14.00M,18.00M,-3.00M,96.00M,17.00M,-1.00M,-23.00M,,-84.00M,5.00M,,725.00M,-564.00M,,,-32.00M,,,-596.00M,304.00M,-130.00M,174.00M,34.00M,-138.00M,-104.00M,-164.00M,-164.00M,,-29.00M,-123.00M,107.00M,6.00M,-9.00M,104.00M,,34.00M,804.00M,-500.00M,-138.00M
2012-03,432.00M,0.00,0.00,252.00M,252.00M,69.00M,17.00M,-106.00M,-143.00M,-31.00M,4.00M,-95.00M,,3.00M,-262.00M,,402.00M,-483.00M,,,52.00M,,,-431.00M,366.00M,-88.00M,278.00M,73.00M,-175.00M,-102.00M,-164.00M,-164.00M,,32.00M,44.00M,90.00M,15.00M,2.00M,107.00M,,73.00M,596.00M,-230.00M,-175.00M
2011-12,431.00M,,,249.00M,249.00M,-36.00M,16.00M,-211.00M,94.00M,12.00M,13.00M,92.00M,,90.00M,301.00M,,791.00M,-572.00M,,,-109.00M,,-40.00M,-721.00M,337.00M,-148.00M,189.00M,31.00M,-179.00M,-148.00M,,-149.00M,,7.00M,-101.00M,125.00M,-31.00M,-4.00M,90.00M,,31.00M,342.00M,-5.00M,-179.00M
2011-09,443.00M,,,256.00M,256.00M,-49.00M,16.00M,16.00M,65.00M,7.00M,27.00M,105.00M,,-138.00M,66.00M,,732.00M,-458.00M,-37.00M,-37.00M,-19.00M,,40.00M,-474.00M,129.00M,75.00M,204.00M,22.00M,-273.00M,-251.00M,,-150.00M,,3.00M,-194.00M,80.00M,64.00M,-19.00M,125.00M,,22.00M,500.00M,-371.00M,-273.00M
2011-06,439.00M,,,254.00M,254.00M,48.00M,16.00M,22.00M,-89.00M,-33.00M,-28.00M,-10.00M,,-16.00M,-176.00M,,573.00M,-433.00M,37.00M,37.00M,-80.00M,,-30.00M,-506.00M,186.00M,72.00M,258.00M,65.00M,-270.00M,-205.00M,,-151.00M,,23.00M,-75.00M,86.00M,-8.00M,2.00M,80.00M,,65.00M,193.00M,-7.00M,-270.00M
2011-03,409.00M,,,244.00M,244.00M,34.00M,14.00M,8.00M,-178.00M,-17.00M,-4.00M,-143.00M,,-8.00M,-350.00M,,359.00M,-334.00M,,,0.00,,30.00M,-304.00M,309.00M,-46.00M,263.00M,77.00M,-215.00M,-138.00M,,-152.00M,,17.00M,-10.00M,39.00M,45.00M,2.00M,86.00M,,77.00M,506.00M,-197.00M,-215.00M
2010-12,142.00M,,,240.00M,240.00M,22.00M,12.00M,-82.00M,25.00M,1.00M,9.00M,102.00M,,50.00M,187.00M,,290.00M,-451.00M,,,38.00M,,-44.00M,-457.00M,362.00M,147.00M,509.00M,49.00M,-314.00M,-265.00M,,-137.00M,,25.00M,132.00M,71.00M,-35.00M,3.00M,39.00M,,49.00M,379.00M,-17.00M,-314.00M
2010-09,388.00M,,,227.00M,227.00M,11.00M,12.00M,-1.00M,-91.00M,-30.00M,2.00M,89.00M,,-11.00M,-41.00M,,596.00M,-324.00M,,,-114.00M,,23.00M,-415.00M,-13.00M,21.00M,8.00M,79.00M,-133.00M,-54.00M,,-139.00M,,19.00M,-166.00M,48.00M,15.00M,8.00M,71.00M,,79.00M,318.00M,-331.00M,-133.00M
2010-06,390.00M,,,230.00M,230.00M,54.00M,13.00M,-10.00M,36.00M,5.00M,-13.00M,-28.00M,,-141.00M,-141.00M,,536.00M,-325.00M,,,-16.00M,,13.00M,-328.00M,-456.00M,73.00M,-383.00M,33.00M,-50.00M,-17.00M,,-137.00M,,2.00M,-535.00M,376.00M,-327.00M,-1.00M,48.00M,,33.00M,347.00M,-803.00M,-50.00M
2010-03,314.00M,,,228.00M,228.00M,46.00M,10.00M,34.00M,-84.00M,-2.00M,-5.00M,0.00,,-58.00M,-149.00M,,483.00M,-288.00M,,,-4.00M,,8.00M,-284.00M,482.00M,-126.00M,356.00M,22.00M,-90.00M,-68.00M,,-138.00M,,,150.00M,45.00M,349.00M,-18.00M,376.00M,,22.00M,846.00M,-364.00M,-90.00M
2009-12,352.00M,,106.00M,223.00M,223.00M,30.00M,9.00M,-111.00M,49.00M,21.00M,3.00M,18.00M,,9.00M,100.00M,,709.00M,-355.00M,,,-3.00M,31.00M,-20.00M,-347.00M,-178.00M,-19.00M,-197.00M,27.00M,-91.00M,-64.00M,,-123.00M,,1.00M,-383.00M,65.00M,-21.00M,1.00M,45.00M,,27.00M,400.00M,-142.00M,-91.00M
2009-09,336.00M,,,217.00M,217.00M,-280.00M,11.00M,298.00M,-57.00M,18.00M,6.00M,50.00M,,-52.00M,-35.00M,,547.00M,-334.00M,,,-117.00M,-13.00M,20.00M,-444.00M,514.00M,-436.00M,78.00M,31.00M,-60.00M,-29.00M,,-122.00M,-6.00M,4.00M,-75.00M,33.00M,28.00M,4.00M,65.00M,,31.00M,1.013B,-935.00M,-60.00M
2009-06,311.00M,,18.00M,207.00M,207.00M,-7.00M,10.00M,-37.00M,-47.00M,-1.00M,3.00M,13.00M,,84.00M,52.00M,,563.00M,-370.00M,,,-9.00M,8.00M,,-371.00M,-14.00M,,-14.00M,21.00M,-85.00M,-64.00M,,-123.00M,3.00M,-19.00M,-217.00M,54.00M,-25.00M,4.00M,33.00M,,21.00M,516.00M,-530.00M,-85.00M
2009-03,298.00M,,-18.00M,199.00M,199.00M,36.00M,9.00M,9.00M,94.00M,20.00M,11.00M,-259.00M,,-41.00M,-175.00M,,349.00M,-293.00M,,,-2.00M,5.00M,,-290.00M,71.00M,,71.00M,16.00M,0.00,16.00M,,-123.00M,3.00M,-3.00M,-36.00M,32.00M,23.00M,-1.00M,54.00M,,16.00M,317.00M,-246.00M,0.00
2008-12,161.00M,,-17.00M,206.00M,206.00M,-50.00M,-34.00M,143.00M,228.00M,43.00M,32.00M,-109.00M,,3.00M,197.00M,,640.00M,-482.00M,,,-25.00M,,6.00M,-501.00M,-295.00M,-525.00M,167.00M,9.00M,-186.00M,-177.00M,,-115.00M,,-3.00M,-128.00M,24.00M,11.00M,-3.00M,32.00M,,9.00M,-972.00M,677.00M,-186.00M
2008-09,366.00M,,17.00M,218.00M,218.00M,16.00M,12.00M,12.00M,160.00M,11.00M,-11.00M,-59.00M,,-100.00M,1.00M,,630.00M,-405.00M,,,-35.00M,-46.00M,48.00M,-438.00M,-61.00M,525.00M,464.00M,22.00M,-559.00M,-537.00M,,-117.00M,,-1.00M,-191.00M,27.00M,1.00M,-4.00M,24.00M,,22.00M,-54.00M,-7.00M,-559.00M
2008-06,377.00M,,,216.00M,216.00M,-1.00M,11.00M,33.00M,-85.00M,-24.00M,8.00M,37.00M,,-161.00M,-225.00M,,389.00M,-380.00M,,,-30.00M,30.00M,,-380.00M,27.00M,,27.00M,88.00M,-39.00M,49.00M,,-119.00M,,38.00M,-5.00M,21.00M,4.00M,2.00M,27.00M,,88.00M,337.00M,-310.00M,-39.00M
2008-03,307.00M,,,210.00M,210.00M,12.00M,11.00M,-11.00M,-184.00M,-9.00M,-33.00M,58.00M,,18.00M,-150.00M,,379.00M,-344.00M,,,-40.00M,16.00M,,-368.00M,329.00M,,329.00M,66.00M,-293.00M,-227.00M,,-117.00M,,6.00M,-9.00M,17.00M,2.00M,2.00M,21.00M,,66.00M,689.00M,-360.00M,-293.00M
2007-12,316.00M,,-22.00M,207.00M,207.00M,18.00M,,-7.00M,-1.00M,-16.00M,15.00M,-17.00M,,94.00M,75.00M,,587.00M,-402.00M,,-402.00M,-121.00M,,,-523.00M,,,75.00M,78.00M,-143.00M,-65.00M,,-94.00M,,10.00M,-74.00M,26.00M,-10.00M,1.00M,17.00M,,78.00M,,,-143.00M
2007-09,305.00M,,-44.00M,196.00M,196.00M,18.00M,,10.00M,-59.00M,-18.00M,1.00M,116.00M,,67.00M,107.00M,,592.00M,-360.00M,,-360.00M,-10.00M,,,-370.00M,,,247.00M,78.00M,-463.00M,-385.00M,,-95.00M,,12.00M,-221.00M,22.00M,1.00M,3.00M,26.00M,,78.00M,,,-463.00M
2007-06,291.00M,,15.00M,189.00M,189.00M,-4.00M,,10.00M,-90.00M,-21.00M,5.00M,89.00M,,-3.00M,-20.00M,,481.00M,-329.00M,,-329.00M,-14.00M,,,-343.00M,,,-67.00M,82.00M,-82.00M,0.00,,-96.00M,,19.00M,-144.00M,26.00M,-6.00M,2.00M,22.00M,,82.00M,,,-82.00M
2007-03,265.00M,,29.00M,182.00M,182.00M,5.00M,,11.00M,-73.00M,-16.00M,-22.00M,-72.00M,,-11.00M,-194.00M,,298.00M,-285.00M,,-285.00M,-292.00M,,,-577.00M,,,540.00M,85.00M,-271.00M,-186.00M,,-96.00M,,11.00M,269.00M,36.00M,-10.00M,,26.00M,,85.00M,,,-271.00M
2006-12,269.00M,,,178.00M,178.00M,-15.00M,,4.00M,8.00M,18.00M,6.00M,98.00M,,-3.00M,127.00M,,563.00M,-300.00M,,-300.00M,7.00M,,,-293.00M,,,-32.00M,64.00M,-225.00M,-161.00M,,-81.00M,,16.00M,-258.00M,22.00M,12.00M,2.00M,36.00M,,64.00M,,,-225.00M
2006-09,247.00M,,,173.00M,173.00M,51.00M,,26.00M,-22.00M,-13.00M,8.00M,124.00M,,-40.00M,57.00M,,554.00M,-274.00M,,-274.00M,98.00M,,,-176.00M,,,-292.00M,47.00M,-45.00M,2.00M,,-81.00M,,-7.00M,-378.00M,21.00M,0.00,1.00M,22.00M,,47.00M,,,-45.00M
2006-06,247.00M,,-11.00M,174.00M,174.00M,9.00M,,6.00M,-55.00M,-4.00M,2.00M,39.00M,103.00M,-118.00M,-33.00M,,392.00M,-270.00M,-5.00M,-275.00M,10.00M,,,-265.00M,,,4.00M,68.00M,-126.00M,-58.00M,,-80.00M,,-4.00M,-138.00M,32.00M,-11.00M,0.00,21.00M,,68.00M,,,-126.00M
2006-03,225.00M,,11.00M,171.00M,171.00M,45.00M,,,-21.00M,-16.00M,-15.00M,-54.00M,-103.00M,,-209.00M,,243.00M,-256.00M,5.00M,-251.00M,-3.00M,,,-254.00M,,,-58.00M,88.00M,-91.00M,-3.00M,,-81.00M,,11.00M,-131.00M,173.00M,-142.00M,1.00M,32.00M,,88.00M,,,-91.00M
2005-12,214.00M,,6.00M,175.00M,175.00M,75.00M,,1.00M,-50.00M,0.00,1.00M,-65.00M,,19.00M,-95.00M,,376.00M,-279.00M,34.00M,-245.00M,-61.00M,,,-306.00M,,,189.00M,50.00M,-64.00M,-14.00M,,-59.00M,,-30.00M,86.00M,19.00M,156.00M,-2.00M,173.00M,,50.00M,,,-64.00M
2005-09,108.00M,,-5.00M,165.00M,165.00M,92.00M,,-22.00M,-115.00M,-41.00M,-24.00M,257.00M,,5.00M,82.00M,,420.00M,-235.00M,,-235.00M,9.00M,,,-226.00M,,,-61.00M,66.00M,-140.00M,-74.00M,,-58.00M,,-11.00M,-204.00M,28.00M,-10.00M,1.00M,19.00M,,66.00M,,,-140.00M
2005-06,209.00M,,8.00M,163.00M,163.00M,-2.00M,,62.00M,,,,,,-50.00M,-50.00M,,390.00M,-198.00M,-13.00M,-211.00M,8.00M,,2.00M,-201.00M,,,-91.00M,65.00M,-100.00M,-35.00M,,-58.00M,,-3.00M,-187.00M,26.00M,2.00M,0.00,28.00M,,65.00M,,,-100.00M
2005-03,195.00M,,-3.00M,162.00M,162.00M,35.00M,,-40.00M,,,,,,-60.00M,-60.00M,,289.00M,-165.00M,13.00M,-152.00M,,,-2.00M,-154.00M,,,-40.00M,61.00M,-92.00M,-31.00M,,-58.00M,,-4.00M,-133.00M,25.00M,2.00M,-1.00M,26.00M,,61.00M,,,-92.00M
2004-12,181.00M,,,154.00M,154.00M,42.00M,,8.00M,,,,,,111.00M,43.00M,,428.00M,-243.00M,-40.00M,-283.00M,-676.00M,,,-914.00M,,,598.00M,58.00M,-124.00M,-66.00M,,-49.00M,,4.00M,487.00M,22.00M,1.00M,2.00M,25.00M,,58.00M,,,-124.00M
2004-09,177.00M,,2.00M,145.00M,145.00M,23.00M,,63.00M,,,,,,-28.00M,-28.00M,,382.00M,-161.00M,23.00M,-138.00M,-5.00M,,,-143.00M,,,-147.00M,40.00M,-78.00M,-38.00M,,-49.00M,,-8.00M,-242.00M,23.00M,-3.00M,2.00M,22.00M,,40.00M,,,-78.00M
