,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-09,1.462B,1.462B,457.00M,1.005B,,,,15.00M,64.00M,,,,414.00M,642.00M,363.00M,,,,15.00M,,254.00M,83.00M,171.00M,,,171.00M,160.90M,527.00M,,363.00M,0.485,0.00,,0.4564,0.485,0.485,0.00,,,2003-09,352.58M,352.58M,0.1925,,2003-09,,
2003-06,1.339B,1.339B,386.00M,953.00M,,,,23.00M,60.00M,,,,459.00M,667.00M,286.00M,,,,23.00M,,166.00M,49.00M,117.00M,-1.00M,,116.00M,100.79M,434.00M,,286.00M,0.34,0.00,,0.2925,0.34,0.335,0.00,,,2003-06,341.18M,346.27M,0.1925,,2003-06,,
2003-03,1.488B,1.488B,499.00M,989.00M,,,,10.00M,65.00M,,,,398.00M,630.00M,359.00M,,,,10.00M,,245.00M,69.00M,176.00M,,63.00M,239.00M,168.82M,526.00M,,359.00M,0.53,0.185,0.00,0.5085,0.715,0.53,0.185,0.1885,,2003-03,334.27M,334.27M,0.1925,,2003-03,,
2002-12,1.426B,1.426B,446.00M,980.00M,,,,10.00M,59.00M,,,,485.00M,703.00M,277.00M,,,,10.00M,,149.00M,16.00M,133.00M,,0.00,131.00M,124.07M,436.00M,,277.00M,0.365,0.50,0.00,0.3373,0.375,0.365,0.50,0.0102,,2002-12,322.05M,329.03M,0.18,,2002-12,,
2002-09,1.462B,1.462B,428.00M,1.034B,,,,4.00M,54.00M,,,,432.00M,640.00M,394.00M,,,,4.00M,,216.00M,78.00M,138.00M,,,138.00M,135.44M,548.00M,,394.00M,0.405,0.00,,0.3966,0.405,0.40,0.00,,,2002-09,303.13M,303.70M,0.18,,2002-09,,
2002-06,1.301B,1.301B,471.00M,830.00M,,,,6.00M,47.00M,,,,582.00M,743.00M,87.00M,,,,6.00M,,-8.00M,4.00M,-12.00M,,,-12.00M,-15.60M,201.00M,,87.00M,-0.09,0.00,,-0.1022,-0.09,-0.09,0.00,,,2002-06,294.30M,294.30M,0.18,,2002-06,,
2002-03,1.354B,1.354B,345.00M,1.009B,,,,7.00M,61.00M,,,,409.00M,609.00M,400.00M,,,,7.00M,,251.00M,86.00M,165.00M,,-150.00M,15.00M,160.40M,539.00M,,400.00M,0.50,-0.51,-0.0000,0.4843,-0.01,0.50,-0.51,-0.5111,,2002-03,293.51M,294.18M,0.18,,2002-03,,
2001-12,1.319B,1.319B,468.00M,851.00M,,,,-5.00M,35.00M,,,,879.00M,1.04B,-189.00M,,,,-5.00M,,-291.00M,14.00M,-305.00M,,,-295.00M,-302.00M,-63.00M,,-189.00M,-1.105,0.03,,-1.095,-1.075,-1.105,0.03,,,2001-12,298.86M,298.86M,0.1325,,2001-12,,
2001-09,1.225B,1.225B,315.00M,910.00M,,,,9.00M,40.00M,,,,401.00M,573.00M,337.00M,,,,9.00M,,254.00M,86.00M,168.00M,,,168.00M,162.05M,469.00M,,337.00M,0.52,0.00,,0.4996,0.52,0.52,0.00,,,2001-09,292.48M,293.50M,0.1325,,2001-09,,
2001-06,1.411B,1.411B,554.00M,857.00M,,,,6.00M,39.00M,,,,448.00M,609.00M,248.00M,,,,6.00M,,165.00M,35.00M,130.00M,,,130.00M,125.27M,370.00M,,248.00M,0.40,0.00,,0.3838,0.40,0.40,0.00,,,2001-06,291.80M,293.40M,0.1325,,2001-06,,
2001-03,1.566B,1.566B,583.00M,983.00M,,,,4.00M,41.00M,,,,423.00M,527.00M,456.00M,,,,4.00M,,354.00M,126.00M,228.00M,,,228.00M,225.42M,519.00M,,456.00M,0.765,0.00,,0.7561,0.765,0.76,0.00,,,2001-03,290.20M,292.11M,0.1325,,2001-03,,
2000-12,367.00M,367.00M,-569.00M,936.00M,,,,-28.00M,44.00M,,,,656.00M,616.00M,320.00M,,,,-28.00M,,203.00M,79.00M,124.00M,,,135.00M,141.10M,320.00M,,320.00M,0.405,0.035,,0.4640,0.44,0.40,0.035,,,2000-12,289.79M,291.91M,0.1325,,2000-12,,
2000-09,1.468B,1.468B,690.00M,778.00M,,,,1.00M,38.00M,,,,319.00M,465.00M,313.00M,,,,1.00M,,217.00M,75.00M,142.00M,,,142.00M,141.35M,421.00M,,313.00M,0.47,0.00,,0.4677,0.47,0.47,0.00,,,2000-09,289.16M,290.19M,0.1325,,2000-09,,
2000-06,1.297B,1.297B,593.00M,704.00M,,,,8.00M,49.00M,,,,298.00M,463.00M,241.00M,,,,8.00M,,157.00M,58.00M,99.00M,,,99.00M,93.96M,357.00M,,241.00M,0.32,0.00,,0.3025,0.32,0.32,0.00,,,2000-06,288.27M,288.27M,0.1325,,2000-06,,
2000-03,1.413B,1.413B,608.00M,805.00M,,,,-1.00M,60.00M,,,,294.00M,485.00M,320.00M,,,,-1.00M,,230.00M,82.00M,148.00M,,,148.00M,148.64M,451.00M,,320.00M,0.495,0.00,,0.4972,0.495,0.495,0.00,,,2000-03,287.39M,287.39M,0.1325,,2000-03,,
1999-12,1.133B,1.133B,460.00M,673.00M,,,,90.00M,25.00M,,,,535.00M,465.00M,208.00M,,,,90.00M,,223.00M,82.00M,141.00M,,,154.00M,84.09M,113.00M,-95.00M,208.00M,0.46,0.035,,0.2655,0.495,0.46,0.035,,,1999-12,292.58M,292.58M,0.125,,1999-12,,
1999-09,1.386B,1.386B,691.00M,695.00M,,,,,40.00M,,,,317.00M,457.00M,238.00M,,,,,,145.00M,-22.00M,167.00M,,-59.00M,108.00M,167.00M,338.00M,100.00M,238.00M,0.535,-0.195,0.00,0.535,0.34,0.535,-0.195,-0.1967,,1999-09,300.00M,300.00M,0.125,,1999-09,,
1999-06,1.004B,1.004B,458.00M,546.00M,,,,7.00M,43.00M,,,,237.00M,382.00M,164.00M,,,,7.00M,,110.00M,40.00M,70.00M,,,70.00M,65.55M,266.00M,102.00M,164.00M,0.20,0.00,,0.1859,0.20,0.20,0.00,,,1999-06,315.00M,315.00M,0.125,,1999-06,,
1999-03,1.067B,1.067B,401.00M,666.00M,,,,,53.00M,,,,246.00M,404.00M,262.00M,,,,,,200.00M,74.00M,126.00M,,,126.00M,126.00M,367.00M,105.00M,262.00M,0.38,0.00,,0.38,0.38,0.38,0.00,,,1999-03,315.79M,315.79M,0.125,,1999-03,,
1998-12,902.00M,902.00M,327.00M,575.00M,,,,1.00M,52.00M,,,,165.00M,356.00M,219.00M,,,,1.00M,,154.00M,59.00M,95.00M,,0.00,95.00M,94.38M,358.00M,,219.00M,0.275,-0.035,0.00,0.2730,0.24,0.275,-0.035,-0.0441,,1998-12,313.58M,334.01M,0.125,,1998-12,,
1998-09,1.166B,1.166B,564.00M,602.00M,,,,-9.00M,34.00M,,,,213.00M,315.00M,287.00M,,,,-9.00M,,220.00M,78.00M,142.00M,,,142.00M,147.81M,355.00M,,287.00M,0.405,0.00,,0.4223,0.405,0.405,0.00,,,1998-09,335.80M,335.80M,0.125,,1998-09,,
1998-06,838.00M,838.00M,336.00M,502.00M,,,,4.00M,49.00M,,,,211.00M,354.00M,148.00M,,,,4.00M,,98.00M,38.00M,60.00M,,-948.00M,-888.00M,57.55M,242.00M,,148.00M,0.16,-2.83,-0.0000,0.1527,-2.67,0.16,-2.83,-2.828,,1998-06,335.21M,335.21M,0.2088,,1998-06,,
