,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2015-10,520.00M,,,,696.00M,696.00M,-115.00M,,113.00M,,-92.00M,-280.00M,-119.00M,55.00M,,481.00M,137.00M,1.279B,,2015-10,-222.00M,-222.00M,,-818.00M,-33.00M,-15.00M,-1.088B,,2015-10,-604.00M,292.00M,165.00M,-710.00M,-545.00M,-537.00M,-537.00M,9.00M,-781.00M,,2015-10,2.979B,-590.00M,2.378B,,2015-10,165.00M,-604.00M,-710.00M,385.00M,576.00M,,2015-10,AOR
2015-07,820.00M,,,,701.00M,701.00M,-159.00M,,96.00M,,108.00M,279.00M,-207.00M,-424.00M,,-408.00M,-760.00M,816.00M,,2015-07,-224.00M,-224.00M,,-179.00M,-585.00M,2.00M,-986.00M,,2015-07,-1.004B,-575.00M,98.00M,-750.00M,-652.00M,-538.00M,-538.00M,21.00M,-1.744B,,2015-07,4.843B,-1.914B,2.979B,,2015-07,98.00M,-1.004B,-750.00M,636.00M,76.00M,,2015-07,AOR
2015-04,-1.00M,,,,677.00M,677.00M,-906.00M,,324.00M,,1.407B,-353.00M,-37.00M,147.00M,,644.00M,401.00M,1.912B,,2015-04,-255.00M,-255.00M,,-14.27B,-716.00M,29.00M,-15.22B,,2015-04,1.769B,1.761B,172.00M,-300.00M,-128.00M,-435.00M,-435.00M,-47.00M,1.151B,,2015-04,17.23B,-12.15B,4.843B,,2015-04,172.00M,-1.256B,-300.00M,186.00M,357.00M,,2015-04,AOR
2015-01,977.00M,,,,206.00M,206.00M,41.00M,,33.00M,,-29.00M,4.00M,-75.00M,676.00M,,-74.00M,531.00M,1.767B,,2015-01,-106.00M,-106.00M,,-33.00M,-617.00M,66.00M,-690.00M,,2015-01,16.91B,15.16B,165.00M,0.00,165.00M,-300.00M,-300.00M,-98.00M,14.92B,,2015-01,1.287B,16.00B,17.23B,,2015-01,165.00M,-156.00M,0.00,89.00M,-29.00M,,2015-01,AOR
2014-10,828.00M,,,,208.00M,208.00M,-159.00M,,48.00M,,-34.00M,-158.00M,-74.00M,189.00M,,56.00M,13.00M,913.00M,,2014-10,-101.00M,-101.00M,,-432.00M,-612.00M,-2.00M,-1.147B,,2014-10,-4.00M,895.00M,158.00M,-555.00M,-397.00M,-298.00M,-298.00M,28.00M,228.00M,,2014-10,1.336B,-6.00M,1.287B,,2014-10,158.00M,-4.00M,-555.00M,211.00M,228.00M,,2014-10,AOR
2014-07,871.00M,,,,215.00M,215.00M,98.00M,,34.00M,,-768.00M,94.00M,-96.00M,-163.00M,,17.00M,-148.00M,310.00M,,2014-07,-109.00M,-109.00M,,-146.00M,253.00M,-4.00M,-6.00M,,2014-07,-3.00M,859.00M,154.00M,-1.065B,-911.00M,-304.00M,-304.00M,1.00M,-355.00M,,2014-07,1.403B,-51.00M,1.336B,,2014-07,154.00M,-3.00M,-1.065B,146.00M,22.00M,,2014-07,AOR
2014-04,448.00M,,,,215.00M,215.00M,-146.00M,,37.00M,,736.00M,-156.00M,80.00M,184.00M,,-79.00M,29.00M,1.328B,,2014-04,-105.00M,-105.00M,,-16.00M,-398.00M,-6.00M,-525.00M,,2014-04,1.439B,-285.00M,251.00M,-400.00M,-149.00M,-277.00M,-277.00M,-6.00M,-717.00M,,2014-04,1.304B,86.00M,1.403B,,2014-04,251.00M,-1.471B,-400.00M,139.00M,168.00M,,2014-04,AOR
2014-01,762.00M,,,,214.00M,214.00M,-42.00M,,33.00M,,192.00M,102.00M,-8.00M,239.00M,,110.00M,443.00M,1.612B,,2014-01,-95.00M,-95.00M,,-159.00M,-958.00M,-5.00M,-1.217B,,2014-01,-4.00M,-9.00M,239.00M,-100.00M,139.00M,-279.00M,-279.00M,7.00M,-142.00M,,2014-01,1.066B,253.00M,1.304B,,2014-01,239.00M,-264.00M,-100.00M,607.00M,423.00M,,2014-01,AOR
2013-10,902.00M,,,,213.00M,213.00M,-49.00M,,44.00M,,11.00M,-101.00M,-16.00M,-210.00M,,232.00M,-95.00M,1.036B,,2013-10,-118.00M,-118.00M,,-193.00M,-866.00M,-9.00M,-1.186B,,2013-10,-2.00M,1.093B,249.00M,-713.00M,-464.00M,-279.00M,-279.00M,13.00M,363.00M,,2013-10,828.00M,213.00M,1.066B,,2013-10,249.00M,-2.00M,-713.00M,-295.00M,-224.00M,,2013-10,AOR
2013-07,953.00M,,,,208.00M,208.00M,30.00M,,31.00M,,-94.00M,85.00M,-95.00M,-330.00M,,181.00M,-159.00M,983.00M,,2013-07,-78.00M,-78.00M,,-17.00M,-562.00M,-9.00M,-666.00M,,2013-07,-4.00M,632.00M,568.00M,-1.34B,-772.00M,-281.00M,-281.00M,-1.00M,-422.00M,,2013-07,919.00M,-105.00M,828.00M,,2013-07,568.00M,-129.00M,-1.34B,70.00M,27.00M,,2013-07,AOR
