,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2006-06,192.00M,,,,,,63.00M,111.00M,111.00M,-7.00M,,,,-50.00M,17.00M,-1.00M,-11.00M,-1.00M,,-52.00M,,-48.00M,,261.00M,-114.00M,18.00M,-96.00M,,-14.00M,12.00M,-98.00M,,,100.00M,40.00M,-158.00M,-118.00M,,-31.00M,,17.00M,-32.00M,134.00M,131.00M,2.00M,267.00M,40.00M,,,-158.00M
2006-03,170.00M,,,,,,-7.00M,99.00M,99.00M,-51.00M,,,,82.00M,8.00M,2.00M,-13.00M,-65.00M,,72.00M,,4.00M,,297.00M,-72.00M,8.00M,-64.00M,,-17.00M,20.00M,-61.00M,,,78.00M,44.00M,-371.00M,-327.00M,,-32.00M,,20.00M,-261.00M,158.00M,-25.00M,1.00M,134.00M,44.00M,,,-371.00M
2005-12,226.00M,,,,,,-14.00M,150.00M,150.00M,-21.00M,,,,2.00M,21.00M,-11.00M,8.00M,-52.00M,,-32.00M,,-66.00M,,277.00M,-247.00M,56.00M,-191.00M,,44.00M,74.00M,-75.00M,,,77.00M,122.00M,-378.00M,-256.00M,,-32.00M,,-67.00M,-278.00M,263.00M,-76.00M,5.00M,158.00M,122.00M,,,-378.00M
2005-09,205.00M,,,,,,-40.00M,111.00M,111.00M,-48.00M,,,,11.00M,-18.00M,3.00M,13.00M,67.00M,,86.00M,,151.00M,,390.00M,-152.00M,3.00M,-149.00M,,-1.00M,37.00M,-113.00M,,,21.00M,24.00M,-189.00M,-165.00M,,-33.00M,,16.00M,-161.00M,113.00M,116.00M,0.00,263.00M,24.00M,,,-189.00M
2005-06,178.00M,,,,,,35.00M,111.00M,111.00M,-22.00M,,,,7.00M,2.00M,4.00M,26.00M,19.00M,,13.00M,,64.00M,-34.00M,339.00M,-116.00M,19.00M,-97.00M,,-13.00M,58.00M,-52.00M,,,43.00M,43.00M,-373.00M,-330.00M,,-29.00M,,28.00M,-288.00M,118.00M,-1.00M,-4.00M,113.00M,43.00M,,,-373.00M
2005-03,153.00M,,,,,,3.00M,97.00M,97.00M,-10.00M,,,,21.00M,-6.00M,,31.00M,-44.00M,,-13.00M,,-32.00M,34.00M,266.00M,-94.00M,3.00M,-91.00M,,-18.00M,4.00M,-105.00M,,,-29.00M,46.00M,-116.00M,-70.00M,,-29.00M,,23.00M,-105.00M,62.00M,56.00M,,118.00M,46.00M,,,-116.00M
2004-12,235.00M,,,,,,44.00M,146.00M,146.00M,114.00M,,,,,-27.00M,-2.00M,14.00M,-47.00M,,-82.00M,,-144.00M,,395.00M,-262.00M,20.00M,-242.00M,0.00,10.00M,82.00M,-150.00M,,,-343.00M,73.00M,-275.00M,-202.00M,,-29.00M,,,-574.00M,387.00M,-329.00M,4.00M,62.00M,73.00M,,,-275.00M
2004-09,185.00M,,,,,,-13.00M,107.00M,107.00M,9.00M,,,,,2.00M,1.00M,2.00M,91.00M,,17.00M,,113.00M,,401.00M,-162.00M,8.00M,-154.00M,-33.00M,-19.00M,13.00M,-193.00M,,,-2.00M,25.00M,0.00,25.00M,,-29.00M,,,-6.00M,183.00M,202.00M,2.00M,387.00M,25.00M,,,0.00
2004-06,178.00M,,,,,,19.00M,100.00M,100.00M,18.00M,,,,,-3.00M,-3.00M,-5.00M,-43.00M,6.00M,-66.00M,,-114.00M,,201.00M,-118.00M,15.00M,-103.00M,-1.00M,-17.00M,26.00M,-95.00M,,,-11.00M,39.00M,-78.00M,-39.00M,,,,,-50.00M,129.00M,56.00M,-2.00M,183.00M,39.00M,,,-78.00M
2004-03,142.00M,,,,,,8.00M,95.00M,95.00M,1.00M,,,,,-11.00M,-3.00M,-16.00M,-21.00M,-6.00M,,,-57.00M,,189.00M,-103.00M,9.00M,-94.00M,-4.00M,-10.00M,5.00M,-103.00M,,,4.00M,63.00M,-216.00M,-153.00M,,,,,-149.00M,192.00M,-63.00M,,129.00M,63.00M,,,-216.00M
2003-12,214.00M,,,,,,10.00M,128.00M,128.00M,-25.00M,,,,-41.00M,-1.00M,3.00M,17.00M,-13.00M,,38.00M,,44.00M,,330.00M,-305.00M,17.00M,-288.00M,-11.00M,10.00M,60.00M,-229.00M,,,-89.00M,40.00M,-157.00M,-117.00M,,,,,-206.00M,298.00M,-105.00M,-1.00M,192.00M,40.00M,,,-157.00M
2003-09,164.00M,,,,,,-49.00M,92.00M,92.00M,29.00M,,,,41.00M,14.00M,-1.00M,8.00M,88.00M,,19.00M,,128.00M,,405.00M,-137.00M,9.00M,-128.00M,-8.00M,1.00M,7.00M,-128.00M,,,-137.00M,36.00M,-39.00M,-3.00M,,,,,-140.00M,164.00M,137.00M,-3.00M,298.00M,36.00M,,,-39.00M
2003-06,122.00M,,,,,,44.00M,94.00M,94.00M,-14.00M,,,,,-23.00M,4.00M,0.00,-27.00M,,35.00M,,-11.00M,,235.00M,-109.00M,9.00M,-100.00M,-22.00M,13.00M,20.00M,-89.00M,,,-153.00M,24.00M,-82.00M,-58.00M,,,,48.00M,-163.00M,175.00M,-17.00M,6.00M,164.00M,24.00M,,,-82.00M
2003-03,117.00M,,,,,,34.00M,87.00M,87.00M,-13.00M,,,,,12.00M,-7.00M,-25.00M,-80.00M,,4.00M,,-96.00M,,129.00M,-112.00M,11.00M,-101.00M,,-11.00M,-7.00M,-119.00M,,,72.00M,10.00M,,10.00M,,,,-48.00M,34.00M,130.00M,44.00M,1.00M,175.00M,10.00M,,,
2002-12,172.00M,,,,,,-44.00M,126.00M,126.00M,18.00M,,,,15.00M,-2.00M,-1.00M,14.00M,-11.00M,,-34.00M,,-34.00M,,253.00M,-299.00M,25.00M,-274.00M,0.00,12.00M,27.00M,-235.00M,,,-23.00M,15.00M,-67.00M,-52.00M,,,,0.00,-75.00M,186.00M,-57.00M,1.00M,130.00M,15.00M,,,-67.00M
2002-09,147.00M,,,,,,-20.00M,86.00M,86.00M,4.00M,,,,21.00M,24.00M,15.00M,-14.00M,52.00M,,22.00M,,99.00M,,337.00M,-188.00M,14.00M,-174.00M,-6.00M,-8.00M,67.00M,-121.00M,,,-104.00M,11.00M,-93.00M,-82.00M,,,,-13.00M,-199.00M,169.00M,17.00M,0.00,186.00M,11.00M,,,-93.00M
2002-06,140.00M,,,,,,45.00M,80.00M,80.00M,1.00M,,,,-4.00M,5.00M,1.00M,10.00M,-6.00M,,39.00M,,49.00M,,311.00M,-160.00M,8.00M,-152.00M,-281.00M,12.00M,-19.00M,-440.00M,,,167.00M,53.00M,-60.00M,-7.00M,,,,0.00,160.00M,136.00M,31.00M,2.00M,169.00M,53.00M,,,-60.00M
2002-03,124.00M,,,,,,13.00M,78.00M,78.00M,-2.00M,,,,4.00M,5.00M,-4.00M,9.00M,-72.00M,,32.00M,,-30.00M,,187.00M,-113.00M,11.00M,-102.00M,-1.00M,-7.00M,21.00M,-89.00M,,,-109.00M,46.00M,-8.00M,38.00M,,,,-2.00M,-73.00M,110.00M,25.00M,1.00M,136.00M,46.00M,,,-8.00M
2001-12,164.00M,,,,,,25.00M,111.00M,111.00M,-50.00M,,,,1.00M,25.00M,-3.00M,2.00M,42.00M,,-119.00M,,-53.00M,,198.00M,-276.00M,42.00M,-234.00M,-6.00M,29.00M,49.00M,-162.00M,,,-134.00M,,-2.00M,-2.00M,,,,26.00M,-110.00M,184.00M,-74.00M,,110.00M,,,,-2.00M
2001-09,124.00M,,,,,,8.00M,85.00M,85.00M,2.00M,,,,14.00M,31.00M,0.00,-5.00M,39.00M,12.00M,22.00M,,99.00M,,332.00M,-157.00M,-1.00M,-158.00M,0.00,9.00M,18.00M,-131.00M,,,-135.00M,,-77.00M,-77.00M,,,,12.00M,-200.00M,183.00M,1.00M,,184.00M,,,,-77.00M
2001-06,116.00M,,,,,,-50.00M,85.00M,85.00M,-10.00M,,,,,16.00M,-4.00M,20.00M,-42.00M,-12.00M,38.00M,,16.00M,,157.00M,-109.00M,1.00M,-108.00M,-53.00M,4.00M,87.00M,-70.00M,,,-51.00M,,-11.00M,-11.00M,,,,0.00,-62.00M,158.00M,25.00M,,183.00M,,,,-11.00M
2001-03,88.00M,,,,,,1.00M,73.00M,73.00M,-14.00M,,,,,44.00M,-1.00M,-20.00M,-52.00M,,26.00M,,-3.00M,,145.00M,-94.00M,15.00M,-79.00M,-49.00M,-15.00M,3.00M,-140.00M,,,20.00M,,-10.00M,-10.00M,,,,10.00M,20.00M,133.00M,25.00M,,158.00M,,,,-10.00M
2000-12,128.00M,,,,,,-99.00M,109.00M,109.00M,-14.00M,,,,11.00M,77.00M,79.00M,,-169.00M,3.00M,18.00M,,8.00M,,143.00M,-259.00M,29.00M,-230.00M,3.00M,-4.00M,105.00M,-126.00M,,,-11.00M,,-216.00M,-216.00M,,216.00M,,13.00M,2.00M,115.00M,19.00M,-1.00M,133.00M,,,,-216.00M
2000-09,59.00M,,,,,,84.00M,82.00M,82.00M,-14.00M,,,,6.00M,24.00M,-2.00M,,15.00M,3.00M,-24.00M,,16.00M,,233.00M,-127.00M,8.00M,-119.00M,-27.00M,-2.00M,25.00M,-123.00M,,,-156.00M,,216.00M,216.00M,,-216.00M,,4.00M,-152.00M,157.00M,-42.00M,0.00,115.00M,,,,216.00M
2000-06,106.00M,,,,,,37.00M,81.00M,81.00M,-9.00M,,,,8.00M,-68.00M,9.00M,,-17.00M,7.00M,-21.00M,,-90.00M,,133.00M,-118.00M,21.00M,-97.00M,,60.00M,149.00M,112.00M,,,-116.00M,,-78.00M,-78.00M,,,,6.00M,-188.00M,102.00M,57.00M,-2.00M,157.00M,,,,-78.00M
2000-03,120.00M,,,,,,-83.00M,82.00M,82.00M,-14.00M,,,,18.00M,-194.00M,-75.00M,,77.00M,-16.00M,67.00M,,-141.00M,,-18.00M,-68.00M,6.00M,-62.00M,,-75.00M,37.00M,-100.00M,,,255.00M,,-138.00M,-138.00M,,,,14.00M,131.00M,89.00M,13.00M,,102.00M,,,,-138.00M
1999-12,145.00M,,,,,,31.00M,121.00M,121.00M,26.00M,,,,,-17.00M,-1.00M,,-3.00M,0.00,-191.00M,,-212.00M,,111.00M,-203.00M,36.00M,-167.00M,,,303.00M,136.00M,,,-189.00M,,,,,,,15.00M,-308.00M,151.00M,-61.00M,-1.00M,89.00M,,,,
1999-09,197.00M,,,,,,-101.00M,82.00M,82.00M,-24.00M,,,,,39.00M,7.00M,,-34.00M,9.00M,92.00M,,113.00M,,267.00M,-115.00M,-3.00M,-118.00M,,,259.00M,141.00M,,,-432.00M,,,,,,,9.00M,-423.00M,0.00,-15.00M,0.00,151.00M,,,,
1999-06,179.00M,,,,,,-147.00M,88.00M,88.00M,3.00M,,,,,-26.00M,-5.00M,,35.00M,-8.00M,44.00M,,40.00M,,163.00M,-86.00M,15.00M,-71.00M,,,274.00M,203.00M,,,-311.00M,,,,,,,0.00,-311.00M,0.00,55.00M,1.00M,0.00,,,,
1999-03,106.00M,,,,,,12.00M,95.00M,95.00M,-21.00M,,,,,-24.00M,5.00M,,-213.00M,-14.00M,78.00M,,-168.00M,,24.00M,-72.00M,3.00M,-69.00M,,,111.00M,42.00M,,,-83.00M,,,,,,,6.00M,-77.00M,121.00M,-11.00M,,0.00,,,,
1998-12,151.00M,,,,,,-173.00M,119.00M,119.00M,31.00M,,,,175.00M,-11.00M,-1.00M,,43.00M,23.00M,-186.00M,,-132.00M,,171.00M,-460.00M,24.00M,-436.00M,,,531.00M,95.00M,,,-302.00M,,,,,,,11.00M,-291.00M,145.00M,-25.00M,1.00M,121.00M,,,,
1998-09,128.00M,,,,,,-34.00M,97.00M,97.00M,-13.00M,,,,,17.00M,1.00M,,15.00M,-11.00M,27.00M,,49.00M,,227.00M,157.00M,12.00M,169.00M,,,-69.00M,100.00M,,,-386.00M,,,,,,,3.00M,-383.00M,0.00,-56.00M,-1.00M,145.00M,,,,
1998-06,112.00M,,,,,,-24.00M,97.00M,97.00M,-13.00M,,,,-18.00M,-10.00M,0.00,,55.00M,-9.00M,46.00M,,82.00M,,236.00M,-104.00M,9.00M,-95.00M,,,136.00M,41.00M,,,-315.00M,,,,,,,1.00M,-314.00M,0.00,-37.00M,0.00,0.00,,,,
