,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-09,861.00M,,861.00M,355.00M,355.00M,230.00M,248.00M,112.00M,113.00M,,1.919B,,,,,,,7.96B,-3.697B,4.263B,674.00M,287.00M,961.00M,53.00M,563.00M,547.00M,6.387B,8.306B,1.811B,,153.00M,1.964B,,1.964B,,,566.00M,,566.00M,112.00M,2.642B,2.651B,,2.651B,,,60.00M,8.00M,1.12B,3.779B,6.421B,8.00M,2.079B,,,,-262.00M,1.825B
2015-06,636.00M,,636.00M,350.00M,350.00M,279.00M,276.00M,84.00M,104.00M,,1.729B,,,,,,,8.076B,-3.704B,4.372B,684.00M,294.00M,978.00M,39.00M,622.00M,554.00M,6.565B,8.294B,1.881B,,156.00M,2.037B,,2.037B,,,568.00M,,568.00M,84.00M,2.689B,2.831B,,2.831B,,,56.00M,8.00M,1.141B,3.98B,6.669B,0.00,1.726B,,,,-157.00M,1.569B
2015-03,675.00M,,675.00M,373.00M,373.00M,276.00M,259.00M,103.00M,97.00M,,1.783B,,,,,,,8.001B,-3.627B,4.374B,684.00M,299.00M,983.00M,32.00M,586.00M,547.00M,6.522B,8.305B,1.79B,,131.00M,1.921B,,1.921B,,,266.00M,,266.00M,103.00M,2.29B,3.121B,,3.121B,,,56.00M,8.00M,1.123B,4.252B,6.542B,0.00,1.978B,,,,-271.00M,1.707B
2014-12,578.00M,,578.00M,325.00M,380.00M,301.00M,185.00M,95.00M,,,1.553B,0.0,506.00M,4.759B,2.817B,,,8.082B,-3.584B,4.498B,700.00M,318.00M,1.018B,52.00M,653.00M,560.00M,6.781B,8.334B,694.00M,178.00M,177.00M,1.049B,250.00M,1.299B,0.00,267.00M,267.00M,,267.00M,424.00M,2.409B,3.077B,,3.077B,,,57.00M,9.00M,1.235B,4.321B,6.73B,0.00,1.737B,,,,-190.00M,1.547B
2014-09,685.00M,326.00M,1.011B,373.00M,373.00M,266.00M,226.00M,73.00M,121.00M,,2.07B,,,,,,,8.10B,-3.62B,4.48B,886.00M,622.00M,1.508B,58.00M,500.00M,561.00M,7.107B,9.177B,1.771B,,196.00M,1.967B,,1.967B,,,72.00M,,72.00M,73.00M,2.112B,3.315B,,3.315B,,,63.00M,36.00M,1.146B,4.497B,6.609B,7.00M,2.462B,,,,36.00M,2.505B
2014-06,597.00M,234.00M,831.00M,352.00M,352.00M,282.00M,231.00M,57.00M,129.00M,,1.882B,,,,,,,7.979B,-3.554B,4.425B,875.00M,615.00M,1.49B,49.00M,407.00M,557.00M,6.928B,8.81B,1.836B,,190.00M,2.026B,,2.026B,,,70.00M,,70.00M,57.00M,2.153B,3.095B,,3.095B,,,62.00M,36.00M,1.20B,4.331B,6.484B,0.00,2.258B,,,,6.00M,2.264B
2014-03,734.00M,,734.00M,354.00M,354.00M,258.00M,238.00M,98.00M,127.00M,,1.809B,,,,,,,7.85B,-3.472B,4.378B,881.00M,633.00M,1.514B,40.00M,401.00M,563.00M,6.896B,8.705B,1.825B,,157.00M,1.982B,,1.982B,,,70.00M,,70.00M,98.00M,2.15B,2.949B,,2.949B,,,60.00M,38.00M,1.233B,4.22B,6.37B,0.00,2.248B,,,,27.00M,2.275B
2013-12,573.00M,,573.00M,319.00M,408.00M,294.00M,181.00M,96.00M,123.00M,,1.691B,0.0,508.00M,4.592B,2.75B,,,7.85B,-3.391B,4.459B,889.00M,638.00M,1.527B,53.00M,399.00M,566.00M,7.004B,8.695B,692.00M,164.00M,262.00M,1.118B,235.00M,1.353B,,71.00M,71.00M,,71.00M,399.00M,2.265B,2.918B,,2.918B,,,63.00M,39.00M,1.244B,4.201B,6.466B,0.00,2.102B,,,,64.00M,2.166B
2013-09,753.00M,,753.00M,348.00M,348.00M,300.00M,233.00M,80.00M,116.00M,,1.83B,,,,,,,7.549B,-3.292B,4.257B,882.00M,644.00M,1.526B,42.00M,508.00M,567.00M,6.90B,8.73B,1.745B,,149.00M,1.894B,,1.894B,,,15.00M,,15.00M,80.00M,1.989B,2.917B,,2.917B,,,66.00M,40.00M,1.524B,4.481B,6.47B,0.00,2.326B,,,,-132.00M,2.194B
2013-06,500.00M,,500.00M,352.00M,352.00M,319.00M,238.00M,81.00M,115.00M,,1.605B,,,,,,,7.477B,-3.225B,4.252B,1.11B,717.00M,1.827B,29.00M,480.00M,571.00M,7.159B,8.764B,1.739B,,102.00M,1.841B,,1.841B,,,68.00M,,68.00M,81.00M,1.99B,2.918B,,2.918B,,,62.00M,59.00M,1.512B,4.489B,6.479B,0.00,2.324B,,,,-101.00M,2.223B
2013-03,762.00M,,762.00M,368.00M,368.00M,288.00M,227.00M,120.00M,133.00M,,1.898B,,,,,,,7.428B,-3.17B,4.258B,1.026B,693.00M,1.719B,31.00M,468.00M,571.00M,7.047B,8.945B,1.866B,,82.00M,1.948B,,1.948B,,,21.00M,,21.00M,120.00M,2.089B,2.924B,,2.924B,,,65.00M,59.00M,1.515B,4.498B,6.587B,0.00,2.413B,,,,-120.00M,2.293B
2012-12,776.00M,,776.00M,301.00M,356.00M,313.00M,161.00M,136.00M,127.00M,,1.925B,0.0,469.00M,4.293B,2.627B,,,7.389B,-3.139B,4.25B,1.034B,690.00M,1.724B,72.00M,467.00M,575.00M,7.088B,9.013B,684.00M,151.00M,200.00M,1.035B,264.00M,1.299B,,10.00M,10.00M,,10.00M,483.00M,2.279B,2.932B,,2.932B,,,99.00M,59.00M,1.49B,4.481B,6.76B,0.00,2.286B,,,,-132.00M,2.154B
2012-09,942.00M,,942.00M,302.00M,302.00M,291.00M,323.00M,113.00M,108.00M,,2.079B,,,,,,,7.338B,-3.219B,4.119B,1.006B,713.00M,1.719B,58.00M,471.00M,528.00M,6.895B,8.974B,1.828B,,98.00M,1.926B,,1.926B,,,18.00M,,18.00M,113.00M,2.057B,3.003B,,3.003B,,,97.00M,45.00M,1.575B,4.623B,6.68B,0.00,2.45B,,,,-253.00M,2.197B
2012-06,984.00M,,984.00M,323.00M,323.00M,305.00M,390.00M,104.00M,125.00M,,2.231B,,,,,,,7.358B,-3.256B,4.102B,1.01B,733.00M,1.743B,42.00M,547.00M,512.00M,6.946B,9.177B,1.77B,,123.00M,1.893B,,1.893B,,,316.00M,,316.00M,104.00M,2.313B,2.995B,,2.995B,,,92.00M,45.00M,1.597B,4.637B,6.95B,0.00,2.378B,,,,-243.00M,2.135B
2012-03,1.099B,,1.099B,364.00M,341.00M,291.00M,427.00M,,128.00M,139.00M,2.425B,,,,,,,7.274B,-3.233B,4.041B,962.00M,811.00M,1.773B,33.00M,540.00M,531.00M,6.918B,9.343B,1.752B,,181.00M,1.933B,,1.933B,,,319.00M,,319.00M,139.00M,2.391B,3.006B,,3.006B,,,137.00M,,1.667B,4.673B,7.064B,0.00,2.362B,5.00M,,,-225.00M,2.142B
2011-12,1.198B,,1.198B,286.00M,436.00M,273.00M,164.00M,114.00M,112.00M,,2.321B,0.0,527.00M,4.172B,2.568B,,,7.267B,-3.225B,4.042B,681.00M,299.00M,980.00M,167.00M,549.00M,775.00M,6.513B,8.834B,712.00M,131.00M,254.00M,1.097B,229.00M,1.326B,,320.00M,320.00M,,320.00M,364.00M,2.45B,2.997B,,2.997B,,,93.00M,0.00,1.471B,4.468B,6.918B,18.00M,2.052B,,,,-247.00M,1.823B
2011-09,1.236B,,1.236B,281.00M,281.00M,186.00M,466.00M,106.00M,76.00M,,2.351B,,,,,,,7.255B,-3.383B,3.872B,672.00M,286.00M,958.00M,158.00M,424.00M,786.00M,6.198B,8.549B,1.751B,,123.00M,1.874B,,1.874B,,,287.00M,,287.00M,106.00M,2.267B,2.94B,,2.94B,,,90.00M,,1.259B,4.199B,6.466B,0.00,2.082B,,,,-89.00M,1.993B
2011-06,955.00M,,955.00M,295.00M,295.00M,173.00M,232.00M,122.00M,64.00M,,1.841B,,,,,,,7.315B,-3.408B,3.907B,672.00M,407.00M,1.079B,143.00M,421.00M,816.00M,6.366B,8.207B,1.488B,,82.00M,1.57B,,1.57B,,,19.00M,,19.00M,122.00M,1.711B,3.269B,,3.269B,,,83.00M,,1.339B,4.608B,6.319B,0.00,1.907B,,,,-102.00M,1.805B
2011-03,1.529B,,1.529B,311.00M,311.00M,156.00M,264.00M,,59.00M,117.00M,2.436B,,,,,,,7.223B,-3.371B,3.852B,669.00M,408.00M,1.077B,135.00M,419.00M,507.00M,5.99B,8.426B,1.396B,,105.00M,1.501B,,1.501B,,,787.00M,,787.00M,,2.288B,2.918B,,2.918B,,,76.00M,,1.361B,4.279B,6.567B,0.00,1.96B,,,,-177.00M,1.783B
2010-12,1.426B,,1.426B,,256.00M,189.00M,269.00M,,61.00M,112.00M,2.313B,0.0,542.00M,3.983B,2.578B,,,7.103B,-3.273B,3.83B,659.00M,475.00M,1.134B,154.00M,366.00M,519.00M,6.003B,8.316B,1.602B,,61.00M,1.663B,,1.663B,,,673.00M,,673.00M,112.00M,2.448B,2.915B,,2.915B,,,93.00M,,1.284B,4.199B,6.647B,0.00,1.717B,86.00M,,,-227.00M,1.576B
