,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-04,2.912B,2.912B,305.00M,2.607B,549.00M,159.00M,708.00M,296.00M,2.00M,,5.00M,4.00M,-1.00M,,1.006B,1.601B,4.00M,5.00M,-1.00M,3.00M,-1.00M,1.603B,417.00M,1.186B,,1.186B,1.186B,1.672B,64.00M,1.608B,4.62,,,4.62,4.62,4.53,,,,2018-04,257.00M,262.00M,0.39,,2018-04,AOR,Restated
2018-01,1.339B,1.339B,246.00M,1.093B,469.00M,143.00M,612.00M,286.00M,1.00M,,6.00M,2.00M,-4.00M,,899.00M,194.00M,2.00M,6.00M,-4.00M,3.00M,-4.00M,193.00M,10.00M,183.00M,,183.00M,183.00M,261.00M,62.00M,199.00M,0.72,,,0.72,0.72,0.70,,,,2018-01,256.00M,260.00M,0.39,,2018-01,AOR,Restated
2017-10,910.00M,910.00M,198.00M,712.00M,308.00M,145.00M,453.00M,293.00M,1.00M,,5.00M,2.00M,-3.00M,,747.00M,-35.00M,2.00M,5.00M,-3.00M,1.00M,-3.00M,-37.00M,-35.00M,-2.00M,,-2.00M,-2.00M,33.00M,65.00M,-32.00M,-0.01,,,-0.01,-0.01,-0.01,,,,2017-10,256.00M,256.00M,0.39,,2017-10,AOR,Restated
2017-07,861.00M,861.00M,184.00M,677.00M,260.00M,141.00M,401.00M,263.00M,0.00,,3.00M,4.00M,1.00M,,664.00M,13.00M,4.00M,3.00M,1.00M,-1.00M,1.00M,13.00M,-25.00M,38.00M,,38.00M,38.00M,78.00M,62.00M,16.00M,0.09,0.00,,0.09,0.09,0.09,0.00,,,2017-07,257.00M,261.00M,0.34,,2017-07,AOR,Restated
2017-04,2.541B,2.541B,237.00M,2.304B,467.00M,146.00M,613.00M,246.00M,1.00M,,8.00M,2.00M,-6.00M,,860.00M,1.444B,2.00M,8.00M,-6.00M,1.00M,-6.00M,1.439B,475.00M,964.00M,,964.00M,964.00M,1.509B,62.00M,1.447B,3.76,,,3.76,3.76,3.70,,,,2017-04,256.00M,260.00M,0.34,,2017-04,AOR,Restated
2017-01,1.016B,1.016B,206.00M,810.00M,405.00M,140.00M,545.00M,243.00M,0.00,,11.00M,1.00M,-10.00M,,788.00M,22.00M,1.00M,11.00M,-10.00M,-2.00M,-10.00M,10.00M,-3.00M,13.00M,,13.00M,13.00M,78.00M,57.00M,21.00M,0.05,,,0.05,0.05,0.05,,,,2017-01,257.00M,260.00M,0.34,,2017-01,AOR,Restated
2016-10,778.00M,778.00M,183.00M,595.00M,283.00M,126.00M,409.00M,246.00M,1.00M,,9.00M,1.00M,-8.00M,,656.00M,-61.00M,1.00M,9.00M,-8.00M,-3.00M,-8.00M,-72.00M,-42.00M,-30.00M,,-30.00M,-30.00M,-8.00M,55.00M,-63.00M,-0.12,,,-0.12,-0.12,-0.12,,,,2016-10,258.00M,258.00M,0.34,,2016-10,AOR,Restated
2016-07,754.00M,754.00M,171.00M,583.00M,266.00M,132.00M,398.00M,235.00M,6.00M,,9.00M,2.00M,-7.00M,,639.00M,-56.00M,2.00M,9.00M,-7.00M,1.00M,-7.00M,-62.00M,-22.00M,-40.00M,0.00,-40.00M,-40.00M,10.00M,63.00M,-53.00M,-0.16,0.00,,-0.16,-0.16,-0.16,0.00,,,2016-07,256.00M,259.00M,0.30,,2016-07,AOR,Restated
2016-04,2.304B,2.304B,216.00M,2.088B,423.00M,149.00M,572.00M,228.00M,3.00M,,10.00M,1.00M,-9.00M,,803.00M,1.285B,1.00M,10.00M,-9.00M,1.00M,-9.00M,1.277B,429.00M,848.00M,178.00M,1.026B,848.00M,1.349B,62.00M,1.287B,3.30,0.70,,3.30,4.00,3.26,0.68,,,2016-04,257.00M,260.00M,0.30,,2016-04,AOR,Restated
2016-01,923.00M,923.00M,199.00M,724.00M,356.00M,120.00M,476.00M,205.00M,1.00M,,9.00M,,-9.00M,,682.00M,42.00M,,9.00M,-9.00M,-5.00M,-9.00M,28.00M,-1.00M,29.00M,-5.00M,24.00M,29.00M,95.00M,58.00M,37.00M,0.11,-0.02,,0.11,0.09,0.11,-0.02,,,2016-01,263.00M,266.00M,0.30,,2016-01,AOR,Restated
2015-10,713.00M,713.00M,166.00M,547.00M,244.00M,117.00M,361.00M,213.00M,2.00M,,7.00M,,-7.00M,,576.00M,-29.00M,,7.00M,-7.00M,-4.00M,-7.00M,-40.00M,-9.00M,-31.00M,,-31.00M,-31.00M,22.00M,55.00M,-33.00M,-0.11,0.00,,-0.11,-0.11,-0.11,0.00,,,2015-10,272.00M,272.00M,0.30,,2015-10,AOR,Restated
2015-07,696.00M,696.00M,176.00M,520.00M,280.00M,118.00M,398.00M,215.00M,3.00M,-34.00M,6.00M,2.00M,-4.00M,,616.00M,-96.00M,2.00M,6.00M,-4.00M,-38.00M,-4.00M,-138.00M,-36.00M,-102.00M,116.00M,14.00M,-76.87M,-71.00M,61.00M,-132.00M,-0.37,0.42,,-0.2796,0.05,-0.37,0.42,,,2015-07,278.00M,280.00M,0.25,,2015-07,AOR,Restated
2015-04,2.135B,2.135B,202.00M,1.933B,413.00M,131.00M,544.00M,206.00M,3.00M,-114.00M,7.00M,2.00M,-5.00M,,753.00M,1.18B,2.00M,7.00M,-5.00M,-115.00M,-5.00M,1.06B,404.00M,656.00M,-155.00M,501.00M,726.68M,1.126B,59.00M,1.067B,2.37,-0.56,,2.625,1.81,2.33,-0.56,,,2015-04,277.00M,282.00M,0.25,,2015-04,AOR,Restated
2015-01,749.00M,749.00M,188.00M,561.00M,344.00M,115.00M,459.00M,188.00M,3.00M,,7.00M,2.00M,-5.00M,,650.00M,-89.00M,2.00M,7.00M,-5.00M,,-5.00M,-94.00M,-34.00M,-60.00M,-6.00M,-66.00M,-60.00M,-30.00M,57.00M,-87.00M,-0.21,-0.02,,-0.21,-0.23,-0.21,-0.02,,,2015-01,285.00M,285.00M,0.25,,2015-01,AOR,Restated
2014-10,612.00M,612.00M,159.00M,453.00M,251.00M,119.00M,370.00M,189.00M,3.00M,,7.00M,2.00M,-5.00M,,562.00M,-109.00M,2.00M,7.00M,-5.00M,-2.00M,-5.00M,-116.00M,-35.00M,-81.00M,-3.00M,-84.00M,-81.00M,-55.00M,54.00M,-109.00M,-0.28,-0.01,,-0.28,-0.29,-0.28,-0.01,,,2014-10,286.00M,286.00M,0.25,,2014-10,AOR,Restated
2014-07,451.00M,451.00M,132.00M,319.00M,135.00M,96.00M,231.00M,166.00M,-7.00M,0.00,7.00M,2.00M,-5.00M,,390.00M,-71.00M,2.00M,7.00M,-5.00M,21.00M,-5.00M,-55.00M,-18.00M,-37.00M,8.00M,-29.00M,-37.00M,2.00M,50.00M,-48.00M,-0.14,0.00,,-0.14,-0.14,-0.14,0.00,,,2014-07,285.00M,291.00M,0.19,,2014-07,AOR,Restated
2014-04,2.388B,2.388B,170.00M,2.218B,412.00M,121.00M,533.00M,186.00M,5.00M,0.00,8.00M,2.00M,-6.00M,,724.00M,1.494B,2.00M,8.00M,-6.00M,1.00M,-6.00M,1.489B,505.00M,984.00M,0.00,984.00M,984.00M,1.544B,47.00M,1.497B,3.47,0.00,,3.47,3.47,3.39,0.00,,,2014-04,284.00M,290.00M,0.19,,2014-04,AOR,Restated
2014-01,782.00M,782.00M,176.00M,606.00M,352.00M,109.00M,461.00M,186.00M,5.00M,,8.00M,1.00M,-7.00M,,652.00M,-46.00M,1.00M,8.00M,-7.00M,-1.00M,-7.00M,-54.00M,-17.00M,-37.00M,0.00,-37.00M,-37.00M,4.00M,50.00M,-46.00M,-0.13,0.00,,-0.13,-0.13,-0.13,0.00,,,2014-01,284.00M,284.00M,0.19,,2014-01,AOR,Restated
2013-10,622.00M,622.00M,143.00M,479.00M,258.00M,118.00M,376.00M,176.00M,4.00M,,8.00M,1.00M,-7.00M,,556.00M,-77.00M,1.00M,8.00M,-7.00M,4.00M,-7.00M,-80.00M,-23.00M,-57.00M,46.00M,-11.00M,-57.00M,-22.00M,50.00M,-72.00M,-0.20,0.16,,-0.20,-0.04,-0.20,0.16,,,2013-10,288.00M,288.00M,0.19,,2013-10,AOR,Restated
2013-07,409.00M,409.00M,90.00M,319.00M,159.00M,105.00M,264.00M,144.00M,-4.00M,,7.00M,1.00M,-6.00M,,404.00M,-85.00M,1.00M,7.00M,-6.00M,-1.00M,-6.00M,-92.00M,-30.00M,-62.00M,46.00M,-16.00M,-62.00M,-22.00M,63.00M,-85.00M,-0.15,0.10,,-0.15,-0.05,-0.15,0.10,,,2013-07,300.00M,303.00M,0.17,,2013-07,AOR,Restated
2013-04,2.091B,2.091B,145.00M,1.946B,385.00M,106.00M,491.00M,166.00M,7.00M,,8.00M,1.00M,-7.00M,,664.00M,1.282B,1.00M,8.00M,-7.00M,3.00M,-7.00M,1.278B,420.00M,858.00M,-36.00M,822.00M,858.00M,1.343B,57.00M,1.286B,2.89,-0.12,,2.89,2.77,2.83,-0.12,,,2013-04,297.00M,304.00M,0.17,,2013-04,AOR,Restated
2013-01,884.00M,884.00M,166.00M,718.00M,351.00M,107.00M,458.00M,169.00M,7.00M,,7.00M,0.00,-7.00M,,634.00M,84.00M,0.00,7.00M,-7.00M,1.00M,-7.00M,78.00M,13.00M,65.00M,6.00M,71.00M,65.00M,143.00M,58.00M,85.00M,0.22,0.02,,0.22,0.24,0.21,0.02,,,2013-01,296.00M,303.00M,0.17,,2013-01,AOR,Restated
2012-10,562.00M,562.00M,139.00M,423.00M,227.00M,94.00M,321.00M,168.00M,7.00M,,8.00M,1.00M,-7.00M,,496.00M,-73.00M,1.00M,8.00M,-7.00M,1.00M,-7.00M,-79.00M,-25.00M,-54.00M,35.00M,-19.00M,-54.00M,-17.00M,54.00M,-71.00M,-0.18,0.12,,-0.18,-0.06,-0.18,0.12,,,2012-10,296.00M,296.00M,0.34,,2012-10,AOR,Restated
2012-07,308.00M,308.00M,16.00M,292.00M,135.00M,93.00M,228.00M,128.00M,-10.00M,,8.00M,3.00M,-5.00M,,346.00M,-54.00M,3.00M,8.00M,-5.00M,-6.00M,-5.00M,-65.00M,-30.00M,-35.00M,39.00M,4.00M,-35.00M,0.00,57.00M,-57.00M,-0.11,0.12,,-0.11,0.01,-0.11,0.12,,,2012-07,293.00M,302.00M,0.15,,2012-07,AOR,Restated
2012-04,1.926B,1.926B,197.00M,1.729B,352.00M,101.00M,453.00M,163.00M,2.00M,0.00,12.00M,2.00M,-10.00M,,618.00M,1.111B,2.00M,12.00M,-10.00M,7.00M,-10.00M,1.108B,372.00M,736.00M,-2.00M,734.00M,736.00M,1.172B,52.00M,1.12B,2.50,-0.01,,2.50,2.49,2.43,-0.01,,,2012-04,295.00M,303.00M,0.15,,2012-04,AOR,Restated
2012-01,999.00M,999.00M,205.00M,794.00M,330.00M,95.00M,425.00M,164.00M,10.00M,,15.00M,2.00M,-13.00M,,599.00M,195.00M,2.00M,15.00M,-13.00M,1.00M,-13.00M,183.00M,62.00M,121.00M,-3.00M,118.00M,121.00M,259.00M,61.00M,198.00M,0.41,-0.01,,0.41,0.40,0.40,-0.01,,,2012-01,297.00M,306.00M,0.15,,2012-01,AOR,Restated
2011-10,575.00M,575.00M,167.00M,408.00M,216.00M,92.00M,308.00M,163.00M,21.00M,,15.00M,2.00M,-13.00M,,492.00M,-84.00M,2.00M,15.00M,-13.00M,9.00M,-13.00M,-88.00M,-30.00M,-58.00M,-6.00M,-64.00M,-64.59M,-1.00M,72.00M,-73.00M,-0.19,-0.02,,-0.2120,-0.21,-0.19,-0.02,,,2011-10,300.00M,300.00M,0.15,,2011-10,AOR,Restated
2011-07,191.00M,191.00M,-17.00M,208.00M,58.00M,70.00M,128.00M,88.00M,-22.00M,,15.00M,2.00M,-13.00M,,194.00M,14.00M,2.00M,15.00M,-13.00M,-2.00M,-13.00M,-1.00M,2.00M,-3.00M,,-57.00M,-3.00M,77.00M,63.00M,14.00M,0.01,-0.18,,0.01,-0.17,0.01,-0.18,,,2011-07,301.00M,311.00M,,,2011-07,AOR,Restated
2011-04,1.848B,1.848B,168.00M,1.68B,351.00M,93.00M,444.00M,164.00M,11.00M,4.00M,15.00M,2.00M,-13.00M,,619.00M,1.061B,2.00M,15.00M,-13.00M,4.00M,-13.00M,1.052B,364.00M,688.00M,,688.00M,685.40M,1.128B,61.00M,1.067B,2.27,0.00,,2.261,2.27,2.20,0.00,,,2011-04,303.00M,313.00M,,,2011-04,AOR,Restated
2011-01,878.00M,878.00M,180.00M,698.00M,330.00M,88.00M,418.00M,158.00M,11.00M,3.00M,15.00M,3.00M,-12.00M,,587.00M,111.00M,3.00M,15.00M,-12.00M,3.00M,-12.00M,102.00M,29.00M,73.00M,,73.00M,70.84M,178.00M,61.00M,117.00M,0.24,0.00,,0.2330,0.24,0.23,0.00,,,2011-01,308.00M,318.00M,,,2011-01,AOR,Restated
2010-10,532.00M,532.00M,159.00M,373.00M,220.00M,90.00M,310.00M,156.00M,11.00M,5.00M,15.00M,3.00M,-12.00M,,477.00M,-104.00M,3.00M,15.00M,-12.00M,5.00M,-12.00M,-111.00M,-41.00M,-70.00M,,-70.00M,-73.15M,-40.00M,56.00M,-96.00M,-0.22,0.00,,-0.2300,-0.22,-0.22,0.00,,,2010-10,316.00M,316.00M,,,2010-10,AOR,Restated
2010-07,485.00M,485.00M,133.00M,352.00M,147.00M,79.00M,226.00M,138.00M,11.00M,-5.00M,15.00M,2.00M,-13.00M,,375.00M,-23.00M,2.00M,15.00M,-13.00M,-1.00M,-13.00M,-37.00M,-14.00M,-23.00M,-25.00M,-48.00M,-19.89M,36.00M,58.00M,-22.00M,-0.07,-0.08,,-0.0602,-0.15,-0.07,-0.08,,,2010-07,316.00M,325.00M,,,2010-07,AOR,Restated
2010-04,1.607B,1.607B,157.00M,1.45B,309.00M,102.00M,411.00M,141.00M,10.00M,3.00M,15.00M,2.00M,-13.00M,,562.00M,888.00M,2.00M,15.00M,-13.00M,3.00M,-13.00M,878.00M,302.00M,576.00M,0.00,576.00M,574.03M,948.00M,55.00M,893.00M,1.83,0.00,,1.824,1.83,1.78,0.00,,,2010-04,314.00M,323.00M,,,2010-04,AOR,Restated
2010-01,837.00M,837.00M,178.00M,659.00M,277.00M,88.00M,365.00M,144.00M,11.00M,1.00M,15.00M,1.00M,-14.00M,,520.00M,139.00M,1.00M,15.00M,-14.00M,1.00M,-14.00M,126.00M,46.00M,80.00M,34.00M,114.00M,79.37M,209.00M,68.00M,141.00M,0.25,0.11,,0.2480,0.36,0.25,0.10,,,2010-01,314.00M,323.00M,,,2010-01,AOR,Restated
2009-10,474.00M,474.00M,166.00M,308.00M,180.00M,77.00M,257.00M,141.00M,10.00M,1.00M,16.00M,4.00M,-12.00M,,408.00M,-100.00M,4.00M,16.00M,-12.00M,1.00M,-12.00M,-111.00M,-42.00M,-69.00M,1.00M,-68.00M,-69.62M,-20.00M,75.00M,-95.00M,-0.21,0.00,,-0.2119,-0.21,-0.21,0.00,,,2009-10,320.00M,320.00M,,,2009-10,AOR,Restated
2009-07,457.00M,457.00M,156.00M,301.00M,182.00M,76.00M,258.00M,152.00M,,40.00M,15.00M,4.00M,-11.00M,,452.00M,-151.00M,4.00M,15.00M,-11.00M,,-11.00M,-123.00M,-51.00M,-72.00M,1.00M,-71.00M,-98.00M,-22.00M,86.00M,-108.00M,-0.22,0.00,,-0.3007,-0.22,-0.22,0.00,,,2009-07,322.00M,333.00M,,,2009-07,AOR,Restated
2009-04,1.417B,1.417B,164.00M,1.253B,274.00M,74.00M,348.00M,130.00M,,-8.00M,12.00M,4.00M,-8.00M,,478.00M,775.00M,4.00M,12.00M,-8.00M,-8.00M,-8.00M,759.00M,274.00M,485.00M,0.00,485.00M,490.11M,834.00M,63.00M,771.00M,1.51,0.00,,1.526,1.51,1.47,0.00,,,2009-04,322.00M,329.00M,,,2009-04,AOR,Restated
2009-01,773.00M,773.00M,168.00M,605.00M,271.00M,70.00M,341.00M,140.00M,,-12.00M,12.00M,5.00M,-7.00M,,481.00M,124.00M,5.00M,12.00M,-7.00M,-12.00M,-7.00M,105.00M,19.00M,86.00M,-1.00M,85.00M,95.83M,183.00M,66.00M,117.00M,0.27,0.00,,0.3006,0.27,0.26,0.00,,,2009-01,321.00M,326.00M,,,2009-01,AOR,Restated
2008-10,481.00M,481.00M,160.00M,321.00M,186.00M,65.00M,251.00M,136.00M,,-19.00M,12.00M,8.00M,-4.00M,,387.00M,-66.00M,8.00M,12.00M,-4.00M,-19.00M,-4.00M,-89.00M,-37.00M,-52.00M,,-52.00M,-39.65M,-17.00M,60.00M,-77.00M,-0.16,0.00,,-0.1218,-0.16,-0.16,0.00,,,2008-10,323.00M,323.00M,,,2008-10,,Restated
2008-07,1.680B,1.680B,435.98M,1.244B,594.90M,210.85M,805.76M,443.02M,,73.58M,39.17M,8.70M,-30.47M,,1.284B,-39.76M,8.70M,39.17M,-30.47M,74.10M,-30.47M,3.875M,1.388M,2.821M,30.00M,32.82M,-44.74M,203.11M,160.06M,43.04M,-0.01,0.09,,-0.1475,0.08,-0.01,0.09,,,2008-07,345.78M,355.69M,,,2008-07,,Restated
2008-04,2.593B,2.593B,471.06M,2.122B,679.46M,222.94M,902.40M,449.09M,,49.40M,40.39M,9.30M,-31.09M,,1.351B,770.28M,9.30M,40.39M,-31.09M,50.59M,-31.09M,789.78M,275.84M,512.61M,26.01M,538.62M,479.69M,987.34M,157.17M,830.17M,1.55,0.08,,1.451,1.63,1.50,0.08,,,2008-04,330.86M,341.87M,,,2008-04,,Restated
2008-01,1.280B,1.280B,317.03M,962.78M,433.36M,143.79M,577.15M,299.10M,,23.08M,27.56M,20.90M,-6.659M,,876.25M,86.53M,20.90M,27.56M,-6.659M,23.79M,-6.659M,103.66M,34.23M,68.43M,26.01M,94.44M,52.50M,231.44M,100.23M,131.22M,0.20,0.08,,0.1523,0.28,0.20,0.07,,,2008-01,334.36M,346.01M,,,2008-01,,Restated
2007-10,444.94M,444.94M,144.02M,300.92M,,,246.77M,149.34M,,16.65M,,,,,396.11M,-95.19M,,,,16.65M,,-75.39M,-28.33M,-47.57M,26.77M,-20.80M,-57.97M,-53.47M,41.72M,-95.19M,-0.14,0.08,,-0.1708,-0.06,-0.14,0.08,,,2007-10,337.58M,337.58M,,,2007-10,,
2007-07,432.67M,432.67M,130.93M,301.74M,,,224.52M,125.90M,,29.47M,,,,,350.43M,-48.69M,,,,30.94M,,-18.88M,-6.541M,-12.86M,-0.781M,-13.64M,-32.12M,78.88M,61.60M,17.28M,-0.04,0.00,,-0.0971,-0.04,-0.04,0.00,,,2007-07,337.50M,349.96M,,,2007-07,,Restated
2007-04,1.139B,1.139B,144.52M,994.62M,,,291.65M,116.20M,,-7.942M,,,,,407.85M,586.78M,,,,-7.942M,,577.26M,208.34M,367.95M,-0.736M,367.21M,373.02M,628.21M,41.44M,586.78M,1.08,0.00,,1.095,1.08,1.04,0.00,,,2007-04,339.50M,351.69M,,,2007-04,,
2007-01,750.64M,750.64M,131.45M,619.18M,,,287.74M,113.05M,2.304M,-1.369M,,,,,403.10M,216.09M,,,,-1.369M,,225.74M,79.83M,145.58M,-0.218M,145.36M,146.46M,243.54M,27.45M,216.09M,0.42,0.00,,0.4225,0.42,0.40,0.00,,,2007-01,347.18M,360.57M,,,2007-01,,
2006-10,350.49M,350.49M,98.21M,252.29M,,,229.53M,117.37M,2.029M,-0.657M,,,,,348.93M,-96.64M,,,,-0.657M,,-87.01M,-30.02M,-57.20M,-1.73M,-58.93M,-56.77M,-68.60M,28.04M,-96.64M,-0.17,0.00,,-0.1688,-0.17,-0.17,0.00,,,2006-10,346.21M,346.21M,,,2006-10,,
2006-07,293.63M,293.63M,72.58M,221.05M,,,189.93M,91.10M,,1.368M,,,,,273.03M,-51.98M,,,,1.368M,,-27.90M,-13.27M,-15.32M,-3.533M,-18.85M,-16.14M,-21.45M,30.53M,-51.98M,-0.04,-0.01,,-0.0424,-0.05,-0.04,-0.01,,,2006-07,342.45M,355.21M,,,2006-07,,
2006-04,952.60M,952.60M,107.93M,844.67M,,,261.66M,97.34M,2.289M,-3.199M,,,,,361.29M,483.38M,,,,-3.199M,,488.88M,190.23M,298.65M,,298.65M,300.60M,512.04M,28.65M,483.38M,0.87,0.00,,0.8757,0.87,0.84,0.00,,,2006-04,343.67M,355.92M,,,2006-04,,
2006-01,742.70M,742.70M,135.13M,607.57M,,,262.20M,100.08M,2.763M,-3.553M,,,,,365.05M,242.52M,,,,-0.526M,,2.476B,92.07M,155.25M,27.73M,182.97M,158.67M,271.14M,28.61M,242.52M,0.44,0.08,,0.4498,0.52,0.43,0.07,,,2006-01,350.29M,363.58M,,,2006-01,,
2005-10,304.07M,304.07M,91.68M,212.39M,,,211.02M,97.28M,2.949M,0.508M,,,,,311.25M,-98.86M,,,,0.508M,,-92.05M,-34.44M,-57.61M,11.81M,-45.80M,-57.93M,-69.64M,29.22M,-98.86M,-0.165,0.035,,-0.1659,-0.13,-0.165,0.035,,,2005-10,354.81M,354.81M,,,2005-10,,
2005-07,257.22M,257.22M,65.93M,191.29M,,,165.54M,62.90M,,4.773M,,,,,220.73M,-29.44M,,,,4.773M,,-10.62M,9.282M,-19.81M,-0.189M,-20.00M,-22.67M,0.28M,29.72M,-29.44M,-0.05,0.00,,-0.0579,-0.05,-0.05,0.00,,,2005-07,360.44M,368.34M,,,2005-07,,
2005-04,834.86M,834.86M,101.97M,732.89M,,,225.78M,78.39M,2.542M,-3.842M,,,,,306.71M,426.18M,,,,-3.842M,,428.06M,129.99M,298.07M,2.434M,300.51M,300.75M,461.09M,34.91M,426.18M,0.815,0.005,,0.8223,0.82,0.80,0.005,,,2005-04,366.84M,373.77M,,,2005-04,,
