,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2017-03,865.00M,865.00M,464.00M,401.00M,109.00M,75.00M,184.00M,96.00M,,50.00M,,-31.00M,41.00M,,-41.00M,,330.00M,71.00M,,41.00M,-41.00M,-32.00M,-41.00M,-2.00M,-10.00M,8.00M,,,8.00M,27.20M,108.00M,69.00M,39.00M,,0.16,,,0.5304,0.16,,0.16,,,0.5226,0.16,,51.84M,52.95M,,AOR,Restated
2016-12,942.00M,942.00M,510.00M,432.00M,107.00M,82.00M,189.00M,92.00M,,51.00M,,-29.00M,48.00M,,-48.00M,,332.00M,100.00M,,48.00M,-48.00M,-32.00M,-48.00M,20.00M,3.00M,17.00M,,,17.00M,42.50M,138.00M,70.00M,68.00M,,0.34,,,0.8321,0.34,,0.34,,,0.8321,0.34,,51.82M,51.82M,,AOR,Restated
2016-09,904.00M,904.00M,490.00M,414.00M,112.00M,74.00M,186.00M,96.00M,,59.00M,,-97.00M,46.00M,,-46.00M,,341.00M,73.00M,,46.00M,-46.00M,-104.00M,-46.00M,-77.00M,6.00M,-83.00M,,,-83.00M,7.356M,49.00M,80.00M,-31.00M,,-1.61,,,0.1380,-1.61,,-1.61,,,0.1380,-1.61,,51.69M,51.69M,,AOR,Restated
2016-06,879.00M,879.00M,473.00M,406.00M,112.00M,77.00M,189.00M,95.00M,,60.00M,,-39.00M,49.00M,,-49.00M,,344.00M,62.00M,,49.00M,-49.00M,-46.00M,-49.00M,-33.00M,12.00M,-45.00M,,,-45.00M,-17.02M,93.00M,77.00M,16.00M,,-0.88,,,-0.3370,-0.88,,-0.88,,,-0.3370,-0.88,,51.53M,51.53M,,AOR,Restated
2016-03,849.00M,849.00M,459.00M,390.00M,113.00M,74.00M,187.00M,93.00M,,59.00M,,-41.00M,50.00M,,-50.00M,,339.00M,51.00M,,50.00M,-50.00M,-40.00M,-50.00M,-39.00M,-13.00M,-26.00M,,,-26.00M,0.013M,88.00M,77.00M,11.00M,,-0.50,,,0.0071,-0.50,,-0.50,,,0.0071,-0.50,,51.30M,51.30M,,AOR,Restated
2015-12,951.00M,951.00M,523.00M,428.00M,127.00M,80.00M,207.00M,98.00M,,61.00M,,-56.00M,48.00M,,-48.00M,,366.00M,62.00M,,48.00M,-48.00M,-58.00M,-48.00M,-44.00M,-17.00M,-27.00M,,,-27.00M,8.591M,84.00M,80.00M,4.00M,,-0.13,,,0.5650,-0.13,,-0.13,,,0.5650,-0.13,,51.21M,51.21M,,AOR,Restated
2015-09,916.00M,916.00M,502.00M,414.00M,120.00M,67.00M,187.00M,100.00M,,59.00M,,-43.00M,46.00M,,-46.00M,,346.00M,68.00M,,46.00M,-46.00M,-47.00M,-46.00M,-25.00M,4.00M,-29.00M,,,-29.00M,11.32M,99.00M,78.00M,21.00M,,-0.57,,,0.2182,-0.57,,-0.57,,,0.2182,-0.57,,51.15M,51.15M,,AOR,Restated
2015-06,890.00M,890.00M,497.00M,393.00M,125.00M,70.00M,195.00M,100.00M,,63.00M,,-49.00M,50.00M,,-50.00M,,358.00M,35.00M,,50.00M,-50.00M,-38.00M,-50.00M,-53.00M,24.00M,-77.00M,,,-77.00M,-54.20M,79.00M,82.00M,-3.00M,,-1.50,,,-1.052,-1.50,,-1.50,,,-1.052,-1.50,,50.92M,50.92M,,AOR,Restated
2015-03,893.00M,893.00M,484.00M,409.00M,122.00M,66.00M,188.00M,96.00M,,68.00M,,-37.00M,51.00M,,-51.00M,,352.00M,57.00M,,51.00M,-51.00M,-64.00M,-51.00M,-58.00M,-33.00M,-25.00M,,,-25.00M,13.40M,73.00M,80.00M,-7.00M,,-0.50,,,0.2579,-0.50,,-0.50,,,0.2579,-0.50,,50.67M,50.67M,,AOR,Restated
2014-12,791.04M,791.04M,454.65M,336.39M,105.05M,58.55M,163.60M,79.21M,,46.06M,,-71.95M,59.63M,,-59.63M,,288.87M,47.52M,,59.63M,-59.63M,-80.24M,-59.63M,-92.35M,-40.24M,-52.11M,,,-52.11M,0.2930M,21.06M,53.78M,-32.72M,,-1.02,0.00,,0.0012,-1.02,,-1.02,0.00,,-0.0077,-1.02,,51.31M,51.77M,,AOR,Restated
2014-09,303.27M,303.27M,151.77M,151.51M,36.78M,24.74M,61.52M,25.22M,,2.597M,,-35.21M,-0.171M,,0.171M,,89.34M,62.16M,,-0.171M,0.171M,-37.53M,0.171M,24.81M,9.861M,14.94M,,,14.94M,36.21M,33.76M,9.127M,24.64M,,0.29,,,0.7082,0.29,,0.29,,,0.7031,0.29,,50.84M,51.46M,,AOR,Restated
2014-06,288.42M,288.42M,146.25M,142.17M,35.76M,26.32M,62.08M,23.71M,,2.667M,,-20.65M,0.00,,0.00,,88.45M,53.72M,,0.00,0.00,-22.72M,0.00,31.00M,3.44M,27.56M,,,27.56M,47.70M,40.09M,9.093M,31.00M,,0.54,,,0.9381,0.54,,0.54,,,0.9329,0.54,,50.61M,51.28M,,AOR,Restated
2014-03,288.27M,288.27M,140.33M,147.94M,35.42M,28.39M,63.81M,22.86M,,2.672M,,-5.194M,0.018M,,-0.018M,,89.34M,58.60M,,0.018M,-0.018M,-5.039M,-0.018M,53.54M,11.94M,41.61M,,,41.61M,45.54M,62.57M,9.003M,53.56M,,0.83,,,0.9081,0.83,,0.82,,,0.8972,0.82,,50.40M,50.97M,,AOR,Restated
2013-12,284.38M,284.38M,143.96M,140.42M,36.26M,24.22M,60.48M,23.56M,,1.443M,,-6.117M,,,,,85.49M,54.93M,,,,-4.552M,,50.38M,9.079M,41.30M,,,41.29M,47.93M,63.62M,8.688M,54.93M,,0.83,0.00,,0.9616,0.83,,0.82,0.00,,0.9506,0.82,,50.35M,50.74M,,AOR,Restated
2013-09,263.52M,263.52M,134.91M,128.61M,34.40M,22.45M,56.85M,22.38M,,1.831M,,-0.787M,,,,,81.05M,47.56M,,,,-0.415M,,47.14M,8.541M,38.60M,0.00,,38.60M,38.94M,55.46M,7.90M,47.56M,,0.76,0.00,,0.7666,0.76,,0.76,0.00,,0.7666,0.76,,50.59M,50.92M,,AOR,Restated
2013-06,253.16M,253.16M,132.25M,120.91M,33.83M,24.05M,57.88M,23.20M,,1.863M,,-1.719M,,,,,82.95M,37.96M,,,,-0.244M,,37.72M,7.158M,30.56M,0.008M,,30.57M,31.94M,46.00M,8.04M,37.96M,,0.60,0.00,,0.6272,0.60,,0.60,0.00,,0.6270,0.60,,50.90M,51.28M,,AOR,Restated
2013-03,236.94M,236.94M,123.87M,113.06M,33.52M,25.28M,58.79M,21.86M,,1.863M,,-2.377M,,,,,82.51M,30.55M,,,,-1.788M,,28.76M,5.222M,23.54M,,,23.54M,25.01M,37.92M,7.372M,30.55M,,0.46,,,0.4888,0.46,,0.46,,,0.4886,0.46,,50.98M,51.37M,,AOR,Restated
2012-12,253.18M,253.18M,128.72M,124.46M,33.31M,20.96M,54.28M,22.60M,,1.463M,0.00,-1.997M,,,,,78.34M,46.12M,,,,-1.846M,,44.06M,9.263M,34.80M,0.191M,,34.99M,35.96M,40.23M,7.271M,32.96M,,0.69,0.00,,0.7129,0.69,,0.68,0.00,,0.7027,0.68,,50.94M,51.25M,,AOR,Restated
2012-09,252.04M,252.04M,125.11M,126.92M,32.32M,22.48M,54.80M,22.01M,,1.67M,9.114M,-9.68M,,,,,78.48M,48.44M,,,,-9.947M,,38.50M,11.92M,26.58M,0.516M,,27.10M,33.24M,55.39M,6.942M,48.44M,,0.52,0.01,,0.6492,0.53,,0.51,0.01,,0.6386,0.52,,51.57M,51.81M,,AOR,Restated
2012-06,247.08M,247.08M,126.70M,120.38M,32.16M,24.40M,56.56M,22.34M,,0.77M,,-1.252M,,,,,79.67M,40.71M,,,,-0.992M,,39.72M,9.366M,30.35M,0.30M,,30.65M,30.74M,46.72M,6.005M,40.71M,,0.58,0.01,,0.5875,0.59,,0.58,0.01,,0.5874,0.59,,51.77M,52.03M,,AOR,Restated
2012-03,243.88M,243.88M,123.99M,119.88M,32.11M,24.32M,56.43M,20.42M,,0.77M,,-0.254M,,,,,77.62M,42.26M,,,,-0.368M,,41.90M,11.73M,30.16M,,,30.16M,30.17M,48.22M,5.959M,42.26M,,0.58,,,0.5801,0.58,,0.58,,,0.5801,0.58,,52.00M,52.30M,,AOR,Restated
2011-12,247.31M,247.31M,125.79M,121.52M,36.38M,18.97M,55.35M,23.17M,,0.806M,,1.289M,,,,,79.33M,42.19M,,,,0.272M,,41.11M,8.253M,32.86M,2.185M,,35.04M,30.84M,48.20M,6.015M,42.19M,,0.63,0.04,,0.5913,0.67,,0.63,0.04,,0.5915,0.67,,52.20M,52.45M,,AOR,Restated
2011-09,253.34M,253.34M,129.78M,123.55M,31.94M,18.98M,50.92M,22.58M,,0.843M,,-1.185M,,0.134M,0.134M,,74.35M,49.21M,0.134M,,0.134M,-1.358M,0.134M,47.98M,13.80M,34.19M,10.81M,,45.00M,35.15M,55.04M,5.834M,49.21M,,0.64,0.20,,0.6581,0.84,,0.64,0.20,,0.6580,0.84,,53.34M,53.63M,,AOR,Restated
2011-06,245.54M,245.54M,123.84M,121.70M,30.95M,20.69M,51.64M,22.49M,,0.836M,,-0.309M,,0.656M,0.656M,,74.96M,46.74M,0.656M,,0.656M,-1.142M,0.656M,46.25M,13.08M,33.17M,-0.205M,,32.96M,33.99M,52.96M,6.219M,46.74M,,0.60,0.00,,0.6150,0.60,,0.60,0.00,,0.6149,0.60,,54.55M,54.96M,,AOR,Restated
2011-03,237.30M,237.30M,117.30M,120.00M,28.53M,22.71M,51.23M,21.68M,,0.835M,,-2.14M,,0.56M,0.56M,,73.75M,46.25M,0.56M,,0.56M,-2.434M,0.56M,44.37M,14.25M,30.13M,31.51M,,61.63M,31.78M,52.18M,5.932M,46.25M,,0.54,0.57,,0.5699,1.11,,0.54,0.56,,0.5696,1.10,,55.35M,55.77M,,AOR,Restated
2010-12,234.02M,234.02M,119.66M,114.36M,31.94M,17.81M,49.75M,21.74M,,0.891M,,1.937M,,,,,72.38M,41.98M,,,,2.885M,,42.75M,13.12M,29.64M,-1.418M,,28.22M,26.86M,49.49M,7.511M,41.98M,,0.53,-0.03,,0.4808,0.50,,0.52,-0.03,,0.4711,0.49,,56.36M,56.74M,,AOR,Restated
2010-09,229.81M,229.81M,120.56M,109.25M,28.07M,18.15M,46.22M,21.86M,,0.839M,,-0.16M,,0.635M,0.635M,,68.92M,40.33M,0.635M,,0.635M,-0.308M,0.635M,40.66M,13.41M,27.25M,-1.096M,,26.15M,27.45M,48.01M,7.677M,40.33M,,0.48,-0.02,,0.4836,0.46,,0.48,-0.02,,0.4836,0.46,,56.74M,57.00M,,AOR,Restated
2010-06,218.56M,218.56M,119.15M,99.41M,27.68M,17.96M,45.64M,20.65M,,0.74M,,-0.921M,,0.634M,0.634M,,67.03M,32.38M,0.634M,,0.634M,-0.497M,0.634M,32.52M,10.33M,22.18M,0.492M,,22.68M,22.52M,40.59M,8.207M,32.38M,,0.38,0.01,,0.3859,0.39,,0.38,0.01,,0.3859,0.39,,57.49M,57.74M,,AOR,Restated
2010-03,211.98M,211.98M,114.21M,97.76M,24.67M,19.32M,43.99M,18.32M,,0.741M,,-1.868M,,0.842M,0.842M,,63.06M,34.71M,0.842M,,0.842M,-1.868M,0.842M,33.68M,8.134M,25.55M,-0.814M,,24.73M,26.96M,42.52M,7.814M,34.71M,,0.44,-0.01,,0.4644,0.43,,0.43,-0.01,,0.4543,0.42,,58.02M,58.26M,,AOR,Restated
2009-12,222.52M,222.52M,121.04M,101.48M,28.54M,19.51M,48.06M,21.84M,,2.609M,,-2.486M,,,,,72.50M,28.97M,,,,-1.791M,,27.18M,9.553M,17.63M,,,17.63M,18.79M,37.48M,8.504M,28.97M,,0.30,0.00,,0.3198,0.30,,0.30,0.00,,0.3198,0.30,,58.58M,58.77M,,AOR,Restated
2009-09,200.78M,200.78M,109.08M,91.70M,26.40M,22.45M,48.84M,21.45M,,2.649M,,-3.226M,,,,,72.94M,18.75M,,,,-2.413M,,16.34M,5.229M,11.11M,,,11.11M,12.75M,27.22M,8.462M,18.75M,,0.19,0.00,,0.2178,0.19,,0.19,0.00,,0.2178,0.19,,58.95M,59.08M,,AOR,Restated
2009-06,187.68M,187.68M,105.94M,81.74M,24.40M,18.08M,42.48M,20.95M,,2.575M,,-2.604M,,,,,66.00M,15.74M,,,,-2.357M,,13.25M,4.238M,9.011M,,,9.011M,10.61M,23.73M,7.994M,15.74M,,0.15,0.00,,0.1770,0.15,,0.15,0.00,,0.1770,0.15,,59.27M,59.35M,,AOR,Restated
2009-03,192.61M,192.61M,106.80M,85.81M,23.20M,21.36M,44.56M,22.15M,,2.634M,,-3.897M,,,,,69.34M,16.47M,,,,-2.719M,,13.75M,4.399M,9.352M,,,9.352M,11.20M,24.42M,7.953M,16.47M,,0.16,0.00,,0.1907,0.16,,0.16,0.00,,0.1906,0.16,,60.27M,60.33M,,AOR,Restated
2008-12,232.57M,232.57M,121.68M,110.89M,,,52.52M,20.65M,,4.671M,,-163.01M,,,,,83.15M,27.74M,,,,-161.73M,,-128.69M,-11.33M,-117.36M,,,-117.36M,31.30M,37.90M,10.16M,27.74M,,-1.81,0.00,,0.5676,-1.81,,-1.81,0.00,,0.5676,-1.81,,62.53M,62.53M,,AOR,
2008-09,244.07M,244.07M,126.29M,117.79M,,,51.68M,21.71M,,4.711M,,-4.08M,,,,-5.302M,72.80M,44.98M,,,,-4.08M,,35.60M,9.832M,25.77M,,,25.77M,28.72M,54.80M,9.811M,44.98M,,0.40,0.00,,0.4459,0.40,,0.40,0.00,,0.4457,0.40,,64.33M,64.65M,,,
2008-06,253.78M,253.78M,126.07M,127.72M,,,58.54M,22.85M,,4.679M,,-2.678M,,,,4.68M,90.75M,36.97M,,,,-2.678M,,38.97M,13.44M,25.53M,,,25.53M,27.28M,46.49M,9.519M,36.97M,,0.39,0.00,,0.4169,0.39,,0.39,0.00,,0.4168,0.39,,65.13M,65.50M,,,
2008-03,246.28M,246.28M,123.48M,122.80M,,,55.91M,19.79M,,4.514M,,-0.383M,,,,3.234M,83.44M,39.35M,,,,-0.383M,,42.20M,14.56M,27.64M,,,27.64M,27.89M,48.44M,9.088M,39.35M,,0.42,0.00,,0.4238,0.42,,0.42,0.00,,0.4238,0.42,,66.13M,66.52M,,,
2007-12,233.57M,233.57M,120.28M,113.30M,,,57.54M,15.64M,,3.257M,,9.281M,,,,,76.44M,36.86M,,,,9.281M,,46.19M,15.39M,30.80M,,,30.80M,24.61M,44.58M,7.718M,36.86M,,0.46,0.00,,0.3682,0.46,,0.45,0.00,,0.3588,0.45,,67.41M,67.86M,,,
2007-09,217.22M,217.22M,112.59M,104.63M,,,50.77M,13.90M,,2.928M,,4.213M,,,,,67.61M,37.02M,,,,4.213M,,41.16M,14.20M,26.96M,,,26.96M,24.20M,43.96M,6.941M,37.02M,,0.39,0.00,,0.3498,0.39,,0.39,0.00,,0.3500,0.39,,68.58M,69.00M,,,
2007-06,208.91M,208.91M,109.51M,99.40M,,,48.94M,13.87M,,2.62M,,5.176M,,,,,65.43M,33.97M,,,,5.176M,,39.14M,13.50M,25.63M,,,25.63M,22.24M,40.36M,6.39M,33.97M,,0.37,0.00,,0.3209,0.37,,0.37,0.00,,0.3213,0.37,,69.10M,69.56M,,,
2007-03,208.58M,208.58M,108.79M,99.79M,,,46.10M,14.18M,,2.323M,,3.702M,,,,,62.60M,37.19M,,,,3.702M,,40.89M,14.17M,26.72M,,,26.72M,24.30M,43.04M,5.853M,37.19M,,0.39,0.00,,0.3549,0.39,,0.39,0.00,,0.3551,0.39,,68.91M,69.37M,,,
2006-12,209.90M,209.90M,111.49M,98.41M,,,45.99M,12.77M,,1.394M,,-6.555M,,,,12.54M,72.69M,25.72M,,,,-6.555M,,31.69M,10.24M,21.45M,,0.00,21.45M,25.88M,30.47M,4.749M,25.72M,,0.31,0.00,0.00,0.3734,0.31,,0.30,0.00,0.0000,0.3630,0.30,,69.96M,70.37M,,,
2006-09,186.39M,186.39M,98.60M,87.79M,,,38.11M,11.77M,,0.789M,,-47.21M,,,,53.39M,104.06M,-16.28M,,,,-47.21M,,-10.10M,-5.842M,-4.263M,,,-4.263M,24.07M,-12.24M,4.038M,-16.28M,,-0.06,0.00,,0.3401,-0.06,,-0.06,0.00,,0.3401,-0.06,,70.80M,70.80M,,,
2006-06,187.42M,187.42M,97.90M,89.53M,,,38.59M,12.38M,,0.723M,,4.43M,,,,,51.70M,37.83M,,,,4.43M,,42.25M,14.58M,27.67M,,,27.67M,24.77M,41.46M,3.631M,37.83M,,0.39,0.00,,0.3490,0.39,,0.39,0.00,,0.3493,0.39,,70.78M,71.23M,,,
2006-03,175.81M,175.81M,93.12M,82.70M,,,36.76M,12.04M,,0.747M,,-0.338M,,,,,49.54M,33.16M,,,,-0.338M,,37.81M,13.04M,24.77M,,1.319M,26.09M,24.99M,36.83M,3.669M,33.16M,,0.37,0.00,0.00,0.3731,0.37,,0.37,0.00,0.0185,0.3731,0.37,,70.57M,71.12M,,,
2005-12,179.29M,179.29M,89.68M,89.61M,,,40.54M,12.10M,,0.798M,,3.756M,,,,0.071M,53.51M,36.10M,,,,3.756M,,39.92M,13.07M,26.84M,,,26.84M,24.32M,39.64M,3.545M,36.10M,,0.38,0.00,,0.3442,0.38,,0.37,0.00,,0.3345,0.37,,70.50M,71.07M,,,
2005-09,175.64M,175.64M,88.10M,87.53M,,,36.92M,11.82M,,0.509M,,3.556M,,,,0.283M,49.53M,38.00M,,,,3.556M,,41.80M,13.72M,28.08M,,,28.08M,25.69M,41.16M,3.16M,38.00M,,0.39,0.00,,0.3565,0.39,,0.39,0.00,,0.3567,0.39,,71.26M,71.82M,,,
2005-06,176.61M,176.61M,87.47M,89.15M,,,40.85M,12.39M,,0.387M,,3.50M,,,,0.141M,53.76M,35.38M,,,,3.50M,,39.00M,13.55M,25.45M,,,25.45M,23.16M,38.69M,3.306M,35.38M,,0.35,0.00,,0.3183,0.35,,0.35,0.00,,0.3186,0.35,,72.01M,72.68M,,,
2005-03,170.73M,170.73M,83.60M,87.13M,,,37.37M,11.05M,,0.647M,,-1.768M,,,,,49.06M,38.06M,,,,-1.768M,,39.57M,13.75M,25.82M,,,25.82M,26.97M,41.16M,3.093M,38.06M,,0.36,0.00,,0.3761,0.36,,0.36,0.00,,0.3751,0.36,,71.87M,76.49M,,,
2004-12,174.87M,174.87M,85.04M,89.84M,,,40.50M,10.88M,,0.648M,,2.376M,,,,0.147M,52.18M,37.66M,,,,2.376M,,40.17M,13.71M,26.46M,,,26.46M,24.89M,40.88M,3.225M,37.66M,,0.37,0.00,,0.3482,0.37,,0.37,0.00,,0.3483,0.37,,71.76M,72.14M,,,
2004-09,171.18M,171.18M,84.03M,87.15M,,,31.13M,9.596M,,0.647M,,2.198M,,,,0.715M,42.09M,45.05M,,,,2.198M,,47.96M,16.64M,31.32M,,,31.32M,29.88M,48.00M,2.95M,45.05M,,0.44,0.00,,0.4200,0.44,,0.43,0.00,,0.4102,0.43,,71.70M,72.67M,,,
2004-06,162.83M,162.83M,78.32M,84.52M,,,30.55M,9.233M,,0.626M,,1.056M,,,,0.876M,41.28M,43.23M,,,,1.056M,,45.16M,15.73M,29.43M,,,29.43M,28.74M,46.26M,3.03M,43.23M,,0.2733,0.00,,0.2669,0.2733,,0.2733,0.00,,0.2670,0.2733,,107.34M,108.83M,,,
