,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,535.66M,535.66M,775.24M,286.19M,1.061B,362.80M,227.17M,194.37M,701.85M,112.38M,,,,2.411B,,,,,,1.667B,-998.30M,668.46M,1.232B,208.69M,1.440B,47.74M,202.35M,2.359B,4.770B,,,399.36M,405.21M,804.57M,,,71.48M,,71.48M,176.91M,176.91M,,,1.053B,1.501B,,1.501B,,,,512.38M,18.32M,3.067B,,2018-03,220.99M,3.514B,6.216M,,-487.11M,-480.90M,1.685B,,2018-03,AOR,Restated
2017-12,703.44M,703.44M,856.71M,,856.71M,358.83M,548.25M,215.85M,884.27M,114.32M,,,,2.559B,0.00,84.55M,470.35M,1.085B,,1.640B,-968.03M,671.80M,1.218B,210.05M,1.428B,51.97M,199.72M,2.352B,4.910B,,42.69M,485.80M,223.25M,709.05M,,,75.60M,,75.60M,277.54M,277.54M,,,1.243B,1.500B,,1.500B,,,,496.95M,16.37M,3.240B,,2017-12,220.99M,3.504B,6.354M,,-505.47M,-499.12M,1.655B,,2017-12,AOR,Restated
2017-09,502.14M,502.14M,851.25M,,851.25M,374.15M,682.52M,208.46M,951.60M,134.02M,,,,2.439B,,,,,,1.641B,-967.46M,673.56M,1.212B,212.42M,1.424B,93.64M,203.97M,2.395B,4.834B,,,360.84M,706.84M,1.068B,,,80.64M,,80.64M,,,,,1.148B,1.506B,,1.506B,,,,412.14M,18.94M,3.067B,,2017-09,220.99M,3.635B,6.256M,,-540.50M,-534.25M,1.749B,,2017-09,AOR,Restated
2017-06,505.16M,505.16M,832.04M,,832.04M,372.74M,697.36M,186.97M,941.82M,136.54M,,,,2.416B,,,,,,1.613B,-933.83M,678.91M,1.202B,214.93M,1.417B,93.85M,189.72M,2.380B,4.795B,,,367.35M,689.14M,1.056B,,,89.84M,,89.84M,,,,,1.146B,1.501B,,1.501B,,,,422.02M,21.80M,3.069B,,2017-06,220.99M,3.612B,6.183M,,-557.79M,-551.61M,1.704B,,2017-06,AOR,Restated
2017-03,325.78M,325.78M,844.60M,,844.60M,361.68M,655.56M,225.88M,957.12M,154.63M,,,,2.282B,,,,,,1.627B,-911.16M,715.56M,1.211B,216.72M,1.428B,84.59M,186.67M,2.415B,4.697B,,,354.57M,654.02M,1.009B,,,90.63M,,90.63M,,,,,1.099B,1.478B,,1.478B,,,,418.20M,21.49M,2.995B,,2017-03,220.99M,3.625B,6.641M,,-590.52M,-583.88M,1.680B,,2017-03,AOR,Restated
2016-12,367.16M,367.16M,882.64M,,882.64M,348.01M,629.77M,206.09M,897.69M,150.20M,,,,2.298B,0.00,81.02M,442.76M,1.083B,,1.607B,-882.15M,724.80M,1.205B,214.53M,1.420B,83.72M,183.13M,2.411B,4.709B,,30.72M,442.81M,241.40M,684.22M,,,85.36M,,85.36M,260.38M,260.38M,,,1.178B,1.485B,,1.485B,,,,407.84M,20.96M,3.072B,,2016-12,220.99M,3.598B,8.507M,,-624.79M,-616.28M,1.616B,,2016-12,AOR,Restated
2016-09,260.87M,260.87M,896.76M,,896.76M,383.62M,739.49M,227.08M,1.039B,186.31M,,,,2.383B,,,,,,1.657B,-906.73M,750.13M,1.230B,219.28M,1.449B,76.10M,195.40M,2.471B,4.854B,,,394.60M,731.93M,1.127B,,,75.21M,,75.21M,,,,,1.202B,1.536B,,1.536B,,,,402.64M,19.12M,3.140B,,2016-09,220.99M,3.592B,8.369M,,-540.01M,-531.64M,1.694B,,2016-09,AOR,Restated
2016-06,266.01M,266.01M,945.97M,,945.97M,390.53M,769.04M,256.90M,1.058B,153.42M,,,,2.423B,,,,,,1.637B,-881.66M,755.10M,1.227B,222.41M,1.450B,71.44M,232.14M,2.508B,4.932B,,,417.22M,750.73M,1.168B,,,70.66M,,70.66M,,,,,1.239B,1.544B,,1.544B,,,,387.23M,18.31M,3.169B,,2016-06,220.99M,3.638B,8.231M,,-528.55M,-520.32M,1.744B,,2016-06,AOR,Restated
2016-03,310.32M,310.32M,914.68M,,914.68M,415.40M,785.06M,260.88M,1.088B,116.03M,,,,2.429B,,,,,,1.660B,-892.20M,767.63M,1.240B,228.29M,1.468B,82.97M,232.78M,2.552B,4.981B,,,410.12M,807.12M,1.217B,,,62.57M,,62.57M,,,,,1.280B,1.573B,,1.573B,,,,386.81M,18.32M,3.240B,,2016-03,220.99M,3.600B,9.313M,,-503.64M,-494.32M,1.723B,,2016-03,AOR,Restated
2015-12,366.44M,366.44M,985.77M,,985.77M,391.00M,738.69M,221.34M,978.64M,126.46M,,,,2.457B,0.00,83.48M,430.27M,1.100B,,1.614B,-855.21M,758.43M,1.224B,228.78M,1.453B,70.26M,224.33M,2.506B,4.963B,,,491.38M,798.56M,1.290B,,,60.43M,,60.43M,,,,,1.350B,1.561B,,1.561B,,,,387.79M,17.26M,3.299B,,2015-12,220.99M,3.566B,10.23M,,-538.23M,-528.00M,1.647B,,2015-12,AOR,Restated
2015-09,237.84M,237.84M,999.70M,,999.70M,432.42M,786.26M,250.36M,1.116B,157.97M,,137.77M,,2.650B,,,,,,1.611B,-854.74M,756.18M,1.235B,235.87M,1.471B,24.92M,256.70M,2.509B,5.158B,,,459.01M,772.79M,1.232B,,,68.89M,,68.89M,,13.58M,13.58M,,1.314B,1.610B,,1.610B,,,,529.37M,16.22M,3.454B,,2015-09,220.99M,3.539B,10.10M,,-515.89M,-505.80M,1.688B,,2015-09,AOR,Restated
2015-06,315.30M,315.30M,1.042B,,1.042B,435.90M,773.98M,247.51M,1.130B,138.14M,,153.40M,,2.779B,,,,,,1.613B,-844.66M,767.90M,1.236B,242.67M,1.479B,27.05M,259.19M,2.533B,5.312B,,,502.97M,781.81M,1.285B,,,67.36M,,67.36M,,13.27M,13.27M,,1.365B,1.626B,,1.626B,,,,536.64M,15.34M,3.528B,,2015-06,220.99M,3.470B,11.18M,,-466.68M,-455.50M,1.769B,,2015-06,AOR,Restated
2015-03,333.78M,333.78M,1.016B,,1.016B,427.94M,748.71M,265.81M,1.119B,133.28M,,158.80M,,2.760B,,,,,,1.566B,-813.56M,752.02M,1.215B,247.55M,1.462B,27.84M,249.02M,2.491B,5.252B,,,484.54M,783.76M,1.268B,,,58.74M,,58.74M,,13.73M,13.73M,,1.341B,1.621B,,1.621B,,,,525.99M,12.28M,3.488B,,2015-03,220.99M,3.419B,10.14M,,-484.11M,-473.97M,1.752B,,2015-03,AOR,Restated
2014-12,450.35M,450.35M,1.082B,,1.082B,352.93M,687.34M,265.44M,995.56M,106.89M,,158.91M,,2.794B,0.00,76.64M,405.73M,1.048B,,1.531B,-836.98M,693.88M,1.067B,146.34M,1.214B,31.42M,234.96M,2.174B,4.968B,,53.72M,665.44M,188.23M,853.67M,,,53.13M,,53.13M,325.62M,338.58M,12.96M,,1.472B,1.102B,,1.102B,,,,452.51M,10.28M,3.026B,,2014-12,220.99M,3.416B,10.56M,,-380.41M,-369.85M,1.932B,,2014-12,AOR,Restated
2014-09,162.87M,162.87M,1.131B,,1.131B,375.62M,856.94M,296.00M,1.118B,103.04M,,157.95M,,2.673B,,,,,,1.524B,-845.68M,678.31M,1.079B,145.96M,1.225B,21.26M,195.71M,2.121B,4.794B,,,490.51M,758.80M,1.249B,,,54.12M,,54.12M,,11.17M,11.17M,,1.315B,1.113B,,1.113B,,,,442.83M,8.785M,2.870B,,2014-09,220.99M,3.279B,10.42M,,-302.18M,-291.76M,1.915B,,2014-09,AOR,Restated
2014-06,143.57M,143.57M,1.158B,,1.158B,383.73M,890.78M,308.95M,1.160B,109.21M,,158.28M,,2.729B,,,,,,1.564B,-866.94M,696.75M,1.102B,151.96M,1.254B,20.71M,185.83M,2.157B,4.886B,,,516.02M,756.60M,1.273B,,,65.70M,,65.70M,,12.39M,12.39M,,1.351B,1.124B,,1.124B,,,,472.79M,6.925M,2.947B,,2014-06,220.99M,3.172B,10.28M,,-206.57M,-196.29M,1.932B,,2014-06,AOR,Restated
2014-03,164.42M,164.42M,1.064B,,1.064B,371.48M,863.48M,304.11M,1.121B,100.90M,,156.49M,,2.607B,,,,,,1.547B,-852.04M,694.92M,1.101B,155.50M,1.257B,19.44M,180.85M,2.152B,4.759B,,,470.22M,756.42M,1.227B,,,75.09M,,75.09M,,12.28M,12.28M,,1.314B,1.117B,,1.117B,,,,465.28M,7.387M,2.897B,,2014-03,220.99M,3.071B,9.188M,,-215.76M,-206.57M,1.855B,,2014-03,AOR,Restated
2013-12,363.80M,363.80M,1.155B,,1.155B,356.90M,786.66M,306.76M,1.061B,110.13M,,157.45M,,2.847B,0.00,79.56M,420.36M,1.066B,,1.566B,-849.86M,716.29M,1.108B,160.55M,1.268B,19.53M,185.43M,2.189B,5.037B,,37.45M,649.54M,204.47M,854.01M,,,72.68M,,72.68M,380.85M,393.17M,12.32M,,1.558B,1.128B,,1.128B,,,,473.89M,6.742M,3.160B,,2013-12,220.99M,2.985B,9.522M,,-221.48M,-211.96M,1.870B,,2013-12,AOR,Restated
2013-09,113.75M,113.75M,1.090B,,1.090B,379.99M,858.77M,314.12M,1.184B,88.20M,,150.76M,,2.627B,,,,,,1.516B,-837.48M,678.93M,1.059B,143.07M,1.202B,26.24M,162.50M,2.070B,4.696B,,,495.30M,822.41M,1.318B,,,268.93M,,268.93M,,7.606M,7.606M,,1.594B,839.22M,,839.22M,,,,452.25M,5.81M,2.886B,,2013-09,220.99M,2.864B,9.359M,,-242.78M,-233.42M,1.805B,,2013-09,AOR,Restated
2013-06,104.71M,104.71M,1.080B,,1.080B,380.60M,842.10M,297.66M,1.184B,94.40M,,148.27M,,2.612B,,,,,,1.467B,-806.86M,660.12M,1.046B,144.16M,1.190B,25.38M,150.65M,2.026B,4.638B,,,526.12M,805.93M,1.332B,,,277.87M,,277.87M,,10.17M,10.17M,,1.620B,849.21M,,849.21M,,,,446.89M,5.817M,2.916B,,2013-06,220.99M,2.757B,10.66M,,-281.37M,-270.71M,1.716B,,2013-06,AOR,Restated
2013-03,169.44M,169.44M,1.056B,,1.056B,386.24M,834.39M,296.63M,1.156B,99.90M,,152.40M,,2.634B,,,,,,1.456B,-789.79M,666.42M,1.043B,146.68M,1.189B,26.82M,151.79M,2.034B,4.668B,,,514.07M,831.89M,1.346B,,,210.36M,,210.36M,,6.808M,6.808M,,1.563B,859.29M,,859.29M,,,,458.12M,5.433M,2.881B,,2013-03,73.66M,2.657B,10.61M,,-255.23M,-244.62M,1.782B,,2013-03,AOR,Restated
2012-12,304.25M,304.25M,1.104B,,1.104B,351.70M,798.66M,288.16M,1.087B,94.48M,,151.09M,,2.740B,0.00,68.13M,352.08M,1.019B,,1.439B,-784.86M,654.18M,1.054B,150.08M,1.204B,26.71M,185.93M,2.071B,4.811B,,56.99M,673.89M,183.03M,856.92M,,,59.48M,,59.48M,434.58M,442.24M,7.654M,,1.591B,869.12M,,869.12M,,,,456.74M,4.256M,2.916B,,2012-12,220.99M,2.579B,10.87M,,-224.31M,-213.44M,1.890B,,2012-12,AOR,Restated
2012-09,217.42M,217.42M,1.106B,,1.106B,361.15M,872.16M,313.21M,1.156B,113.67M,,128.61M,,2.721B,,,,,,1.373B,-767.39M,605.36M,1.048B,151.89M,1.200B,19.66M,198.04M,2.023B,4.744B,,,516.50M,836.33M,1.353B,,,48.86M,,48.86M,,8.748M,8.748M,,1.410B,879.14M,,879.14M,,,,426.95M,10.42M,2.717B,,2012-09,73.66M,2.455B,,,,-205.43M,2.017B,,2012-09,AOR,Restated
2012-06,175.21M,175.21M,1.058B,,1.058B,355.63M,855.40M,305.17M,1.149B,109.01M,,126.60M,,2.618B,,,,,,1.342B,-749.97M,591.80M,1.042B,154.84M,1.197B,19.29M,179.89M,1.988B,4.606B,,,541.92M,831.18M,1.373B,,,370.64M,,370.64M,,8.848M,8.848M,,1.753B,426.14M,,426.14M,,,,429.55M,10.00M,2.608B,,2012-06,73.66M,2.367B,,,,-237.30M,1.988B,,2012-06,AOR,Restated
2012-03,172.69M,172.69M,1.049B,,1.049B,360.41M,885.49M,297.88M,1.141B,117.67M,,125.39M,,2.606B,,,,,,1.353B,-750.34M,602.85M,1.057B,161.34M,1.219B,14.55M,176.07M,2.012B,4.618B,,,501.50M,807.83M,1.309B,,,60.77M,,60.77M,,9.723M,9.723M,,1.380B,438.65M,,438.65M,,,,433.29M,8.982M,2.252B,,2012-03,73.66M,2.279B,,,,-181.34M,2.358B,,2012-03,AOR,Restated
2011-12,337.36M,337.36M,1.060B,,1.060B,329.12M,793.05M,279.27M,1.008B,100.46M,,121.90M,,2.628B,0.00,68.68M,329.79M,920.26M,,1.319B,-719.99M,598.75M,1.045B,163.48M,1.209B,17.84M,169.11M,1.994B,4.623B,,33.09M,630.43M,198.64M,829.07M,,,53.62M,,53.62M,379.17M,389.93M,10.76M,,1.470B,451.59M,,451.59M,,,,422.47M,8.417M,2.344B,,2011-12,73.66M,2.206B,9.691M,,-216.10M,-206.41M,2.270B,,2011-12,AOR,Restated
2011-09,227.88M,227.88M,1.023B,,1.023B,326.24M,764.52M,339.29M,1.077B,121.07M,,128.91M,,2.577B,,,,,,1.284B,-719.72M,564.76M,1.014B,139.81M,1.153B,21.38M,163.56M,1.903B,4.481B,,,459.90M,769.62M,1.230B,,,50.03M,,50.03M,,18.51M,18.51M,,1.298B,457.86M,,457.86M,,,,417.72M,8.165M,2.174B,,2011-09,73.66M,2.098B,,,,-179.95M,2.299B,,2011-09,AOR,Restated
2011-06,221.31M,221.31M,1.001B,,1.001B,315.83M,819.38M,339.20M,1.091B,143.18M,,133.86M,,2.590B,,,,,,1.330B,-737.04M,593.23M,1.035B,147.06M,1.182B,23.51M,174.48M,1.974B,4.563B,,,479.22M,781.80M,1.261B,,,55.70M,,55.70M,,17.57M,17.57M,,1.334B,464.46M,,464.46M,,,,433.06M,10.44M,2.232B,,2011-06,73.66M,2.008B,,,,-74.79M,2.321B,,2011-06,AOR,Restated
2011-03,288.86M,288.86M,909.34M,,909.34M,302.40M,726.92M,312.56M,1.021B,137.59M,,135.99M,,2.493B,,,,,,1.297B,-711.09M,586.35M,1.027B,147.54M,1.175B,20.61M,174.64M,1.956B,4.450B,,,461.97M,789.04M,1.251B,,,54.28M,,54.28M,,18.61M,18.61M,,1.324B,470.86M,,470.86M,,,,426.93M,10.45M,2.222B,,2011-03,73.66M,1.928B,,,,-102.29M,2.217B,,2011-03,AOR,Restated
2010-12,557.58M,557.58M,839.57M,,839.57M,265.74M,624.27M,306.08M,886.73M,107.87M,,132.00M,,2.524B,0.00,69.31M,564.99M,629.67M,,1.264B,-682.72M,581.24M,1.013B,147.11M,1.160B,24.34M,170.94M,1.936B,4.460B,,,571.02M,817.84M,1.389B,,,51.48M,,51.48M,,16.04M,16.04M,,1.456B,476.23M,,476.23M,,,,414.27M,10.01M,2.347B,,2010-12,73.66M,1.849B,,,,-150.51M,2.103B,,2010-12,AOR,Restated
2010-06,503.50M,503.50M,762.86M,,762.86M,240.59M,594.64M,256.93M,798.04M,96.62M,,132.89M,,2.294B,,,,,,1.121B,-617.37M,503.33M,850.67M,116.38M,967.05M,29.10M,165.18M,1.665B,3.959B,,,387.58M,722.32M,1.110B,,,29.55M,,29.55M,,18.05M,18.05M,,1.157B,536.38M,,536.38M,,,,424.67M,6.013M,2.119B,,2010-06,73.66M,1.665B,,,,-241.44M,1.834B,,2010-06,AOR,Restated
2010-03,468.36M,468.36M,815.87M,,815.87M,244.53M,695.52M,250.10M,797.07M,135.97M,,141.12M,,2.358B,,,,,,1.165B,-631.14M,534.13M,857.46M,120.80M,978.26M,31.33M,166.93M,1.711B,4.069B,,,397.46M,816.83M,1.214B,,,28.21M,,28.21M,,20.48M,20.48M,,1.263B,537.85M,,537.85M,,,,442.01M,5.674M,2.243B,,2010-03,73.66M,1.590B,,,,-183.14M,1.821B,,2010-03,AOR,Restated
2009-12,654.32M,654.32M,791.72M,,791.72M,239.79M,649.13M,245.72M,795.23M,112.18M,,145.86M,,2.499B,0.00,75.11M,542.49M,578.40M,,1.196B,-635.53M,560.47M,864.93M,124.68M,989.60M,31.32M,168.17M,1.750B,4.249B,,,493.31M,916.94M,1.410B,,,27.36M,,27.36M,,20.48M,20.48M,,1.458B,539.37M,,539.37M,,,,449.69M,5.634M,2.447B,,2009-12,73.59M,1.527B,,,,-149.03M,1.796B,,2009-12,AOR,Restated
2009-09,291.22M,291.22M,841.25M,,841.25M,262.10M,744.51M,262.68M,884.42M,114.34M,,136.55M,,2.268B,,,,,,1.226B,-663.90M,561.68M,865.44M,127.83M,993.27M,32.10M,162.18M,1.749B,4.017B,,,398.51M,869.66M,1.268B,,,27.79M,,27.79M,,20.39M,20.39M,,1.316B,541.15M,,541.15M,,,,438.96M,7.419M,2.296B,,2009-09,73.55M,1.432B,,,,-141.39M,1.713B,,2009-09,AOR,Restated
2009-06,251.54M,251.54M,853.14M,,853.14M,270.62M,757.96M,261.86M,891.61M,100.25M,,124.51M,,2.221B,,,,,,1.186B,-635.86M,550.51M,863.31M,129.07M,992.38M,31.18M,158.21M,1.732B,3.953B,,,437.66M,859.16M,1.297B,,,28.34M,,28.34M,,17.80M,17.80M,,1.343B,542.63M,,542.63M,,,,486.18M,7.674M,2.372B,,2009-06,73.55M,1.330B,,,,-177.89M,1.574B,,2009-06,AOR,Restated
2009-03,201.54M,201.54M,828.44M,,828.44M,260.35M,682.70M,261.34M,884.03M,92.14M,,119.13M,,2.125B,,,,,,1.129B,-595.18M,533.78M,824.53M,118.60M,943.13M,31.43M,160.04M,1.668B,3.794B,,,445.41M,854.78M,1.300B,,,25.18M,,25.18M,,15.49M,15.49M,,1.341B,544.10M,,544.10M,,,,495.21M,7.155M,2.380B,,2009-03,73.55M,1.237B,,,,-249.57M,1.406B,,2009-03,AOR,Restated
2008-12,471.79M,471.79M,808.52M,,808.52M,241.95M,635.49M,264.75M,834.61M,90.34M,0.264M,126.89M,,2.332B,0.00,70.91M,512.19M,559.13M,,1.142B,-594.99M,547.24M,828.40M,121.92M,950.31M,32.56M,161.16M,1.691B,4.024B,,,598.50M,967.10M,1.566B,,,27.73M,,27.73M,,14.67M,14.67M,,1.608B,545.62M,,545.62M,17.39M,25.44M,17.66M,274.35M,6.431M,2.649B,,2008-12,73.48M,1.160B,,,,-211.32M,1.368B,,2008-12,AOR,
2008-09,153.43M,153.43M,912.04M,,912.04M,254.57M,675.49M,271.24M,859.29M,92.66M,0.519M,86.67M,,2.105B,,,,,,1.096B,-602.43M,493.71M,842.77M,125.86M,968.63M,54.59M,123.76M,1.641B,3.745B,,,470.58M,936.60M,1.407B,,,21.70M,,21.70M,,7.906M,7.906M,,1.437B,547.19M,,547.19M,,,,,,2.335B,,2008-09,73.47M,1.059B,,,,-81.89M,1.410B,,2008-09,,Restated
2008-06,136.74M,136.74M,919.86M,,919.86M,266.75M,671.54M,294.09M,892.81M,87.32M,0.36M,109.32M,,2.146B,,,,,,1.138B,-628.83M,508.74M,858.11M,131.18M,989.30M,14.54M,134.28M,1.647B,3.793B,,,490.55M,821.19M,1.312B,,,23.24M,,23.24M,,6.807M,6.807M,,1.342B,548.30M,,548.30M,,,,,,2.290B,,2008-06,73.47M,956.41M,,,,19.85M,1.503B,,2008-06,,Restated
2008-03,197.91M,197.91M,788.46M,,788.46M,250.19M,653.55M,272.45M,853.88M,93.60M,1.481M,109.75M,,2.045B,,,,,,1.116B,-613.98M,501.64M,857.90M,133.77M,991.67M,20.48M,136.74M,1.651B,3.696B,,,477.85M,792.12M,1.270B,,,12.88M,,12.88M,,6.258M,6.258M,,1.289B,549.88M,,549.88M,,,,,,2.282B,,2008-03,73.48M,847.96M,,,,15.14M,1.414B,,2008-03,,Restated
