,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,919.95M,919.95M,648.52M,271.43M,229.18M,,,,14.88M,1.639M,-13.24M,,229.18M,42.26M,1.639M,14.88M,-13.24M,-3.987M,-13.24M,25.03M,8.571M,16.46M,,,-1.316M,68.82M,28.91M,39.91M,,2018-03,,,0.12,0.12,,,,,,2018-03,130.76M,131.10M,0.19,,2018-03,AOR,Restated
2017-12,1.034B,1.034B,727.58M,306.49M,221.42M,,,0.159M,15.04M,1.056M,-13.98M,,221.42M,85.07M,1.056M,15.04M,-13.98M,-4.132M,-13.98M,66.96M,172.84M,-105.89M,,,0.006M,112.51M,30.51M,82.00M,,2017-12,,,-0.8107,-0.81,,,,,,2017-12,130.76M,131.42M,0.19,,2017-12,AOR,Restated
2017-09,883.38M,883.38M,615.37M,268.01M,206.00M,,,9.864M,15.04M,1.108M,-13.94M,,206.00M,62.01M,1.108M,15.04M,-13.94M,20.29M,-13.94M,68.37M,19.63M,48.74M,,,-1.136M,113.96M,30.55M,83.41M,,2017-09,,,0.3062,0.36,,,,,,2017-09,130.76M,131.40M,0.19,,2017-09,AOR,Restated
2017-06,877.06M,877.06M,631.60M,245.46M,252.53M,,,131.29M,14.95M,0.641M,-14.31M,,252.53M,-7.07M,0.641M,14.95M,-14.31M,124.45M,-14.31M,103.07M,60.89M,42.18M,,,-0.307M,146.79M,28.77M,118.02M,,2017-06,,,-0.2826,0.32,,,,,,2017-06,130.73M,131.34M,0.19,,2017-06,AOR,Restated
2017-03,866.32M,866.32M,597.33M,268.99M,221.77M,,,,14.70M,0.624M,-14.07M,,221.77M,47.21M,0.624M,14.70M,-14.07M,-8.533M,-14.07M,24.61M,5.32M,19.29M,,,-0.239M,67.93M,28.62M,39.30M,,2017-03,,,0.15,0.15,,,,,,2017-03,130.56M,131.28M,0.19,,2017-03,AOR,Restated
2016-12,1.071B,1.071B,737.93M,333.00M,217.86M,,,-7.664M,15.16M,0.561M,-14.59M,,217.86M,115.14M,0.561M,15.16M,-14.59M,-10.77M,-14.59M,89.77M,27.86M,61.91M,,,-1.855M,134.38M,29.45M,104.93M,,2016-12,,,0.5005,0.46,,,,,,2016-12,130.57M,131.18M,0.19,,2016-12,AOR,Restated
2016-09,945.94M,945.94M,667.96M,277.98M,281.26M,,,0.00,15.14M,0.924M,-14.22M,,281.26M,-3.282M,0.924M,15.14M,-14.22M,5.293M,-14.22M,-12.21M,2.827M,-15.03M,,,-0.808M,31.82M,28.89M,2.935M,,2016-09,,,-0.12,-0.12,,,,,,2016-09,130.30M,130.30M,0.19,,2016-09,AOR,Restated
2016-06,1.027B,1.027B,706.73M,320.66M,228.70M,,,0.00,15.27M,0.645M,-14.63M,,228.70M,91.96M,0.645M,15.27M,-14.63M,6.544M,-14.63M,83.88M,29.51M,54.36M,,,0.009M,128.93M,29.78M,99.15M,,2016-06,,,0.42,0.42,,,,,,2016-06,130.45M,130.91M,0.19,,2016-06,AOR,Restated
2016-03,946.22M,946.22M,641.07M,305.15M,237.55M,,,,14.57M,0.676M,-13.89M,,237.55M,67.60M,0.676M,14.57M,-13.89M,-2.245M,-13.89M,51.47M,17.18M,34.29M,,,-0.425M,94.66M,28.63M,66.04M,,2016-03,,,0.26,0.26,,,,,,2016-03,130.14M,130.81M,0.19,,2016-03,AOR,Restated
2015-12,1.284B,1.284B,896.48M,387.96M,265.70M,,,,17.56M,0.561M,-17.00M,,265.70M,122.27M,0.561M,17.56M,-17.00M,-5.242M,-17.00M,100.03M,36.83M,63.20M,,,-1.09M,145.10M,27.52M,117.59M,,2015-12,,,0.47,0.47,,,,,,2015-12,130.59M,131.30M,0.18,,2015-12,AOR,Restated
2015-09,1.096B,1.096B,707.73M,388.75M,223.52M,,,,16.28M,0.499M,-15.78M,,223.52M,165.23M,0.499M,16.28M,-15.78M,-2.815M,-15.78M,146.64M,52.10M,94.54M,,,-0.913M,195.38M,32.47M,162.92M,,2015-09,,,0.71,0.71,,,,,,2015-09,132.55M,133.16M,0.18,,2015-09,AOR,Restated
2015-06,1.162B,1.162B,793.16M,369.09M,243.59M,,,,15.39M,0.249M,-15.14M,,243.59M,125.50M,0.249M,15.39M,-15.14M,-2.803M,-15.14M,107.55M,30.92M,76.63M,,,-1.624M,156.20M,33.26M,122.94M,,2015-06,,,0.56,0.56,,,,,,2015-06,134.24M,134.83M,0.18,,2015-06,AOR,Restated
2015-03,1.015B,1.015B,682.89M,331.73M,239.93M,,,,16.04M,0.758M,-15.28M,,239.93M,91.80M,0.758M,16.04M,-15.28M,-18.37M,-15.28M,58.15M,28.51M,29.64M,,,-1.979M,108.03M,33.84M,74.19M,,2015-03,,,0.21,0.21,,,,,,2015-03,134.92M,135.95M,0.18,,2015-03,AOR,Restated
2014-12,1.381B,1.381B,900.10M,481.25M,251.62M,,,,15.02M,0.442M,-14.57M,,251.62M,229.63M,0.442M,15.02M,-14.57M,7.802M,-14.57M,222.86M,67.78M,155.08M,,,-1.517M,264.85M,26.97M,237.88M,,2014-12,,,1.13,1.13,,,,,,2014-12,136.06M,136.98M,0.16,,2014-12,AOR,Restated
2014-09,1.204B,1.204B,782.52M,421.49M,230.87M,,,,15.13M,0.40M,-14.73M,,230.87M,190.62M,0.40M,15.13M,-14.73M,7.437M,-14.73M,183.32M,52.72M,130.60M,,,-2.038M,226.12M,27.66M,198.46M,,2014-09,,,0.94,0.94,,,,,,2014-09,136.67M,137.53M,0.16,,2014-09,AOR,Restated
2014-06,1.224B,1.224B,794.07M,430.31M,238.18M,,,,15.03M,0.507M,-14.52M,,238.18M,192.13M,0.507M,15.03M,-14.52M,-1.649M,-14.52M,175.96M,50.79M,125.16M,,,-1.652M,219.27M,28.28M,190.99M,,2014-06,,,0.90,0.90,,,,,,2014-06,137.19M,138.00M,0.16,,2014-06,AOR,Restated
2014-03,1.068B,1.068B,691.01M,377.12M,216.23M,,,,15.15M,0.331M,-14.82M,,216.23M,160.90M,0.331M,15.15M,-14.82M,0.526M,-14.82M,146.60M,38.02M,108.59M,,,-0.854M,189.12M,27.36M,161.75M,,2014-03,,,0.78,0.78,,,,,,2014-03,137.73M,138.87M,0.16,,2014-03,AOR,Restated
2013-12,1.389B,1.389B,918.97M,470.47M,260.55M,,,,16.15M,0.554M,-15.60M,,260.55M,209.92M,0.554M,16.15M,-15.60M,-2.627M,-15.60M,191.70M,49.70M,141.99M,,,-0.912M,235.66M,27.81M,207.85M,,2013-12,,,1.01,1.01,,,,,,2013-12,139.35M,140.12M,0.14,,2013-12,AOR,Restated
2013-09,1.229B,1.229B,806.32M,422.74M,231.57M,,,,13.05M,0.325M,-12.72M,,231.57M,191.17M,0.325M,13.05M,-12.72M,3.951M,-12.72M,182.40M,55.87M,126.53M,,,-0.259M,222.41M,26.96M,195.45M,,2013-09,,,0.90,0.90,,,,,,2013-09,140.36M,141.08M,0.14,,2013-09,AOR,Restated
2013-06,1.240B,1.240B,817.95M,421.58M,240.20M,,,,13.12M,0.277M,-12.85M,,240.20M,181.38M,0.277M,13.12M,-12.85M,2.761M,-12.85M,171.29M,50.40M,120.89M,,,-0.508M,210.83M,26.41M,184.41M,,2013-06,,,0.85,0.85,,,,,,2013-06,142.21M,142.88M,0.14,,2013-06,AOR,Restated
2013-03,1.097B,1.097B,723.29M,373.31M,234.51M,,,,12.09M,0.274M,-11.82M,,234.51M,138.80M,0.274M,12.09M,-11.82M,20.65M,-11.82M,147.63M,48.73M,98.90M,,,-1.111M,184.94M,25.21M,159.72M,,2013-03,,,0.68,0.68,,,,,,2013-03,144.47M,145.63M,0.14,,2013-03,AOR,Restated
2012-12,1.328B,1.328B,880.65M,447.56M,248.55M,,,,13.64M,0.227M,-13.42M,,248.55M,199.02M,0.227M,13.64M,-13.42M,4.242M,-13.42M,189.84M,47.90M,141.94M,,,-0.336M,229.93M,26.45M,203.48M,,2012-12,,,0.94,0.94,,,,,,2012-12,149.09M,150.14M,0.12,,2012-12,AOR,Restated
2012-09,1.166B,1.166B,776.32M,389.60M,227.80M,,,,12.14M,0.208M,-11.94M,,227.80M,161.81M,0.208M,12.14M,-11.94M,-5.268M,-11.94M,144.60M,37.77M,106.83M,,,-0.538M,183.01M,26.27M,156.75M,,2012-09,,,0.70,0.70,,,,,,2012-09,152.91M,153.86M,0.12,,2012-09,AOR,Restated
2012-06,1.182B,1.182B,797.62M,384.60M,223.89M,,,,8.922M,0.237M,-8.685M,,223.89M,160.71M,0.237M,8.922M,-8.685M,-3.96M,-8.685M,148.06M,39.58M,108.48M,,,-1.169M,183.77M,26.78M,156.99M,,2012-06,,,0.66,0.66,,,,,,2012-06,161.99M,162.80M,0.12,,2012-06,AOR,Restated
2012-03,1.075B,1.075B,715.80M,359.18M,221.89M,,,,8.809M,0.282M,-8.527M,,221.89M,137.29M,0.282M,8.809M,-8.527M,0.29M,-8.527M,129.06M,35.52M,93.54M,,,-0.417M,165.59M,27.73M,137.87M,,2012-03,,,0.57,0.57,,,,,,2012-03,163.41M,165.09M,0.12,,2012-03,AOR,Restated
2011-12,1.265B,1.265B,845.40M,420.03M,232.46M,,,,9.497M,0.481M,-9.016M,,232.46M,187.56M,0.481M,9.497M,-9.016M,1.623M,-9.016M,180.17M,54.62M,125.56M,,,-0.458M,217.68M,28.01M,189.67M,,2011-12,,,0.7533,0.7533,,,,,,2011-12,165.37M,167.00M,0.1067,,2011-12,AOR,Restated
2011-09,1.122B,1.122B,745.23M,376.59M,226.00M,,,-6.621M,8.544M,0.216M,-8.328M,,226.00M,150.59M,0.216M,8.544M,-8.328M,-2.254M,-8.328M,140.01M,32.05M,107.96M,,,-0.185M,175.43M,26.88M,148.55M,,2011-09,,,0.6772,0.6467,,0.00,,,,2011-09,166.93M,168.48M,0.1067,,2011-09,AOR,Restated
2011-06,1.126B,1.126B,756.41M,369.34M,232.98M,,,5.985M,9.534M,0.394M,-9.14M,-3.751M,229.23M,140.11M,0.394M,9.534M,-9.14M,5.985M,-9.14M,136.95M,38.23M,98.72M,,,0.008M,174.03M,27.54M,146.48M,,2011-06,,,0.5642,0.59,,0.00,,,,2011-06,167.24M,168.73M,0.1067,,2011-06,AOR,Restated
2011-03,997.21M,997.21M,649.51M,347.70M,222.64M,,,13.68M,8.605M,0.489M,-8.116M,,222.64M,125.06M,0.489M,8.605M,-8.116M,13.68M,-8.116M,130.62M,33.63M,97.00M,,,-0.014M,164.36M,25.13M,139.23M,,2011-03,,,0.5191,0.58,,0.00,,,,2011-03,166.96M,169.02M,0.1067,,2011-03,AOR,Restated
2010-12,1.140B,1.140B,755.83M,384.52M,224.68M,,,,8.359M,0.405M,-7.954M,,237.22M,147.30M,0.405M,8.359M,-7.954M,13.56M,-7.954M,152.91M,40.46M,112.45M,,,0.057M,193.89M,32.62M,161.27M,,2010-12,,,0.6733,0.6733,,,,,,2010-12,167.09M,168.90M,0.0967,,2010-12,AOR,Restated
2010-09,971.68M,971.68M,638.18M,333.50M,207.74M,,,18.58M,8.266M,0.43M,-7.836M,-3.439M,204.30M,129.20M,0.43M,8.266M,-7.836M,18.58M,-7.836M,139.94M,35.71M,104.22M,,,-0.306M,172.89M,24.69M,148.20M,,2010-09,,,0.5374,0.62,,0.00,,,,2010-09,167.43M,169.16M,0.0967,,2010-09,AOR,
2010-06,961.10M,961.10M,617.73M,343.36M,201.33M,,,-8.31M,8.682M,0.406M,-8.276M,,201.33M,142.04M,0.406M,8.682M,-8.276M,-8.31M,-8.276M,125.45M,33.64M,91.80M,,,-0.157M,157.65M,23.52M,134.13M,,2010-06,,,0.5829,0.5467,,0.00,,,,2010-06,167.74M,169.42M,0.0967,,2010-06,AOR,Restated
2010-03,958.91M,958.91M,610.60M,348.31M,211.24M,,,-21.53M,8.995M,0.334M,-8.661M,-5.104M,206.14M,142.17M,0.334M,8.995M,-8.661M,-21.53M,-8.661M,111.98M,31.78M,80.20M,,,0.015M,144.69M,23.71M,120.98M,,2010-03,,,0.5724,0.48,,0.00,,,,2010-03,166.91M,169.50M,0.0967,,2010-03,AOR,Restated
2009-12,1.199B,1.199B,790.24M,408.83M,250.53M,,,-1.481M,9.846M,1.153M,-8.693M,,250.53M,158.30M,1.153M,9.846M,-8.693M,-1.481M,-8.693M,148.13M,37.87M,110.26M,,,0.157M,182.60M,24.63M,157.97M,,2009-12,,,0.6664,0.66,,0.00,,,,2009-12,171.09M,171.09M,0.09,,2009-12,AOR,Restated
2009-09,1.051B,1.051B,665.86M,385.20M,227.26M,,,10.26M,10.12M,0.562M,-9.557M,,227.26M,157.94M,0.562M,10.12M,-9.557M,10.26M,-9.557M,158.64M,42.01M,116.64M,,,0.305M,192.47M,23.71M,168.76M,,2009-09,,,0.6546,0.70,,0.00,,,,2009-09,166.05M,169.13M,0.09,,2009-09,AOR,Restated
2009-06,1.090B,1.090B,704.08M,386.32M,231.34M,,,3.706M,9.931M,0.457M,-9.474M,,231.34M,154.98M,0.457M,9.931M,-9.474M,3.706M,-9.474M,149.21M,40.60M,108.60M,,,-0.386M,185.67M,26.53M,159.14M,,2009-06,,,0.6306,0.6467,,0.00,,,,2009-06,167.71M,169.19M,0.09,,2009-06,AOR,Restated
2009-03,1.025B,1.025B,656.95M,367.77M,225.31M,,,4.675M,10.11M,1.075M,-9.034M,,225.31M,142.46M,1.075M,10.11M,-9.034M,4.675M,-9.034M,128.81M,35.98M,92.82M,,,-0.52M,159.49M,20.58M,138.92M,,2009-03,,,0.5299,0.55,,0.00,,,,2009-03,167.89M,168.98M,0.09,,2009-03,AOR,Restated
2008-12,1.169B,1.169B,757.38M,411.57M,257.95M,,,-2.075M,12.60M,1.78M,-10.82M,,257.95M,153.62M,1.78M,12.60M,-10.82M,-2.075M,-10.82M,157.69M,45.51M,112.18M,,,,189.80M,19.51M,170.29M,,2008-12,,,0.7091,0.70,,0.00,,,,2008-12,162.89M,166.78M,0.0833,,2008-12,AOR,
2008-09,1.154B,1.154B,748.67M,404.92M,243.80M,,,-5.301M,13.10M,2.152M,-10.95M,,243.80M,161.12M,2.152M,13.10M,-10.95M,-5.301M,-10.95M,144.87M,26.95M,117.92M,,,-0.874M,178.39M,20.41M,157.98M,,2008-09,,,0.7085,0.6833,,0.00,,,,2008-09,171.50M,172.41M,0.0833,,2008-09,,Restated
2008-06,1.158B,1.158B,739.64M,417.97M,250.15M,,,5.087M,12.73M,1.605M,-11.13M,,250.15M,167.82M,1.605M,12.73M,-11.13M,5.087M,-11.13M,161.78M,38.16M,123.61M,,,-0.749M,195.40M,20.88M,174.51M,,2008-06,,,0.6906,0.7133,,0.00,,,,2008-06,170.89M,173.53M,0.0833,,2008-06,,Restated
2008-03,993.32M,993.32M,647.47M,345.85M,232.50M,,,22.45M,12.86M,2.855M,-10.00M,,232.50M,113.34M,2.855M,12.86M,-10.00M,22.45M,-10.00M,125.79M,37.10M,88.69M,,,-0.627M,159.29M,20.64M,138.65M,,2008-03,,,0.4181,0.51,,0.00,,,,2008-03,172.28M,173.45M,0.0833,,2008-03,,Restated
2007-12,1.109B,1.109B,743.12M,366.25M,233.25M,,,3.788M,,,,-4.354M,228.89M,137.36M,,,,8.142M,,128.02M,32.12M,95.90M,,,,158.69M,21.33M,137.36M,,2007-12,,,0.5499,0.5667,,0.00,,,,2007-12,169.11M,172.46M,0.05,,2007-12,,
2007-09,919.25M,919.25M,605.66M,313.58M,210.14M,,,1.224M,,,,-4.781M,205.35M,108.23M,,,,6.005M,,95.04M,31.98M,63.06M,,,,127.78M,19.55M,108.23M,,2007-09,,,0.3685,0.3733,,0.00,,,,2007-09,168.90M,171.97M,0.05,,2007-09,,
2007-06,930.68M,930.68M,628.26M,302.42M,209.54M,,,2.338M,,,,-4.03M,205.51M,96.91M,,,,6.368M,,83.97M,20.77M,63.20M,,,,116.36M,19.46M,96.91M,,2007-06,,,0.3629,0.3733,,0.00,,,,2007-06,169.30M,170.82M,0.05,,2007-06,,
2007-03,803.40M,803.40M,537.93M,265.47M,203.58M,,,-1.402M,,,,-5.53M,198.05M,67.42M,,,,4.128M,,53.03M,19.42M,33.61M,,,,86.55M,19.12M,67.42M,,2007-03,,,0.2053,0.20,,0.00,,,,2007-03,168.07M,170.92M,0.05,,2007-03,,
2006-12,883.59M,883.59M,596.68M,286.91M,227.34M,,,2.044M,,,,-3.696M,223.64M,63.26M,,,,5.74M,,51.77M,18.41M,33.36M,0.189M,,,81.90M,18.63M,63.26M,,2006-12,,,0.1922,0.20,,0.00,,,,2006-12,167.77M,170.50M,0.00,,2006-12,,
2006-09,770.76M,770.76M,520.95M,249.80M,191.25M,,,-1.835M,,,,-3.336M,187.92M,61.89M,,,,1.491M,,45.29M,16.82M,28.47M,0.805M,,,80.55M,18.66M,61.89M,,2006-09,,,0.1770,0.1767,,0.0067,,,,2006-09,165.73M,172.23M,0.00,,2006-09,,
2006-06,752.86M,752.86M,500.26M,252.60M,183.26M,,,4.392M,,,,-4.014M,179.24M,73.36M,,,,8.406M,,62.56M,28.95M,33.61M,,,,91.09M,17.73M,73.36M,,2006-06,,,0.1843,0.20,,0.00,,,,2006-06,168.04M,173.84M,0.00,,2006-06,,
2006-03,653.86M,653.86M,435.86M,217.99M,180.66M,,,1.133M,,,,-3.786M,176.87M,41.12M,,,,4.919M,,27.66M,9.057M,18.60M,,,,58.82M,17.69M,41.12M,,2006-03,,,0.1087,0.1133,,0.00,,,,2006-03,164.12M,174.38M,0.00,,2006-03,,
2005-12,738.51M,738.51M,493.01M,245.50M,196.15M,,,-0.025M,,,,,183.62M,61.88M,,,,12.51M,,47.20M,22.42M,24.78M,-11.69M,,,79.02M,17.13M,61.88M,,2005-12,,,0.1501,0.08,,-0.07,,,,2005-12,148.44M,170.47M,0.00,,2005-12,,
2005-09,649.48M,649.48M,438.27M,211.22M,156.40M,,,-27.49M,,,,,156.40M,54.81M,,,,-27.49M,,9.683M,4.50M,5.183M,-15.13M,,,72.10M,17.29M,54.81M,,2005-09,,,0.1295,-0.06,,-0.09,,,,2005-09,165.83M,165.83M,0.00,,2005-09,,
2005-06,691.16M,691.16M,468.46M,222.70M,166.40M,,,-5.866M,,,,,166.40M,56.30M,,,,-5.866M,,31.19M,12.63M,18.56M,-0.611M,,,75.08M,18.78M,56.30M,,2005-06,,,0.1309,0.1067,,-0.0033,,,,2005-06,168.28M,168.28M,0.00,,2005-06,,
2005-03,616.12M,616.12M,424.98M,191.14M,165.32M,,,-2.713M,,,,,165.32M,25.83M,,,,-2.713M,,3.923M,1.024M,2.899M,-6.913M,,,46.11M,20.29M,25.83M,,2005-03,,,0.0283,-0.0233,,-0.04,,,,2005-03,172.03M,172.03M,0.00,,2005-03,,
2004-12,703.73M,703.73M,494.71M,209.01M,176.62M,,,-6.944M,,,,,168.55M,40.46M,,,,1.122M,,14.41M,7.316M,7.098M,0.188M,,,60.20M,19.74M,40.46M,,2004-12,,,0.0684,0.0433,,0.00,,,,2004-12,166.28M,173.22M,0.00,,2004-12,,
2004-09,623.43M,623.43M,433.98M,189.45M,146.27M,,,-4.979M,,,,,146.27M,43.18M,,,,-4.979M,,17.84M,10.57M,7.27M,-0.902M,,,62.68M,19.50M,43.18M,,2004-09,,,0.0654,0.04,,-0.0067,,,,2004-09,159.20M,173.67M,0.00,,2004-09,,
2004-06,618.28M,618.28M,426.58M,191.70M,148.77M,,,-1.036M,,,,,148.77M,42.93M,,,,-1.036M,,22.59M,15.63M,6.957M,-0.685M,,,62.55M,19.62M,42.93M,,2004-06,,,0.0436,0.0367,,-0.0033,,,,2004-06,171.05M,171.05M,0.00,,2004-06,,
2004-03,577.06M,577.06M,404.06M,172.99M,133.49M,,,-3.804M,,,,,133.49M,39.50M,,,,-3.804M,,16.00M,8.579M,7.423M,-0.279M,,,58.86M,19.36M,39.50M,,2004-03,,,0.0572,0.0433,,0.00,,,,2004-03,164.86M,164.86M,0.00,,2004-03,,
2003-12,527.53M,527.53M,362.04M,165.49M,122.38M,,,0.581M,,,,,122.38M,43.11M,,,,0.581M,,24.14M,3.224M,20.91M,-6.249M,,,63.47M,20.36M,43.11M,,2003-12,,,0.1238,0.0903,,-0.0367,,,,2003-12,165.01M,165.01M,0.00,,2003-12,,
2003-09,555.96M,555.96M,387.28M,168.68M,131.88M,,,-5.558M,,,,,131.88M,36.80M,,,,-5.558M,,12.11M,2.00M,10.11M,0.238M,,,55.74M,18.94M,36.80M,,2003-09,,,0.0869,0.06,,0.00,,,,2003-09,172.50M,172.50M,0.00,,2003-09,,
2003-06,608.15M,608.15M,426.80M,181.36M,128.22M,,,-9.537M,,,,,128.22M,53.13M,,,,-9.537M,,22.92M,8.476M,14.44M,0.217M,,,71.69M,18.56M,53.13M,,2003-06,,,0.1222,0.0867,,0.00,,,,2003-06,169.12M,169.12M,0.00,,2003-06,,
2003-03,564.27M,564.27M,395.72M,168.55M,128.54M,,,-8.35M,,,,6.41M,134.95M,33.60M,,,,-8.35M,,11.42M,3.939M,7.479M,,,,52.89M,19.28M,33.60M,,2003-03,,,0.0797,0.0467,,0.00,,,,2003-03,165.45M,165.70M,0.00,,2003-03,,
2002-12,624.66M,624.66M,446.59M,178.06M,127.81M,,,-21.09M,,,,8.102M,135.91M,42.16M,,,,-21.09M,,5.746M,3.51M,2.236M,,,,60.58M,18.42M,42.16M,,2002-12,,-0.0758,0.0764,-0.0840,,0.0433,,-0.1150,,2002-12,152.36M,164.46M,0.00,,2002-12,,
2002-09,586.71M,586.71M,411.17M,175.54M,127.45M,,,-9.153M,,,,6.072M,133.52M,42.02M,,,,-9.153M,,15.14M,5.299M,9.84M,,,,61.55M,19.53M,42.02M,,2002-09,,0.0030,0.0960,0.24,,0.1767,,0.0030,,2002-09,165.45M,165.82M,0.00,,2002-09,,
2002-06,592.73M,592.73M,410.70M,182.02M,124.02M,,,-12.04M,,,,,124.02M,58.00M,,,,-12.04M,,22.07M,7.726M,14.34M,,,,76.12M,18.12M,58.00M,,2002-06,,,0.1436,0.0933,,0.00,,,,2002-06,155.76M,158.04M,0.00,,2002-06,,
