,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2007-03,228.00M,,,,,-32.00M,,169.00M,-104.00M,,,-1.00M,,,,,,1.124B,1.124B,-1.00M,1.383B,-423.00M,245.00M,-178.00M,-211.00M,-5.00M,-6.00M,-400.00M,,,-184.00M,16.00M,,16.00M,,,,,,-79.00M,2.00M,-245.00M,920.00M,738.00M,,1.658B,16.00M,,,,20.00M,62.00M
2006-12,444.00M,,,,,222.00M,,166.00M,133.00M,,,-222.00M,,,245.00M,,,-685.00M,-481.00M,-24.00M,238.00M,-986.00M,467.00M,-519.00M,,-153.00M,-644.00M,-523.00M,,,-211.00M,8.00M,-25.00M,-17.00M,,,,,,-80.00M,10.00M,-296.00M,1.501B,-581.00M,,920.00M,8.00M,,,-25.00M,126.00M,82.00M
2006-09,543.00M,,,,,-455.00M,,163.00M,160.00M,,,88.00M,,,-18.00M,,,207.00M,189.00M,-89.00M,599.00M,-574.00M,12.00M,-562.00M,,,573.00M,11.00M,,,188.00M,43.00M,0.00,43.00M,,,,,,-69.00M,8.00M,170.00M,721.00M,780.00M,,1.501B,43.00M,,,0.00,69.00M,79.00M
2006-06,185.00M,,,,,50.00M,,171.00M,-172.00M,,,,,,,,,-278.00M,-278.00M,-19.00M,-63.00M,-356.00M,-114.00M,-470.00M,,103.00M,518.00M,151.00M,,,-66.00M,29.00M,0.00,29.00M,,,,,,-69.00M,89.00M,-17.00M,650.00M,71.00M,,721.00M,29.00M,,,0.00,387.00M,92.00M
2006-03,234.00M,,,,,26.00M,,157.00M,-44.00M,,,,,,,,,387.00M,387.00M,95.00M,855.00M,-537.00M,138.00M,-399.00M,,-103.00M,-3.00M,-505.00M,,,-413.00M,17.00M,-12.00M,5.00M,,,,,,-65.00M,4.00M,-469.00M,769.00M,-119.00M,,650.00M,17.00M,,,-12.00M,19.00M,84.00M
2005-12,357.00M,,,,,-34.00M,,160.00M,-129.00M,,,96.00M,,,,,,-1.032B,-722.00M,101.00M,-171.00M,-357.00M,2.00M,-355.00M,-86.00M,,9.00M,-432.00M,,,948.00M,2.00M,200.00M,202.00M,,,,,,-75.00M,-203.00M,872.00M,500.00M,269.00M,,769.00M,2.00M,,,200.00M,152.00M,83.00M
2005-09,216.00M,,,,,-160.00M,,152.00M,-109.00M,,,57.00M,,,,,,39.00M,39.00M,-90.00M,105.00M,-446.00M,260.00M,-186.00M,,,-11.00M,-197.00M,,,-83.00M,26.00M,-200.00M,-174.00M,,,,,,-74.00M,199.00M,-132.00M,724.00M,-224.00M,,500.00M,26.00M,,,-200.00M,50.00M,69.00M
2005-06,117.00M,,,,,7.00M,,153.00M,8.00M,,,,,,,,,-427.00M,-427.00M,20.00M,-122.00M,-305.00M,4.00M,-301.00M,1.00M,,-19.00M,-319.00M,,,141.00M,576.00M,111.00M,687.00M,,,,,,-69.00M,-199.00M,560.00M,606.00M,119.00M,,724.00M,576.00M,,,111.00M,222.00M,69.00M
2005-03,223.00M,,,,,3.00M,,161.00M,-68.00M,,,,,,,,,393.00M,393.00M,,712.00M,-269.00M,11.00M,-258.00M,-1.00M,,20.00M,-239.00M,,,-114.00M,90.00M,-206.00M,-116.00M,,,,,,-50.00M,-3.00M,-283.00M,416.00M,190.00M,,606.00M,90.00M,,,-206.00M,5.00M,73.00M
2004-12,346.00M,,,,,-16.00M,,120.00M,20.00M,,,,,,,-55.00M,-48.00M,124.00M,21.00M,0.00,491.00M,-301.00M,26.00M,-275.00M,-4.00M,,-46.00M,-325.00M,,,41.00M,20.00M,0.00,20.00M,,,,,,-50.00M,-10.00M,1.00M,252.00M,167.00M,,419.00M,20.00M,,,0.00,134.00M,89.00M
2004-09,231.00M,,,,,2.00M,,171.00M,5.00M,,,,,,,-15.00M,13.00M,-549.00M,-551.00M,0.00,-142.00M,-284.00M,145.00M,-139.00M,-57.00M,,-102.00M,-298.00M,,,-399.00M,-2.00M,-3.00M,-5.00M,,,,,,-30.00M,-1.00M,-435.00M,1.15B,-875.00M,,252.00M,-2.00M,,,-3.00M,63.00M,72.00M
2004-06,121.00M,,,,,14.00M,,165.00M,10.00M,,,2.00M,,,,-57.00M,8.00M,-372.00M,-421.00M,-30.00M,-139.00M,-279.00M,0.00,-279.00M,-6.00M,,140.00M,-145.00M,,,784.00M,57.00M,0.00,57.00M,,,,,,-67.00M,-1.00M,773.00M,638.00M,489.00M,,1.15B,57.00M,,,0.00,28.00M,72.00M
2004-03,197.00M,,,,,51.00M,,165.00M,-22.00M,,,-2.00M,,,,,,402.00M,402.00M,,791.00M,-219.00M,363.00M,144.00M,-7.00M,,20.00M,157.00M,,,-702.00M,35.00M,-2.00M,33.00M,,,,,,-48.00M,-2.00M,-719.00M,409.00M,229.00M,,638.00M,35.00M,,,-2.00M,29.00M,85.00M
