,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1999-09,767.60M,,767.60M,2.065B,,2.065B,,849.40M,,,,285.60M,3.968B,36.73B,2.385B,39.12B,-13.86B,25.26B,,,3.733B,,,2.476B,2.786B,34.26B,38.22B,,706.90M,,,706.90M,1.884B,2.591B,,,,,3.862B,,3.862B,,,,6.452B,,11.51B,,11.51B,5.232B,,700.90M,,709.10M,2.797B,,15.01B,27.99B,,3.503B,4.336B,2.480B,705.60M,,-87.50M,9.526B,,,
1999-06,448.80M,,448.80M,1.732B,,1.732B,,918.50M,,,,532.30M,3.632B,36.41B,2.188B,38.60B,-13.70B,24.89B,,,3.745B,,,2.454B,2.846B,33.94B,37.57B,,698.20M,,,698.20M,1.360B,2.058B,,,,,5.146B,,5.146B,,,,7.204B,,10.26B,,10.26B,5.138B,,708.40M,,580.80M,2.794B,,13.77B,27.46B,,3.503B,3.949B,2.480B,307.60M,,-100.30M,9.524B,,,
1999-03,554.10M,,554.10M,1.519B,,1.519B,,832.70M,,,,282.80M,3.189B,35.23B,1.934B,37.16B,-13.45B,23.72B,,,2.22B,,,2.424B,3.888B,32.25B,35.44B,,689.70M,,,689.70M,1.165B,1.855B,,,,,3.499B,,3.499B,,,,5.354B,,9.952B,,9.952B,5.122B,,715.70M,,572.90M,2.796B,,13.46B,25.16B,,3.503B,3.869B,2.480B,56.80M,,-91.30M,9.704B,,,
1998-12,959.00M,,959.00M,1.805B,,1.797B,,767.00M,,,,183.00M,3.706B,217.00M,1.782B,37.17B,-13.24B,23.93B,2.125B,1.339B,3.464B,2.703B,,1.898B,,32.48B,36.19B,,1.027B,348.00M,,1.375B,345.00M,1.72B,,1.828B,,1.526B,3.354B,,3.354B,125.00M,125.00M,542.00M,5.741B,474.00M,10.47B,,10.47B,5.919B,,5.919B,,535.00M,2.179B,705.00M,19.75B,25.49B,,3.868B,3.878B,2.463B,58.00M,369.00M,15.00M,10.17B,,AOR,Restated
1998-09,858.30M,,858.30M,2.190B,,2.190B,,699.20M,,,,263.80M,4.012B,35.00B,1.682B,36.69B,-12.93B,23.76B,,,1.883B,,,2.419B,3.880B,31.94B,35.95B,,772.50M,,,772.50M,1.702B,2.474B,,,,,2.527B,,2.527B,,,,5.001B,,10.70B,,10.70B,5.233B,,731.20M,,592.50M,2.397B,,13.83B,25.21B,,3.499B,4.164B,2.462B,,,22.80M,10.15B,,,
1998-06,687.10M,,687.10M,2.000B,,2.000B,,760.50M,,,,406.40M,3.854B,34.81B,1.571B,36.38B,-12.64B,23.74B,,,1.890B,,,2.373B,3.896B,31.90B,35.76B,,773.80M,,,773.80M,1.588B,2.362B,,,,,2.406B,,2.406B,,,,4.768B,,10.93B,,10.93B,5.306B,,738.80M,,588.50M,2.434B,,14.10B,25.36B,,3.489B,3.886B,2.418B,,,9.10M,9.803B,,,
1998-03,477.30M,,477.30M,1.523B,,1.523B,,778.50M,,,,360.70M,3.139B,34.45B,1.496B,35.94B,-12.24B,23.70B,,,1.903B,,,2.410B,3.872B,31.88B,35.02B,,630.90M,,,630.90M,1.365B,1.996B,,,,,2.880B,,2.880B,,,,4.876B,,10.42B,,10.42B,5.378B,,746.30M,,452.00M,2.243B,,13.41B,24.83B,,3.485B,3.849B,2.401B,,,9.20M,9.744B,,,
1997-12,704.00M,,704.00M,2.084B,,2.007B,,711.00M,98.00M,,,,3.599B,230.00M,1.312B,35.59B,-11.93B,23.65B,1.888B,1.389B,3.277B,2.297B,,2.047B,,31.66B,35.26B,,1.049B,379.00M,,1.428B,370.00M,1.798B,,2.064B,,784.00M,2.848B,,2.848B,133.00M,133.00M,608.00M,5.387B,431.00M,10.27B,,10.27B,6.15B,,6.15B,,435.00M,1.744B,694.00M,19.29B,24.68B,,3.96B,3.842B,2.331B,,493.00M,7.00M,10.14B,,AOR,Restated
1997-09,620.40M,,620.40M,2.064B,,2.064B,,731.40M,,,,539.30M,3.956B,33.90B,845.90M,34.75B,-11.73B,23.02B,,,1.886B,,,2.323B,4.196B,31.43B,35.38B,,896.60M,,,896.60M,1.999B,2.895B,,,,,2.580B,,2.580B,,,,5.475B,,10.06B,,10.06B,5.345B,,764.90M,,394.80M,2.438B,,13.26B,25.40B,,3.448B,3.875B,2.265B,,,,9.589B,,,
1997-06,382.80M,,382.80M,2.009B,,2.009B,,826.90M,,,,629.30M,3.848B,33.79B,824.30M,34.61B,-11.42B,23.19B,,,1.757B,,,2.370B,3.244B,30.56B,34.41B,,861.60M,,,861.60M,1.448B,2.309B,,,,,2.443B,,2.443B,,,,4.752B,,9.630B,,9.630B,5.427B,,772.50M,,736.20M,2.484B,,12.89B,24.34B,,3.424B,3.724B,2.190B,,,,9.338B,,,
1997-03,549.90M,,549.90M,1.780B,,1.780B,,800.90M,,,,416.30M,3.547B,33.56B,748.70M,34.31B,-11.17B,23.14B,,,1.807B,,,2.430B,3.078B,30.45B,34.00B,,772.50M,,,772.50M,1.245B,2.018B,,,,,2.607B,,2.607B,,,,4.625B,,9.700B,,9.700B,5.454B,,780.00M,,730.20M,2.187B,,12.67B,24.01B,,3.406B,3.731B,2.126B,,,,9.262B,,,
1996-12,445.00M,0.00,445.00M,1.157B,,1.502B,,780.00M,87.00M,,,,2.891B,246.00M,684.00M,34.19B,-10.92B,23.27B,318.00M,,318.00M,1.183B,,2.569B,,27.34B,30.23B,,788.00M,205.00M,,993.00M,291.00M,1.284B,,828.00M,655.00M,191.00M,1.674B,,1.674B,132.00M,132.00M,708.00M,3.798B,,7.938B,,7.938B,6.34B,,6.34B,,375.00M,422.00M,1.161B,15.86B,19.66B,,4.365B,3.764B,2.067B,,980.00M,,10.20B,,AOR,Restated
1996-09,381.00M,,381.00M,1.435B,,1.435B,,796.40M,,,,423.70M,3.036B,33.04B,777.60M,33.82B,-10.74B,23.08B,,,290.30M,,,2.513B,1.008B,26.89B,29.93B,,597.20M,,,597.20M,1.368B,1.965B,,,,,1.842B,,1.842B,,,,3.807B,,7.356B,,7.356B,5.510B,,795.30M,,373.10M,1.575B,,9.727B,20.36B,,3.368B,3.836B,1.985B,,,,9.189B,,,
1996-06,619.50M,,619.50M,1.433B,,1.433B,,856.60M,,,,457.30M,3.366B,32.79B,822.00M,33.61B,-10.52B,23.09B,,,292.10M,,,2.584B,1.013B,26.97B,30.34B,,656.30M,,,656.30M,1.404B,2.061B,,,,,2.590B,,2.590B,,,,4.651B,,7.478B,,7.478B,5.495B,,804.30M,,223.30M,1.454B,,9.737B,21.18B,,3.368B,3.580B,1.987B,,,,8.936B,,,
1996-03,311.80M,,311.80M,1.245B,,1.245B,,841.70M,,,,390.10M,2.788B,32.47B,833.90M,33.30B,-10.30B,23.00B,,,303.30M,,,2.633B,988.20M,26.93B,29.72B,,131.50M,,,131.50M,1.585B,1.717B,,,,,2.389B,,2.389B,,,,4.105B,,7.545B,,7.545B,5.432B,,812.20M,,229.00M,1.529B,,9.887B,20.72B,,3.352B,3.504B,1.915B,,,,8.771B,,,
1995-12,772.00M,0.00,772.00M,1.175B,,1.522B,,879.00M,126.00M,,,,3.373B,225.00M,990.00M,33.09B,-10.07B,23.03B,344.00M,,344.00M,949.00M,,2.83B,,27.15B,30.52B,,785.00M,272.00M,,1.057B,299.00M,1.356B,,445.00M,1.225B,509.00M,2.179B,,2.179B,216.00M,216.00M,530.00M,4.281B,,8.274B,,8.274B,6.367B,,6.367B,,231.00M,100.00M,1.165B,15.91B,20.19B,,4.68B,3.483B,1.941B,,1.332B,,10.10B,,,Restated
1995-09,331.50M,,331.50M,1.634B,,1.634B,,822.60M,,,,315.10M,3.103B,31.91B,989.60M,32.90B,-10.15B,22.75B,,,,,,2.746B,1.721B,27.22B,30.32B,,638.60M,,,638.60M,1.740B,2.378B,,,,,1.400B,,1.400B,,,,3.778B,,8.484B,,8.484B,5.410B,,827.30M,,,1.432B,,10.74B,21.62B,,3.329B,3.524B,1.848B,,,1.00M,8.703B,,,
1995-06,115.70M,,115.70M,1.206B,,1.206B,,901.50M,,,,302.40M,2.526B,30.02B,928.50M,30.94B,-9.948B,21.00B,,,,,,2.659B,841.10M,24.50B,27.02B,,481.90M,,,481.90M,1.414B,1.896B,,,,,1.145B,,1.145B,,,,3.041B,,7.035B,,7.035B,4.826B,,835.10M,,,1.432B,,9.302B,18.58B,,3.329B,3.258B,1.850B,,,1.00M,8.439B,,,
1995-03,112.60M,,112.60M,903.10M,,903.10M,,940.30M,,,,305.60M,2.262B,29.54B,1.370B,30.91B,-9.757B,21.16B,,,,,,2.723B,823.90M,24.70B,26.96B,,576.90M,,,576.90M,1.177B,1.754B,,,,,1.086B,,1.086B,,,,2.839B,,7.243B,,7.243B,4.852B,,849.40M,,,1.432B,,9.524B,18.60B,,3.327B,3.194B,1.846B,,,1.00M,8.368B,,,
1994-12,139.00M,0.00,139.00M,840.00M,,1.058B,,907.00M,194.00M,,,,2.368B,238.00M,1.247B,30.69B,-9.577B,21.12B,12.00M,,12.00M,795.00M,,2.75B,,24.67B,27.04B,,806.00M,153.00M,,959.00M,277.00M,1.236B,,575.00M,403.00M,228.00M,1.206B,,1.206B,102.00M,102.00M,234.00M,2.778B,,7.593B,,7.593B,5.852B,,5.852B,,267.00M,100.00M,934.00M,14.48B,17.26B,,4.615B,3.191B,1.712B,,1.332B,,9.518B,,,Restated
1994-09,117.10M,,117.10M,1.179B,,1.179B,,837.40M,,,,387.10M,2.520B,28.47B,1.061B,29.53B,-9.360B,20.17B,,,,,,2.795B,779.70M,23.75B,26.27B,,628.50M,,,628.50M,900.30M,1.529B,,,,,1.125B,,1.125B,,,,2.653B,,7.146B,,7.146B,4.897B,,870.30M,,,1.332B,,9.348B,18.14B,,3.265B,3.208B,1.657B,,,1.00M,8.130B,,,
1994-06,204.60M,,204.60M,1.132B,,1.132B,,862.20M,,,,447.70M,2.646B,28.33B,1.015B,29.34B,-9.240B,20.10B,,,,,,2.804B,747.90M,23.66B,26.30B,,636.70M,,,636.70M,800.10M,1.437B,,,,,1.205B,,1.205B,,,,2.642B,,7.547B,,7.547B,4.871B,,878.70M,,,1.333B,,9.758B,18.48B,,3.242B,2.984B,1.595B,,,1.00M,7.822B,,,
1994-03,213.40M,,213.40M,967.30M,,967.30M,,803.70M,,,,236.50M,2.221B,28.03B,1.142B,29.18B,-9.101B,20.08B,,,,,,2.843B,733.70M,23.65B,25.87B,,563.70M,,,563.70M,739.90M,1.304B,,,,,860.30M,,860.30M,,,,2.164B,,7.657B,,7.657B,4.872B,,891.70M,,,1.333B,,9.881B,18.12B,,3.242B,2.918B,1.595B,,,1.00M,7.756B,,,
1993-09,176.30M,,176.30M,1.293B,,1.293B,,813.00M,,,,298.50M,2.580B,27.64B,977.80M,28.62B,-8.836B,19.78B,,,,,,2.822B,658.50M,23.26B,25.84B,,606.90M,,,606.90M,1.018B,1.625B,,,,,986.90M,,986.90M,,,,2.612B,,7.385B,,7.385B,4.815B,,914.30M,,,1.304B,,9.603B,18.16B,,1.600B,3.032B,3.055B,,,1.50M,7.689B,,,
1993-06,246.60M,,246.60M,1.044B,,1.044B,,999.40M,,,,559.00M,2.849B,27.45B,883.00M,28.34B,-8.664B,19.67B,,,,,,2.650B,173.30M,22.49B,25.34B,,580.20M,,,580.20M,855.80M,1.436B,,,,,1.579B,,1.579B,,,,3.015B,,7.154B,,7.154B,4.657B,,922.80M,,,1.304B,,9.381B,17.94B,,1.596B,2.780B,3.025B,,,1.40M,7.402B,,,
