,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-09,1.109B,,1.109B,1.432B,374.00M,2.275B,,1.737B,248.00M,,258.00M,643.00M,6.27B,2.11B,9.562B,83.67B,-24.19B,59.48B,,,,1.473B,444.00M,2.811B,,68.94B,75.22B,,1.419B,970.00M,,2.389B,223.00M,2.612B,,1.49B,,3.313B,4.803B,,4.803B,400.00M,400.00M,1.189B,9.689B,2.952B,22.33B,,22.33B,13.18B,,13.78B,2.408B,650.00M,41.00M,1.579B,43.48B,53.17B,,5.285B,10.23B,6.15B,141.00M,727.00M,-136.00M,21.39B,,AOR,Restated
2015-06,813.00M,,813.00M,1.312B,382.00M,2.256B,,1.838B,564.00M,,499.00M,635.00M,6.605B,1.872B,8.487B,81.91B,-23.92B,57.99B,,,,1.572B,444.00M,2.807B,,67.58B,74.18B,,1.395B,403.00M,,1.798B,241.00M,2.039B,,1.057B,,3.643B,4.70B,,4.70B,398.00M,398.00M,1.03B,8.694B,2.86B,22.67B,,22.67B,13.66B,,14.66B,2.375B,355.00M,41.00M,1.206B,44.22B,52.92B,,5.282B,9.767B,6.123B,142.00M,727.00M,-121.00M,20.91B,,AOR,Restated
2015-03,1.112B,,1.112B,1.117B,400.00M,1.872B,,1.905B,299.00M,,578.00M,606.00M,6.372B,1.867B,8.314B,80.74B,-24.31B,56.43B,,,,1.574B,,2.774B,,65.24B,71.61B,,1.289B,446.00M,,1.735B,286.00M,2.021B,,1.679B,,3.306B,4.985B,,4.985B,395.00M,395.00M,1.376B,9.185B,2.151B,21.09B,,21.09B,13.09B,,13.71B,2.416B,221.00M,40.00M,1.209B,41.06B,50.24B,,5.686B,9.639B,6.108B,142.00M,1.131B,-143.00M,21.15B,,AOR,Restated
2014-12,710.00M,,710.00M,1.09B,443.00M,1.947B,,1.969B,665.00M,,,573.00M,5.864B,1.857B,7.792B,79.87B,-24.06B,55.81B,,,,1.546B,,2.675B,,64.37B,70.23B,,1.593B,636.00M,,2.229B,295.00M,2.524B,32.00M,803.00M,,3.298B,4.101B,31.00M,4.132B,390.00M,390.00M,1.084B,8.961B,2.168B,20.64B,,20.64B,12.48B,,13.07B,2.432B,221.00M,39.00M,1.219B,39.97B,48.93B,,5.67B,9.609B,5.955B,26.00M,1.131B,-128.00M,21.08B,,AOR,Restated
2014-09,1.414B,,1.414B,1.439B,363.00M,2.258B,,1.835B,387.00M,,,364.00M,6.258B,1.765B,7.41B,77.94B,-23.85B,54.09B,,,,1.51B,,2.732B,,61.40B,67.65B,,1.381B,796.00M,,2.177B,270.00M,2.447B,,361.00M,,2.398B,2.759B,,2.759B,386.00M,386.00M,662.00M,6.89B,2.133B,21.70B,,21.70B,12.01B,,12.56B,1.474B,,,1.341B,39.78B,46.67B,,5.631B,9.80B,5.652B,25.00M,1.131B,-70.00M,20.99B,,AOR,Restated
2014-06,583.00M,,583.00M,1.237B,367.00M,2.119B,,1.901B,422.00M,,,351.00M,5.376B,1.773B,7.927B,77.16B,-23.49B,53.67B,,,,1.531B,,2.751B,,61.02B,66.40B,,1.32B,449.00M,,1.769B,268.00M,2.037B,,1.817B,,585.00M,2.402B,,2.402B,386.00M,386.00M,654.00M,5.974B,2.026B,22.12B,,22.12B,11.85B,,12.42B,1.428B,,,1.332B,39.87B,45.84B,,5.611B,9.553B,5.499B,35.00M,1.131B,-71.00M,20.56B,,AOR,Restated
2014-03,590.00M,,590.00M,1.063B,378.00M,1.806B,,1.861B,525.00M,,,358.00M,5.14B,1.768B,7.425B,75.80B,-23.33B,52.47B,,,,1.513B,,2.641B,,59.70B,64.84B,,1.386B,357.00M,,1.743B,253.00M,1.996B,,598.00M,,768.00M,1.366B,,1.366B,384.00M,384.00M,699.00M,4.835B,2.004B,22.29B,,22.29B,11.72B,,12.28B,1.446B,,,1.298B,39.80B,44.64B,,5.598B,9.41B,5.405B,139.00M,1.131B,-73.00M,20.20B,,AOR,Restated
2013-12,659.00M,,659.00M,1.027B,362.00M,1.819B,,2.298B,278.00M,,143.00M,417.00M,5.614B,1.738B,7.151B,75.15B,-23.06B,52.09B,,,,1.465B,,2.462B,,58.93B,64.55B,,1.376B,469.00M,,1.845B,251.00M,2.096B,,1.482B,,440.00M,1.922B,29.00M,1.951B,380.00M,380.00M,578.00M,5.525B,2.006B,21.34B,,21.34B,11.73B,,12.32B,1.461B,0.00,0.00,1.275B,38.88B,44.41B,,5.592B,9.51B,5.362B,250.00M,1.131B,-75.00M,20.14B,,AOR,Restated
2013-09,682.00M,,682.00M,1.292B,314.00M,2.06B,,2.308B,418.00M,0.00,,317.00M,5.785B,1.71B,7.144B,73.90B,-22.82B,51.08B,,,,1.397B,,2.425B,,58.91B,64.70B,,1.281B,599.00M,,1.88B,262.00M,2.142B,,750.00M,,1.307B,2.057B,,2.057B,377.00M,377.00M,668.00M,5.704B,1.967B,21.05B,,21.05B,11.31B,,11.86B,2.548B,,,1.278B,39.08B,44.79B,,5.578B,9.543B,5.262B,363.00M,1.131B,-111.00M,19.91B,,AOR,Restated
2013-06,424.00M,,424.00M,1.164B,296.00M,1.966B,,2.573B,700.00M,7.00M,,331.00M,6.001B,1.718B,6.593B,72.72B,-22.53B,50.19B,,,,1.352B,,2.378B,,57.96B,63.96B,,1.467B,442.00M,,1.909B,251.00M,2.16B,,1.587B,,2.085B,3.672B,,3.672B,378.00M,378.00M,736.00M,7.346B,1.84B,19.94B,,19.94B,11.09B,,11.59B,2.504B,,,1.243B,37.44B,44.79B,,5.548B,9.135B,5.053B,451.00M,1.131B,-114.00M,19.17B,,AOR,Restated
