,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2013-06,313.00M,,450.00M,,,450.00M,572.00M,572.00M,-49.00M,,11.00M,22.00M,-354.00M,149.00M,,99.00M,17.00M,-45.00M,25.00M,-109.00M,,1.21B,,-1.40B,,-1.40B,,-1.00M,51.00M,-1.35B,,26.00M,299.00M,325.00M,119.00M,0.00,119.00M,50.00M,,50.00M,-444.00M,-16.00M,-460.00M,15.00M,49.00M,,515.00M,-91.00M,424.00M,,169.00M,461.00M,-136.00M,0.00,138.00M,197.00M,,AOR,Restated
2013-03,97.00M,,540.00M,,,540.00M,568.00M,568.00M,-92.00M,,26.00M,-60.00M,29.00M,88.00M,,-145.00M,-72.00M,40.00M,-282.00M,-342.00M,,737.00M,,-1.197B,,-1.197B,,-1.00M,-81.00M,-1.279B,,379.00M,468.00M,847.00M,42.00M,-18.00M,24.00M,,,,-426.00M,-16.00M,-442.00M,,429.00M,,628.00M,-113.00M,515.00M,,42.00M,1.503B,-656.00M,-18.00M,4.00M,187.00M,,AOR,Restated
2012-12,399.00M,,0.00,16.00M,-476.00M,-460.00M,543.00M,543.00M,579.00M,,10.00M,-24.00M,391.00M,-289.00M,,-231.00M,-59.00M,111.00M,-116.00M,-193.00M,,854.00M,,-1.251B,,-1.251B,,-1.00M,-158.00M,-1.41B,,219.00M,491.00M,710.00M,16.00M,-345.00M,-329.00M,0.00,,0.00,-426.00M,-16.00M,-442.00M,-11.00M,-72.00M,,1.256B,-628.00M,628.00M,,16.00M,1.29B,-580.00M,-345.00M,-6.00M,-589.00M,,AOR,Restated
2012-09,993.00M,,0.00,-5.00M,65.00M,60.00M,538.00M,538.00M,302.00M,,10.00M,17.00M,-102.00M,62.00M,,193.00M,58.00M,-3.00M,159.00M,367.00M,,2.287B,,-1.202B,,-1.202B,,0.00,235.00M,-967.00M,,-152.00M,-115.00M,-267.00M,65.00M,-85.00M,-20.00M,0.00,,0.00,-430.00M,-17.00M,-447.00M,11.00M,-723.00M,,659.00M,597.00M,1.256B,,65.00M,627.00M,-894.00M,-85.00M,40.00M,198.00M,,AOR,Restated
2012-06,639.00M,,0.00,-5.00M,-3.00M,-8.00M,535.00M,535.00M,239.00M,,10.00M,-62.00M,-427.00M,-108.00M,,181.00M,28.00M,-72.00M,234.00M,-164.00M,,1.189B,,-1.125B,,-1.125B,,0.00,-239.00M,-1.364B,,595.00M,-580.00M,15.00M,200.00M,0.00,200.00M,0.00,,0.00,-427.00M,-16.00M,-443.00M,18.00M,-210.00M,,1.044B,-385.00M,659.00M,,200.00M,913.00M,-898.00M,0.00,-34.00M,213.00M,,AOR,Restated
2012-03,384.00M,,0.00,-6.00M,16.00M,10.00M,529.00M,529.00M,104.00M,,25.00M,-23.00M,372.00M,-214.00M,,-303.00M,-64.00M,53.00M,-305.00M,-461.00M,,568.00M,,-1.231B,,-1.231B,,-2.00M,-194.00M,-1.427B,,573.00M,174.00M,747.00M,116.00M,0.00,116.00M,,,,-410.00M,-16.00M,-426.00M,151.00M,588.00M,,1.315B,-271.00M,1.044B,,116.00M,1.574B,-827.00M,0.00,,178.00M,,AOR,Restated
2011-12,277.00M,,,,-44.00M,-44.00M,518.00M,518.00M,326.00M,,7.00M,-121.00M,480.00M,-351.00M,,136.00M,28.00M,28.00M,21.00M,342.00M,,1.305B,,-1.41B,-21.00M,-1.431B,,-1.00M,147.00M,-1.285B,,552.00M,-438.00M,114.00M,103.00M,0.00,103.00M,,,,-408.00M,-16.00M,-424.00M,-14.00M,-221.00M,,1.516B,-201.00M,1.315B,,103.00M,575.00M,-461.00M,0.00,,,,AOR,Restated
2011-09,933.00M,,,,37.00M,37.00M,519.00M,519.00M,487.00M,,8.00M,-25.00M,38.00M,148.00M,,24.00M,61.00M,-13.00M,-8.00M,250.00M,,2.209B,,-989.00M,4.00M,-985.00M,,0.00,151.00M,-834.00M,,-9.00M,0.00,-9.00M,138.00M,0.00,138.00M,,,,-406.00M,-17.00M,-423.00M,-2.00M,-296.00M,,437.00M,1.079B,1.516B,,138.00M,1.194B,-1.203B,0.00,-355.00M,-419.00M,,AOR,Restated
2011-06,620.00M,,,,-27.00M,-27.00M,510.00M,510.00M,253.00M,,6.00M,-26.00M,-432.00M,123.00M,,419.00M,-29.00M,-20.00M,-6.00M,55.00M,,1.391B,,-1.04B,3.00M,-1.037B,,0.00,-143.00M,-1.18B,,-107.00M,54.00M,-53.00M,289.00M,,289.00M,,,,-402.00M,-16.00M,-418.00M,-2.00M,-184.00M,,410.00M,27.00M,437.00M,,289.00M,1.013B,-1.066B,,355.00M,419.00M,,AOR,Restated
2011-03,438.00M,,,,-11.00M,-11.00M,501.00M,501.00M,174.00M,,21.00M,-51.00M,276.00M,-42.00M,,-254.00M,-77.00M,23.00M,,-74.00M,,998.00M,,-1.086B,14.00M,-1.072B,,-4.00M,192.00M,-884.00M,,113.00M,-54.00M,59.00M,193.00M,,193.00M,,,,-385.00M,-16.00M,-401.00M,-2.00M,-151.00M,,447.00M,-37.00M,410.00M,,193.00M,937.00M,-878.00M,,,,,AOR,Restated
