,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-09,160.84M,,,-32.24M,2.773M,-28.74M,88.30M,88.30M,40.31M,,5.848M,-0.177M,98.62M,7.829M,-62.05M,,-8.822M,29.14M,64.71M,,361.16M,,-300.87M,,,5.682M,,2.48M,-286.41M,,490.69M,-583.21M,-92.52M,104.10M,,104.10M,-128.08M,-128.08M,-145.64M,-262.14M,,226.19M,-187.82M,,38.37M,,-0.434M,104.10M,492.61M,-1.92M,,,,,AOR,Restated
2015-06,150.88M,,,-30.04M,3.062M,-27.10M,86.99M,86.99M,47.59M,,2.241M,-0.742M,-75.18M,68.55M,1.103M,,-9.617M,17.44M,2.296M,,294.65M,,-285.60M,,,-33.22M,,-12.03M,-322.00M,,-1.927M,45.01M,43.08M,228.21M,,228.21M,-126.36M,-126.36M,-131.03M,13.90M,,239.41M,-13.22M,,226.19M,,0.229M,228.21M,0.00,-1.927M,,,,,AOR,Restated
2015-03,95.69M,,,-30.92M,4.31M,-26.60M,85.96M,85.96M,36.71M,,5.643M,-0.799M,134.30M,-84.56M,-127.02M,,-12.77M,-96.76M,-186.80M,,39.27M,,-343.85M,,,0.00,,0.118M,-333.78M,,796.95M,-229.82M,567.13M,57.18M,,57.18M,-126.05M,-126.05M,-137.31M,360.95M,,172.81M,66.60M,,239.41M,,0.153M,57.18M,798.90M,-1.948M,,,,,AOR,Restated
2014-12,201.56M,-1.739M,,-110.67M,3.811M,-113.66M,80.56M,80.56M,60.68M,,2.867M,-0.99M,224.96M,204.21M,-304.77M,,-13.13M,-37.24M,74.03M,,415.07M,,-574.76M,,,-800.93M,,5.429M,-1.374B,,562.55M,,1.053B,171.91M,,171.91M,-122.77M,-122.77M,-122.30M,980.23M,,151.40M,21.41M,,172.81M,,0.198M,171.91M,0.00,562.55M,,,,,AOR,Restated
2014-09,114.28M,0.00,,52.35M,1.553M,52.37M,74.59M,74.59M,38.85M,,6.071M,-1.723M,139.05M,-3.229M,-114.15M,,-12.90M,17.92M,26.70M,,334.23M,,-382.18M,,,0.00,,2.069M,-371.64M,,-1.913M,,-1.913M,72.45M,,72.45M,-121.37M,-121.37M,-118.82M,-169.65M,,358.56M,-207.16M,,151.40M,,-0.102M,72.45M,0.00,-1.913M,,,,,AOR,Restated
2014-06,140.75M,0.00,,-25.44M,4.227M,-21.19M,72.13M,72.13M,40.89M,,12.84M,-1.253M,-95.28M,-103.97M,-31.24M,,-13.55M,14.94M,-229.09M,,45.92M,,-392.68M,,,-0.436M,,0.226M,-381.16M,,-126.92M,,-126.92M,832.07M,,832.07M,-116.41M,-116.41M,-104.69M,484.05M,,210.23M,148.33M,,358.56M,,-0.483M,832.07M,0.00,-126.92M,,,,,AOR,Restated
2014-03,206.51M,1.739M,,-33.66M,8.502M,-23.43M,78.77M,78.77M,16.30M,,4.45M,-10.97M,112.78M,63.84M,27.82M,,-12.18M,-3.853M,188.41M,,490.38M,,-429.52M,,,-14.63M,,0.093M,-439.33M,,208.60M,,208.60M,55.86M,,55.86M,-83.28M,-83.28M,-171.32M,9.865M,,145.56M,64.66M,,210.23M,,3.748M,55.86M,1.200B,-991.40M,,,,,AOR,Restated
2013-12,184.06M,7.806M,,-30.77M,48.96M,14.46M,108.03M,108.03M,43.94M,,18.56M,-10.96M,-372.19M,247.14M,53.43M,,-11.61M,-28.98M,-112.22M,,273.22M,,-658.76M,,,-120.75M,,11.93M,-761.34M,,252.78M,,0.067M,26.75M,,26.75M,-78.39M,-78.39M,-90.51M,-142.09M,,776.84M,-628.72M,,145.56M,,1.49M,26.75M,0.00,252.78M,,,,,AOR,Restated
2013-09,147.70M,16.97M,,-27.47M,2.451M,-8.066M,94.27M,94.27M,39.11M,,8.616M,-6.818M,-8.256M,-229.22M,193.42M,,-6.143M,-18.82M,-69.02M,,233.26M,,-537.49M,,,-304.89M,,-1.648M,-837.09M,,974.24M,,974.24M,555.84M,,555.84M,-78.37M,-78.37M,-102.04M,1.350B,,29.89M,746.95M,,776.84M,,1.111M,555.84M,1.231B,-256.76M,,,,,AOR,Restated
2013-06,79.50M,113.78M,,-26.42M,-13.19M,73.89M,91.86M,91.86M,0.361M,,2.262M,-7.087M,99.68M,-132.52M,23.60M,,0.00,57.20M,47.96M,,316.78M,,-559.27M,,,-1.522M,,0.737M,-548.79M,,280.84M,,280.84M,6.294M,,6.294M,-74.20M,-74.20M,-91.19M,121.74M,,137.54M,-107.65M,,29.89M,,2.619M,6.294M,16.83M,264.01M,,,,,AOR,Restated
2013-03,165.70M,0.00,,-25.86M,18.38M,-7.515M,90.22M,90.22M,68.11M,,16.76M,-11.31M,90.95M,214.54M,-89.40M,,0.00,-90.05M,126.04M,,471.50M,,-501.06M,,,-3.036M,,2.596M,-494.81M,,-267.90M,,-267.90M,15.65M,,15.65M,-73.78M,-73.78M,-90.34M,-416.36M,,579.58M,-442.04M,,137.54M,,-2.372M,15.65M,0.00,-267.90M,,,,,AOR,Restated
2012-12,195.88M,0.00,-29.86M,-30.64M,,-123.71M,86.42M,86.42M,58.74M,0.00,0.722M,22.23M,-365.12M,127.70M,125.50M,,,65.34M,-46.58M,,221.14M,,-627.24M,,,-9.484M,,11.57M,-615.62M,,138.21M,,138.21M,8.808M,0.00,8.808M,-67.53M,-67.53M,-80.22M,-0.728M,,978.82M,-392.53M,,577.02M,,2.673M,8.808M,0.00,138.21M,0.00,,,,AOR,Restated
2012-09,164.99M,0.00,29.86M,-28.59M,,1.69M,81.43M,81.43M,59.48M,0.00,19.04M,-33.62M,-190.70M,-82.92M,247.52M,,,-180.17M,-206.27M,,110.25M,,-458.21M,,,-14.05M,,0.136M,-460.13M,,1.373B,,1.373B,2.477M,0.00,2.477M,-67.67M,-67.67M,-93.79M,1.214B,,114.92M,863.90M,,978.82M,,0.00,2.477M,1.295B,77.74M,0.00,,,,AOR,Restated
2012-06,148.94M,0.00,,-29.17M,,-30.14M,84.59M,84.59M,59.76M,0.00,11.92M,-1.797M,360.64M,-262.67M,-227.33M,,,50.00M,-79.36M,,226.52M,,-432.26M,,,-4.66M,,2.225M,-424.05M,,-176.92M,,-176.92M,2.308M,-150.00M,-147.69M,-63.40M,-63.40M,-80.74M,-468.74M,,781.19M,-666.27M,,114.92M,,0.00,2.308M,0.00,-176.92M,-150.00M,,,,AOR,Restated
2012-03,220.21M,,,-34.62M,,-34.68M,83.42M,83.42M,51.41M,10.26M,5.008M,27.53M,180.41M,251.23M,-176.67M,,,-228.91M,26.05M,,426.08M,,-348.44M,,,-2.577M,,0.545M,-314.40M,,274.35M,,274.35M,461.96M,,461.96M,-63.38M,-63.38M,-78.24M,594.69M,,65.95M,715.24M,,781.19M,,8.859M,461.96M,699.66M,-425.31M,,,,,AOR,Restated
2011-12,264.75M,,,-120.73M,,-150.42M,78.09M,78.09M,55.73M,0.00,27.07M,-0.921M,-250.49M,38.87M,103.02M,63.16M,,-35.05M,-80.49M,,326.55M,,-473.76M,-0.951M,-0.951M,,35.53M,,-474.74M,,281.97M,-93.14M,188.82M,10.76M,0.00,10.76M,,-57.68M,-67.31M,74.60M,,149.61M,-83.66M,,65.95M,,-10.06M,10.76M,285.13M,-96.30M,0.00,,,,AOR,Restated
2011-09,160.88M,,,-0.18M,,-0.111M,75.99M,75.99M,92.46M,0.00,9.682M,-1.006M,-14.48M,-107.78M,19.80M,-50.71M,,-30.69M,-183.87M,,154.02M,,-338.54M,0.163M,0.163M,,-49.62M,,-388.00M,,-93.09M,123.37M,30.28M,2.222M,-0.003M,2.219M,,-57.98M,-69.70M,-95.19M,,472.18M,-322.57M,,149.61M,,6.599M,2.222M,0.00,30.28M,-0.003M,,,,AOR,Restated
2011-06,134.77M,,,-1.849M,,-1.637M,78.82M,78.82M,56.46M,0.00,21.71M,-1.08M,155.70M,-166.50M,57.64M,5.64M,,-113.71M,-61.23M,,227.82M,,-329.09M,0.248M,0.248M,,9.441M,,-319.40M,,-403.18M,526.63M,123.45M,-0.104M,-300.10M,-300.21M,,-55.70M,-68.47M,-300.93M,,876.57M,-404.39M,,472.18M,,-11.88M,-0.104M,0.00,123.45M,-300.10M,,,,AOR,Restated
2011-03,199.35M,,,-4.485M,,-3.975M,79.39M,79.39M,52.04M,0.00,7.902M,-0.799M,53.41M,301.26M,-77.84M,-18.09M,,55.14M,313.87M,,647.78M,,-194.68M,0.54M,0.54M,,4.654M,,-189.48M,,1.067B,-556.86M,510.46M,5.024M,,5.024M,,-55.65M,-79.08M,380.76M,,30.34M,846.23M,,876.57M,,7.179M,5.024M,1.295B,-784.99M,,,,,AOR,Restated
2010-12,147.94M,,,-101.88M,,-105.43M,76.72M,76.72M,47.31M,,8.423M,1.323M,-474.67M,-5.849M,319.40M,,,-38.10M,-199.22M,,74.01M,,-226.46M,-424.74M,-424.74M,,,420.88M,-213.80M,,-328.08M,555.48M,227.40M,11.56M,-0.002M,11.55M,,-51.12M,-67.50M,120.34M,,50.48M,-21.66M,,30.34M,,,11.56M,0.00,-328.08M,-0.002M,,,,AOR,Restated
2010-09,120.30M,,,2.758M,,-13.37M,77.23M,77.23M,52.20M,,5.744M,-1.122M,35.60M,-160.49M,44.23M,74.28M,,-65.71M,-72.09M,,168.90M,,-176.58M,424.74M,424.74M,,-9.448M,10.63M,249.33M,,-3.105M,-353.62M,-356.72M,1.47M,0.00,1.47M,,-48.95M,-66.80M,-471.00M,,103.25M,-52.77M,,50.48M,,,1.47M,0.00,198.76M,0.00,,,,AOR,Restated
2010-06,273.09M,,,-3.64M,,-3.368M,75.51M,75.51M,23.25M,,5.639M,-183.32M,295.62M,-175.69M,-138.53M,-15.38M,,-124.43M,-158.40M,,32.41M,,-111.43M,,,,7.917M,0.005M,-103.51M,,-253.21M,370.00M,116.79M,3.204M,0.00,3.204M,,-46.77M,-66.31M,6.917M,,167.43M,-64.18M,,103.25M,,,3.204M,0.00,116.79M,0.00,,,,AOR,Restated
2010-03,,,,0.882M,,1.668M,77.86M,77.86M,19.54M,,4.566M,186.25M,235.92M,177.30M,-268.99M,-58.90M,,183.50M,268.83M,,558.72M,,-68.27M,,,,1.531M,0.366M,-66.38M,,-3.333M,-571.87M,-575.20M,327.38M,-0.005M,327.38M,,-46.70M,-59.78M,-354.31M,,29.40M,138.03M,,167.43M,,,327.38M,0.00,-575.20M,-0.005M,,,,AOR,Restated
2009-12,144.00M,,55.46M,2.655M,,56.56M,73.30M,73.30M,126.51M,,7.915M,-57.49M,-714.38M,74.28M,501.41M,,,-30.35M,-169.04M,,181.76M,,-176.49M,-10.51M,-10.51M,,34.43M,32.79M,-166.24M,,-3.469M,57.87M,54.40M,10.58M,-0.002M,10.58M,,-44.31M,-58.97M,-38.30M,,52.18M,-22.78M,,29.40M,,,10.58M,-518.13M,572.53M,-0.002M,,,,AOR,Restated
2009-09,102.31M,,-55.46M,-2.823M,,-57.11M,72.32M,72.32M,31.33M,,6.682M,51.07M,40.51M,-92.87M,-23.01M,,,63.85M,-11.52M,,195.08M,,-207.16M,10.51M,10.51M,,-17.39M,-27.34M,-241.38M,,0.464M,134.09M,134.55M,23.58M,-0.002M,23.58M,,-44.26M,-62.43M,51.44M,,47.04M,5.142M,,52.18M,,,23.58M,0.00,134.55M,-0.002M,,,,AOR,Restated
2009-06,81.35M,,,-1.142M,,-4.904M,71.25M,71.25M,17.24M,,4.378M,-9.413M,240.46M,-119.14M,-51.74M,51.32M,,4.195M,125.09M,,284.99M,,-164.57M,,,,14.03M,8.946M,-141.60M,,-3.933M,-296.79M,-300.72M,222.29M,-0.003M,222.29M,,-42.12M,-52.56M,-173.11M,,76.75M,-29.72M,,47.04M,,,222.29M,0.00,-300.72M,-0.003M,,,,AOR,Restated
2009-03,163.55M,,,3.965M,,3.301M,72.13M,72.13M,23.62M,,4.173M,-9.825M,251.98M,404.42M,-272.63M,-51.32M,,201.46M,533.91M,,790.86M,,-243.03M,,,,3.362M,1.083M,-238.58M,,390.29M,-1.283B,-893.01M,2.509M,-0.247M,2.262M,,-42.08M,-52.75M,-985.58M,,510.06M,-433.30M,,76.75M,,,2.509M,498.32M,-1.391B,-0.247M,,,,AOR,Restated
2008-12,356.73M,,,,,-265.38M,,64.50M,92.31M,,,-12.29M,-200.50M,111.70M,-113.81M,-34.24M,,-32.52M,-269.38M,,-2.721M,,-440.07M,-1.774M,1.031B,,13.76M,-12.68M,-438.32M,,,,943.96M,9.246M,0.00,9.246M,,-41.80M,-33.26M,878.15M,,72.94M,437.11M,,510.06M,,,9.246M,,,0.00,,,,,Restated
2008-09,58.03M,,,,,109.19M,,60.25M,7.51M,,,-16.69M,440.22M,-397.28M,-472.30M,-3.137M,296.74M,-138.95M,-274.70M,,-56.41M,,-393.02M,1.573M,-391.44M,,,-3.417M,-394.86M,,,,517.29M,1.463M,0.00,1.463M,,-41.77M,-51.51M,425.47M,,98.74M,-25.80M,,72.94M,,,1.463M,,,0.00,,,,,
2008-06,41.86M,,,,,69.36M,,59.70M,36.01M,,,-0.312M,201.21M,-573.30M,141.74M,,-296.74M,-15.24M,-542.33M,,-335.71M,,-300.52M,0.04M,-300.48M,,-3.311M,16.27M,-287.52M,,,,532.61M,10.85M,-0.014M,10.84M,,-39.68M,-50.54M,453.23M,,268.74M,-170.00M,,98.74M,,,10.85M,,,-0.014M,,,,,
2008-03,143.84M,,,,,65.20M,,59.48M,29.36M,,,1.521M,-7.065M,488.21M,119.80M,,,-29.83M,571.11M,,870.52M,,-339.53M,0.161M,-339.37M,,3.311M,2.45M,-333.61M,,,,-342.50M,141.90M,-0.015M,141.89M,,-39.54M,-47.12M,-287.27M,,19.10M,249.64M,,268.74M,,,141.90M,,,-0.015M,,,,,
2007-12,102.92M,,,,,59.88M,,59.51M,3.098M,,,-1.08M,-791.35M,137.97M,405.50M,-19.31M,,131.07M,-136.12M,,88.20M,,-364.81M,0.023M,-364.78M,,0.00,1.878M,-662.47M,,,,-165.58M,9.388M,-0.02M,9.368M,,-37.35M,-46.81M,-240.38M,,833.74M,-814.64M,,19.10M,,,9.388M,,,-0.02M,23.13M,94.22M,,,
2007-09,13.91M,,,,,42.86M,,56.36M,27.19M,,,-5.824M,101.25M,-184.75M,-62.99M,19.31M,,-29.25M,-156.43M,,-21.93M,,-241.88M,0.236M,-241.65M,,33.69M,-5.546M,-213.50M,,,,851.63M,2.923M,-0.041M,2.882M,,-37.40M,-51.22M,765.89M,,303.29M,530.46M,,833.74M,,,2.923M,,,-0.041M,31.79M,29.32M,,,
2007-06,35.20M,,,,,56.92M,,55.64M,15.23M,,,13.40M,251.15M,-289.64M,-31.81M,,,-16.92M,-87.23M,,89.17M,,-169.98M,0.056M,-169.92M,,504.48M,,334.56M,,,,101.63M,5.739M,-370.06M,-364.32M,,-37.75M,-45.51M,-345.96M,,225.51M,77.78M,,303.29M,,,5.739M,,,-370.06M,2.36M,108.87M,,,
2007-03,152.88M,,,,,45.51M,,56.45M,19.50M,,,10.19M,60.07M,425.28M,42.41M,,,61.93M,589.69M,,874.22M,,-107.04M,3.707M,-103.33M,,-507.05M,,-610.37M,,,,-6.52M,2.68M,-20.09M,-17.41M,,-37.69M,-44.98M,-106.60M,,68.27M,157.24M,,225.51M,,,2.68M,,,-20.09M,,21.27M,,,
