,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2016-12,620.12M,620.12M,171.77M,448.34M,56.43M,56.43M,,,136.29M,,54.69M,1.05M,-69.10M,1.965M,284.13M,164.21M,1.05M,54.69M,-69.10M,389.98M,-69.10M,484.67M,17.97M,466.70M,,1.658M,442.20M,125.11M,765.09M,225.74M,2016-12,1.68,,,,,2016-12,1.66,,0.5090,1.66,,2016-12,264.01M,275.49M,0.42,,2016-12,AOR,Restated
2016-09,704.56M,704.56M,185.14M,519.43M,58.16M,58.16M,,,1.492M,,75.31M,2.932M,-72.38M,3.779M,286.80M,232.62M,2.932M,75.31M,-72.38M,162.92M,-72.38M,323.16M,15.92M,307.24M,,1.671M,280.93M,169.63M,623.34M,224.87M,2016-09,1.06,,,,,2016-09,1.04,,0.6332,1.04,,2016-09,263.64M,273.60M,0.42,,2016-09,AOR,Restated
2016-06,602.16M,602.16M,168.59M,433.56M,56.93M,56.93M,,,2.044M,,76.46M,1.527M,-74.93M,3.90M,291.22M,142.35M,1.527M,76.46M,-74.93M,233.51M,-74.93M,300.93M,5.142M,295.79M,,1.696M,277.08M,88.30M,607.77M,230.38M,2016-06,1.04,,,,,2016-06,1.04,,0.3477,1.04,,2016-06,262.42M,272.69M,0.42,,2016-06,AOR,Restated
2016-03,606.30M,606.30M,171.87M,434.43M,50.54M,50.54M,,,-1.052M,,81.00M,2.591M,-78.41M,4.685M,305.23M,129.20M,2.591M,81.00M,-78.41M,187.36M,-78.41M,238.34M,15.54M,222.80M,,1.689M,209.73M,89.09M,569.34M,250.00M,2016-03,0.80,,,,,2016-03,0.78,,0.3361,0.78,,2016-03,262.10M,271.78M,0.42,,2016-03,AOR,Restated
2015-12,643.20M,643.20M,182.74M,460.46M,59.77M,59.77M,,,-69.78M,,78.95M,6.351M,-76.01M,22.23M,354.91M,105.55M,6.351M,78.95M,-76.01M,99.54M,-76.01M,128.78M,2.02M,126.76M,,1.632M,120.00M,74.07M,480.63M,272.91M,2015-12,0.46,,,,,2015-12,0.46,,0.2906,0.46,,2015-12,261.90M,271.21M,0.40,,2015-12,AOR,Restated
2015-09,580.62M,580.62M,166.82M,413.81M,54.18M,54.18M,,,0.00,,81.04M,6.237M,-74.80M,8.765M,310.41M,103.39M,6.237M,81.04M,-74.80M,292.92M,-74.80M,321.51M,14.33M,307.19M,,1.671M,260.65M,12.85M,650.02M,247.47M,2015-09,0.98,,,,,2015-09,0.98,,0.0485,0.98,,2015-09,261.76M,266.04M,0.40,,2015-09,AOR,Restated
2015-06,510.40M,510.40M,150.77M,359.64M,51.97M,51.97M,,,-0.236M,,68.90M,1.847M,-67.06M,30.13M,272.29M,87.35M,1.847M,68.90M,-67.06M,124.82M,-67.06M,145.11M,4.851M,140.26M,,1.678M,141.92M,61.66M,404.20M,190.19M,2015-06,0.54,,,,,2015-06,0.54,,0.2375,0.54,,2015-06,261.74M,265.32M,0.36,,2015-06,AOR,Restated
2015-03,462.85M,462.85M,152.28M,310.57M,51.31M,51.31M,,,-16.29M,,66.00M,11.05M,-57.95M,5.575M,226.69M,83.88M,11.05M,66.00M,-57.95M,327.03M,-57.95M,353.20M,1.891M,351.31M,,1.67M,346.88M,52.47M,589.01M,169.81M,2015-03,1.34,,,,,2015-03,1.30,,0.1870,1.30,,2015-03,257.01M,264.51M,0.36,,2015-03,AOR,Restated
2014-12,450.86M,450.86M,148.86M,302.00M,47.55M,47.55M,,,-1.939M,,70.37M,6.052M,-68.03M,8.096M,227.05M,74.96M,6.052M,70.37M,-68.03M,420.66M,-68.03M,427.37M,-0.354M,427.72M,,1.678M,410.29M,303.18M,669.14M,171.40M,2014-12,1.64,,,,,2014-12,1.62,,1.202,1.62,,2014-12,250.60M,256.47M,0.33,,2014-12,AOR,Restated
2014-09,415.15M,415.15M,124.77M,290.38M,58.20M,58.20M,,,-86.08M,,69.09M,0.55M,-68.54M,4.868M,212.27M,78.11M,0.55M,69.09M,-68.54M,114.29M,-68.54M,123.86M,-23.26M,147.13M,,1.67M,137.92M,82.16M,342.15M,149.20M,2014-09,0.54,,,,,2014-09,0.46,,0.2439,0.46,,2014-09,249.65M,258.04M,0.33,,2014-09,AOR,Restated
2014-06,460.09M,460.09M,137.41M,322.68M,60.38M,60.38M,,,-77.56M,,80.18M,5.116M,-75.07M,5.45M,227.40M,95.27M,5.116M,80.18M,-75.07M,123.31M,-75.07M,143.51M,-8.918M,152.43M,,1.948M,81.18M,14.78M,385.27M,161.58M,2014-06,0.30,,,,,2014-06,0.26,,0.0029,0.26,,2014-06,249.56M,258.31M,0.33,,2014-06,AOR,Restated
2014-03,434.68M,434.68M,134.68M,300.00M,63.20M,63.20M,,,0.273M,,82.10M,14.05M,-71.45M,5.053M,228.54M,71.47M,14.05M,82.10M,-71.45M,18.89M,-71.45M,18.88M,6.88M,12.00M,,2.135M,6.801M,13.70M,261.26M,160.28M,2014-03,0.02,,,,,2014-03,0.02,,0.0474,0.02,,2014-03,249.35M,252.19M,0.33,,2014-03,AOR,Restated
2013-12,436.76M,436.76M,127.28M,309.49M,63.07M,63.07M,,,-112.86M,,83.92M,5.176M,-82.66M,9.488M,238.01M,71.48M,5.176M,83.92M,-82.66M,42.86M,-82.66M,31.68M,22.20M,9.486M,58.78M,2.135M,61.19M,-0.9678M,283.53M,167.92M,2013-12,0.00,0.24,,,,2013-12,-0.02,,-0.0335,0.22,,2013-12,249.14M,250.48M,0.28,,2013-12,AOR,Restated
2013-09,423.06M,423.06M,128.83M,294.22M,55.03M,55.03M,,,-114.20M,,84.64M,5.653M,-78.99M,6.37M,216.84M,77.38M,5.653M,84.64M,-78.99M,-34.88M,-78.99M,-36.49M,12.18M,-48.67M,41.50M,2.135M,-5.399M,-7.091M,207.39M,159.24M,2013-09,-0.20,0.16,,,,2013-09,-0.20,,-0.0407,-0.04,,2013-09,248.99M,249.92M,0.28,,2013-09,AOR,Restated
2013-06,410.69M,410.69M,134.84M,275.85M,54.91M,54.91M,,,-32.61M,,92.21M,4.492M,-87.72M,6.771M,217.34M,58.51M,4.492M,92.21M,-87.72M,29.10M,-87.72M,-0.104M,20.49M,-20.59M,15.61M,3.816M,2.299M,-26.75M,251.52M,159.41M,2013-06,-0.06,0.06,,,,2013-06,-0.06,,-0.1151,0.00,,2013-06,243.02M,243.96M,0.28,,2013-06,AOR,Restated
2013-03,479.97M,479.97M,150.26M,329.71M,56.20M,56.20M,,,-17.35M,,111.35M,11.63M,-103.01M,4.353M,232.67M,97.04M,11.63M,111.35M,-103.01M,347.15M,-103.01M,341.17M,51.87M,289.30M,7.627M,10.30M,284.83M,3.833M,629.96M,177.43M,2013-03,1.12,0.04,,,,2013-03,1.10,,-0.0415,1.14,,2013-03,230.73M,239.48M,0.28,,2013-03,AOR,Restated
2012-12,486.89M,486.89M,138.09M,348.80M,60.61M,60.61M,,0.00,-287.09M,,118.10M,3.107M,-118.74M,9.414M,247.25M,101.55M,3.107M,118.10M,-118.74M,-251.79M,-118.74M,-268.97M,3.364M,-272.34M,57.00M,10.30M,-218.41M,-104.45M,38.68M,189.56M,2012-12,-1.26,0.26,,,,2012-12,-1.26,,-0.5174,-1.00,,2012-12,230.21M,230.21M,0.28,,2012-12,AOR,Restated
2012-09,499.46M,499.46M,142.16M,357.30M,55.89M,55.89M,,0.00,-30.44M,,122.82M,8.758M,-114.06M,5.58M,251.61M,105.69M,8.758M,122.82M,-114.06M,-21.10M,-114.06M,-29.48M,-19.98M,-9.494M,-23.40M,10.30M,-36.22M,2.567M,291.64M,198.30M,2012-09,-0.10,-0.10,,,,2012-09,-0.10,,-0.0334,-0.20,,2012-09,230.04M,230.99M,0.28,,2012-09,AOR,Restated
2012-06,501.18M,501.18M,140.99M,360.19M,51.42M,51.42M,,0.00,-21.69M,,127.58M,5.912M,-121.67M,7.227M,237.40M,122.79M,5.912M,127.58M,-121.67M,-4.524M,-121.67M,-3.404M,8.075M,-11.48M,16.15M,10.05M,1.929M,-8.750M,311.96M,187.78M,2012-06,-0.12,0.08,,,,2012-06,-0.12,,-0.0962,-0.04,,2012-06,229.94M,229.94M,0.28,,2012-06,AOR,Restated
2012-03,479.43M,479.43M,135.61M,343.82M,60.16M,60.16M,,16.14M,-24.63M,,128.10M,5.101M,-127.96M,4.335M,244.77M,99.04M,5.101M,128.10M,-127.96M,230.36M,-127.96M,201.45M,12.12M,189.33M,23.77M,10.57M,212.98M,-14.14M,521.38M,191.82M,2012-03,0.78,0.10,,,,2012-03,0.78,,-0.0742,0.88,,2012-03,229.60M,238.05M,0.28,,2012-03,AOR,Restated
2011-12,413.39M,413.39M,110.34M,303.04M,,50.80M,,,-77.31M,,106.79M,4.667M,-122.60M,9.789M,225.81M,77.23M,4.667M,106.79M,-122.60M,-63.56M,-122.60M,-108.94M,-8.184M,-100.76M,60.74M,10.28M,-35.18M,-33.51M,196.15M,198.30M,2011-12,-0.48,0.30,,,,2011-12,-0.48,,-0.2111,-0.18,,2011-12,229.68M,232.08M,0.28,,2011-12,AOR,Restated
2011-09,469.14M,469.14M,137.03M,332.11M,,53.34M,,,-4.585M,,135.86M,4.643M,-131.22M,3.971M,240.09M,92.02M,4.643M,135.86M,-131.22M,78.92M,-131.22M,39.72M,-2.838M,42.56M,23.31M,10.41M,65.84M,11.37M,373.61M,198.03M,2011-09,0.14,0.10,,,,2011-09,0.14,,0.0052,0.24,,2011-09,229.13M,231.20M,0.28,,2011-09,AOR,Restated
2011-06,320.91M,320.91M,88.80M,232.12M,,51.84M,,,-109.93M,,112.92M,5.277M,-107.64M,,170.45M,61.67M,5.277M,112.92M,-107.64M,-108.79M,-107.64M,-154.76M,6.429M,-161.19M,17.56M,7.642M,-143.83M,-83.27M,82.59M,124.43M,2011-06,-1.10,0.12,,,,2011-06,-1.10,,-0.5923,-0.98,,2011-06,153.88M,153.88M,0.28,,2011-06,AOR,Restated
2011-03,229.87M,229.87M,71.18M,158.69M,,39.18M,,,-2.263M,,93.11M,0.00,-93.11M,4.684M,123.92M,34.78M,0.00,93.11M,-93.11M,12.75M,-93.11M,-45.58M,6.369M,-51.95M,11.78M,6.369M,-40.25M,-51.45M,130.65M,83.12M,2011-03,-0.46,0.10,,,,2011-03,-0.46,,-0.4555,-0.36,,2011-03,127.35M,127.35M,0.28,,2011-03,AOR,Restated
2010-12,174.96M,174.96M,43.57M,131.39M,,50.10M,,,-1.426B,,79.63M,10.01M,-102.02M,-1.266M,107.79M,23.60M,10.01M,79.63M,-102.02M,-1.343B,-102.02M,-1.422B,-5.907M,-1.416B,254.78M,6.317M,-1.160B,-74.36M,-1.253B,89.34M,2010-12,-12.88,2.30,,,,2010-12,-12.88,,-1.718,-10.58,,2010-12,120.11M,120.11M,0.28,,2010-12,AOR,Restated
2010-09,228.61M,228.61M,66.36M,162.25M,,34.96M,,,34.13M,,120.23M,7.375M,-112.86M,8.338M,126.52M,35.74M,7.375M,120.23M,-112.86M,49.50M,-112.86M,-27.62M,7.455M,-35.08M,26.58M,6.369M,-8.683M,-61.44M,186.16M,93.55M,2010-09,-0.38,0.24,,,,2010-09,-0.38,,-0.6259,-0.14,,2010-09,106.47M,106.47M,0.28,,2010-09,AOR,Restated
2010-06,219.15M,219.15M,64.02M,155.13M,,38.92M,,,6.918M,,120.29M,0.00,-120.29M,,115.79M,39.33M,0.00,120.29M,-120.29M,3.016M,-120.29M,-77.94M,-40.25M,-37.69M,21.10M,6.369M,-16.78M,-37.69M,171.78M,129.43M,2010-06,-0.42,0.20,,,,2010-06,-0.42,,-0.4182,-0.22,,2010-06,106.42M,106.42M,0.28,,2010-06,AOR,Restated
2010-03,154.09M,154.09M,48.12M,105.97M,,32.26M,,,0.928M,,32.59M,,-32.59M,,79.65M,26.33M,,32.59M,-32.59M,4.803M,-32.59M,-1.46M,,-1.46M,0.84M,3.952M,-0.151M,-1.919M,78.51M,44.37M,2010-03,-0.08,0.02,,,,2010-03,-0.08,,-0.0925,-0.06,,2010-03,74.33M,74.33M,0.28,,2010-03,AOR,Restated
2009-12,158.16M,158.16M,48.17M,109.99M,,31.46M,,,-13.26M,,30.65M,,-30.65M,2.088M,84.07M,25.92M,,30.65M,-30.65M,-9.433M,-30.65M,,,-14.17M,4.065M,3.95M,-13.12M,-8.565M,76.44M,46.90M,2009-12,-0.06,-0.02,,,,2009-12,-0.06,,0.0567,-0.08,,2009-12,73.85M,73.85M,0.28,,2009-12,AOR,Restated
2009-09,153.57M,153.57M,45.15M,108.42M,,27.41M,,,4.672M,,27.50M,,-27.50M,3.049M,76.43M,31.99M,,27.50M,-27.50M,7.929M,-27.50M,,,12.42M,64.04M,3.952M,67.14M,0.0582M,77.96M,42.41M,2009-09,0.04,0.82,,,,2009-09,0.04,,-0.0017,0.86,,2009-09,72.67M,72.83M,0.28,,2009-09,AOR,Restated
2009-06,148.57M,148.57M,42.95M,105.62M,,25.96M,,,3.047M,,27.77M,,-27.77M,4.207M,68.69M,36.93M,,27.77M,-27.77M,7.331M,-27.77M,,,16.48M,12.55M,3.952M,21.37M,6.844M,75.45M,36.76M,2009-06,0.12,0.12,,,,2009-06,0.12,,0.0928,0.24,,2009-06,72.66M,72.69M,0.28,,2009-06,AOR,Restated
2009-03,163.42M,163.42M,49.39M,114.03M,,31.57M,,,-149.01M,,32.80M,,-32.80M,,73.70M,40.33M,,32.80M,-32.80M,-149.04M,-32.80M,-141.51M,,-141.51M,18.48M,3.952M,-118.40M,12.12M,-66.58M,38.73M,2009-03,-2.84,0.36,,,,2009-03,-2.84,,0.1728,-2.48,,2009-03,49.46M,49.46M,0.28,,2009-03,AOR,Restated
2008-12,158.28M,158.28M,44.14M,114.15M,,40.80M,,,-195.07M,,33.12M,,-33.12M,2.446M,81.43M,32.72M,,33.12M,-33.12M,-192.31M,-33.12M,,,-192.71M,-6.539M,3.95M,-197.41M,-64.08M,70.90M,36.69M,2008-12,-4.02,-0.12,,,,2008-12,-4.02,,-1.422,-4.14,,2008-12,48.80M,48.80M,0.00,,2008-12,AOR,Restated
2008-09,158.48M,158.48M,43.19M,115.29M,,34.72M,,,23.79M,,33.30M,,-33.30M,-1.088M,79.44M,35.85M,,33.30M,-33.30M,29.16M,-33.30M,,,31.71M,3.028M,3.952M,28.15M,9.661M,81.65M,42.78M,2008-09,0.42,0.06,,,,2008-09,0.42,,0.1071,0.48,,2008-09,48.57M,49.42M,0.52,,2008-09,AOR,Restated
2008-06,202.54M,202.54M,46.21M,156.33M,,34.13M,,,32.28M,,36.53M,,-36.53M,1.422M,75.28M,81.05M,,36.53M,-36.53M,38.34M,-36.53M,,,82.86M,5.167M,3.952M,77.02M,50.87M,120.78M,36.54M,2008-06,1.42,0.08,,,,2008-06,1.38,,0.9572,1.46,,2008-06,48.54M,49.63M,0.52,,2008-06,AOR,Restated
2008-03,171.86M,171.86M,44.99M,126.86M,,35.35M,,,42.29M,,29.96M,,-29.96M,,76.32M,50.55M,,29.96M,-29.96M,45.22M,-29.96M,65.81M,,65.81M,3.923M,3.952M,42.93M,11.52M,136.74M,37.64M,2008-03,0.72,0.06,,,,2008-03,0.72,,0.1683,0.78,,2008-03,48.88M,49.83M,0.52,,2008-03,AOR,Restated
2007-12,174.53M,174.53M,45.62M,128.91M,,34.55M,,,36.14M,,29.48M,,-29.48M,2.117M,77.34M,51.58M,,29.48M,-29.48M,34.92M,-29.48M,,,39.98M,57.22M,3.95M,97.20M,57.59M,92.24M,36.19M,2007-12,0.72,1.18,,-0.8292,,2007-12,0.70,-0.8292,0.2542,1.84,,2007-12,49.23M,50.65M,0.50,,2007-12,AOR,Restated
2007-09,165.37M,165.37M,42.66M,122.70M,,35.41M,,,56.25M,,29.33M,,-29.33M,0.944M,76.98M,45.73M,,29.33M,-29.33M,59.68M,-29.33M,,,66.06M,7.047M,3.955M,73.11M,26.53M,86.36M,37.26M,2007-09,1.26,0.14,,0.0602,,2007-09,1.24,0.0589,0.5153,1.38,,2007-09,49.36M,50.46M,0.50,,2007-09,AOR,Restated
2007-06,167.40M,167.40M,42.57M,124.83M,,30.54M,,,35.47M,,33.15M,,-33.15M,1.139M,71.85M,52.98M,,33.15M,-33.15M,111.92M,-33.15M,,,115.86M,2.407M,6.879M,118.27M,30.76M,93.16M,34.33M,2007-06,2.22,0.04,,0.2726,,2007-06,2.16,0.2661,0.7470,2.20,,2007-06,49.47M,50.68M,0.50,,2007-06,AOR,Restated
2007-03,164.50M,164.50M,25.03M,139.48M,29.85M,29.85M,12.19M,,19.95M,,,,,7.875M,90.38M,49.10M,,,,19.95M,,,,22.81M,2.87M,3.952M,25.68M,9.846M,90.38M,41.28M,2007-03,0.42,0.06,,,,2007-03,0.40,,0.1273,0.46,,2007-03,46.13M,47.55M,0.50,,2007-03,AOR,Restated
2006-12,183.74M,183.74M,,,,30.43M,,,50.27M,,,,,18.03M,19.78M,67.82M,,,,50.27M,,,,64.71M,23.04M,3.951M,87.76M,34.55M,112.29M,44.46M,2006-12,1.38,0.52,0.00,,,2006-12,1.32,,0.6717,1.82,,2006-12,44.48M,46.53M,0.46,,2006-12,AOR,Restated
2006-09,180.34M,180.34M,,,25.64M,25.64M,23.52M,,28.67M,,,,,22.41M,118.48M,61.85M,,,,28.67M,,,,29.62M,3.772M,3.44M,33.39M,12.41M,110.58M,48.72M,2006-09,0.60,0.08,0.00,,,2006-09,0.58,,0.2022,0.66,,2006-09,44.01M,45.53M,0.46,,2006-09,AOR,Restated
2006-06,175.92M,175.92M,,,,25.14M,45.70M,,56.23M,,,,,3.468M,118.81M,57.11M,,,,56.23M,,,,54.15M,21.20M,3.095M,75.35M,20.41M,106.94M,49.83M,2006-06,1.18,0.48,0.00,,,2006-06,1.12,,0.3713,1.60,,2006-06,43.66M,45.07M,0.46,,2006-06,AOR,Restated
2006-03,182.68M,176.41M,,,23.05M,23.05M,0.674M,,6.269M,-111.10M,,,,155.72M,111.10M,65.31M,,,,6.269M,,,,18.12M,9.259M,3.096M,27.58M,14.36M,108.58M,43.27M,2006-03,0.32,0.22,0.00,,,2006-03,0.32,,0.2366,0.52,,2006-03,43.22M,45.09M,0.46,,2006-03,AOR,Restated
2005-12,139.19M,172.84M,,,,16.69M,,,148.16M,,,,,-365.96M,-10.84M,98.84M,,,,129.23M,,,,61.96M,79.23M,7.383M,141.18M,-26.94M,145.38M,46.54M,2005-12,1.42,1.88,0.00,,,2005-12,1.36,,-0.6327,3.16,,2005-12,42.53M,44.61M,0.44,,2005-12,AOR,Restated
2005-09,164.57M,160.08M,,,16.82M,16.82M,,,-32.02M,-100.40M,,,,143.90M,100.80M,59.27M,,,,-32.02M,,,,12.53M,16.53M,-1.783M,29.07M,31.74M,120.40M,61.13M,2005-09,0.24,0.40,0.00,,,2005-09,0.24,,0.6747,0.62,,2005-09,42.22M,44.19M,0.44,,2005-09,AOR,Restated
2005-06,157.81M,157.81M,,,,20.11M,,,-8.734M,,,,,39.50M,97.38M,60.43M,,,,-8.734M,,,,36.30M,4.488M,1.783M,40.79M,41.54M,98.19M,33.10M,2005-06,0.84,0.10,0.00,,,2005-06,0.80,,0.9204,0.90,,2005-06,41.76M,43.54M,0.44,,2005-06,AOR,Restated
