,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,,SECFilingLinks,AsOriginallyReported,Restated
2012-09,158.19M,,158.19M,181.86M,,,181.86M,,172.52M,,512.56M,,,,,,26.46B,-2.389B,24.07B,,,,2.242B,243.98M,,,1.506B,28.06B,28.58B,,,,,625.87M,,,,,,,,625.87M,12.58B,,12.58B,48.90M,161.21M,,692.77M,,428.26M,13.78B,2012-09,586.81M,-3.336B,16.40B,582.20M,,2012-09,AOR,Restated
2012-06,293.63M,,293.63M,168.01M,,,168.01M,,151.18M,,612.82M,,,,,,26.42B,-2.256B,24.17B,,,,2.220B,245.65M,,,1.171B,27.80B,28.42B,,,,,600.02M,,,,,,,,600.02M,12.43B,,12.43B,48.20M,48.20M,,702.60M,,519.56M,13.65B,2012-06,586.81M,-3.159B,16.37B,582.20M,,2012-06,AOR,Restated
2012-03,343.74M,,343.74M,163.68M,,,163.68M,,91.96M,,599.37M,,,,,,26.58B,-2.257B,24.32B,,,,2.453B,247.24M,,,1.247B,28.27B,28.87B,,,,,674.08M,,,,,,,,674.08M,12.38B,,12.38B,47.19M,161.82M,,833.00M,,1.097B,13.64B,2012-03,586.80M,-3.020B,16.37B,582.20M,,2012-03,AOR,Restated
2011-12,176.07M,,176.07M,148.00M,360.57M,,602.29M,89.62M,71.99M,,1.385B,,,,,,,,53.52M,,,,2.858B,,,35.56M,762.62M,26.34B,27.72B,,,642.86M,1.282B,1.282B,936.80M,936.80M,936.80M,,,,20.99M,2.240B,10.45B,,10.45B,167.14M,167.14M,,793.84M,,415.55M,11.03B,2011-12,586.79M,-3.092B,16.35B,582.20M,,2011-12,AOR,Restated
2011-09,216.75M,134.44M,351.19M,216.42M,,,330.05M,119.25M,77.80M,323.96M,1.202B,,,,,,25.59B,-1.908B,23.68B,25.28M,330.15M,355.43M,2.901B,354.25M,,,89.52M,27.38B,28.59B,,,,,633.04M,,,,52.75M,775.86M,604.30M,264.76M,1.674B,12.15B,,12.15B,,,,669.14M,,161.00M,12.31B,2011-09,586.79M,-2.917B,16.37B,582.20M,,2011-09,AOR,Restated
2011-06,260.89M,,260.89M,197.48M,,,197.48M,,68.39M,,526.76M,0.00,7.069B,17.59B,1.085B,,25.75B,-1.764B,23.98B,,,,3.012B,359.23M,,,1.252B,28.61B,29.13B,,,,,702.38M,,,,,,,,702.38M,12.12B,,12.12B,,,,716.70M,,1.240B,13.36B,2011-06,586.79M,-2.843B,16.38B,582.20M,,2011-06,AOR,Restated
2011-03,203.63M,,203.63M,170.87M,,,170.87M,,31.66M,,406.16M,0.00,2.075B,4.721B,,44.81M,6.841B,-1.314B,5.528B,,,,911.00M,,,34.93M,540.93M,7.015B,7.421B,,3.33M,,238.20M,238.20M,,,,,,,,238.20M,3.426B,,3.426B,,,,397.36M,,56.42M,3.482B,2011-03,225.10M,-9.519M,3.035B,223.41M,,2011-03,AOR,Restated
2010-12,37.63M,,37.63M,58.98M,,,58.98M,,27.08M,,123.69M,,,,,,12.88B,-1.596B,11.28B,,,,2.025B,302.14M,,,1.168B,14.78B,14.90B,,,,,388.54M,,,,,,,,388.54M,6.506B,,6.506B,40.20M,40.20M,,15.13M,,266.84M,6.994B,2010-12,352.54M,-2.516B,9.672B,350.00M,,2010-12,AOR,Restated
2010-09,176.44M,,176.44M,159.09M,,,159.09M,,29.16M,,364.68M,,,,,,,,,,,,6.570B,,,23.76M,164.89M,6.759B,7.124B,,51.32M,,300.71M,300.71M,,,,,,,,300.71M,3.067B,,3.067B,,,,367.74M,,57.09M,3.124B,2010-09,225.09M,-22.90M,3.101B,223.41M,,2010-09,AOR,Restated
2010-06,214.54M,,214.54M,156.66M,,,156.66M,,26.16M,,397.35M,,,,,,,,,,,,6.457B,,,21.97M,183.90M,6.663B,7.060B,,51.34M,,292.47M,292.47M,,,,,,,,292.47M,2.995B,,2.995B,,,,367.97M,,53.56M,3.048B,2010-06,225.09M,-29.87M,3.143B,223.41M,,2010-06,AOR,Restated
