,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2016-12,39.10M,0.00,,-14.70M,22.20M,0.60M,22.80M,22.80M,,5.40M,5.30M,,,33.20M,-7.60M,,71.80M,,-47.50M,,,,-8.40M,8.40M,0.80M,-46.70M,,-0.60M,,-0.60M,,-25.40M,-25.40M,-9.60M,-9.60M,5.10M,4.10M,-26.40M,,205.90M,-1.30M,-1.60M,203.00M,,,,-0.60M,-25.40M,,AOR,Restated
2016-09,37.60M,0.00,,0.00,22.20M,0.70M,22.90M,22.90M,,4.60M,-6.10M,,,9.40M,9.40M,,68.40M,,-48.70M,,,,0.00,0.00,0.80M,-47.90M,,-0.60M,,-0.60M,,-9.60M,-9.60M,-8.70M,-8.70M,3.20M,0.70M,-15.00M,,202.70M,5.50M,-2.30M,205.90M,,,,-0.60M,-9.60M,,AOR,Restated
2016-06,44.80M,0.00,,0.00,22.10M,0.60M,22.70M,22.70M,,4.90M,4.30M,,,-0.50M,-0.50M,,76.20M,,-35.00M,,,,0.00,-8.40M,0.80M,-42.60M,,-0.60M,,-0.60M,,-8.10M,-8.10M,-8.80M,-8.80M,8.00M,2.10M,-7.40M,,178.10M,26.20M,-1.60M,202.70M,,,,-0.60M,-8.10M,,AOR,Restated
2016-03,22.10M,,,,21.60M,0.70M,22.30M,22.30M,,4.60M,14.00M,,,-60.00M,-60.00M,,3.00M,,-39.00M,,,,,,0.40M,-38.60M,,-68.00M,,-68.00M,,-12.80M,-12.80M,-8.70M,-8.70M,13.40M,11.00M,-65.10M,,274.60M,-100.70M,4.20M,178.10M,,,0.00,-68.00M,-12.80M,,AOR,Restated
2015-12,33.40M,,-27.40M,-32.00M,22.50M,0.80M,23.30M,23.30M,,5.20M,32.30M,,,55.20M,44.30M,,68.00M,,-44.80M,,,,,-1.50M,2.40M,-43.90M,,-0.70M,,-0.70M,,0.00,0.00,-8.70M,-8.70M,3.90M,3.90M,-1.60M,,256.80M,22.50M,-4.70M,274.60M,,,14.00M,-14.70M,0.00,,AOR,Restated
2015-09,1.50M,,49.00M,49.00M,21.50M,0.90M,22.40M,22.40M,,3.60M,-1.10M,,,-6.60M,-6.60M,,68.80M,,-29.70M,,,,,,0.20M,-29.50M,,-25.50M,,-25.50M,,0.00,0.00,-7.90M,-7.90M,2.30M,0.70M,-30.40M,,252.00M,8.90M,-4.10M,256.80M,,,13.80M,-39.30M,0.00,,AOR,Restated
2015-06,27.80M,,,,21.10M,1.10M,22.20M,22.20M,,15.50M,-0.60M,,,12.60M,12.60M,,77.50M,,-26.70M,,,,,0.00,1.20M,-25.50M,,-5.90M,,-5.90M,,0.10M,0.10M,-7.90M,-7.90M,2.40M,0.60M,-10.70M,,207.10M,41.30M,3.60M,252.00M,,,37.30M,-43.20M,0.10M,,AOR,Restated
2015-03,32.90M,,,,21.00M,1.00M,22.00M,22.00M,,5.30M,-1.00M,,,-61.10M,-61.10M,,-1.90M,,-30.40M,,,,,,-0.20M,-30.60M,,4.70M,,4.70M,,-5.70M,-5.70M,-7.90M,-7.90M,7.30M,2.80M,1.20M,,255.30M,-31.30M,-16.90M,207.10M,,,6.30M,-1.60M,-5.70M,,AOR,Restated
2014-12,31.40M,,-25.00M,-29.20M,20.90M,1.10M,22.00M,22.00M,,6.10M,21.70M,,,43.30M,5.60M,,46.00M,,-27.30M,,,,,-0.50M,1.50M,-26.30M,,-0.60M,,-0.60M,,0.00,0.00,-7.90M,-7.90M,4.40M,2.30M,-1.80M,,246.80M,17.90M,-9.40M,255.30M,,,41.00M,-41.60M,0.00,,AOR,Restated
2014-09,31.00M,,0.00,0.00,21.30M,1.80M,23.10M,23.10M,,3.60M,-1.20M,,,7.40M,7.40M,,63.90M,,-28.60M,,,,,8.50M,-0.60M,-20.70M,,-10.60M,,-10.60M,,0.00,0.00,-7.10M,-7.10M,6.00M,1.70M,-10.00M,,226.70M,33.20M,-13.10M,246.80M,,,39.50M,-50.10M,0.00,,AOR,Restated
2014-06,37.60M,,,,22.00M,1.10M,23.10M,23.10M,,4.60M,-0.70M,,,-0.40M,-0.40M,,64.20M,,-24.50M,,,,,3.20M,-0.10M,-21.40M,,-42.50M,,-42.50M,,0.00,0.00,-7.00M,-7.00M,3.50M,0.80M,-45.20M,,230.00M,-2.40M,-0.90M,226.70M,,,57.60M,-100.10M,0.00,,AOR,Restated
2014-03,27.10M,,,,20.60M,1.20M,21.80M,21.80M,,4.30M,-1.20M,,,-43.20M,-43.20M,,8.80M,,-31.70M,,,,,-4.20M,0.30M,-35.60M,,31.40M,,31.40M,,-4.10M,-4.10M,-7.10M,-7.10M,3.20M,2.80M,26.20M,,230.00M,-0.60M,0.60M,230.00M,,,125.30M,-93.90M,-4.10M,,AOR,Restated
2013-12,23.60M,,,3.60M,21.10M,1.00M,22.10M,22.10M,,5.60M,25.20M,,,27.20M,8.20M,,68.80M,,-42.70M,,,,,-0.10M,3.90M,-38.90M,,-27.50M,,-27.50M,,0.00,0.00,-7.00M,-7.00M,7.20M,3.80M,-23.50M,,221.70M,6.40M,1.90M,230.00M,,,42.80M,-70.30M,0.00,,AOR,Restated
2013-09,26.80M,,,0.00,20.80M,1.10M,21.90M,21.90M,,5.20M,-1.30M,,,0.70M,0.70M,,53.30M,,-29.30M,,,,,0.10M,0.10M,-29.10M,,1.20M,,1.20M,,0.00,0.00,-6.60M,-6.60M,5.20M,3.30M,3.10M,,190.60M,27.30M,3.80M,221.70M,,,71.50M,-70.30M,0.00,,AOR,Restated
2013-06,30.20M,,,0.00,19.70M,1.00M,20.70M,20.70M,,5.00M,-1.60M,,,25.20M,25.20M,,79.50M,,-22.10M,,,,,0.70M,-2.80M,-24.20M,,-37.00M,,-37.00M,,-2.30M,-2.30M,-6.60M,-6.60M,5.70M,0.00,-40.20M,,175.00M,15.10M,0.50M,190.60M,,,59.30M,-96.30M,-2.30M,,AOR,Restated
2013-03,31.70M,,,0.20M,19.40M,1.10M,20.50M,20.50M,,5.40M,-1.10M,,,-37.80M,-37.80M,,18.90M,,-61.70M,,,,,4.20M,-0.20M,-57.70M,,57.70M,,57.70M,,-2.90M,-2.90M,-6.50M,-6.50M,6.10M,1.10M,55.50M,,161.90M,16.70M,-3.60M,175.00M,,,162.30M,-104.60M,-2.90M,,AOR,Restated
2012-12,21.10M,,,-5.50M,19.20M,1.00M,20.20M,20.20M,0.00,3.70M,25.90M,,,43.80M,20.80M,,69.80M,,-33.60M,,,-0.70M,,9.60M,1.30M,-22.70M,,-27.20M,,-27.20M,,-2.50M,-2.50M,-6.60M,-6.60M,4.30M,2.50M,-29.50M,,143.20M,17.60M,1.10M,161.90M,,,93.60M,-120.80M,-2.50M,,AOR,Restated
2012-09,14.80M,,,0.00,18.40M,0.90M,19.30M,19.30M,2.40M,11.80M,-8.90M,,,12.20M,12.20M,,51.60M,,-29.00M,,,,,3.50M,0.00,-25.50M,,12.20M,,12.20M,,0.00,0.00,-6.10M,-6.10M,2.60M,-1.00M,7.70M,,107.00M,33.80M,2.40M,143.20M,,,444.20M,-432.00M,0.00,,AOR,Restated
2012-06,15.60M,,,11.60M,17.70M,1.10M,18.80M,18.80M,3.60M,,2.60M,,,0.00,0.00,,52.20M,,-37.00M,,,,,1.10M,0.00,-35.90M,,3.70M,,3.70M,,-1.60M,-1.60M,-6.10M,-6.10M,2.60M,-4.40M,-5.80M,,100.20M,10.50M,-3.70M,107.00M,,,169.30M,-165.60M,-1.60M,,AOR,Restated
2012-03,29.20M,,,,17.50M,1.10M,18.60M,18.60M,0.20M,,2.10M,,,-36.30M,-36.30M,,13.80M,,-32.40M,,,0.00,,0.20M,0.30M,-31.90M,,29.20M,,29.20M,,-0.60M,-0.60M,-6.10M,-6.10M,1.40M,0.30M,24.20M,,91.80M,6.10M,2.30M,100.20M,,,29.30M,-0.10M,-0.60M,,AOR,Restated
2011-12,,,,,17.20M,1.20M,18.40M,18.40M,-1.00M,,-49.50M,,,,6.20M,,41.80M,,-34.80M,,,-1.40M,,-2.80M,1.30M,-36.30M,,-22.90M,,-22.90M,-5.20M,0.00,-5.20M,,-6.10M,,0.30M,-28.10M,,119.20M,-22.60M,-4.80M,91.80M,,-5.20M,177.10M,-200.00M,0.00,,AOR,Restated
2011-09,,,,,17.40M,1.10M,18.50M,18.50M,0.30M,,15.50M,,,,5.40M,,39.70M,,-23.80M,,,0.40M,,-8.20M,0.00,-32.00M,,10.40M,,10.40M,1.30M,0.00,1.30M,,-5.70M,,0.10M,6.10M,,110.40M,13.80M,-5.00M,119.20M,,1.30M,10.50M,-0.10M,0.00,,AOR,Restated
2011-06,,,,,18.20M,1.10M,19.30M,19.30M,0.70M,,20.70M,,,,-1.00M,,39.70M,,-18.40M,,,0.00,,-5.00M,0.30M,-23.10M,,-0.20M,,-0.20M,3.20M,-1.40M,1.80M,,-6.00M,,1.60M,-2.80M,,94.60M,13.80M,2.00M,110.40M,,3.20M,0.00,-0.20M,-1.40M,,AOR,Restated
2011-03,,,,,18.30M,1.20M,19.50M,19.50M,,,21.70M,,,,-31.70M,,9.50M,,-19.80M,,,-0.40M,,-9.60M,0.30M,-29.10M,,5.70M,,5.70M,0.70M,-2.10M,-1.40M,,-5.40M,,1.20M,0.10M,,110.20M,-19.50M,3.90M,94.60M,,0.70M,6.00M,-0.30M,-2.10M,,AOR,Restated
2010-12,65.30M,,,,18.40M,1.10M,19.50M,19.50M,,,-48.50M,,,3.00M,10.80M,,47.20M,,-24.00M,,,-2.70M,0.00,4.50M,0.90M,-18.60M,,12.30M,-21.90M,-9.60M,0.80M,-0.10M,0.70M,,-5.70M,,0.00,-14.60M,,97.10M,14.00M,-0.90M,110.20M,,0.80M,4.70M,-14.30M,-0.10M,,AOR,Restated
2010-09,,,,,17.20M,1.10M,18.30M,18.30M,,,18.10M,,,34.90M,11.60M,,48.00M,,-17.20M,,,,-2.40M,0.00,0.80M,-18.80M,,0.00,0.00,0.00,0.50M,0.10M,0.60M,,-5.30M,,0.50M,-4.20M,,67.50M,25.00M,4.60M,97.10M,,0.50M,0.00,0.00,0.10M,,AOR,Restated
2010-06,-19.80M,,,,16.60M,1.10M,17.70M,17.70M,,,41.20M,,,-34.90M,-7.50M,,31.60M,,-14.90M,,,0.00,0.00,-2.10M,0.10M,-16.90M,,-26.30M,24.10M,-2.20M,0.50M,-0.10M,0.40M,,-5.40M,,-2.10M,-9.30M,,65.90M,5.40M,-3.80M,67.50M,,0.50M,21.90M,-26.30M,-0.10M,,AOR,Restated
2010-03,19.80M,,,,16.60M,1.10M,17.70M,17.70M,,,1.40M,,,,-27.40M,,11.50M,,-17.70M,,,0.00,-1.30M,-0.70M,,-19.70M,,-0.30M,-2.20M,-2.50M,1.90M,-2.00M,-0.10M,,-5.30M,,2.00M,-5.90M,,83.10M,-14.10M,-3.10M,65.90M,,1.90M,,-0.30M,-2.00M,,AOR,Restated
2009-12,20.30M,,,,17.20M,1.10M,18.30M,18.30M,,,-12.80M,,,,20.10M,,52.60M,,-28.60M,,,-0.10M,0.00,-1.60M,0.10M,-30.10M,,-9.70M,-4.90M,-14.60M,0.70M,-0.20M,0.50M,,-5.30M,,1.90M,-17.50M,,79.50M,5.00M,-1.40M,83.10M,,0.70M,11.50M,-26.10M,-0.20M,,AOR,Restated
2009-09,17.20M,,,,17.20M,1.10M,18.30M,18.30M,,,2.20M,,,,1.30M,,39.00M,,-27.50M,,,0.10M,-16.90M,2.30M,0.00,-42.10M,,-0.30M,-1.50M,-1.80M,1.50M,-0.20M,1.30M,,-4.90M,,1.00M,-4.40M,,84.30M,-7.50M,2.70M,79.50M,,1.50M,-1.50M,-0.30M,-0.20M,,AOR,Restated
2009-06,19.70M,,,,15.60M,0.90M,16.50M,16.50M,,,-2.20M,,,,15.40M,,49.40M,,-25.00M,,,-0.40M,0.00,0.40M,0.10M,-24.50M,,-11.70M,6.40M,-5.30M,2.80M,-0.10M,2.70M,,-4.90M,,0.20M,-7.30M,,62.70M,17.60M,4.00M,84.30M,,2.80M,-5.10M,-0.20M,-0.10M,,AOR,Restated
2009-03,15.40M,,,,13.90M,1.10M,15.00M,15.00M,,,5.50M,,,,-39.20M,,-3.30M,,-26.70M,,,-2.50M,0.00,1.50M,,-25.20M,,11.50M,,11.50M,,-0.80M,-0.80M,,-5.00M,,0.90M,6.60M,,87.20M,-21.90M,-2.60M,62.70M,,,11.50M,,-0.80M,,AOR,Restated
2008-12,17.80M,,,,13.90M,1.30M,15.20M,15.20M,,,-5.70M,,,,5.20M,,44.00M,,-50.50M,,,-0.10M,0.00,2.20M,1.80M,-46.50M,,-0.70M,3.10M,2.40M,0.60M,0.00,0.60M,,-5.00M,-6.00M,,-10.60M,,102.50M,-13.10M,-2.20M,87.20M,,0.60M,3.10M,-0.70M,0.00,,AOR,Restated
2008-09,13.40M,,,,14.40M,1.10M,15.50M,15.50M,,,4.30M,,,,8.90M,,42.10M,,-35.00M,,,0.00,0.00,3.50M,0.70M,-30.80M,,-3.50M,,-3.50M,2.60M,-2.00M,0.60M,,-4.50M,2.90M,,-4.50M,,102.30M,6.80M,-6.60M,102.50M,,2.60M,,-3.50M,-2.00M,,,Restated
2008-06,29.00M,,,,14.20M,1.00M,15.20M,15.20M,,,3.40M,,,,8.20M,,55.80M,,-30.80M,,,-0.40M,,3.30M,0.00,-27.50M,,-8.00M,-9.50M,-17.50M,1.50M,-0.40M,1.10M,,-4.60M,0.90M,,-20.10M,,93.60M,8.20M,0.50M,102.30M,,1.50M,-9.50M,-8.00M,-0.40M,,,Restated
2008-03,26.40M,,,,13.60M,1.10M,14.70M,14.70M,,,4.40M,,,,-52.40M,,-6.90M,,-22.80M,,,0.00,,7.80M,0.10M,-14.90M,,-0.10M,9.50M,9.40M,1.50M,-2.80M,-1.30M,,-4.50M,2.20M,,5.80M,,108.40M,-16.00M,1.20M,93.60M,,1.50M,9.50M,-0.10M,-2.80M,,,Restated
2007-12,6.50M,,,,13.20M,1.20M,14.40M,14.40M,,,-3.00M,,,40.70M,31.10M,-0.50M,59.30M,,-65.10M,,69.00M,,4.20M,-22.70M,0.10M,-83.50M,,,,-4.60M,0.70M,-11.10M,-10.40M,,-4.70M,,-3.20M,-19.70M,,151.40M,-43.90M,0.90M,108.40M,,0.70M,,,-11.10M,,,Restated
2007-09,12.20M,,,,12.70M,1.20M,13.90M,13.90M,,,3.60M,,,-5.50M,-5.50M,0.00,24.20M,,-19.70M,,-19.70M,,-4.20M,0.00,0.10M,-23.80M,,,,1.10M,1.20M,-28.30M,-27.10M,,-4.20M,,2.50M,-27.70M,,177.30M,-27.30M,1.40M,151.40M,,1.20M,,,-28.30M,,,
2007-06,26.00M,,,,13.00M,1.30M,14.30M,14.30M,,,3.30M,,,-1.70M,-1.70M,0.50M,42.40M,,-24.20M,,-24.20M,,,0.70M,,-23.50M,,,,4.70M,1.60M,-1.40M,0.20M,,-4.30M,,0.70M,1.30M,,156.60M,20.20M,0.50M,177.30M,,1.60M,,,-1.40M,,,
2007-03,26.50M,,,,12.70M,1.30M,14.00M,14.00M,,,1.20M,,,-38.40M,-38.40M,,3.30M,,-25.10M,,-25.10M,,,,,-25.10M,,,,136.30M,0.90M,-2.20M,-1.30M,,-4.30M,,,130.70M,,47.10M,108.90M,0.60M,156.60M,,0.90M,,,-2.20M,,,
2006-12,15.00M,,,2.10M,12.20M,1.50M,13.70M,13.70M,,,7.50M,,,11.60M,4.30M,0.00,47.50M,,-43.10M,,-43.10M,,,,0.10M,-43.00M,,,,-10.80M,-0.90M,1.30M,0.40M,,-4.30M,,,-3.80M,,44.80M,0.70M,1.60M,47.10M,,-0.90M,,,1.30M,,,
2006-09,13.30M,,,3.80M,12.50M,0.70M,13.20M,13.20M,,,-0.10M,,,7.90M,7.90M,-1.80M,36.30M,,-20.40M,,-20.40M,,,,0.00,-20.40M,,,,-15.40M,2.20M,-1.30M,0.90M,,-3.80M,,,-18.30M,,46.10M,-2.40M,1.10M,44.80M,,2.20M,,,-1.30M,,,
2006-06,20.70M,,,-3.80M,11.80M,1.20M,13.00M,13.00M,,,9.90M,,,12.80M,12.80M,4.40M,57.00M,,-15.40M,,-15.40M,,,,0.10M,-15.30M,,,,-23.00M,-1.10M,,-1.10M,,-4.00M,,,-28.10M,,31.30M,13.60M,1.20M,46.10M,,-1.10M,,,,,,
2006-03,18.10M,,,,11.60M,1.20M,12.80M,12.80M,,,6.10M,,,-30.20M,-30.20M,-3.80M,3.00M,,-11.40M,,-11.40M,,,,0.20M,-11.20M,,,,-10.40M,4.20M,,4.20M,,-3.80M,,,-10.00M,,48.80M,-18.20M,0.70M,31.30M,,4.20M,,,,,,
2005-12,12.50M,,,-8.30M,40.50M,6.90M,13.60M,13.60M,,,11.80M,,,8.20M,0.40M,-14.60M,18.10M,,-21.50M,-1.20M,-22.70M,,0.30M,,1.30M,-7.80M,,,,20.80M,-1.00M,,-1.10M,,-3.80M,,,18.50M,,20.90M,28.80M,-0.90M,48.80M,,-1.00M,,,,,,
2005-09,7.80M,,,7.50M,,,13.00M,13.00M,,,-7.30M,,,3.30M,3.30M,10.50M,34.80M,,-14.00M,1.20M,-12.80M,,-34.10M,,-0.90M,-54.90M,,,,-17.50M,0.80M,,0.80M,,-3.50M,,,-20.20M,,61.50M,-40.30M,-0.30M,20.90M,,0.80M,,,,,,
2005-06,12.80M,,,-0.90M,-8.90M,-1.10M,10.80M,10.80M,,,4.70M,,,-0.40M,-0.40M,0.70M,27.70M,,-10.50M,,-10.50M,,-137.60M,,1.00M,-147.10M,,,,124.70M,8.70M,,8.70M,,-3.50M,,,129.90M,,54.00M,10.50M,-3.00M,61.50M,,8.70M,,,,,,
2005-03,13.30M,,,,8.90M,1.10M,10.00M,10.00M,,,2.60M,,,-23.90M,-23.90M,-2.80M,-0.80M,,-8.10M,,-8.10M,,-3.40M,,0.10M,-4.30M,,,,-7.40M,3.00M,,3.00M,,-3.30M,,,-7.70M,,68.80M,-12.80M,-2.00M,54.00M,,3.00M,,,,,,
2004-12,1.20M,,,-9.10M,,,8.90M,8.90M,,,13.80M,,,19.40M,4.90M,7.20M,24.40M,,-16.50M,,-16.00M,,,,0.10M,-15.50M,,,,-3.50M,1.40M,,1.30M,,-3.40M,,,-5.60M,,63.30M,3.30M,2.20M,68.80M,,1.40M,,,,,,
2004-09,4.30M,,,7.40M,,,8.20M,8.20M,,,-3.70M,,,3.90M,3.90M,-2.10M,18.00M,,-12.20M,,-12.20M,,,,0.20M,-12.00M,,,,4.90M,1.90M,,1.90M,,-3.20M,,,3.60M,,52.90M,9.60M,0.80M,63.30M,,1.90M,,,,,,
2004-06,7.70M,,,1.00M,,,8.30M,8.30M,,,-6.50M,,,7.40M,7.40M,-1.10M,16.80M,,-12.20M,,-12.20M,,,,-1.40M,-13.60M,,,,6.10M,5.40M,,5.40M,,-3.10M,,,8.40M,,40.60M,11.60M,-1.10M,52.90M,,5.40M,,,,,,
2004-03,7.00M,,,3.70M,,,7.80M,7.80M,,,10.20M,,,-17.00M,-17.00M,-1.80M,9.90M,,-16.50M,,-16.50M,,,,32.90M,16.40M,,,,-23.50M,4.80M,,4.80M,,-3.10M,,,-21.80M,,36.00M,4.50M,0.10M,40.60M,,4.80M,,,,,,
2003-12,17.10M,,,-4.90M,,,6.80M,6.80M,,,6.30M,,,3.20M,-0.60M,,18.50M,,-27.60M,,-25.60M,,2.00M,,-7.80M,-31.40M,,,,-5.20M,2.70M,,2.70M,,-3.10M,,,-5.60M,,54.50M,-18.50M,1.80M,37.80M,,2.70M,,,,,,
2003-09,4.10M,,,-2.40M,,,7.80M,7.80M,,,7.50M,,,7.60M,7.60M,,24.60M,,-16.70M,,-16.70M,,-2.00M,,8.30M,-10.40M,,,,-1.80M,0.30M,,0.30M,,-2.90M,,,-4.40M,,44.30M,9.80M,0.40M,54.50M,,0.30M,,,,,,
