,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,13.01M,,13.01M,362.18M,520.73M,278.52M,57.86M,178.20M,1.062B,118.35M,752.30M,17.01B,-5.538B,11.47B,,134.94M,712.01M,,,15.31M,155.23M,52.49M,13.81B,14.88B,,2015-09,233.97M,0.00,250.68M,484.65M,26.88M,468.43M,468.43M,,468.43M,72.46M,84.68M,418.68M,1.523B,622.99M,3.257B,,3.257B,2.862B,121.90M,2.983B,383.80M,96.36M,137.67M,220.64M,8.560B,10.08B,2.529B,2.190B,,1.765M,,-63.99M,4.654B,,2015-09,AOR,Restated
2015-06,13.56M,,13.56M,289.24M,471.93M,274.30M,77.84M,179.40M,1.032B,119.32M,638.28M,16.84B,-5.497B,11.34B,,127.74M,723.58M,,,18.51M,154.58M,51.99M,13.67B,14.70B,,2015-06,326.12M,65.93M,155.81M,547.86M,28.54M,260.22M,260.22M,,260.22M,72.78M,88.99M,359.69M,1.340B,619.23M,3.566B,,3.566B,2.791B,120.06M,2.911B,425.00M,87.69M,132.81M,210.49M,8.836B,10.18B,2.527B,1.933B,,1.765M,,-65.60M,4.393B,,2015-06,AOR,Restated
2015-03,11.66M,,11.66M,242.46M,337.61M,265.98M,113.52M,193.00M,935.44M,120.29M,841.43M,16.65B,-5.453B,11.20B,,127.62M,727.34M,,,18.44M,154.25M,51.45M,13.50B,14.44B,,2015-03,271.49M,0.00,188.72M,460.21M,28.92M,428.07M,428.07M,,428.07M,72.56M,88.92M,325.76M,1.374B,578.48M,3.281B,,3.281B,2.764B,122.26M,2.887B,412.55M,73.83M,156.21M,205.68M,8.509B,9.883B,2.523B,1.942B,,2.266M,,-66.38M,4.397B,,2015-03,AOR,Restated
2014-12,7.604M,,7.604M,297.74M,398.28M,255.99M,122.23M,168.62M,973.44M,351.05M,682.81M,16.85B,-5.771B,11.07B,,119.76M,713.87M,,,17.62M,129.22M,54.05M,13.32B,14.29B,,2014-12,295.21M,65.79M,140.61M,501.61M,32.46M,530.97M,530.97M,,530.97M,72.31M,72.31M,369.19M,1.559B,556.58M,3.007B,,3.007B,2.761B,123.05M,2.884B,453.74M,50.60M,151.61M,207.66M,8.211B,9.770B,2.513B,1.926B,,3.401M,,-68.14M,4.367B,,2014-12,AOR,Restated
2014-09,10.47M,,10.47M,391.18M,543.75M,263.06M,61.20M,134.68M,1.041B,122.22M,673.26M,16.18B,-5.309B,10.88B,,127.56M,690.23M,,,17.44M,150.61M,60.43M,12.94B,13.98B,,2014-09,278.84M,0.00,249.93M,528.77M,39.42M,387.99M,387.99M,,387.99M,73.47M,73.47M,377.59M,1.449B,559.91M,3.038B,,3.038B,2.683B,123.14M,2.806B,233.29M,24.38M,152.10M,192.06M,7.888B,9.336B,2.502B,2.052B,,0.106M,,-62.40M,4.492B,,2014-09,AOR,Restated
2014-06,9.161M,,9.161M,325.35M,495.06M,269.14M,83.63M,125.60M,999.07M,123.19M,584.15M,16.28B,-5.389B,10.89B,,137.04M,682.36M,,,21.58M,141.71M,61.38M,12.69B,13.69B,,2014-06,320.78M,62.66M,161.71M,545.14M,35.73M,545.49M,545.49M,,545.49M,74.78M,74.78M,300.83M,1.555B,565.39M,3.000B,,3.000B,2.577B,120.33M,2.698B,439.49M,23.37M,147.97M,218.96M,7.754B,9.308B,2.500B,1.808B,,0.189M,,-74.22M,4.234B,,2014-06,AOR,Restated
2014-03,103.42M,,103.42M,245.88M,336.93M,259.90M,58.63M,122.10M,897.93M,124.16M,646.24M,16.17B,-5.361B,10.81B,,144.45M,657.86M,,,21.63M,137.98M,60.75M,12.55B,13.45B,,2014-03,224.82M,0.00,179.14M,403.96M,25.54M,549.92M,549.92M,,549.92M,76.00M,94.90M,272.94M,1.395B,552.89M,3.046B,,3.046B,2.512B,115.03M,2.627B,442.14M,29.11M,154.92M,198.17M,7.678B,9.073B,2.497B,1.801B,,0.844M,,-74.90M,4.223B,,2014-03,AOR,Restated
2013-12,9.526M,,9.526M,299.90M,529.01M,259.71M,91.15M,116.28M,1.044B,351.05M,581.37M,16.40B,-5.672B,10.73B,,157.69M,642.01M,,,23.82M,137.68M,60.88M,12.47B,13.51B,,2013-12,284.52M,62.53M,131.00M,478.04M,32.90M,693.55M,693.55M,,693.55M,76.10M,76.10M,289.70M,1.619B,521.29M,2.796B,,2.796B,2.504B,114.48M,2.619B,513.63M,70.32M,145.99M,227.87M,7.550B,9.168B,2.492B,1.785B,,4.308M,,-78.05M,4.194B,,2013-12,AOR,Restated
2013-09,135.46M,,135.46M,427.37M,689.71M,258.34M,87.49M,119.36M,1.350B,126.09M,605.99M,15.47B,-5.101B,10.37B,,160.13M,612.64M,,,26.05M,138.33M,60.22M,12.47B,13.82B,,2013-09,250.02M,0.00,183.86M,433.88M,,566.48M,566.48M,,566.48M,77.25M,77.25M,323.52M,1.447B,479.40M,2.820B,,2.820B,2.480B,109.67M,2.589B,939.41M,67.66M,145.62M,259.85M,7.954B,9.401B,2.489B,1.886B,,10.08M,,-89.34M,4.276B,,2013-09,AOR,Restated
2013-06,27.80M,,27.80M,345.58M,508.68M,253.43M,105.15M,122.12M,1.066B,127.06M,545.23M,15.33B,-5.023B,10.31B,,162.72M,595.23M,,71.27M,31.92M,140.97M,64.30M,12.50B,13.56B,,2013-06,287.37M,59.95M,129.86M,477.18M,,629.23M,629.23M,,629.23M,78.80M,78.80M,302.81M,1.537B,477.76M,2.820B,,2.820B,2.296B,108.34M,2.404B,1.014B,85.47M,137.07M,263.89M,7.856B,9.393B,2.487B,1.660B,,10.12M,,-104.46M,4.032B,,2013-06,AOR,Restated
2013-03,25.11M,,25.11M,267.94M,358.40M,258.82M,75.87M,91.92M,871.78M,128.03M,498.12M,15.26B,-4.997B,10.26B,,162.98M,596.17M,,70.83M,34.05M,139.16M,64.32M,12.43B,13.30B,,2013-03,212.08M,0.00,164.55M,376.63M,,122.83M,122.83M,,122.83M,80.78M,80.78M,266.45M,891.51M,477.23M,3.304B,,3.304B,2.064B,108.99M,2.173B,1.034B,82.88M,137.88M,379.50M,8.257B,9.149B,2.484B,1.649B,,10.48M,,-107.93M,4.014B,,2013-03,AOR,Restated
2012-12,26.20M,,26.20M,277.22M,371.15M,249.43M,152.19M,108.36M,1.006B,351.05M,565.72M,15.52B,-5.286B,10.23B,,162.15M,570.62M,,70.39M,35.89M,138.00M,62.69M,12.37B,13.38B,,2012-12,221.31M,59.79M,124.94M,406.04M,,215.00M,215.00M,,215.00M,79.69M,79.69M,333.43M,1.084B,475.96M,3.199B,,3.199B,2.251B,109.36M,2.361B,1.059B,85.26M,129.48M,254.97M,8.194B,9.277B,2.467B,1.624B,,4.211M,,-114.01M,3.973B,,2012-12,AOR,Restated
