,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2016-12,1.755B,1.755B,1.414B,341.49M,108.05M,108.05M,,,5.887M,,-5.887M,-0.597M,107.45M,234.04M,,5.887M,-5.887M,0.512M,-5.887M,228.66M,77.77M,150.89M,,150.89M,150.89M,240.23M,5.678M,234.55M,40.25,,,40.25,40.25,37.8,,,37.8,37.8,3.745M,3.99M
2016-09,1.540B,1.540B,1.243B,296.99M,107.83M,107.83M,,,5.338M,,-5.338M,-0.703M,107.12M,189.87M,,5.338M,-5.338M,0.473M,-5.338M,185.00M,67.61M,117.39M,,117.39M,117.39M,196.00M,5.657M,190.34M,30.43,,,30.43,30.43,28.46,,,28.46,28.46,3.858M,4.125M
2016-06,1.390B,1.390B,1.127B,262.99M,114.88M,114.88M,,,4.554M,,-4.554M,-0.753M,114.13M,148.86M,,4.554M,-4.554M,0.409M,-4.554M,144.72M,53.04M,91.68M,,91.68M,91.68M,154.76M,5.487M,149.27M,23.51,,,23.51,23.51,22.01,,,22.01,22.01,3.90M,4.165M
2016-03,1.146B,1.146B,926.01M,219.69M,112.56M,112.56M,,,4.842M,,-4.842M,-0.767M,111.80M,107.90M,,4.842M,-4.842M,0.258M,-4.842M,103.31M,38.01M,65.30M,,65.30M,65.30M,113.60M,5.447M,108.15M,16.81,,,16.81,16.81,15.79,,,15.79,15.79,3.884M,4.135M
2015-12,1.557B,1.557B,1.239B,318.63M,106.91M,106.91M,,,5.419M,,-5.419M,-0.466M,106.45M,212.19M,,5.419M,-5.419M,0.402M,-5.419M,207.17M,73.16M,134.00M,,134.00M,134.00M,217.94M,5.352M,212.59M,34.23,,,34.23,34.23,31.92,,,31.92,31.92,3.914M,4.216M
2015-09,1.404B,1.404B,1.112B,292.47M,102.58M,102.58M,,,5.90M,,-5.90M,-0.643M,101.94M,190.53M,,5.90M,-5.90M,0.363M,-5.90M,185.00M,68.53M,116.47M,,116.47M,116.47M,196.34M,5.441M,190.90M,28.75,,,28.75,28.75,27.11,,,27.11,27.11,4.05M,4.296M
2015-06,1.245B,1.245B,986.99M,257.94M,104.81M,104.81M,,,5.817M,,-5.817M,-1.122M,103.68M,154.26M,,5.817M,-5.817M,0.243M,-5.817M,148.68M,55.29M,93.40M,,93.40M,93.40M,159.96M,5.46M,154.50M,22.97,,,22.97,22.97,21.91,,,21.91,21.91,4.066M,4.262M
2015-03,958.83M,958.83M,781.80M,177.02M,109.71M,109.71M,,,5.782M,,-5.782M,-0.725M,108.98M,68.04M,,5.782M,-5.782M,0.105M,-5.782M,62.36M,23.30M,39.06M,,39.06M,39.06M,73.43M,5.281M,68.14M,9.63,,,9.63,9.63,9.22,,,9.22,9.22,4.057M,4.235M
2014-12,1.330B,1.330B,1.071B,258.84M,102.71M,102.71M,,,5.696M,,-5.696M,-0.499M,102.21M,156.64M,,5.696M,-5.696M,0.285M,-5.696M,151.22M,51.77M,99.45M,,99.45M,99.45M,161.95M,5.031M,156.92M,24.22,,,24.22,24.22,23.24,,,23.24,23.24,4.104M,4.273M
2014-09,1.205B,1.205B,960.21M,244.33M,96.06M,96.06M,,,5.618M,,-5.618M,-0.905M,95.16M,149.17M,,5.618M,-5.618M,0.24M,-5.618M,143.79M,53.64M,90.15M,,90.15M,90.15M,154.07M,4.657M,149.41M,21.49,,,21.49,21.49,20.7,,,20.7,20.7,4.196M,4.354M
2014-06,1.103B,1.103B,882.91M,219.97M,106.20M,106.20M,,,5.593M,,-5.593M,-0.452M,105.75M,114.22M,,5.593M,-5.593M,0.194M,-5.593M,108.82M,40.65M,68.18M,,68.18M,68.18M,118.63M,4.216M,114.42M,15.68,,,15.68,15.68,15.17,,,15.17,15.17,4.349M,4.495M
2014-03,812.49M,812.49M,655.26M,157.23M,102.90M,102.90M,,,5.684M,,-5.684M,-0.997M,101.90M,55.33M,,5.684M,-5.684M,0.059M,-5.684M,49.71M,25.86M,23.85M,,23.85M,23.85M,59.10M,3.71M,55.39M,5.34,,,5.34,5.34,5.16,,,5.16,5.16,4.467M,4.62M
2013-12,1.244B,1.244B,1.002B,242.18M,85.73M,85.73M,,,5.626M,,-5.626M,-0.808M,84.93M,157.26M,,5.626M,-5.626M,0.187M,-5.626M,151.82M,54.01M,97.81M,,97.81M,97.81M,161.46M,4.016M,157.45M,21.74,,,21.74,21.74,21.15,,,21.15,21.15,4.497M,4.622M
2013-09,1.190B,1.190B,964.57M,225.79M,89.92M,89.92M,,,5.525M,,-5.525M,-1.03M,88.89M,136.90M,,5.525M,-5.525M,0.218M,-5.525M,131.59M,48.66M,82.94M,,82.94M,82.94M,140.64M,3.527M,137.12M,18.08,,,18.08,18.08,17.67,,,17.67,17.67,4.588M,4.695M
2013-06,1.011B,1.011B,834.42M,176.51M,92.37M,92.37M,,,5.237M,,-5.237M,-1.098M,91.27M,85.24M,,5.237M,-5.237M,0.178M,-5.237M,80.18M,29.49M,50.69M,,50.69M,50.69M,88.49M,3.076M,85.42M,10.37,,,10.37,10.37,10.11,,,10.11,10.11,4.889M,5.013M
2013-03,771.21M,771.21M,624.20M,147.01M,87.59M,87.59M,,,5.452M,,-5.452M,-1.026M,86.57M,60.44M,,5.452M,-5.452M,0.113M,-5.452M,55.10M,20.06M,35.04M,,35.04M,35.04M,63.33M,2.772M,60.56M,7.04,,,7.04,7.04,6.84,,,6.84,6.84,4.979M,5.122M
2012-12,944.74M,944.74M,756.49M,188.25M,88.45M,88.45M,,,5.404M,,-5.404M,-1.441M,87.01M,101.24M,,5.404M,-5.404M,0.191M,-5.404M,96.03M,35.40M,60.63M,,60.63M,60.63M,103.71M,2.278M,101.44M,12.38,,,12.38,12.38,11.98,,,11.98,11.98,4.897M,5.067M
2012-09,871.66M,871.66M,702.60M,169.07M,84.34M,84.34M,,,1.351M,,-1.351M,-0.599M,83.74M,85.32M,,1.351M,-1.351M,0.161M,-1.351M,84.13M,31.13M,53.00M,,53.00M,53.00M,87.58M,2.092M,85.48M,10.6,,,10.6,10.6,10.33,,,10.33,10.33,4.999M,5.132M
2012-06,770.60M,770.60M,625.12M,145.47M,82.08M,82.08M,,,0.112M,,-0.112M,-0.538M,81.54M,63.93M,,0.112M,-0.112M,0.136M,-0.112M,63.96M,17.12M,46.84M,,46.84M,46.84M,65.99M,1.925M,64.07M,9.17,,,9.17,9.17,8.97,,,8.97,8.97,5.106M,5.221M
2012-03,602.16M,602.16M,491.98M,110.18M,80.09M,80.09M,,,0.116M,,-0.116M,-0.908M,79.18M,31.00M,,0.116M,-0.116M,0.076M,-0.116M,30.96M,10.84M,20.12M,,20.12M,20.12M,32.88M,1.805M,31.07M,3.99,,,3.99,3.99,3.9,,,3.9,3.9,5.044M,5.159M
2011-12,746.99M,743.02M,617.60M,125.42M,,76.45M,,,-0.506M,,-3.283M,,72.15M,53.27M,,-0.506M,-3.283M,,-3.283M,50.44M,18.05M,32.39M,,32.39M,32.39M,51.66M,1.724M,49.94M,6.51,0.0,,6.51,6.51,6.32,0.0,,6.32,6.32,4.974M,5.12M
2011-09,707.48M,708.47M,572.38M,136.09M,,68.26M,,,0.476M,1.589M,1.113M,,68.26M,67.83M,1.589M,0.476M,1.113M,,1.113M,68.94M,25.53M,43.41M,,43.41M,43.41M,71.13M,1.712M,69.42M,8.19,0.0,,8.19,8.19,7.98,0.0,,7.98,7.98,5.301M,5.437M
2011-06,697.36M,697.36M,558.60M,138.76M,,75.94M,,,0.551M,1.085M,0.534M,,75.94M,62.82M,1.085M,0.551M,0.534M,,0.534M,63.35M,24.91M,38.44M,,38.44M,38.44M,65.54M,1.638M,63.90M,6.65,0.0,,6.65,6.65,6.48,0.0,,6.48,6.48,5.785M,5.929M
2011-03,516.00M,516.00M,417.92M,98.08M,,73.86M,,,0.496M,1.115M,0.619M,,73.86M,24.22M,1.115M,0.496M,0.619M,,0.619M,24.84M,9.661M,15.17M,,15.17M,15.17M,26.93M,1.598M,25.33M,2.61,0.0,,2.61,2.61,2.52,0.0,,2.52,2.52,5.823M,6.02M
2010-12,816.42M,808.07M,656.09M,151.98M,,72.24M,,,-0.503M,,-3.30M,,62.94M,89.05M,,-0.503M,-3.30M,,-3.30M,86.51M,27.82M,58.70M,,58.70M,58.70M,87.72M,1.715M,86.01M,10.32,,,10.32,10.32,9.93,,,9.93,9.93,5.638M,5.847M
2010-09,676.17M,679.63M,540.78M,138.85M,,74.74M,,,0.778M,1.555M,0.777M,,74.74M,64.11M,1.555M,0.778M,0.777M,,0.777M,64.89M,20.95M,43.94M,,43.94M,43.94M,67.49M,1.82M,65.67M,7.65,0.0,,7.65,7.65,7.31,0.0,,7.31,7.31,5.748M,6.011M
2010-06,966.85M,966.85M,771.48M,195.37M,,76.41M,,,2.193M,1.492M,-0.701M,,76.41M,118.96M,1.492M,2.193M,-0.701M,,-0.701M,118.26M,46.98M,71.28M,,71.28M,71.28M,122.30M,1.847M,120.45M,11.64,0.0,,11.64,11.64,11.13,0.0,,11.13,11.13,6.123M,6.405M
2010-03,592.75M,592.75M,471.07M,121.68M,,67.27M,,,2.435M,0.756M,-1.679M,,67.27M,54.41M,0.756M,2.435M,-1.679M,,-1.679M,52.73M,20.64M,32.09M,,32.09M,32.09M,57.05M,1.881M,55.17M,5.29,0.0,,5.29,5.29,5.01,0.0,,5.01,5.01,6.066M,6.399M
2009-12,748.16M,748.16M,592.22M,155.94M,,69.89M,,,2.421M,-1.185M,-3.606M,,69.89M,86.05M,-1.185M,2.421M,-3.606M,,-3.606M,84.53M,23.89M,60.64M,,60.64M,60.64M,88.96M,2.017M,86.95M,10.27,0.0,,10.27,10.27,9.69,0.0,,9.69,9.69,5.942M,6.302M
2009-09,816.45M,816.45M,636.64M,179.81M,,64.15M,,,3.11M,1.774M,-1.336M,,64.15M,115.66M,1.774M,3.11M,-1.336M,,-1.336M,113.44M,41.31M,72.13M,,72.13M,72.13M,119.27M,2.719M,116.55M,12.29,0.0,,12.29,12.29,11.59,0.0,,11.59,11.59,5.866M,6.223M
2009-06,625.43M,627.95M,494.24M,133.71M,,61.14M,,,2.738M,0.611M,-2.127M,,61.14M,72.57M,0.611M,2.738M,-2.127M,,-2.127M,69.83M,28.40M,41.43M,,41.43M,41.43M,74.96M,2.396M,72.57M,7.17,0.0,,7.17,7.17,6.79,0.0,,6.79,6.79,5.777M,6.101M
2009-03,561.23M,561.81M,462.63M,99.18M,,65.45M,,,3.111M,0.584M,-2.527M,,65.45M,33.73M,0.584M,3.111M,-2.527M,,-2.527M,30.62M,12.63M,17.99M,,17.99M,17.99M,36.31M,2.581M,33.73M,3.19,0.0,,3.19,3.19,3.02,0.0,,3.02,3.02,5.642M,5.958M
2008-12,910.17M,910.17M,875.78M,34.40M,,75.66M,,,3.382M,1.347M,-2.035M,,75.66M,-41.27M,1.347M,3.382M,-2.035M,,-2.035M,-52.74M,-22.29M,-30.46M,,-30.46M,-30.46M,-46.43M,2.929M,-49.36M,-5.84,0.0,,-5.84,-5.84,-5.84,0.0,,-5.84,-5.84,5.496M,5.935M
2008-09,939.21M,939.21M,805.93M,133.28M,,74.56M,,,3.489M,0.929M,-2.56M,,74.56M,58.72M,0.929M,3.489M,-2.56M,,-2.56M,60.61M,24.06M,36.55M,,36.55M,36.55M,67.34M,3.249M,64.10M,6.72,0.0,,6.72,6.72,6.12,0.0,,6.12,6.12,5.438M,5.968M
2008-06,941.03M,960.48M,772.37M,188.11M,,98.28M,,,3.412M,0.869M,-2.543M,,98.28M,89.83M,0.869M,3.412M,-2.543M,,-2.543M,86.42M,35.08M,51.33M,,51.33M,51.33M,93.46M,3.626M,89.83M,9.58,0.0,,9.58,9.58,8.64,0.0,,8.64,8.64,5.357M,5.938M
2008-03,895.30M,895.30M,726.93M,168.37M,,91.82M,,,3.373M,,-3.373M,,91.82M,76.55M,,3.373M,-3.373M,,-3.373M,73.18M,29.71M,43.47M,,43.47M,43.47M,80.38M,3.837M,76.55M,8.32,0.0,,8.32,8.32,7.42,0.0,,7.42,7.42,5.224M,5.859M
2007-12,1.427B,1.427B,1.224B,203.08M,,98.24M,,-17.20M,,,,,98.24M,104.85M,,,,,,107.98M,40.71M,67.27M,,67.27M,77.99M,136.06M,4.14M,131.92M,13.26,0.0,,15.35,13.26,11.89,0.0,,13.76,11.89,5.132M,5.736M
2007-09,1.292B,1.292B,1.087B,204.69M,,60.91M,,4.529M,,,,,60.91M,143.78M,,,,4.529M,,145.81M,54.70M,91.11M,,91.11M,88.28M,148.05M,4.264M,143.78M,17.25,0.0,,16.71,17.25,15.26,0.0,,14.79,15.26,5.283M,5.969M
2007-06,1.317B,1.317B,1.062B,254.73M,,110.15M,,5.527M,,,,,110.15M,144.58M,,,,5.527M,,147.68M,56.93M,90.75M,,90.75M,87.35M,148.87M,4.295M,144.58M,16.19,0.0,,15.58,16.19,14.14,0.0,,13.61,14.14,5.606M,6.42M
2007-03,1.093B,1.093B,853.41M,239.78M,,106.73M,,7.149M,,,,,106.73M,133.05M,,,,7.149M,,138.03M,53.21M,84.82M,,84.82M,80.43M,137.39M,4.337M,133.05M,14.98,0.0,,14.2,14.98,12.96,0.0,,12.29,12.96,5.663M,6.545M
2006-12,1.627B,1.627B,1.297B,329.76M,,114.31M,,5.678M,,,,,159.60M,170.16M,,,,5.678M,,219.76M,84.59M,135.17M,,135.17M,131.67M,174.23M,4.069M,170.16M,24.48,0.0,,23.85,24.48,20.82,0.0,,20.28,20.82,5.53M,6.507M
2006-09,1.553B,1.553B,1.239B,314.74M,,104.42M,,3.641M,,,,,104.42M,210.32M,,,,3.641M,,212.11M,82.77M,129.33M,,129.33M,127.11M,214.09M,3.767M,210.32M,22.59,0.0,,22.2,22.59,19.63,0.0,,19.29,19.63,5.725M,6.588M
2006-06,1.749B,1.749B,1.304B,444.74M,,129.40M,,3.017M,,,,,129.40M,315.34M,,,,3.017M,,313.08M,122.73M,190.35M,,190.35M,188.52M,318.65M,3.311M,315.34M,33.27,0.0,,32.95,33.27,28.08,0.0,,27.81,28.08,5.722M,6.779M
2006-03,1.205B,1.205B,861.04M,343.62M,,123.17M,,2.607M,,,,,123.17M,220.44M,,,,2.607M,,218.03M,85.47M,132.56M,,132.56M,130.97M,223.45M,3.011M,220.44M,23.69,0.0,,23.41,23.69,19.48,0.0,,19.25,19.48,5.596M,6.805M
2005-12,1.658B,1.658B,1.181B,477.44M,,111.32M,,2.557M,,,,,158.07M,319.38M,,,,2.557M,,364.42M,141.88M,222.54M,,222.54M,220.98M,322.65M,3.272M,319.38M,36.63,0.0,,36.37,36.63,29.74,0.0,,29.53,29.74,5.955M,7.334M
2005-09,1.373B,1.373B,970.44M,402.58M,,94.58M,,1.659M,,,,,94.58M,308.00M,,,,1.659M,,307.97M,118.53M,189.44M,,189.44M,188.42M,310.62M,2.621M,308.00M,30.08,0.0,,29.92,30.08,24.33,0.0,,24.2,24.33,6.298M,7.787M
2005-06,1.278B,1.278B,907.28M,370.40M,,92.13M,,1.246M,,,,,92.13M,278.28M,,,,1.246M,,277.11M,109.46M,167.65M,,167.65M,166.90M,280.67M,2.391M,278.28M,26.31,0.0,,26.19,26.31,21.42,0.0,,21.32,21.42,6.372M,7.825M
2005-03,953.43M,953.43M,679.55M,273.88M,,79.05M,,2.274M,,,,,79.05M,194.83M,,,,2.274M,,194.92M,77.00M,117.93M,,117.93M,116.55M,197.24M,2.406M,194.83M,17.71,0.0,,17.5,17.71,14.38,0.0,,14.21,14.38,6.659M,8.20M
2004-12,1.197B,1.197B,929.10M,268.01M,,80.05M,,,,,,-65.81M,14.23M,253.78M,,,,,,264.90M,105.96M,158.94M,,158.94M,158.94M,256.16M,2.382M,253.78M,24.62,0.0,,24.62,24.62,20.06,0.0,,20.06,20.06,6.447M,7.933M
2004-09,1.169B,1.169B,848.20M,320.36M,,71.04M,,,,,,15.05M,86.09M,234.27M,,,,,,246.13M,98.45M,147.68M,,147.68M,147.68M,236.51M,2.237M,234.27M,23.16,0.0,,23.16,23.16,19.04,0.0,,19.04,19.04,6.377M,7.758M
2004-06,1.002B,1.002B,735.98M,266.36M,,70.61M,,,,,,,70.61M,195.74M,,,,,,193.28M,77.31M,115.97M,,115.97M,115.97M,197.91M,2.163M,195.74M,17.91,0.0,,17.91,17.91,14.82,0.0,,14.82,14.82,6.475M,7.825M
2004-03,862.45M,862.45M,643.01M,219.44M,,64.69M,,16.11M,,,,-5.09M,59.60M,159.84M,,,,16.11M,,167.70M,67.08M,100.62M,,100.62M,90.95M,161.91M,2.076M,159.84M,15.27,0.0,,13.8,15.27,12.58,0.0,,11.37,12.58,6.591M,7.997M
2003-12,1.096B,1.096B,829.71M,265.81M,,70.19M,,17.96M,,,,,46.37M,219.44M,,,,17.96M,,211.55M,84.06M,127.49M,,127.49M,116.66M,221.51M,2.069M,219.44M,18.22,0.0,,16.67,18.22,14.86,0.0,,13.59,14.86,6.974M,8.542M
2003-09,956.85M,956.85M,719.51M,237.34M,,63.87M,,13.64M,,,,,63.87M,173.47M,,,,13.64M,,184.79M,75.39M,109.40M,,109.40M,101.22M,175.35M,1.878M,173.47M,15.3,0.0,,14.16,15.3,12.55,0.0,,11.61,12.55,7.151M,8.716M
2003-06,848.50M,848.50M,623.21M,225.29M,,65.30M,,,,,,,65.30M,159.99M,,,,,,155.89M,60.80M,95.09M,,95.09M,95.09M,162.30M,2.312M,159.99M,13.35,0.0,,13.35,13.35,10.9,0.0,,10.9,10.9,7.124M,8.725M
2003-03,743.57M,743.57M,539.44M,204.14M,,56.43M,,,,,,,56.43M,147.71M,,,,,,143.94M,56.14M,87.81M,,87.81M,87.81M,149.88M,2.168M,147.71M,12.41,0.0,,12.41,12.41,10.1,0.0,,10.1,10.1,7.078M,8.697M
2002-12,772.04M,772.04M,590.44M,181.60M,,65.08M,,14.78M,,,,,41.27M,140.33M,,,,14.78M,,129.01M,50.07M,78.95M,,78.95M,69.90M,142.49M,2.165M,140.33M,12.84,,,11.61,12.84,8.89,0.0,,7.917000000000001,8.89,7.349M,9.298M
2002-09,847.04M,847.04M,645.87M,201.18M,,68.00M,,18.55M,,,,,68.00M,133.18M,,,,18.55M,,149.32M,57.34M,91.98M,,91.98M,80.55M,135.05M,1.879M,133.18M,12.58,0.0,,11.02,12.58,10.14,0.0,,8.88,10.14,7.312M,9.071M
2002-06,788.44M,788.44M,585.83M,202.61M,,64.44M,,,,,,11.46M,75.89M,126.72M,,,,,,134.56M,50.73M,83.83M,,83.83M,83.83M,128.56M,1.836M,126.72M,11.42,0.0,,11.42,11.42,8.9,0.0,,8.9,8.9,7.341M,9.419M
2002-03,692.26M,692.26M,513.23M,179.02M,,52.50M,,,,,,0.327M,52.82M,126.20M,,,,,,123.14M,46.42M,76.71M,,76.71M,76.71M,127.98M,1.777M,126.20M,10.37,0.0,,10.37,10.37,8.17,0.0,,8.17,8.17,7.398M,7.398M
2001-12,726.29M,726.29M,559.41M,166.88M,,56.65M,2.086M,,,,,,79.93M,86.95M,,,,,,111.70M,44.68M,67.02M,,67.02M,67.02M,91.28M,4.328M,86.95M,8.88,0.0,,8.88,8.88,7.29,0.0,,7.29,7.29,7.443M,9.116M
2001-09,692.81M,692.81M,530.04M,162.77M,,54.75M,2.085M,,,,,,56.83M,105.94M,,,,,,104.15M,41.66M,62.49M,,62.49M,62.49M,109.51M,3.572M,105.94M,8.02,0.0,,8.02,8.02,6.68,0.0,,6.68,6.68,7.792M,9.355M
2001-06,648.46M,648.46M,505.68M,142.79M,,54.04M,2.086M,14.33M,,,,,56.13M,86.66M,,,,14.33M,,98.94M,39.57M,59.36M,,59.36M,50.76M,90.68M,4.022M,86.66M,7.3,0.0,,6.242000000000001,7.3,6.1,0.0,,5.216,6.1,8.132M,9.731M
2001-03,531.70M,531.70M,407.16M,124.53M,,39.43M,2.085M,,,,,,41.52M,83.01M,,,,,,79.87M,31.95M,47.92M,,47.92M,47.92M,86.25M,3.24M,83.01M,5.74,0.0,,5.74,5.74,4.84,0.0,,4.84,4.84,8.348M,9.901M
2000-12,618.52M,618.52M,497.83M,120.69M,,51.48M,,4.112M,,,,,44.69M,76.01M,,,,4.112M,,78.50M,31.95M,46.55M,,46.55M,44.09M,79.58M,3.574M,76.01M,5.23,0.0,,4.9510000000000005,5.23,4.95,0.0,,4.671,4.95,8.849M,8.849M
2000-09,617.67M,617.67M,484.15M,133.52M,,52.35M,,,,,,,55.70M,77.82M,,,,,,74.05M,30.14M,43.91M,,43.91M,43.91M,81.17M,3.349M,77.82M,4.93,0.0,,4.93,4.93,3.97,0.0,,3.97,3.97,8.908M,11.06M
2000-06,558.51M,558.51M,453.59M,104.92M,,44.61M,,8.68M,,,,,48.09M,56.82M,,,,8.68M,,62.74M,25.53M,37.20M,,37.20M,32.00M,60.30M,3.478M,56.82M,4.09,0.0,,3.517,4.09,3.37,0.0,,2.898,3.37,9.096M,11.04M
