,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,248.00M,,248.00M,1.279B,160.00M,1.482B,273.00M,254.00M,51.00M,,,2.31B,,1.12B,38.84B,-10.27B,28.57B,5.618B,,5.618B,1.303B,,,945.00M,36.48B,38.80B,1.005B,530.00M,1.535B,,1.535B,,2.357B,2.357B,919.00M,5.065B,580.00M,16.74B,16.74B,2.505B,124.00M,2.629B,2.717B,,,1.057B,26.36B,31.42B,210.00M,-4.858B,11.94B,162.00M,86.00M,7.375B
2017-12,588.00M,,588.00M,754.00M,171.00M,1.452B,236.00M,151.00M,51.00M,,,3.11B,,999.00M,38.11B,-10.01B,28.10B,5.618B,,5.618B,1.328B,,,4.06B,39.15B,42.26B,827.00M,533.00M,1.36B,,1.36B,,858.00M,858.00M,1.638B,4.113B,570.00M,18.69B,18.69B,3.171B,130.00M,3.301B,3.975B,,,1.438B,34.22B,38.33B,44.00M,-6.262B,10.00B,,142.00M,3.925B
2017-09,399.00M,,399.00M,1.37B,173.00M,1.542B,543.00M,123.00M,,,289.00M,2.931B,,1.355B,45.58B,-16.09B,29.50B,5.618B,,5.618B,3.143B,,,1.53B,40.72B,43.65B,924.00M,520.00M,1.444B,,1.444B,,1.576B,1.576B,898.00M,4.255B,1.55B,21.09B,21.09B,4.225B,875.00M,5.10B,3.814B,,,1.435B,32.99B,37.24B,44.00M,-3.763B,9.974B,,151.00M,6.406B
2017-06,114.00M,,114.00M,1.375B,161.00M,1.536B,553.00M,227.00M,,,280.00M,2.755B,,1.249B,45.18B,-16.00B,29.18B,5.618B,,5.618B,3.095B,,,1.686B,40.57B,43.33B,932.00M,518.00M,1.45B,,1.45B,2.24B,2.24B,2.24B,664.00M,4.647B,1.526B,20.58B,20.58B,3.992B,892.00M,4.884B,3.784B,,,1.584B,32.36B,37.01B,44.00M,-4.159B,10.27B,,163.00M,6.32B
2017-03,164.00M,,164.00M,1.396B,156.00M,1.551B,531.00M,202.00M,,,269.00M,2.76B,,1.588B,44.56B,-15.77B,28.80B,5.618B,,5.618B,3.09B,,,1.949B,40.45B,43.21B,977.00M,555.00M,1.532B,,1.532B,4.897B,4.897B,4.897B,921.00M,7.657B,1.505B,17.76B,17.76B,3.882B,905.00M,4.787B,3.756B,,,1.606B,29.42B,37.07B,44.00M,-4.333B,10.25B,,175.00M,6.139B
2016-12,199.00M,,199.00M,833.00M,176.00M,1.615B,564.00M,256.00M,,,176.00M,2.95B,,1.351B,45.12B,-15.73B,29.39B,5.618B,,5.618B,3.026B,,,1.153B,40.20B,43.15B,1.043B,580.00M,1.623B,,1.623B,,4.36B,4.36B,780.00M,7.126B,1.482B,18.19B,18.19B,3.765B,919.00M,4.684B,3.719B,,,1.547B,29.78B,36.91B,44.00M,-4.532B,10.56B,,174.00M,6.241B
2016-09,551.00M,,551.00M,1.47B,162.00M,1.629B,699.00M,204.00M,,,245.00M,3.48B,,2.394B,53.28B,-15.45B,37.83B,5.618B,,5.618B,3.035B,,,907.00M,48.48B,51.96B,944.00M,537.00M,1.481B,,1.481B,4.191B,4.191B,4.191B,1.006B,7.043B,1.459B,18.53B,18.53B,7.136B,939.00M,8.075B,4.08B,,,1.269B,33.42B,40.46B,43.00M,1.264B,10.01B,,184.00M,11.50B
2016-06,199.00M,,199.00M,1.341B,156.00M,1.494B,759.00M,280.00M,,,183.00M,3.076B,,2.389B,52.76B,-15.30B,37.46B,5.618B,,5.618B,2.983B,,,1.076B,48.32B,51.40B,938.00M,439.00M,1.377B,,1.377B,4.252B,4.252B,4.252B,789.00M,6.759B,1.448B,18.35B,18.35B,6.888B,955.00M,7.843B,4.177B,0.00,,1.419B,33.24B,39.99B,42.00M,1.19B,9.984B,,191.00M,11.41B
2016-03,146.00M,,146.00M,1.432B,167.00M,1.594B,781.00M,267.00M,,,235.00M,3.23B,,2.694B,53.06B,-15.42B,37.64B,6.418B,,6.418B,2.886B,,,1.238B,49.46B,52.70B,1.00B,513.00M,1.513B,,1.513B,3.48B,3.48B,3.48B,1.087B,6.389B,1.427B,18.88B,18.88B,6.996B,976.00M,7.972B,4.135B,1.00M,,1.43B,33.84B,40.23B,42.00M,2.279B,9.963B,,179.00M,12.46B
2015-12,131.00M,,131.00M,836.00M,185.00M,1.595B,785.00M,135.00M,,,237.00M,3.04B,,2.422B,52.37B,-15.16B,37.21B,6.418B,,6.418B,2.788B,,,1.286B,49.05B,52.09B,1.075B,519.00M,1.594B,,1.594B,2.874B,2.874B,2.874B,800.00M,5.602B,1.41B,19.10B,19.10B,6.773B,988.00M,7.761B,4.245B,1.00M,,1.555B,34.07B,39.67B,42.00M,2.256B,9.952B,,171.00M,12.42B
2015-09,86.00M,,86.00M,1.592B,185.00M,1.772B,738.00M,148.00M,,639.00M,294.00M,3.833B,,2.327B,51.53B,-14.92B,36.61B,6.418B,,6.418B,3.154B,,,1.218B,48.83B,52.66B,994.00M,508.00M,1.502B,,1.502B,3.081B,3.081B,3.081B,948.00M,5.876B,1.429B,19.09B,19.09B,7.581B,1.004B,8.585B,3.861B,1.00M,,1.191B,34.16B,40.04B,42.00M,2.482B,9.926B,,177.00M,12.63B
2015-06,94.00M,,94.00M,1.59B,186.00M,1.771B,792.00M,235.00M,,743.00M,307.00M,4.113B,,2.282B,51.14B,-14.73B,36.42B,6.418B,,6.418B,3.234B,,,1.301B,48.89B,53.00B,1.034B,467.00M,1.501B,,1.501B,4.20B,4.20B,4.20B,765.00M,6.789B,1.411B,18.57B,18.57B,7.485B,1.01B,8.495B,3.836B,1.00M,,1.373B,33.68B,40.47B,42.00M,2.391B,9.895B,,202.00M,12.53B
2015-03,90.00M,,90.00M,1.675B,206.00M,1.876B,762.00M,225.00M,,548.00M,377.00M,4.011B,,2.633B,50.62B,-14.51B,36.12B,6.418B,,6.418B,3.258B,,,1.345B,48.51B,52.52B,1.102B,503.00M,1.605B,,1.605B,3.346B,3.346B,3.346B,1.062B,6.262B,1.39B,19.13B,19.13B,7.211B,1.029B,8.24B,3.817B,2.00M,,1.332B,33.91B,40.17B,42.00M,2.205B,9.871B,,230.00M,12.35B
2014-12,85.00M,,85.00M,914.00M,230.00M,1.779B,817.00M,128.00M,,,390.00M,3.358B,,2.449B,49.93B,-14.15B,35.78B,6.418B,,6.418B,3.222B,,,1.456B,48.29B,51.65B,1.279B,490.00M,1.769B,,1.769B,2.603B,2.603B,2.603B,860.00M,5.561B,1.387B,19.18B,19.18B,6.539B,1.041B,7.58B,3.932B,2.00M,,1.59B,33.66B,39.23B,42.00M,2.285B,9.847B,,246.00M,12.42B
2014-09,109.00M,,109.00M,1.605B,219.00M,1.819B,771.00M,185.00M,,327.00M,394.00M,3.785B,,2.301B,48.96B,-14.04B,34.92B,6.418B,,6.418B,3.259B,,,1.169B,47.44B,51.22B,1.19B,489.00M,1.679B,,1.679B,3.007B,3.007B,3.007B,1.016B,5.979B,1.755B,18.53B,18.53B,7.188B,1.055B,8.243B,2.754B,2.00M,,1.258B,32.54B,38.52B,42.00M,2.592B,9.836B,,232.00M,12.70B
2014-06,76.00M,,76.00M,1.731B,234.00M,1.962B,802.00M,246.00M,,377.00M,471.00M,4.183B,,2.18B,48.31B,-13.80B,34.52B,6.418B,,6.418B,3.26B,,,1.279B,47.20B,51.39B,1.341B,397.00M,1.738B,,1.738B,3.339B,3.339B,3.339B,813.00M,6.173B,1.73B,18.42B,18.42B,7.081B,1.078B,8.159B,2.732B,2.00M,,1.494B,32.53B,38.70B,42.00M,2.56B,9.817B,,264.00M,12.68B
2014-03,109.00M,,109.00M,1.869B,221.00M,2.087B,740.00M,240.00M,,375.00M,779.00M,4.577B,,2.661B,47.44B,-13.56B,33.89B,6.418B,,6.418B,3.161B,,,1.386B,46.65B,51.23B,1.455B,527.00M,1.982B,,1.982B,4.501B,4.501B,4.501B,1.022B,7.737B,1.704B,16.80B,16.80B,7.028B,1.105B,8.133B,2.713B,3.00M,,1.532B,30.89B,38.62B,42.00M,2.496B,9.793B,,271.00M,12.60B
2013-12,218.00M,,218.00M,1.01B,201.00M,1.918B,752.00M,226.00M,,366.00M,367.00M,4.013B,,2.304B,46.53B,-13.28B,33.25B,6.418B,,6.418B,3.104B,,,1.783B,46.41B,50.42B,1.25B,485.00M,1.735B,,1.735B,4.819B,4.819B,4.819B,732.00M,7.637B,1.678B,15.83B,15.83B,6.968B,1.148B,8.116B,2.689B,3.00M,,1.778B,30.09B,37.73B,42.00M,2.59B,9.776B,,284.00M,12.69B
2013-09,222.00M,,222.00M,1.579B,234.00M,1.81B,731.00M,104.00M,,290.00M,262.00M,3.559B,,2.301B,46.39B,-13.17B,33.22B,6.418B,,6.418B,3.105B,,,1.932B,46.82B,50.38B,995.00M,401.00M,1.396B,,1.396B,5.293B,5.293B,5.293B,977.00M,7.955B,1.834B,15.29B,15.29B,6.603B,1.333B,7.936B,3.104B,3.00M,,1.716B,29.88B,37.84B,42.00M,2.448B,9.755B,,299.00M,12.54B
2013-06,71.00M,,71.00M,1.646B,280.00M,1.923B,806.00M,288.00M,,51.00M,248.00M,3.56B,,2.23B,46.12B,-13.03B,33.09B,6.447B,,6.447B,3.10B,,,1.638B,46.60B,50.16B,950.00M,338.00M,1.288B,,1.288B,5.206B,5.206B,5.206B,741.00M,7.533B,1.795B,15.45B,15.45B,6.427B,1.359B,7.786B,3.088B,4.00M,,1.703B,29.82B,37.35B,42.00M,2.69B,9.744B,,323.00M,12.80B
2013-03,67.00M,,67.00M,1.631B,230.00M,1.858B,835.00M,252.00M,,90.00M,214.00M,3.499B,,2.361B,46.11B,-12.82B,33.29B,6.447B,,6.447B,3.215B,,,1.665B,46.92B,50.42B,982.00M,392.00M,1.374B,,1.374B,4.446B,4.446B,4.446B,1.072B,7.132B,1.767B,15.81B,15.81B,6.542B,1.348B,7.89B,3.07B,4.00M,,1.751B,30.29B,37.42B,42.00M,2.854B,9.739B,,361.00M,13.00B
2012-12,172.00M,,172.00M,893.00M,319.00M,1.929B,861.00M,119.00M,,319.00M,208.00M,3.768B,,2.293B,45.50B,-12.47B,33.04B,6.447B,,6.447B,3.194B,,,1.719B,46.73B,50.49B,1.599B,543.00M,2.142B,,2.142B,3.968B,3.968B,3.968B,1.164B,7.605B,1.599B,15.18B,15.18B,6.616B,1.398B,8.014B,3.08B,9.00M,,1.924B,29.80B,37.40B,42.00M,2.888B,9.769B,,385.00M,13.08B
2012-09,150.00M,0.0,150.00M,1.831B,,1.831B,875.00M,227.00M,,224.00M,190.00M,3.709B,,2.119B,43.88B,-12.43B,31.44B,6.444B,,6.444B,3.451B,,1.58B,,45.03B,48.74B,925.00M,508.00M,1.433B,,1.433B,3.077B,3.077B,3.077B,1.097B,5.92B,1.574B,15.63B,15.63B,6.543B,900.00M,7.443B,2.271B,16.00M,,2.454B,29.37B,35.29B,42.00M,3.266B,9.758B,,367.00M,13.43B
2012-06,94.00M,0.0,94.00M,1.635B,265.00M,1.898B,921.00M,248.00M,,,171.00M,3.608B,,1.937B,43.10B,-12.34B,30.77B,6.444B,,6.444B,3.518B,,1.588B,,44.44B,48.05B,1.052B,436.00M,1.488B,,1.488B,3.467B,3.467B,3.467B,839.00M,6.082B,1.548B,15.16B,15.16B,6.042B,909.00M,6.951B,2.257B,15.00M,,2.539B,28.45B,34.54B,42.00M,3.31B,9.756B,,389.00M,13.50B
2012-03,74.00M,0.0,74.00M,1.449B,294.00M,1.735B,927.00M,213.00M,,,182.00M,3.477B,,2.065B,42.65B,-12.09B,30.57B,6.444B,,6.444B,3.482B,,1.716B,,44.21B,47.69B,918.00M,442.00M,1.36B,,1.36B,2.847B,2.847B,2.847B,1.308B,5.773B,1.522B,15.53B,15.53B,5.904B,917.00M,6.821B,2.24B,16.00M,,2.469B,28.58B,34.35B,42.00M,3.122B,9.754B,,405.00M,13.32B
2011-12,202.00M,,202.00M,800.00M,272.00M,1.794B,811.00M,191.00M,,0.00,122.00M,3.355B,,2.054B,42.18B,-11.84B,30.34B,6.441B,,6.441B,3.522B,,,1.641B,43.97B,47.33B,1.174B,558.00M,1.732B,,1.732B,1.621B,1.621B,1.621B,1.118B,4.855B,1.497B,15.72B,15.72B,5.67B,1.394B,7.064B,2.823B,19.00M,,2.072B,29.17B,34.03B,42.00M,3.047B,9.765B,,426.00M,13.28B
2011-09,291.00M,0.0,291.00M,1.633B,256.00M,1.88B,822.00M,214.00M,,,189.00M,3.591B,,1.72B,41.07B,-11.80B,29.27B,6.448B,910.00M,7.358B,3.132B,,751.00M,,43.07B,46.66B,1.009B,482.00M,1.491B,,1.491B,1.84B,1.84B,1.84B,1.182B,4.863B,1.473B,15.82B,15.82B,5.315B,934.00M,6.249B,2.045B,-31.00M,,3.193B,28.78B,33.65B,42.00M,4.658B,9.782B,,-1.436B,13.05B
2011-06,476.00M,0.0,476.00M,1.578B,264.00M,1.834B,866.00M,474.00M,,,203.00M,4.118B,502.00M,1.465B,41.54B,-11.59B,29.94B,6.456B,973.00M,7.429B,3.156B,,769.00M,,43.48B,47.60B,1.813B,399.00M,2.212B,,2.212B,2.714B,2.714B,2.714B,287.00M,5.544B,1.459B,16.49B,16.49B,5.219B,942.00M,6.161B,2.134B,-48.00M,,2.857B,29.10B,34.65B,42.00M,4.607B,9.782B,,-1.433B,13.00B
2011-03,1.101B,0.0,1.101B,1.636B,239.00M,1.865B,852.00M,241.00M,,,210.00M,4.646B,490.00M,2.322B,40.98B,-11.34B,29.64B,6.527B,1.075B,7.602B,3.081B,,818.00M,,43.22B,47.87B,1.08B,412.00M,1.492B,,1.492B,1.871B,1.871B,1.871B,1.487B,5.162B,1.443B,17.54B,17.54B,4.832B,951.00M,5.783B,2.313B,-40.00M,,2.941B,30.02B,35.18B,42.00M,4.426B,9.779B,,-1.518B,12.73B
2010-12,1.019B,,1.019B,1.392B,184.00M,1.568B,638.00M,199.00M,,,274.00M,3.698B,,1.517B,30.97B,-11.18B,19.79B,5.575B,,5.575B,3.002B,122.00M,794.00M,,31.11B,34.80B,872.00M,326.00M,1.198B,,1.198B,2.186B,2.186B,2.186B,999.00M,4.698B,1.407B,12.58B,12.58B,2.879B,959.00M,3.838B,1.868B,-32.00M,,1.902B,21.59B,26.29B,31.00M,4.609B,5.444B,,-1.539B,8.545B
2010-06,281.00M,,281.00M,1.409B,146.00M,1.555B,675.00M,397.00M,,,206.00M,3.114B,28.27B,3.00B,31.27B,-11.72B,19.55B,5.575B,,5.575B,2.955B,,,3.272B,31.35B,34.47B,848.00M,256.00M,1.104B,,1.104B,,3.034B,3.034B,907.00M,5.045B,,11.86B,11.86B,2.71B,976.00M,3.686B,1.531B,-20.00M,,3.524B,20.60B,25.65B,31.00M,4.747B,5.44B,,-1.379B,8.839B
2010-03,310.00M,,310.00M,1.255B,140.00M,1.395B,699.00M,236.00M,,,214.00M,2.854B,27.98B,2.931B,30.91B,-11.55B,19.36B,5.575B,,5.575B,2.986B,,,3.306B,31.22B,34.08B,772.00M,266.00M,1.038B,,1.038B,,2.669B,2.669B,1.179B,4.886B,,11.85B,11.85B,2.602B,984.00M,3.586B,1.527B,-11.00M,,3.697B,20.66B,25.54B,31.00M,4.482B,5.432B,,-1.399B,8.546B
2009-12,874.00M,,874.00M,1.244B,160.00M,1.397B,647.00M,248.00M,,,154.00M,3.32B,,2.735B,30.56B,-11.40B,19.16B,5.575B,,5.575B,3.023B,200.00M,666.00M,,30.98B,34.30B,829.00M,314.00M,1.143B,,1.143B,2.915B,2.915B,2.915B,837.00M,5.188B,1.425B,12.01B,12.01B,2.468B,993.00M,3.461B,1.534B,-2.00M,,2.131B,20.56B,25.75B,31.00M,4.495B,5.448B,,-1.415B,8.559B
2009-09,838.00M,,838.00M,1.26B,,1.26B,621.00M,585.00M,,,466.00M,3.77B,27.53B,2.49B,30.02B,-11.27B,18.75B,5.575B,,5.575B,3.107B,,,3.473B,30.90B,34.67B,692.00M,257.00M,949.00M,,949.00M,,3.673B,3.673B,1.114B,5.736B,,11.65B,11.65B,2.562B,1.001B,3.563B,1.50B,1.00M,,3.735B,20.44B,26.18B,31.00M,4.424B,5.438B,,-1.401B,8.492B
2009-06,900.00M,,900.00M,1.313B,127.00M,1.44B,644.00M,457.00M,,,209.00M,3.65B,27.32B,2.307B,29.62B,-11.11B,18.51B,5.575B,,5.575B,2.982B,,771.00M,2.819B,30.66B,34.31B,806.00M,259.00M,1.065B,,1.065B,,4.381B,4.381B,782.00M,6.228B,,10.40B,10.40B,2.447B,1.01B,3.457B,1.473B,28.00M,,3.748B,19.08B,25.30B,31.00M,4.525B,5.465B,,-1.048B,8.973B
2009-03,399.00M,,399.00M,1.266B,,1.266B,657.00M,318.00M,,,364.00M,3.004B,26.76B,2.397B,29.15B,-10.95B,18.21B,5.575B,,5.575B,2.899B,,934.00M,2.938B,30.55B,33.56B,704.00M,281.00M,985.00M,,985.00M,,4.541B,4.541B,1.169B,6.695B,,9.697B,9.697B,2.13B,1.018B,3.148B,1.896B,34.00M,,3.837B,18.58B,25.27B,31.00M,4.11B,5.459B,,-1.35B,8.25B
2008-12,545.00M,,545.00M,1.304B,,1.304B,605.00M,,,,599.00M,3.053B,26.48B,2.062B,28.54B,-10.82B,17.72B,,,5.575B,,,,7.17B,30.47B,33.52B,794.00M,,794.00M,1.431B,2.225B,,4.873B,4.873B,,7.098B,,9.10B,9.10B,2.163B,,2.163B,,,,,11.26B,25.24B,31.00M,4.159B,5.473B,,-1.38B,8.283B
2008-09,181.00M,,181.00M,1.383B,,1.383B,587.00M,,,,653.00M,2.804B,26.14B,1.73B,27.87B,-10.71B,17.16B,,,5.583B,,,,8.018B,30.76B,33.56B,744.00M,,744.00M,1.402B,2.146B,,4.901B,4.901B,,7.047B,,8.674B,8.674B,2.793B,,2.793B,,,,,11.47B,24.26B,31.00M,3.994B,5.465B,,-189.00M,9.301B
2008-06,70.00M,,70.00M,1.553B,,1.553B,583.00M,,,,629.00M,2.835B,25.74B,1.565B,27.31B,-10.61B,16.70B,,,5.606B,,,,8.401B,30.71B,33.54B,930.00M,,930.00M,1.091B,2.021B,,5.116B,5.116B,,7.137B,,8.603B,8.603B,2.724B,,2.724B,,,,,11.33B,24.32B,31.00M,3.858B,5.461B,,-129.00M,9.221B
2008-03,70.00M,,70.00M,1.264B,,1.264B,570.00M,,,,466.00M,2.37B,24.89B,1.465B,26.36B,-10.45B,15.90B,,,5.606B,,,,8.534B,30.04B,32.42B,754.00M,,754.00M,1.583B,2.337B,,3.832B,3.832B,,6.169B,,8.332B,8.332B,2.717B,,2.717B,,,,,11.05B,23.42B,31.00M,3.596B,5.472B,,-108.00M,8.991B
2007-12,129.00M,,129.00M,1.256B,,1.256B,521.00M,,,,324.00M,2.23B,24.62B,1.112B,25.73B,-10.35B,15.38B,,,5.607B,,,,9.091B,30.08B,32.31B,777.00M,,777.00M,1.454B,2.231B,,2.917B,2.917B,,5.148B,,8.869B,8.869B,2.671B,,2.671B,,,,,11.54B,23.33B,31.00M,3.487B,5.509B,,-50.00M,8.977B
2007-09,30.00M,,30.00M,1.432B,,1.432B,543.00M,,,,401.00M,2.406B,24.35B,933.00M,25.29B,-10.25B,15.04B,,,5.609B,,,,8.60B,29.25B,31.65B,760.00M,,760.00M,1.78B,2.54B,,2.838B,2.838B,,5.378B,,8.617B,8.617B,2.317B,,2.317B,,,,,10.93B,22.88B,30.00M,3.387B,5.564B,,-213.00M,8.768B
2007-06,37.00M,,37.00M,1.594B,,1.594B,583.00M,,,,322.00M,2.536B,24.56B,785.00M,25.34B,-10.33B,15.01B,,,5.898B,,,,8.589B,29.50B,32.03B,801.00M,,801.00M,1.065B,1.866B,,4.416B,4.416B,,6.282B,,8.742B,8.742B,2.849B,,2.849B,,,,,11.59B,23.39B,30.00M,3.279B,5.55B,,-219.00M,8.64B
2007-03,89.00M,,89.00M,1.434B,,1.434B,591.00M,,,,233.00M,2.347B,24.22B,754.00M,24.98B,-10.19B,14.79B,,,5.898B,,,,8.759B,29.44B,31.79B,625.00M,,625.00M,1.433B,2.058B,,4.34B,4.34B,,6.398B,,8.546B,8.546B,2.826B,,2.826B,,,,,11.37B,23.49B,30.00M,2.941B,5.574B,,-246.00M,8.299B
2006-12,90.00M,,90.00M,1.267B,,1.267B,577.00M,,,,149.00M,2.083B,24.10B,617.00M,24.72B,-10.06B,14.67B,,,5.898B,,,,8.548B,29.11B,31.20B,726.00M,,726.00M,1.554B,2.28B,,2.975B,2.975B,,5.255B,,8.535B,8.535B,2.74B,,2.74B,,,,,11.28B,22.16B,32.00M,2.806B,6.466B,,-269.00M,9.035B
