,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-09,395.00M,,-57.00M,-2.00M,-59.00M,,,514.00M,514.00M,209.00M,,54.00M,,109.00M,-1.00M,32.00M,73.00M,-48.00M,,83.00M,-34.00M,105.00M,,1.327B,-543.00M,,-543.00M,,,-25.00M,-26.00M,-594.00M,395.00M,-975.00M,-580.00M,,,,,,-152.00M,,-152.00M,-9.00M,-741.00M,94.00M,-8.00M,86.00M,,884.00M,-489.00M,
2015-06,187.00M,,-9.00M,-12.00M,-21.00M,,,444.00M,444.00M,92.00M,,40.00M,,-101.00M,105.00M,-30.00M,0.00,-55.00M,,6.00M,130.00M,156.00M,,797.00M,-855.00M,,-855.00M,,,-60.00M,-30.00M,-945.00M,-44.00M,349.00M,305.00M,,,,,,-151.00M,,-151.00M,-2.00M,152.00M,90.00M,4.00M,94.00M,,200.00M,-244.00M,
2015-03,222.00M,,2.00M,-4.00M,-2.00M,,,425.00M,425.00M,127.00M,,,,-99.00M,-97.00M,30.00M,-116.00M,-213.00M,,-4.00M,-80.00M,-480.00M,,193.00M,-728.00M,,-728.00M,,,-2.00M,-18.00M,-748.00M,-48.00M,760.00M,712.00M,,,,,,-152.00M,,-152.00M,,560.00M,85.00M,5.00M,90.00M,,,-48.00M,
2014-12,-306.00M,,-60.00M,842.00M,774.00M,-1.064B,-50.00M,478.00M,478.00M,-165.00M,,27.00M,,-42.00M,49.00M,-46.00M,84.00M,3.00M,,51.00M,69.00M,210.00M,,976.00M,-974.00M,,-974.00M,,,-63.00M,-32.00M,-1.069B,53.00M,178.00M,231.00M,,,,,,-152.00M,,-152.00M,-10.00M,69.00M,109.00M,-24.00M,85.00M,,750.00M,-697.00M,
2014-09,333.00M,,20.00M,-18.00M,2.00M,370.00M,11.00M,381.00M,381.00M,168.00M,,7.00M,,38.00M,134.00M,31.00M,62.00M,-70.00M,,-23.00M,52.00M,186.00M,,1.115B,-704.00M,,-704.00M,,,17.00M,-34.00M,-721.00M,504.00M,-702.00M,-198.00M,,,,,,-150.00M,,-150.00M,-13.00M,-361.00M,76.00M,33.00M,109.00M,,641.00M,-137.00M,
2014-06,64.00M,,57.00M,-22.00M,36.00M,352.00M,30.00M,382.00M,382.00M,-22.00M,,3.00M,,-166.00M,124.00M,-62.00M,9.00M,-60.00M,,24.00M,382.00M,417.00M,,714.00M,-991.00M,,-991.00M,,,-60.00M,-3.00M,-1.054B,1.234B,-762.00M,472.00M,,,,,,-151.00M,,-151.00M,-14.00M,307.00M,109.00M,-33.00M,76.00M,,1.67B,-436.00M,
2014-03,122.00M,,-17.00M,-20.00M,-30.00M,342.00M,9.00M,351.00M,351.00M,181.00M,,,,42.00M,-168.00M,12.00M,-29.00M,4.00M,,2.00M,-579.00M,-758.00M,,-92.00M,-876.00M,,-876.00M,,,3.00M,358.00M,-515.00M,978.00M,-319.00M,659.00M,,,,,,-151.00M,,-151.00M,-10.00M,498.00M,218.00M,-109.00M,109.00M,,1.467B,-489.00M,
2013-12,142.00M,,-74.00M,-291.00M,-344.00M,-1.065B,,957.00M,957.00M,129.00M,,338.00M,,-513.00M,-107.00M,-21.00M,-67.00M,446.00M,,,93.00M,282.00M,,991.00M,-769.00M,,-769.00M,,,-38.00M,-11.00M,-818.00M,62.00M,0.00,62.00M,,,,,,-230.00M,,-230.00M,-9.00M,-177.00M,222.00M,-4.00M,218.00M,,1.00B,-938.00M,
2013-09,209.00M,,-2.00M,-29.00M,-61.00M,374.00M,,374.00M,374.00M,-5.00M,,21.00M,,238.00M,118.00M,75.00M,126.00M,121.00M,,,-38.00M,402.00M,,1.178B,-657.00M,,-657.00M,,,-38.00M,-10.00M,-705.00M,-194.00M,150.00M,-44.00M,,,,,,-230.00M,,-230.00M,-48.00M,-322.00M,71.00M,151.00M,222.00M,,500.00M,-694.00M,
2013-06,-168.00M,,13.00M,-40.00M,-3.00M,345.00M,,345.00M,345.00M,-15.00M,,526.00M,,-97.00M,-91.00M,16.00M,-26.00M,-64.00M,,,20.00M,-145.00M,,443.00M,-609.00M,,-609.00M,,,24.00M,-58.00M,-643.00M,-677.00M,1.104B,427.00M,,,,,,-230.00M,,-230.00M,7.00M,204.00M,67.00M,4.00M,71.00M,,445.00M,-1.122B,
2013-03,192.00M,,4.00M,-64.00M,57.00M,346.00M,,346.00M,346.00M,134.00M,,,,33.00M,-34.00M,26.00M,-159.00M,-453.00M,,,-92.00M,-712.00M,,50.00M,-853.00M,,-853.00M,,,-20.00M,-54.00M,-927.00M,954.00M,181.00M,1.135B,,,,,,-230.00M,,-230.00M,-133.00M,772.00M,172.00M,-105.00M,67.00M,,1.80B,-846.00M,
2012-12,-153.00M,,-93.00M,579.00M,486.00M,339.00M,,357.00M,357.00M,-65.00M,,17.00M,,-130.00M,28.00M,13.00M,139.00M,321.00M,,,31.00M,532.00M,,1.044B,-1.071B,,-1.071B,,,17.00M,-113.00M,-1.167B,20.00M,365.00M,385.00M,,,,,,-230.00M,,-230.00M,-10.00M,145.00M,150.00M,22.00M,172.00M,,90.00M,-70.00M,
2012-09,414.00M,,6.00M,-33.00M,-44.00M,320.00M,,320.00M,320.00M,289.00M,,3.00M,18.00M,54.00M,64.00M,46.00M,-34.00M,84.00M,,,0.00,160.00M,,1.214B,-892.00M,,-892.00M,,,-4.00M,-93.00M,-989.00M,354.00M,-286.00M,68.00M,,,,,,-230.00M,,-230.00M,-7.00M,-169.00M,94.00M,56.00M,150.00M,,478.00M,-124.00M,
2012-06,188.00M,,-22.00M,-25.00M,-47.00M,333.00M,,333.00M,333.00M,158.00M,,3.00M,-18.00M,51.00M,-164.00M,9.00M,-98.00M,-17.00M,,,77.00M,-193.00M,,475.00M,-412.00M,,-412.00M,,,-14.00M,-41.00M,-467.00M,-548.00M,815.00M,267.00M,,,,,,-230.00M,,-230.00M,-25.00M,12.00M,74.00M,20.00M,94.00M,,182.00M,-730.00M,
2012-03,306.00M,,-64.00M,-39.00M,-103.00M,337.00M,,337.00M,337.00M,265.00M,,4.00M,,-691.00M,59.00M,-118.00M,-19.00M,-302.00M,,,-151.00M,-531.00M,,-413.00M,-589.00M,,-589.00M,,,63.00M,-8.00M,-534.00M,-16.00M,1.075B,1.059B,,,,,,-230.00M,,-230.00M,-10.00M,819.00M,202.00M,-128.00M,74.00M,,0.00,-16.00M,
2011-12,86.00M,,,756.00M,191.00M,454.00M,,454.00M,454.00M,102.00M,-496.00M,373.00M,,-133.00M,8.00M,-48.00M,102.00M,198.00M,,,-3.00M,257.00M,,834.00M,-814.00M,,-814.00M,,0.00,30.00M,383.00M,-401.00M,-327.00M,0.00,-327.00M,,,,,,-230.00M,,-230.00M,35.00M,-522.00M,291.00M,-89.00M,202.00M,,1.00M,372.00M,
2011-09,530.00M,,,-107.00M,-142.00M,297.00M,,297.00M,297.00M,98.00M,182.00M,18.00M,4.00M,-11.00M,-60.00M,38.00M,267.00M,31.00M,,,-54.00M,222.00M,,1.198B,-446.00M,,-446.00M,,0.00,-18.00M,444.00M,-20.00M,-479.00M,-656.00M,-1.135B,,,,,,-231.00M,,-231.00M,3.00M,-1.363B,476.00M,-185.00M,291.00M,,100.00M,-1.235B,
2011-06,193.00M,,,-83.00M,-86.00M,287.00M,,287.00M,287.00M,394.00M,135.00M,10.00M,5.00M,-152.00M,35.00M,-16.00M,-386.00M,98.00M,,,23.00M,-246.00M,,540.00M,-569.00M,,-569.00M,,0.00,-77.00M,-30.00M,-676.00M,-357.00M,170.00M,-187.00M,,,,,,-230.00M,,-230.00M,-72.00M,-489.00M,1.101B,-625.00M,476.00M,,286.00M,-473.00M,
2011-03,47.00M,,,-210.00M,-238.00M,225.00M,,225.00M,225.00M,204.00M,179.00M,31.00M,-9.00M,-98.00M,164.00M,40.00M,118.00M,-196.00M,,,24.00M,150.00M,,491.00M,-449.00M,,-449.00M,,590.00M,23.00M,-23.00M,141.00M,-142.00M,-214.00M,-356.00M,,,,,,-190.00M,,-190.00M,-4.00M,-550.00M,1.019B,82.00M,1.101B,,217.00M,-573.00M,
2010-12,138.00M,,32.00M,56.00M,-43.00M,353.00M,,353.00M,353.00M,191.00M,-672.00M,106.00M,,750.00M,-5.00M,8.00M,104.00M,78.00M,,,,180.00M,,1.003B,-496.00M,,-496.00M,,110.00M,-4.00M,-113.00M,-503.00M,255.00M,-207.00M,48.00M,,,,,,-167.00M,,-167.00M,6.00M,-113.00M,632.00M,387.00M,1.019B,,848.00M,-422.00M,
2010-09,175.00M,,-39.00M,75.00M,122.00M,182.00M,,182.00M,182.00M,100.00M,223.00M,294.00M,,-12.00M,-16.00M,11.00M,77.00M,59.00M,,,,131.00M,,1.215B,-470.00M,,-470.00M,,-5.00M,-17.00M,14.00M,-478.00M,236.00M,-452.00M,-216.00M,,,,,,-168.00M,,-168.00M,-2.00M,-386.00M,281.00M,351.00M,632.00M,,-30.00M,-186.00M,
2010-06,256.00M,,,54.00M,97.00M,190.00M,,190.00M,190.00M,100.00M,196.00M,9.00M,,-203.00M,-158.00M,25.00M,-114.00M,-46.00M,,,,-293.00M,,352.00M,-489.00M,,-489.00M,,-4.00M,13.00M,-11.00M,-491.00M,-298.00M,576.00M,278.00M,,,,,,-167.00M,,-167.00M,-1.00M,110.00M,310.00M,-29.00M,281.00M,,281.00M,-3.00M,
2010-03,149.00M,,,-81.00M,-81.00M,193.00M,,193.00M,193.00M,59.00M,253.00M,12.00M,,-88.00M,2.00M,-42.00M,33.00M,16.00M,,,,9.00M,,506.00M,-508.00M,,-508.00M,,-101.00M,27.00M,106.00M,-476.00M,-109.00M,-295.00M,-404.00M,,,,,,-168.00M,,-168.00M,-22.00M,-594.00M,874.00M,-564.00M,310.00M,,0.00,-404.00M,
2009-12,236.00M,,-4.00M,2.00M,176.00M,186.00M,-995.00M,-809.00M,-809.00M,-37.00M,,29.00M,20.00M,-331.00M,-3.00M,-41.00M,330.00M,93.00M,,,55.00M,434.00M,,1.001B,-628.00M,,-628.00M,,,49.00M,182.00M,-397.00M,84.00M,-482.00M,-398.00M,,,,,,-167.00M,,-167.00M,-3.00M,-568.00M,838.00M,36.00M,874.00M,,481.00M,-879.00M,
2009-09,231.00M,,-172.00M,-387.00M,-684.00M,188.00M,301.00M,489.00M,489.00M,352.00M,,0.00,2.00M,54.00M,46.00M,24.00M,-170.00M,33.00M,,,-15.00M,-82.00M,,362.00M,-432.00M,,-432.00M,,,-66.00M,-117.00M,-615.00M,1.14B,-764.00M,376.00M,,,,,,-168.00M,,-168.00M,-17.00M,191.00M,900.00M,-62.00M,838.00M,,2.472B,-2.096B,
2009-06,408.00M,,,-27.00M,38.00M,185.00M,256.00M,441.00M,441.00M,97.00M,,3.00M,11.00M,-160.00M,-14.00M,13.00M,-108.00M,-89.00M,,,,-198.00M,,640.00M,-489.00M,,-489.00M,0.0,,0.00,-6.00M,-495.00M,542.00M,0.00,542.00M,,,,,,-167.00M,,-167.00M,-19.00M,356.00M,399.00M,501.00M,900.00M,,979.00M,-437.00M,
2009-03,115.00M,,,-66.00M,-65.00M,177.00M,438.00M,615.00M,615.00M,-28.00M,,36.00M,-13.00M,-143.00M,46.00M,-7.00M,-71.00M,-23.00M,,,,-55.00M,,462.00M,-654.00M,,-654.00M,0.0,,0.00,-24.00M,-678.00M,256.00M,0.00,256.00M,,,,,,-168.00M,,-168.00M,-18.00M,70.00M,545.00M,-146.00M,399.00M,,700.00M,-444.00M,
2008-12,328.00M,,-20.00M,-13.00M,-83.00M,177.00M,-877.00M,-700.00M,-700.00M,88.00M,,60.00M,10.00M,-216.00M,88.00M,-18.00M,-4.00M,68.00M,,,,141.00M,,793.00M,-711.00M,,-711.00M,,,48.00M,-30.00M,-693.00M,435.00M,5.00M,440.00M,,,,,,-168.00M,,-168.00M,-8.00M,264.00M,181.00M,364.00M,545.00M,,741.00M,-301.00M,
2008-09,471.00M,,-43.00M,13.00M,-78.00M,168.00M,322.00M,490.00M,490.00M,149.00M,,25.00M,-2.00M,-38.00M,19.00M,-3.00M,134.00M,-55.00M,,,,95.00M,,1.112B,-560.00M,,-560.00M,,,-97.00M,-28.00M,-685.00M,68.00M,-216.00M,-148.00M,,,,,,-168.00M,,-168.00M,0.00,-316.00M,70.00M,111.00M,181.00M,,-134.00M,-14.00M,
2008-06,263.00M,,,2.00M,57.00M,168.00M,271.00M,439.00M,439.00M,40.00M,,22.00M,-37.00M,-286.00M,-130.00M,-14.00M,-293.00M,-101.00M,,,,-538.00M,,-40.00M,-906.00M,,-906.00M,,,-19.00M,-38.00M,-963.00M,198.00M,959.00M,1.157B,,,,,,-167.00M,,-167.00M,13.00M,1.003B,70.00M,0.00,70.00M,,1.508B,-351.00M,
2008-03,277.00M,,,-142.00M,-171.00M,164.00M,284.00M,448.00M,448.00M,89.00M,,16.00M,-35.00M,-205.00M,-6.00M,-17.00M,-100.00M,63.00M,,,,-60.00M,,359.00M,-711.00M,,-711.00M,,,35.00M,34.00M,-642.00M,-368.00M,746.00M,378.00M,,,,,,-168.00M,,-168.00M,14.00M,224.00M,129.00M,-59.00M,70.00M,,746.00M,-368.00M,
2007-12,268.00M,,,,0.00,,,,421.00M,149.00M,,,,-283.00M,193.00M,17.00M,,66.00M,49.00M,,-396.00M,-71.00M,,484.00M,-506.00M,5.00M,-501.00M,,,-35.00M,51.00M,-485.00M,,,306.00M,,-51.00M,-51.00M,,,,,-152.00M,-3.00M,100.00M,30.00M,99.00M,129.00M,,,,-51.00M
2007-09,413.00M,,,,298.00M,,,,475.00M,-243.00M,,,,-408.00M,-47.00M,40.00M,,-43.00M,118.00M,,476.00M,544.00M,,1.079B,-430.00M,25.00M,-405.00M,,,-114.00M,1.329B,810.00M,,,-1.719B,,0.00,0.00,,,,,-153.00M,-24.00M,-1.896B,37.00M,-7.00M,30.00M,,,,0.00
2007-06,338.00M,,,,-86.00M,,,,429.00M,32.00M,,,,-314.00M,-127.00M,7.00M,,136.00M,-83.00M,,-144.00M,-211.00M,,188.00M,-401.00M,12.00M,-389.00M,,,21.00M,20.00M,-348.00M,,,261.00M,,-27.00M,-27.00M,,,,,-152.00M,26.00M,108.00M,89.00M,-52.00M,37.00M,,,,-27.00M
2007-03,290.00M,,,,-294.00M,,,,433.00M,53.00M,,,,-344.00M,-155.00M,15.00M,,-108.00M,-74.00M,,127.00M,-195.00M,,-57.00M,-296.00M,,-296.00M,,,25.00M,-19.00M,-290.00M,,,1.376B,,-891.00M,-891.00M,,,,,-159.00M,20.00M,346.00M,90.00M,-1.00M,89.00M,,,,-891.00M
2006-12,275.00M,,,,55.00M,,,,370.00M,123.00M,,,,-162.00M,112.00M,5.00M,,192.00M,52.00M,-232.00M,-94.00M,35.00M,0.00,696.00M,-325.00M,79.00M,-246.00M,,,132.00M,-173.00M,-287.00M,,,-135.00M,,-86.00M,-86.00M,,,,,-147.00M,8.00M,-360.00M,41.00M,49.00M,90.00M,,,,-86.00M
2006-09,224.00M,,,,-177.00M,,,,464.00M,4.00M,,,,78.00M,-90.00M,41.00M,,-53.00M,110.00M,29.00M,130.00M,167.00M,-2.00M,758.00M,-251.00M,20.00M,-231.00M,,,-122.00M,115.00M,-238.00M,,,-215.00M,30.00M,-707.00M,-677.00M,,,,,-143.00M,-27.00M,-1.062B,583.00M,-542.00M,41.00M,30.00M,,,-707.00M
2006-06,534.00M,,,,42.00M,,,,565.00M,26.00M,,,,-664.00M,-143.00M,-19.00M,,74.00M,-66.00M,-29.00M,-167.00M,-350.00M,8.00M,161.00M,-292.00M,6.00M,-286.00M,,,8.00M,4.00M,-274.00M,,,803.00M,-30.00M,30.00M,0.00,,,,,-148.00M,13.00M,668.00M,28.00M,555.00M,583.00M,-30.00M,,,30.00M
2006-03,221.00M,,,,-46.00M,,,,148.00M,6.00M,,,,-79.00M,226.00M,-52.00M,,-114.00M,-93.00M,,109.00M,76.00M,-2.00M,324.00M,-447.00M,57.00M,-390.00M,,,103.00M,-23.00M,-310.00M,,,136.00M,,-30.00M,-30.00M,,,,,-148.00M,-8.00M,-50.00M,64.00M,-36.00M,28.00M,,,,-30.00M
2005-12,191.00M,,,,-545.00M,,,,495.00M,130.00M,,,,,139.00M,-20.00M,,-28.00M,60.00M,,-124.00M,27.00M,6.00M,304.00M,-452.00M,0.00,-452.00M,,,-21.00M,-80.00M,-553.00M,,,298.00M,,0.00,0.00,,,,,-134.00M,9.00M,173.00M,140.00M,-76.00M,64.00M,,,,0.00
2005-09,332.00M,,,,-51.00M,,,,534.00M,-38.00M,,,,,-91.00M,12.00M,,-44.00M,102.00M,,239.00M,218.00M,0.00,995.00M,-294.00M,0.00,-294.00M,,,-14.00M,-16.00M,-324.00M,,,-243.00M,,-170.00M,-170.00M,,,,,-142.00M,-26.00M,-581.00M,50.00M,90.00M,140.00M,,,,-170.00M
