,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.614B,2.862B,959.00M,1.903B,,,,,,254.00M,233.00M,,-233.00M,1.069B,1.323B,580.00M,,233.00M,-233.00M,67.00M,-233.00M,414.00M,233.00M,181.00M,1.188B,,,156.00M,1.369B,181.00M,927.00M,280.00M,647.00M,0.05,2.5,,,0.05,2.55,0.05,2.49,,,0.05,2.54,476.00M,478.00M,0.36
2017-12,2.466B,2.681B,812.00M,1.869B,,,,,,237.00M,241.00M,,-241.00M,1.14B,1.479B,390.00M,,241.00M,-241.00M,22.00M,-241.00M,171.00M,1.232B,-1.061B,-1.438B,,,,-2.499B,-1.061B,805.00M,393.00M,412.00M,-5.62,-3.24,,,-5.62,-5.62,-5.62,-3.24,,,-5.62,-5.62,444.00M,444.00M,0.36
2017-09,2.671B,2.91B,900.00M,2.01B,,,,,-13.00M,238.00M,249.00M,,-249.00M,1.026B,1.264B,746.00M,,249.00M,-249.00M,6.00M,-249.00M,503.00M,202.00M,301.00M,95.00M,,,,396.00M,308.80M,1.23B,478.00M,752.00M,0.68,0.21,,,0.6976,0.89,0.68,0.21,,,0.6975,0.89,444.00M,446.00M,0.36
2017-06,2.598B,2.624B,813.00M,1.811B,,,,,,230.00M,234.00M,,-234.00M,1.007B,1.237B,574.00M,,234.00M,-234.00M,11.00M,-234.00M,351.00M,132.00M,219.00M,-45.00M,,,,174.00M,219.00M,998.00M,413.00M,585.00M,0.49,-0.1,,,0.49,0.39,0.49,-0.1,,,0.49,0.39,444.00M,445.00M,0.36
2017-03,2.813B,2.855B,995.00M,1.86B,,,,,,242.00M,233.00M,,-233.00M,990.00M,1.232B,628.00M,,233.00M,-233.00M,14.00M,-233.00M,409.00M,152.00M,257.00M,-52.00M,,,,205.00M,257.00M,1.058B,416.00M,642.00M,0.58,-0.12,,,0.58,0.46,0.58,-0.12,,,0.58,0.46,443.00M,444.00M,0.36
2016-12,-1.379B,-487.00M,-380.00M,-107.00M,,,,,1.404B,127.00M,134.00M,,-134.00M,-222.00M,7.00M,-114.00M,,134.00M,-134.00M,1.373B,-134.00M,1.125B,193.00M,932.00M,,,,,-5.796B,-231.14M,1.756B,497.00M,1.259B,-13.44,,,,-16.15,-13.44,-13.44,,,,-16.15,-13.44,429.00M,429.00M,0.36
2016-09,3.917B,3.917B,1.429B,2.488B,,,,,0.00,265.00M,258.00M,,-258.00M,1.362B,1.627B,861.00M,,258.00M,-258.00M,28.00M,-258.00M,631.00M,251.00M,380.00M,,,,,380.00M,363.14M,1.416B,527.00M,889.00M,0.89,,,,0.8503,0.89,0.89,,,,0.8505,0.89,425.00M,427.00M,0.36
2016-06,3.401B,3.401B,1.327B,2.074B,,,,,-1.447B,241.00M,263.00M,,-263.00M,1.361B,1.602B,472.00M,,263.00M,-263.00M,-1.428B,-263.00M,-1.219B,-130.00M,-1.089B,,,,,-1.089B,186.20M,-467.00M,489.00M,-956.00M,-2.56,,,,0.4405,-2.56,-2.56,,,,0.4405,-2.56,425.00M,425.00M,0.36
2016-03,3.869B,3.869B,1.505B,2.364B,,,,,,280.00M,263.00M,,-263.00M,1.308B,1.588B,776.00M,,263.00M,-263.00M,28.00M,-263.00M,541.00M,213.00M,328.00M,,,,,328.00M,311.03M,1.265B,461.00M,804.00M,0.78,,,,0.74,0.78,0.77,,,,0.7302,0.77,424.00M,426.00M,0.36
2015-12,3.541B,3.541B,1.589B,1.952B,,,,,-380.00M,231.00M,262.00M,,-262.00M,1.225B,1.698B,254.00M,,262.00M,-262.00M,-388.00M,-262.00M,-396.00M,-170.00M,-226.00M,,,,,-226.00M,6.80M,309.00M,443.00M,-134.00M,-0.53,0.0,,,0.0217,-0.53,-0.53,0.0,,,0.0152,-0.53,422.00M,427.00M,0.36
2015-09,4.123B,4.123B,1.691B,2.432B,,,,,-8.00M,236.00M,259.00M,,-259.00M,1.28B,1.516B,916.00M,,259.00M,-259.00M,-36.00M,-259.00M,621.00M,226.00M,395.00M,,,,,395.00M,417.90M,1.394B,514.00M,880.00M,0.94,,,,0.9941,0.94,0.93,,,,0.9840000000000001,0.93,423.00M,424.00M,0.36
2015-06,3.465B,3.465B,1.372B,2.093B,,,,,-16.00M,242.00M,249.00M,,-249.00M,1.281B,1.523B,570.00M,,249.00M,-249.00M,-19.00M,-249.00M,302.00M,115.00M,187.00M,,,,,187.00M,198.76M,995.00M,444.00M,551.00M,0.44,,,,0.4679,0.44,0.44,,,,0.4678,0.44,422.00M,423.00M,0.36
2015-03,3.897B,3.897B,1.626B,2.271B,,,,,,269.00M,245.00M,,-245.00M,1.408B,1.677B,594.00M,,245.00M,-245.00M,17.00M,-245.00M,366.00M,144.00M,222.00M,,,,,222.00M,211.68M,1.036B,425.00M,611.00M,0.53,,,,0.5055,0.53,0.53,,,,0.5056,0.53,421.00M,423.00M,0.36
2014-12,3.483B,3.483B,1.559B,1.924B,,,,,8.00M,224.00M,250.00M,,-250.00M,1.202B,2.261B,-337.00M,,250.00M,-250.00M,13.00M,-250.00M,-574.00M,-268.00M,-306.00M,0.00,,,,-306.00M,-314.45M,154.00M,478.00M,-324.00M,-0.73,0.0,,,-0.75,-0.73,-0.73,0.0,,,-0.7499,-0.73,423.00M,424.00M,0.36
2014-09,3.888B,3.888B,1.732B,2.156B,,,,,0.00,239.00M,247.00M,,-247.00M,1.201B,1.44B,716.00M,,247.00M,-247.00M,16.00M,-247.00M,485.00M,152.00M,333.00M,0.00,,,,333.00M,322.01M,1.113B,381.00M,732.00M,0.79,0.0,,,0.7638,0.79,0.79,0.0,,,0.7639,0.79,420.00M,421.00M,0.36
2014-06,3.496B,3.496B,1.633B,1.863B,,,,,-1.00M,228.00M,230.00M,,-230.00M,1.343B,1.571B,292.00M,,230.00M,-230.00M,28.00M,-230.00M,90.00M,26.00M,64.00M,0.00,,,,64.00M,44.09M,702.00M,382.00M,320.00M,0.16,0.0,,,0.1126,0.16,0.15,0.0,,,0.1027,0.15,420.00M,421.00M,0.36
2014-03,4.182B,4.182B,2.072B,2.11B,,,,,-7.00M,271.00M,236.00M,,-236.00M,1.448B,1.719B,391.00M,,236.00M,-236.00M,15.00M,-236.00M,170.00M,48.00M,122.00M,86.00M,,,,208.00M,111.23M,757.00M,351.00M,406.00M,0.29,0.21,,,0.2643,0.5,0.29,0.2,,,0.2644,0.49,419.00M,420.00M,0.36
2013-12,3.633B,3.633B,1.612B,2.021B,,,,,-322.00M,231.00M,204.00M,,-204.00M,1.337B,1.312B,709.00M,,204.00M,-204.00M,-297.00M,-204.00M,208.00M,66.00M,142.00M,0.00,,,,142.00M,344.76M,1.369B,957.00M,412.00M,0.34,0.0,,,0.8251,0.34,0.34,0.0,,,0.8239,0.34,418.00M,419.00M,0.55
2013-09,4.032B,4.032B,1.777B,2.255B,,,,,9.00M,242.00M,236.00M,,-236.00M,1.505B,1.747B,508.00M,,236.00M,-236.00M,14.00M,-236.00M,286.00M,77.00M,209.00M,9.00M,,,,218.00M,198.77M,896.00M,374.00M,522.00M,0.5,0.02,,,0.4755,0.52,0.5,0.02,,,0.4756,0.52,418.00M,419.00M,0.55
2013-06,3.507B,3.507B,1.494B,2.013B,,,,,-497.00M,240.00M,233.00M,,-233.00M,1.258B,1.498B,515.00M,,233.00M,-233.00M,-512.00M,-233.00M,-230.00M,-62.00M,-168.00M,4.00M,,,,-164.00M,205.76M,348.00M,345.00M,3.00M,-0.4,0.01,,,0.4942,-0.39,-0.4,0.01,,,0.4942,-0.39,418.00M,418.00M,0.55
2013-03,3.723B,3.723B,1.576B,2.147B,,,,,-117.00M,265.00M,243.00M,,-243.00M,1.234B,1.499B,648.00M,,243.00M,-243.00M,-99.00M,-243.00M,306.00M,114.00M,192.00M,4.00M,,,,196.00M,254.17M,895.00M,346.00M,549.00M,0.46,0.01,,,0.6087,0.47,0.46,0.01,,,0.6084,0.47,418.00M,419.00M,0.55
2012-12,3.475B,3.475B,1.517B,1.958B,,,,,0.00,224.00M,215.00M,,-215.00M,1.182B,2.015B,-57.00M,,215.00M,-215.00M,14.00M,-215.00M,-258.00M,-105.00M,-153.00M,5.00M,,0.00,,-148.00M,-162.10M,314.00M,357.00M,-43.00M,-0.36,0.01,,,-0.3818,-0.35,-0.36,0.01,,,-0.3817,-0.35,418.00M,419.00M,0.55
2012-09,4.052B,4.052B,1.699B,2.353B,,,,,0.00,257.00M,212.00M,,-212.00M,1.194B,1.451B,902.00M,,212.00M,-212.00M,39.00M,-212.00M,729.00M,307.00M,422.00M,3.00M,,0.00,,425.00M,396.65M,1.261B,320.00M,941.00M,1.01,0.01,,,0.9492,1.02,1.0,0.01,,,0.9395,1.01,417.00M,419.00M,0.55
2012-06,3.755B,3.755B,1.698B,2.057B,,,,,0.00,232.00M,255.00M,,-255.00M,1.268B,1.50B,557.00M,,255.00M,-255.00M,13.00M,-255.00M,315.00M,127.00M,188.00M,,,-1.00M,,187.00M,179.20M,903.00M,333.00M,570.00M,0.45,,,,0.4313,0.45,0.45,,,,0.4314,0.45,417.00M,419.00M,0.55
2012-03,3.99B,3.99B,1.80B,2.19B,,,,,0.00,272.00M,229.00M,,-229.00M,1.172B,1.444B,746.00M,,229.00M,-229.00M,11.00M,-229.00M,528.00M,222.00M,306.00M,,,,,306.00M,298.85M,1.094B,337.00M,757.00M,0.73,,,,0.7129,0.73,0.73,,,,0.713,0.73,418.00M,420.00M,0.55
2011-12,3.75B,3.75B,1.716B,2.034B,,-2.544B,,,,229.00M,175.00M,,-230.00M,5.141B,2.017B,17.00M,,175.00M,-230.00M,315.00M,-230.00M,102.00M,16.00M,86.00M,,,-1.00M,,98.00M,73.20M,731.00M,454.00M,277.00M,0.18,0.03,,,0.1519,0.21,0.18,0.03,,,0.152,0.21,420.00M,422.00M,0.55
2011-09,4.719B,4.719B,1.981B,2.738B,,993.00M,297.00M,,,269.00M,267.00M,17.00M,-250.00M,122.00M,1.681B,1.057B,17.00M,267.00M,-250.00M,48.00M,-250.00M,855.00M,325.00M,530.00M,,,2.00M,,532.00M,502.25M,1.419B,297.00M,1.122B,1.27,0.0,,,1.199,1.27,1.27,0.0,,,1.199,1.27,418.00M,420.00M,0.55
2011-06,4.06B,4.06B,1.855B,2.205B,,1.065B,287.00M,,,242.00M,265.00M,20.00M,-245.00M,90.00M,1.684B,521.00M,20.00M,265.00M,-245.00M,31.00M,-245.00M,307.00M,114.00M,193.00M,,,10.00M,,203.00M,183.51M,859.00M,287.00M,572.00M,0.48,0.0,,,0.4334,0.48,0.48,0.0,,,0.4336,0.48,418.00M,420.00M,0.55
2011-03,3.576B,3.576B,1.639B,1.937B,,993.00M,225.00M,,,237.00M,231.00M,18.00M,-213.00M,132.00M,1.587B,350.00M,18.00M,231.00M,-213.00M,21.00M,-213.00M,158.00M,111.00M,47.00M,,,5.00M,,52.00M,38.35M,614.00M,225.00M,389.00M,0.15,0.0,,,0.1101,0.15,0.15,0.0,,,0.1102,0.15,342.00M,343.00M,0.55
2010-12,3.171B,3.171B,1.352B,1.819B,,-1.922B,,,-80.00M,189.00M,52.00M,,-174.00M,3.651B,1.353B,466.00M,,52.00M,-174.00M,-56.00M,-174.00M,236.00M,98.00M,138.00M,,,5.00M,,143.00M,179.40M,641.00M,353.00M,288.00M,0.47,,,,0.5897,0.47,0.46,,,,0.5793,0.46,304.00M,305.00M,0.55
2010-09,3.728B,3.728B,1.719B,2.009B,,738.00M,182.00M,,-292.00M,206.00M,208.00M,41.00M,-167.00M,176.00M,1.302B,707.00M,41.00M,208.00M,-167.00M,-246.00M,-167.00M,294.00M,119.00M,175.00M,,,4.00M,,179.00M,326.60M,684.00M,182.00M,502.00M,0.59,0.0,,,1.0759999999999998,0.59,0.59,0.0,,,1.074,0.59,304.00M,305.00M,0.55
2010-06,3.139B,3.139B,1.413B,1.726B,,673.00M,190.00M,,,176.00M,207.00M,40.00M,-167.00M,161.00M,1.20B,526.00M,40.00M,207.00M,-167.00M,31.00M,-167.00M,390.00M,134.00M,256.00M,,,9.00M,,265.00M,244.65M,787.00M,190.00M,597.00M,0.87,0.0,,,0.8031,0.87,0.87,0.0,,,0.8033,0.87,304.00M,305.00M,0.55
2010-03,3.299B,3.299B,1.572B,1.727B,,701.00M,193.00M,,,205.00M,213.00M,41.00M,-172.00M,212.00M,1.311B,416.00M,41.00M,213.00M,-172.00M,16.00M,-172.00M,260.00M,111.00M,149.00M,,,6.00M,,155.00M,144.60M,666.00M,193.00M,473.00M,0.51,0.0,,,0.4758,0.51,0.51,0.0,,,0.476,0.51,304.00M,306.00M,0.55
2009-12,2.96B,2.96B,1.513B,1.447B,,,186.00M,,-77.00M,166.00M,319.00M,,-189.00M,-812.00M,1.334B,113.00M,,319.00M,-189.00M,127.00M,-189.00M,51.00M,-185.00M,236.00M,,,2.00M,,238.00M,288.05M,-347.00M,-809.00M,370.00M,0.79,0.0,,,0.9546,0.79,0.78,0.0,,,0.9436,0.78,304.00M,306.00M,0.55
2009-09,3.408B,3.408B,1.615B,1.793B,,,188.00M,261.00M,191.00M,192.00M,320.00M,,-320.00M,665.00M,1.306B,487.00M,,320.00M,-320.00M,191.00M,-320.00M,358.00M,128.00M,230.00M,,,4.00M,,234.00M,111.29M,1.167B,489.00M,678.00M,0.77,0.0,,,0.3664,0.77,0.77,0.0,,,0.369,0.77,304.00M,306.00M,0.55
2009-06,3.271B,3.271B,1.30B,1.971B,,,185.00M,233.00M,27.00M,184.00M,173.00M,,-173.00M,567.00M,1.169B,802.00M,,173.00M,-173.00M,27.00M,-173.00M,656.00M,248.00M,408.00M,,,6.00M,,414.00M,397.21M,1.27B,441.00M,829.00M,1.36,0.0,,,1.305,1.36,1.36,0.0,,,1.305,1.36,304.00M,305.00M,0.55
2009-03,3.334B,3.334B,1.455B,1.879B,,,177.00M,411.00M,,211.00M,166.00M,,-166.00M,734.00M,1.533B,346.00M,,166.00M,-166.00M,-11.00M,-166.00M,169.00M,54.00M,115.00M,,,4.00M,,119.00M,119.00M,950.00M,615.00M,335.00M,0.39,0.0,,,0.39,0.39,0.39,0.0,,,0.39,0.39,304.00M,306.00M,0.55
2008-12,3.201B,3.201B,1.255B,1.946B,,,177.00M,,243.00M,182.00M,231.00M,,-179.00M,-1.06B,1.549B,397.00M,,231.00M,-179.00M,302.00M,-179.00M,520.00M,192.00M,328.00M,,,4.00M,,332.00M,178.72M,133.00M,-700.00M,751.00M,1.09,0.0,,,0.5858,1.09,1.09,0.0,,,0.5907,1.09,304.00M,307.00M,0.55
2008-09,3.904B,3.904B,1.662B,2.242B,,,168.00M,291.00M,40.00M,201.00M,177.00M,,-177.00M,736.00M,1.396B,846.00M,,177.00M,-177.00M,40.00M,-177.00M,709.00M,238.00M,471.00M,,,0.00,,471.00M,444.43M,1.376B,490.00M,886.00M,1.55,0.0,,,1.463,1.55,1.54,0.0,,,1.453,1.54,304.00M,307.00M,0.55
2008-06,3.245B,3.245B,1.386B,1.859B,,,168.00M,246.00M,16.00M,180.00M,175.00M,,-175.00M,683.00M,1.277B,582.00M,,175.00M,-175.00M,16.00M,-175.00M,423.00M,160.00M,263.00M,,,0.00,,263.00M,253.05M,1.037B,439.00M,598.00M,0.86,0.0,,,0.8273,0.86,0.85,0.0,,,0.8176,0.85,304.00M,307.00M,0.55
2008-03,3.277B,3.277B,1.328B,1.949B,,,164.00M,258.00M,,215.00M,179.00M,8.00M,-171.00M,694.00M,1.331B,618.00M,8.00M,179.00M,-171.00M,17.00M,-171.00M,464.00M,187.00M,277.00M,,,-1.00M,,276.00M,276.00M,1.091B,448.00M,643.00M,0.91,0.0,,,0.91,0.91,0.9,0.0,,,0.9,0.9,304.00M,307.00M,0.55
2007-12,3.079B,3.079B,1.213B,1.866B,,,,,152.00M,165.00M,,,,831.00M,1.391B,475.00M,,,,152.00M,,456.00M,188.00M,268.00M,,,,,268.00M,169.20M,896.00M,421.00M,475.00M,0.88,0.0,,,0.5539,0.88,0.87,0.0,,,0.5482,0.87,303.00M,307.00M,0.5
2007-09,3.641B,3.641B,1.495B,2.146B,,,,,137.00M,197.00M,,,,756.00M,1.403B,743.00M,,,,137.00M,,686.00M,273.00M,413.00M,,,,,413.00M,330.52M,1.218B,475.00M,743.00M,1.36,0.0,,,1.089,1.36,1.34,0.0,,,1.071,1.34,304.00M,307.00M,0.5
2007-06,3.109B,3.109B,1.185B,1.924B,,,,,178.00M,189.00M,,,,750.00M,1.344B,580.00M,,,,178.00M,,560.00M,222.00M,338.00M,,,,,338.00M,230.56M,1.009B,429.00M,580.00M,1.11,0.0,,,0.7566,1.11,1.1,0.0,,,0.7512,1.1,304.00M,308.00M,0.5
2007-03,2.973B,2.973B,1.121B,1.852B,,,,,-74.00M,203.00M,,,,749.00M,1.108B,744.00M,,,,-74.00M,,490.00M,200.00M,290.00M,,,,,290.00M,338.10M,1.177B,433.00M,744.00M,0.92,0.0,,,1.073,0.92,0.92,0.0,,,1.072,0.92,314.00M,316.00M,0.5
2006-12,2.68B,2.68B,947.00M,1.733B,,,,,156.00M,167.00M,,,,735.00M,1.249B,484.00M,,,,156.00M,,445.00M,170.00M,275.00M,0.00,,,,275.00M,178.60M,854.00M,370.00M,484.00M,0.85,0.0,,,0.5468,0.85,0.84,0.0,,,0.5397,0.84,318.00M,321.00M,0.45
2006-09,3.364B,3.364B,1.317B,2.047B,,,,,201.00M,187.00M,,,,758.00M,1.341B,706.00M,,,,201.00M,,727.00M,273.00M,454.00M,2.00M,,,,456.00M,328.48M,1.17B,464.00M,706.00M,1.4,0.01,,,1.01,1.41,1.39,0.01,,,1.004,1.4,322.00M,325.00M,0.45
2006-06,2.751B,2.751B,991.00M,1.76B,,,,,177.00M,173.00M,,,,718.00M,1.236B,524.00M,,,,177.00M,,528.00M,216.00M,312.00M,-8.00M,,,,304.00M,205.80M,1.089B,565.00M,524.00M,0.94,-0.02,,,0.6162,0.92,0.93,-0.02,,,0.6082,0.91,328.00M,330.00M,0.45
2006-03,2.705B,2.705B,998.00M,1.707B,,,,,-98.00M,193.00M,,,,754.00M,1.095B,612.00M,,,,-98.00M,,354.00M,135.00M,219.00M,2.00M,,,,221.00M,279.63M,760.00M,148.00M,612.00M,0.67,0.0,,,0.8543,0.67,0.67,0.0,,,0.8537,0.67,329.00M,330.00M,0.45
2005-12,2.081B,2.081B,896.00M,1.185B,,,,,319.00M,172.00M,,,,345.00M,960.00M,225.00M,,,,319.00M,,377.00M,150.00M,227.00M,-6.00M,,,2.00M,191.00M,34.92M,720.00M,495.00M,225.00M,0.69,-0.02,,,0.1044,0.58,0.69,-0.02,,,0.1079,0.58,328.00M,330.00M,0.43
2005-09,3.587B,3.587B,1.287B,2.30B,,,,,124.00M,188.00M,,,,992.00M,1.697B,603.00M,,,,124.00M,,569.00M,237.00M,332.00M,,,,3.00M,332.00M,257.60M,1.137B,534.00M,603.00M,1.01,0.0,,,0.7832,1.01,1.01,0.0,,,0.7845,1.01,328.00M,330.00M,0.4125
2005-06,2.843B,2.843B,933.00M,1.91B,,,,,167.00M,168.00M,,,,873.00M,1.496B,414.00M,,,,167.00M,,424.00M,241.00M,183.00M,-1.00M,,,4.00M,182.00M,82.80M,872.00M,458.00M,414.00M,0.54,0.0,,,0.2345,0.54,0.54,0.0,,,0.2364,0.54,328.00M,330.00M,0.4125
2005-03,2.75B,2.75B,895.00M,1.855B,,,,,101.00M,185.00M,,,,884.00M,1.523B,332.00M,,,,101.00M,,269.00M,121.00M,148.00M,19.00M,,,7.00M,167.00M,87.40M,805.00M,473.00M,332.00M,0.43,0.06,,,0.2452,0.49,0.42,0.06,,,0.2358,0.48,328.00M,329.00M,0.4125
2004-12,2.239B,2.239B,954.00M,1.285B,,,,,271.00M,164.00M,,,,410.00M,980.00M,305.00M,,,,271.00M,,411.00M,175.00M,236.00M,-35.00M,,,,201.00M,73.40M,751.00M,446.00M,305.00M,0.72,-0.11,,,0.2229,0.61,0.72,-0.11,,,0.2232,0.61,327.12M,327.31M,0.375
2004-09,3.385B,3.385B,1.285B,2.10B,,,,,79.00M,177.00M,,,,868.00M,1.516B,584.00M,,,,79.00M,,510.00M,214.00M,296.00M,2.00M,,,,298.00M,248.60M,1.078B,494.00M,584.00M,0.9,0.01,,,0.7553,0.91,0.9,0.01,,,0.756,0.91,327.50M,329.10M,0.375
2004-06,2.993B,2.993B,1.095B,1.898B,,,,,68.00M,158.00M,,,,832.00M,1.407B,491.00M,,,,68.00M,,379.00M,177.00M,202.00M,2.00M,,,,204.00M,161.20M,971.00M,480.00M,491.00M,0.61,0.01,,,0.4853,0.62,0.61,0.01,,,0.486,0.62,327.28M,329.10M,0.375
2004-03,2.997B,2.997B,1.134B,1.863B,,,,,,179.00M,,,,813.00M,1.404B,459.00M,,,,,,288.00M,115.00M,173.00M,1.00M,,,,174.00M,173.00M,888.00M,429.00M,459.00M,0.53,0.0,,,0.53,0.53,0.53,0.0,,,0.53,0.53,327.06M,329.03M,0.375
2003-12,2.178B,2.178B,366.82M,1.812B,,,,,,119.55M,,,,620.82M,1.306B,505.12M,,,,,,307.90M,160.31M,147.59M,-38.78M,-0.147M,,,108.67M,147.59M,1.080B,574.89M,505.12M,0.7,-0.02,0.0,,0.7,0.33,0.69,-0.02,-0.0098,,0.69,0.33,328.52M,328.54M,0.375
2003-09,3.423B,3.423B,1.305B,2.118B,,,,,,177.50M,,,,1.064B,1.631B,487.46M,,,,,,286.84M,135.15M,151.69M,1.026M,,,,152.72M,151.69M,892.57M,405.11M,487.46M,0.51,0.0,,,0.51,0.51,0.5,0.0,,,0.5,0.5,299.42M,300.75M,0.375
