,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,53.30M,-0.60M,,-0.60M,149.80M,149.80M,-94.40M,0.00,0.00,10.10M,0.80M,255.90M,-308.80M,-467.80M,,,,-520.70M,,-401.70M,-95.10M,,,,,-10.20M,-105.30M,-0.70M,602.80M,602.10M,,,,-112.60M,-112.60M,,-14.80M,474.70M,485.70M,-32.30M,5.60M,459.00M,,,-0.70M,
2017-12,1.653B,-0.70M,,1.20M,159.80M,159.80M,-1.683B,0.00,,9.70M,-1.60M,234.30M,356.60M,259.80M,,,,850.70M,,990.00M,-113.30M,,,5.50M,,2.90M,-104.90M,-352.40M,-574.50M,-926.90M,,-152.40M,-152.40M,-111.50M,-111.50M,,0.90M,-1.190B,792.30M,-304.80M,-1.80M,485.70M,,,-352.40M,-152.40M
2017-09,234.40M,45.80M,,45.80M,155.80M,155.80M,-38.20M,0.40M,,21.50M,2.10M,103.80M,-208.20M,-134.40M,,,,-238.80M,,183.00M,-101.70M,,,123.00M,,3.80M,25.10M,-0.30M,66.20M,65.90M,,0.00,0.00,-112.80M,-112.80M,,-161.30M,-208.20M,780.20M,-0.10M,12.20M,792.30M,,,-0.30M,0.00
2017-06,223.00M,25.90M,,21.80M,149.40M,149.40M,100.80M,66.20M,,19.30M,4.30M,-355.60M,-138.10M,-34.30M,,,,-528.00M,,56.80M,-90.50M,,,38.50M,,4.60M,-47.40M,-195.80M,373.70M,177.90M,,,,-111.40M,-111.40M,,-4.60M,61.90M,687.50M,71.30M,21.40M,780.20M,,,-195.80M,
2017-03,638.50M,-784.00M,,-781.80M,170.60M,170.60M,-161.70M,18.40M,,20.40M,1.90M,306.20M,-360.70M,-115.40M,,,,-169.90M,,-263.60M,-100.70M,,,1.306B,,0.80M,1.206B,-997.90M,246.40M,-751.50M,,,,-92.90M,-92.90M,,-15.20M,-859.60M,587.50M,82.50M,17.50M,687.50M,,,-997.90M,
2016-12,165.60M,-0.70M,,2.50M,130.00M,130.00M,54.20M,0.00,,16.10M,25.40M,-98.50M,356.30M,340.10M,,,,597.90M,,991.70M,-153.90M,,,-9.10M,,12.10M,-150.90M,-350.00M,-458.00M,-808.00M,,-3.20M,-3.20M,-91.70M,-91.70M,,,-902.90M,670.00M,-62.10M,-20.40M,587.50M,,0.00,-350.00M,-3.20M
2016-09,186.50M,1.50M,,1.50M,138.00M,138.00M,-80.90M,0.00,,18.70M,8.00M,29.80M,113.70M,97.50M,,,,241.00M,,512.80M,-123.60M,,,-37.60M,,6.00M,-155.20M,0.00,-230.60M,-230.60M,,-12.90M,-12.90M,-91.90M,-91.90M,,17.90M,-317.50M,627.30M,40.10M,2.60M,670.00M,,0.00,0.00,-12.90M
2016-06,135.20M,-161.00M,,-159.80M,126.40M,126.40M,53.10M,0.00,,19.20M,6.20M,-325.50M,452.40M,290.10M,,,,417.00M,,597.30M,-112.30M,,,-8.340B,,3.90M,-8.449B,733.40M,-331.50M,401.90M,,,,-91.70M,-91.70M,,0.10M,310.30M,8.181B,-7.541B,-12.50M,627.30M,,1.483B,-750.00M,
2016-03,40.50M,-0.90M,,45.00M,42.80M,42.80M,7.00M,0.00,,9.90M,5.10M,69.70M,-137.80M,-343.60M,,,,-411.70M,,-261.40M,-51.60M,,,-21.00M,,2.60M,-70.00M,7.931B,378.70M,8.310B,,,,-53.30M,-53.30M,,-18.00M,8.239B,274.80M,7.907B,-1.10M,8.181B,,7.931B,0.00,
2015-12,13.20M,18.50M,52.10M,70.60M,43.00M,43.00M,-21.40M,,,7.20M,12.30M,-67.20M,142.50M,104.60M,,,,179.90M,,304.80M,-56.70M,,,-457.20M,,3.70M,-510.20M,594.60M,-298.50M,296.10M,,-10.40M,-10.40M,-50.90M,-50.90M,,-20.00M,214.80M,266.20M,9.40M,-0.80M,274.80M,,594.60M,0.00,-10.40M
2015-09,134.20M,0.00,0.00,0.00,43.10M,43.10M,2.70M,,,7.90M,12.00M,110.80M,5.60M,23.60M,,,,140.00M,,339.90M,-68.90M,,,-2.30M,,8.50M,-62.70M,0.00,-144.50M,-144.50M,,-51.70M,-51.70M,-51.00M,-51.00M,,15.00M,-232.20M,238.70M,45.00M,-17.50M,266.20M,,0.00,0.00,-51.70M
2015-06,148.50M,0.00,,0.00,43.30M,43.30M,-6.40M,,,7.30M,9.40M,-247.40M,-81.10M,228.90M,,,,-99.60M,,102.50M,-34.90M,,,1.10M,,5.90M,-27.90M,0.00,42.60M,42.60M,,-50.40M,-50.40M,-51.20M,-51.20M,,3.40M,-55.60M,215.40M,19.00M,4.30M,238.70M,,0.00,0.00,-50.40M
2015-03,54.10M,0.00,,0.00,42.20M,42.20M,17.90M,,,6.80M,5.50M,170.00M,-164.80M,-286.00M,,,,-280.80M,,-154.30M,-50.90M,,,2.00M,,-0.20M,-49.10M,0.00,343.40M,343.40M,,-73.60M,-73.60M,-53.20M,-53.20M,,1.60M,218.20M,199.40M,14.80M,1.20M,215.40M,,0.00,,-73.60M
2014-12,52.00M,-1.80M,,96.80M,41.70M,41.70M,40.00M,,,8.60M,7.60M,-100.00M,83.60M,60.50M,,,,44.10M,,290.80M,-60.90M,,,-278.40M,,-4.20M,-343.50M,,-125.80M,250.80M,,-100.60M,-39.90M,-46.40M,-46.40M,,-42.50M,122.00M,132.60M,69.30M,-2.50M,199.40M,,,,-100.60M
2014-09,122.30M,4.40M,,4.40M,38.70M,38.70M,-6.70M,,,6.80M,14.20M,81.50M,11.40M,66.60M,,,,159.50M,,339.20M,-34.00M,,,-308.30M,,-2.20M,-344.50M,,127.70M,127.70M,,-103.90M,-103.90M,-46.30M,-46.30M,,16.20M,-6.30M,142.70M,-11.60M,1.50M,132.60M,,,,-103.90M
2014-06,150.60M,-2.60M,,-2.60M,37.60M,37.60M,-8.60M,,,7.50M,8.50M,-252.90M,-7.40M,163.50M,,,,-96.80M,,96.20M,-35.10M,,,3.40M,,0.00,-31.70M,,70.50M,70.50M,,-114.30M,-114.30M,-46.90M,-46.90M,,20.10M,-70.60M,136.80M,-6.10M,12.00M,142.70M,,,,-114.30M
2014-03,52.90M,-2.20M,,-2.20M,38.10M,38.10M,14.60M,,,7.00M,46.00M,130.50M,-115.80M,-263.20M,,,,-248.50M,,-92.10M,-31.90M,,,0.00,,-0.30M,-32.20M,,144.90M,144.90M,,-44.40M,-44.40M,-42.90M,-42.90M,,16.30M,73.90M,226.30M,-50.40M,-39.10M,136.80M,,,,-44.40M
2013-12,117.30M,-1.30M,,-1.30M,39.50M,39.50M,12.30M,,,9.50M,5.30M,-54.60M,134.10M,42.10M,,,,121.60M,,304.20M,-52.50M,,,8.90M,,0.00,-43.60M,,145.10M,145.10M,,-380.00M,-380.00M,-42.00M,-42.00M,,-35.40M,-231.30M,197.40M,29.30M,-0.40M,226.30M,,,,-380.00M
2013-09,193.30M,-108.80M,,-108.80M,39.80M,39.80M,29.30M,,,8.00M,10.60M,160.70M,6.00M,21.90M,,,,188.60M,,360.80M,-28.70M,,,180.90M,,2.10M,154.30M,,-383.00M,-383.00M,,-46.80M,-46.80M,-44.00M,-44.00M,,1.10M,-472.70M,154.10M,42.40M,0.90M,197.40M,,,,-46.80M
2013-06,109.80M,10.30M,,10.30M,39.80M,39.80M,8.10M,,,10.30M,11.70M,-205.40M,-78.30M,157.00M,,,,-126.70M,,63.30M,-23.40M,,,0.00,,0.00,-23.40M,,1.40M,1.40M,,-38.60M,-38.60M,-43.60M,-43.60M,,23.20M,-57.60M,174.20M,-17.70M,-2.40M,154.10M,,,,-38.60M
2013-03,54.20M,12.40M,,12.40M,39.80M,39.80M,38.90M,,,9.40M,8.90M,80.30M,-123.40M,-243.60M,,,,-286.70M,,-123.10M,-33.60M,,,,,-0.30M,-33.90M,,200.70M,200.70M,,-33.80M,-33.80M,-44.50M,-44.50M,,25.70M,148.10M,183.80M,-8.90M,-0.70M,174.20M,,,,-33.80M
2012-12,101.90M,0.00,,4.10M,41.60M,41.60M,-1.50M,,,6.60M,2.10M,-39.70M,127.60M,18.60M,,,,106.50M,,261.30M,-47.00M,,,22.60M,,0.40M,-24.00M,-160.30M,-80.40M,-240.70M,,-40.70M,-40.70M,-43.50M,-43.50M,,5.00M,-304.30M,250.10M,-67.00M,0.70M,183.80M,,346.80M,-507.10M,-40.70M
2012-09,108.30M,-5.20M,,1.60M,41.30M,41.30M,38.40M,,,8.10M,5.90M,47.50M,47.20M,3.20M,,,,97.90M,,301.50M,-45.20M,,,-8.50M,,-3.00M,-56.70M,-446.00M,115.30M,-330.70M,,-25.90M,-25.90M,-29.10M,-29.10M,,16.20M,-369.50M,370.80M,-124.70M,4.00M,250.10M,,0.00,-446.00M,-25.90M
2012-06,111.80M,0.00,,0.00,41.40M,41.40M,14.70M,,,8.80M,3.40M,-180.80M,-18.60M,122.40M,,,,-77.00M,,103.10M,-36.70M,,,-3.40M,,-0.20M,-40.30M,495.10M,-321.60M,173.50M,,-24.90M,-24.90M,-29.10M,-29.10M,,2.40M,121.90M,190.10M,184.70M,-4.00M,370.80M,,495.10M,0.00,-24.90M
2012-03,79.30M,,,,39.40M,39.40M,19.60M,0.00,,9.40M,0.90M,71.80M,-148.50M,-119.30M,,,,-196.00M,,-47.40M,-48.30M,,,6.30M,,,-42.00M,-250.30M,392.70M,142.40M,,-16.40M,-16.40M,-24.20M,-24.20M,,4.10M,105.90M,170.20M,16.50M,3.40M,190.10M,,,-250.30M,-16.40M
2011-12,80.40M,,,0.00,40.50M,40.50M,-16.90M,0.00,,14.60M,7.00M,-22.70M,166.60M,-200.00M,,,212.00M,155.90M,,281.50M,-71.70M,,,5.30M,,-0.60M,-67.00M,2.90M,-133.30M,-130.40M,,-27.20M,-27.20M,-23.30M,-23.30M,,-1.50M,-182.40M,138.90M,32.10M,-0.80M,170.20M,,0.00,2.90M,-27.20M
2011-09,44.80M,,,13.90M,39.60M,39.60M,-44.10M,382.60M,,11.70M,-219.90M,127.90M,27.10M,123.70M,,,-212.00M,66.70M,,295.30M,-55.10M,,,33.80M,,-2.10M,-23.40M,-147.80M,-78.90M,-226.70M,,-24.40M,-24.40M,-23.50M,-23.50M,,0.00,-274.60M,143.60M,-2.70M,-2.00M,138.90M,,2.20M,-150.00M,-24.40M
2011-06,,,,0.00,40.80M,40.80M,20.80M,,,8.60M,152.30M,-167.90M,-83.50M,121.70M,,,,-129.70M,,92.80M,-51.20M,,,1.40M,,-5.10M,-54.90M,0.80M,-12.20M,-11.40M,,0.00,0.00,-23.40M,-23.40M,,-0.60M,-35.40M,139.70M,2.50M,1.40M,143.60M,,1.10M,-0.30M,0.00
2011-03,,,,4.80M,40.70M,40.70M,35.40M,,,8.10M,79.30M,45.10M,-131.70M,-190.00M,,,,-276.60M,,-108.30M,-44.90M,,,-16.20M,,,-61.10M,-3.60M,190.00M,186.40M,,0.00,0.00,-14.70M,-14.70M,,-3.90M,167.80M,139.60M,-1.60M,1.70M,139.70M,,,-3.60M,0.00
2010-12,292.80M,,,0.00,42.10M,42.10M,-3.10M,0.00,,8.70M,-213.80M,3.90M,126.70M,-52.60M,,,,78.00M,,204.70M,-56.60M,,,7.40M,,-2.00M,-51.20M,-47.20M,-56.00M,-103.20M,,0.00,0.00,-14.60M,-14.60M,302.40M,-352.30M,-167.70M,153.50M,-14.20M,0.30M,139.60M,,0.00,-47.20M,0.00
2010-09,0.00,,,218.60M,43.30M,43.30M,-19.70M,0.00,,9.00M,38.60M,57.60M,-9.40M,-143.50M,,,,-95.30M,,194.50M,-38.80M,,,9.40M,,-8.70M,-38.10M,-10.30M,189.60M,179.30M,,-500.10M,-500.10M,-12.80M,-12.80M,67.10M,-0.60M,-267.10M,259.80M,-110.70M,4.40M,153.50M,,544.90M,-555.20M,-500.10M
2010-06,-58.40M,,,,42.70M,42.70M,-4.60M,,,8.30M,193.50M,-135.70M,-85.70M,193.90M,,,,-27.50M,,154.00M,-37.80M,,,0.00,,6.70M,-31.10M,-104.50M,0.00,-104.50M,,,,-14.10M,-14.10M,,-0.20M,-118.80M,253.00M,4.10M,2.70M,259.80M,,1.00M,-105.50M,
2010-03,58.40M,,,,44.20M,44.20M,21.30M,,,10.50M,9.90M,-29.40M,-46.10M,-39.40M,,,,-114.90M,,29.40M,-31.50M,0.00,0.00,-1.50M,,,-33.00M,-1.50M,0.00,-1.50M,,,,-13.90M,-13.90M,,-2.90M,-18.30M,278.30M,-21.90M,-3.40M,253.00M,,1.40M,-2.90M,
2009-12,60.60M,,,0.00,45.50M,45.50M,3.70M,,,9.20M,9.30M,48.40M,89.40M,-79.00M,,,,58.80M,,187.10M,-45.60M,10.70M,10.70M,-0.50M,,,-35.40M,-143.70M,0.00,-143.70M,,0.00,0.00,,-14.10M,0.00,-0.20M,-158.00M,313.00M,-6.30M,-28.40M,278.30M,,0.00,-143.70M,0.00
2009-09,85.50M,,,4.70M,45.70M,45.70M,-3.60M,,,9.30M,13.30M,164.90M,75.40M,-67.50M,,,,172.80M,,327.70M,-37.00M,6.90M,6.90M,-1.10M,,-5.70M,-36.90M,-577.10M,192.50M,-384.60M,,0.00,0.00,,-13.90M,0.00,-0.30M,-398.80M,418.10M,-108.00M,2.90M,313.00M,,67.50M,-452.10M,0.00
2009-06,105.70M,,,,42.00M,42.00M,16.30M,,,7.80M,18.40M,-192.40M,108.20M,-6.80M,,,,-91.00M,,99.20M,-38.30M,,,-10.70M,,5.40M,-43.60M,-382.90M,,-382.90M,,,,,-14.00M,0.00,-0.90M,-397.80M,755.90M,-342.20M,4.40M,418.10M,,1.80M,-384.70M,
2009-03,33.70M,,,,41.90M,41.90M,-1.50M,,,8.80M,7.80M,77.10M,-29.90M,-149.10M,,,,-101.90M,,-11.20M,-32.40M,,,-1.40M,,0.30M,-33.50M,625.50M,,625.50M,,,,,-29.40M,32.70M,-101.20M,527.60M,275.40M,482.90M,-2.40M,755.90M,,758.00M,-132.50M,
2008-12,-254.20M,,,-53.40M,45.80M,45.80M,-15.10M,,,,1.60M,131.40M,116.30M,-246.20M,,151.20M,,150.50M,1.70M,211.90M,-35.70M,,122.10M,4.70M,,3.00M,-28.00M,,,-61.10M,,2.50M,2.50M,,-58.40M,,,-122.00M,220.60M,61.90M,-7.10M,275.40M,,,,2.50M
2008-09,55.00M,,,53.10M,46.50M,46.50M,-5.30M,,,,6.00M,124.60M,47.40M,-36.10M,,73.40M,,209.30M,-0.30M,364.30M,-43.90M,,-43.90M,-16.30M,,5.90M,-54.30M,,,-231.40M,-0.20M,-2.50M,-2.70M,,-58.70M,,,-292.80M,211.40M,17.20M,-8.00M,220.60M,-0.20M,,,-2.50M
2008-06,92.50M,,,0.50M,46.80M,46.80M,4.60M,,,,59.60M,-243.70M,-0.90M,45.00M,,-1.20M,,-200.80M,-1.30M,1.90M,-38.20M,-0.50M,-38.70M,-615.20M,,0.50M,-653.40M,,,170.30M,0.20M,1.00M,1.20M,,-58.60M,,,112.90M,752.10M,-538.60M,-2.10M,211.40M,0.20M,,,1.00M
2008-03,56.90M,,,0.30M,44.20M,44.20M,24.50M,,,,3.70M,156.00M,-131.90M,-53.40M,,-223.40M,,-252.70M,-0.10M,-123.20M,-40.00M,0.50M,-39.50M,-28.90M,,,-68.40M,,,667.70M,,-1.00M,-1.00M,,-58.80M,,,607.90M,329.20M,416.30M,6.60M,752.10M,,,,-1.00M
2007-12,105.40M,,,0.30M,42.60M,42.60M,-65.30M,,,,26.10M,-31.80M,65.50M,-5.00M,,65.70M,,94.40M,-4.40M,199.10M,-47.30M,,-47.30M,-4.50M,,0.80M,-51.00M,,,61.90M,7.40M,,7.40M,,-58.70M,,,10.60M,169.50M,158.70M,1.00M,329.20M,7.40M,,,
2007-09,170.20M,,,-0.50M,42.00M,42.00M,22.70M,,,,-26.30M,103.80M,-16.20M,-23.30M,,11.30M,,75.60M,-0.30M,283.40M,-41.00M,,-41.00M,-52.00M,,-0.30M,-93.30M,,,-127.80M,1.40M,,1.40M,,-58.70M,,,-185.10M,162.80M,5.00M,1.70M,169.50M,1.40M,,,
2007-06,142.20M,,,-1.60M,46.30M,46.30M,4.10M,,,,13.30M,-220.10M,-25.20M,79.20M,,119.10M,,-47.00M,1.00M,158.30M,-36.40M,,-36.40M,-41.20M,,4.50M,-73.10M,,,-88.30M,4.90M,,4.90M,,-58.70M,,,-142.10M,217.80M,-56.90M,1.90M,162.80M,4.90M,,,
2007-03,49.30M,,,-1.60M,46.10M,46.10M,37.60M,,,,9.70M,140.20M,-77.70M,3.10M,,-207.80M,,-142.20M,15.60M,14.50M,-32.60M,,-32.60M,-8.30M,,-7.30M,-48.20M,,,96.70M,11.70M,,11.70M,,-58.60M,,,49.80M,201.00M,16.10M,0.70M,217.80M,11.70M,,,
2006-12,102.20M,,,-65.10M,46.20M,46.20M,-23.10M,,,,64.90M,-23.60M,103.60M,-58.50M,,78.30M,,99.80M,14.20M,239.10M,-44.20M,-48.30M,-92.50M,-18.20M,,187.00M,76.30M,,,-203.70M,7.80M,,7.80M,,-58.20M,,,-254.10M,137.40M,61.30M,2.30M,201.00M,7.80M,,,
2006-09,108.50M,,,51.50M,42.00M,42.00M,7.40M,,,,-37.90M,77.20M,-8.80M,-1.20M,,67.50M,,134.70M,6.00M,312.20M,-36.90M,48.30M,11.40M,3.90M,,-40.20M,-24.90M,,,-215.50M,6.60M,,6.60M,,-58.20M,,,-267.10M,116.30M,20.20M,0.90M,137.40M,6.60M,,,
2006-06,119.50M,,,-61.30M,51.60M,51.60M,-22.10M,,,,77.20M,-196.70M,-11.60M,53.50M,,84.50M,,-70.30M,9.20M,103.80M,-31.90M,,-31.90M,-23.10M,,10.40M,-44.60M,,,-61.20M,0.30M,,0.30M,,-58.20M,,,-119.10M,176.10M,-59.90M,0.10M,116.30M,0.30M,,,
2006-03,54.80M,,,57.50M,53.50M,53.50M,32.80M,,,,17.90M,168.20M,-115.40M,-44.80M,,-236.20M,,-228.20M,,-11.70M,-25.30M,,-25.30M,-23.20M,,29.80M,-18.70M,,,146.40M,2.00M,,2.00M,,-58.20M,,,90.20M,115.50M,59.80M,0.80M,176.10M,2.00M,,,
2005-12,77.00M,,,-154.30M,46.30M,46.30M,-81.50M,,,,86.80M,-146.20M,106.80M,88.20M,,45.60M,,94.40M,121.60M,190.30M,-22.30M,-29.40M,-51.70M,-704.70M,,,-690.90M,,,187.80M,,0.20M,0.20M,,-57.80M,,,130.20M,485.50M,-370.40M,0.40M,115.50M,,,,0.20M
2005-09,71.50M,,,54.00M,39.50M,39.50M,5.40M,,,,-21.20M,119.00M,29.90M,-8.40M,,68.60M,,209.10M,1.10M,359.40M,-23.90M,7.30M,-16.60M,-0.30M,,,-16.90M,,,-6.90M,,-2.80M,-2.80M,,-57.90M,,,-67.60M,212.20M,274.90M,-1.60M,485.50M,,,,-2.80M
2005-06,66.20M,,,13.10M,51.90M,51.90M,1.40M,,,,27.90M,-197.40M,17.30M,-25.70M,,47.30M,,-158.50M,34.40M,36.40M,-22.90M,9.20M,-13.70M,-4.70M,,,-18.40M,,,-174.80M,,,,,-57.80M,,,-232.60M,429.80M,-214.60M,-3.00M,212.20M,,,,
2005-03,36.60M,,,43.30M,53.90M,53.90M,10.80M,,,,3.20M,173.10M,-121.70M,-26.80M,,-116.90M,,-92.30M,,55.50M,-23.10M,12.90M,-10.20M,-30.30M,,,-40.50M,,,-29.20M,,,,,-58.00M,,,-87.20M,505.60M,-72.20M,-3.60M,429.80M,,,,
2004-12,124.20M,,,-470.60M,24.00M,24.00M,23.00M,,,,382.40M,-67.30M,102.60M,39.90M,-17.90M,-20.10M,29.80M,67.00M,,238.20M,-26.70M,-289.20M,-315.90M,-3.60M,,,-1.40M,,,-33.90M,0.00,,0.00,,-57.80M,,,-91.70M,354.50M,145.10M,6.00M,505.60M,0.00,,,
2004-09,-226.50M,,,310.50M,67.80M,67.80M,26.50M,,,,28.00M,141.30M,-25.60M,-31.30M,17.90M,6.00M,-29.80M,78.50M,,284.80M,-25.10M,42.10M,17.00M,-3.00M,,,14.00M,,,1.30M,0.00,,0.00,,-57.50M,,,-56.20M,111.00M,242.60M,0.90M,354.50M,0.00,,,
2004-06,61.10M,,,31.10M,53.10M,53.10M,51.30M,,,,5.90M,-83.20M,-43.30M,7.20M,4.80M,55.70M,,-58.80M,,143.70M,-33.50M,230.60M,197.10M,,,,197.10M,,,-223.90M,0.50M,,0.50M,,-58.00M,,,-281.40M,51.90M,59.40M,-0.30M,111.00M,0.50M,,,
2004-03,-74.90M,,,111.60M,64.50M,64.50M,7.30M,,,,-8.60M,152.90M,-107.90M,-36.10M,-4.80M,-110.70M,,-106.60M,,-6.70M,-36.60M,16.50M,-20.10M,,,,-20.10M,,,-8.00M,0.90M,,0.90M,,-57.70M,,,-64.80M,144.40M,-91.60M,-0.90M,51.90M,0.90M,,,
2003-12,-211.60M,,,-68.40M,20.90M,20.90M,-21.10M,,,,,-33.20M,196.30M,-45.70M,-7.10M,21.90M,,205.20M,,352.70M,-52.90M,33.70M,-19.20M,0.00,,,-19.20M,,,-209.40M,1.80M,,1.80M,,-57.80M,,,-265.40M,77.10M,68.10M,-0.80M,144.40M,1.80M,,,
2003-09,75.20M,,,18.50M,87.90M,87.90M,9.50M,,,,,75.20M,18.10M,-34.90M,1.90M,-13.70M,,46.60M,41.40M,279.10M,-58.70M,0.00,-58.70M,-1.30M,,,-60.00M,,,-120.90M,1.30M,,1.30M,,-57.90M,,,-177.50M,35.40M,41.60M,0.10M,77.10M,1.30M,,,
