,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2005-12,1.583B,1.583B,1.103B,480.20M,307.30M,,,-21.10M,,,-5.80M,301.50M,178.70M,,,-20.20M,,119.00M,33.70M,85.30M,-8.30M,,,77.00M,100.42M,225.00M,46.30M,178.70M,0.31,-0.03,,0.3651,0.28,0.31,-0.03,,0.365,0.28,274.40M,275.20M,0.21
2005-09,1.437B,1.437B,974.20M,462.40M,273.00M,,,11.70M,,,-25.20M,247.80M,214.60M,,,11.70M,,166.80M,30.20M,136.60M,-65.10M,,,71.50M,127.02M,254.10M,39.50M,214.60M,0.5,-0.24,,0.4651,0.26,0.49,-0.24,,0.4562,0.26,274.40M,283.30M,0.21
2005-06,1.549B,1.549B,1.063B,485.40M,292.90M,,,-33.90M,,,,292.90M,192.50M,,,-33.90M,,127.50M,40.10M,87.40M,-21.20M,,,66.20M,110.64M,244.40M,51.90M,192.50M,0.32,-0.08,,0.4047,0.24,0.32,-0.08,,0.4046,0.24,274.40M,274.70M,0.21
2005-03,1.363B,1.363B,988.40M,374.70M,297.60M,,,-3.60M,,,,297.60M,77.10M,,,-3.60M,,42.70M,-46.70M,89.40M,-52.80M,,,36.60M,91.56M,131.00M,53.90M,77.10M,0.33,-0.19,,0.3379,0.13,0.33,-0.19,,0.3379,0.13,274.40M,274.90M,0.21
2004-12,947.90M,947.90M,635.40M,312.50M,135.00M,,,58.70M,,,-31.10M,103.90M,208.60M,,,59.60M,,205.40M,35.30M,170.10M,-45.90M,,,124.20M,121.49M,232.60M,24.00M,208.60M,0.62,-0.17,,0.4428,0.46,0.62,-0.17,,0.4436,0.4574,274.40M,275.60M,0.21
2004-09,1.621B,1.621B,1.157B,464.70M,297.90M,,,-270.10M,,,270.00M,567.90M,-103.20M,,,-270.10M,,-132.80M,22.90M,-155.70M,-70.70M,,,-226.40M,6.36M,-35.40M,67.80M,-103.20M,-0.57,-0.26,,0.0206,-0.83,-0.57,-0.26,,0.0206,-0.83,274.40M,274.40M,0.21
2004-06,1.667B,1.667B,1.190B,477.50M,318.80M,,,-52.50M,,,25.10M,343.90M,133.60M,,,-52.50M,,76.70M,18.20M,58.50M,2.50M,,,61.00M,98.54M,186.70M,53.10M,133.60M,0.21,0.01,,0.3559,0.22,0.21,0.01,,0.3559,0.22,274.40M,274.50M,0.21
2004-03,1.491B,1.491B,1.086B,404.40M,299.80M,,,-23.90M,,,,299.80M,104.60M,,,-23.90M,,49.80M,16.20M,33.60M,-108.50M,,,-74.90M,49.73M,169.10M,64.50M,104.60M,0.12,-0.4,,0.1788,-0.27,0.12,-0.4,,0.1787,-0.27,274.40M,274.50M,0.21
2003-12,1.543B,1.543B,1.108B,435.10M,255.20M,,,-121.30M,,,,289.70M,145.40M,,,-121.30M,,28.80M,19.80M,9.00M,-220.60M,,,-211.60M,81.78M,166.30M,20.90M,145.40M,0.15,-0.92,,0.4152,-0.77,0.0344,-0.92,,0.2996,-0.77,274.40M,274.40M,0.21
2003-09,1.729B,1.729B,1.237B,491.80M,298.80M,,,-33.70M,,,,298.80M,193.00M,,,-33.70M,,126.20M,40.70M,85.50M,-10.30M,,,75.20M,108.33M,280.90M,87.90M,193.00M,0.31,-0.04,,0.3932,0.27,0.31,-0.04,,0.3932,0.27,274.40M,274.40M,0.21
