,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-09,194.83M,194.83M,68.46M,126.37M,10.08M,10.08M,,-20.19M,,20.84M,6.404M,-14.43M,0.77M,78.84M,47.53M,6.404M,20.84M,-14.43M,9.268M,-14.43M,42.37M,0.359M,42.01M,123.62M,-0.358M,,165.27M,34.29M,131.20M,55.04M,63.20M,0.12,0.34,,0.0993,0.46,0.12,0.34,,0.0997,0.46,355.90M,362.10M,0.19
2017-06,189.41M,189.41M,63.78M,125.63M,11.86M,11.86M,,-9.561M,,21.68M,2.26M,-19.42M,0.718M,79.59M,46.04M,2.26M,21.68M,-19.42M,98.00M,-19.42M,124.62M,5.426M,119.19M,1.109B,-17.22M,,1.211B,77.05M,213.31M,58.71M,146.30M,0.33,3.07,,0.2599,3.4,0.33,3.05,,0.2611,3.38,355.65M,361.98M,0.19
2017-03,181.08M,181.08M,50.37M,130.70M,19.23M,19.23M,,-0.834M,,24.16M,0.533M,-23.63M,0.738M,81.99M,48.71M,0.533M,24.16M,-23.63M,42.47M,-23.63M,67.55M,2.132M,65.42M,5.366M,-0.581M,,70.20M,28.31M,157.88M,66.17M,91.71M,0.18,0.02,,0.0772,0.2,0.18,0.02,,0.0787,0.2,355.28M,360.70M,0.19
2016-12,181.15M,181.15M,63.03M,118.12M,13.17M,13.17M,,-20.92M,,25.50M,0.438M,-25.06M,0.368M,73.61M,44.51M,0.438M,25.50M,-25.06M,21.01M,-25.06M,40.45M,-0.416M,40.87M,7.31M,-0.425M,,47.76M,33.84M,129.82M,63.86M,65.96M,0.12,0.02,,0.1014,0.14,0.12,0.01,,0.1018,0.13,354.74M,362.09M,0.19
2016-09,181.67M,181.67M,60.12M,121.56M,12.53M,12.53M,,-9.292M,,27.28M,0.507M,-26.78M,1.424M,75.78M,45.78M,0.507M,27.28M,-26.78M,89.23M,-26.78M,108.23M,-0.359M,108.59M,4.568M,-1.145M,,112.01M,62.44M,200.48M,64.96M,135.52M,0.31,0.01,,0.1821,0.32,0.31,0.01,,0.1846,0.32,351.86M,358.98M,0.18
2016-06,183.95M,183.95M,64.14M,119.81M,11.58M,11.58M,,22.54M,,29.51M,0.567M,-28.94M,0.836M,73.56M,46.25M,0.567M,29.51M,-28.94M,90.19M,-28.94M,107.50M,-0.157M,107.65M,2.53M,-1.116M,,109.07M,69.00M,201.48M,64.47M,137.01M,0.3,0.01,,0.192,0.31,0.3,0.01,,0.1941,0.31,347.46M,354.43M,0.18
2016-03,224.95M,224.95M,79.82M,145.13M,18.10M,18.10M,,-6.408M,,37.73M,2.523M,-35.21M,1.237M,97.13M,48.00M,2.523M,37.73M,-35.21M,31.16M,-35.21M,43.95M,0.343M,43.60M,0.151M,-0.449M,,43.31M,33.93M,159.48M,62.12M,81.68M,0.12,0.0004,,0.0933,0.12,0.12,0.0004,,0.0936,0.12,345.66M,349.67M,0.18
2015-12,64.31M,64.31M,27.26M,37.05M,10.98M,10.98M,,-19.67M,,3.682M,1.611M,-2.071M,1.368M,17.98M,19.07M,1.611M,3.682M,-2.071M,-0.744M,-2.071M,16.25M,0.181M,16.07M,8.447M,-0.267M,,24.25M,-2.826M,81.48M,61.55M,19.94M,0.04,0.02,,-0.014,0.06,0.04,0.02,,-0.0128,0.06,345.27M,352.75M,0.18
2015-09,234.54M,234.54M,87.53M,147.00M,11.34M,11.34M,,-8.022M,,41.62M,1.343M,-40.27M,1.467M,92.70M,54.30M,1.343M,41.62M,-40.27M,59.81M,-40.27M,73.84M,-3.305M,77.14M,0.068M,-0.774M,,76.43M,37.43M,195.35M,63.51M,115.45M,0.22,0.0,,0.1072,0.22,0.22,0.0,,0.1094,0.22,345.26M,352.15M,0.17
2015-06,225.90M,225.90M,79.58M,146.32M,19.24M,19.24M,,-89.43M,,42.98M,1.375M,-41.60M,1.555M,99.13M,47.19M,1.375M,42.98M,-41.60M,50.12M,-41.60M,55.71M,-2.288M,58.00M,396.17M,-4.785M,,449.38M,32.21M,177.02M,61.79M,98.68M,0.16,1.14,,0.0992,1.3,0.16,1.14,,0.0999,1.3,345.10M,349.16M,0.17
2015-03,267.44M,267.44M,113.93M,153.51M,17.00M,17.00M,,-0.028M,,49.61M,0.338M,-49.27M,1.557M,100.46M,53.04M,0.338M,49.61M,-49.27M,35.13M,-49.27M,38.90M,1.484M,37.42M,28.55M,-0.725M,,65.24M,8.912M,170.41M,66.84M,88.51M,0.11,0.08,,0.0294,0.19,0.11,0.08,,0.0303,0.19,344.60M,348.65M,0.17
2014-12,246.29M,246.29M,96.22M,150.07M,13.73M,13.73M,,-40.59M,,50.56M,0.31M,-50.25M,1.159M,98.59M,51.47M,0.31M,50.56M,-50.25M,3.736M,-50.25M,4.96M,-3.439M,8.399M,4.401M,0.016M,4.788M,12.82M,13.78M,139.22M,73.32M,55.52M,-0.03,0.01,,-0.0144,-0.02,-0.03,0.01,,-0.0146,-0.02,342.93M,347.61M,0.17
2014-09,261.81M,261.81M,111.86M,149.95M,10.57M,10.57M,,-6.478M,,47.42M,0.356M,-47.06M,1.829M,98.17M,51.77M,0.356M,47.42M,-47.06M,63.01M,-47.06M,67.72M,-0.442M,68.16M,3.396M,-0.756M,6.072M,70.80M,38.91M,200.91M,72.34M,115.14M,0.17,0.01,,0.0865,0.18,0.17,0.01,,0.0876,0.18,341.16M,345.83M,0.17
2014-06,274.29M,274.29M,124.73M,149.56M,10.36M,10.36M,,-3.409M,,51.45M,0.229M,-51.22M,1.987M,100.85M,48.71M,0.229M,51.45M,-51.22M,131.62M,-51.22M,129.12M,0.364M,128.75M,7.776M,-1.793M,7.046M,134.73M,56.36M,269.06M,73.22M,180.56M,0.36,0.02,,0.1472,0.38,0.36,0.02,,0.1501,0.38,331.75M,336.41M,0.17
2014-03,264.47M,264.47M,118.52M,145.95M,14.69M,14.69M,,-0.014M,,49.26M,0.351M,-48.91M,2.216M,105.21M,40.74M,0.351M,49.26M,-48.91M,18.31M,-48.91M,10.14M,2.674M,7.471M,18.10M,-0.334M,7.037M,25.24M,-4.639M,147.70M,71.39M,59.41M,0.0,0.06,,-0.036,0.06,0.0,0.06,,-0.0355,0.06,327.11M,331.72M,0.17
2013-12,160.91M,160.91M,67.90M,93.01M,9.448M,9.448M,,-10.02M,,30.81M,0.668M,-30.14M,7.994M,81.39M,11.62M,0.668M,30.81M,-30.14M,64.74M,-30.14M,46.23M,-0.58M,46.81M,34.45M,-4.328M,7.355M,76.93M,2.784M,151.50M,74.46M,77.04M,0.12,0.09,,-0.0017,0.21,0.12,0.09,,-0.0,0.21,326.10M,330.71M,0.17
2013-09,284.46M,284.46M,129.98M,154.48M,10.37M,10.37M,,-0.726M,,56.62M,0.145M,-56.47M,0.047M,111.61M,42.87M,0.145M,56.62M,-56.47M,0.504M,-56.47M,-13.10M,-4.50M,-8.602M,9.939M,-0.048M,7.356M,1.289M,-8.999M,144.71M,72.76M,43.52M,-0.05,0.03,,-0.0511,-0.02,-0.05,0.03,,-0.0511,-0.02,324.90M,324.90M,0.17
2013-06,266.10M,266.10M,112.19M,153.91M,9.707M,9.707M,,-6.20M,,57.02M,0.921M,-56.10M,0.035M,105.06M,48.84M,0.921M,57.02M,-56.10M,-6.70M,-56.10M,-13.95M,0.00,-13.95M,83.78M,-0.983M,7.355M,68.85M,-7.145M,138.39M,70.80M,43.07M,-0.07,0.26,,-0.0458,0.19,-0.07,0.26,,-0.0462,0.19,322.49M,327.10M,0.17
2013-03,257.28M,257.28M,106.24M,151.04M,13.14M,13.14M,,0.643M,,57.18M,0.153M,-57.03M,0.068M,106.21M,44.84M,0.153M,57.18M,-57.03M,47.99M,-57.03M,35.80M,0.00,35.80M,8.325M,-0.598M,9.55M,43.52M,36.59M,185.97M,70.55M,92.98M,0.06,0.03,,0.0644,0.09,0.06,0.03,,0.0643,0.09,314.94M,319.57M,0.17
2012-12,232.00M,232.00M,103.12M,128.89M,14.06M,14.06M,,-1.629M,,53.69M,0.12M,-53.57M,0.042M,97.93M,30.95M,0.12M,53.69M,-53.57M,-3.135M,-53.57M,-25.75M,0.00,-25.75M,3.271M,0.52M,11.08M,-21.96M,-21.48M,111.77M,69.35M,27.94M,-0.13,0.01,,-0.1164,-0.12,-0.13,0.01,,-0.1164,-0.12,276.14M,276.14M,0.17
2012-09,293.26M,293.26M,152.21M,141.05M,8.934M,8.934M,,-0.954M,,58.81M,0.15M,-58.66M,0.13M,99.27M,41.78M,0.15M,58.81M,-58.66M,-0.411M,-58.66M,-17.29M,-0.103M,-17.19M,-0.362M,0.40M,11.08M,-17.15M,-14.11M,131.72M,66.00M,41.52M,-0.11,0.0,,-0.1001,-0.11,-0.11,0.0,,-0.1001,-0.11,270.29M,270.29M,0.17
2012-06,260.82M,260.82M,118.24M,142.58M,11.59M,11.59M,,-1.029M,,59.15M,0.098M,-59.05M,0.196M,100.46M,42.12M,0.098M,59.15M,-59.05M,-2.811M,-59.05M,-19.73M,,-19.73M,2.006M,0.328M,11.08M,-17.40M,-16.33M,128.08M,63.62M,39.41M,-0.12,0.01,,-0.1085,-0.11,-0.12,0.01,,-0.1085,-0.11,266.75M,266.75M,0.17
2012-03,265.66M,265.66M,127.53M,138.13M,11.84M,11.84M,,-0.58M,,59.30M,0.146M,-59.15M,0.265M,100.19M,37.94M,0.146M,59.30M,-59.15M,-1.646M,-59.15M,-22.86M,,-22.86M,4.75M,0.643M,13.19M,-17.47M,-19.06M,124.53M,63.86M,36.44M,-0.16,0.02,,-0.1478,-0.14,-0.16,0.02,,-0.1478,-0.14,258.36M,258.36M,0.17
2011-12,243.67M,243.67M,138.59M,105.08M,,13.88M,,-72.48M,,45.00M,0.115M,-44.89M,1.066M,77.97M,27.11M,0.115M,45.00M,-44.89M,-14.19M,-44.89M,-31.98M,0.00,-31.98M,92.22M,-1.276M,14.01M,58.97M,39.23M,76.12M,63.09M,13.03M,-0.17,0.34,,0.1166,0.17,-0.17,0.34,,0.0884,0.17,252.92M,280.54M,0.17
2011-09,312.29M,312.29M,182.01M,130.28M,,9.493M,,-4.038M,,54.53M,0.172M,-54.36M,0.06M,90.62M,39.66M,0.172M,54.53M,-54.36M,-0.934M,-54.36M,-15.63M,-0.194M,-15.44M,0.566M,0.825M,14.40M,-14.04M,-10.62M,119.97M,68.32M,38.90M,-0.13,0.0,,-0.1142,-0.13,-0.13,0.0,,-0.1142,-0.13,252.80M,252.80M,0.17
2011-06,315.37M,315.37M,181.83M,133.54M,,8.541M,,-2.555M,,53.81M,0.284M,-53.53M,0.026M,91.92M,41.62M,0.284M,53.81M,-53.53M,-0.842M,-53.53M,-12.75M,,-12.75M,-1.111M,0.79M,15.97M,-13.07M,-9.402M,124.42M,68.75M,41.07M,-0.11,-0.01,,-0.0999,-0.12,-0.11,-0.01,,-0.0999,-0.12,252.64M,252.64M,0.17
2011-03,337.53M,337.53M,203.83M,133.70M,,11.20M,,64.96M,,52.12M,0.087M,-52.04M,0.085M,89.10M,44.60M,0.087M,52.12M,-52.04M,66.03M,-52.04M,58.59M,,58.59M,6.20M,-1.083M,15.97M,63.71M,15.28M,188.54M,67.06M,110.71M,0.16,0.03,,-0.0073,0.19,0.16,0.03,,-0.0031,0.19,252.41M,258.84M,0.17
2010-12,128.02M,128.02M,86.38M,41.65M,,10.16M,,14.84M,,11.33M,0.03M,-27.65M,0.229M,33.22M,8.424M,0.03M,11.33M,-27.65M,45.75M,-27.65M,26.52M,0.00,26.52M,-0.705M,-0.026M,16.02M,25.79M,11.66M,107.56M,69.71M,37.86M,0.04,0.0,,-0.0188,0.04,0.04,0.0,,-0.0188,0.04,252.28M,252.28M,0.17
2010-09,360.65M,360.65M,204.94M,155.71M,,8.476M,,53.00M,,61.49M,0.149M,-61.34M,0.58M,103.54M,52.17M,0.149M,61.49M,-61.34M,53.58M,-61.34M,44.41M,-1.126M,45.53M,11.90M,-0.993M,16.73M,56.44M,10.09M,200.38M,71.12M,105.90M,0.08,0.05,,-0.0568,0.13,0.08,0.05,,-0.0539,0.13,251.87M,257.38M,0.17
2010-06,373.99M,373.99M,233.55M,140.43M,,9.151M,,-21.32M,,58.04M,0.204M,-57.84M,0.145M,88.25M,52.18M,0.204M,58.04M,-57.84M,-19.30M,-57.84M,-24.96M,,-24.96M,4.318M,1.104M,18.36M,-19.54M,-2.538M,112.04M,64.26M,33.09M,-0.21,0.02,,-0.1161,-0.19,-0.21,0.02,,-0.1161,-0.19,227.08M,227.08M,0.17
2010-03,325.56M,325.56M,187.02M,138.54M,,13.54M,,-0.536M,,56.17M,0.151M,-56.02M,0.277M,94.40M,44.14M,0.151M,56.17M,-56.02M,4.393M,-56.02M,-7.479M,,-7.479M,10.13M,0.451M,18.36M,3.099M,-6.492M,129.26M,65.97M,48.69M,-0.12,0.05,,-0.1176,-0.07,-0.12,0.05,,-0.1176,-0.07,224.15M,224.15M,0.17
2009-12,303.25M,303.25M,175.03M,128.22M,,23.63M,,35.99M,,48.69M,0.305M,-48.39M,7.884M,106.07M,22.15M,0.305M,48.69M,-48.39M,45.88M,-48.39M,19.65M,-8.123M,27.77M,-12.60M,-0.243M,18.36M,14.93M,4.136M,142.90M,66.43M,68.34M,0.11,-0.07,,0.0057,0.04,0.11,-0.07,,0.0057,0.04,224.26M,224.26M,0.17
2009-09,319.96M,319.96M,174.47M,145.49M,,11.23M,,-290.80M,,56.18M,0.796M,-55.38M,-2.041M,95.07M,50.42M,0.796M,56.18M,-55.38M,-290.80M,-55.38M,-295.77M,7.947M,-303.72M,-10.43M,9.632M,18.36M,-304.52M,-105.06M,-153.71M,68.69M,-239.59M,-1.4,-0.04,,-0.556,-1.44,-1.4,-0.04,,-0.556,-1.44,223.95M,223.95M,0.17
2009-06,348.27M,348.27M,201.22M,147.06M,,13.60M,,-19.18M,,50.92M,0.005M,-50.91M,-2.28M,96.18M,50.88M,0.005M,50.92M,-50.91M,-19.18M,-50.91M,-19.21M,-3.187M,-16.03M,0.928M,1.055M,18.36M,-14.04M,1.027M,116.56M,67.95M,31.70M,-0.16,0.0,,-0.0828,-0.16,-0.16,0.0,,-0.0828,-0.16,207.29M,207.29M,0.17
2009-03,322.37M,322.37M,181.45M,140.92M,,9.88M,,30.70M,,51.01M,0.123M,-50.89M,-2.546M,86.32M,54.60M,0.123M,51.01M,-50.89M,30.70M,-50.89M,34.41M,-2.707M,37.12M,5.472M,-0.977M,18.36M,41.61M,16.18M,164.40M,63.72M,85.42M,0.12,0.03,,-0.0144,0.15,0.12,0.03,,-0.0081,0.15,148.49M,155.75M,0.25
2008-12,327.06M,327.06M,206.90M,120.16M,,77.21M,,31.25M,,38.00M,,-36.55M,-44.03M,100.84M,19.32M,,38.00M,-36.55M,55.07M,-36.55M,14.21M,-2.09M,16.30M,9.209M,-1.043M,18.39M,24.47M,-5.054M,119.87M,66.74M,52.21M,0.07,0.06,,-0.0676,0.13,0.07,0.06,,-0.0616,0.13,147.62M,154.34M,0.485
2008-09,308.58M,308.58M,169.95M,138.63M,,-10.45M,,4.365M,,50.07M,,-50.07M,25.01M,88.79M,49.84M,,50.07M,-50.07M,4.365M,-50.07M,24.94M,-4.239M,29.18M,1.765M,-0.586M,18.87M,30.36M,25.75M,149.24M,59.22M,75.01M,0.07,0.01,,0.0507,0.08,0.07,0.01,,0.0517,0.08,146.97M,154.84M,0.485
2008-06,305.86M,305.86M,159.34M,146.52M,,-6.889M,,3.361M,,47.84M,,-47.84M,15.03M,83.67M,62.85M,,47.84M,-47.84M,3.361M,-47.84M,,,26.86M,9.372M,-1.105M,18.87M,35.12M,23.57M,138.38M,59.63M,62.85M,0.05,0.06,,0.0351,0.11,0.05,0.06,,0.0359,0.11,146.74M,154.62M,0.48
2008-03,296.64M,296.64M,145.95M,150.69M,,12.16M,,7.142M,,48.10M,1.559M,-46.54M,-0.629M,-64.17M,214.86M,1.559M,48.10M,-46.54M,7.142M,-46.54M,,,13.91M,3.815M,0.114M,15.31M,17.84M,9.382M,275.71M,60.85M,214.86M,-0.01,0.03,,-0.0417,0.02,-0.01,0.03,,-0.04,0.02,146.33M,154.60M,0.48
2007-12,278.05M,278.05M,,,,9.766M,,7.017M,,44.53M,,-57.07M,,-136.71M,86.44M,,44.53M,-57.07M,7.017M,-57.07M,,,65.66M,9.101M,,12.61M,74.76M,61.10M,154.54M,60.95M,86.44M,0.35,0.05,,0.3187,0.4,0.34,0.05,,0.3105,0.4,145.69M,154.50M,0.48
2007-09,227.11M,227.11M,,,3.856M,3.856M,71.19M,0.625M,,43.41M,6.755M,-36.66M,80.30M,155.60M,71.52M,6.755M,43.41M,-36.66M,0.625M,-36.66M,,,31.12M,37.49M,,15.23M,68.61M,30.72M,146.67M,75.15M,71.52M,0.12,0.27,,0.117,0.39,0.12,0.27,,0.1172,0.39,137.58M,147.65M,0.48
2007-06,222.72M,222.72M,,,10.61M,10.61M,66.62M,1.221M,,40.18M,2.845M,-37.34M,66.04M,143.78M,78.94M,2.845M,40.18M,-37.34M,1.221M,-37.34M,,,31.90M,20.41M,,15.23M,52.30M,31.10M,168.38M,89.44M,78.94M,0.12,0.15,,0.1142,0.27,0.12,0.15,,0.1146,0.27,136.92M,148.13M,0.475
2007-03,224.53M,224.53M,,,13.46M,13.46M,,12.67M,,,,,84.29M,164.13M,60.40M,,,,12.67M,,,,33.46M,50.32M,-1.331M,15.23M,83.79M,25.23M,126.78M,52.14M,60.40M,0.13,0.37,,0.0698,0.5,0.13,0.36,,0.0749,0.49,136.82M,149.46M,0.475
2006-12,278.41M,292.15M,,,8.192M,8.192M,,,,,,,-338.60M,153.47M,101.75M,,,,,,,,66.38M,-0.954M,-4.952M,15.23M,65.42M,66.38M,172.25M,51.84M,101.75M,0.38,0.0,,0.38,0.38,0.38,-0.01,,0.38,0.37,134.66M,149.16M,0.475
2006-09,218.53M,218.53M,,,6.76M,6.76M,,0.73M,,,,,72.86M,139.05M,79.48M,,,,0.73M,,,,35.39M,41.57M,-2.252M,15.23M,76.96M,34.95M,138.92M,51.50M,79.48M,0.15,0.31,,0.1468,0.46,0.15,0.3,,0.1471,0.45,135.12M,150.95M,0.475
2006-06,204.99M,204.99M,,,6.953M,6.953M,,-1.174M,,,,,111.51M,177.87M,27.12M,,,,-1.174M,,,,27.90M,7.073M,-1.728M,13.26M,34.97M,28.60M,86.53M,52.39M,27.12M,0.11,0.05,,0.1152,0.16,0.11,0.05,,0.1147,0.16,134.97M,149.36M,0.47
2006-03,206.21M,202.34M,,,13.94M,13.94M,,-1.431M,-142.99M,,,,251.42M,180.00M,22.34M,,,,0.706M,,,,25.02M,1.768M,-1.184M,12.71M,26.79M,24.60M,79.97M,51.27M,22.34M,0.07,0.01,,0.0669,0.08,0.07,0.01,,0.0672,0.08,134.78M,149.26M,0.47
2005-12,-68.83M,208.53M,,,6.527M,6.527M,,1.41M,,,,,-874.80M,-146.68M,314.29M,,,,1.41M,,,,36.64M,5.033M,-2.42M,11.62M,41.68M,35.80M,376.55M,47.12M,314.29M,0.18,0.06,,0.1738,0.24,0.18,0.05,,0.1744,0.23,136.80M,151.15M,0.47
2005-09,294.39M,196.75M,,,5.803M,5.803M,,-0.922M,-231.26M,,,,393.49M,227.52M,-30.78M,,,,-0.922M,,,,29.31M,195.65M,-3.293M,11.62M,224.97M,29.87M,28.72M,53.25M,-30.78M,0.13,1.37,,0.1339,1.5,0.12,1.36,,0.1235,1.48,142.66M,158.47M,0.47
2005-06,297.36M,198.41M,,,7.035M,7.035M,,-0.023M,-221.98M,,,,319.05M,156.85M,41.56M,,,,-0.023M,,,,42.62M,9.301M,-3.123M,11.62M,51.92M,42.63M,94.31M,52.45M,41.56M,0.22,0.06,,0.2201,0.28,0.22,0.06,,0.2201,0.28,143.48M,157.70M,0.465
2005-03,189.04M,187.58M,38.61M,148.97M,8.476M,8.476M,,-2.019M,-129.09M,,,,149.44M,81.93M,67.04M,,,,-1.877M,,,,29.11M,7.995M,-1.941M,11.62M,37.10M,30.23M,120.15M,51.56M,67.04M,0.12,0.06,,0.1279,0.18,0.12,0.06,,0.1271,0.18,143.09M,157.72M,0.465
2004-12,303.52M,316.96M,,,5.548M,5.548M,,-4.19M,,,,,-83.21M,353.19M,-36.23M,,,,-4.19M,,,,57.97M,-7.363M,-5.039M,9.456M,50.61M,60.48M,57.53M,50.25M,-36.23M,0.34,-0.05,,0.3576,0.29,0.34,-0.05,,0.356,0.29,142.73M,157.38M,0.465
2004-09,185.76M,181.15M,,,6.858M,6.858M,,0.124M,-120.49M,,,,180.10M,114.60M,66.55M,,,,0.124M,,,,34.28M,16.56M,-3.003M,8.32M,50.85M,34.21M,117.79M,51.24M,66.55M,0.18,0.12,,0.1795,0.3,0.18,0.12,,0.1795,0.3,142.27M,157.10M,0.465
