,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,73.65M,,,-47.97M,-4.673M,-52.64M,63.94M,,63.94M,63.94M,,,8.715M,-0.367M,19.86M,,,19.50M,113.16M,-22.80M,,,9.404M,,29.38M,-38.34M,73.00M,-33.45M,39.55M,0.706M,,0.706M,,,,-71.40M,,-71.40M,-8.949M,-40.09M,193.63M,34.74M,228.36M,0.706M,75.00M,-2.001M,
2017-12,190.17M,,,-149.63M,-1.66M,-151.29M,62.69M,,62.69M,62.69M,,0.00,11.19M,-1.679M,-22.74M,,,-24.42M,88.33M,-361.73M,,,9.301M,,-9.861M,-385.10M,292.86M,11.68M,304.54M,6.074M,0.00,6.074M,,,,-374.06M,,-374.06M,-12.47M,-75.92M,566.31M,-372.68M,193.63M,6.074M,300.00M,-7.139M,0.00
2017-09,165.63M,,,-147.80M,1.005M,-130.22M,55.04M,,55.04M,55.04M,,3.622M,10.07M,4.624M,21.78M,,,26.40M,130.54M,-383.40M,,,-4.186M,,-26.21M,-313.85M,-165.60M,24.72M,-140.88M,3.619M,-0.457M,3.162M,,,,-67.64M,,-67.64M,-12.98M,-218.34M,967.97M,-401.66M,566.31M,3.619M,0.00,-165.60M,-0.457M
2017-06,1.228B,,,-1.145B,-46.02M,-1.181B,58.71M,,58.71M,58.71M,,0.00,11.18M,-2.659M,7.801M,,,5.142M,121.63M,-123.10M,,,104.96M,,11.14M,1.664B,-810.89M,-20.58M,-831.48M,2.904M,,2.904M,,,,-67.58M,,-67.58M,-0.814M,-896.96M,79.58M,888.39M,967.97M,2.904M,-189.00M,-621.89M,
2017-03,70.78M,,,-38.55M,-0.282M,-38.86M,66.17M,,66.17M,66.17M,,0.859M,13.77M,0.714M,-3.733M,,,-3.019M,109.71M,-114.37M,,,4.561M,,-8.584M,-188.87M,170.84M,7.115M,177.96M,0.786M,,0.786M,,,,-67.55M,,-67.55M,-9.495M,101.70M,57.04M,22.54M,79.58M,0.786M,189.00M,-18.16M,
2016-12,48.18M,0.00,,-32.46M,-6.151M,-13.35M,63.86M,,63.86M,63.86M,,2.92M,6.452M,-0.328M,-5.15M,,,-5.478M,102.59M,-154.61M,,,70.48M,,15.66M,-34.19M,-108.81M,13.35M,-95.46M,2.745M,0.00,2.745M,,,,-67.39M,,-67.39M,-0.884M,-160.99M,110.21M,-92.60M,57.04M,2.745M,-23.00M,-85.81M,0.00
2016-09,113.16M,0.00,,-84.62M,15.69M,-62.68M,64.96M,,64.96M,64.96M,,3.042M,12.05M,4.878M,20.82M,,,25.70M,156.23M,0.00,,,12.29M,,-29.50M,22.80M,-213.65M,-0.051M,-213.70M,117.67M,0.00,117.67M,,,,-63.23M,,-63.23M,-1.254M,-160.52M,91.70M,18.51M,110.21M,117.67M,0.00,-213.65M,0.00
2016-06,110.18M,-30.70M,,-40.27M,-23.69M,-92.23M,64.47M,,64.47M,64.47M,,5.651M,14.14M,-1.041M,24.16M,,,23.12M,125.33M,-16.03M,,,-20.84M,,144.41M,104.10M,-180.46M,-2.281M,-182.74M,99.30M,,99.30M,,,,-62.39M,,-62.39M,-7.537M,-153.37M,15.64M,76.06M,91.70M,99.30M,298.00M,-478.46M,
2016-03,43.76M,,,-15.62M,-16.48M,-32.10M,62.12M,,62.12M,62.12M,,6.405M,14.07M,1.764M,-23.15M,,,-21.38M,72.87M,,,,6.215M,,23.59M,-62.61M,60.04M,-8.693M,51.35M,0.548M,,0.548M,,,,-62.26M,,-62.26M,-6.792M,-17.16M,22.53M,-6.893M,15.64M,0.548M,77.00M,-16.96M,
2015-12,24.52M,0.00,,-45.60M,24.87M,-17.61M,61.55M,,61.55M,61.55M,,15.04M,13.20M,7.838M,3.896M,,,11.73M,108.43M,0.00,,,-17.32M,,15.17M,-26.11M,-106.78M,11.15M,-95.63M,-0.062M,,-0.062M,,,,-131.20M,,-131.20M,-8.771M,-235.66M,175.87M,-153.34M,22.53M,-0.062M,0.00,-106.78M,
2015-09,77.21M,,,-72.98M,9.805M,-63.24M,63.51M,,63.51M,63.51M,,2.426M,12.37M,-8.761M,19.05M,,,10.29M,102.57M,-7.92M,,,-2.901M,,52.00M,128.86M,-14.51M,-2.432M,-16.94M,-0.164M,,-0.164M,,,,-58.69M,,-58.69M,-0.009M,-75.81M,20.25M,155.62M,175.87M,-0.164M,,-14.51M,
2015-06,454.16M,0.00,,-523.78M,-7.926M,-449.05M,61.79M,,61.79M,61.79M,,5.47M,14.29M,6.196M,40.11M,,,46.30M,132.97M,-20.04M,,,64.32M,,-117.21M,1.041B,-1.106B,-6.376M,-1.112B,-0.126M,,-0.126M,,,,-58.67M,,-58.67M,-0.688M,-1.172B,17.81M,2.448M,20.25M,-0.126M,-347.00M,-758.83M,
2015-03,65.97M,,,-47.28M,-1.465M,-48.75M,66.84M,,66.84M,66.84M,,0.00,11.90M,-1.24M,-52.03M,,,-53.27M,42.68M,-0.89M,,,-47.52M,,0.161M,-22.61M,33.30M,1.054M,34.36M,4.882M,,4.882M,,,,-58.61M,,-58.61M,-0.816M,-20.18M,17.92M,-0.116M,17.81M,4.882M,347.00M,-313.70M,
2014-12,12.80M,,,-32.23M,-6.933M,-38.88M,73.32M,,73.32M,73.32M,,40.22M,19.07M,-12.83M,29.80M,,,16.96M,123.49M,-31.20M,,,16.00M,,-17.06M,-46.82M,245.62M,7.754M,253.38M,33.16M,,33.16M,,-332.80M,-332.80M,-58.31M,-6.606M,-64.92M,-13.71M,-124.88M,66.13M,-48.21M,17.92M,33.16M,248.00M,-2.377M,-332.80M
2014-09,71.56M,,,-56.52M,-8.975M,-65.50M,72.34M,,72.34M,72.34M,,6.368M,19.51M,5.812M,6.878M,,,12.69M,116.97M,-8.85M,,,28.05M,,-13.41M,-30.43M,75.34M,-20.11M,55.23M,64.86M,,64.86M,,-96.14M,-96.14M,-58.00M,-6.603M,-64.60M,-0.97M,-41.63M,21.22M,44.91M,66.13M,64.86M,52.00M,23.34M,-96.14M
2014-06,136.53M,,,-77.06M,-46.84M,-123.90M,73.22M,,73.22M,73.22M,,2.523M,22.18M,-10.62M,44.95M,,,34.33M,144.89M,-67.96M,,,34.00M,,-7.859M,-54.88M,-187.94M,4.03M,-183.92M,167.32M,,167.32M,,0.00,0.00,-56.32M,-7.046M,-63.37M,-8.306M,-88.27M,19.47M,1.751M,21.22M,167.32M,-92.00M,-95.94M,0.00
2014-03,25.57M,,,-30.11M,2.383M,-27.72M,71.39M,,71.39M,71.39M,,,23.40M,0.411M,-33.91M,,,-33.50M,59.14M,-17.22M,,,2.126M,,-3.167M,-74.91M,70.02M,3.629M,73.65M,23.78M,,23.78M,,-17.66M,-17.66M,-55.60M,-7.14M,-62.74M,-1.07M,15.97M,19.28M,0.199M,19.47M,23.78M,92.00M,-21.98M,-17.66M
2013-12,81.26M,,,-96.44M,2.247M,-84.76M,74.46M,,74.46M,74.46M,,0.00,31.95M,4.803M,10.34M,,,15.14M,118.05M,-72.58M,,,-19.91M,,-24.16M,107.69M,-187.65M,11.40M,-176.25M,17.16M,,17.16M,,0.00,0.00,-55.49M,-7.355M,-62.84M,-8.646M,-230.58M,24.11M,-4.837M,19.28M,17.16M,250.00M,-437.65M,0.00
2013-09,1.337M,,,-11.81M,6.038M,-5.768M,72.76M,,72.76M,72.76M,,0.00,31.09M,18.20M,1.803M,,,20.00M,119.42M,-38.65M,,,-8.63M,,-15.96M,-117.95M,39.76M,-5.304M,34.45M,30.60M,,30.60M,,0.00,0.00,-55.26M,-7.356M,-62.61M,-1.20M,1.244M,21.40M,2.71M,24.11M,30.60M,0.00,39.76M,0.00
2013-06,69.83M,,,-84.60M,3.481M,-81.12M,70.80M,,70.80M,70.80M,,3.777M,27.86M,-2.216M,35.82M,,,33.61M,124.77M,-298.79M,,,-8.414M,,-9.204M,-277.79M,-100.35M,6.351M,-94.00M,27.24M,,27.24M,,0.00,0.00,-54.88M,-7.355M,-62.23M,-3.759M,-132.75M,307.17M,-285.76M,21.40M,27.24M,250.00M,-350.35M,0.00
2013-03,44.12M,,,-9.122M,-43.93M,-53.05M,70.55M,,70.55M,70.55M,,,26.94M,11.14M,-26.26M,,,-15.12M,73.43M,-35.50M,,,84.39M,,-16.20M,-31.33M,-51.03M,-45.27M,-96.30M,574.68M,,574.68M,,-177.96M,-177.96M,-54.68M,-9.55M,-64.23M,-5.025M,231.17M,33.89M,273.28M,307.17M,574.68M,251.93M,-302.97M,-177.96M
2012-12,-22.48M,,,-2.387M,2.407M,0.02M,69.35M,,69.35M,69.35M,,0.00,29.36M,-6.542M,27.92M,,,21.38M,97.62M,-344.43M,,,-8.984M,,-1.215M,-462.46M,224.51M,45.27M,269.78M,78.99M,,78.99M,,0.00,0.00,-46.81M,-14.81M,-61.62M,-1.582M,285.58M,113.15M,-79.26M,33.89M,78.99M,264.74M,-40.23M,0.00
2012-09,-17.55M,,,-2.011M,1.308M,-0.703M,66.00M,,66.00M,66.00M,,0.00,25.64M,0.076M,-12.37M,,,-12.29M,61.09M,-90.06M,,,2.059M,,-10.02M,-175.64M,103.87M,0.00,103.87M,85.04M,,85.04M,,0.00,0.00,-45.86M,-11.08M,-56.94M,-10.83M,121.14M,106.56M,6.587M,113.15M,85.04M,300.00M,-196.13M,0.00
2012-06,-17.73M,,,-3.214M,4.469M,1.255M,63.62M,,63.62M,63.62M,,0.00,29.58M,-2.494M,40.86M,,,38.37M,115.10M,-99.53M,,,-12.91M,,-3.392M,-191.93M,220.43M,0.00,220.43M,4.289M,,4.289M,,0.00,0.00,-45.30M,-11.08M,-56.38M,0.311M,168.66M,14.74M,91.82M,106.56M,4.289M,313.30M,-92.87M,0.00
2012-03,-18.11M,,,-6.199M,4.995M,-1.204M,63.86M,,63.86M,63.86M,,,25.79M,-1.877M,-43.12M,,,-44.99M,25.34M,-131.52M,,,-3.521M,,-8.64M,-137.58M,-10.91M,0.00,-10.91M,146.97M,,146.97M,,-168.27M,-168.27M,-43.92M,-9.467M,-53.39M,-1.239M,-86.84M,213.81M,-199.07M,14.74M,146.97M,0.00,-10.91M,-168.27M
2011-12,60.25M,,83.32M,,4.123M,-78.16M,63.09M,,63.09M,63.09M,-99.36M,,127.06M,,,,,,92.45M,-164.54M,-504.69M,-124.41M,,,-26.48M,625.61M,-456.27M,,-456.27M,0.00,,0.00,,0.00,0.00,-43.00M,-14.01M,-57.00M,-7.162M,-520.44M,16.18M,197.63M,213.81M,0.00,-111.25M,-345.02M,0.00
2011-09,-14.87M,,-0.651M,,0.819M,-3.663M,68.32M,,68.32M,68.32M,32.73M,,18.27M,,,,,,100.79M,-160.53M,6.439M,-154.10M,,,-26.24M,-180.33M,146.12M,,146.12M,,,,,-108.63M,-108.63M,-42.97M,-14.40M,-57.37M,-2.042M,-21.92M,117.64M,-101.46M,16.18M,,111.25M,34.88M,-108.63M
2011-06,-13.86M,,-3.205M,,2.907M,-0.298M,68.75M,,68.75M,68.75M,35.07M,,26.60M,,,,,,116.27M,-142.69M,60.76M,-81.94M,,,-18.05M,-99.99M,-4.50M,,-4.50M,0.00,,0.00,,0.00,0.00,-42.95M,-15.97M,-58.92M,-2.325M,-65.75M,167.12M,-49.47M,117.64M,0.00,0.00,-4.50M,0.00
2011-03,64.79M,,-79.46M,,7.955M,-71.50M,67.06M,,67.06M,67.06M,31.56M,,-63.88M,,,,,,28.02M,-77.06M,437.49M,360.44M,,,45.21M,405.64M,-221.56M,,-221.56M,0.00,,0.00,,-2.096M,-2.096M,-42.89M,-15.97M,-58.87M,-2.415M,-284.94M,18.38M,148.73M,167.12M,0.00,,-221.56M,-2.096M
2010-12,25.82M,57.82M,31.30M,,1.202M,17.66M,69.71M,,69.71M,69.71M,-73.23M,0.00,45.91M,,,,,,148.30M,-68.54M,-200.44M,219.55M,,,41.26M,18.18M,-103.42M,,-103.42M,0.108M,,0.108M,,-2.938M,-2.938M,-42.90M,-16.02M,-58.92M,-3.778M,-168.95M,20.85M,-2.465M,18.38M,0.108M,95.24M,-198.66M,-2.938M
2010-09,57.44M,-57.82M,-11.40M,,5.052M,-64.00M,71.12M,,71.12M,71.12M,30.20M,1.86M,-2.156M,,,,,,94.45M,-304.52M,48.61M,-255.91M,,,-29.29M,-285.20M,73.91M,,73.91M,-0.252M,,-0.252M,,-57.54M,-57.54M,-42.86M,-16.73M,-59.58M,-1.201M,-44.68M,256.26M,-235.42M,20.85M,-0.252M,81.72M,-7.818M,-57.54M
2010-06,-20.64M,,-8.051M,,2.625M,10.35M,64.26M,,64.26M,64.26M,21.21M,7.974M,45.05M,,,,,,128.20M,-62.54M,43.17M,-19.38M,,,-38.25M,-57.62M,-24.19M,,-24.19M,298.15M,,298.15M,,-58.30M,-58.30M,-38.14M,-18.36M,-56.50M,-4.468M,154.69M,31.00M,225.27M,256.26M,298.15M,251.64M,-275.82M,-58.30M
2010-03,2.648M,,-11.85M,,-0.028M,-11.52M,65.97M,,65.97M,65.97M,21.82M,,-58.72M,,,,,,20.20M,-52.93M,108.67M,55.74M,,,-19.88M,35.85M,-114.52M,,-114.52M,,,,,0.00,0.00,-38.12M,-18.36M,-56.48M,-1.368M,-172.37M,147.32M,-116.32M,31.00M,,2.836M,-117.35M,0.00
2009-12,15.17M,,-13.96M,,-0.44M,-25.13M,66.43M,,66.43M,66.43M,22.56M,0.001M,10.40M,,,,,,96.71M,-104.28M,143.26M,38.98M,,,4.476M,43.45M,-79.16M,,-79.16M,-0.458M,113.25M,112.79M,,55.09M,55.09M,,,,-12.69M,-148.76M,155.91M,-8.592M,147.32M,-0.458M,5.079M,-84.24M,168.34M
2009-09,-314.15M,,0.00,,8.973M,1.341M,68.69M,,68.69M,68.69M,22.34M,284.84M,52.93M,,,,,,116.00M,-72.80M,12.85M,-59.96M,,,-44.84M,-104.80M,188.69M,,188.69M,-0.037M,-38.08M,-38.11M,,-18.36M,-18.36M,,,,-14.20M,118.01M,26.70M,129.22M,155.91M,-0.037M,620.39M,-431.70M,-56.44M
2009-06,-15.10M,,-0.049M,,,8.582M,67.95M,,67.95M,67.95M,22.20M,17.72M,37.97M,,,,,,139.33M,-101.10M,39.02M,-78.28M,,,30.00M,-32.08M,-594.64M,,-594.64M,551.60M,-38.05M,513.55M,,-18.36M,-18.36M,,,,-3.278M,-102.72M,22.17M,4.528M,26.70M,551.60M,-181.32M,-413.32M,-56.41M
2009-03,42.59M,,-5.476M,,,-5.476M,63.72M,,63.72M,63.72M,19.89M,,-72.30M,,,,,,48.43M,-106.89M,61.20M,-29.48M,,,-36.84M,-82.53M,89.23M,,89.23M,0.026M,-37.12M,-37.10M,,-18.36M,-18.36M,,,,-0.026M,33.74M,22.53M,-0.361M,22.17M,0.026M,346.27M,-257.04M,-55.49M
2008-12,25.51M,0.00,-9.181M,,5.618M,194.36M,66.74M,,66.74M,66.74M,20.76M,6.158M,0.05M,,,,,,313.58M,-98.22M,30.85M,-119.77M,,,-26.54M,-93.92M,-99.03M,,-99.03M,3.08M,211.90M,214.98M,0.00,40.63M,40.63M,,,,-2.376M,-200.60M,3.47M,19.06M,22.53M,3.08M,0.00,-99.03M,252.53M
2008-09,30.94M,0.00,-5.768M,,-1.943M,-0.981M,59.22M,,59.22M,59.22M,19.52M,5.273M,97.44M,,,,,,211.41M,-144.31M,16.44M,-107.47M,,,-45.30M,-173.16M,36.77M,,36.77M,5.09M,-71.26M,-66.18M,-0.057M,-18.87M,-18.92M,,,,-4.149M,-52.48M,17.70M,-14.23M,3.47M,5.033M,0.00,36.77M,-90.13M
2008-06,36.23M,0.00,-12.92M,,1.943M,-10.98M,59.63M,,59.63M,59.63M,20.20M,0.00,10.56M,,,,,,115.63M,-136.37M,42.59M,-79.65M,,,-7.449M,-101.23M,80.30M,,80.30M,3.017M,-70.42M,-67.40M,-0.374M,-18.87M,-19.24M,,,,-5.88M,-12.22M,15.53M,2.175M,17.70M,2.643M,236.00M,-155.70M,-89.29M
2008-03,17.72M,,-1.739M,,,-1.739M,60.85M,,60.85M,60.85M,21.67M,,-96.28M,,,,,,2.223M,-193.18M,26.68M,-148.63M,,,12.22M,-154.28M,-72.53M,,-72.53M,5.913M,-70.21M,-64.30M,290.44M,-15.31M,275.14M,,,,-18.74M,119.57M,48.01M,-32.48M,15.53M,296.36M,89.00M,-161.53M,-85.52M
2007-12,74.76M,,-24.54M,,,-11.42M,53.49M,7.461M,60.95M,60.95M,,,53.12M,,,,,,188.62M,-409.62M,75.85M,-247.83M,,,44.11M,-289.66M,103.98M,,116.76M,237.91M,-69.90M,168.01M,0.00,-86.59M,-86.59M,,-58.29M,-58.29M,-9.262M,130.63M,18.42M,29.59M,48.01M,237.91M,229.80M,-125.82M,-156.49M
2007-09,68.61M,,-41.47M,,,-41.47M,55.87M,19.28M,75.15M,75.15M,,,-48.47M,,,,,,53.83M,-168.32M,135.66M,-32.66M,,,-62.07M,-94.73M,222.79M,,87.01M,2.753M,-65.75M,-63.00M,,-15.23M,-15.23M,,,,5.078M,13.87M,45.46M,-27.03M,18.42M,2.753M,325.60M,-102.81M,-80.98M
2007-06,52.30M,,-88.49M,,,-88.49M,52.97M,36.47M,89.44M,89.44M,,,16.09M,,,,,,69.35M,-357.77M,92.71M,-265.06M,,96.59M,109.66M,-58.81M,-12.78M,,110.22M,0.136M,-130.05M,-129.91M,,-30.45M,-30.45M,65.00M,15.23M,80.23M,-4.652M,25.43M,9.492M,35.96M,45.46M,0.136M,-4.988M,-7.797M,-160.50M
2007-03,83.79M,,,,,,52.14M,,52.14M,52.14M,,,-123.80M,,,,,,12.14M,-34.74M,176.73M,141.99M,,-96.59M,-37.02M,8.376M,6.805M,,6.805M,0.00,,0.00,0.00,,0.00,-65.00M,-15.23M,-80.23M,-6.077M,-79.50M,68.48M,-58.99M,9.492M,0.00,18.81M,-12.01M,
2006-12,65.42M,,,,,,51.84M,,51.84M,51.84M,8.617M,,41.36M,,,,,,167.24M,-68.40M,40.55M,-27.85M,,-110.84M,197.23M,58.54M,33.90M,-521.00M,-487.10M,0.336M,-89.40M,-89.06M,0.00,0.00,0.00,-64.25M,-15.23M,-79.47M,473.34M,-182.30M,25.00M,43.48M,68.48M,0.336M,377.47M,-343.58M,-89.40M
2006-09,76.96M,,,,,,51.50M,,51.50M,51.50M,-3.818M,,-100.48M,,,,,,24.16M,-82.91M,110.59M,27.68M,,-106.93M,-66.24M,-145.48M,517.67M,521.00M,1.039B,0.729M,0.00,0.729M,0.00,0.00,0.00,-64.18M,-15.23M,-79.41M,-820.70M,139.29M,7.039M,17.96M,25.00M,0.729M,1.221B,-703.33M,0.00
2006-06,34.97M,,,,,,52.39M,,52.39M,52.39M,2.111M,,-33.95M,,,,,,55.52M,-81.45M,19.28M,-62.17M,,-83.27M,-66.30M,-211.73M,-17.64M,,-17.64M,0.84M,4.767M,5.607M,106.26M,0.00,106.26M,-63.39M,-13.26M,-76.65M,145.67M,163.25M,0.00,7.039M,7.039M,107.10M,0.00,-17.64M,4.767M
2006-03,26.79M,,,,,,51.27M,,51.27M,51.27M,1.707M,,-50.97M,,,,,,28.80M,-203.16M,10.40M,-192.76M,,-84.48M,-660.98M,-938.22M,758.64M,,758.64M,4.767M,-16.65M,-11.88M,177.73M,-75.01M,102.72M,-63.68M,-12.71M,-76.40M,109.60M,882.69M,26.73M,-26.73M,0.00,182.50M,860.45M,-101.81M,-91.66M
2005-12,41.68M,,,,,,47.12M,,47.12M,47.12M,1.467M,,-9.902M,,,,,,80.36M,-327.88M,39.25M,-288.63M,,-79.16M,240.60M,-127.20M,693.28M,,693.28M,288.83M,-192.54M,96.30M,0.00,0.00,0.00,4.108M,-11.62M,-7.512M,-833.36M,-51.29M,124.87M,-98.14M,26.73M,288.83M,694.68M,-1.394M,-192.54M
2005-09,224.97M,,,,,,53.25M,,53.25M,53.25M,1.60M,,-150.23M,,,,,,129.58M,-53.35M,1.025B,971.45M,,-62.60M,-82.91M,825.94M,-535.87M,,-535.87M,1.472M,-95.17M,-93.70M,0.00,0.00,0.00,161.69M,-11.62M,150.07M,-357.64M,-837.14M,6.487M,118.38M,124.87M,1.472M,0.00,-535.87M,-95.17M
2005-06,51.92M,,,,,,52.45M,,52.45M,52.45M,1.543M,,23.56M,,,,,,129.47M,-5.421M,57.01M,51.59M,,-38.54M,-296.08M,-283.03M,392.29M,-272.00M,120.29M,0.709M,0.00,0.709M,0.00,0.00,0.00,-73.00M,-11.62M,-84.62M,119.99M,156.37M,3.679M,2.808M,6.487M,0.709M,400.00M,-7.711M,0.00
2005-03,37.10M,,,,,,51.56M,,51.56M,51.56M,1.544M,,-25.36M,,,,,,64.85M,-34.46M,13.61M,-20.85M,,-29.69M,-37.10M,-87.65M,-166.70M,272.00M,105.30M,0.633M,0.00,0.633M,0.00,0.00,0.00,-72.97M,-11.62M,-84.59M,-0.462M,20.89M,5.589M,-1.91M,3.679M,0.633M,0.00,-166.70M,0.00
2004-12,50.61M,,,,,,50.25M,,50.25M,50.25M,1.538M,,5.494M,,,,,,107.88M,-20.62M,30.95M,10.33M,,-47.81M,-37.38M,-74.86M,-152.67M,12.00M,-140.67M,104.57M,-102.65M,1.916M,193.42M,-0.001M,193.42M,-291.54M,-8.32M,-299.86M,217.76M,-27.43M,0.00,5.589M,5.589M,297.99M,250.00M,-402.67M,-102.65M
2004-09,50.85M,,,,,,51.24M,,51.24M,51.24M,1.298M,,2.993M,,,,,,106.38M,-215.61M,110.20M,-105.41M,,30.73M,-32.72M,-107.40M,132.78M,-37.00M,95.78M,-101.57M,102.65M,1.081M,-0.035M,0.00,-0.035M,145.49M,-8.32M,137.17M,-243.76M,-9.769M,10.79M,-10.79M,0.00,-101.60M,250.00M,-117.22M,102.65M
