,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,136.20M,,,,525.18M,525.18M,104.61M,25.80M,-76.17M,131.15M,-16.26M,,-135.17M,,,-137.95M,-158.23M,557.39M,,-981.13M,,-49.65M,,-15.17M,21.86M,-974.44M,,1.772B,-773.18M,998.55M,1.952M,,1.952M,,0.00,0.00,-160.89M,-3.439M,-164.33M,5.193M,841.37M,,781.27M,424.32M,,1.206B,,1.952M,2.506B,-734.00M,0.00,,185.61M,,AOR,Restated
2017-12,-475.71M,,,16.27M,517.01M,517.01M,619.66M,115.41M,-298.10M,100.39M,-23.79M,,151.58M,,,188.03M,416.20M,910.75M,,-1.153B,,-168.03M,,101.22M,38.91M,-1.013B,,224.02M,225.62M,449.64M,65.61M,,65.61M,,,,-160.49M,-3.602M,-164.09M,-7.394M,337.56M,,546.29M,234.98M,,781.27M,,80.01M,586.78M,-362.77M,,,170.46M,,AOR,Restated
2017-09,401.64M,,,0.00,518.89M,518.89M,233.62M,21.01M,-2.34M,-204.12M,14.53M,,-18.72M,,,-71.46M,-279.76M,893.07M,,-918.69M,,-16.30M,,-146.06M,7.237M,-1.058B,,-170.50M,103.72M,-66.78M,7.302M,,7.302M,,,,-156.19M,-3.446M,-159.63M,-4.642M,-223.75M,,934.50M,-388.20M,,546.29M,,7.302M,186.08M,-356.58M,,,173.36M,,AOR,Restated
2017-06,413.37M,,,0.00,511.30M,511.30M,-340.72M,75.80M,-66.29M,-150.11M,-0.252M,,123.97M,,,-276.77M,-303.16M,290.29M,,-997.41M,,-72.14M,,0.785M,38.22M,-958.40M,,745.68M,-74.42M,671.26M,5.371M,,5.371M,,,,-156.14M,-3.446M,-159.58M,2.495M,519.55M,,1.083B,-148.57M,,934.50M,,5.371M,800.33M,-54.65M,,-18.04M,156.42M,,AOR,Restated
2017-03,86.05M,,,-16.27M,531.37M,531.37M,16.50M,145.03M,-199.51M,156.20M,6.465M,,-120.44M,,,-76.00M,-33.77M,529.39M,,-932.06M,,-137.61M,,-52.79M,173.05M,-811.80M,,-575.49M,908.38M,332.89M,2.448M,,2.448M,,,,-156.07M,-3.446M,-159.52M,1.81M,177.62M,,1.188B,-104.78M,,1.083B,,2.448M,236.20M,-811.69M,,18.04M,178.13M,,AOR,Restated
2016-12,-1.766B,,,,574.42M,574.42M,-955.86M,2.802B,-162.33M,173.87M,9.31M,-58.39M,80.64M,,,47.72M,253.15M,746.30M,,-931.16M,,-154.36M,,-31.08M,94.68M,-867.56M,,210.37M,-18.35M,192.02M,-0.006M,,-0.006M,,-30.00M,-30.00M,-155.84M,-3.842M,-159.68M,-0.668M,1.662M,,1.307B,-119.59M,,1.188B,,-0.006M,1.292B,-1.082B,-30.00M,175.30M,1.331B,,AOR,Restated
2016-09,393.20M,,,,536.12M,536.12M,289.63M,18.84M,43.01M,-213.17M,19.31M,22.37M,50.58M,,,-159.58M,-280.49M,1.000B,,-746.59M,,-37.66M,,-0.851M,31.19M,-716.25M,,842.29M,-591.52M,250.76M,16.26M,,16.26M,,-85.28M,-85.28M,-152.15M,-6.395M,-158.54M,4.072M,27.27M,,996.10M,311.34M,,1.307B,,16.26M,1.652B,-809.40M,-85.28M,-164.60M,-995.11M,,AOR,Restated
2016-06,572.59M,,,,512.50M,512.50M,-245.44M,6.968M,-76.32M,-134.20M,18.68M,23.05M,130.77M,,,-89.33M,-51.04M,719.26M,,-696.90M,,-38.41M,,191.04M,117.65M,-388.21M,,-529.57M,258.81M,-270.76M,11.07M,,11.07M,,,,-152.00M,-5.276M,-157.28M,-9.632M,-426.60M,,1.092B,-95.55M,,996.10M,,11.07M,986.96M,-1.517B,,58.22M,159.44M,,AOR,Restated
2016-03,235.24M,0.00,,0.00,500.25M,500.25M,75.42M,7.361M,-226.04M,76.53M,-9.089M,-16.00M,-94.90M,,,-15.96M,-59.41M,532.82M,,-1.670B,,-1.034B,,-225.76M,17.34M,-1.878B,,966.14M,271.73M,1.238B,5.787M,,5.787M,,,,-151.84M,-5.276M,-157.12M,-0.644M,1.086B,,1.351B,-259.31M,,1.092B,,5.787M,2.870B,-1.904B,,26.38M,251.30M,,AOR,Restated
2015-12,104.85M,,,,504.55M,504.55M,-552.37M,462.70M,103.39M,260.46M,-4.798M,-26.26M,-21.98M,,,265.03M,472.46M,941.54M,,-952.44M,,-153.34M,,-10.19M,540.22M,-422.41M,,129.90M,-287.67M,-157.77M,0.148M,0.00,0.148M,,0.00,107.43M,-151.63M,-4.91M,-156.54M,-2.034M,-208.77M,,1.041B,310.36M,,1.351B,,107.57M,1.296B,-1.166B,0.00,7.81M,140.14M,,AOR,Restated
2015-09,-718.23M,,,,542.80M,542.80M,-447.99M,1.642B,86.76M,-122.14M,-3.83M,127.26M,-1.098M,,,-94.45M,-94.26M,1.011B,,-780.39M,,-174.56M,,30.47M,-66.36M,-816.28M,,429.79M,-157.95M,271.84M,0.321M,-74.73M,-74.41M,,-94.28M,-94.28M,-149.01M,-5.089M,-154.10M,-13.82M,-64.77M,,910.37M,130.23M,,1.041B,,0.321M,1.340B,-910.46M,-169.01M,5.012M,182.50M,,AOR,Restated
2015-06,153.72M,,,,543.88M,543.88M,84.27M,0.00,41.86M,-122.46M,18.80M,48.91M,72.67M,,,-114.27M,-96.34M,727.40M,,-632.28M,,-69.31M,,-55.05M,17.12M,-670.21M,,-321.83M,131.57M,-190.26M,0.741M,0.00,0.741M,,,,-149.00M,-4.88M,-153.88M,16.04M,-327.37M,,1.181B,-270.18M,,910.37M,,0.741M,377.57M,-699.40M,0.00,24.85M,137.21M,,AOR,Restated
2015-03,302.93M,,,,526.01M,526.01M,95.73M,0.00,-97.67M,22.29M,-22.55M,-67.94M,-196.25M,,,48.42M,-216.04M,610.96M,,-629.35M,,-96.39M,,-23.44M,-47.08M,-699.88M,,-197.19M,210.01M,12.82M,23.16M,-25.08M,-1.922M,,,,-149.26M,-4.879M,-154.14M,-9.32M,-152.56M,,1.422B,-241.48M,,1.181B,,23.16M,488.06M,-685.26M,-25.08M,65.92M,203.79M,,AOR,Restated
2014-12,125.01M,,,,542.34M,542.34M,116.55M,16.61M,-588.81M,217.60M,-26.34M,-82.73M,56.12M,,,621.72M,786.36M,998.07M,,-796.66M,,-184.08M,,-20.48M,31.09M,-786.05M,,644.84M,-293.04M,351.80M,106.80M,-165.01M,-58.21M,,0.00,0.00,-149.81M,-4.879M,-154.69M,2.597M,141.49M,,1.069B,353.52M,,1.422B,,106.80M,1.432B,-787.62M,-165.01M,29.94M,135.28M,,AOR,Restated
2014-09,234.92M,,,,543.58M,543.58M,122.81M,106.92M,44.05M,-71.99M,-2.262M,59.06M,-92.30M,,,418.15M,310.66M,1.363B,,-664.17M,,-117.18M,,146.14M,-259.76M,-777.78M,,124.49M,-147.90M,-23.41M,6.71M,0.00,6.71M,,0.00,0.00,-149.08M,-4.88M,-153.96M,3.952M,-166.70M,,650.07M,418.44M,,1.069B,,6.71M,435.46M,-310.96M,0.00,28.36M,163.35M,,AOR,Restated
2014-06,194.28M,,,,525.53M,525.53M,123.47M,,-1.313M,-96.23M,16.18M,40.51M,40.14M,,,-81.17M,-80.56M,761.41M,,-569.89M,,-93.62M,,-188.34M,23.17M,-735.06M,,-10.02M,-165.50M,-175.52M,45.82M,-18.26M,27.56M,,,,-148.95M,-4.879M,-153.83M,17.03M,-284.76M,,908.48M,-258.42M,,650.07M,,45.82M,478.92M,-488.94M,-18.26M,15.31M,131.64M,,AOR,Restated
2014-03,406.05M,,,,516.44M,516.44M,234.10M,,-101.88M,49.11M,15.94M,-79.83M,8.068M,,,-280.84M,-287.56M,767.16M,,-626.02M,,-142.67M,,-7.67M,-21.91M,-655.60M,,17.45M,157.96M,175.41M,35.54M,0.00,35.54M,,,,-148.28M,-4.873M,-153.15M,,57.80M,,739.13M,169.36M,,908.48M,,35.54M,753.24M,-735.79M,0.00,4.196M,181.11M,,AOR,Restated
2013-12,151.35M,,,,539.09M,539.09M,137.74M,50.03M,306.01M,93.23M,-11.55M,-136.48M,196.98M,,,-293.08M,-150.90M,989.76M,,-643.05M,,-136.67M,,-70.99M,22.30M,-543.82M,,111.58M,-59.15M,52.43M,3.807M,,3.807M,,,,-148.01M,-4.333M,-152.34M,,-71.86M,,365.33M,374.09M,-0.292M,739.13M,,28.06M,820.02M,-708.44M,,20.18M,94.15M,,AOR,Restated
2013-09,244.18M,,,,524.04M,524.04M,11.86M,291.50M,72.40M,-55.60M,10.23M,52.03M,-255.03M,,,187.94M,-60.43M,1.084B,,-725.30M,,-188.95M,,-41.21M,13.91M,-752.60M,,-143.98M,15.92M,-128.06M,4.086M,0.00,4.086M,,,,-147.98M,-4.332M,-152.31M,,-276.29M,,311.37M,54.66M,-0.704M,365.33M,,4.086M,952.13M,-1.096B,0.00,18.90M,173.88M,,AOR,Restated
2013-06,168.06M,,,,476.02M,476.02M,63.52M,,-63.64M,-188.43M,11.34M,-22.53M,220.25M,,,-92.66M,-72.03M,571.92M,,-677.34M,,-64.34M,,-7.768M,41.70M,-643.41M,,248.90M,16.24M,265.14M,8.532M,0.00,8.532M,,,,-149.15M,-4.555M,-153.71M,,119.96M,,262.93M,48.46M,-0.021M,311.37M,,8.532M,1.409B,-1.160B,0.00,76.32M,123.06M,,AOR,Restated
2013-03,166.98M,,,,472.93M,472.93M,98.67M,,-0.269M,-29.84M,-5.147M,-35.65M,-71.43M,,,-52.26M,-194.33M,543.99M,,-777.02M,,-145.17M,,-78.54M,193.80M,-661.76M,,-285.14M,277.89M,-7.257M,8.102M,,8.102M,,,,-147.90M,-5.582M,-153.48M,,-152.64M,,532.57M,-270.41M,0.772M,262.93M,,8.102M,564.72M,-849.86M,,12.34M,179.12M,,AOR,Restated
2012-12,301.85M,,,,477.98M,477.98M,-137.71M,0.00,-69.87M,147.81M,-2.541M,10.86M,-124.47M,,,116.58M,148.24M,720.50M,,-1.407B,,-600.76M,,53.16M,36.99M,-1.317B,,87.65M,439.83M,527.48M,6.284M,,6.284M,,,,-147.92M,-6.832M,-154.75M,0.00,379.02M,,749.72M,-217.06M,-0.092M,532.57M,,6.284M,1.189B,-1.101B,,6.742M,123.98M,,AOR,Restated
2012-09,342.67M,,,,461.00M,461.00M,233.88M,0.00,-146.00M,-109.83M,10.16M,57.07M,117.48M,,,65.42M,140.31M,1.032B,,-788.52M,,-172.11M,,-143.75M,109.25M,-823.02M,,135.24M,252.46M,387.70M,21.97M,,21.97M,,,,-147.55M,-4.332M,-151.88M,0.00,257.79M,,283.39M,466.64M,-0.315M,749.72M,,21.97M,964.33M,-829.09M,,0.022M,168.52M,,AOR,Restated
2012-06,370.58M,,,,382.65M,382.65M,-161.52M,0.00,73.21M,-208.39M,0.991M,77.14M,179.15M,,,-126.41M,-77.52M,587.42M,,-729.13M,,-40.39M,,-78.23M,56.42M,-750.93M,,-50.06M,-37.40M,-87.46M,1.802M,,1.802M,,,,-147.07M,-5.583M,-152.65M,0.00,-238.31M,,685.00M,-401.82M,0.209M,283.39M,,1.802M,290.22M,-340.28M,,6.458M,118.96M,,AOR,Restated
2012-03,-146.74M,,,,450.01M,450.01M,38.86M,355.52M,-49.48M,156.20M,-20.21M,-89.58M,-177.79M,,,83.72M,-47.67M,600.50M,,-764.60M,,-201.06M,,61.56M,-46.23M,-749.28M,,175.30M,32.78M,208.08M,32.83M,,32.83M,,,,-146.67M,-5.582M,-152.26M,51.00M,139.65M,,694.44M,-9.126M,-0.31M,685.00M,,32.83M,1.035B,-859.65M,,35.99M,134.66M,,AOR,Restated
2011-12,160.03M,,,,429.72M,429.72M,-274.05M,0.00,-604.85M,241.62M,-7.284M,,-119.20M,,,593.04M,1.288B,999.06M,,-1.092B,,-512.62M,0.00,100.72M,-60.09M,-1.051B,,-34.72M,-36.54M,-71.26M,13.30M,-30.31M,-17.01M,,,,-146.32M,-5.887M,-152.20M,,-240.48M,,987.14M,-292.76M,0.062M,694.44M,,13.30M,1.425B,-1.490B,-30.31M,,532.27M,,AOR,Restated
2011-09,633.07M,,,,463.70M,463.70M,-311.10M,0.00,0.00,-45.27M,18.13M,,72.07M,,,321.90M,366.84M,1.153B,,-541.62M,,-72.25M,6.531M,-45.55M,12.87M,-567.78M,,68.99M,14.08M,83.07M,15.93M,-75.03M,-59.10M,,,,-146.94M,-5.015M,-151.95M,,-127.98M,,529.86M,456.75M,0.535M,987.14M,,15.93M,490.49M,-391.46M,-75.03M,-0.077M,-267.49M,,AOR,Restated
2011-06,320.60M,,,,429.62M,429.62M,131.34M,0.00,0.00,-270.96M,7.051M,,167.28M,,,-130.77M,-227.40M,654.15M,,-906.52M,,-401.78M,,-48.52M,24.14M,-930.90M,,385.88M,-52.28M,333.60M,4.678M,-105.20M,-100.52M,,,,-147.68M,-5.016M,-152.69M,,80.38M,,726.24M,-196.37M,-0.012M,529.86M,,4.678M,663.74M,-277.86M,-105.20M,-4.303M,102.93M,,AOR,Restated
2011-03,253.68M,,,,422.41M,422.41M,173.78M,0.00,0.00,102.71M,-12.51M,,-286.29M,,,-330.68M,-526.77M,323.10M,,-787.54M,,-300.98M,,-132.94M,23.65M,-896.82M,,133.36M,68.24M,201.60M,12.28M,-54.40M,-42.12M,,,,-148.68M,-5.015M,-153.69M,,5.787M,,1.294B,-567.94M,-0.298M,726.24M,,12.28M,411.44M,-278.08M,-54.40M,4.38M,164.56M,,AOR,Restated
2010-12,233.31M,,,,445.79M,445.79M,194.63M,,,143.69M,-13.99M,,38.73M,-482.96M,,245.98M,-68.56M,760.99M,,-655.51M,0.00,-91.93M,218.50M,-149.09M,6.628M,-579.48M,,-455.31M,,-455.31M,5.40M,-212.95M,-207.55M,,,,-150.17M,-5.015M,-155.19M,,-818.05M,,1.931B,-636.54M,0.088M,1.294B,,5.40M,1.598B,-2.054B,-212.95M,-0.82M,133.88M,,AOR,Restated
2010-09,497.90M,,,,427.76M,427.76M,181.72M,,-178.37M,-65.88M,-1.674M,,74.18M,482.96M,,278.66M,768.25M,1.697B,,-589.08M,7.894M,-89.06M,0.00,-255.07M,14.41M,-821.84M,,388.35M,-17.12M,371.22M,37.05M,-527.88M,-490.83M,,,,-154.89M,-5.015M,-159.90M,,-279.50M,,1.336B,595.91M,-0.512M,1.931B,,37.05M,1.746B,-1.358B,-527.88M,6.91M,131.50M,,AOR,Restated
2010-06,320.28M,,,,408.35M,408.35M,209.11M,,78.96M,-221.28M,11.33M,,135.35M,,,-148.53M,-223.13M,793.57M,,-624.60M,,-153.49M,0.00,-49.90M,17.04M,-657.45M,,-191.24M,30.49M,-160.75M,2.638M,-137.75M,-135.11M,,,,-156.90M,-5.018M,-161.92M,,-457.78M,,1.657B,-321.66M,0.155M,1.336B,,2.638M,483.24M,-674.48M,-137.75M,24.67M,138.25M,,AOR,Restated
2010-03,218.81M,,,,423.43M,423.43M,133.53M,,99.42M,43.83M,-6.324M,,-130.96M,,,-107.47M,-200.93M,674.26M,,-512.81M,,-65.34M,9.675M,-3.667M,-8.644M,-515.45M,,-57.74M,-13.37M,-71.11M,6.078M,0.00,6.078M,,,,-141.89M,-5.015M,-146.91M,,-211.94M,,1.710B,-53.12M,0.607M,1.657B,,6.078M,42.54M,-100.29M,0.00,1.385M,130.37M,,AOR,Restated
2009-12,318.74M,,,,382.75M,382.75M,351.89M,,-150.94M,101.59M,9.461M,,-114.48M,,,24.82M,21.39M,923.83M,,-822.16M,108.14M,-125.62M,0.50M,-24.58M,91.37M,-646.73M,,438.54M,,438.54M,10.98M,0.00,10.98M,,0.00,0.00,-141.78M,-4.965M,-146.74M,,302.78M,,1.131B,579.87M,-1.098M,1.710B,,10.98M,1.222B,-783.44M,0.00,24.14M,126.07M,,AOR,Restated
2009-09,460.17M,,,,378.91M,378.91M,263.35M,,-130.32M,12.97M,13.79M,,-64.80M,,,58.92M,20.87M,992.98M,,-552.94M,209.41M,67.26M,30.40M,-18.50M,3.448M,-328.18M,,-63.75M,0.00,-63.75M,14.52M,-613.12M,-598.60M,,-1.847M,-1.847M,-146.02M,-4.998M,-151.02M,,-815.21M,,1.281B,-150.41M,0.285M,1.131B,,14.52M,-1.807M,-61.94M,-614.97M,15.78M,121.16M,,AOR,Restated
2009-06,231.81M,,,,348.76M,348.76M,94.42M,,48.89M,-100.54M,13.67M,,94.18M,,,-89.45M,-82.15M,641.73M,,-507.00M,10.17M,-20.51M,8.654M,-11.08M,26.58M,-472.68M,,-539.45M,,-539.45M,1.764M,0.00,1.764M,,,,-147.07M,-4.997M,-152.07M,,-689.76M,,1.803B,-520.71M,-1.345M,1.281B,,1.764M,268.32M,-807.77M,0.00,-12.00M,144.29M,,AOR,Restated
2009-03,240.33M,,,,348.44M,348.44M,155.03M,,50.98M,102.43M,-17.63M,,-184.20M,,,-320.76M,-420.16M,374.62M,,-574.63M,11.04M,-107.85M,0.00,-20.33M,-62.88M,-646.80M,,299.96M,,299.96M,0.927M,,0.927M,,,,-142.08M,-4.998M,-147.08M,,153.81M,,1.920B,-118.38M,0.842M,1.803B,,0.927M,514.99M,-215.02M,,15.14M,176.89M,,AOR,Restated
2008-12,190.54M,,,435.64M,,494.74M,-227.76M,,-1.440B,344.00M,12.32M,,-28.41M,,395.62M,455.18M,1.179B,631.51M,,-1.181B,427.21M,1.459B,30.72M,-196.74M,271.92M,-647.43M,,999.89M,,-429.18M,-1.066M,-44.27M,-45.34M,,,,-573.04M,-20.02M,-147.01M,,-621.52M,,2.556B,-637.44M,2.043M,1.920B,,-1.066M,3.487B,-2.487B,-44.27M,9.281M,156.50M,,,Restated
2008-09,460.32M,,-3.501M,-508.66M,,311.17M,196.37M,,1.273B,-48.54M,-7.624M,,-182.04M,,-395.62M,680.50M,46.68M,1.779B,,-1.449B,-152.35M,-1.601B,-30.72M,133.47M,563.17M,-935.02M,,-567.15M,,861.92M,7.979M,-98.47M,-90.49M,,,,288.17M,10.03M,-147.86M,,623.57M,,1.086B,1.468B,1.675M,2.556B,,7.979M,-1.951B,1.383B,-98.47M,127.95M,455.79M,,,
2008-06,280.93M,,3.501M,36.81M,,294.79M,267.35M,,0.101M,-207.44M,10.41M,,299.18M,,195.65M,-712.39M,-414.59M,465.40M,,155.83M,152.35M,308.18M,30.72M,153.39M,-912.32M,-420.02M,,567.15M,,460.38M,23.19M,-211.43M,-188.24M,,,,-288.17M,-10.03M,-146.35M,,125.79M,,915.71M,171.16M,-0.447M,1.086B,,23.19M,1.951B,-1.383B,-211.43M,-2.157M,-183.79M,,,Restated
2008-03,308.75M,,,36.21M,,290.98M,97.98M,,-2.909M,-9.374M,-22.66M,,9.522M,,-195.65M,-64.68M,-282.84M,448.17M,,-429.73M,,-429.73M,,-286.87M,128.97M,-587.62M,,,,106.77M,4.67M,-158.18M,-153.51M,,,,,,-151.85M,,-198.59M,,1.254B,-338.04M,0.017M,915.71M,,4.67M,,,-158.18M,2.157M,183.79M,,,
2007-12,193.89M,,,72.31M,,297.98M,-34.19M,,166.22M,254.81M,-10.84M,,52.69M,,90.47M,-150.32M,236.81M,933.02M,,-631.54M,40.77M,-590.76M,,,-57.00M,-647.76M,,,,-111.16M,29.66M,-245.77M,-216.12M,,,,,,-152.10M,,-479.37M,,1.467B,-194.11M,0.424M,1.273B,,29.66M,,,-245.77M,27.75M,162.16M,,,
2007-09,461.16M,,,84.51M,,282.66M,2.506M,,4.324M,-194.37M,10.92M,,-18.63M,,-127.26M,156.80M,-172.54M,662.62M,,-418.78M,4.107M,-414.68M,,,-19.72M,-434.39M,,,,265.13M,5.469M,-199.92M,-194.46M,,,,,,-152.29M,,-81.61M,,1.320B,146.61M,-0.151M,1.467B,,5.469M,,,-199.92M,120.31M,151.81M,,,
2007-06,267.60M,,,-172.46M,,280.73M,123.60M,,53.34M,-189.23M,-10.73M,,145.14M,,-116.36M,89.16M,-82.01M,470.81M,,-970.09M,124.58M,-845.50M,,83.61M,12.15M,-749.74M,,,,857.09M,22.82M,-267.27M,-244.46M,,,,,,-113.77M,,498.86M,,1.101B,219.94M,-0.232M,1.320B,,22.82M,,,-267.27M,197.32M,131.37M,,,
2007-03,212.20M,,,21.92M,,270.24M,384.32M,,10.94M,66.14M,0.194M,,-282.25M,,154.06M,-344.44M,-406.30M,493.32M,,-302.57M,12.66M,-289.90M,,-83.61M,106.94M,-266.57M,,,,485.12M,30.89M,-560.44M,-529.55M,,,,,,-115.05M,,-159.47M,,1.033B,67.28M,-0.011M,1.101B,,30.89M,,,-560.44M,31.43M,165.86M,,,
