,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,29.07B,52.05B,,52.05B,66.84B,,66.84B,199.13B,,,,6.706B,2.427B,9.133B,109.38B,243.00M,109.14B,353.68B,488.24B,858.50B,194.92B,,,194.92B,,194.92B,,1.256B,1.256B,1.256B,386.78B,193.71B,193.71B,160.42B,,1.455B,,354.13B,779.01B,8.54B,60.01B,23.26B,10.37B,8.52B,,,-3.406B,78.03B
2017-12,24.82B,46.16B,,46.16B,56.19B,,56.19B,186.61B,,,,6.597B,2.448B,9.045B,104.35B,224.00M,104.13B,377.08B,506.88B,851.73B,191.51B,,,191.51B,,191.51B,,1.519B,1.519B,1.519B,380.75B,191.06B,191.06B,159.44B,,1.075B,,350.50B,773.27B,8.54B,57.58B,23.54B,9.211B,8.52B,,,-3.06B,77.39B
2017-09,24.05B,48.19B,79.09B,127.28B,54.39B,,54.39B,271.77B,,,,6.59B,2.491B,9.081B,104.68B,245.00M,104.43B,364.17B,528.12B,853.69B,198.79B,,,198.79B,,198.79B,,1.087B,1.087B,1.087B,381.10B,191.68B,191.68B,154.64B,,1.136B,,346.32B,773.58B,8.54B,57.55B,23.39B,7.961B,8.52B,,,-2.544B,78.98B
2017-06,25.01B,44.66B,71.58B,116.24B,54.92B,,54.92B,268.56B,,,,6.591B,2.567B,9.158B,97.94B,306.00M,97.64B,362.38B,517.31B,841.02B,197.06B,,,197.06B,,197.06B,,916.00M,916.00M,916.00M,383.48B,184.11B,184.11B,144.91B,,1.141B,,329.02B,761.05B,8.54B,56.32B,23.14B,6.691B,8.52B,,,-2.488B,78.83B
2017-03,22.08B,42.85B,81.14B,123.99B,48.34B,,48.34B,277.16B,,,,6.588B,2.644B,9.232B,96.25B,297.00M,95.95B,365.48B,524.57B,832.39B,189.54B,,,189.54B,,189.54B,,1.122B,1.122B,1.122B,384.09B,172.69B,172.69B,152.11B,,1.16B,,324.80B,753.31B,8.54B,55.11B,22.88B,6.155B,8.52B,,,-2.45B,77.92B
2016-12,22.02B,43.38B,80.09B,123.47B,46.46B,,46.46B,271.89B,,,,6.577B,2.721B,9.298B,94.52B,274.00M,94.25B,342.25B,463.94B,814.95B,190.51B,,,190.51B,,190.51B,,941.00M,941.00M,941.00M,374.28B,164.78B,164.78B,155.86B,,1.127B,,320.64B,737.77B,7.54B,53.68B,23.27B,5.797B,7.52B,,,-2.643B,76.05B
2016-09,26.90B,42.55B,78.96B,121.51B,51.41B,,51.41B,263.50B,,,,6.584B,2.747B,9.331B,92.80B,287.00M,92.51B,352.11B,503.07B,813.89B,194.01B,,,194.01B,,194.01B,,914.00M,914.00M,914.00M,378.16B,163.93B,163.93B,151.84B,,1.313B,,315.77B,735.43B,7.54B,52.54B,23.00B,4.861B,7.52B,,,-1.07B,77.15B
2016-06,27.60B,56.13B,80.14B,136.28B,52.83B,,52.83B,286.69B,,,,6.581B,2.833B,9.414B,93.49B,323.00M,93.16B,336.94B,491.04B,828.87B,201.19B,,,201.19B,,201.19B,,880.00M,880.00M,880.00M,393.06B,163.49B,163.49B,152.69B,,1.259B,,316.18B,750.50B,7.54B,51.41B,22.70B,3.626B,7.52B,,,-905.00M,77.12B
2016-03,22.80B,53.64B,77.59B,131.23B,44.76B,,44.76B,274.77B,,,,6.586B,2.909B,9.495B,89.13B,330.00M,88.80B,320.56B,469.91B,807.50B,194.00B,,,194.00B,,194.00B,,1.109B,1.109B,1.109B,352.18B,162.80B,162.80B,157.59B,,1.165B,,320.40B,730.32B,7.54B,50.27B,22.53B,3.09B,7.52B,,,-1.238B,76.01B
2015-12,19.83B,54.08B,71.98B,126.07B,45.41B,,45.41B,259.13B,,,,6.584B,2.984B,9.568B,85.98B,225.00M,85.76B,311.49B,457.90B,787.46B,186.63B,,,186.63B,,186.63B,,2.173B,2.173B,2.173B,353.95B,153.77B,153.77B,156.03B,,1.002B,,309.80B,711.28B,7.54B,49.20B,24.15B,4.059B,7.52B,,,-1.656B,75.18B
2015-09,19.24B,89.07B,64.69B,153.76B,50.07B,,50.07B,331.04B,13.16B,-6.906B,6.259B,6.587B,3.069B,9.656B,78.38B,173.00M,78.21B,316.24B,419.52B,834.11B,193.78B,,,193.78B,,193.78B,,1.982B,1.982B,1.982B,379.85B,160.34B,160.34B,147.23B,,1.133B,,307.57B,757.69B,7.54B,48.75B,23.88B,3.456B,7.52B,,,-1.419B,75.29B
2015-06,19.14B,80.01B,66.13B,146.14B,57.12B,,57.12B,310.02B,12.84B,-6.66B,6.182B,6.594B,3.151B,9.745B,76.06B,169.00M,75.89B,336.08B,437.90B,825.76B,181.49B,,,181.49B,,181.49B,,3.122B,3.122B,3.122B,375.39B,158.09B,158.09B,139.20B,,1.029B,,297.29B,749.69B,7.54B,48.11B,23.66B,2.816B,7.52B,,,-1.447B,75.04B
2015-03,19.68B,80.63B,69.46B,150.10B,56.73B,,56.73B,298.06B,12.55B,-6.408B,6.141B,6.597B,3.064B,9.661B,68.87B,165.00M,68.70B,355.27B,450.14B,829.10B,190.18B,,,190.18B,,190.18B,,2.879B,2.879B,2.879B,379.60B,155.54B,155.54B,135.82B,,1.304B,,291.36B,753.63B,7.54B,46.74B,23.36B,2.207B,7.52B,,,-1.266B,74.16B
2014-12,21.38B,87.59B,69.32B,156.91B,48.96B,,48.96B,289.16B,12.33B,-6.219B,6.108B,6.588B,3.159B,9.747B,66.73B,149.00M,66.58B,351.79B,444.96B,801.51B,181.07B,,,181.07B,,181.07B,,2.261B,2.261B,2.261B,360.66B,152.77B,152.77B,133.54B,,1.204B,,286.32B,729.41B,6.04B,44.62B,24.25B,2.766B,6.02B,,,-1.248B,70.90B
2014-09,20.24B,100.93B,63.55B,164.48B,54.84B,,54.84B,318.31B,11.77B,-6.128B,5.642B,6.589B,3.054B,9.643B,58.35B,141.00M,58.21B,337.24B,419.44B,814.51B,181.90B,,,181.90B,,181.90B,0.00,1.76B,1.76B,1.76B,386.26B,152.36B,152.36B,124.38B,,1.093B,,276.74B,740.50B,6.04B,46.57B,23.92B,2.502B,6.02B,,,-1.115B,72.92B
2014-06,18.86B,85.60B,65.47B,151.07B,54.56B,,54.56B,314.58B,12.32B,-6.406B,5.911B,6.60B,3.137B,9.737B,55.40B,138.00M,55.26B,349.43B,429.99B,826.57B,178.88B,,,178.88B,,178.88B,0.00,1.783B,1.783B,1.783B,401.96B,149.48B,149.48B,117.70B,,1.446B,,267.18B,754.37B,5.04B,45.14B,23.61B,2.305B,5.02B,,,-733.00M,70.76B
2014-03,13.78B,99.08B,58.89B,157.96B,60.51B,,60.51B,326.04B,12.03B,-6.253B,5.778B,6.601B,3.21B,9.811B,46.43B,124.00M,46.30B,345.19B,416.63B,831.38B,176.00B,,,176.00B,,176.00B,0.00,1.786B,1.786B,1.786B,403.56B,153.37B,153.37B,116.65B,,3.197B,,270.02B,761.11B,3.24B,43.52B,23.36B,2.087B,3.22B,,,-968.00M,67.07B
2013-12,16.60B,99.09B,53.43B,152.52B,57.10B,,57.10B,327.75B,12.44B,-6.42B,6.019B,6.595B,3.286B,9.881B,43.03B,156.00M,42.87B,359.77B,428.68B,832.70B,157.12B,,,157.12B,,157.12B,8.00M,2.134B,2.142B,2.142B,409.46B,153.58B,153.58B,112.38B,,3.109B,,265.95B,763.67B,3.24B,42.17B,24.57B,2.968B,3.22B,,,-1.093B,65.92B
2013-09,14.33B,95.17B,46.87B,142.04B,57.71B,,57.71B,333.74B,12.21B,-6.205B,6.008B,6.591B,3.514B,10.10B,37.90B,166.00M,37.73B,341.65B,406.18B,832.22B,152.09B,,,152.09B,,152.09B,54.00M,2.279B,2.333B,2.333B,416.47B,157.80B,157.80B,104.81B,,3.113B,0.00,262.61B,763.98B,2.39B,42.24B,24.24B,2.72B,2.37B,,,-1.014B,65.13B
2013-06,16.30B,82.56B,42.86B,125.42B,64.47B,,64.47B,332.39B,11.95B,-5.987B,5.966B,6.60B,3.602B,10.20B,34.70B,125.00M,34.57B,322.51B,384.05B,802.69B,145.56B,,,145.56B,,145.56B,125.00M,2.241B,2.366B,2.366B,409.59B,161.10B,161.10B,81.51B,,2.933B,0.00,242.61B,736.58B,1.528B,41.46B,23.93B,2.566B,1.508B,,,-1.169B,63.18B
2013-03,17.77B,74.22B,41.45B,115.67B,62.27B,,62.27B,318.36B,,,5.928B,6.633B,3.694B,10.33B,30.74B,129.00M,30.62B,331.60B,388.76B,801.38B,137.13B,,,137.13B,,137.13B,254.00M,2.221B,2.475B,2.475B,391.34B,165.14B,165.14B,80.62B,,3.368B,4.425B,250.19B,735.31B,1.528B,40.75B,23.66B,2.541B,1.508B,,,-694.00M,62.70B
2012-12,20.88B,77.87B,39.87B,117.74B,64.29B,,64.29B,316.44B,11.47B,-5.525B,5.946B,6.65B,3.783B,10.43B,29.15B,106.00M,29.05B,326.75B,382.68B,780.96B,127.72B,,,127.72B,,127.72B,306.00M,1.832B,2.138B,2.138B,372.66B,169.57B,169.57B,83.27B,,3.319B,4.309B,257.15B,715.53B,1.528B,39.91B,23.43B,2.241B,1.508B,,,-516.00M,62.11B
2012-09,,65.43B,,65.43B,63.58B,,63.58B,299.86B,11.43B,-5.35B,6.083B,6.622B,3.905B,10.53B,24.44B,101.00M,24.34B,274.80B,326.58B,764.98B,127.99B,,,127.99B,14.56B,142.55B,320.00M,1.803B,2.123B,2.123B,385.78B,184.88B,184.88B,70.76B,,7.673B,,255.64B,695.51B,1.528B,39.44B,23.20B,2.226B,1.508B,,,-146.00M,61.80B
2012-06,,71.42B,,71.42B,,,56.98B,310.74B,11.65B,-5.311B,6.343B,6.61B,3.987B,10.60B,21.47B,77.00M,21.39B,254.56B,303.52B,748.52B,3.166B,,123.61B,126.78B,14.72B,141.50B,288.00M,1.70B,1.988B,1.988B,266.96B,167.83B,167.83B,68.25B,,8.796B,,236.08B,676.88B,1.528B,40.59B,23.15B,2.204B,1.508B,,,-220.00M,62.84B
2012-03,,68.88B,,68.88B,54.94B,,54.94B,300.29B,11.49B,-5.079B,6.41B,6.70B,4.17B,10.87B,16.76B,26.00M,16.73B,293.35B,339.13B,781.03B,2.712B,,131.19B,133.90B,13.82B,147.72B,257.00M,1.76B,2.017B,2.017B,388.04B,200.09B,200.09B,66.44B,,8.268B,,266.53B,710.44B,1.528B,40.12B,22.93B,2.192B,1.508B,,,-60.00M,62.32B
2011-12,13.16B,76.77B,30.50B,107.26B,43.42B,5.248B,48.67B,334.15B,11.31B,-4.852B,6.457B,6.686B,4.285B,10.97B,15.39B,17.00M,15.37B,274.27B,319.17B,749.90B,123.62B,,,123.62B,,123.62B,978.00M,1.865B,2.843B,2.843B,300.95B,184.23B,184.23B,65.66B,46.45B,8.029B,0.00,296.35B,679.82B,1.528B,40.34B,22.84B,2.499B,1.508B,,,-157.00M,62.05B
2011-09,,84.77B,13.13B,97.90B,54.63B,,54.63B,376.77B,11.23B,-4.722B,6.511B,6.709B,4.37B,11.08B,13.47B,18.00M,13.45B,252.95B,307.40B,794.94B,2.788B,,149.61B,152.40B,17.30B,169.69B,910.00M,1.971B,2.881B,2.881B,404.59B,204.13B,204.13B,66.18B,,8.266B,,270.31B,724.84B,1.528B,40.71B,22.50B,2.498B,1.508B,,,-413.00M,61.83B
2011-06,,76.25B,,76.25B,58.49B,,58.49B,361.90B,10.92B,-4.524B,6.399B,6.744B,4.474B,11.22B,12.51B,36.00M,12.48B,293.63B,336.76B,830.75B,3.066B,,138.55B,141.62B,15.60B,157.21B,865.00M,2.701B,3.566B,3.566B,422.38B,216.85B,216.85B,65.52B,,8.436B,,282.37B,762.60B,1.528B,38.64B,22.35B,2.484B,1.508B,,,-320.00M,59.71B
2011-03,,74.54B,,74.54B,58.93B,,58.93B,296.39B,10.62B,-4.259B,6.366B,6.743B,4.581B,11.32B,11.93B,45.00M,11.88B,353.72B,396.86B,836.18B,2.659B,,129.85B,132.51B,13.96B,146.47B,959.00M,2.343B,3.302B,3.302B,442.94B,214.20B,214.20B,63.50B,,8.322B,,277.70B,769.68B,9.613B,39.27B,12.18B,2.455B,9.597B,,,-426.00M,58.19B
2010-12,,66.80B,,66.80B,54.15B,,54.15B,320.49B,10.63B,-4.476B,6.154B,6.739B,4.667B,11.41B,10.66B,82.00M,10.58B,307.05B,348.48B,807.70B,2.572B,,126.61B,129.18B,,129.18B,945.00M,2.311B,3.256B,3.256B,408.79B,202.91B,202.91B,63.81B,,8.196B,,266.72B,742.29B,9.613B,38.60B,13.52B,4.059B,9.597B,,,-467.00M,57.21B
2010-09,,53.39B,,53.39B,52.96B,,52.96B,317.36B,10.35B,-4.322B,6.032B,6.766B,4.808B,11.57B,9.568B,,9.568B,321.69B,361.58B,841.37B,2.813B,,127.63B,130.44B,15.30B,145.74B,4.649B,,4.649B,4.649B,460.09B,213.55B,213.55B,61.20B,,8.706B,,274.76B,775.79B,9.613B,38.06B,13.39B,4.066B,9.597B,,,-116.00M,56.88B
2010-06,,36.35B,,36.35B,46.48B,,46.48B,227.69B,10.20B,-4.097B,6.10B,6.749B,4.924B,11.67B,7.764B,,7.764B,342.38B,402.90B,809.46B,2.519B,,124.80B,127.32B,15.60B,142.92B,3.835B,,3.835B,3.835B,457.08B,182.81B,182.81B,61.37B,,8.146B,,244.18B,750.30B,9.612B,38.21B,7.649B,4.104B,9.597B,,,-354.00M,51.01B
2010-03,,57.84B,,57.84B,,,42.29B,238.77B,9.962B,-3.915B,6.047B,7.169B,4.998B,12.17B,7.484B,,7.484B,269.92B,399.89B,819.72B,2.729B,,133.15B,135.88B,13.96B,149.83B,,3.323B,3.323B,3.323B,453.59B,206.09B,206.09B,63.93B,,6.915B,,270.02B,764.54B,9.612B,36.54B,6.75B,4.078B,9.597B,,,-559.00M,48.26B
2009-12,,55.70B,,55.70B,44.48B,,44.48B,292.47B,10.80B,-3.734B,7.067B,7.162B,5.054B,12.22B,7.417B,158.00M,7.259B,268.10B,311.49B,771.46B,2.597B,,122.48B,125.08B,20.85B,145.93B,783.00M,1.595B,2.378B,2.378B,415.09B,201.48B,201.48B,62.22B,,6.092B,,263.69B,718.68B,9.612B,35.06B,8.619B,6.039B,9.597B,,,-560.00M,46.69B
2009-09,,50.36B,,50.36B,11.33B,37.35B,48.68B,246.03B,10.30B,-3.532B,6.765B,6.977B,5.679B,12.66B,,,,358.81B,394.56B,769.50B,3.143B,,115.15B,118.29B,18.41B,136.70B,2.913B,,2.913B,2.913B,405.55B,223.13B,223.13B,62.42B,,5.875B,,285.54B,717.28B,9.612B,34.73B,8.441B,6.131B,9.597B,,,-299.00M,46.35B
2009-06,,56.65B,,56.65B,44.86B,,44.86B,223.30B,10.66B,-4.108B,6.548B,6.836B,5.553B,12.39B,5.814B,,5.814B,305.08B,345.80B,676.96B,,,,113.81B,18.96B,132.77B,3.03B,,3.03B,3.03B,338.30B,186.79B,186.79B,62.38B,,4.877B,,249.17B,625.49B,9.612B,34.24B,9.214B,6.143B,9.597B,,,-342.00M,46.59B
2009-03,,71.64B,,71.64B,25.89B,13.18B,39.07B,231.25B,9.224B,-3.206B,6.018B,2.226B,849.00M,3.075B,6.698B,,6.698B,269.86B,302.18B,626.02B,,,,112.95B,11.99B,124.94B,3.411B,,3.411B,3.411B,197.99B,182.11B,182.11B,59.92B,,,,242.03B,576.82B,19.22B,35.58B,429.00M,6.233B,19.21B,-4.167B,-471.00M,-4.638B,49.21B
2008-11,,78.65B,,78.65B,,,14.29B,251.51B,,,5.057B,,,3.138B,6.528B,,6.528B,286.85B,316.92B,658.81B,2.584B,,118.37B,120.95B,,120.95B,,34.66B,34.66B,34.66B,385.34B,163.44B,163.44B,42.76B,,,,206.19B,607.98B,19.17B,38.10B,1.619B,7.926B,19.16B,-46.00M,-79.00M,-125.00M,50.83B
2008-08,,23.70B,,23.70B,,,14.79B,459.08B,,,5.004B,,,3.996B,3.05B,,3.05B,394.65B,421.47B,987.40B,3.193B,,321.77B,324.96B,,324.96B,,14.16B,14.16B,14.16B,688.28B,202.33B,202.33B,36.77B,,,,239.10B,951.64B,1.112B,40.70B,615.00M,6.28B,1.10B,,,-380.00M,35.76B
2008-05,,23.78B,,23.78B,,,23.66B,471.17B,,,4.856B,,,3.89B,3.769B,,3.769B,421.81B,448.49B,1.031T,4.056B,,299.49B,303.55B,,303.55B,,23.82B,23.82B,23.82B,701.97B,210.72B,210.72B,35.23B,,,,245.95B,996.74B,1.112B,39.58B,340.00M,6.322B,1.10B,,,-218.00M,34.49B
2008-02,,20.96B,,20.96B,,,25.44B,436.40B,,,4.548B,,,4.061B,9.575B,,9.575B,497.02B,525.74B,1.091T,3.095B,,263.46B,266.55B,,266.55B,,153.60B,153.60B,153.60B,800.87B,200.32B,200.32B,35.69B,,,,236.00B,1.058T,1.112B,38.85B,,6.546B,1.10B,,,-138.00M,33.28B
2007-11,,25.60B,,25.60B,,,24.33B,416.81B,,,4.372B,,,4.071B,11.63B,,11.63B,461.72B,490.64B,1.045T,1.724B,,213.91B,215.63B,,215.63B,,335.53B,335.53B,335.53B,767.73B,190.62B,190.62B,31.18B,,,,221.80B,1.014T,1.112B,38.04B,1.902B,9.591B,1.10B,114.00M,-313.00M,-199.00M,31.27B
2007-08,,36.59B,,36.59B,,,30.22B,500.75B,,,4.193B,,,3.451B,16.13B,,16.13B,521.02B,552.07B,1.185T,5.177B,,182.13B,187.30B,,187.30B,,213.33B,213.33B,213.33B,922.93B,175.21B,175.21B,23.27B,,,,198.48B,1.150T,1.112B,42.04B,1.471B,9.281B,1.10B,,,-95.00M,35.25B
2007-05,,31.79B,,31.79B,,,11.99B,440.04B,,,4.501B,,,4.132B,37.04B,784.00M,36.25B,526.66B,581.96B,1.200T,6.541B,,155.74B,162.28B,,162.28B,,503.20B,503.20B,503.20B,918.19B,171.93B,171.93B,43.58B,,,,215.51B,1.160T,1.112B,46.26B,2.165B,9.903B,1.10B,,,-119.00M,39.51B
2007-02,,52.38B,,52.38B,,,25.51B,269.93B,,,4.313B,,,4.262B,23.22B,790.00M,22.43B,767.53B,821.82B,1.182T,,,,146.47B,,146.47B,,436.16B,436.16B,436.16B,871.30B,211.43B,211.43B,37.31B,,,,248.74B,1.144T,1.112B,43.98B,2.084B,9.09B,1.10B,,,-127.00M,37.95B
2006-11,,20.61B,,20.61B,,,16.57B,512.59B,,,4.086B,,,3.443B,35.65B,831.00M,34.82B,442.60B,496.11B,1.121T,4.746B,,142.54B,147.29B,,147.29B,,472.61B,472.61B,472.61B,887.47B,144.98B,144.98B,28.34B,,,,173.32B,1.086T,1.112B,41.42B,2.213B,9.348B,1.10B,,,-35.00M,35.36B
2006-08,,62.53B,,62.53B,,,13.40B,247.48B,,,3.409B,,,2.943B,24.07B,811.00M,23.26B,393.84B,721.92B,1.029T,,,,154.31B,,154.31B,,376.14B,376.14B,376.14B,777.41B,171.31B,171.31B,25.18B,,,,196.48B,994.70B,1.112B,39.52B,1.971B,8.462B,1.10B,,,32.00M,34.17B
2006-05,,14.79B,,14.79B,,,16.11B,221.20B,,,2.809B,,,2.932B,22.74B,776.00M,21.96B,356.78B,737.97B,1.027T,,,,143.42B,,143.42B,,34.03B,34.03B,34.03B,337.27B,128.05B,128.05B,22.56B,,,,150.61B,994.79B,12.00M,38.12B,1.67B,7.572B,,,,20.00M,32.26B
2006-02,,25.41B,,25.41B,,,73.78B,275.45B,,,5.754B,,,2.873B,21.51B,785.00M,20.73B,322.13B,620.37B,959.61B,,,,125.07B,,125.07B,,29.41B,29.41B,29.41B,304.04B,121.40B,121.40B,23.33B,,,,144.73B,929.49B,12.00M,36.46B,1.409B,7.624B,,,,-130.00M,30.12B
2005-11,,69.54B,,69.54B,,,11.17B,255.04B,,,2.733B,,,2.50B,23.75B,838.00M,22.92B,304.17B,592.50B,898.52B,,,,120.37B,,120.37B,,342.13B,342.13B,342.13B,699.78B,134.00B,134.00B,18.66B,,,,152.66B,869.34B,12.00M,35.18B,2.389B,8.214B,,,,-190.00M,29.18B
2005-08,,27.68B,,27.68B,,,12.51B,183.83B,,,2.727B,,,2.531B,21.87B,828.00M,21.04B,560.71B,600.93B,837.39B,,,,122.68B,,122.68B,,37.83B,37.83B,37.83B,669.13B,102.35B,102.35B,19.82B,,,,122.17B,809.16B,12.00M,33.01B,2.215B,6.887B,,,,-125.00M,28.23B
2005-05,,25.09B,,25.09B,,,12.44B,183.11B,,,2.697B,,,2.528B,20.58B,840.00M,19.74B,554.28B,592.57B,818.71B,,,,134.28B,,134.28B,,40.06B,40.06B,40.06B,656.75B,102.30B,102.30B,16.25B,,,,118.56B,790.38B,12.00M,33.16B,1.994B,6.685B,,,,-151.00M,28.33B
2005-02,,34.07B,,34.07B,,,14.70B,192.23B,,,2.663B,,,2.563B,19.64B,854.00M,18.78B,514.43B,551.37B,802.21B,,,,124.95B,,124.95B,,30.79B,30.79B,30.79B,642.02B,104.35B,104.35B,13.95B,,,,118.30B,773.72B,12.00M,32.53B,1.80B,5.79B,,,,-54.00M,28.50B
2004-11,,32.81B,,32.81B,,,18.51B,174.36B,,,2.605B,,,2.199B,21.17B,943.00M,20.23B,487.54B,527.41B,747.33B,,,,123.27B,,123.27B,,36.30B,36.30B,36.30B,594.53B,95.29B,95.29B,13.78B,,,,109.06B,719.13B,12.00M,31.43B,2.088B,6.614B,,,,1.294B,28.21B
2004-08,,46.24B,,46.24B,,,11.45B,150.51B,,,2.53B,,,2.191B,19.69B,954.00M,18.74B,472.43B,508.85B,745.03B,,,,129.28B,,129.28B,,30.42B,30.42B,30.42B,381.57B,86.00B,86.00B,12.39B,,,,98.40B,717.61B,12.00M,30.50B,3.865B,6.155B,,,,-802.00M,27.42B
