,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,94.00M,,,,,,177.00M,177.00M,,,,85.00M,-375.00M,-614.00M,,-80.00M,-984.00M,,-713.00M,-66.00M,,,,,58.00M,5.00M,-3.00M,-4.00M,599.00M,595.00M,5.00M,0.00,5.00M,-78.00M,-78.00M,,522.00M,1.293B,-194.00M,25.00M,1.124B,5.00M,0.00,-4.00M,0.00
2017-12,-272.00M,,,,,,167.00M,167.00M,,0.00,0.00,419.00M,360.00M,438.00M,,185.00M,1.402B,,1.297B,-313.00M,,,,,-60.00M,52.00M,-321.00M,388.00M,-998.00M,-610.00M,1.00M,-200.00M,-199.00M,-77.00M,-77.00M,-2.00M,-888.00M,1.197B,88.00M,8.00M,1.293B,1.00M,691.00M,-303.00M,-200.00M
2017-09,272.00M,,,,,,168.00M,168.00M,,0.00,0.00,-80.00M,-67.00M,-78.00M,,-57.00M,-282.00M,,158.00M,-161.00M,,,,,-3.00M,7.00M,-157.00M,-1.00M,313.00M,312.00M,1.00M,-200.00M,-199.00M,-80.00M,-80.00M,-11.00M,22.00M,1.158B,23.00M,16.00M,1.197B,1.00M,0.00,-1.00M,-200.00M
2017-06,179.00M,,,,,,156.00M,156.00M,,,,-193.00M,-107.00M,324.00M,,-115.00M,-91.00M,,244.00M,-122.00M,,,,,-32.00M,-3.00M,-157.00M,-5.00M,252.00M,247.00M,9.00M,-200.00M,-191.00M,-82.00M,-82.00M,0.00,-26.00M,1.084B,61.00M,13.00M,1.158B,9.00M,,-5.00M,-200.00M
2017-03,158.00M,,,,,,163.00M,163.00M,,,,14.00M,-415.00M,-419.00M,,64.00M,-756.00M,,-435.00M,-88.00M,,,,,,2.00M,-86.00M,-255.00M,800.00M,545.00M,23.00M,-150.00M,-127.00M,-73.00M,-73.00M,-6.00M,339.00M,1.24B,-182.00M,26.00M,1.084B,23.00M,,-255.00M,-150.00M
2016-12,186.00M,,,,,,159.00M,159.00M,,,,147.00M,500.00M,315.00M,,71.00M,1.033B,,1.378B,-300.00M,,,,,-2.00M,-7.00M,-309.00M,506.00M,-1.314B,-808.00M,2.00M,-100.00M,-98.00M,-73.00M,-73.00M,-28.00M,-1.007B,1.025B,62.00M,-38.00M,1.24B,2.00M,521.00M,-15.00M,-100.00M
2016-09,244.00M,,,,,,164.00M,164.00M,,,,-190.00M,10.00M,49.00M,,-48.00M,-179.00M,,229.00M,-154.00M,,,,,-2.00M,5.00M,-151.00M,-250.00M,401.00M,151.00M,14.00M,-100.00M,-86.00M,-76.00M,-76.00M,-2.00M,-13.00M,959.00M,65.00M,1.00M,1.025B,14.00M,0.00,-250.00M,-100.00M
2016-06,342.00M,,,,,,164.00M,164.00M,,,,-141.00M,-130.00M,128.00M,,-106.00M,-249.00M,,257.00M,-121.00M,,,,,-8.00M,70.00M,-59.00M,239.00M,2.00M,241.00M,7.00M,-100.00M,-93.00M,-76.00M,-76.00M,,72.00M,699.00M,270.00M,-10.00M,959.00M,7.00M,491.00M,-252.00M,-100.00M
2016-03,156.00M,,,,,,168.00M,168.00M,,,,-107.00M,-398.00M,-479.00M,,-1.00M,-985.00M,,-661.00M,-85.00M,,,,,,-8.00M,-93.00M,-5.00M,966.00M,961.00M,3.00M,-225.00M,-222.00M,-69.00M,-69.00M,,670.00M,772.00M,-84.00M,11.00M,699.00M,3.00M,,-5.00M,-225.00M
2015-12,189.00M,,0.00,0.00,,,172.00M,172.00M,,,,316.00M,256.00M,395.00M,,54.00M,1.021B,,1.382B,-298.00M,,,,,2.00M,22.00M,-274.00M,-5.00M,-772.00M,-777.00M,2.00M,-155.00M,-153.00M,-69.00M,-69.00M,-4.00M,-1.003B,698.00M,105.00M,-31.00M,772.00M,2.00M,0.00,-5.00M,-155.00M
2015-09,250.00M,,-16.00M,-16.00M,,,165.00M,165.00M,,,,-311.00M,61.00M,124.00M,,-33.00M,-159.00M,,240.00M,-123.00M,,,,,-51.00M,10.00M,-164.00M,1.00M,70.00M,71.00M,0.00,-45.00M,-45.00M,-70.00M,-70.00M,-2.00M,-46.00M,691.00M,30.00M,-23.00M,698.00M,0.00,8.00M,-7.00M,-45.00M
2015-06,185.00M,,0.00,0.00,,,170.00M,170.00M,,,,-152.00M,-64.00M,7.00M,,26.00M,-183.00M,,172.00M,-142.00M,,,,,-6.00M,2.00M,-146.00M,-202.00M,278.00M,76.00M,2.00M,-50.00M,-48.00M,-70.00M,-70.00M,-3.00M,-45.00M,704.00M,-19.00M,6.00M,691.00M,2.00M,0.00,-202.00M,-50.00M
2015-03,198.00M,,-47.00M,-47.00M,,,161.00M,161.00M,,,,58.00M,-394.00M,-523.00M,,-22.00M,-881.00M,,-569.00M,-126.00M,,,,,-15.00M,44.00M,-97.00M,454.00M,-41.00M,413.00M,34.00M,,34.00M,-60.00M,-60.00M,,387.00M,1.026B,-279.00M,-43.00M,704.00M,34.00M,523.00M,-69.00M,
2014-12,108.00M,,0.00,0.00,,,163.00M,163.00M,,,,212.00M,448.00M,392.00M,,284.00M,1.336B,,1.607B,-298.00M,,,,-1.484B,0.00,74.00M,-1.708B,665.00M,-413.00M,252.00M,7.00M,0.00,7.00M,-59.00M,-59.00M,-6.00M,194.00M,987.00M,93.00M,-54.00M,1.026B,7.00M,665.00M,0.00,0.00
2014-09,235.00M,,0.00,0.00,,,136.00M,136.00M,,,,-87.00M,-24.00M,89.00M,,-109.00M,-131.00M,,240.00M,-157.00M,,,,-325.00M,20.00M,4.00M,-458.00M,-102.00M,482.00M,380.00M,3.00M,-25.00M,-22.00M,-58.00M,-58.00M,-4.00M,296.00M,945.00M,78.00M,-36.00M,987.00M,3.00M,0.00,-102.00M,-25.00M
2014-06,185.00M,,0.00,0.00,,,134.00M,134.00M,,,,-137.00M,-132.00M,97.00M,,-176.00M,-348.00M,,-29.00M,-142.00M,,,,,-15.00M,5.00M,-152.00M,-501.00M,2.00M,-499.00M,17.00M,0.00,17.00M,-59.00M,-59.00M,-14.00M,-555.00M,1.672B,-736.00M,9.00M,945.00M,17.00M,1.00M,-502.00M,0.00
2014-03,164.00M,,0.00,0.00,,,127.00M,127.00M,,,,-78.00M,-243.00M,-281.00M,,-28.00M,-630.00M,,-339.00M,-123.00M,,,,,-21.00M,6.00M,-138.00M,815.00M,-8.00M,807.00M,11.00M,,11.00M,-48.00M,-48.00M,,770.00M,1.38B,293.00M,-1.00M,1.672B,11.00M,817.00M,-2.00M,
2013-12,187.00M,,,,,,143.00M,143.00M,,,,203.00M,223.00M,213.00M,,51.00M,690.00M,,1.02B,-261.00M,,,,,-6.00M,38.00M,-229.00M,13.00M,8.00M,21.00M,15.00M,-210.00M,-195.00M,-48.00M,-48.00M,7.00M,-215.00M,826.00M,576.00M,-22.00M,1.38B,15.00M,19.00M,-6.00M,-210.00M
2013-09,199.00M,,,,,,142.00M,142.00M,,,,6.00M,-136.00M,213.00M,,14.00M,97.00M,,438.00M,-137.00M,,,,0.00,0.00,-1.00M,-138.00M,-2.00M,-4.00M,-6.00M,17.00M,-110.00M,-93.00M,-50.00M,-50.00M,-1.00M,-150.00M,670.00M,150.00M,6.00M,826.00M,17.00M,0.00,-2.00M,-110.00M
2013-06,206.00M,,,,,,126.00M,126.00M,,,,-216.00M,24.00M,192.00M,,-223.00M,-223.00M,,109.00M,-106.00M,,,,,2.00M,-14.00M,-118.00M,-2.00M,4.00M,2.00M,26.00M,-30.00M,-4.00M,-50.00M,-50.00M,-3.00M,-55.00M,750.00M,-64.00M,-16.00M,670.00M,26.00M,0.00,-2.00M,-30.00M
2013-03,257.00M,,,,,,129.00M,129.00M,,,,-58.00M,-223.00M,-338.00M,,-72.00M,-691.00M,,-305.00M,-74.00M,,,,,-2.00M,-21.00M,-97.00M,-4.00M,-3.00M,-7.00M,37.00M,,37.00M,-39.00M,-39.00M,-5.00M,-14.00M,1.168B,-416.00M,-2.00M,750.00M,37.00M,499.00M,-503.00M,
2012-12,128.00M,,0.00,0.00,,,126.00M,126.00M,,,0.00,235.00M,253.00M,103.00M,,25.00M,616.00M,,857.00M,-200.00M,,,,,,8.00M,-220.00M,20.00M,-13.00M,7.00M,29.00M,0.00,29.00M,-39.00M,-39.00M,16.00M,13.00M,518.00M,650.00M,0.00,1.168B,29.00M,22.00M,-2.00M,0.00
2012-09,80.00M,,-3.00M,-3.00M,,,128.00M,128.00M,,,0.00,-121.00M,10.00M,115.00M,,-15.00M,-11.00M,,194.00M,-89.00M,,,,,,0.00,-89.00M,-3.00M,17.00M,14.00M,3.00M,0.00,3.00M,-39.00M,-39.00M,-2.00M,-24.00M,426.00M,81.00M,11.00M,518.00M,3.00M,0.00,-3.00M,0.00
2012-06,120.00M,,-49.00M,-49.00M,,,146.00M,146.00M,,,0.00,-67.00M,-63.00M,58.00M,,-77.00M,-149.00M,,68.00M,-95.00M,,,,,,2.00M,-93.00M,-53.00M,3.00M,-50.00M,0.00,0.00,0.00,-38.00M,-38.00M,-15.00M,-103.00M,583.00M,-128.00M,-29.00M,426.00M,0.00,300.00M,-353.00M,0.00
2012-03,97.00M,,,,,,151.00M,151.00M,,,-275.00M,0.00,-207.00M,-117.00M,,-72.00M,-396.00M,,-423.00M,-92.00M,,,,,,,-92.00M,-3.00M,-1.00M,-4.00M,11.00M,,11.00M,-39.00M,-39.00M,-2.00M,-34.00M,1.109B,-549.00M,23.00M,583.00M,11.00M,0.00,-3.00M,
2011-12,213.00M,,,,,,136.00M,136.00M,,,0.00,49.00M,454.00M,18.00M,,-17.00M,504.00M,,872.00M,-191.00M,,,,,0.00,3.00M,-188.00M,-3.00M,-16.00M,-19.00M,0.00,,0.00,,-38.00M,-5.00M,-62.00M,511.00M,622.00M,-24.00M,1.109B,0.00,-14.00M,-3.00M,
2011-09,181.00M,,,,,,136.00M,136.00M,,,-300.00M,41.00M,28.00M,77.00M,,-271.00M,-125.00M,,-108.00M,-158.00M,,,,,0.00,27.00M,-131.00M,-4.00M,1.00M,-3.00M,0.00,,0.00,,-39.00M,-4.00M,-46.00M,845.00M,-285.00M,-49.00M,511.00M,0.00,1.00M,-4.00M,
2011-06,-164.00M,,,,,,145.00M,145.00M,,,439.00M,-84.00M,-105.00M,-235.00M,,-6.00M,-430.00M,,-10.00M,-144.00M,-3.00M,-3.00M,,7.00M,-7.00M,-11.00M,-158.00M,-3.00M,14.00M,11.00M,6.00M,,6.00M,,-38.00M,-8.00M,-29.00M,1.026B,-197.00M,16.00M,845.00M,6.00M,314.00M,-303.00M,
2011-03,178.00M,,,,,,141.00M,141.00M,,,5.00M,-21.00M,-94.00M,-394.00M,,-39.00M,-548.00M,,-224.00M,-115.00M,3.00M,3.00M,,-7.00M,,,-119.00M,-3.00M,-1.00M,-4.00M,8.00M,,8.00M,,-33.00M,,-29.00M,1.368B,-372.00M,30.00M,1.026B,8.00M,-1.00M,-3.00M,
2010-12,178.00M,,,0.00,,,141.00M,141.00M,,,6.00M,263.00M,283.00M,-131.00M,,-43.00M,372.00M,,701.00M,-206.00M,-9.00M,-9.00M,15.00M,,0.00,17.00M,-183.00M,-4.00M,-13.00M,-17.00M,0.00,,0.00,,-33.00M,-14.00M,-64.00M,901.00M,454.00M,13.00M,1.368B,0.00,2.00M,-6.00M,
2010-09,83.00M,,,-62.00M,,,141.00M,141.00M,,,63.00M,-74.00M,-301.00M,168.00M,,189.00M,-18.00M,,207.00M,-147.00M,9.00M,9.00M,-27.00M,,0.00,-9.00M,-147.00M,-1.00M,-9.00M,-10.00M,0.00,,0.00,,-33.00M,-8.00M,-51.00M,850.00M,9.00M,42.00M,901.00M,0.00,-2.00M,-1.00M,
2010-06,389.00M,,,29.00M,,,139.00M,139.00M,,,-180.00M,-26.00M,-306.00M,268.00M,,-214.00M,-278.00M,,99.00M,-121.00M,,146.00M,,5.00M,-18.00M,8.00M,-126.00M,-326.00M,8.00M,-318.00M,65.00M,,65.00M,,-33.00M,-4.00M,-290.00M,1.191B,-317.00M,-24.00M,850.00M,65.00M,2.00M,-326.00M,
2010-03,,,,-29.00M,,,134.00M,134.00M,,,174.00M,24.00M,-271.00M,-105.00M,,144.00M,-208.00M,,71.00M,-146.00M,,-146.00M,,-5.00M,,1.00M,-150.00M,-46.00M,-6.00M,-52.00M,7.00M,,7.00M,,-33.00M,-12.00M,-90.00M,1.38B,-169.00M,-20.00M,1.191B,7.00M,,-46.00M,
2009-12,102.00M,,,7.00M,,,137.00M,137.00M,,,-18.00M,238.00M,246.00M,249.00M,132.00M,-195.00M,670.00M,,898.00M,-193.00M,,,0.00,-35.00M,15.00M,8.00M,-205.00M,5.00M,-22.00M,-17.00M,21.00M,0.00,21.00M,,-32.00M,-12.00M,-40.00M,725.00M,653.00M,2.00M,1.38B,21.00M,9.00M,-26.00M,0.00
2009-09,93.00M,,,-2.00M,,,130.00M,130.00M,,,-13.00M,-357.00M,129.00M,391.00M,-93.00M,378.00M,448.00M,,656.00M,-119.00M,,,0.00,,-3.00M,33.00M,-89.00M,9.00M,-46.00M,-37.00M,0.00,0.00,0.00,,-33.00M,-37.00M,-107.00M,247.00M,460.00M,18.00M,725.00M,0.00,13.00M,-344.00M,0.00
2009-06,86.00M,,,-8.00M,,,143.00M,143.00M,,,-10.00M,-281.00M,230.00M,22.00M,-39.00M,125.00M,57.00M,,268.00M,-117.00M,,,,,-12.00M,23.00M,-106.00M,649.00M,-752.00M,-103.00M,0.00,,0.00,,-31.00M,5.00M,-129.00M,193.00M,33.00M,21.00M,247.00M,0.00,392.00M,-201.00M,
2009-03,73.00M,,,-92.00M,,,115.00M,115.00M,,,,114.00M,-27.00M,-319.00M,,-136.00M,-368.00M,,-272.00M,-112.00M,,,,0.00,,13.00M,-99.00M,-1.00M,458.00M,457.00M,0.00,,0.00,,-32.00M,-5.00M,420.00M,146.00M,49.00M,-2.00M,193.00M,0.00,458.00M,-1.00M,
2008-12,51.00M,,,-44.00M,,,130.00M,130.00M,,,,367.00M,285.00M,-107.00M,,-168.00M,154.00M,,333.00M,-169.00M,,,,,,-35.00M,-90.00M,43.00M,-460.00M,-417.00M,0.00,0.00,0.00,,-30.00M,-19.00M,-466.00M,425.00M,-223.00M,-56.00M,146.00M,0.00,-518.00M,101.00M,0.00
2008-09,168.00M,,,-10.00M,,,157.00M,157.00M,,,,-137.00M,-229.00M,15.00M,,-5.00M,-356.00M,,-41.00M,-147.00M,,,,,,21.00M,-126.00M,-2.00M,306.00M,304.00M,14.00M,-96.00M,-82.00M,,-33.00M,-3.00M,186.00M,461.00M,19.00M,-55.00M,425.00M,14.00M,307.00M,-3.00M,-96.00M
2008-06,128.00M,,,-4.00M,,,157.00M,157.00M,,,,-44.00M,-50.00M,130.00M,,56.00M,92.00M,,373.00M,-124.00M,,,,,,13.00M,-111.00M,-1.00M,-59.00M,-60.00M,3.00M,-54.00M,-51.00M,,-32.00M,7.00M,-136.00M,321.00M,126.00M,14.00M,461.00M,3.00M,-59.00M,-1.00M,-54.00M
2008-03,100.00M,,,-2.00M,,,153.00M,153.00M,,,,114.00M,-180.00M,-288.00M,,-235.00M,-589.00M,,-338.00M,-107.00M,,,,,,1.00M,-106.00M,374.00M,314.00M,688.00M,4.00M,-97.00M,-93.00M,,-33.00M,-5.00M,557.00M,201.00M,113.00M,7.00M,321.00M,4.00M,815.00M,-127.00M,-97.00M
2007-12,194.00M,,,-11.00M,,,158.00M,158.00M,-19.00M,,,195.00M,297.00M,-93.00M,90.00M,-14.00M,475.00M,-13.00M,793.00M,-226.00M,-99.00M,211.00M,,0.00,,,-220.00M,,,-494.00M,5.00M,-117.00M,-112.00M,,-33.00M,-6.00M,-645.00M,258.00M,-66.00M,9.00M,201.00M,5.00M,,,-117.00M
2007-09,175.00M,,,-35.00M,,,143.00M,143.00M,-19.00M,,,-5.00M,-62.00M,-48.00M,25.00M,-40.00M,-130.00M,0.00,134.00M,-108.00M,79.00M,-29.00M,,0.00,,,-29.00M,,,-19.00M,12.00M,-150.00M,-138.00M,,-33.00M,-9.00M,-199.00M,343.00M,-94.00M,9.00M,258.00M,12.00M,,,-150.00M
2007-06,161.00M,,,-4.00M,,,149.00M,149.00M,6.00M,,,-182.00M,-118.00M,140.00M,9.00M,-8.00M,-159.00M,0.00,153.00M,-106.00M,15.00M,-91.00M,,8.00M,,,-83.00M,,,120.00M,29.00M,-101.00M,-72.00M,,-34.00M,6.00M,20.00M,241.00M,90.00M,12.00M,343.00M,29.00M,,,-101.00M
2007-03,117.00M,,,-4.00M,,,143.00M,143.00M,32.00M,,,173.00M,-311.00M,22.00M,-124.00M,-214.00M,-454.00M,13.00M,-153.00M,-96.00M,5.00M,-91.00M,,92.00M,,,1.00M,,,136.00M,22.00M,,22.00M,,-34.00M,4.00M,128.00M,262.00M,-24.00M,3.00M,241.00M,22.00M,,,
2006-12,109.00M,,,3.00M,,,161.00M,161.00M,56.00M,,,35.00M,261.00M,41.00M,-256.00M,125.00M,206.00M,37.00M,597.00M,-216.00M,61.00M,-155.00M,,60.00M,,0.00,-95.00M,,,-304.00M,7.00M,,7.00M,,-34.00M,-18.00M,-349.00M,109.00M,153.00M,0.00,262.00M,7.00M,,,
2006-09,106.00M,,,-42.00M,,,152.00M,152.00M,-45.00M,,,-67.00M,-28.00M,12.00M,103.00M,-5.00M,15.00M,12.00M,198.00M,-127.00M,19.00M,-108.00M,,84.00M,,0.00,-25.00M,,,-360.00M,7.00M,,7.00M,,-34.00M,20.00M,-367.00M,301.00M,-194.00M,2.00M,109.00M,7.00M,,,
2006-06,100.00M,,,12.00M,,,141.00M,141.00M,-11.00M,,,27.00M,-136.00M,75.00M,-20.00M,95.00M,41.00M,12.00M,295.00M,-135.00M,2.00M,-133.00M,,-33.00M,,-53.00M,-221.00M,,,-16.00M,27.00M,,27.00M,,-33.00M,0.00,-22.00M,244.00M,52.00M,5.00M,301.00M,27.00M,,,
2006-03,118.00M,,,-4.00M,,,96.00M,96.00M,,,,55.00M,-215.00M,-84.00M,-8.00M,-160.00M,-412.00M,,-202.00M,-98.00M,4.00M,-94.00M,,-762.00M,,,-856.00M,,,772.00M,13.00M,,13.00M,,-29.00M,11.00M,767.00M,524.00M,-291.00M,11.00M,244.00M,13.00M,,,
2005-12,126.00M,,,-30.00M,,,108.00M,108.00M,22.00M,,,-52.00M,139.00M,239.00M,-12.00M,75.00M,389.00M,,615.00M,-199.00M,119.00M,-80.00M,,-80.00M,,,-160.00M,,,-154.00M,34.00M,0.00,34.00M,,-30.00M,-8.00M,-158.00M,228.00M,297.00M,-1.00M,524.00M,34.00M,,,0.00
2005-09,114.00M,,,-15.00M,,,110.00M,110.00M,-22.00M,,23.00M,53.00M,18.00M,54.00M,29.00M,14.00M,168.00M,,378.00M,-120.00M,18.00M,-102.00M,,3.00M,,,-99.00M,,,-240.00M,35.00M,0.00,35.00M,,-29.00M,-9.00M,-243.00M,188.00M,36.00M,4.00M,228.00M,35.00M,,,0.00
2005-06,96.00M,,,-3.00M,,,110.00M,110.00M,,,68.00M,-167.00M,126.00M,-44.00M,-10.00M,,-95.00M,,176.00M,-106.00M,3.00M,-103.00M,,,,,-103.00M,,,-45.00M,15.00M,-34.00M,-19.00M,,-28.00M,25.00M,-67.00M,184.00M,6.00M,-2.00M,188.00M,15.00M,,,-34.00M
2005-03,86.00M,,,-1.00M,,,114.00M,114.00M,,,-91.00M,-7.00M,-246.00M,-162.00M,22.00M,,-393.00M,,-285.00M,-69.00M,1.00M,-68.00M,,,,,-68.00M,,,308.00M,18.00M,,18.00M,,-29.00M,1.00M,298.00M,243.00M,-55.00M,-4.00M,184.00M,18.00M,,,
2004-12,97.00M,,,-8.00M,,,109.00M,109.00M,,,,126.00M,78.00M,113.00M,-89.00M,63.00M,291.00M,,489.00M,-289.00M,44.00M,-245.00M,,0.00,,,-245.00M,,,-194.00M,9.00M,0.00,9.00M,,-29.00M,-4.00M,-218.00M,219.00M,26.00M,-2.00M,243.00M,9.00M,,,0.00
2004-09,102.00M,,,1.00M,,,110.00M,110.00M,,,,18.00M,-108.00M,93.00M,-59.00M,66.00M,10.00M,,223.00M,-91.00M,7.00M,-84.00M,,0.00,,,-84.00M,,,-113.00M,2.00M,-1.00M,1.00M,,-28.00M,25.00M,-115.00M,193.00M,24.00M,4.00M,219.00M,2.00M,,,-1.00M
2004-06,106.00M,,,2.00M,,,114.00M,114.00M,,,181.00M,-190.00M,-61.00M,128.00M,26.00M,-83.00M,-180.00M,,223.00M,-77.00M,4.00M,-73.00M,,0.00,,,-73.00M,,,59.00M,2.00M,-175.00M,-173.00M,,-29.00M,-1.00M,-144.00M,188.00M,6.00M,-3.00M,193.00M,2.00M,,,-175.00M
2004-03,101.00M,,,-1.00M,,,112.00M,112.00M,,,-181.00M,30.00M,-175.00M,-81.00M,54.00M,,-172.00M,,-141.00M,-54.00M,19.00M,-35.00M,,-2.00M,,,-37.00M,,,190.00M,51.00M,-75.00M,-24.00M,,-30.00M,-17.00M,119.00M,249.00M,-59.00M,-2.00M,188.00M,51.00M,,,-75.00M
2003-12,124.00M,,,6.00M,,,97.00M,97.00M,,,,25.00M,85.00M,178.00M,11.00M,-48.00M,251.00M,,478.00M,-204.00M,75.00M,-129.00M,,0.00,,,-129.00M,,,-277.00M,10.00M,-65.00M,-55.00M,,-23.00M,19.00M,-336.00M,231.00M,13.00M,5.00M,249.00M,10.00M,,,-65.00M
2003-09,105.00M,,,-17.00M,,,112.00M,112.00M,,,,64.00M,-19.00M,60.00M,-99.00M,79.00M,85.00M,,285.00M,-75.00M,,-75.00M,,-4.00M,,,-79.00M,,,-148.00M,44.00M,-33.00M,11.00M,,-24.00M,-4.00M,-165.00M,190.00M,41.00M,0.00,231.00M,44.00M,,,-33.00M
