,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,2.759B,2.759B,2.114B,645.00M,442.00M,1.00M,-3.00M,,,,,443.00M,202.00M,,,,-3.00M,,157.00M,56.00M,101.00M,,,-3.00M,101.00M,102.93M,305.00M,103.00M,202.00M,1.48,0.0,,1.508,1.48,1.46,0.0,,1.4880000000000002,1.46,68.20M,69.00M,0.34
2002-06,2.737B,2.737B,2.103B,634.00M,432.00M,1.00M,-24.00M,,,,,433.00M,201.00M,,,,-49.00M,,114.00M,51.00M,63.00M,,,-3.00M,63.00M,77.40M,296.00M,95.00M,201.00M,0.93,0.0,,1.141,0.93,0.91,0.0,,1.115,0.91,68.10M,70.10M,0.34
2002-03,2.574B,2.574B,1.982B,592.00M,406.00M,1.00M,-21.00M,,,,,407.00M,185.00M,,,,-21.00M,,129.00M,45.00M,84.00M,,,-1.00M,84.00M,97.67M,278.00M,93.00M,185.00M,1.25,0.0,,1.453,1.25,1.21,0.0,,1.4069999999999998,1.21,67.30M,69.30M,0.34
2001-12,2.648B,2.648B,1.989B,659.00M,436.00M,8.00M,-103.00M,,,,-5.00M,439.00M,220.00M,,,,-109.00M,,67.00M,46.00M,21.00M,0.00,0.00,-5.00M,16.00M,,319.00M,99.00M,220.00M,0.31,0.0,0.0,0.31,0.31,0.3,0.0,-0.0003,0.3,0.31,67.00M,68.60M,0.34
2001-09,2.594B,2.594B,1.988B,606.00M,392.00M,7.00M,-320.00M,,,,300.00M,699.00M,-93.00M,,,,-321.00M,,-158.00M,-64.00M,-94.00M,,,-3.00M,-94.00M,98.00M,5.00M,98.00M,-93.00M,-1.4,0.0,,1.466,-1.4,-1.4,0.0,,1.466,-1.4,67.00M,67.00M,0.34
2001-06,2.585B,2.585B,1.989B,596.00M,405.00M,7.00M,-21.00M,,,,,412.00M,184.00M,,,,-19.00M,,117.00M,43.00M,74.00M,-21.00M,,-5.00M,53.00M,87.28M,281.00M,97.00M,184.00M,1.12,-0.32,,1.32,0.8,1.1,-0.32,,1.296,0.78,66.50M,67.70M,0.34
2001-03,2.517B,2.517B,1.959B,558.00M,406.00M,7.00M,-53.00M,,,,,413.00M,145.00M,,,,-52.00M,,50.00M,17.00M,33.00M,,8.00M,1.00M,41.00M,67.98M,247.00M,102.00M,145.00M,0.49,0.13,0.0,1.018,0.62,0.49,0.12,0.1196,1.013,0.61,66.30M,66.90M,0.34
2000-12,2.579B,2.579B,1.885B,694.00M,440.00M,,24.00M,,,,,527.00M,167.00M,,,,24.00M,,89.00M,23.00M,66.00M,,,-4.00M,66.00M,48.20M,254.00M,87.00M,167.00M,1.03,0.0,,0.7628,1.03,1.02,0.0,,0.759,1.02,66.60M,68.20M,0.34
2000-09,2.57B,2.57B,1.885B,685.00M,417.00M,,-14.00M,,,,,512.00M,173.00M,,,,-14.00M,,108.00M,41.00M,67.00M,,,-2.00M,67.00M,75.69M,268.00M,95.00M,173.00M,0.98,0.0,,1.1059999999999999,0.98,0.98,0.0,,1.1059999999999999,0.98,68.70M,68.70M,0.34
2000-06,2.586B,2.586B,1.849B,737.00M,389.00M,,3.00M,,,,,505.00M,232.00M,,,,3.00M,,184.00M,63.00M,121.00M,,,-5.00M,121.00M,119.03M,348.00M,116.00M,232.00M,1.68,0.0,,1.653,1.68,1.66,0.0,,1.633,1.66,72.02M,72.89M,0.34
2000-03,2.59B,2.59B,1.848B,742.00M,405.00M,,-11.00M,,,,,507.00M,235.00M,,,,-11.00M,,183.00M,71.00M,112.00M,,,-3.00M,112.00M,118.73M,337.00M,102.00M,235.00M,1.53,0.0,,1.6219999999999999,1.53,1.52,0.0,,1.611,1.52,73.20M,73.68M,0.34
1999-12,2.689B,2.689B,1.889B,800.00M,457.00M,,176.00M,,,,,559.00M,241.00M,,,,176.00M,,176.00M,63.00M,113.00M,,,-6.00M,113.00M,0.00,343.00M,102.00M,241.00M,1.51,0.0,,-0.0099,1.51,1.5,0.0,,-0.015,1.5,74.35M,74.59M,0.34
1999-09,2.719B,2.719B,1.948B,771.00M,437.00M,,-29.00M,,,,,533.00M,238.00M,,,,-29.00M,,172.00M,65.00M,107.00M,,,4.00M,107.00M,125.04M,334.00M,96.00M,238.00M,1.42,0.0,,1.659,1.42,1.4,0.0,,1.636,1.4,75.35M,76.43M,0.34
1999-06,2.617B,2.617B,1.865B,752.00M,437.00M,,1.00M,,,,,547.00M,205.00M,,,,1.00M,,161.00M,62.00M,99.00M,,,-6.00M,99.00M,98.39M,315.00M,110.00M,205.00M,1.32,0.0,,1.3119999999999998,1.32,1.3,0.0,,1.2919999999999998,1.3,75.50M,76.50M,0.34
1999-03,2.486B,2.486B,1.767B,719.00M,421.00M,,-154.00M,,,,,530.00M,189.00M,,,,-154.00M,,36.00M,8.00M,28.00M,,,42.00M,28.00M,147.78M,298.00M,109.00M,189.00M,0.37,0.0,,1.9480000000000002,0.37,0.36,0.0,,1.9340000000000002,0.36,75.90M,76.10M,0.34
1998-12,2.735B,2.735B,1.958B,777.00M,498.00M,,26.00M,,,,,596.00M,181.00M,,,,26.00M,,131.00M,48.00M,83.00M,0.00,,-13.00M,83.00M,66.53M,279.00M,98.00M,181.00M,1.09,0.01,,0.8716,1.1,1.09,0.0,,0.8736,1.09,75.44M,76.14M,0.34
1998-09,2.539B,2.539B,1.828B,711.00M,421.00M,,28.00M,,,,,531.00M,180.00M,,,,28.00M,,134.00M,56.00M,78.00M,,,-4.00M,78.00M,61.20M,290.00M,110.00M,180.00M,1.03,0.0,,0.8082,1.03,1.02,0.0,,0.8003,1.02,75.73M,76.47M,0.34
1998-06,2.585B,2.585B,1.856B,729.00M,456.00M,,44.00M,,,,,571.00M,158.00M,,,,44.00M,,130.00M,49.00M,81.00M,3.00M,,-7.00M,84.00M,53.58M,273.00M,115.00M,158.00M,1.07,0.04,,0.7077,1.11,1.05,0.04,,0.691,1.1,75.68M,76.36M,0.34
