,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2014-06,14.73M,14.73M,1.186B,,1.186B,104.28M,104.28M,,107.36M,117.50M,1.530B,,,,,,,,5.901B,-2.386B,3.515B,3.089B,,3.089B,48.98M,365.36M,7.018B,8.548B,1.038B,0.00,1.038B,,1.038B,,,,77.69M,,77.69M,,,,1.116B,3.070B,,3.070B,254.57M,254.57M,53.17M,231.54M,276.46M,3.833B,4.949B,,,,,3.546B
2014-03,16.26M,16.26M,1.213B,,1.213B,102.28M,102.28M,,114.30M,97.68M,1.543B,,,,,,,,5.789B,-2.321B,3.468B,3.054B,,3.054B,53.52M,312.91M,6.888B,8.431B,954.90M,51.90M,1.007B,,1.007B,,,,103.64M,,103.64M,,,,1.110B,3.109B,,3.109B,257.34M,257.34M,52.04M,228.11M,282.17M,3.877B,4.987B,,,,,3.392B
2013-12,17.24M,17.24M,1.117B,,1.117B,101.78M,101.78M,,119.90M,76.45M,1.432B,0.0,388.19M,3.593B,1.497B,,186.31M,27.64M,5.692B,-2.250B,3.442B,3.049B,,3.049B,57.88M,330.33M,6.879B,8.312B,276.91M,66.60M,343.51M,338.86M,682.37M,,,,99.31M,,99.31M,,,,1.060B,3.210B,,3.210B,239.15M,239.15M,50.25M,218.11M,284.59M,3.952B,5.011B,0.983M,3.499B,,-24.81M,3.250B
2013-09,12.12M,12.12M,1.167B,,1.167B,101.25M,101.25M,,132.62M,90.77M,1.503B,,,,,,,,5.610B,-2.185B,3.425B,3.039B,,3.039B,62.62M,321.77M,6.848B,8.352B,926.77M,9.257M,936.02M,,936.02M,,,,88.29M,,88.29M,,,,1.024B,3.412B,,3.412B,215.03M,215.03M,51.69M,218.08M,320.21M,4.165B,5.189B,,,,,3.111B
2013-06,12.56M,12.56M,1.149B,,1.149B,100.32M,100.32M,,134.89M,86.73M,1.484B,,,,,,,,5.520B,-2.116B,3.403B,3.041B,,3.041B,66.91M,321.61M,6.833B,8.317B,958.95M,16.62M,975.57M,,975.57M,,,,73.58M,,73.58M,,,,1.049B,3.473B,,3.473B,206.82M,206.82M,52.36M,233.42M,310.95M,4.224B,5.273B,,,,,2.991B
2013-03,17.40M,17.40M,1.149B,,1.149B,98.97M,98.97M,,120.69M,94.15M,1.501B,,,,,,,,5.447B,-2.051B,3.396B,3.041B,,3.041B,71.22M,306.83M,6.815B,8.317B,886.43M,75.09M,961.52M,,961.52M,,,,1.712M,,1.712M,,,0.836M,964.07M,3.669B,,3.669B,182.58M,182.58M,51.75M,234.72M,379.72M,4.466B,5.430B,,,,,2.835B
2012-12,23.47M,23.47M,1.067B,,1.067B,99.00M,99.00M,,104.46M,87.94M,1.407B,0.0,387.25M,3.366B,1.345B,,242.47M,27.84M,5.368B,-1.986B,3.382B,3.037B,,3.037B,75.89M,298.46M,6.793B,8.201B,247.03M,50.89M,297.92M,333.05M,630.97M,,,,2.589M,,2.589M,,,0.85M,894.06M,3.727B,,3.727B,183.75M,183.75M,52.60M,234.30M,395.36M,4.541B,5.435B,0.976M,2.962B,,-44.15M,2.713B
2012-09,25.65M,25.65M,1.043B,,1.043B,97.01M,97.01M,,123.13M,93.02M,1.488B,,,,,,,,5.241B,-1.925B,3.316B,2.595B,,2.595B,87.09M,294.73M,6.293B,7.781B,810.96M,6.774M,817.74M,,817.74M,,,,2.499M,,2.499M,,,18.11M,838.35M,3.441B,,3.441B,195.69M,195.69M,54.69M,234.06M,408.54M,4.279B,5.118B,,,,,2.609B
2012-06,32.94M,32.94M,1.020B,,1.020B,96.88M,96.88M,,122.80M,99.53M,1.456B,,,,,,,,5.172B,-1.875B,3.297B,2.611B,,2.611B,106.10M,288.56M,6.302B,7.759B,852.26M,12.89M,865.15M,,865.15M,,,,2.497M,,2.497M,,,15.97M,883.61M,3.459B,,3.459B,206.40M,206.40M,52.78M,226.54M,393.93M,4.285B,5.169B,,,,,2.537B
2012-03,42.00M,42.00M,1.117B,,1.117B,96.97M,96.97M,,115.92M,91.62M,1.463B,,,,,,,,5.186B,-1.882B,3.304B,2.630B,,2.630B,105.87M,280.26M,6.320B,7.783B,814.17M,75.30M,889.48M,,889.48M,,,,2.512M,,2.512M,,,,891.99M,3.582B,,3.582B,198.64M,198.64M,51.49M,228.93M,403.07M,4.412B,5.304B,,,,,2.427B
2011-12,41.23M,41.23M,969.80M,,969.80M,96.78M,96.78M,,108.32M,99.86M,1.365B,0.0,377.98M,3.244B,1.256B,,190.86M,37.04M,5.106B,-1.818B,3.288B,2.628B,,2.628B,111.78M,272.98M,6.300B,7.665B,228.04M,45.36M,273.40M,325.14M,598.54M,,,,2.479M,,2.479M,,,2.329M,836.93M,3.651B,,3.651B,209.59M,209.59M,50.77M,218.27M,401.91M,4.481B,5.318B,0.966M,2.494B,,-51.18M,2.296B
2011-09,39.15M,39.15M,945.19M,,945.19M,95.78M,95.78M,,103.03M,95.86M,1.372B,,,,,,,,5.009B,-1.758B,3.251B,2.606B,,2.606B,116.23M,261.17M,6.234B,7.606B,796.04M,31.47M,827.51M,,827.51M,,,,2.511M,,2.511M,,,2.87M,832.89M,3.685B,,3.685B,177.22M,177.22M,260.77M,,428.44M,4.291B,5.124B,,,,,2.221B
2011-06,34.82M,34.82M,913.74M,,913.74M,95.55M,95.55M,,121.44M,91.22M,1.368B,,,,,,,,4.917B,-1.699B,3.218B,2.607B,,2.607B,120.38M,251.64M,6.198B,7.566B,769.00M,8.983M,777.98M,,777.98M,,,,2.541M,,2.541M,,,4.014M,784.54M,3.751B,,3.751B,179.71M,179.71M,261.74M,,402.74M,4.333B,5.118B,,,,,2.186B
2011-03,52.08M,52.08M,940.80M,,940.80M,95.13M,95.13M,,118.67M,81.08M,1.401B,,,,,,,,4.881B,-1.641B,3.240B,2.596B,,2.596B,125.64M,250.15M,6.212B,7.613B,821.41M,9.155M,830.57M,,830.57M,,,,3.033M,,3.033M,,,3.581M,837.18M,3.851B,,3.851B,185.27M,185.27M,268.53M,,376.84M,4.413B,5.250B,,,,,2.094B
2010-12,29.47M,29.47M,837.82M,,837.82M,94.33M,94.33M,,120.83M,130.06M,1.331B,0.0,376.57M,3.057B,1.166B,,215.75M,38.71M,4.854B,-1.601B,3.253B,2.590B,,2.590B,108.66M,245.28M,6.197B,7.528B,252.49M,35.18M,287.66M,14.16M,301.82M,,,,3.449M,,3.449M,,,271.60M,826.30M,3.912B,,3.912B,173.35M,173.35M,256.76M,,380.65M,4.466B,5.292B,0.971M,1.998B,,-20.14M,1.979B
2010-09,9.629M,9.629M,609.08M,,609.08M,,84.71M,256.97M,66.42M,52.09M,1.079B,,,,,,,,3.870B,-1.552B,2.317B,732.34M,,732.34M,13.84M,125.15M,3.189B,4.268B,611.75M,0.00,611.75M,,611.75M,,,,401.67M,,401.67M,,,,1.013B,614.92M,,614.92M,94.91M,94.91M,44.56M,,556.32M,1.266B,2.280B,0.973M,2.086B,,-20.54M,1.944B
2010-06,12.34M,12.34M,618.86M,,618.86M,,84.68M,,51.11M,38.98M,822.22M,,,,,,,,3.818B,-1.511B,2.308B,732.75M,,732.75M,8.864M,118.30M,3.168B,3.990B,552.79M,3.298M,556.09M,,556.09M,,,,2.032M,,2.032M,,,,558.12M,881.34M,,881.34M,68.39M,68.39M,248.23M,,346.31M,1.296B,1.854B,0.973M,1.907B,,-20.89M,1.887B
2010-03,6.865M,6.865M,648.83M,,648.83M,,83.82M,,39.90M,58.44M,837.86M,,,,,,,,3.771B,-1.468B,2.303B,733.63M,,733.63M,9.316M,115.02M,3.161B,3.999B,583.03M,25.72M,608.74M,,608.74M,,,,1.526M,,1.526M,,,,610.27M,891.62M,,891.62M,63.12M,63.12M,244.80M,,367.75M,1.322B,1.933B,0.971M,1.955B,,-134.69M,1.822B
2009-12,9.18M,9.18M,602.56M,,602.56M,84.27M,84.27M,,51.34M,27.27M,796.20M,0.0,219.06M,2.098B,1.013B,,367.86M,40.50M,3.739B,-1.424B,2.315B,732.68M,,732.68M,8.643M,111.70M,3.168B,3.964B,194.97M,25.24M,220.21M,5.791M,226.00M,,,,2.573M,,2.573M,,,196.73M,582.82M,956.43M,,956.43M,60.09M,60.09M,238.48M,,375.58M,1.392B,1.975B,0.97M,1.771B,,-21.25M,1.751B
2009-09,13.63M,13.63M,596.23M,,596.23M,,80.73M,,47.46M,56.94M,794.99M,,,,,,,,3.644B,-1.386B,2.258B,732.68M,,732.68M,9.666M,106.17M,3.107B,3.902B,629.03M,0.00,629.03M,,629.03M,,,,2.918M,,2.918M,,,,631.95M,852.27M,,852.27M,52.21M,52.21M,240.21M,,396.68M,1.301B,1.933B,,,,,1.728B
2009-06,10.62M,10.62M,605.87M,,605.87M,,78.88M,,38.93M,52.76M,787.07M,,,,,,,,3.549B,-1.346B,2.204B,733.89M,,733.89M,10.32M,102.08M,3.050B,3.837B,561.47M,16.10M,577.57M,,577.57M,,,,8.73M,,8.73M,,,,586.30M,913.15M,,913.15M,19.81M,19.81M,250.06M,,389.57M,1.323B,1.909B,,,,,1.678B
2009-03,9.423M,9.423M,652.85M,,652.85M,,77.02M,,39.25M,53.97M,832.52M,,,,,,,,3.446B,-1.301B,2.145B,733.88M,,733.88M,11.44M,112.19M,3.003B,3.835B,591.43M,44.21M,635.64M,,635.64M,,,,8.725M,,8.725M,,,,644.36M,938.84M,,938.84M,11.27M,11.27M,240.97M,,403.32M,1.353B,1.998B,,,,,1.597B
2008-12,5.46M,5.46M,625.44M,,625.44M,76.04M,76.04M,,34.52M,47.96M,789.42M,0.0,214.53M,1.799B,917.41M,,383.73M,40.88M,3.356B,-1.256B,2.100B,732.94M,,732.94M,10.43M,109.39M,2.953B,3.742B,192.08M,,192.08M,360.34M,552.42M,,,,8.708M,,8.708M,,,,561.12M,990.66M,,990.66M,12.44M,12.44M,226.74M,,407.65M,1.411B,1.972B,0.494M,1.667B,,-31.70M,1.544B
2008-09,7.805M,7.805M,628.97M,,628.97M,72.64M,72.64M,,32.22M,25.30M,777.80M,,,,,,,,3.230B,-1.214B,2.015B,749.84M,,749.84M,9.578M,145.83M,2.921B,3.698B,,,,,553.76M,,,,8.26M,,8.26M,,,4.221M,566.24M,935.46M,,935.46M,35.34M,35.34M,,,594.98M,1.566B,2.132B,,,,,1.566B
2008-06,6.211M,6.211M,710.06M,,710.06M,,72.95M,,27.67M,27.10M,843.99M,,,,,,,,3.184B,-1.194B,1.990B,748.30M,,748.30M,,136.40M,2.875B,3.719B,504.44M,,504.44M,,504.44M,,,,2.814M,,2.814M,,,,507.26M,1.050B,,1.050B,37.70M,37.70M,225.60M,,353.07M,1.441B,1.949B,,,,1.544B,1.544B
2008-03,8.916M,8.916M,699.74M,,699.74M,,73.38M,,22.48M,31.71M,836.23M,,,,,,,,3.112B,-1.153B,1.959B,749.84M,,749.84M,,140.95M,2.850B,3.686B,520.85M,,520.85M,,520.85M,,,,3.774M,,3.774M,,,22.71M,547.33M,1.041B,,1.041B,37.97M,37.97M,223.09M,,349.37M,1.429B,1.976B,0.525M,1.487B,,,1.487B
2007-12,16.35M,16.35M,627.19M,,627.19M,72.40M,72.40M,,23.15M,35.76M,774.85M,0.0,221.98M,1.586B,853.76M,,346.02M,38.58M,3.046B,-1.112B,1.934B,750.40M,,750.40M,8.257M,141.24M,2.834B,3.609B,175.22M,16.08M,191.30M,5.557M,196.86M,,,,3.116M,,3.116M,,,165.17M,487.71M,1.009B,,1.009B,40.02M,40.02M,,,554.94M,1.604B,2.091B,0.525M,1.524B,,-6.881M,1.517B
2007-09,13.57M,13.57M,631.53M,,631.53M,,70.87M,,60.73M,30.17M,806.88M,,,,,,,,2.972B,-1.077B,1.895B,753.85M,,753.85M,,143.70M,2.792B,3.599B,554.58M,,554.58M,,554.58M,,,,3.329M,,3.329M,,,,557.91M,900.63M,,900.63M,48.81M,48.81M,203.41M,,353.33M,1.303B,1.861B,,,,1.535B,1.535B
2007-06,12.66M,12.66M,647.85M,,647.85M,,68.56M,,44.53M,28.18M,801.78M,,,,,,,,2.883B,-1.042B,1.841B,745.77M,,745.77M,,143.28M,2.730B,3.532B,491.07M,,491.07M,,491.07M,,,,3.014M,,3.014M,,,0.057M,494.14M,951.06M,,951.06M,29.06M,29.06M,199.77M,,342.87M,1.323B,1.817B,,,,1.515B,1.515B
2007-03,11.22M,11.22M,667.28M,,667.28M,,67.64M,,35.67M,25.84M,807.64M,,,,,,,,2.788B,-1.013B,1.775B,737.87M,,737.87M,,146.21M,2.660B,3.467B,497.56M,,497.56M,,497.56M,,,,2.851M,,2.851M,,,21.69M,522.10M,910.42M,,910.42M,32.94M,32.94M,187.37M,,353.16M,1.297B,1.819B,,,,1.461B,1.461B
2006-12,14.94M,14.94M,595.01M,,595.01M,,64.53M,,34.91M,19.11M,728.51M,0.0,201.78M,1.356B,780.02M,31.00M,295.96M,,2.665B,-980.12M,1.685B,719.99M,,719.99M,,143.46M,2.549B,3.277B,190.16M,,190.16M,310.35M,500.51M,,,,1.938M,,1.938M,,,,502.45M,821.36M,,821.36M,35.89M,35.89M,174.06M,,340.82M,1.198B,1.701B,0.538M,1.425B,,-23.45M,1.402B
2006-09,14.82M,14.82M,584.76M,,584.76M,,64.35M,,28.18M,20.78M,712.89M,,,,,,,,2.559B,-949.48M,1.610B,695.25M,,695.25M,,131.00M,2.436B,3.149B,464.10M,,464.10M,,464.10M,,,,3.137M,,3.137M,,,161.28M,628.52M,464.81M,,464.81M,24.40M,24.40M,187.04M,,347.81M,837.02M,1.466B,0.559M,1.431B,82.08M,-17.23M,1.496B
2006-06,124.35M,124.35M,546.34M,,546.34M,,54.04M,,26.26M,28.05M,779.04M,,,,,,,,2.471B,-921.67M,1.549B,686.56M,,686.56M,,130.84M,2.367B,3.146B,426.57M,,426.57M,,426.57M,,,,3.646M,,3.646M,,,169.16M,599.38M,465.28M,,465.28M,35.44M,35.44M,179.25M,,335.30M,836.03M,1.435B,0.587M,1.371B,227.65M,-68.61M,1.531B
2006-03,8.211M,8.211M,547.80M,,547.80M,,53.56M,,23.40M,25.61M,658.58M,,,,,,,,2.416B,-905.71M,1.510B,686.73M,,686.73M,,129.55M,2.326B,2.985B,481.78M,,481.78M,,481.78M,,,,3.999M,,3.999M,,,128.97M,614.75M,603.53M,,603.53M,41.28M,41.28M,170.22M,,300.72M,945.53M,1.560B,0.541M,1.310B,,-56.16M,1.255B
