,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,88.00M,,0.00,-3.00M,-3.00M,-6.00M,193.00M,193.00M,29.00M,,,6.00M,,-19.00M,61.00M,-97.00M,,-38.00M,,65.00M,-9.00M,282.00M,,-68.00M,8.00M,-60.00M,,,1.00M,-55.00M,,,,,,0.00,0.00,-70.00M,-70.00M,2.00M,-59.00M,-127.00M,,835.00M,100.00M,1.00M,936.00M,,,,,0.00,,AOR,Restated
2017-12,503.00M,,0.00,-3.00M,-4.00M,32.00M,235.00M,235.00M,-547.00M,,,4.00M,,7.00M,-28.00M,28.00M,,-1.00M,,-3.00M,-4.00M,230.00M,,-183.00M,7.00M,-176.00M,,0.00,,-157.00M,,,,,,0.00,0.00,-70.00M,-70.00M,0.00,-11.00M,-1.229B,,1.992B,-1.156B,-1.00M,835.00M,,,,,0.00,,AOR,Restated
2017-09,-68.00M,,2.00M,-6.00M,1.00M,-3.00M,226.00M,226.00M,-46.00M,,,5.00M,,-11.00M,6.00M,2.00M,,15.00M,,88.00M,111.00M,214.00M,,-105.00M,1.00M,-104.00M,,0.00,,-98.00M,,,,,,0.00,0.00,-70.00M,-70.00M,1.00M,-67.00M,-136.00M,,2.005B,-20.00M,7.00M,1.992B,,,,,0.00,,AOR,Restated
2017-06,24.00M,,0.00,20.00M,11.00M,31.00M,217.00M,217.00M,8.00M,,,4.00M,,-67.00M,-26.00M,25.00M,,794.00M,,-179.00M,614.00M,831.00M,,-91.00M,4.00M,-87.00M,,9.00M,,-72.00M,,,,,,,,-70.00M,-70.00M,,-5.00M,-75.00M,,1.316B,684.00M,5.00M,2.005B,,,,,,,AOR,Restated
2017-03,-9.00M,,1.00M,54.00M,-5.00M,50.00M,205.00M,205.00M,-16.00M,,,4.00M,,4.00M,-9.00M,-15.00M,,0.00,,142.00M,118.00M,356.00M,,-94.00M,8.00M,-86.00M,,,,-86.00M,,,,,,,,-70.00M,-70.00M,0.00,-54.00M,-124.00M,,1.169B,146.00M,1.00M,1.316B,,,,,,,AOR,Restated
2016-12,-288.00M,,2.00M,-90.00M,9.00M,88.00M,203.00M,203.00M,9.00M,,,4.00M,,-17.00M,-37.00M,-3.00M,,-22.00M,,-45.00M,-107.00M,26.00M,,-392.00M,6.00M,-386.00M,,0.00,-18.00M,-404.00M,,,0.00,74.00M,,,,-71.00M,-71.00M,0.00,-33.00M,-30.00M,,1.554B,-408.00M,0.00,1.169B,,,1.244B,-1.17B,,,AOR,Restated
2016-09,0.00,,4.00M,42.00M,-1.00M,45.00M,148.00M,148.00M,-145.00M,,,6.00M,,3.00M,31.00M,-85.00M,,68.00M,,74.00M,88.00M,145.00M,,-440.00M,6.00M,-434.00M,,0.00,1.00M,-433.00M,,,0.00,0.00,,,,-69.00M,-69.00M,0.00,-97.00M,-166.00M,,2.008B,-454.00M,0.00,1.554B,,,0.00,0.00,,,AOR,Restated
2016-06,83.00M,,1.00M,-207.00M,5.00M,-201.00M,181.00M,181.00M,839.00M,,,5.00M,,33.00M,20.00M,65.00M,,-711.00M,,-214.00M,-840.00M,100.00M,,-703.00M,0.00,-703.00M,,0.00,7.00M,-696.00M,,,0.00,0.00,,,,-70.00M,-70.00M,,-12.00M,-82.00M,,2.689B,-678.00M,-3.00M,2.008B,,,0.00,0.00,,,AOR,Restated
2016-03,47.00M,,3.00M,18.00M,-4.00M,17.00M,146.00M,146.00M,36.00M,,,4.00M,,40.00M,4.00M,16.00M,,-29.00M,,65.00M,56.00M,346.00M,,-676.00M,2.00M,-674.00M,,,12.00M,-662.00M,,,0.00,0.00,,,,-70.00M,-70.00M,,2.787B,2.717B,,286.00M,2.401B,2.00M,2.689B,,,150.00M,-150.00M,,,AOR,Restated
2015-12,36.00M,0.00,3.00M,93.00M,-1.00M,95.00M,132.00M,132.00M,84.00M,,,4.00M,,28.00M,-20.00M,1.00M,,-69.00M,,-220.00M,-308.00M,133.00M,,-678.00M,3.00M,-675.00M,2.00M,,-4.00M,-677.00M,,0.00,0.00,0.00,,0.00,0.00,-70.00M,-70.00M,0.00,-32.00M,-102.00M,,943.00M,-646.00M,-11.00M,286.00M,,,0.00,0.00,0.00,,AOR,Restated
2015-09,97.00M,0.00,4.00M,19.00M,14.00M,37.00M,129.00M,129.00M,0.00,,,5.00M,2.00M,19.00M,20.00M,-64.00M,,-34.00M,,364.00M,286.00M,575.00M,,-759.00M,1.00M,-758.00M,-554.00M,,14.00M,-1.298B,,1.00B,0.00,1.00B,,-33.00M,-33.00M,-69.00M,-69.00M,1.00M,-40.00M,859.00M,,810.00M,136.00M,-3.00M,943.00M,,,1.367B,-367.00M,-33.00M,,AOR,Restated
2015-06,365.00M,43.00M,8.00M,-32.00M,2.00M,21.00M,104.00M,104.00M,-6.00M,,,4.00M,-1.00M,3.00M,-28.00M,60.00M,,-76.00M,,-478.00M,-522.00M,-32.00M,,-587.00M,5.00M,-582.00M,13.00M,,-2.00M,-571.00M,,,0.00,0.00,,-287.00M,-287.00M,-71.00M,-71.00M,1.00M,-9.00M,-366.00M,,1.779B,-969.00M,0.00,810.00M,,,0.00,0.00,-287.00M,,AOR,Restated
2015-03,236.00M,,6.00M,-11.00M,-18.00M,-23.00M,115.00M,115.00M,0.00,,,4.00M,-1.00M,1.00M,24.00M,-68.00M,,73.00M,,170.00M,199.00M,531.00M,,-445.00M,3.00M,-442.00M,,,12.00M,-430.00M,,,0.00,0.00,,-236.00M,-236.00M,-72.00M,-72.00M,6.00M,-12.00M,-314.00M,,1.997B,-213.00M,-5.00M,1.779B,,,0.00,0.00,-236.00M,,AOR,Restated
2014-12,251.30M,-2.90M,1.50M,51.40M,27.20M,77.20M,94.50M,94.50M,2.40M,,,3.40M,8.70M,-17.70M,-58.10M,50.40M,,-32.80M,,-135.20M,-175.70M,244.10M,,-536.30M,0.80M,-535.50M,18.40M,0.00,51.20M,-465.90M,,-0.20M,0.00,-0.20M,,-343.80M,-343.80M,-74.60M,-74.60M,6.00M,-19.90M,-432.50M,,2.651B,-654.30M,-0.10M,1.997B,,,-0.20M,0.00,-343.80M,,AOR,Restated
2014-09,140.60M,0.00,1.50M,6.20M,-24.10M,-16.40M,95.40M,95.40M,14.50M,,,3.60M,-3.50M,0.60M,109.20M,-50.40M,,-69.40M,,397.40M,386.80M,621.60M,,-587.70M,4.30M,-583.40M,0.00,5.00M,500.00M,-78.40M,,0.00,0.00,0.00,,0.00,0.00,-74.20M,-74.20M,2.30M,-10.80M,-82.70M,,2.194B,460.50M,-3.40M,2.651B,,,0.00,0.00,0.00,,AOR,Restated
2014-06,324.70M,0.00,0.90M,39.50M,-3.70M,36.70M,97.80M,97.80M,-16.00M,,,6.20M,-0.70M,-6.30M,-44.30M,176.30M,,-355.10M,,-414.00M,-637.10M,-194.70M,,-292.60M,4.60M,-288.00M,0.00,,19.30M,-268.70M,,0.00,,0.00,,-809.40M,-809.40M,-52.00M,-52.00M,0.30M,-13.50M,-874.60M,,3.530B,-1.338B,1.90M,2.194B,,,0.00,,-809.40M,,AOR,Restated
2014-03,720.40M,-747.10M,0.10M,21.90M,-11.40M,-736.50M,105.30M,105.30M,17.10M,,,3.80M,-4.50M,20.40M,32.20M,-112.30M,,347.30M,,356.80M,624.00M,750.00M,,-392.40M,1.30M,-391.10M,1.354B,,-493.50M,469.00M,,1.494B,,1.494B,,-781.80M,-781.80M,-55.20M,-55.20M,9.40M,-63.80M,602.80M,,1.711B,1.822B,-2.40M,3.530B,,,1.494B,,-781.80M,,AOR,Restated
2013-12,341.40M,0.00,0.60M,-55.30M,1.60M,-53.10M,96.80M,96.80M,-70.10M,,,3.10M,-2.10M,12.90M,-44.20M,6.00M,,59.40M,,-312.60M,-291.40M,37.50M,,-190.90M,1.50M,-189.40M,-72.50M,6.90M,-33.40M,-288.40M,,0.00,,0.00,,-297.60M,-297.60M,-57.20M,-57.20M,4.00M,35.80M,-315.00M,,2.286B,-565.90M,-9.50M,1.711B,,,0.00,,-297.60M,,AOR,Restated
2013-09,243.90M,0.00,0.80M,-10.70M,-11.10M,-21.00M,100.10M,100.10M,80.10M,,,3.30M,-1.80M,42.80M,100.20M,-42.40M,,-9.70M,,365.50M,413.60M,861.00M,,-230.40M,3.60M,-226.80M,0.00,1.00M,-39.20M,-265.00M,,0.00,,0.00,,-195.90M,-195.90M,-23.00M,-23.00M,1.10M,-17.70M,-235.50M,,1.934B,360.50M,-8.40M,2.286B,,,0.00,,-195.90M,,AOR,Restated
2013-06,518.10M,0.00,1.90M,15.70M,2.40M,20.00M,106.60M,106.60M,22.40M,,,3.00M,-0.60M,-39.40M,-30.20M,65.90M,,-145.30M,,-630.90M,-740.50M,-110.40M,,-249.70M,4.20M,-245.50M,0.00,5.60M,-29.30M,-269.20M,,1.498B,,1.498B,,-415.50M,-415.50M,-23.70M,-23.70M,0.60M,-960.80M,98.60M,,2.210B,-281.00M,4.80M,1.934B,,,1.498B,,-415.50M,,AOR,Restated
2013-03,429.40M,0.00,2.30M,-9.00M,-4.20M,-10.90M,107.10M,107.10M,-66.70M,,,3.20M,-9.00M,51.20M,-25.40M,-109.80M,,-8.30M,,317.90M,174.40M,678.70M,,-152.80M,3.30M,-149.50M,0.00,,-47.20M,-196.70M,,0.00,,0.00,,-500.10M,-500.10M,-25.20M,-25.20M,4.60M,-7.70M,-528.40M,,2.275B,-46.40M,-18.20M,2.210B,,,0.00,,-500.10M,,AOR,Restated
2012-12,355.30M,,1.50M,-17.30M,44.10M,28.30M,101.10M,101.10M,-171.20M,,,3.10M,-6.10M,-25.30M,121.00M,31.60M,0.00,220.30M,,-236.80M,136.10M,421.30M,,-262.10M,5.40M,-256.70M,0.00,17.40M,-53.20M,-292.50M,,0.00,,0.00,,0.00,0.00,-25.30M,-25.30M,2.00M,-53.40M,-76.70M,,2.221B,52.10M,1.50M,2.275B,,,0.00,0.00,0.00,,AOR,Restated
2012-09,458.10M,,0.40M,-39.80M,-37.00M,-76.40M,99.70M,99.70M,19.60M,,,3.20M,-14.60M,2.80M,21.80M,-73.20M,-0.10M,-31.60M,,496.30M,413.20M,905.60M,,-103.60M,4.40M,-99.20M,,15.00M,0.00,-84.20M,,0.00,,0.00,,0.00,0.00,-25.10M,-25.10M,7.20M,35.60M,17.70M,,1.383B,839.10M,-0.80M,2.221B,,,0.00,0.00,0.00,,AOR,Restated
2012-06,678.30M,,-0.30M,-77.60M,-20.20M,-98.10M,115.90M,115.90M,19.50M,,,2.40M,-6.00M,-6.90M,102.10M,32.90M,0.10M,-116.00M,,-278.70M,-259.60M,445.50M,,-93.50M,3.30M,-90.20M,,16.00M,0.00,-74.20M,,-13.00M,,-13.00M,,-500.00M,-500.00M,-26.10M,-26.10M,1.90M,-166.40M,-703.60M,,1.713B,-332.30M,2.00M,1.383B,,,0.00,-13.00M,-500.00M,,AOR,Restated
2012-03,431.70M,,3.90M,55.90M,-1.80M,58.00M,103.10M,103.10M,-6.30M,,,3.20M,-9.40M,16.30M,-191.70M,43.50M,0.80M,11.50M,,142.50M,6.60M,603.20M,,-64.30M,3.90M,-60.40M,0.00,,-2.20M,-62.60M,,,,,,0.00,0.00,-26.20M,-26.20M,3.50M,-11.50M,-34.20M,,1.207B,506.40M,-0.10M,1.713B,,,,,0.00,,AOR,Restated
2011-12,502.20M,,1.40M,,38.00M,116.70M,,101.30M,-49.30M,,-27.60M,2.60M,-21.50M,45.60M,-1.80M,36.60M,,43.10M,-446.80M,-178.70M,-546.20M,123.80M,,-78.00M,3.40M,-74.60M,,1.00M,-50.40M,-124.00M,,0.00,,0.00,,-198.30M,-198.30M,101.30M,101.30M,1.00M,-124.20M,-220.20M,,1.426B,-220.40M,1.30M,1.207B,,,,0.00,-198.30M,,AOR,Restated
2011-09,382.40M,,36.80M,,1.10M,37.90M,,101.60M,-9.40M,,14.10M,2.90M,-7.10M,-4.90M,145.00M,-71.20M,,-35.60M,477.20M,0.10M,515.50M,1.033B,,-63.70M,3.80M,-59.90M,,12.30M,-0.10M,-47.70M,,0.00,,0.00,,-801.90M,-801.90M,-127.10M,-127.10M,5.90M,5.60M,-917.50M,,1.356B,67.80M,2.70M,1.426B,,,,0.00,-801.90M,,AOR,Restated
2011-06,543.80M,,3.30M,,-27.70M,-24.40M,,94.80M,9.20M,,14.20M,2.70M,-12.60M,-5.30M,-160.40M,119.50M,,13.90M,-346.10M,1.60M,-371.50M,250.90M,,-50.60M,8.30M,-42.30M,,24.10M,0.00,-18.20M,,0.00,,0.00,,0.00,0.00,-29.50M,-29.50M,5.70M,12.60M,-11.20M,,1.134B,221.50M,0.00,1.356B,,,,0.00,0.00,,AOR,Restated
2011-03,332.60M,,-32.70M,,-24.90M,-57.60M,,118.50M,16.60M,,-0.70M,2.40M,-6.00M,3.30M,-18.30M,-123.40M,,85.40M,315.70M,2.70M,262.10M,671.20M,,-54.90M,39.20M,-15.70M,,0.50M,31.30M,16.10M,,-346.00M,,-346.00M,,,,-13.40M,-13.40M,2.90M,6.00M,-350.50M,,797.70M,336.80M,-0.40M,1.134B,,,,-346.00M,,,AOR,Restated
2010-12,226.70M,,11.00M,-9.40M,-18.80M,-17.20M,,106.30M,47.10M,-0.30M,,2.50M,-4.60M,-30.30M,-7.00M,3.50M,,122.70M,-54.70M,170.80M,230.20M,560.40M,,-69.60M,3.80M,-65.80M,0.00,15.60M,-54.80M,-105.00M,,-300.00M,,-300.00M,0.00,0.00,0.00,-7.10M,-7.10M,3.80M,-1.90M,-305.20M,,648.40M,150.20M,-0.90M,797.70M,,0.00,0.00,-300.00M,0.00,,AOR,Restated
2010-09,71.20M,,0.10M,0.00,-21.60M,-21.50M,,110.40M,47.80M,0.30M,7.00M,2.00M,-0.60M,10.10M,122.50M,-24.40M,,-47.10M,310.10M,0.20M,361.30M,588.00M,,-84.20M,3.10M,-81.10M,0.00,0.80M,0.80M,-79.50M,,-350.00M,,-350.00M,0.00,0.00,0.00,-7.10M,-7.10M,0.70M,-105.40M,-461.80M,,601.40M,46.70M,0.30M,648.40M,,0.00,0.00,-350.00M,0.00,,AOR,Restated
2010-06,142.80M,,-0.70M,0.00,-9.40M,6.90M,,149.80M,-6.40M,,-18.20M,2.00M,-0.20M,-5.10M,-18.50M,179.50M,,-51.20M,-378.40M,-4.50M,-273.10M,-1.50M,,-75.30M,3.60M,-71.70M,-3.178B,31.60M,30.00M,-3.188B,,1.838B,,1.838B,1.15B,,1.15B,-27.20M,-27.20M,0.20M,-181.30M,2.780B,,1.010B,-409.20M,0.10M,601.40M,,1.15B,5.197B,-3.359B,,,AOR,Restated
2010-03,,,0.60M,-28.30M,-0.10M,-27.80M,,28.30M,0.10M,,11.20M,1.80M,-0.40M,16.60M,-26.40M,-78.80M,,0.00,123.00M,-0.10M,17.70M,47.50M,,-29.00M,6.00M,-23.00M,,328.70M,-3.50M,302.20M,,0.00,,0.00,,,,-4.80M,-4.80M,0.30M,-31.70M,-36.20M,,697.10M,313.50M,-0.10M,1.010B,,,,0.00,,,AOR,Restated
2009-12,448.50M,,0.30M,,-0.80M,-12.40M,,27.70M,-3.90M,57.00M,-2.70M,1.90M,-0.20M,-447.30M,-21.70M,13.00M,,3.80M,36.20M,11.40M,42.70M,111.30M,,-54.30M,0.40M,-53.90M,0.00,147.50M,0.00,93.60M,,0.00,,0.00,0.00,,0.00,-117.20M,-117.20M,0.30M,112.50M,-4.40M,,497.50M,200.50M,-0.90M,697.10M,,0.00,0.00,0.00,,,AOR,Restated
2009-09,-331.20M,,-0.40M,,0.80M,0.40M,,27.00M,4.00M,-57.00M,-1.90M,1.70M,-3.50M,413.60M,2.60M,20.20M,,-45.00M,52.40M,,30.20M,83.30M,,-54.50M,3.60M,-50.90M,0.00,-338.70M,-10.00M,-399.60M,,0.00,,0.00,-1.10M,,-1.10M,-4.90M,-4.90M,2.00M,4.40M,0.40M,,816.10M,-315.90M,-2.70M,497.50M,,-1.10M,,,,,AOR,Restated
2009-06,248.20M,,-0.90M,,-0.70M,-1.60M,,24.40M,40.30M,6.00M,-34.30M,1.50M,-0.80M,-35.40M,54.20M,273.10M,-1.60M,-9.40M,-363.70M,-6.00M,-53.40M,194.90M,,-55.00M,2.50M,-52.50M,0.00,-20.60M,,-73.10M,,0.00,,0.00,0.90M,,0.90M,-4.80M,-4.80M,0.80M,-112.30M,-115.40M,,803.80M,6.40M,5.90M,816.10M,,0.90M,0.00,0.00,,,AOR,Restated
2009-03,83.00M,,1.70M,,0.70M,2.40M,,21.90M,5.30M,-6.00M,-48.60M,1.50M,-0.10M,4.70M,-13.80M,134.00M,1.60M,13.60M,86.80M,6.00M,228.20M,292.30M,,-71.90M,2.80M,-69.10M,,-39.50M,,-108.60M,,,,0.00,0.20M,,0.20M,-4.80M,-4.80M,0.10M,,-4.50M,,625.00M,179.20M,-0.40M,803.80M,,0.20M,,,,,AOR,Restated
2008-12,307.00M,,-6.20M,,,-59.90M,-75.70M,25.10M,-27.80M,,,8.30M,-24.30M,-27.60M,-34.10M,-30.10M,4.30M,-10.00M,-171.60M,8.40M,-233.10M,24.70M,,-30.50M,3.00M,-27.50M,,320.90M,6.20M,299.60M,,,,,0.20M,,-500.00M,-74.70M,-57.80M,24.30M,4.60M,-528.90M,,828.40M,-204.60M,1.20M,625.00M,,0.20M,,,,,,Restated
2008-09,9.50M,,1.60M,,8.90M,64.20M,75.70M,24.30M,14.50M,,152.80M,-4.50M,10.20M,93.10M,18.30M,-249.20M,23.40M,-158.30M,213.60M,-114.50M,-266.70M,97.40M,,-38.50M,4.90M,-33.60M,,-55.10M,0.00,-88.70M,,,,,5.90M,,5.90M,11.30M,-5.60M,,13.60M,13.90M,,805.80M,22.60M,0.00,828.40M,,5.90M,,,,,,
2008-06,307.70M,,-1.60M,,-7.20M,-8.80M,,25.60M,25.30M,,-83.20M,2.20M,-5.50M,74.00M,-20.90M,75.90M,-27.40M,70.10M,-248.00M,104.30M,-46.00M,219.30M,,-38.80M,2.40M,-36.40M,,-195.90M,-6.20M,-238.50M,,,,,1.90M,,1.90M,-5.70M,-5.70M,-4.70M,-18.20M,-26.70M,,852.00M,-45.90M,-0.30M,805.80M,,1.90M,,,,,,Restated
2008-03,177.30M,,0.00,,-1.70M,-1.70M,,25.80M,14.40M,,-69.60M,2.30M,-4.70M,-72.00M,-7.30M,-213.30M,19.30M,111.70M,248.00M,-5.00M,153.40M,297.20M,,-34.00M,0.10M,-33.90M,,219.80M,1.20M,187.10M,,,,,2.10M,,2.10M,-5.60M,-5.60M,4.70M,,1.20M,,366.50M,485.50M,0.00,852.00M,,2.10M,,,,,,Restated
2007-12,135.40M,,,,,13.50M,23.40M,23.40M,29.60M,,,,,-18.30M,-5.90M,5.20M,-15.20M,34.20M,-11.20M,-15.90M,2.90M,186.50M,,-27.30M,0.10M,-27.20M,,156.20M,-12.80M,116.20M,,,,,6.00M,,6.00M,,-1.20M,,8.20M,13.00M,,53.00M,315.70M,-2.20M,366.50M,,6.00M,,,,,,
2007-09,86.50M,,,,,8.70M,20.60M,20.60M,6.10M,,,,,-0.80M,14.30M,-55.90M,-5.50M,-42.80M,163.30M,6.90M,80.30M,201.40M,,-38.40M,4.00M,-34.40M,,-171.40M,0.00,-205.80M,,,,,2.60M,,2.60M,,-1.10M,,1.40M,2.90M,,59.60M,-1.50M,-5.10M,53.00M,,2.60M,,,,,,
2007-06,93.60M,,,,,18.10M,20.40M,20.40M,4.30M,,,,,36.10M,-33.50M,124.40M,,0.60M,-157.30M,4.40M,-61.40M,111.10M,,-18.50M,,-18.50M,,-43.00M,0.10M,-61.40M,,,,,4.70M,,4.70M,,-1.10M,,-27.60M,-24.00M,,27.80M,25.70M,6.10M,59.60M,,4.70M,,,,,,
2007-03,57.20M,,,,,11.40M,20.10M,20.10M,8.00M,,,,,-37.60M,-3.40M,-127.30M,,39.30M,222.30M,1.10M,132.00M,191.10M,,-20.90M,,-20.90M,,-162.90M,-8.30M,-192.10M,,,,,3.30M,,3.30M,,-1.10M,,1.00M,3.20M,,25.40M,2.20M,0.20M,27.80M,,3.30M,,,,,,
2006-12,8.00M,,,,,1.70M,24.30M,24.30M,4.10M,,,,,11.40M,-30.50M,41.10M,,26.90M,-17.20M,-29.50M,-9.20M,40.30M,,-18.20M,,-18.20M,,-16.20M,0.00,-34.40M,,,,,,3.30M,3.40M,,-4.40M,,0.00,-1.00M,,21.40M,4.90M,-0.90M,25.40M,,,,,3.30M,,,
2006-09,7.30M,,,,,4.80M,22.90M,22.90M,0.70M,,,,,15.50M,-1.90M,-39.00M,,1.30M,67.00M,21.80M,49.20M,100.40M,,-17.90M,,-17.90M,,-80.70M,0.00,-98.60M,,,,,,-3.30M,-3.30M,,2.20M,,-3.90M,-5.00M,,24.70M,-3.20M,-0.10M,21.40M,,,,,-3.30M,,,
