,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-06,93.00M,2.001B,,2.001B,282.00M,,282.00M,49.00M,276.00M,,325.00M,34.00M,4.00M,,29.00M,2.675B,0.00,70.00M,879.00M,11.91B,,243.00M,13.10B,-3.658B,9.441B,2.36B,129.00M,2.489B,120.00M,,,211.00M,12.26B,14.94B,,616.00M,,0.00,616.00M,,616.00M,,,,797.00M,,797.00M,5.00M,5.00M,,23.00M,1.441B,,4.986B,,4.986B,1.632B,1.632B,,,,3.12B,487.00M,7.105B,8.546B,,2.00M,2.205B,1.388B,0.00,,,,-325.00M,3.27B,,AOR,Restated
2017-03,76.00M,1.312B,,1.312B,252.00M,,252.00M,56.00M,308.00M,,364.00M,844.00M,4.00M,,29.00M,2.805B,0.00,69.00M,885.00M,11.77B,,265.00M,12.99B,-3.435B,9.552B,2.35B,128.00M,2.478B,141.00M,,,209.00M,12.38B,15.18B,,657.00M,,0.00,657.00M,,657.00M,,,,,,,184.00M,184.00M,,12.00M,853.00M,,5.78B,,5.78B,1.616B,1.616B,,,,3.104B,553.00M,7.949B,8.802B,,2.00M,2.272B,1.384B,1.00M,,,,-378.00M,3.279B,,AOR,Restated
2016-12,89.00M,1.164B,,1.164B,227.00M,9.00M,236.00M,60.00M,279.00M,,339.00M,841.00M,5.00M,,70.00M,2.655B,0.00,69.00M,878.00M,11.66B,,280.00M,12.89B,-3.239B,9.652B,2.345B,128.00M,2.473B,139.00M,,,212.00M,12.48B,15.13B,,81.00M,,1.00M,82.00M,557.00M,639.00M,,,,,,,42.00M,42.00M,,5.00M,686.00M,,5.778B,,5.778B,1.63B,1.63B,8.00M,393.00M,27.00M,3.144B,14.00M,7.953B,8.639B,,2.00M,2.365B,1.38B,1.00M,,,,-398.00M,3.348B,,AOR,Restated
2016-09,113.00M,1.554B,,1.554B,207.00M,,207.00M,32.00M,280.00M,,312.00M,830.00M,7.00M,,21.00M,2.931B,0.00,66.00M,342.00M,7.754B,,4.682B,12.84B,-3.119B,9.725B,2.359B,135.00M,2.494B,287.00M,,,195.00M,12.70B,15.63B,,843.00M,,1.00M,844.00M,,844.00M,,,,,,,86.00M,86.00M,,36.00M,966.00M,,5.54B,,5.54B,1.642B,1.642B,,,,3.12B,504.00M,7.686B,8.652B,,2.00M,2.892B,1.39B,151.00M,,,,-273.00M,3.86B,,AOR,Restated
2016-06,112.00M,2.008B,,2.008B,239.00M,,239.00M,34.00M,197.00M,,231.00M,855.00M,7.00M,,34.00M,3.374B,0.00,66.00M,339.00M,7.742B,,4.288B,12.44B,-3.022B,9.413B,2.363B,140.00M,2.503B,289.00M,,,183.00M,12.39B,15.76B,,742.00M,,1.00M,743.00M,,743.00M,,,,,,,13.00M,13.00M,,17.00M,773.00M,,5.54B,,5.54B,1.787B,1.787B,,,,3.181B,497.00M,7.824B,8.597B,,2.00M,2.991B,1.384B,150.00M,,,,-243.00M,3.984B,,AOR,Restated
2016-03,136.00M,2.689B,,2.689B,262.00M,,262.00M,35.00M,269.00M,,304.00M,207.00M,12.00M,,46.00M,3.52B,0.00,68.00M,335.00M,7.757B,,3.831B,11.99B,-2.939B,9.052B,2.384B,150.00M,2.534B,298.00M,,,177.00M,12.06B,15.58B,,880.00M,,4.00M,884.00M,,884.00M,,,,,,,227.00M,227.00M,,162.00M,1.273B,,5.539B,,5.539B,955.00M,955.00M,,,,3.152B,620.00M,7.114B,8.387B,,2.00M,3.014B,1.381B,153.00M,,,,-202.00M,4.042B,,AOR,Restated
2015-12,71.00M,286.00M,,286.00M,210.00M,57.00M,267.00M,35.00M,286.00M,,321.00M,185.00M,23.00M,,45.00M,1.127B,0.00,68.00M,271.00M,7.348B,,3.626B,11.31B,-2.774B,8.539B,2.39B,156.00M,2.546B,298.00M,,,173.00M,11.56B,12.68B,,97.00M,,5.00M,102.00M,821.00M,923.00M,,,,,,,162.00M,162.00M,,130.00M,1.215B,,5.537B,,5.537B,916.00M,916.00M,62.00M,343.00M,81.00M,352.00M,24.00M,7.081B,8.296B,,2.00M,3.058B,1.378B,153.00M,,,,-250.00M,4.035B,,AOR,Restated
2015-09,88.30M,943.20M,,943.20M,251.90M,,251.90M,37.30M,292.50M,,329.80M,111.00M,25.90M,67.80M,34.60M,1.764B,0.00,69.00M,201.70M,6.348B,,4.011B,10.63B,-2.691B,7.940B,2.407B,162.40M,2.570B,359.80M,,,236.60M,11.11B,12.87B,,825.40M,,4.20M,829.60M,,829.60M,,,,,,,381.90M,381.90M,,62.10M,1.274B,,5.593B,,5.593B,909.50M,909.50M,,,,355.50M,626.60M,7.129B,8.402B,,2.40M,3.101B,1.375B,152.70M,,,,-213.60M,4.112B,,AOR,Restated
2015-06,82.30M,809.90M,,809.90M,194.90M,,194.90M,24.60M,180.70M,,205.30M,14.70M,54.00M,53.80M,33.80M,1.366B,0.00,48.60M,174.50M,5.459B,,3.422B,9.104B,-2.638B,6.466B,2.091B,35.40M,2.126B,808.70M,,,231.50M,9.632B,11.00B,,701.20M,,12.40M,713.60M,,713.60M,,,,,,,17.30M,17.30M,,22.60M,753.50M,,4.593B,,4.593B,776.50M,776.50M,,,,359.90M,400.00M,5.769B,6.523B,,2.40M,3.080B,1.368B,129.00M,,,,-205.80M,4.116B,,AOR,Restated
2015-03,62.40M,1.779B,,1.779B,167.10M,,167.10M,23.10M,244.60M,,267.70M,27.70M,63.30M,55.10M,20.00M,2.380B,0.00,47.90M,159.30M,5.276B,,2.999B,8.482B,-2.557B,5.925B,2.090B,36.10M,2.126B,853.50M,,,200.60M,9.106B,11.49B,,693.20M,,79.40M,772.60M,,772.60M,,,,,,,495.20M,495.20M,,43.50M,1.311B,,4.592B,,4.592B,783.00M,783.00M,,,,356.60M,380.00M,5.756B,7.067B,,0.50M,3.334B,1.426B,458.90M,,,,-240.30M,4.062B,,AOR,Restated
2014-12,71.30M,1.997B,,1.997B,185.70M,5.80M,191.50M,23.40M,179.50M,,202.90M,34.80M,86.10M,,18.60M,2.530B,0.00,48.40M,160.70M,5.269B,,2.559B,8.037B,-2.511B,5.526B,2.093B,41.80M,2.135B,861.50M,,,201.80M,8.724B,11.25B,,65.80M,,16.00M,81.80M,524.10M,605.90M,,,,,,,325.40M,325.40M,,48.40M,979.70M,,4.592B,,4.592B,734.60M,734.60M,52.60M,209.80M,0.00,362.80M,16.70M,5.702B,6.682B,,2.50M,3.175B,1.414B,222.20M,,,,-159.80M,4.210B,,AOR,Restated
2014-09,98.60M,2.651B,,2.651B,156.90M,,156.90M,21.00M,233.80M,,254.80M,43.50M,145.60M,39.80M,46.90M,3.339B,0.00,48.60M,161.20M,5.155B,,2.143B,7.507B,-2.457B,5.050B,2.094B,42.80M,2.137B,925.20M,,,208.90M,8.321B,11.66B,,555.70M,,9.00M,564.70M,,564.70M,,,,,,,460.80M,460.80M,,23.30M,1.049B,,4.592B,,4.592B,814.30M,814.30M,,,,358.20M,349.00M,5.756B,6.804B,,0.50M,3.679B,1.494B,604.30M,,,,-72.40M,4.497B,,AOR,Restated
2014-06,117.30M,2.194B,,2.194B,258.30M,,258.30M,22.50M,182.50M,,205.00M,0.00,645.00M,52.50M,50.80M,3.406B,0.00,48.90M,162.40M,5.107B,,1.686B,7.005B,-2.400B,4.605B,2.096B,43.80M,2.140B,943.00M,,,211.60M,7.899B,11.30B,,551.90M,,87.30M,639.20M,,639.20M,,,,,,,63.40M,63.40M,,17.70M,720.30M,,4.592B,,4.592B,829.80M,829.80M,,,,362.80M,317.30M,5.740B,6.460B,,0.50M,3.622B,1.485B,603.10M,,,,-22.40M,4.482B,,AOR,Restated
2014-03,,3.530B,,3.530B,215.70M,,215.70M,23.50M,360.90M,,384.40M,0.00,653.30M,44.60M,82.90M,4.911B,0.00,37.60M,158.00M,5.040B,,1.354B,6.590B,-2.308B,4.282B,2.095B,44.80M,2.139B,933.50M,,,209.60M,7.564B,12.48B,,593.70M,,347.10M,940.80M,,940.80M,,,,,,,477.30M,477.30M,,17.60M,1.436B,,4.592B,,4.592B,821.00M,821.00M,,,,364.60M,318.20M,5.732B,7.167B,,0.60M,4.379B,1.612B,995.80M,,,,-52.00M,4.944B,,AOR,Restated
2013-12,148.90M,1.711B,,1.711B,225.00M,5.90M,230.90M,23.30M,251.00M,,274.30M,53.10M,154.00M,60.00M,,2.630B,0.00,37.90M,159.40M,5.047B,,1.099B,6.343B,-2.242B,4.102B,2.096B,45.80M,2.142B,926.00M,,,878.70M,8.048B,10.68B,,169.00M,,73.30M,242.30M,395.10M,637.40M,,,,,,,163.60M,163.60M,,27.30M,828.30M,,3.098B,,3.098B,833.20M,833.20M,74.80M,156.10M,,362.30M,12.90M,4.411B,5.240B,,0.60M,3.726B,1.594B,201.80M,,,,-42.60M,5.076B,,AOR,Restated
2013-09,,2.286B,,2.286B,186.90M,,186.90M,68.40M,289.00M,,357.40M,35.80M,111.40M,44.10M,37.90M,3.060B,,,,,,,7.246B,-2.996B,4.25B,2.064B,46.80M,2.111B,931.80M,,,446.20M,7.739B,10.80B,,466.90M,0.00,3.60M,470.50M,,470.50M,,0.00,,0.00,,0.00,433.30M,433.30M,,9.10M,912.90M,,3.098B,,3.098B,870.10M,870.10M,,,,356.10M,456.00M,4.424B,5.337B,,0.60M,3.881B,1.659B,361.70M,,,,-72.60M,5.106B,,AOR,Restated
2013-06,79.20M,1.934B,,1.934B,294.30M,,294.30M,69.80M,251.20M,,321.00M,24.50M,74.20M,44.90M,26.50M,2.720B,,,,,,,6.986B,-2.900B,4.086B,2.064B,47.70M,2.112B,898.60M,,,434.80M,7.532B,10.25B,,489.90M,0.00,15.90M,505.80M,,505.80M,,0.00,,0.00,,0.00,67.70M,67.70M,,3.60M,577.10M,,3.098B,,3.098B,783.20M,783.20M,,,,364.80M,449.90M,4.331B,4.908B,,0.60M,3.673B,1.654B,233.30M,,,,-115.30M,4.979B,,AOR,Restated
2013-03,,2.210B,,2.210B,242.70M,,242.70M,64.40M,321.40M,,385.80M,,,38.50M,30.40M,2.908B,,,,,,,6.767B,-2.829B,3.938B,2.064B,48.70M,2.113B,905.80M,,,473.60M,7.431B,10.34B,,448.50M,5.30M,123.50M,577.30M,,577.30M,,4.80M,,4.80M,,4.80M,698.60M,698.60M,,4.60M,1.285B,,1.60B,,1.60B,885.20M,885.20M,,,,385.40M,450.20M,2.935B,4.221B,,0.60M,3.842B,2.509B,509.60M,,,,-110.10M,5.732B,,AOR,Restated
2012-12,106.00M,2.275B,,2.275B,213.20M,4.20M,217.40M,65.70M,212.20M,,277.90M,17.70M,0.00,9.50M,0.10M,2.808B,0.00,60.20M,537.10M,5.389B,202.60M,469.10M,6.658B,-2.757B,3.900B,2.064B,49.60M,2.114B,961.60M,29.80M,44.70M,286.90M,7.359B,10.17B,,117.30M,5.30M,187.10M,309.70M,236.90M,546.60M,12.30M,5.00M,,5.00M,,5.00M,380.70M,380.70M,,5.60M,950.20M,132.70M,1.60B,,1.60B,938.80M,938.80M,4.00M,209.10M,,380.00M,11.40M,2.934B,3.885B,,0.60M,3.461B,2.492B,2.30M,,,,-49.60M,5.902B,,AOR,Restated
2012-09,,2.221B,,2.221B,340.90M,,340.90M,310.00M,,,310.00M,118.10M,,,24.90M,3.015B,,,,,,,6.434B,-2.712B,3.722B,2.064B,,2.064B,991.90M,,,389.30M,7.168B,10.18B,,393.30M,0.00,37.30M,430.60M,,430.60M,,,,,,,617.60M,708.90M,91.30M,54.10M,1.194B,,1.605B,,1.605B,1.019B,1.019B,,,,520.80M,386.90M,3.011B,4.205B,,0.60M,3.016B,2.481B,2.30M,,,,-37.90M,5.457B,,AOR,Restated
2012-06,,1.383B,,1.383B,360.20M,,360.20M,229.60M,,,229.60M,,,,23.90M,1.997B,,,,,,,6.315B,-2.614B,3.701B,2.064B,,2.064B,999.80M,,,357.10M,7.122B,9.119B,,334.40M,0.00,1.30M,335.70M,,335.70M,,,,,,,121.00M,166.70M,45.70M,52.90M,555.30M,,1.605B,,1.605B,1.017B,1.017B,,,,480.80M,441.30M,3.063B,3.619B,,0.60M,2.638B,2.456B,0.00,,,,-75.20M,5.019B,,AOR,Restated
2012-03,,1.713B,,1.713B,464.90M,,464.90M,265.50M,,,265.50M,,,,14.70M,2.458B,,,,,,,6.247B,-2.534B,3.712B,2.064B,,2.064B,1.006B,,,375.70M,7.158B,9.617B,,319.30M,153.10M,139.70M,612.10M,,612.10M,,,,,,,399.90M,506.60M,106.70M,131.80M,1.250B,,1.618B,,1.618B,948.20M,948.20M,,,,429.00M,439.40M,3.006B,4.256B,,0.70M,3.183B,2.820B,1.000B,,,,-72.00M,4.932B,,AOR,Restated
2011-12,99.80M,1.207B,,1.207B,266.90M,2.50M,269.40M,59.00M,245.20M,,304.20M,16.50M,,0.00,1.00M,1.799B,0.00,60.30M,524.50M,5.196B,200.70M,201.90M,6.184B,-2.448B,3.736B,2.064B,53.40M,2.118B,999.50M,,72.00M,230.70M,7.176B,8.974B,,99.50M,149.70M,128.50M,377.70M,214.40M,592.10M,13.80M,0.00,,0.00,,0.00,257.20M,347.30M,90.10M,78.00M,1.031B,117.80M,1.618B,,1.618B,956.80M,959.50M,4.60M,230.40M,,385.90M,5.50M,3.010B,4.042B,,0.70M,2.841B,2.805B,1.000B,,,,-99.30M,4.547B,,AOR,Restated
2011-09,,1.426B,0.00,1.426B,268.60M,,268.60M,341.60M,,,341.60M,,,,21.60M,2.058B,,,,,,,6.104B,-2.364B,3.739B,2.064B,,2.064B,1.057B,,,327.10M,7.188B,9.246B,,440.40M,,77.70M,518.10M,,518.10M,,4.70M,,4.70M,,4.70M,878.20M,952.00M,73.80M,27.70M,1.502B,,1.613B,,1.613B,1.029B,1.029B,,,,487.00M,351.10M,2.994B,4.496B,,0.70M,2.428B,2.780B,878.40M,,,,-67.40M,4.263B,,AOR,Restated
2011-06,,1.356B,3.20M,1.359B,424.50M,,424.50M,277.00M,,,277.00M,,,,20.10M,2.080B,,,,,,,6.191B,-2.321B,3.870B,2.064B,,2.064B,1.085B,,,320.30M,7.340B,9.42B,,346.80M,,136.00M,482.80M,,482.80M,,5.10M,,5.10M,,5.10M,401.30M,506.60M,105.30M,100.10M,1.095B,95.00M,1.613B,,1.613B,1.030B,1.030B,,,,463.30M,255.10M,2.994B,4.088B,,0.70M,2.126B,2.764B,,,,,-22.20M,4.868B,,AOR,Restated
2011-03,,1.134B,3.20M,1.137B,260.30M,,260.30M,395.20M,,,395.20M,,,,16.00M,1.809B,,,,,,,6.168B,-2.244B,3.924B,2.064B,,2.064B,1.084B,,,308.10M,7.381B,9.190B,,338.30M,80.20M,136.50M,555.00M,,555.00M,,5.10M,,5.10M,,5.10M,,73.80M,73.80M,750.00M,1.384B,,1.613B,,1.613B,1.053B,1.053B,,,,428.50M,348.20M,3.014B,4.398B,,0.70M,1.646B,2.744B,,,,,-26.80M,4.363B,,AOR,Restated
2010-12,,797.70M,3.10M,800.80M,238.90M,,238.90M,270.30M,,,270.30M,0.00,,,31.40M,1.341B,200.70M,60.50M,,5.518B,,298.40M,6.078B,-2.152B,3.926B,2.086B,,2.086B,1.080B,,,325.90M,7.417B,8.758B,,752.70M,78.00M,62.20M,892.90M,,892.90M,,4.90M,,4.90M,,4.90M,,38.60M,38.60M,10.20M,946.60M,,1.954B,,1.954B,1.081B,1.081B,,,,383.00M,343.20M,3.378B,4.325B,,0.70M,1.371B,2.732B,,,,,-53.30M,4.050B,,AOR,Restated
2010-09,,648.40M,0.00,648.40M,228.80M,,228.80M,271.10M,,,271.10M,28.60M,,,22.10M,1.199B,,,,,,,6.037B,-2.108B,3.929B,2.096B,,2.096B,1.111B,,,282.40M,7.418B,8.618B,,,,,650.60M,,650.60M,,,,,,,,43.50M,43.50M,31.20M,725.30M,,2.256B,,2.256B,1.032B,1.032B,,,,438.20M,303.10M,3.590B,4.316B,,0.70M,1.178B,2.722B,,,,,-36.10M,3.864B,,AOR,Restated
2010-06,,601.40M,0.00,601.40M,347.40M,,347.40M,287.30M,,,287.30M,7.60M,,,23.70M,1.267B,,,,,,,,,3.908B,2.096B,,2.096B,1.065B,,,259.20M,7.328B,8.595B,,331.60M,91.10M,29.30M,452.00M,,452.00M,,,,18.60M,,18.60M,,88.50M,88.50M,21.50M,580.60M,,2.583B,,2.583B,935.30M,935.30M,,,,424.10M,301.70M,3.820B,4.400B,,0.70M,1.137B,2.719B,,,,,-85.30M,3.771B,,AOR,Restated
