,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,1.124B,1.124B,951.00M,173.00M,49.00M,49.00M,,76.00M,2.00M,-78.00M,10.00M,59.00M,114.00M,2.00M,76.00M,-78.00M,-7.00M,-78.00M,29.00M,5.00M,24.00M,-21.00M,3.00M,3.00M,322.00M,217.00M,105.00M,,0.01,,0.01,0.01,,0.01,,0.01,0.01,,233.50M,233.70M,0.30,,AOR,Restated
2017-03,1.037B,1.037B,930.00M,107.00M,46.00M,46.00M,,76.00M,1.00M,-79.00M,6.00M,52.00M,55.00M,1.00M,76.00M,-79.00M,2.00M,-79.00M,-22.00M,-13.00M,-9.00M,-14.00M,-23.00M,-23.00M,259.00M,205.00M,54.00M,,-0.10,,-0.10,-0.10,,-0.10,,-0.10,-0.10,,233.10M,233.10M,0.30,,AOR,Restated
2016-12,867.00M,867.00M,770.00M,97.00M,32.00M,32.00M,-177.00M,53.00M,1.00M,-69.00M,-99.00M,-67.00M,164.00M,1.00M,53.00M,-69.00M,-430.00M,-69.00M,-335.00M,-47.00M,-288.00M,-32.00M,-320.00M,-167.83M,-79.00M,203.00M,-282.00M,,-1.38,,-0.7264,-1.38,,-1.38,,-0.7264,-1.38,,232.80M,232.80M,0.30,,AOR,Restated
2016-09,680.00M,680.00M,678.00M,2.00M,44.00M,44.00M,0.00,25.00M,2.00M,-29.00M,57.00M,101.00M,-99.00M,2.00M,25.00M,-29.00M,-3.00M,-29.00M,-131.00M,-131.00M,0.00,-30.00M,-30.00M,-30.00M,42.00M,148.00M,-106.00M,,-0.13,,-0.13,-0.13,,-0.13,,-0.13,-0.13,,233.10M,233.10M,0.30,,AOR,Restated
2016-06,1.134B,1.134B,607.00M,527.00M,52.00M,52.00M,-165.00M,29.00M,1.00M,-60.00M,63.00M,115.00M,412.00M,1.00M,29.00M,-60.00M,-174.00M,-60.00M,178.00M,95.00M,83.00M,-36.00M,47.00M,146.00M,388.00M,181.00M,207.00M,,0.20,,0.6243,0.20,,0.20,,0.6240,0.20,,233.30M,233.50M,0.30,,AOR,Restated
2016-03,1.004B,1.004B,787.00M,217.00M,45.00M,45.00M,-14.00M,34.00M,1.00M,-37.00M,61.00M,106.00M,111.00M,1.00M,34.00M,-37.00M,-12.00M,-37.00M,62.00M,15.00M,47.00M,-21.00M,26.00M,36.54M,242.00M,146.00M,96.00M,,0.11,,0.1552,0.11,,0.11,,0.1551,0.11,,233.20M,233.50M,0.30,,AOR,Restated
2015-12,1.115B,1.115B,835.00M,280.00M,50.00M,50.00M,-41.00M,35.00M,1.00M,-39.00M,-17.00M,33.00M,247.00M,1.00M,35.00M,-39.00M,-109.00M,-39.00M,99.00M,63.00M,36.00M,-9.00M,27.00M,51.60M,266.00M,132.00M,134.00M,,0.11,,0.2155,0.11,,0.11,,0.2153,0.11,,233.20M,233.70M,0.30,,AOR,Restated
2015-09,928.00M,928.00M,763.00M,165.00M,42.00M,42.00M,-37.00M,22.00M,0.00,-30.00M,33.00M,75.00M,90.00M,0.00,22.00M,-30.00M,-36.00M,-30.00M,24.00M,20.00M,97.00M,-7.00M,90.00M,112.20M,175.00M,129.00M,46.00M,,0.39,,0.4852,0.39,,0.39,,0.4849,0.39,,233.10M,234.00M,0.30,,AOR,Restated
2015-06,1.311B,1.311B,625.00M,686.00M,38.00M,38.00M,0.00,26.00M,0.00,-29.00M,23.00M,61.00M,625.00M,0.00,26.00M,-29.00M,5.00M,-29.00M,601.00M,200.00M,365.00M,-13.00M,352.00M,352.00M,731.00M,104.00M,627.00M,,1.50,,1.50,1.50,,1.49,,1.49,1.49,,235.20M,236.10M,0.30,,AOR,Restated
2015-03,954.00M,954.00M,538.00M,416.00M,40.00M,40.00M,0.00,33.00M,1.00M,-33.00M,18.00M,58.00M,358.00M,1.00M,33.00M,-33.00M,9.00M,-33.00M,334.00M,113.00M,236.00M,-5.00M,231.00M,231.00M,482.00M,115.00M,367.00M,,0.96,,0.96,0.96,,0.96,,0.96,0.96,,239.70M,240.60M,0.30,,AOR,Restated
2014-12,1.216B,1.216B,772.50M,443.80M,32.60M,32.60M,2.90M,38.10M,0.30M,-40.60M,-11.50M,21.10M,422.70M,0.30M,38.10M,-40.60M,-5.90M,-40.60M,376.20M,132.10M,251.30M,-13.30M,238.00M,236.12M,508.80M,94.50M,414.30M,,0.966,,0.9584,0.966,,0.964,,0.9564,0.964,,246.60M,247.10M,0.30,,AOR,Restated
2014-09,921.40M,921.40M,620.30M,301.10M,38.20M,38.20M,0.00,44.10M,0.20M,-46.20M,25.70M,63.90M,237.20M,0.20M,44.10M,-46.20M,9.50M,-46.20M,200.50M,70.50M,140.60M,-9.70M,130.90M,130.90M,340.00M,95.40M,244.60M,,0.53,,0.53,0.53,,0.52,,0.52,0.52,,248.40M,249.30M,0.30,,AOR,Restated
2014-06,1.473B,1.473B,882.40M,590.30M,39.50M,39.50M,0.00,48.30M,0.30M,-50.40M,21.60M,61.10M,529.20M,0.30M,48.30M,-50.40M,1.40M,-50.40M,480.20M,157.20M,324.70M,-12.10M,312.60M,312.60M,626.30M,97.80M,528.50M,,1.22,,1.22,1.22,,1.22,,1.22,1.22,,255.30M,256.00M,0.20,,AOR,Restated
2014-03,1.133B,1.133B,689.80M,442.80M,41.70M,41.70M,747.10M,36.50M,0.20M,-39.80M,-5.80M,35.90M,406.90M,0.20M,36.50M,-39.80M,763.00M,-39.80M,1.130B,413.20M,720.40M,-11.90M,708.50M,234.84M,1.272B,105.30M,1.167B,,2.588,,0.8593,2.588,,2.58,,0.8545,2.58,,274.00M,274.50M,0.20,,AOR,Restated
2013-12,1.326B,1.326B,732.50M,593.80M,45.00M,45.00M,-7.70M,35.80M,0.60M,-39.20M,20.00M,65.00M,528.80M,0.60M,35.80M,-39.20M,35.60M,-39.20M,525.20M,187.20M,341.40M,-15.60M,325.80M,330.76M,657.80M,96.80M,561.00M,,1.146,,1.163,1.146,,1.142,,1.159,1.142,,283.60M,285.50M,0.20,,AOR,Restated
2013-09,1.097B,1.097B,710.90M,386.10M,32.20M,32.20M,0.00,37.10M,1.00M,-40.00M,-20.30M,11.90M,374.20M,1.00M,37.10M,-40.00M,11.50M,-40.00M,345.70M,109.00M,243.90M,-9.80M,234.10M,234.10M,482.90M,100.10M,382.80M,,0.818,,0.818,0.818,,0.814,,0.814,0.814,,286.50M,287.50M,0.08,,AOR,Restated
2013-06,1.715B,1.715B,849.70M,865.20M,44.50M,44.50M,0.00,28.70M,1.40M,-31.30M,-3.50M,41.00M,824.20M,1.40M,28.70M,-31.30M,9.80M,-31.30M,802.70M,282.90M,518.10M,-19.90M,498.20M,498.20M,938.00M,106.60M,831.40M,,1.686,,1.686,1.686,,1.676,,1.676,1.676,,295.50M,297.50M,0.08,,AOR,Restated
2013-03,1.336B,1.336B,661.40M,675.10M,44.30M,44.30M,0.00,35.60M,2.10M,-37.00M,14.60M,58.90M,616.20M,2.10M,35.60M,-37.00M,-43.10M,-37.00M,536.10M,107.40M,429.40M,-22.90M,406.50M,406.50M,678.80M,107.10M,571.70M,,1.306,,1.306,1.306,,1.294,,1.294,1.294,,311.50M,314.00M,0.08,,AOR,Restated
2012-12,1.481B,1.481B,825.20M,656.20M,40.20M,40.20M,,26.70M,2.30M,-28.10M,-19.80M,20.40M,635.80M,2.30M,26.70M,-28.10M,-19.50M,-28.10M,588.20M,242.20M,355.30M,115.40M,470.70M,470.70M,716.00M,101.10M,614.90M,,1.496,,1.496,1.496,,1.48,,1.48,1.48,,315.00M,319.00M,0.08,,AOR,Restated
2012-09,1.359B,1.359B,657.40M,702.00M,36.50M,36.50M,,25.40M,1.60M,-27.10M,8.60M,45.10M,656.90M,1.60M,25.40M,-27.10M,10.40M,-27.10M,640.20M,206.00M,458.10M,-54.80M,403.30M,403.30M,765.30M,99.70M,665.60M,,1.286,,1.286,1.286,,1.27,,1.27,1.27,,314.00M,317.50M,0.08,,AOR,Restated
2012-06,1.736B,1.736B,692.30M,1.043B,41.30M,41.30M,,25.30M,0.00,-45.30M,10.80M,52.10M,991.20M,0.00,25.30M,-45.30M,14.40M,-45.30M,960.30M,309.20M,678.30M,-72.00M,606.30M,606.30M,1.102B,115.90M,985.60M,,1.884,,1.884,1.884,,1.862,,1.862,1.862,,321.50M,326.00M,0.08,,AOR,Restated
2012-03,1.528B,1.528B,815.80M,711.80M,33.80M,33.80M,,25.80M,0.40M,-30.50M,22.30M,56.10M,655.70M,0.40M,25.80M,-30.50M,15.60M,-30.50M,640.80M,206.80M,431.70M,-63.30M,368.40M,368.40M,769.70M,103.10M,666.60M,,1.124,,1.124,1.124,,1.108,,1.108,1.108,,327.50M,332.50M,0.08,,AOR,Restated
2011-12,1.718B,1.718B,853.20M,865.20M,,36.80M,-21.70M,-8.10M,0.20M,-32.00M,,24.50M,840.70M,0.20M,-8.10M,-32.00M,-11.60M,-32.00M,797.10M,301.80M,502.20M,-63.30M,438.90M,452.38M,890.30M,101.30M,789.00M,,1.342,0.00,1.383,1.342,,1.332,0.00,1.373,1.332,,327.50M,329.00M,0.08,,AOR,Restated
2011-09,1.404B,1.404B,765.80M,638.00M,,30.50M,-0.70M,32.10M,0.30M,-31.80M,39.40M,69.90M,568.10M,0.30M,32.10M,-31.80M,14.30M,-31.80M,550.60M,184.90M,382.40M,-51.50M,330.90M,331.36M,684.30M,101.60M,582.70M,,0.954,0.00,0.9553,0.954,,0.946,0.00,0.9473,0.946,,347.00M,349.50M,0.08,,AOR,Restated
2011-06,1.802B,1.802B,934.30M,867.40M,,31.70M,-2.90M,30.80M,0.90M,-29.90M,2.10M,33.80M,833.60M,0.90M,30.80M,-29.90M,11.30M,-29.90M,815.00M,281.00M,543.80M,-56.40M,487.40M,489.30M,940.60M,94.80M,845.80M,,1.362,0.00,1.367,1.362,,1.35,0.00,1.355,1.35,,358.00M,361.00M,0.02,,AOR,Restated
2011-03,1.174B,1.174B,649.00M,525.00M,,31.00M,-2.10M,52.10M,0.30M,-51.80M,-31.00M,0.00,525.00M,0.30M,52.10M,-51.80M,-2.10M,-51.80M,482.90M,158.80M,332.60M,-50.60M,282.00M,283.41M,653.50M,118.50M,535.00M,,0.79,0.00,0.7940,0.79,,0.782,0.00,0.7859,0.782,,356.50M,360.50M,0.02,,AOR,Restated
2010-12,1.238B,1.238B,753.70M,483.90M,,32.80M,-199.00M,-63.50M,0.50M,-50.20M,,-118.10M,602.00M,0.50M,-63.50M,-50.20M,-166.80M,-50.20M,385.00M,169.30M,226.70M,-26.40M,200.30M,329.65M,427.80M,106.30M,321.50M,,0.604,,0.9668,0.604,,0.598,,0.9573,0.598,,356.50M,360.00M,0.02,,AOR,Restated
2010-09,917.10M,917.10M,747.30M,169.80M,,28.80M,-8.10M,58.30M,0.30M,-58.00M,1.30M,30.10M,139.70M,0.30M,58.30M,-58.00M,-2.40M,-58.00M,79.30M,18.90M,71.20M,-23.00M,48.20M,54.37M,248.00M,110.40M,137.60M,,0.136,0.00,0.1534,0.136,,0.134,0.00,0.1512,0.134,,355.50M,359.50M,0.02,,AOR,Restated
2010-06,1.308B,1.308B,911.10M,396.80M,,28.30M,-36.80M,111.90M,0.40M,-111.50M,,28.30M,368.50M,0.40M,111.90M,-111.50M,-35.30M,-111.50M,221.70M,89.90M,136.60M,-31.50M,105.10M,129.02M,483.40M,149.80M,333.60M,,0.312,0.00,0.3830,0.312,,0.308,0.00,0.3781,0.308,,337.00M,341.00M,0.02,,AOR,Restated
2010-03,502.40M,502.40M,373.40M,129.00M,,16.20M,28.30M,0.40M,0.30M,-0.10M,139.30M,155.50M,-26.50M,0.30M,0.40M,-0.10M,28.30M,-0.10M,1.70M,4.40M,6.20M,-10.60M,-4.40M,-22.80M,30.40M,28.30M,2.10M,,-0.018,0.00,-0.0937,-0.018,,-0.018,0.00,-0.0937,-0.018,,243.00M,243.00M,0.02,,AOR,Restated
2009-12,506.70M,506.70M,380.60M,126.10M,,15.90M,12.40M,0.40M,0.40M,0.00,39.10M,55.00M,71.10M,0.40M,0.40M,0.00,12.40M,0.00,83.50M,466.10M,57.30M,-5.90M,51.40M,43.34M,111.60M,27.70M,83.90M,,0.21,0.00,0.1770,0.21,,0.208,0.00,0.1752,0.208,,244.00M,246.00M,0.02,,AOR,Restated
2009-09,430.10M,430.10M,306.10M,124.00M,,15.10M,0.00,0.40M,2.10M,1.70M,19.10M,34.20M,89.80M,2.10M,0.40M,1.70M,,1.70M,91.50M,-32.10M,60.00M,-21.50M,38.50M,38.50M,118.90M,27.00M,91.90M,,0.158,0.00,0.158,0.158,,0.156,0.00,0.156,0.156,,242.50M,246.50M,0.02,,AOR,Restated
2009-06,991.00M,991.00M,564.00M,427.00M,,16.50M,0.10M,0.30M,0.70M,0.40M,15.30M,31.80M,395.20M,0.70M,0.30M,0.40M,0.10M,0.40M,395.70M,146.80M,248.20M,-35.20M,213.00M,212.94M,420.40M,24.40M,396.00M,,0.88,0.00,0.8797,0.88,,0.866,0.00,0.8657,0.866,,242.00M,246.00M,0.02,,AOR,Restated
2009-03,680.60M,680.60M,518.30M,162.30M,,15.40M,0.30M,0.40M,1.30M,0.90M,23.20M,38.60M,123.70M,1.30M,0.40M,0.90M,0.30M,0.90M,124.90M,41.20M,83.00M,-20.30M,62.70M,62.50M,147.20M,21.90M,125.30M,,0.258,0.00,0.2572,0.258,,0.256,0.00,0.2552,0.256,,242.00M,245.50M,0.02,,AOR,Restated
2008-12,1.072B,1.072B,711.30M,360.70M,,15.00M,,,,,1.80M,16.80M,343.90M,,,,,,414.20M,103.90M,307.00M,-49.80M,190.10M,190.10M,395.80M,25.10M,370.70M,,0.714,0.00,0.714,0.714,,0.706,0.00,0.706,0.706,,263.50M,265.50M,0.02,,,Restated
2008-09,1.021B,1.021B,899.90M,120.90M,,16.70M,-5.00M,,,,1.60M,18.30M,102.60M,,,,-6.40M,,76.00M,27.50M,47.10M,-29.50M,47.10M,50.29M,126.90M,24.30M,102.60M,,0.168,0.00,0.1793,0.168,,0.164,0.00,0.1751,0.164,,282.00M,287.50M,0.02,,,
2008-06,1.161B,1.161B,691.10M,469.90M,,18.10M,2.40M,0.40M,6.60M,6.20M,,18.10M,451.80M,6.60M,0.40M,6.20M,2.40M,6.20M,460.40M,159.90M,307.70M,-19.10M,288.60M,287.03M,486.40M,25.60M,460.80M,,1.022,0.00,1.016,1.022,,1.002,0.00,0.9966,1.002,,282.00M,288.00M,0.02,,,Restated
2008-03,667.30M,667.30M,396.10M,271.20M,,18.20M,,0.40M,8.50M,8.10M,1.40M,19.60M,251.60M,8.50M,0.40M,8.10M,,8.10M,262.40M,86.80M,177.30M,-18.50M,158.80M,158.80M,288.60M,25.80M,262.80M,,0.564,0.00,0.564,0.564,,0.552,0.00,0.552,0.552,,281.50M,287.50M,0.02,,,Restated
2007-12,852.50M,852.50M,616.50M,236.00M,,20.60M,-0.90M,,,,,21.80M,214.20M,,,,0.00,,206.80M,72.30M,135.40M,-16.40M,135.40M,135.99M,237.60M,23.40M,214.20M,,0.486,0.00,0.4881,0.486,,0.476,0.00,0.4781,0.476,,279.00M,285.00M,0.004,,,
2007-09,582.90M,582.90M,431.60M,151.30M,,16.60M,3.60M,,,,-3.20M,13.40M,137.90M,,,,3.60M,,132.60M,46.10M,86.50M,-11.60M,86.50M,84.15M,158.50M,20.60M,137.90M,,0.31,0.00,0.3016,0.31,,0.304,0.00,0.2957,0.304,,278.00M,284.50M,0.004,,,
2007-06,848.90M,848.90M,671.30M,177.60M,,18.20M,0.40M,,,,,18.20M,159.40M,,,,0.40M,,144.90M,51.30M,93.60M,-19.60M,93.60M,93.34M,179.80M,20.40M,159.40M,,0.338,0.00,0.3371,0.338,,0.33,0.00,0.3291,0.33,,277.00M,283.00M,0.004,,,
2007-03,472.40M,472.40M,367.30M,105.10M,,15.00M,0.50M,,,,,15.00M,90.10M,,,,0.50M,,87.00M,29.80M,57.20M,-7.00M,57.20M,56.87M,110.20M,20.10M,90.10M,,0.208,0.00,0.2068,0.208,,0.204,0.00,0.2028,0.204,,275.50M,281.00M,0.004,,,
2006-12,526.40M,526.40M,483.50M,42.90M,,35.40M,3.90M,,,,,32.00M,10.90M,,,,3.90M,,12.50M,4.50M,8.00M,-1.70M,8.00M,5.504M,35.20M,24.30M,10.90M,,0.028,0.00,0.0189,0.028,,0.028,0.00,0.0190,0.028,,275.00M,277.00M,0.004,,,
2006-09,398.60M,398.60M,372.80M,25.80M,,13.20M,-0.10M,,,,0.30M,13.50M,12.30M,,,,-0.10M,,11.00M,3.70M,7.30M,-4.80M,7.30M,7.366M,35.20M,22.90M,12.30M,,0.026,0.00,0.0262,0.026,,0.026,0.00,0.0262,0.026,,275.00M,275.00M,0.004,,,
2006-06,688.70M,688.70M,587.50M,101.20M,,15.90M,0.10M,,,,,15.90M,85.30M,,,,0.10M,,70.30M,27.70M,42.60M,-16.40M,42.60M,42.54M,110.20M,24.90M,85.30M,,0.154,0.00,0.1538,0.154,,0.154,0.00,0.1538,0.154,,275.00M,275.00M,0.004,,,
2006-03,400.50M,400.50M,423.20M,-22.70M,,14.50M,0.10M,,,,,14.50M,-37.20M,,,,0.10M,,-40.80M,-16.20M,-24.60M,-5.90M,-24.60M,-24.66M,-14.70M,22.50M,-37.20M,,-0.09,0.00,-0.0902,-0.09,,-0.09,0.00,-0.0902,-0.09,,275.00M,275.00M,0.004,,,
2005-12,522.50M,522.50M,520.20M,2.30M,,24.30M,-0.10M,,,,,24.30M,-22.00M,,,,-0.10M,,-18.70M,-8.70M,-10.00M,0.90M,-12.80M,-9.94M,-0.90M,21.10M,-22.00M,,-0.0368,,-0.0366,-0.0468,,-0.0368,,-0.0366,-0.0468,,275.00M,275.00M,0.004,,,
2005-09,359.40M,359.40M,303.40M,56.00M,,19.00M,-28.40M,,,,,19.00M,37.00M,,,,-28.40M,,3.20M,94.60M,-91.40M,-6.30M,-91.40M,-74.36M,60.20M,23.20M,37.00M,,-0.3322,,-0.2702,-0.3322,,-0.3322,,-0.2702,-0.3322,,275.00M,275.00M,,,,
2005-06,626.70M,626.70M,531.10M,95.60M,,16.00M,0.10M,,,,,16.00M,79.60M,,,,0.10M,,71.20M,28.30M,42.90M,-7.50M,42.90M,42.84M,79.60M,,79.60M,,0.156,,0.1558,0.156,,0.156,,0.1558,0.156,,275.00M,275.00M,,,,
2004-12,478.59M,478.59M,407.29M,71.30M,,36.71M,,,,,,29.95M,41.35M,,,,,,29.39M,11.16M,33.22M,-38.26M,18.12M,18.12M,68.93M,27.58M,41.35M,,0.0659,,0.0659,0.0659,,0.0659,,0.0659,0.0659,,275.00M,275.00M,,,,
2004-09,326.69M,326.69M,282.78M,43.91M,,9.864M,,,,,1.721M,11.58M,32.33M,,,,,,23.08M,8.764M,8.899M,5.403M,14.30M,14.30M,32.33M,,32.33M,,,,0.0520,0.0520,,,,0.0520,0.0520,,275.00M,275.00M,,,AOR,
