,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2017-06,64.36M,-2.007M,0.641M,2.148M,0.782M,44.65M,6.494M,51.14M,51.14M,3.666M,,,11.56M,,0.338M,-98.88M,-3.529M,-29.36M,-55.72M,,,-127.07M,,4.834M,,2017-06,-58.26M,7.543M,54.57M,,0.615M,0.00,-65.44M,,2017-06,57.59M,0.00,57.59M,,,,,0.00,-1.996M,55.59M,,107.53M,-5.012M,0.088M,102.61M,,2017-06,,-493.30M,,101.50M,7.506M,,2017-06,AOR,Restated
2017-03,48.44M,1.841M,0.221M,0.603M,2.665M,42.69M,6.562M,49.26M,49.26M,-0.036M,,,11.87M,,0.34M,-175.55M,-1.269M,-4.282M,68.77M,,,-117.10M,,-3.705M,,2017-03,-47.02M,4.801M,-42.22M,,-1.701M,0.597M,-48.58M,,2017-03,64.24M,-2.783M,61.46M,,0.00,0.00,,0.025M,-17.17M,44.31M,,114.41M,-7.973M,1.095M,107.53M,,2017-03,,-635.75M,0.00,,,,2017-03,AOR,Restated
2016-12,89.30M,-0.187M,0.316M,0.331M,0.46M,43.63M,7.955M,51.59M,51.59M,6.543M,,,9.875M,,0.339M,75.61M,0.219M,17.16M,-34.44M,,,19.55M,,184.62M,,2016-12,-68.13M,4.872M,149.30M,,-1.882M,1.695M,-62.45M,,2016-12,-125.17M,2.754M,-122.42M,,,,,0.041M,-0.999M,-123.38M,,117.37M,-1.208M,-1.748M,114.41M,,2016-12,,-806.78M,,67.52M,3.977M,,2016-12,AOR,Restated
2016-09,73.55M,-1.094M,-0.104M,0.089M,-1.109M,42.68M,8.094M,50.77M,50.77M,-17.10M,,,9.746M,,0.339M,-212.91M,-12.40M,19.66M,105.36M,,,-185.08M,,-68.53M,,2016-09,-35.87M,6.849M,-29.02M,,0.802M,-1.191M,-59.66M,,2016-09,82.82M,0.00,82.82M,,,,,0.146M,-0.87M,82.10M,,162.34M,-46.08M,1.105M,117.37M,,2016-09,,-626.28M,,21.80M,3.344M,,2016-09,AOR,Restated
2016-06,16.73M,0.654M,0.558M,0.378M,1.59M,42.76M,8.141M,50.90M,50.90M,-7.858M,,,9.503M,,0.338M,22.94M,-2.256M,-13.51M,33.97M,,,-3.448M,,67.81M,,2016-06,-60.86M,5.165M,-55.69M,,0.503M,0.042M,-58.78M,,2016-06,-0.788M,0.00,-0.788M,,,,,0.163M,-1.16M,-1.785M,,155.32M,7.245M,-0.216M,162.34M,,2016-06,,-697.36M,,27.48M,3.066M,,2016-06,AOR,Restated
2016-03,20.86M,-0.107M,0.11M,0.181M,0.184M,41.17M,7.495M,48.66M,48.66M,2.716M,,,13.72M,,0.34M,106.53M,4.537M,1.826M,-23.64M,,,120.31M,,205.81M,,2016-03,-47.70M,5.089M,-42.61M,,0.577M,,-89.57M,,2016-03,-80.04M,-4.711M,-84.75M,,,,,0.051M,-6.072M,-90.77M,,128.77M,25.46M,1.079M,155.32M,,2016-03,,-739.17M,,12.13M,2.441M,,2016-03,AOR,Restated
2015-12,-2.394M,-1.929M,0.934M,0.152M,-0.843M,41.46M,9.174M,50.64M,50.64M,-12.85M,,,8.231M,0.669M,0.432M,101.80M,-10.93M,1.17M,-104.47M,,,131.50M,0.00,234.00M,,2015-12,-41.00M,8.692M,-32.31M,0.00,-6.571M,0.00,-186.51M,,2015-12,130.62M,4.872M,135.50M,,-76.79M,-76.79M,,0.018M,-26.67M,32.05M,,49.19M,79.54M,0.033M,128.77M,,2015-12,,-960.93M,-76.79M,168.46M,2.756M,,2015-12,AOR,Restated
2015-09,45.74M,-0.734M,0.843M,0.00,0.109M,40.95M,8.65M,49.60M,49.60M,-7.544M,,,9.523M,-0.665M,0.273M,-71.57M,-9.605M,14.30M,60.33M,,,12.50M,1.311M,110.21M,,2015-09,-47.97M,8.471M,-39.50M,0.00,-0.96M,0.00,910.00M,,2015-09,141.63M,0.00,141.63M,,-1.175B,-1.175B,,0.00,-0.835M,-1.035B,,65.43M,-14.29M,-1.94M,49.19M,,2015-09,,-1.343B,-1.175B,56.06M,1.721M,,2015-09,AOR,Restated
2015-06,35.46M,-0.007M,0.523M,0.314M,0.83M,41.03M,8.731M,49.76M,49.76M,0.28M,,,9.714M,-0.003M,0.273M,14.50M,-9.869M,-7.27M,22.24M,,,9.68M,11.43M,117.56M,,2015-06,-62.70M,7.733M,-54.76M,-0.211M,2.871M,0.00,-105.34M,,2015-06,95.59M,-4.248M,91.34M,,-172.28M,-172.28M,,0.278M,-2.497M,-83.16M,,135.53M,-70.94M,0.834M,65.43M,,2015-06,,-533.95M,-172.28M,37.88M,1.422M,,2015-06,AOR,Restated
2015-03,52.39M,-0.103M,0.19M,0.00,0.087M,39.40M,8.293M,47.69M,47.69M,0.712M,,,9.471M,-0.001M,0.273M,56.38M,-3.122M,-2.306M,29.21M,,,68.43M,9.599M,189.23M,,2015-03,-58.50M,1.282M,-57.22M,,0.322M,0.214M,-99.89M,,2015-03,43.11M,-0.922M,42.19M,,-182.00M,-182.00M,,0.076M,-2.502M,-142.24M,,190.52M,-52.90M,-2.081M,135.53M,,2015-03,,-105.26M,-182.00M,12.61M,1.188M,,2015-03,AOR,Restated
2014-12,64.80M,0.188M,0.447M,0.00,0.635M,37.87M,9.097M,46.96M,46.96M,36.67M,,,10.20M,-0.134M,0.273M,162.99M,1.698M,-12.81M,-100.70M,,,45.16M,18.52M,273.30M,,2014-12,-59.88M,4.966M,-54.66M,-0.252M,4.558M,,-163.04M,,2014-12,-5.499M,5.056M,-0.443M,,-48.46M,-48.46M,,0.078M,-10.79M,-59.62M,,144.16M,50.64M,-4.287M,190.52M,,2014-12,,-232.26M,-48.46M,52.34M,1.195M,,2014-12,AOR,Restated
2014-09,93.29M,-0.89M,0.381M,0.00,-0.509M,36.48M,9.125M,45.61M,45.61M,-13.22M,,,7.397M,-1.185M,0.273M,-312.80M,1.058M,-0.201M,142.07M,,,-133.87M,14.95M,65.30M,,2014-09,-67.58M,2.941M,-64.64M,0.00,-0.614M,,-159.20M,,2014-09,57.94M,0.00,57.94M,,0.00,0.00,,0.20M,-1.815M,56.33M,,188.95M,-37.57M,-7.218M,144.16M,,2014-09,,-317.54M,0.00,15.80M,0.969M,,2014-09,AOR,Restated
2014-06,70.85M,-0.796M,0.682M,0.332M,0.218M,29.89M,7.79M,37.68M,37.68M,-8.631M,2.746M,,9.554M,-0.121M,0.273M,-54.37M,-4.858M,-22.12M,-51.20M,,,-110.48M,29.61M,32.76M,,2014-06,-48.59M,4.048M,-44.54M,0.00,2.011M,,-75.60M,,2014-06,-0.38M,0.00,-0.38M,,-45.02M,-45.02M,,0.477M,0.115M,-44.81M,,273.34M,-87.65M,3.256M,188.95M,,2014-06,,-334.21M,-45.02M,73.33M,0.101M,,2014-06,AOR,Restated
2014-03,58.65M,-0.305M,-0.266M,,-0.571M,36.86M,8.245M,45.11M,45.11M,8.086M,-2.746M,,10.30M,-0.123M,10.79M,-108.43M,-1.923M,-0.368M,-51.00M,,,-190.08M,,-60.53M,,2014-03,-71.42M,2.493M,-68.92M,,0.259M,,-145.03M,,2014-03,-10.29M,0.00,-10.29M,,0.00,0.00,,0.424M,-0.377M,-10.25M,,488.78M,-215.81M,0.376M,273.34M,,2014-03,,-12.66M,0.00,87.71M,1.268M,,2014-03,AOR,Restated
2013-12,141.45M,-0.952M,-0.068M,,-113.76M,20.04M,8.459M,28.50M,28.50M,-15.21M,8.169M,,6.634M,-0.926M,0.427M,52.06M,3.486M,-2.81M,1.784M,,,68.77M,,201.49M,,2013-12,-8.706M,6.182M,-2.524M,,2.30M,0.00,-3.57M,,2013-12,-0.306M,,-0.306M,,0.00,0.00,,0.156M,-8.128M,-8.278M,,309.15M,189.64M,-10.02M,488.78M,,2013-12,,-342.06M,0.00,59.23M,0.59M,,2013-12,AOR,Restated
2013-09,98.41M,-0.859M,1.303M,,0.444M,33.87M,7.026M,40.90M,40.90M,-15.48M,-2.652M,,7.669M,-0.229M,0.218M,-127.42M,5.396M,-22.95M,95.00M,,,-46.26M,,83.19M,,2013-09,-51.07M,4.508M,-46.57M,,0.994M,36.48M,-134.56M,,2013-09,-0.227M,,-0.227M,,0.00,0.00,,0.049M,-2.274M,-2.452M,,363.11M,-53.82M,-0.144M,309.15M,,2013-09,,-0.227M,0.00,36.56M,0.267M,,2013-09,AOR,Restated
2013-06,74.73M,-0.371M,0.442M,,0.071M,33.04M,5.079M,38.12M,38.12M,6.096M,-3.012M,,12.04M,-2.568M,0.218M,-2.322M,-3.393M,1.88M,-29.90M,,,-8.07M,,117.78M,,2013-06,-104.53M,2.555M,-101.97M,,-13.33M,,-116.22M,,2013-06,0.00,,0.00,,0.00,0.00,,0.326M,-1.29M,-0.964M,,366.62M,0.587M,-4.093M,363.11M,,2013-06,,0.00,0.00,65.81M,0.267M,,2013-06,AOR,Restated
2013-03,76.86M,-0.282M,0.502M,,0.22M,31.88M,5.301M,37.18M,37.18M,-1.122M,-2.505M,,8.036M,0.00,0.218M,-34.19M,0.497M,13.55M,-47.63M,,,-76.26M,,44.13M,,2013-03,-57.64M,1.544M,-56.09M,,0.00,,-65.62M,,2013-03,0.00,,0.00,,,,,0.497M,-5.454M,-4.957M,,394.70M,-26.44M,-1.642M,366.62M,,2013-03,,0.00,,91.58M,0.462M,,2013-03,AOR,Restated
2012-12,105.37M,-0.336M,0.074M,-0.776M,-1.038M,31.19M,8.91M,40.10M,40.10M,0.396M,-2.486M,,5.87M,-0.321M,0.226M,-19.62M,5.114M,4.706M,-4.399M,,,26.24M,-39.30M,135.93M,,2012-12,-60.80M,3.386M,-57.42M,0.00,0.00,,261.01M,,2012-12,-125.01M,,-125.01M,,,,,0.812M,-4.679M,-128.88M,,128.21M,268.06M,-1.572M,394.70M,,2012-12,,-402.55M,,44.32M,1.202M,,2012-12,AOR,Restated
2012-09,88.09M,-0.187M,0.243M,-1.308M,-1.252M,30.71M,10.29M,41.00M,41.00M,12.48M,-2.523M,,6.634M,0.066M,0.228M,-296.23M,-1.137M,-23.51M,134.50M,,,-187.73M,-13.25M,-55.79M,,2012-09,-73.45M,2.107M,-69.80M,-1.541M,0.00,,-74.25M,,2012-09,85.99M,,85.99M,,,,,0.649M,-6.799M,79.84M,,172.87M,-50.21M,5.547M,128.21M,,2012-09,,-339.55M,,40.26M,0.752M,,2012-09,AOR,Restated
2012-06,62.18M,-0.584M,0.647M,,0.063M,29.38M,9.326M,38.70M,38.70M,4.664M,-2.554M,,7.597M,2.868M,0.227M,-34.48M,19.26M,-0.667M,38.58M,,,-6.732M,-21.34M,86.30M,,2012-06,-44.87M,6.256M,-38.61M,,0.00,,-119.39M,,2012-06,38.97M,,38.97M,,,,,0.445M,-6.615M,32.80M,,177.37M,-0.29M,-4.209M,172.87M,,2012-06,,-310.65M,,23.33M,0.424M,,2012-06,AOR,Restated
2012-03,50.08M,0.137M,-0.273M,,-0.136M,29.03M,9.165M,38.19M,38.19M,4.988M,-2.586M,,5.889M,-2.91M,0.223M,-141.98M,3.202M,6.868M,-45.54M,,,-168.96M,13.26M,-60.22M,,2012-03,-31.87M,0.613M,-31.26M,,,,-80.96M,,2012-03,,,,,,,,0.479M,0.42M,0.899M,,315.35M,-140.27M,2.292M,177.37M,,2012-03,,,,47.59M,0.356M,,2012-03,AOR,Restated
2011-12,56.80M,0.453M,0.295M,0.00,0.748M,23.38M,7.607M,30.98M,30.98M,-21.22M,-3.21M,,3.27M,-0.138M,-5.877M,-82.84M,7.864M,7.843M,93.96M,-7.444M,-39.32M,42.88M,,125.28M,,2011-12,-29.52M,-0.238M,-29.75M,0.00,35.00M,,-64.44M,,2011-12,-0.034M,,-0.034M,,0.00,0.00,,0.312M,-5.467M,-5.189M,,257.84M,55.65M,1.865M,315.35M,,2011-12,,-0.034M,0.00,6.416M,0.255M,,2011-12,AOR,Restated
2011-09,55.60M,0.51M,0.70M,0.00,1.21M,29.14M,8.295M,37.43M,37.43M,11.68M,-8.442M,,4.716M,-1.227M,14.16M,-196.60M,-11.15M,28.12M,102.85M,-19.47M,30.06M,-67.58M,,40.78M,,2011-09,-43.53M,4.797M,-38.28M,-0.455M,-39.00M,,-96.67M,,2011-09,-1.152M,,-1.152M,,-55.08M,-55.08M,,0.06M,-4.308M,-60.48M,,380.38M,-116.36M,-6.18M,257.84M,,2011-09,,-1.47M,-55.08M,0.88M,0.12M,,2011-09,AOR,Restated
2011-06,34.31M,-0.058M,-0.054M,,-0.112M,29.17M,6.871M,36.04M,36.04M,-1.391M,0.119M,,5.953M,,-2.414M,-45.44M,-9.15M,10.58M,22.24M,1.501M,5.721M,-16.75M,,56.16M,,2011-06,-52.20M,1.39M,-50.81M,,,,-85.81M,,2011-06,0.046M,,0.046M,,-94.47M,-94.47M,,-0.012M,-0.955M,-95.39M,,503.02M,-125.04M,2.406M,380.38M,,2011-06,,-2.185M,-94.47M,3.235M,0.189M,,2011-06,AOR,Restated
2011-03,-16.30M,-0.008M,0.255M,,0.247M,28.20M,6.266M,34.46M,34.46M,11.48M,0.118M,,5.541M,,-4.964M,-9.849M,-1.145M,-36.05M,-17.16M,25.41M,3.537M,-35.20M,,-4.188M,,2011-03,-37.49M,3.193M,-34.30M,,,,-34.30M,,2011-03,-0.197M,,-0.197M,,,,,0.507M,2.014M,2.324M,,539.22M,-36.16M,-0.043M,503.02M,,2011-03,,-1.991M,,2.775M,0.137M,,2011-03,AOR,Restated
2010-12,23.95M,0.413M,-0.328M,,4.882M,20.82M,9.321M,30.14M,30.14M,6.104M,-12.99M,,3.175M,-0.191M,5.547M,17.24M,-3.663M,-16.48M,-39.19M,204.60M,6.976M,177.63M,,261.59M,,2010-12,-30.00M,3.119M,-26.88M,,0.00,,-161.46M,,2010-12,1.142M,,1.142M,,0.00,0.00,,0.078M,-2.204M,-0.984M,,441.25M,99.14M,-1.169M,539.22M,,2010-12,,-0.041M,0.00,18.41M,0.133M,,2010-12,AOR,Restated
2010-09,63.70M,3.287M,-0.368M,,2.919M,26.50M,13.40M,39.90M,39.90M,21.13M,0.119M,,5.703M,-1.97M,-0.746M,-113.91M,-5.693M,-8.568M,59.85M,-137.84M,20.32M,-185.64M,,-54.71M,,2010-09,-31.67M,7.147M,-24.53M,,0.00,,-24.53M,,2010-09,-0.041M,,-0.041M,,0.00,0.00,,0.036M,-0.017M,-0.022M,,519.82M,-79.26M,0.685M,441.25M,,2010-09,,-0.041M,0.00,24.62M,0.149M,,2010-09,AOR,Restated
2010-06,57.42M,1.307M,0.653M,,1.96M,27.29M,9.09M,36.38M,36.38M,-6.007M,0.173M,,5.76M,,-24.57M,2.972M,-7.583M,4.798M,56.59M,-71.42M,-23.43M,-40.44M,,29.75M,,2010-06,-38.57M,13.18M,-25.40M,,,,-25.40M,,2010-06,-143.81M,,-143.81M,,0.00,0.00,,0.23M,0.018M,-143.56M,,659.82M,-139.21M,-0.795M,519.82M,,2010-06,,-143.81M,0.00,31.27M,3.038M,,2010-06,AOR,Restated
2010-03,,-0.43M,-0.285M,,-0.715M,26.58M,5.848M,32.43M,32.43M,11.93M,0.231M,,6.002M,,22.12M,16.80M,0.348M,7.697M,-94.76M,4.668M,-3.867M,-68.32M,,3.626M,,2010-03,-43.80M,0.932M,-42.87M,,,,-42.87M,,2010-03,-3.294M,,-3.294M,,,,,0.19M,1.969M,-1.135M,,699.63M,-40.38M,0.571M,659.82M,,2010-03,,-3.294M,,34.40M,0.159M,,2010-03,AOR,Restated
2009-12,44.44M,7.24M,0.367M,,7.607M,26.32M,23.69M,50.02M,50.02M,-6.435M,-3.441M,,5.24M,,1.633M,116.91M,13.08M,-3.084M,-91.12M,13.10M,-50.81M,-0.757M,,98.31M,,2009-12,-44.13M,4.285M,-39.84M,,,,10.54M,,2009-12,3.173M,,3.173M,,,,,0.329M,0.084M,3.586M,,584.04M,112.43M,3.157M,699.63M,,2009-12,,0.075M,,18.16M,-0.067M,,2009-12,AOR,Restated
2009-09,63.96M,0.883M,-0.634M,,0.249M,20.57M,5.448M,26.02M,26.02M,28.76M,-3.167M,,4.969M,,1.134M,75.20M,-3.391M,-9.76M,-48.79M,-12.56M,-15.28M,-13.97M,,107.96M,,2009-09,-36.01M,2.075M,-33.94M,,,,-48.08M,,2009-09,-0.006M,,-0.006M,,,,,0.504M,0.115M,0.613M,,524.36M,60.49M,-0.805M,584.04M,,2009-09,,-0.129M,,6.264M,3.037M,,2009-09,AOR,Restated
2009-06,33.64M,0.206M,0.00,,0.206M,20.20M,4.906M,25.10M,25.10M,-0.176M,-4.052M,,4.964M,,2.626M,-47.09M,-2.18M,2.159M,25.17M,11.33M,6.638M,-2.885M,,59.43M,,2009-06,-43.58M,0.878M,-42.70M,,,,-42.70M,,2009-06,-1.953M,,-1.953M,,,,,0.023M,-0.076M,-2.006M,,508.81M,14.72M,0.822M,524.36M,,2009-06,,-2.11M,,24.22M,2.734M,,2009-06,AOR,Restated
2009-03,21.49M,0.429M,0.00,,0.429M,19.77M,4.906M,24.67M,24.67M,4.758M,-2.406M,,4.702M,,3.139M,108.04M,0.026M,0.105M,-55.26M,-5.864M,9.186M,54.42M,,111.20M,,2009-03,-41.26M,1.826M,-39.44M,,,,-39.44M,,2009-03,0.801M,,0.801M,,,,,0.119M,-1.632M,-0.712M,,437.90M,71.05M,-0.143M,508.81M,,2009-03,,-1.137M,,7.918M,0.16M,,2009-03,AOR,Restated
2008-12,46.49M,3.646M,,,3.646M,19.67M,6.836M,26.50M,26.50M,-0.20M,-2.467M,,4.29M,,4.418M,156.40M,0.522M,-9.809M,-56.75M,16.36M,-0.906M,109.70M,,192.38M,,2008-12,-20.71M,4.285M,-16.42M,0.00,,,-23.24M,,2008-12,0.993M,,0.993M,,,,,0.024M,-0.359M,0.658M,,266.43M,169.80M,1.675M,437.90M,,2008-12,,-0.163M,,-60.93M,-9.285M,,2008-12,,Restated
2008-09,51.94M,-0.841M,0.00,,-0.841M,19.81M,8.998M,28.80M,28.80M,8.277M,-2.097M,,4.043M,,5.743M,-139.66M,4.698M,10.31M,33.19M,10.62M,2.826M,-79.05M,,16.82M,,2008-09,-51.78M,2.058M,-49.72M,0.00,,,-54.54M,,2008-09,-0.046M,,-0.046M,,,,,0.315M,0.318M,0.587M,,304.79M,-37.13M,-1.228M,266.43M,,2008-09,,-0.046M,,25.48M,0.148M,,2008-09,,Restated
