,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2017-03,2.178B,2.178B,1.912B,266.19M,184.55M,6.562M,,,3.965M,0.287M,-3.678M,,191.11M,75.07M,0.287M,3.965M,-3.678M,-0.364M,-3.678M,71.03M,22.59M,48.44M,,,-0.173M,48.27M,124.25M,49.26M,75.00M,,,,0.31,0.31,,,,0.31,2017-03,155.17M,155.17M,,,2017-03,AOR,Restated
2016-12,2.103B,2.103B,1.795B,307.69M,173.88M,7.955M,,,3.989M,0.392M,-3.597M,,181.84M,125.85M,0.392M,3.989M,-3.597M,-8.357M,-3.597M,113.90M,24.59M,89.30M,-0.947M,,-0.775M,88.53M,169.47M,51.59M,117.89M,,0.00,,0.57,0.57,,0.00,,0.57,2016-12,154.88M,154.88M,,,2016-12,AOR,Restated
2016-09,2.042B,2.042B,1.740B,302.58M,164.32M,8.094M,,,3.726M,0.874M,-2.852M,,172.42M,130.16M,0.874M,3.726M,-2.852M,0.752M,-2.852M,128.06M,54.52M,73.55M,0.605M,,-0.41M,73.14M,182.56M,50.77M,131.79M,,0.01,,0.47,0.48,,0.01,,0.47,2016-09,155.02M,155.02M,,,2016-09,AOR,Restated
2016-06,1.792B,1.792B,1.592B,200.22M,156.61M,8.141M,,,3.583M,0.641M,-2.942M,,164.75M,35.47M,0.641M,3.583M,-2.942M,-1.103M,-2.942M,31.42M,14.70M,16.73M,,,-0.167M,16.56M,85.91M,50.90M,35.01M,,,,0.11,0.11,,,,0.11,2016-06,156.13M,156.13M,,,2016-06,AOR,Restated
2016-03,1.714B,1.714B,1.510B,203.31M,158.52M,7.495M,,,3.589M,0.516M,-3.073M,,166.02M,37.29M,0.516M,3.589M,-3.073M,0.081M,-3.073M,34.30M,13.44M,20.86M,,,-0.363M,20.50M,86.56M,48.66M,37.89M,,,,0.13,0.13,,,,0.13,2016-03,162.80M,162.81M,,,2016-03,AOR,Restated
2015-12,1.899B,1.899B,1.676B,223.04M,151.79M,9.174M,,,2.928M,0.375M,-2.553M,,160.96M,62.08M,0.375M,2.928M,-2.553M,-59.02M,-2.553M,0.504M,2.898M,-2.394M,-2.488M,,-0.192M,-2.586M,54.07M,50.64M,3.432M,,-0.01,,-0.02,-0.03,,-0.01,,-0.02,2015-12,161.91M,161.91M,,,2015-12,AOR,Restated
2015-09,1.939B,1.939B,1.704B,235.22M,145.69M,8.65M,,,2.021M,0.346M,-1.675M,,154.34M,80.88M,0.346M,2.021M,-1.675M,-1.07M,-1.675M,78.13M,32.39M,45.74M,173.21M,,-2.568M,43.18M,129.76M,49.60M,80.15M,,0.92,,0.23,1.15,,0.92,,0.23,2015-09,188.95M,188.96M,,,2015-09,AOR,Restated
2015-06,1.872B,1.872B,1.645B,227.50M,149.92M,8.731M,,,1.675M,0.319M,-1.356M,,158.65M,68.85M,0.319M,1.675M,-1.356M,-0.448M,-1.356M,67.05M,31.58M,35.46M,14.10M,,-3.456M,32.01M,118.48M,49.76M,68.72M,,0.07,,0.15,0.22,,0.07,,0.15,2015-06,213.05M,213.06M,,,2015-06,AOR,Restated
2015-03,1.861B,1.861B,1.623B,237.91M,145.46M,8.293M,,,1.40M,0.453M,-0.947M,,153.76M,84.15M,0.453M,1.40M,-0.947M,-0.212M,-0.947M,82.99M,30.60M,52.39M,5.795M,,-4.701M,47.69M,132.08M,47.69M,84.39M,,0.03,,0.22,0.25,,0.03,,0.22,2015-03,215.47M,215.49M,,,2015-03,AOR,Restated
2014-12,2.028B,2.028B,1.716B,311.63M,204.88M,9.097M,,,1.334M,0.695M,-0.639M,,213.98M,97.65M,0.695M,1.334M,-0.639M,-0.465M,-0.639M,96.54M,31.74M,64.80M,6.17M,,-4.399M,60.41M,144.84M,46.96M,97.88M,,0.00,,0.30,0.30,,0.00,,0.30,2014-12,220.49M,220.50M,,,2014-12,AOR,Restated
2014-09,2.146B,2.146B,1.809B,336.90M,196.49M,9.125M,,,1.321M,0.90M,-0.421M,,205.62M,131.28M,0.90M,1.321M,-0.421M,-0.378M,-0.421M,130.48M,37.20M,93.29M,6.725M,,-5.367M,87.92M,177.42M,45.61M,131.81M,,0.03,,0.40,0.43,,0.03,,0.40,2014-09,219.49M,219.52M,,,2014-09,AOR,Restated
2014-06,1.838B,1.838B,1.574B,264.21M,135.21M,8.202M,,,1.128M,0.599M,-0.529M,,143.41M,120.80M,0.599M,1.128M,-0.529M,-1.233M,-0.529M,119.04M,41.22M,77.82M,7.629M,,-4.362M,73.45M,162.27M,42.11M,120.16M,,0.04,,0.33,0.37,,0.04,,0.33,2014-06,219.61M,219.64M,,,2014-06,AOR,Restated
2014-03,1.763B,1.763B,1.491B,272.07M,173.33M,8.245M,,,0.982M,1.545M,0.563M,,181.58M,90.50M,1.545M,0.982M,0.563M,0.643M,0.563M,91.70M,33.05M,58.65M,,,-4.24M,54.41M,137.79M,45.11M,92.68M,,,,0.25,0.25,,,,0.25,2014-03,219.03M,219.08M,,,2014-03,AOR,Restated
2013-12,1.706B,1.706B,1.472B,234.32M,127.41M,8.459M,,,1.188M,1.148M,-0.04M,,135.87M,98.46M,1.148M,1.188M,-0.04M,113.30M,-0.04M,211.72M,70.26M,141.45M,,,-4.62M,136.83M,241.40M,28.50M,212.90M,,0.00,,0.77,0.77,,0.00,,0.77,2013-12,217.18M,217.22M,,,2013-12,AOR,Restated
2013-09,1.645B,1.645B,1.372B,273.05M,124.95M,7.026M,,,0.475M,1.139M,0.664M,,131.98M,141.08M,1.139M,0.475M,0.664M,-0.824M,0.664M,140.92M,42.51M,98.41M,,,-5.503M,92.91M,182.29M,40.90M,141.39M,,,,0.43,0.43,,,,0.43,2013-09,214.87M,214.92M,,,2013-09,AOR,Restated
2013-06,1.474B,1.474B,1.233B,241.28M,119.03M,5.079M,,,0.503M,0.569M,0.066M,,124.11M,117.17M,0.569M,0.503M,0.066M,-0.353M,0.066M,116.89M,42.16M,74.73M,,,-4.489M,70.24M,155.51M,38.12M,117.39M,,,,0.33,0.33,,,,0.33,2013-06,214.31M,214.37M,,,2013-06,AOR,Restated
2013-03,1.586B,1.586B,1.347B,238.27M,113.68M,5.301M,,,0.502M,0.522M,0.02M,,118.98M,119.29M,0.522M,0.502M,0.02M,-0.513M,0.02M,118.80M,41.94M,76.86M,,,-4.776M,72.08M,156.48M,37.18M,119.30M,,,,0.34,0.34,,,,0.34,2013-03,213.45M,213.51M,,,2013-03,AOR,Restated
2012-12,1.673B,1.673B,1.387B,286.74M,116.98M,8.91M,,,1.25M,0.293M,-0.957M,,125.89M,160.85M,0.293M,1.25M,-0.957M,0.80M,-0.957M,160.70M,55.32M,105.37M,-3.364M,,-3.023M,102.35M,202.04M,40.10M,161.95M,,-0.02,,0.48,0.46,,-0.02,,0.48,2012-12,213.42M,213.42M,,,2012-12,AOR,Restated
2012-09,1.532B,1.532B,1.280B,252.00M,114.58M,10.29M,,,0.963M,0.383M,-0.58M,,124.87M,127.13M,0.383M,0.963M,-0.58M,1.129M,-0.58M,127.68M,39.60M,88.09M,12.77M,,-4.458M,83.63M,169.65M,41.00M,128.64M,,0.06,,0.39,0.45,,0.06,,0.39,2012-09,213.15M,213.24M,,,2012-09,AOR,Restated
2012-06,1.386B,1.386B,1.173B,212.90M,105.23M,9.326M,,,0.958M,0.387M,-0.571M,,114.56M,98.34M,0.387M,0.958M,-0.571M,-0.326M,-0.571M,97.45M,35.27M,62.18M,7.62M,,-4.259M,57.92M,137.11M,38.70M,98.41M,,0.04,,0.27,0.31,,0.04,,0.27,2012-06,212.99M,213.09M,,,2012-06,AOR,Restated
2012-03,1.329B,1.329B,1.143B,186.06M,98.11M,9.165M,,,0.575M,0.408M,-0.167M,,107.27M,78.79M,0.408M,0.575M,-0.167M,0.13M,-0.167M,78.75M,28.67M,50.08M,-0.091M,,-4.287M,45.80M,117.52M,38.19M,79.33M,,0.00,,0.22,0.22,,0.00,,0.22,2012-03,211.48M,211.59M,,,2012-03,AOR,Restated
2011-12,1.083B,1.083B,941.03M,142.04M,64.39M,7.607M,,,0.555M,0.305M,-0.25M,,72.00M,70.05M,0.305M,0.555M,-0.25M,-0.203M,-0.25M,69.59M,12.79M,56.80M,,,-4.494M,52.31M,101.13M,30.98M,70.15M,,0.00,,0.32,0.32,,0.00,,0.32,2011-12,210.39M,210.51M,,,2011-12,AOR,Restated
2011-09,1.251B,1.251B,1.056B,194.69M,92.41M,8.295M,,-0.528M,0.738M,0.226M,-0.512M,,100.71M,93.98M,0.226M,0.738M,-0.512M,-0.528M,-0.512M,92.94M,37.34M,55.60M,,,-3.606M,52.31M,131.11M,37.43M,93.68M,,0.00,,0.2515,0.25,,0.00,,0.2515,2011-09,210.58M,210.69M,,,2011-09,AOR,Restated
2011-06,1.011B,1.011B,856.82M,154.09M,89.49M,6.871M,,0.199M,0.255M,0.249M,-0.006M,,96.36M,57.73M,0.249M,0.255M,-0.006M,0.199M,-0.006M,57.92M,23.61M,34.31M,,,-2.512M,31.67M,94.22M,36.04M,58.18M,,0.00,,0.1494,0.15,,0.00,,0.1494,2011-06,214.83M,215.02M,,,2011-06,AOR,Restated
2011-03,848.96M,848.96M,778.07M,70.89M,91.54M,6.266M,,-0.065M,0.255M,0.286M,0.031M,,97.81M,-26.92M,0.286M,0.255M,0.031M,-0.065M,0.031M,-26.95M,-10.64M,-16.30M,,,-1.289M,-17.55M,7.767M,34.46M,-26.70M,,0.00,,-0.0798,-0.08,,0.00,,-0.0798,2011-03,214.17M,214.17M,,,2011-03,AOR,Restated
2010-12,804.64M,804.64M,690.29M,114.35M,62.71M,9.321M,,-0.371M,0.242M,0.251M,0.009M,,72.03M,42.32M,0.251M,0.242M,0.009M,0.188M,0.009M,42.51M,18.56M,23.95M,,,-0.768M,23.42M,72.90M,30.14M,42.75M,,0.05,,0.1111,0.16,,0.05,,0.1011,2010-12,212.81M,214.79M,,,2010-12,AOR,Restated
2010-09,1.206B,1.206B,1.016B,189.99M,82.04M,13.40M,,0.479M,0.269M,0.418M,0.149M,,95.43M,94.56M,0.418M,0.269M,0.149M,0.479M,0.149M,95.19M,31.49M,63.70M,,,-0.92M,62.46M,135.36M,39.90M,95.46M,,0.00,,0.2985,0.30,,0.00,,0.2985,2010-09,209.43M,211.10M,,,2010-09,AOR,Restated
2010-06,870.50M,870.50M,714.46M,156.04M,82.12M,9.09M,,-7.586M,1.527M,0.379M,-1.148M,,91.21M,64.82M,0.379M,1.527M,-1.148M,-7.586M,-1.148M,56.09M,22.77M,33.32M,,,-0.337M,37.92M,94.00M,36.38M,57.62M,,0.00,,0.1835,0.16,,0.00,,0.1834,2010-06,209.40M,211.08M,,,2010-06,AOR,Restated
2010-03,748.28M,748.28M,619.14M,129.14M,81.00M,5.848M,,0.371M,2.864M,0.369M,-2.495M,,86.85M,42.29M,0.369M,2.864M,-2.495M,0.371M,-2.495M,40.17M,16.07M,24.10M,,,-0.356M,23.52M,75.46M,32.43M,43.03M,,0.00,,0.1089,0.11,,0.00,,0.1089,2010-03,208.67M,210.34M,,,2010-03,AOR,Restated
2009-12,985.42M,985.42M,794.48M,190.95M,94.82M,23.69M,,-0.405M,2.832M,0.409M,-2.423M,,118.52M,72.43M,0.409M,2.832M,-2.423M,-0.405M,-2.423M,69.60M,25.16M,44.44M,,,-0.50M,44.20M,122.45M,50.02M,72.44M,,0.00,,0.2112,0.21,,0.00,,0.2112,2009-12,207.08M,208.80M,,,2009-12,AOR,Restated
2009-09,780.79M,780.79M,633.17M,147.63M,71.02M,5.448M,,0.592M,2.816M,0.338M,-2.478M,,76.47M,71.16M,0.338M,2.816M,-2.478M,0.592M,-2.478M,69.28M,5.32M,63.96M,,,-0.52M,62.89M,98.11M,26.02M,72.09M,,0.00,,0.3172,0.32,,0.00,,0.3173,2009-09,198.61M,205.22M,,,2009-09,AOR,Restated
2009-06,813.38M,813.38M,675.60M,137.78M,72.97M,4.906M,,0.158M,2.803M,0.628M,-2.175M,,77.88M,59.91M,0.628M,2.803M,-2.175M,0.158M,-2.175M,57.89M,24.24M,33.64M,,,-0.217M,33.32M,85.79M,25.10M,60.69M,,0.00,,0.1695,0.17,,0.00,,0.1695,2009-06,198.30M,198.38M,,,2009-06,AOR,Restated
2009-03,738.53M,738.53M,621.40M,117.13M,73.60M,4.906M,,0.076M,2.818M,1.081M,-1.737M,,78.51M,38.62M,1.081M,2.818M,-1.737M,0.076M,-1.737M,36.96M,15.47M,21.49M,,,-0.136M,21.30M,64.45M,24.67M,39.78M,,0.00,,0.1098,0.11,,0.00,,0.1098,2009-03,197.70M,197.73M,,,2009-03,AOR,Restated
2008-12,921.53M,921.53M,754.80M,166.73M,82.26M,6.836M,,-0.066M,2.849M,1.66M,-1.189M,,89.10M,77.63M,1.66M,2.849M,-1.189M,-0.066M,-1.189M,76.38M,29.89M,46.49M,,,0.00,46.53M,105.73M,26.50M,79.23M,,0.00,,0.2402,0.24,,0.00,,0.2402,2008-12,195.63M,197.55M,,,2008-12,,Restated
2008-09,1.053B,1.053B,867.79M,185.57M,80.13M,8.998M,0.002M,-0.076M,9.837M,2.022M,-7.815M,,89.12M,96.44M,2.022M,9.837M,-7.815M,-0.076M,-7.815M,88.55M,36.61M,51.94M,,,0.00,51.99M,127.19M,28.80M,98.39M,,0.00,,0.3003,0.30,,0.00,,0.2802,2008-09,173.01M,203.93M,,,2008-09,,Restated
2008-06,960.88M,960.88M,802.19M,158.69M,76.29M,9.876M,,0.278M,9.722M,2.088M,-7.634M,,86.17M,72.52M,2.088M,9.722M,-7.634M,0.278M,-7.634M,65.17M,27.50M,37.67M,,,0.00,37.49M,103.95M,29.06M,74.89M,,0.00,,0.2190,0.22,,0.00,,0.2091,2008-06,172.39M,197.02M,,,2008-06,,Restated
2008-03,844.44M,844.44M,720.56M,123.88M,70.72M,10.59M,,0.204M,9.594M,3.995M,-5.599M,,81.31M,42.57M,3.995M,9.594M,-5.599M,0.204M,-5.599M,37.18M,15.70M,21.47M,,,0.00,21.34M,76.35M,29.58M,46.77M,,0.00,,0.1292,0.13,,0.00,,0.1292,2008-03,171.14M,171.59M,,,2008-03,,Restated
2007-12,878.99M,878.99M,728.12M,150.88M,84.72M,12.43M,,0.022M,,,,,97.14M,53.73M,,,,0.022M,,53.14M,19.60M,33.54M,0.046M,,,33.53M,84.05M,30.32M,53.73M,,0.00,,0.1799,0.18,,0.00,,0.1699,2007-12,170.09M,201.56M,,,2007-12,,
2007-09,655.86M,655.86M,540.81M,115.05M,59.82M,4.868M,,-0.713M,,,,,64.68M,50.37M,,,,-0.713M,,49.88M,2.93M,46.95M,2.371M,,,47.62M,69.68M,19.31M,50.37M,,0.02,,0.3449,0.36,,0.01,,0.3040,2007-09,136.28M,167.87M,,,2007-09,,
2007-06,552.22M,552.22M,466.97M,85.25M,47.02M,0.692M,,0.082M,,,,,47.71M,37.53M,,,,0.082M,,37.73M,15.94M,21.78M,0.083M,,,21.73M,51.42M,13.89M,37.53M,,0.00,,0.1796,0.18,,0.00,,0.1696,2007-06,118.58M,149.96M,,,2007-06,,
2007-03,568.96M,568.96M,491.39M,77.57M,48.96M,0.772M,,0.029M,,,,,49.73M,27.84M,,,,0.029M,,26.62M,-4.247M,30.87M,0.337M,,,30.85M,41.64M,13.79M,27.84M,,0.00,,0.2598,0.26,,0.00,,0.2299,2007-03,118.03M,149.61M,,,2007-03,,
2006-12,585.23M,585.23M,493.86M,91.36M,48.49M,0.091M,,-56.77M,,,,,105.39M,-14.03M,,,,-56.77M,,-15.79M,15.38M,-31.16M,0.703M,,,2.903M,-1.483M,12.54M,-14.03M,,0.01,,0.0206,-0.26,,0.01,,0.0196,2006-12,117.23M,117.62M,,,2006-12,,
2006-09,523.61M,523.61M,440.86M,82.74M,44.77M,0.091M,,0.059M,,,,,44.86M,37.88M,,,,0.059M,,36.50M,14.20M,22.30M,0.124M,,,22.26M,50.84M,12.96M,37.88M,,0.00,,0.1897,0.19,,0.00,,0.1698,2006-09,117.20M,148.53M,,,2006-09,,
2006-06,514.05M,514.05M,433.69M,80.36M,46.64M,,,1.778M,,,,,46.64M,33.72M,,,,1.778M,,28.74M,11.08M,17.66M,,,,16.57M,50.85M,17.14M,33.72M,,0.00,,0.1407,0.15,,0.00,,0.1323,2006-06,117.15M,142.01M,,,2006-06,,
2006-03,496.49M,496.49M,437.05M,59.45M,42.18M,0.091M,,0.148M,,,,,42.28M,17.17M,,,,0.148M,,14.42M,6.558M,7.858M,,,,7.769M,30.77M,13.59M,17.17M,,0.00,,0.0692,0.07,,0.00,,0.0692,2006-03,116.52M,117.06M,,,2006-03,,
2005-12,507.12M,507.12M,422.50M,84.62M,50.66M,,,-0.089M,,,,,51.02M,33.60M,,,,-0.089M,,29.80M,11.72M,18.08M,,,,18.14M,46.93M,13.33M,33.60M,,0.01,,0.1505,0.16,,0.00,,0.1505,2005-12,116.10M,117.39M,,,2005-12,,
2005-09,523.34M,523.34M,443.17M,80.17M,49.42M,,,0.062M,,,,,49.42M,30.75M,,,,0.062M,,26.70M,13.82M,12.88M,,,,12.84M,46.12M,15.37M,30.75M,,0.00,,0.1097,0.11,,0.00,,0.1097,2005-09,115.97M,141.18M,,,2005-09,,
2005-06,439.29M,439.29M,385.47M,53.82M,43.87M,,,0.097M,,,,,43.87M,9.942M,,,,0.097M,,5.831M,2.488M,3.343M,,,,3.285M,26.09M,16.14M,9.942M,,0.00,,0.0295,0.03,,0.00,,0.0295,2005-06,115.71M,116.34M,,,2005-06,,
2005-03,372.50M,372.50M,336.41M,36.09M,42.46M,,,0.165M,,,,,42.46M,-6.37M,,,,0.165M,,-10.70M,-5.576M,-5.128M,,,,-5.227M,7.845M,14.22M,-6.37M,,0.00,,-0.0409,-0.04,,0.00,,-0.0409,2005-03,115.23M,115.23M,,,2005-03,,
2004-12,419.24M,419.24M,369.34M,49.90M,43.14M,,,2.619M,,,,,43.14M,6.76M,,,,2.619M,,1.689M,-0.147M,1.836M,,,,0.2646M,22.82M,16.06M,6.76M,,,,0.0065,0.02,,,,0.0065,2004-12,116.67M,116.67M,,,2004-12,,
2004-09,463.08M,463.08M,404.65M,58.42M,44.26M,,,0.08M,,,,,44.26M,14.16M,,,,0.08M,,8.604M,4.448M,4.156M,,,,4.108M,29.90M,15.74M,14.16M,,0.00,,0.0396,0.04,,0.00,,0.0396,2004-09,114.68M,115.38M,,,2004-09,,
2004-06,389.19M,389.19M,342.85M,46.34M,40.59M,,,-0.161M,,,,,40.59M,5.752M,,,,-0.161M,,-0.227M,3.265M,-3.492M,,,,-3.395M,21.93M,16.18M,5.752M,,0.00,,-0.0292,-0.03,,0.00,,-0.0292,2004-06,114.42M,114.42M,,,2004-06,,
2004-03,355.00M,355.00M,328.27M,26.72M,43.54M,,,0.473M,,,,0.03M,43.57M,-16.85M,,,,0.473M,,-22.71M,-11.02M,-11.69M,,,,-11.98M,-0.972M,15.88M,-16.85M,,0.00,,-0.1025,-0.10,,0.00,,-0.1025,2004-03,113.92M,113.92M,,,2004-03,,
2003-12,431.29M,431.29M,377.68M,53.61M,40.91M,,,-44.34M,,,,,47.36M,6.251M,,,,-44.34M,,-39.28M,-13.57M,-25.71M,,,,3.314M,22.07M,15.82M,6.251M,,0.00,,0.0334,-0.24,,0.00,,0.0334,2003-12,106.17M,106.17M,,,2003-12,,
2003-09,436.13M,436.13M,381.12M,55.01M,38.89M,,,0.182M,,,,,38.89M,16.12M,,,,0.182M,,8.224M,2.825M,5.399M,,,,5.280M,31.88M,15.76M,16.12M,,0.00,,0.0490,0.05,,0.00,,0.0490,2003-09,116.57M,116.64M,,,2003-09,,
2003-06,408.30M,408.30M,354.78M,53.52M,58.11M,,,-0.326M,,,,,58.11M,-4.589M,,,,-0.326M,,-13.05M,-3.218M,-9.835M,,,,-9.589M,11.60M,16.18M,-4.589M,,0.00,,-0.0779,-0.08,,0.00,,-0.0779,2003-06,115.80M,115.80M,,,2003-06,,
2003-03,367.13M,367.13M,329.37M,37.76M,38.97M,,,0.216M,,,,,38.97M,-1.213M,,,,0.216M,,-8.961M,-4.118M,-4.843M,,,,-4.973M,13.89M,15.11M,-1.213M,,0.00,,-0.0312,-0.03,,0.00,,-0.0312,2003-03,104.07M,104.07M,,,2003-03,,
2002-12,432.76M,432.76M,374.10M,58.66M,46.77M,,,-2.39M,,,,0.00,46.77M,11.89M,,,,-2.39M,,-0.671M,-1.784M,1.113M,,0.00,,2.547M,27.17M,15.28M,11.89M,,0.19,0.00,-0.0038,0.17,,0.19,0.1851,-0.0038,2002-12,88.69M,88.69M,,,2002-12,,
