,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,680.76M,,680.76M,1.409B,1.409B,103.55M,103.76M,1.654B,,1.861B,,358.95M,4.683B,,,,,,,,1.012B,1.693B,2.120B,3.813B,,,,803.04M,5.628B,10.31B,583.00M,,583.00M,938.43M,1.521B,,,,1.531B,,1.531B,,,86.03M,3.139B,2.213B,,2.213B,,,,,,,,,1.272B,3.484B,6.623B,98.58M,846.12M,3.607B,,,,-864.03M,3.688B
2017-12,563.48M,,563.48M,1.430B,1.430B,105.35M,110.47M,1.491B,,1.707B,,296.99M,4.378B,0.0,104.26M,1.071B,1.314B,,2.490B,-1.475B,1.015B,1.693B,2.322B,4.015B,216.48M,2.199M,104.68M,100.56M,5.581B,9.959B,761.00M,290.81M,1.052B,452.43M,1.504B,,,735.55M,735.55M,,735.55M,38.88M,,188.22M,2.744B,2.188B,,2.188B,58.04M,,345.01M,49.73M,189.19M,12.83M,,,81.23M,3.495B,6.239B,98.96M,1.024B,3.523B,,,,-926.14M,3.720B
2017-09,1.546B,,1.546B,1.851B,1.851B,85.93M,106.12M,1.718B,,1.910B,,319.99M,5.627B,,,,,,,,921.22M,1.643B,1.937B,3.579B,,,,746.88M,5.247B,10.87B,554.11M,,554.11M,1.028B,1.582B,,,,2.239B,,2.239B,,,,3.821B,2.144B,,2.144B,,,,,,,,,971.88M,3.116B,6.938B,98.63M,1.297B,3.457B,,,,-914.90M,3.937B
2017-06,672.54M,,672.54M,1.156B,1.156B,99.31M,101.73M,1.512B,,1.713B,,356.15M,3.898B,,,,,,,,918.98M,1.736B,1.895B,3.632B,,,,725.41M,5.276B,9.174B,502.91M,,502.91M,753.34M,1.256B,,,,1.175B,,1.175B,,,,2.431B,2.112B,,2.112B,,,,,,,,,986.62M,3.098B,5.529B,98.33M,1.078B,3.399B,,,,-930.60M,3.644B
2017-03,604.44M,,604.44M,1.253B,1.253B,95.96M,96.90M,1.453B,,1.645B,,353.73M,4.092B,,,,,,,,914.24M,1.715B,1.814B,3.529B,,,,710.66M,5.154B,9.246B,438.30M,,438.30M,833.82M,1.272B,,,,542.41M,,542.41M,,,21.32M,1.836B,2.051B,,2.051B,,,,,,,,,985.88M,3.037B,4.873B,101.74M,1.892B,3.367B,,,,-988.04M,4.373B
2016-12,1.228B,,1.228B,1.149B,1.149B,94.30M,97.26M,1.233B,,1.425B,,293.89M,4.293B,0.0,85.70M,931.19M,1.217B,,2.234B,-1.338B,895.96M,1.555B,1.729B,3.283B,203.34M,18.82M,320.19M,649.56M,5.446B,9.739B,620.19M,196.99M,817.18M,399.29M,1.216B,,,279.72M,279.72M,,279.72M,34.50M,,92.03M,1.785B,2.039B,,2.039B,147.28M,,421.96M,49.88M,165.64M,7.00M,,,59.72M,3.013B,4.798B,103.50M,2.545B,3.333B,,,,-1.041B,4.941B
2016-09,737.82M,,737.82M,1.785B,1.785B,157.25M,98.69M,1.744B,,2.000B,,295.91M,4.819B,0.0,95.44M,1.026B,1.295B,,2.417B,-1.468B,949.31M,1.798B,1.971B,3.769B,,,,905.51M,5.624B,10.44B,565.74M,,565.74M,870.15M,1.436B,,,,741.30M,,741.30M,,,,2.177B,2.347B,,2.347B,,,,,,,,,1.046B,3.393B,5.570B,103.42M,2.454B,3.313B,,,,-998.02M,4.873B
2016-06,676.26M,,676.26M,1.165B,1.165B,154.16M,95.42M,1.526B,,1.776B,,307.49M,4.068B,0.0,95.30M,1.008B,1.277B,,2.380B,-1.438B,942.04M,1.796B,1.967B,3.763B,,,,900.58M,5.606B,9.674B,502.85M,,502.85M,723.62M,1.226B,,,,1.408B,,1.408B,,,26.10M,2.661B,1.401B,,1.401B,,,,,,,,,964.40M,2.365B,5.026B,103.84M,2.276B,3.270B,,,,-1.001B,4.648B
2016-03,585.84M,,585.84M,1.293B,1.293B,159.40M,97.11M,1.506B,,1.763B,,331.20M,3.973B,0.0,99.44M,1.069B,1.289B,,2.457B,-1.471B,986.16M,1.804B,2.171B,3.975B,,,,898.32M,5.859B,9.832B,429.69M,,429.69M,959.08M,1.389B,,,,1.141B,,1.141B,,,,2.529B,1.401B,,1.401B,,,,,,,,,1.008B,2.409B,4.938B,104.25M,2.500B,3.240B,,,,-950.28M,4.894B
2015-12,944.42M,,944.42M,1.290B,1.290B,147.36M,94.36M,1.314B,,1.555B,,284.22M,4.163B,0.0,93.92M,983.67M,1.234B,,2.311B,-1.366B,945.49M,1.788B,2.126B,3.915B,215.99M,13.00M,40.84M,300.67M,5.476B,9.640B,680.61M,182.83M,863.44M,366.52M,1.230B,,,452.94M,452.94M,,452.94M,29.49M,,51.79M,1.942B,1.402B,,1.402B,241.41M,,549.60M,49.56M,157.43M,2.256M,,,61.43M,2.313B,4.255B,106.65M,3.129B,3.193B,,,,-1.043B,5.385B
2015-09,566.60M,,566.60M,1.871B,1.871B,173.19M,101.31M,1.764B,,2.038B,,460.56M,4.936B,0.0,98.03M,1.027B,1.253B,,2.378B,-1.396B,981.56M,1.800B,2.309B,4.109B,,,,625.06M,5.716B,10.65B,580.37M,,580.37M,904.67M,1.485B,,,,1.299B,,1.299B,,,,2.784B,1.411B,,1.411B,,,,,,,,,1.096B,2.507B,5.291B,106.56M,2.977B,3.177B,,,,-898.78M,5.361B
2015-06,659.77M,,659.77M,1.200B,1.200B,157.18M,108.96M,1.480B,,1.746B,,600.06M,4.206B,0.0,96.18M,1.012B,1.236B,,2.344B,-1.379B,964.37M,1.797B,2.296B,4.093B,,,,641.67M,5.699B,9.906B,503.75M,,503.75M,780.29M,1.284B,,,,1.172B,,1.172B,,,,2.456B,1.412B,,1.412B,,,,,,,,,1.074B,2.486B,4.942B,106.31M,2.657B,3.114B,,,,-913.63M,4.964B
2015-03,655.48M,,655.48M,1.283B,1.283B,154.35M,103.12M,1.367B,,1.624B,,518.59M,4.082B,0.0,56.79M,978.84M,1.220B,,2.256B,-1.344B,911.48M,1.795B,2.292B,4.087B,,,,653.00M,5.651B,9.733B,457.74M,,457.74M,749.24M,1.207B,,,,1.071B,,1.071B,,,,2.278B,1.423B,,1.423B,,,,,,,,,1.127B,2.550B,4.829B,106.24M,2.624B,3.077B,,,,-902.39M,4.904B
2014-12,971.90M,,971.90M,1.276B,1.276B,145.66M,104.52M,1.233B,,1.483B,,300.65M,4.032B,0.0,57.15M,986.68M,1.225B,,2.269B,-1.327B,942.18M,1.825B,2.604B,4.429B,243.18M,20.27M,49.97M,93.99M,5.814B,9.845B,690.84M,240.47M,931.32M,378.68M,1.310B,,,25.80M,25.80M,,25.80M,31.77M,,26.97M,1.614B,1.414B,,1.414B,229.46M,,583.86M,47.82M,364.30M,4.801M,,,61.83M,2.600B,4.214B,108.22M,3.232B,2.993B,,,,-702.27M,5.631B
2014-09,496.50M,,496.50M,1.765B,1.765B,150.61M,101.04M,1.571B,,1.822B,,440.92M,4.524B,0.0,57.63M,996.21M,1.228B,,2.281B,-1.341B,940.19M,1.990B,2.786B,4.776B,,,,575.95M,6.292B,10.82B,674.95M,,674.95M,932.32M,1.607B,,,,659.21M,,659.21M,,,,2.266B,1.424B,,1.424B,,,,,,,,,1.263B,2.687B,4.954B,107.91M,3.250B,2.923B,,,,-418.24M,5.862B
2014-06,475.89M,,475.89M,1.179B,1.179B,149.14M,104.04M,1.362B,,1.615B,,509.90M,3.780B,0.0,56.96M,988.98M,1.191B,,2.237B,-1.315B,921.97M,2.019B,2.921B,4.940B,,,,573.11M,6.435B,10.22B,537.19M,,537.19M,747.68M,1.285B,,,,585.45M,,585.45M,,,,1.870B,1.425B,,1.425B,,,,,,,,,1.267B,2.692B,4.562B,107.72M,2.903B,2.875B,,,,-232.21M,5.653B
2014-03,321.67M,,321.67M,1.310B,1.310B,141.14M,92.16M,1.279B,,1.512B,,389.92M,3.535B,0.0,56.90M,969.74M,1.170B,,2.197B,-1.275B,921.97M,2.022B,2.947B,4.969B,,,,559.62M,6.451B,9.985B,467.58M,,467.58M,807.71M,1.275B,,,,266.25M,,266.25M,,,,1.542B,1.426B,,1.426B,,,,,,,,,1.263B,2.689B,4.230B,108.29M,3.030B,2.826B,,,,-209.49M,5.755B
2013-12,776.40M,,776.40M,1.360B,1.360B,144.92M,94.59M,1.160B,,1.399B,169.32M,177.75M,3.883B,0.0,56.83M,953.93M,1.159B,,2.170B,-1.237B,932.79M,2.022B,3.081B,5.103B,235.19M,3.389M,28.00M,97.29M,6.432B,10.32B,638.73M,226.11M,864.84M,405.84M,1.271B,,,23.98M,23.98M,,23.98M,40.98M,9.367M,36.62M,1.568B,1.427B,,1.427B,452.51M,,783.20M,42.35M,214.43M,10.17M,,,64.16M,2.670B,4.238B,110.08M,3.432B,2.747B,,,,-211.72M,6.077B
2013-09,315.66M,,315.66M,1.663B,1.663B,156.50M,99.37M,1.496B,,1.752B,,362.84M,4.094B,0.0,52.88M,948.63M,1.130B,,2.132B,-1.227B,904.81M,2.015B,2.939B,4.954B,,,,499.26M,6.358B,10.45B,659.14M,,659.14M,924.23M,1.583B,,,,471.30M,,471.30M,,,,2.055B,1.427B,,1.427B,,,,,,,,,1.341B,2.769B,4.823B,109.80M,3.183B,2.702B,,,,-365.97M,5.629B
2013-06,320.11M,,320.11M,1.061B,1.061B,152.13M,99.78M,1.271B,,1.523B,,394.01M,3.298B,0.0,52.76M,915.80M,1.120B,,2.088B,-1.205B,883.20M,2.001B,2.889B,4.890B,,,,478.18M,6.252B,9.550B,555.72M,,555.72M,639.28M,1.195B,,,,449.30M,,449.30M,,,,1.644B,1.428B,,1.428B,,,,,,,,,1.293B,2.721B,4.366B,109.71M,2.849B,2.666B,,,,-440.87M,5.184B
2013-03,300.44M,,300.44M,1.209B,1.209B,154.54M,93.60M,1.161B,,1.409B,,341.06M,3.260B,0.0,52.77M,896.56M,1.100B,,2.049B,-1.183B,866.25M,2.001B,2.898B,4.898B,,,,466.99M,6.232B,9.491B,432.92M,,432.92M,687.37M,1.120B,,,,585.12M,,585.12M,,,,1.705B,1.428B,,1.428B,,,,,,,0.00,,1.268B,2.697B,4.402B,109.26M,2.807B,2.595B,,,,-423.14M,5.089B
2012-12,597.46M,,597.46M,1.222B,1.222B,156.74M,98.19M,1.099B,,1.354B,140.52M,135.10M,3.450B,0.0,54.26M,862.29M,1.067B,,1.983B,-1.155B,828.22M,2.010B,2.988B,4.998B,206.24M,2.524M,40.41M,78.05M,6.183B,9.633B,562.64M,154.87M,717.51M,349.26M,1.067B,,,415.43M,415.43M,,415.43M,34.82M,6.601M,22.01M,1.732B,1.429B,,1.429B,366.80M,,639.50M,36.59M,474.18M,7.455M,,,66.79M,2.775B,4.507B,110.20M,2.941B,2.528B,,,,-453.90M,5.126B
2012-09,304.60M,,304.60M,1.613B,1.613B,159.06M,99.04M,1.501B,,1.759B,,322.93M,3.999B,,,,,,1.926B,-1.150B,775.48M,2.004B,2.922B,4.926B,,,,431.37M,6.133B,10.13B,535.37M,,535.37M,756.63M,1.292B,,,,1.144B,,1.144B,,,,2.436B,1.430B,,1.430B,,,,,,,0.00,,1.339B,2.769B,5.205B,109.94M,2.706B,2.498B,,,,-386.85M,4.927B
2012-06,330.51M,,330.51M,1.034B,1.034B,161.51M,103.18M,1.306B,,1.570B,,405.16M,3.340B,,,,,,1.853B,-1.117B,735.83M,1.996B,2.928B,4.925B,,,,425.77M,6.086B,9.426B,506.74M,,506.74M,576.66M,1.083B,,,,684.64M,,684.64M,,,,1.768B,1.830B,,1.830B,,,,,,,0.00,,1.304B,3.134B,4.902B,109.44M,2.409B,2.422B,,,,-416.39M,4.524B
2012-03,325.65M,,325.65M,1.206B,1.206B,159.62M,89.75M,1.267B,,1.516B,,315.06M,3.363B,,,,,,1.854B,-1.125B,729.08M,2.019B,2.956B,4.975B,,,,435.75M,6.140B,9.503B,537.53M,,537.53M,683.50M,1.221B,,,,683.29M,,683.29M,,,,1.904B,1.831B,,1.831B,,,,,,,-0.805M,,1.316B,3.147B,5.052B,109.30M,2.336B,2.385B,,,,-376.98M,4.452B
2011-12,341.23M,,341.23M,1.120B,1.120B,168.82M,86.90M,1.198B,,1.454B,106.72M,166.11M,3.188B,0.0,53.14M,754.39M,1.023B,,1.830B,-1.093B,737.45M,2.023B,3.009B,5.032B,196.59M,7.252M,44.63M,75.18M,6.125B,9.313B,637.12M,112.18M,749.29M,382.61M,1.132B,,,284.43M,284.43M,,284.43M,35.35M,9.74M,19.33M,1.666B,1.832B,,1.832B,415.85M,,691.74M,30.94M,394.75M,4.187M,-0.816M,,50.43M,3.122B,4.788B,110.56M,2.521B,2.316B,,,,-421.48M,4.526B
2011-09,337.39M,,337.39M,1.548B,1.548B,174.84M,89.26M,1.514B,,1.778B,,279.36M,3.942B,,,,,,1.788B,-1.083B,704.94M,2.078B,2.978B,5.056B,,,,415.78M,6.177B,10.12B,666.84M,,666.84M,849.16M,1.516B,,,,1.149B,,1.149B,,,,2.665B,1.832B,,1.832B,,,,,,,1.088M,,1.162B,2.995B,5.659B,110.08M,2.348B,2.281B,,,,-279.97M,4.459B
2011-06,611.48M,,611.48M,889.20M,889.20M,163.87M,92.15M,1.030B,,1.286B,,259.28M,3.046B,,,,,,1.713B,-1.086B,626.27M,1.194B,1.556B,2.750B,,,,378.41M,3.755B,6.800B,456.11M,,456.11M,512.54M,968.65M,,,,45.26M,,45.26M,,,,1.014B,934.60M,,934.60M,,,,,,,1.245M,,581.39M,1.516B,2.530B,109.60M,2.118B,2.221B,,,,-179.78M,4.269B
2011-03,672.96M,,672.96M,892.29M,892.29M,165.52M,79.36M,938.44M,,1.183B,,201.46M,2.950B,,,,,,1.701B,-1.085B,615.37M,1.187B,1.557B,2.744B,,,,383.84M,3.743B,6.693B,429.54M,,429.54M,564.53M,994.07M,,,,42.77M,,42.77M,,,,1.037B,935.24M,,935.24M,,,,,,,0.94M,,594.60M,1.530B,2.567B,109.01M,2.059B,2.159B,,,,-202.20M,4.126B
2010-12,792.24M,,792.24M,773.08M,773.08M,149.24M,78.23M,843.23M,,1.071B,68.22M,121.82M,2.826B,0.0,48.16M,606.53M,1.009B,,1.663B,-1.060B,602.91M,1.167B,1.534B,2.701B,207.40M,,47.78M,72.29M,3.631B,6.458B,511.00M,82.51M,593.51M,314.19M,907.70M,,,,39.31M,,39.31M,162.46M,6.897M,,1.109B,935.88M,,935.88M,7.936M,49.95M,248.62M,,201.50M,,0.10M,,100.76M,1.487B,2.596B,107.94M,1.941B,2.081B,,,,-268.59M,3.861B
2010-06,540.19M,,540.19M,735.02M,735.02M,129.99M,82.05M,890.13M,,1.102B,,210.74M,2.588B,,,,,,1.601B,-1.008B,593.46M,1.336B,1.497B,2.832B,,,,307.64M,3.733B,6.321B,427.96M,,427.96M,438.85M,866.81M,,,,244.71M,,244.71M,,,,1.112B,937.15M,,937.15M,,,,,,,-1.091M,,624.94M,1.562B,2.674B,107.90M,1.879B,1.977B,,,,-314.79M,3.649B
2010-03,718.63M,,718.63M,787.68M,787.68M,118.50M,69.52M,764.17M,,952.18M,,189.09M,2.648B,,,,,,1.603B,-1.001B,601.86M,1.363B,1.530B,2.893B,,,,326.41M,3.821B,6.468B,296.44M,,296.44M,509.23M,805.66M,,,,251.22M,,251.22M,,,,1.057B,937.83M,,937.83M,,,,,,,-1.914M,,648.88M,1.587B,2.644B,109.98M,2.025B,1.938B,,,,-246.24M,3.827B
2009-12,731.55M,,731.55M,776.14M,776.14M,115.67M,70.51M,772.46M,,958.64M,64.96M,101.28M,2.633B,0.0,47.73M,578.86M,975.02M,,1.602B,-987.43M,614.18M,1.368B,1.576B,2.944B,202.84M,,21.34M,58.94M,3.841B,6.474B,373.19M,95.27M,468.46M,247.94M,716.40M,,,,248.63M,,248.63M,130.76M,4.785M,,1.096B,938.49M,,938.49M,73.01M,46.97M,302.94M,,247.58M,,-1.866M,,75.77M,1.565B,2.661B,110.28M,2.050B,1.864B,,,,-209.74M,3.815B
2009-09,379.15M,,379.15M,1.103B,1.103B,123.20M,71.78M,976.18M,,1.171B,,275.56M,2.929B,,,,,,1.587B,-956.63M,630.08M,1.472B,1.567B,3.039B,,,,308.56M,3.977B,6.906B,362.01M,,362.01M,537.72M,899.74M,,,,455.32M,,455.32M,,,,1.355B,939.14M,,939.14M,,,,,,,0.557M,,754.40M,1.694B,3.049B,110.81M,2.106B,1.842B,,,,-201.71M,3.857B
2009-06,385.20M,,385.20M,881.01M,881.01M,136.31M,77.18M,1.008B,,1.221B,,247.49M,2.735B,,,,,,1.572B,-941.34M,630.37M,1.457B,1.564B,3.021B,,,,333.45M,3.984B,6.719B,382.49M,,382.49M,429.04M,811.54M,,,,358.28M,,358.28M,,,,1.170B,1.140B,,1.140B,,,,,,,0.341M,,765.81M,1.906B,3.075B,110.35M,2.007B,1.776B,,,,-249.67M,3.643B
2009-03,276.43M,,276.43M,996.51M,996.51M,132.10M,75.83M,910.14M,230.25M,1.348B,,,2.621B,,,,,,1.559B,-926.44M,632.41M,1.438B,1.563B,3.001B,,,,297.94M,3.931B,6.553B,323.54M,,323.54M,483.52M,807.06M,,,,291.14M,,291.14M,,,,1.098B,1.140B,,1.140B,,,,,,,0.863M,,739.78M,1.880B,2.978B,110.28M,1.997B,1.764B,,,,-297.76M,3.573B
2008-12,381.84M,,381.84M,851.28M,851.28M,133.23M,87.54M,931.12M,,1.152B,96.34M,171.65M,2.653B,0.0,47.29M,555.41M,954.94M,,1.558B,-914.91M,642.73M,1.314B,1.413B,2.727B,250.51M,,102.08M,58.43M,3.781B,6.434B,435.38M,102.17M,537.55M,389.21M,926.76M,,,,56.90M,,56.90M,28.52M,6.221M,,1.012B,1.142B,,1.142B,9.434M,47.31M,213.28M,,405.52M,,1.353M,,104.10M,1.864B,2.877B,109.85M,1.973B,1.749B,,,,-276.29M,3.556B
2008-09,225.96M,,225.96M,1.314B,1.314B,132.09M,90.88M,1.119B,,1.342B,,222.67M,3.104B,,,,,,1.582B,-920.76M,661.58M,1.324B,1.390B,2.714B,,,,504.09M,3.880B,6.984B,418.71M,,418.71M,577.65M,996.36M,,,,416.90M,,416.90M,,,0.069M,1.413B,1.142B,,1.142B,,,,,,,,,567.77M,1.710B,3.123B,109.83M,1.925B,1.748B,,,,78.27M,3.861B
2008-06,276.01M,,276.01M,994.16M,994.16M,140.82M,86.92M,1.116B,,1.344B,,225.04M,2.839B,,,,,,1.581B,-913.98M,667.22M,1.337B,1.406B,2.742B,,,,531.77M,3.941B,6.780B,477.44M,,477.44M,457.50M,934.94M,,,,400.34M,,400.34M,,,0.10M,1.335B,1.143B,,1.143B,,,,,,,,,605.89M,1.749B,3.084B,108.79M,1.754B,1.687B,,195.29M,-48.84M,146.45M,3.696B
2008-03,259.86M,,259.86M,1.123B,1.123B,142.79M,83.63M,944.17M,,1.171B,,224.89M,2.778B,,,,,,1.553B,-894.82M,658.32M,1.333B,1.414B,2.747B,,,,458.37M,3.864B,6.642B,367.90M,,367.90M,563.38M,931.28M,,,,306.84M,,306.84M,,,0.408M,1.239B,1.144B,,1.144B,,,,,,,,,608.56M,1.752B,2.991B,108.92M,1.739B,1.664B,,193.50M,-54.52M,138.97M,3.651B
2007-12,321.86M,,321.86M,970.95M,970.95M,140.08M,87.18M,911.50M,,1.139B,104.49M,109.07M,2.645B,0.0,49.15M,547.32M,932.55M,,1.529B,-877.16M,651.86M,1.278B,1.488B,2.766B,,,25.73M,357.70M,3.802B,6.447B,509.88M,,509.88M,488.09M,997.97M,,,,135.35M,,135.35M,,,1.071M,1.134B,1.145B,,1.145B,,,,,,,,,590.66M,1.735B,2.870B,109.80M,1.786B,1.619B,,126.17M,-64.68M,61.50M,3.577B
