,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,1.160B,1.160B,725.08M,435.18M,288.58M,5.716M,,,,-5.324M,283.25M,151.93M,,,,5.716M,,137.59M,49.11M,88.48M,0.386M,,,2.659M,88.87M,84.80M,179.59M,27.67M,151.93M,0.1975,0.0,,0.1891,0.1975,0.1975,0.0,,0.1894,0.1975,438.50M,451.93M,0.06
2002-03,1.212B,1.212B,784.37M,427.89M,295.12M,5.631M,,,,-4.497M,290.62M,137.27M,,,,5.631M,,121.02M,43.97M,77.05M,1.949M,-527.25M,,3.42M,-448.26M,73.46M,164.17M,26.89M,137.27M,0.1725,-1.028,-0.0,0.1643,-0.855,0.1725,-1.028,-1.199,0.1646,-0.855,439.82M,453.51M,0.06
2001-12,996.96M,996.96M,729.91M,267.05M,285.27M,2.952M,,,,,392.45M,-125.40M,,,,2.952M,,-34.54M,-1.391M,-33.15M,,,,,-112.60M,-35.98M,-97.87M,27.53M,-125.40M,-0.0775,-0.1775,,-0.084,-0.255,-0.0775,-0.1775,,-0.084,-0.255,438.73M,438.73M,0.06
2001-09,1.477B,1.477B,970.63M,506.56M,315.99M,0.218M,,,,,315.99M,190.58M,,,,0.218M,,169.09M,65.53M,103.56M,,,,,103.56M,103.43M,232.27M,41.70M,190.58M,0.23,0.0,,0.2297,0.23,0.225,0.0,,0.2247,0.225,445.24M,458.25M,0.0575
2001-06,1.323B,1.323B,876.04M,446.92M,311.97M,-0.906M,,,,,311.97M,134.94M,,,,-0.906M,,111.37M,41.99M,69.38M,,,,,69.38M,69.95M,177.72M,42.78M,134.94M,0.1525,0.0,,0.1538,0.1525,0.15,0.0,,0.1512,0.15,446.28M,461.50M,0.0575
2001-03,1.423B,1.423B,942.41M,480.89M,329.67M,-4.844M,,,,,329.67M,151.22M,,,,-4.844M,,123.46M,45.98M,77.49M,,,,,77.49M,80.53M,194.82M,43.60M,151.22M,0.17,0.0,,0.1768,0.17,0.1675,0.0,,0.1741,0.1675,447.82M,461.95M,0.0575
2000-12,1.118B,1.118B,793.98M,323.78M,283.58M,-1.39M,,,,,283.58M,40.20M,,,,-1.39M,,16.05M,7.052M,8.994M,,-13.56M,,,-3.405M,9.828M,71.06M,30.86M,40.20M,0.0225,0.0,0.0,0.0244,0.0225,0.0225,0.0,-0.0297,0.0244,0.0225,447.70M,447.70M,0.0575
2000-09,1.600B,1.600B,1.056B,543.60M,355.27M,-0.408M,,,,,355.27M,188.34M,,,,-0.408M,,165.35M,61.99M,103.36M,,,,,103.36M,103.62M,232.31M,43.97M,188.34M,0.225,0.0,,0.2256,0.225,0.22,0.0,,0.2205,0.22,456.05M,467.95M,0.055
2000-06,1.330B,1.330B,867.47M,462.86M,325.46M,3.03M,,,,,325.46M,137.40M,,,,3.03M,,121.16M,45.41M,75.74M,,,,,75.74M,73.85M,180.06M,42.66M,137.40M,0.1625,0.0,,0.1584,0.1625,0.16,0.0,,0.156,0.16,456.50M,469.13M,0.055
2000-03,1.355B,1.355B,859.03M,496.15M,314.42M,1.37M,,,,,356.53M,139.62M,,,,1.37M,,124.77M,46.92M,77.85M,,-6.782M,,,71.07M,77.00M,181.74M,42.11M,139.62M,0.1675,-0.015,0.0,0.1656,0.1525,0.165,-0.015,-0.0147,0.1632,0.15,461.41M,473.78M,0.055
1999-12,1.364B,1.364B,862.40M,501.30M,291.70M,4.10M,,,,,333.70M,167.60M,,,,4.10M,,158.60M,61.40M,97.20M,,,,,97.20M,94.69M,209.60M,42.00M,167.60M,0.205,0.0,,0.1995,0.205,0.2,0.0,,0.1946,0.2,454.89M,466.90M,0.055
1999-09,1.465B,1.465B,922.10M,542.80M,313.50M,0.40M,,,,,356.30M,186.50M,,,,0.40M,,169.20M,65.30M,103.90M,,,,,103.90M,103.65M,229.30M,42.80M,186.50M,0.2175,0.0,,0.217,0.2175,0.2125,0.0,,0.212,0.2125,477.70M,488.94M,0.0525
1999-06,1.365B,1.365B,863.80M,501.00M,314.20M,2.30M,,,,,356.30M,144.70M,,,,2.30M,,128.60M,49.00M,79.60M,,,,,79.60M,78.18M,186.80M,42.10M,144.70M,0.1625,0.0,,0.1596,0.1625,0.16,0.0,,0.1571,0.16,489.85M,497.50M,0.0525
1999-03,1.358B,1.358B,853.20M,505.00M,310.50M,1.80M,,,,,351.00M,154.00M,,,,1.80M,,139.20M,53.60M,85.60M,,,,,85.60M,84.49M,194.50M,40.50M,154.00M,0.175,0.0,,0.1727,0.175,0.1725,0.0,,0.1703,0.1725,477.55M,492.68M,0.0525
1998-12,1.344B,1.344B,835.10M,508.40M,286.00M,-0.70M,,,,,325.60M,182.80M,,,,-0.70M,,166.50M,62.70M,103.80M,,,,,103.80M,104.24M,222.40M,39.60M,182.80M,0.215,0.0,,0.2159,0.215,0.21,0.0,,0.2109,0.21,463.28M,474.41M,0.0525
1998-09,1.459B,1.459B,904.20M,554.60M,304.50M,-0.70M,,,,,345.00M,209.60M,,,,-0.70M,,192.90M,73.30M,119.60M,,,,,119.60M,120.03M,250.10M,40.50M,209.60M,0.245,0.0,,0.2459,0.245,0.24,0.0,,0.2409,0.24,488.16M,498.33M,0.05
1998-06,1.350B,1.350B,856.30M,494.00M,298.50M,1.60M,,,,,337.90M,156.10M,,,,1.60M,,142.00M,55.20M,86.80M,,,,,86.80M,85.82M,195.50M,39.40M,156.10M,0.175,0.0,,0.173,0.175,0.1725,0.0,,0.1706,0.1725,496.00M,503.19M,0.05
