,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-06,109.89M,2.771M,5.206M,7.977M,,,65.47M,65.47M,,,19.42M,11.53M,127.50M,-48.27M,-91.29M,,,-0.396M,-12.46M,,205.62M,-50.43M,,,-13.07M,208.22M,,-0.324M,157.46M,-0.917M,632.55M,631.64M,11.43M,-762.01M,-750.58M,-164.89M,-164.89M,,,-283.84M,608.28M,79.24M,-10.58M,676.94M,11.43M,,-0.917M,-762.01M
2017-03,209.16M,2.415M,7.781M,10.20M,,,66.44M,66.44M,,,15.04M,19.31M,-84.23M,-159.71M,-264.01M,,,-25.05M,-533.00M,,-210.16M,-61.51M,,,-20.66M,,,-6.824M,-68.34M,-0.904M,262.16M,261.25M,3.283M,-438.30M,-435.01M,-172.71M,-172.71M,,,-346.48M,1.231B,-624.97M,2.228M,608.28M,3.283M,,-0.904M,-438.30M
2016-12,264.33M,0.00,55.14M,55.14M,,,76.09M,76.09M,,79.64M,12.83M,-37.70M,548.29M,405.90M,221.36M,,,-121.98M,1.054B,,1.433B,-58.28M,,,-12.38M,0.00,,-3.334M,-61.61M,-0.856M,-708.83M,-709.68M,8.251M,-0.238M,8.013M,-173.59M,-173.59M,,-0.035M,-875.29M,742.22M,496.47M,-7.663M,1.231B,8.251M,0.035M,-0.891M,-0.238M
2016-09,498.49M,3.801M,13.90M,17.71M,,,68.02M,68.02M,,0.00,13.37M,41.42M,-626.12M,-227.50M,224.36M,,,15.24M,-614.02M,,30.61M,-61.79M,,,-14.48M,115.98M,,-3.70M,50.50M,950.93M,-666.66M,284.27M,28.25M,-166.38M,-138.13M,-152.82M,-152.82M,,-6.445M,-13.13M,681.58M,67.97M,-7.324M,742.22M,28.25M,951.78M,-0.849M,-166.38M
2016-06,51.02M,100.56M,10.23M,110.79M,,,69.44M,69.44M,,,20.41M,3.831M,81.78M,-80.90M,-79.40M,,,-19.57M,-98.08M,,162.16M,-57.33M,,,-11.03M,0.00,,-0.71M,-58.04M,-0.841M,268.44M,267.60M,8.315M,-120.08M,-111.76M,-154.00M,-154.00M,,-0.327M,1.508M,586.64M,105.62M,-10.69M,681.58M,8.315M,,-0.841M,-120.08M
2016-03,260.27M,0.00,9.731M,9.731M,,,68.03M,68.03M,,,21.15M,-22.79M,43.15M,-134.71M,-346.97M,,,-49.25M,-487.78M,,-145.57M,-42.67M,,,-6.335M,,,-0.587M,-43.26M,-10.70M,685.98M,675.29M,4.102M,-713.77M,-709.66M,-155.58M,-155.58M,,,-189.96M,946.40M,-378.78M,19.03M,586.64M,4.102M,,-10.70M,-713.77M
2015-12,312.21M,,11.63M,11.63M,,,73.77M,73.77M,,,0.284M,-35.39M,529.30M,412.57M,8.163M,,,16.51M,966.54M,,1.484B,-77.45M,,,-10.23M,,,-8.188M,-85.64M,-0.812M,-835.88M,-836.70M,7.703M,-0.687M,7.016M,-157.59M,-157.59M,,0.00,-987.27M,566.60M,410.92M,-31.72M,946.40M,7.703M,,-0.812M,-0.687M
2015-09,459.86M,0.00,9.013M,9.013M,,,69.04M,69.04M,,,22.82M,22.89M,-688.32M,-298.83M,327.49M,,,45.03M,-614.63M,,-27.49M,-71.38M,,,-9.603M,,,-7.481M,-78.86M,-0.96M,129.04M,128.08M,19.42M,-0.409M,19.01M,-136.16M,-136.16M,,0.00,10.92M,659.77M,-95.43M,2.258M,566.60M,19.42M,,-0.96M,-0.409M
2015-06,170.81M,0.00,10.35M,10.35M,,,63.38M,63.38M,,,24.37M,-15.88M,83.66M,-123.35M,-49.97M,,,-17.18M,-106.83M,,148.23M,-99.22M,,,-6.742M,,,0.014M,-99.20M,-0.789M,91.44M,90.65M,3.752M,3.391M,7.143M,-135.61M,-135.61M,,-1.475M,-39.28M,655.48M,9.739M,-5.452M,659.77M,3.752M,,-0.789M,3.391M
2015-03,288.71M,,-239.70M,-239.70M,,,65.88M,65.88M,,,25.95M,-6.405M,-48.89M,-165.49M,-281.76M,,,-41.58M,-537.72M,,-400.95M,-69.74M,,,-36.71M,,,10.62M,-59.12M,-1.414M,1.048B,1.046B,,-734.92M,-734.92M,-135.91M,-135.91M,,,175.42M,971.90M,-284.65M,-31.76M,655.48M,,,-1.414M,-734.92M
2014-12,122.10M,,-39.66M,-39.66M,,,74.36M,74.36M,,,26.87M,-82.13M,468.25M,324.31M,100.39M,,,89.81M,982.76M,,1.395B,-63.60M,,,-1.128M,,,-10.62M,-74.22M,-1.211M,-633.02M,-634.24M,25.44M,-0.259M,25.18M,-138.24M,-138.24M,,-47.79M,-795.09M,496.50M,525.91M,-50.52M,971.90M,25.44M,,-1.211M,-0.259M
2014-09,470.53M,,12.12M,12.12M,,,69.32M,69.32M,,,23.86M,81.43M,-641.85M,-234.66M,398.84M,,,-33.43M,-511.10M,,147.26M,-86.54M,,,-10.77M,,,-4.911M,-91.45M,-0.852M,75.47M,74.62M,5.10M,0.00,5.10M,-113.06M,-113.06M,,8.591M,-24.76M,475.89M,31.06M,-10.45M,496.50M,5.10M,,-0.852M,0.00
2014-06,157.68M,,11.75M,11.75M,,,67.18M,67.18M,,,26.62M,-21.70M,132.76M,-102.47M,-72.62M,,,6.035M,-36.29M,,205.93M,-57.92M,,,-11.39M,,,-6.531M,-64.45M,-1.598M,319.73M,318.13M,4.333M,-202.79M,-198.46M,-112.85M,-112.85M,,7.422M,14.24M,321.67M,155.72M,-1.505M,475.89M,4.333M,,-1.598M,-202.79M
2014-03,297.19M,,5.923M,5.923M,,,64.02M,64.02M,,,26.96M,26.50M,41.69M,-117.72M,-294.52M,,,-39.80M,-410.35M,,13.65M,-93.96M,,,-44.65M,,,-5.17M,-99.13M,-1.099M,242.59M,241.49M,,-524.74M,-524.74M,-114.78M,-114.78M,,31.77M,-366.26M,776.40M,-451.74M,-2.992M,321.67M,,,-1.099M,-524.74M
2013-12,367.67M,,17.57M,17.57M,-112.99M,-68.12M,72.16M,72.16M,,,16.86M,-51.43M,300.66M,352.16M,7.284M,44.49M,,-28.08M,676.50M,,1.088B,-79.75M,,,-12.07M,,,-15.24M,-94.98M,-2.731M,-448.82M,-451.56M,17.13M,1.409M,18.54M,-115.35M,-115.35M,,6.194M,-542.17M,315.66M,450.81M,9.933M,776.40M,17.13M,,-2.731M,1.409M
2013-09,433.76M,,20.32M,20.32M,39.40M,24.99M,64.39M,64.39M,,,22.38M,8.666M,-589.54M,-220.88M,301.26M,15.16M,,65.61M,-428.40M,,126.66M,-61.22M,,,-13.21M,,,-5.589M,-66.81M,-400.72M,423.07M,22.35M,4.833M,-1.847M,2.986M,-95.33M,-95.33M,,4.013M,-65.98M,320.11M,-6.131M,1.68M,315.66M,4.833M,,-400.72M,-1.847M
2013-06,138.27M,,20.86M,20.86M,37.10M,21.67M,58.77M,58.77M,,,24.67M,3.861M,142.77M,-116.25M,-19.21M,8.391M,,13.92M,29.62M,,279.74M,-71.40M,,,-18.17M,,,-2.082M,-73.48M,-0.71M,-134.97M,-135.68M,26.07M,7.382M,33.45M,-95.20M,-95.20M,,13.71M,-183.72M,300.44M,22.55M,-2.871M,320.11M,26.07M,,-0.71M,7.382M
2013-03,270.42M,,-86.85M,-86.85M,36.49M,21.46M,57.95M,57.95M,,,23.21M,53.21M,-8.938M,-62.26M,-113.16M,-68.03M,,-59.38M,-311.78M,,11.67M,-112.77M,,,-10.55M,,,-2.225M,-115.00M,-0.707M,169.75M,169.05M,,-288.97M,-288.97M,-96.26M,-96.26M,,24.22M,-191.96M,597.46M,-295.29M,-1.737M,300.44M,,,-0.707M,-288.97M
2012-12,334.17M,-2.485M,-77.87M,-80.36M,44.34M,26.83M,71.17M,71.17M,,,19.66M,-41.12M,390.93M,405.38M,-8.875M,23.85M,,74.63M,885.92M,,1.172B,-80.04M,,,-18.38M,4.00M,,-4.801M,-80.84M,-0.697M,-728.18M,-728.88M,17.10M,-0.86M,16.24M,-95.71M,-95.71M,,7.557M,-800.79M,304.60M,290.76M,2.098M,597.46M,17.10M,,-0.697M,-0.86M
2012-09,381.32M,-0.255M,19.38M,19.12M,34.12M,21.89M,56.01M,56.01M,,,26.63M,-1.955M,-573.57M,-181.26M,212.00M,21.56M,,61.40M,-459.87M,,29.48M,-76.01M,,,-4.717M,-1.495M,,-7.283M,-84.79M,-0.681M,59.01M,58.33M,38.49M,-7.326M,31.16M,-78.94M,-78.94M,,14.21M,24.76M,330.51M,-30.56M,4.646M,304.60M,38.49M,,-0.681M,-7.326M
2012-06,155.42M,-41.74M,20.47M,-21.28M,35.44M,22.43M,57.87M,57.87M,,,23.59M,-15.01M,144.56M,-81.32M,-74.96M,-38.76M,,32.04M,-18.43M,,185.27M,-88.26M,,,5.578M,68.26M,,-2.487M,-22.48M,-0.70M,2.571M,1.871M,7.18M,-86.09M,-78.91M,-78.66M,-78.66M,,3.188M,-152.51M,325.65M,10.27M,-5.408M,330.51M,7.18M,,-0.70M,-86.09M
2012-03,215.23M,,17.83M,17.83M,35.06M,17.84M,52.90M,52.90M,,,22.92M,17.16M,-73.49M,-55.17M,-212.17M,-6.657M,,-94.89M,-442.37M,,-112.14M,-38.51M,,,-13.37M,,,6.341M,-32.17M,-0.698M,397.60M,396.90M,,-213.00M,-213.00M,-79.92M,-79.92M,,22.06M,126.02M,341.23M,-18.28M,2.703M,325.65M,,,-0.698M,-213.00M
2011-12,257.99M,0.00,14.19M,14.19M,41.80M,24.89M,66.69M,66.69M,,,22.49M,116.10M,419.02M,320.82M,-73.86M,-62.56M,,27.68M,631.11M,,1.110B,-79.52M,,,-6.80M,0.00,,-0.56M,-80.08M,-0.806M,-876.98M,-877.79M,24.34M,-0.479M,23.86M,,-79.44M,,-91.12M,-1.024B,337.39M,5.632M,-1.795M,341.23M,24.34M,-1.128B,-0.806M,-0.479M
2011-09,301.41M,0.00,10.12M,10.12M,28.31M,15.98M,44.29M,44.29M,,,21.27M,-89.96M,-476.35M,-128.68M,215.56M,59.23M,,56.60M,-273.64M,,13.49M,-40.77M,,,-6.615M,-2.207B,,-2.173M,-2.250B,897.78M,1.122B,2.019B,25.83M,-1.775M,24.05M,,-69.10M,-14.72M,15.96M,1.976B,611.48M,-260.99M,-13.10M,337.39M,25.83M,2.026B,-6.924M,-1.775M
2011-06,129.57M,0.00,11.21M,11.21M,27.00M,15.82M,42.81M,42.81M,,,19.28M,3.908M,4.466M,-98.14M,-34.52M,-15.85M,,-72.19M,-216.23M,,-9.456M,-32.48M,,,-2.063M,0.00,,-1.16M,-33.64M,-0.71M,2.825M,2.115M,37.81M,-2.713M,35.10M,,-68.71M,6.334M,,-25.16M,672.96M,-68.26M,6.771M,611.48M,37.81M,,2.115M,-2.713M
2011-03,201.42M,,10.82M,10.82M,30.10M,14.84M,44.94M,44.94M,,,13.70M,2.615M,-101.63M,-101.51M,-134.91M,0.726M,,30.96M,-306.36M,,-32.86M,-96.36M,,,-62.76M,,,0.053M,-96.31M,-0.55M,3.427M,2.877M,46.04M,-2.453M,43.58M,,-68.48M,8.384M,,-13.63M,792.24M,-142.81M,23.53M,672.96M,46.04M,,2.877M,-2.453M
2010-12,55.31M,,-85.49M,-85.49M,35.22M,14.80M,50.02M,50.02M,,,15.95M,-25.47M,319.05M,135.26M,-73.11M,-1.105M,,45.14M,425.23M,,552.66M,-45.83M,,5.825M,-13.61M,0.156M,,-10.10M,-55.78M,-0.679M,-11.54M,-12.21M,57.05M,-89.63M,-32.58M,,-68.28M,-3.28M,,-108.00M,402.86M,388.89M,0.49M,792.24M,57.05M,0.00,-2.473M,-89.63M
2010-09,243.25M,,15.45M,15.45M,29.13M,14.32M,43.45M,43.45M,,,16.24M,35.95M,-335.28M,-88.05M,197.47M,2.598M,,9.046M,-214.22M,,140.12M,-31.17M,,-2.888M,0.00,0.00,,-2.885M,-34.06M,-200.66M,4.345M,-196.32M,5.19M,-4.295M,0.895M,,-64.66M,0.522M,,-259.56M,540.19M,-153.49M,16.17M,402.86M,5.19M,0.00,-196.32M,-4.295M
2010-06,274.95M,,13.87M,13.87M,25.09M,13.77M,38.86M,38.86M,,,16.58M,-172.18M,28.50M,-165.41M,73.78M,-4.809M,,20.20M,-47.74M,,124.35M,-30.21M,,-2.236M,0.00,-9.335M,,-1.471M,-41.01M,-0.658M,-5.388M,-6.046M,23.10M,-199.91M,-176.81M,,-65.12M,1.089M,,-246.89M,718.63M,-163.55M,-14.89M,540.19M,23.10M,,-6.046M,-199.91M
2010-03,,,10.32M,10.32M,27.40M,13.67M,41.07M,41.07M,,,14.77M,190.87M,-25.23M,3.867M,-21.43M,-4.373M,,-25.71M,-72.88M,,184.15M,-18.04M,,-0.701M,0.00,-29.11M,,-2.486M,-49.64M,-1.061M,2.837M,1.776M,52.39M,-118.00M,-65.61M,,-66.22M,1.669M,,-128.39M,731.55M,6.131M,-19.05M,718.63M,52.39M,,1.776M,-118.00M
2009-12,64.98M,,-78.73M,-78.73M,34.59M,14.95M,49.54M,49.54M,,,9.04M,-62.69M,312.66M,211.38M,-36.79M,78.81M,,-15.22M,550.84M,,709.61M,-28.50M,,,-0.386M,-5.12M,,-13.12M,-46.74M,-0.66M,-207.82M,-208.48M,15.17M,-58.99M,-43.81M,,-66.13M,6.464M,-5.128M,-317.09M,379.15M,345.79M,6.615M,731.55M,15.17M,-196.80M,-11.68M,-58.99M
2009-09,218.06M,,-76.83M,-76.83M,26.35M,15.68M,42.03M,42.03M,,,7.159M,83.98M,-213.13M,58.40M,78.54M,-20.69M,,1.664M,-95.21M,,179.20M,-23.84M,,,-2.64M,0.00,,0.177M,-23.67M,-0.744M,-103.52M,-104.26M,47.42M,-48.12M,-0.703M,,-65.53M,,6.669M,-163.83M,385.20M,-8.292M,2.238M,379.15M,47.42M,196.80M,-0.744M,-48.12M
2009-06,74.98M,,23.07M,23.07M,30.23M,14.20M,44.44M,44.44M,,,8.171M,-25.51M,128.46M,-87.63M,-8.266M,-21.16M,,-16.52M,-5.111M,,120.03M,-24.43M,,,-4.869M,0.00,,3.405M,-21.02M,-0.728M,64.40M,63.68M,,1.873M,1.873M,,-65.05M,2.438M,-2.021M,0.916M,276.43M,99.93M,8.848M,385.20M,,-235.91M,-0.728M,1.873M
2009-03,100.43M,,18.34M,18.34M,22.04M,12.41M,34.45M,34.45M,,,11.67M,22.12M,-152.54M,27.28M,-125.18M,40.21M,,-12.14M,-222.38M,,-35.36M,-18.82M,,,-1.84M,-207.22M,,0.593M,-225.45M,-1.11M,235.91M,234.80M,,-6.74M,-6.74M,,-64.97M,-2.438M,,160.66M,381.84M,-100.15M,-5.262M,276.43M,,235.91M,-1.11M,-6.74M
2008-12,115.83M,,-4.076M,-4.076M,27.58M,21.47M,49.05M,49.05M,,,-2.232M,-0.505M,416.45M,155.21M,-35.78M,-77.80M,,-20.14M,437.95M,-0.069M,619.60M,-39.14M,-5.851M,-5.851M,-3.252M,0.537M,,10.84M,-33.61M,-0.687M,-349.08M,-349.76M,1.522M,0.00,1.522M,,-64.89M,,-0.342M,-413.47M,225.96M,172.52M,-16.63M,381.84M,1.522M,-281.34M,-68.42M,0.00
2008-09,234.05M,,-3.115M,-3.115M,26.05M,13.18M,39.22M,39.22M,,,7.52M,2.893M,-352.80M,-5.563M,64.87M,8.517M,,0.909M,-284.07M,-0.031M,-3.528M,-35.51M,2.813M,2.813M,-4.162M,-14.89M,,0.299M,-47.29M,-0.70M,16.98M,16.28M,41.50M,0.00,41.50M,,-63.64M,,12.59M,6.723M,276.01M,-44.09M,-5.959M,225.96M,41.50M,16.98M,-0.70M,0.00
2008-06,104.02M,,1.337M,1.337M,27.03M,13.64M,40.68M,40.68M,,,10.47M,0.788M,111.83M,-171.91M,10.30M,1.404M,,4.673M,-43.70M,-0.308M,113.28M,-37.05M,0.594M,0.594M,-1.747M,-78.48M,,0.42M,-114.52M,-0.93M,93.11M,92.18M,10.89M,-26.05M,-15.16M,,-63.18M,,0.954M,14.80M,259.86M,13.56M,2.589M,276.01M,10.89M,93.11M,-0.93M,-26.05M
2008-03,148.95M,,1.067M,1.067M,24.40M,12.82M,37.22M,37.22M,,,15.83M,7.409M,-122.80M,-16.01M,-104.46M,1.008M,,-18.51M,-260.77M,-0.663M,-50.96M,-23.11M,2.444M,2.444M,-1.44M,0.00,,0.301M,-20.37M,-1.315M,171.25M,169.94M,11.06M,-123.68M,-112.62M,,-63.53M,,8.397M,2.188M,321.86M,-69.14M,7.127M,259.86M,11.06M,171.25M,-1.315M,-123.68M
2007-12,164.41M,,,16.29M,25.46M,11.52M,36.98M,36.98M,,,,23.97M,303.80M,172.18M,86.91M,,-41.63M,-106.60M,430.29M,-0.244M,667.95M,-39.26M,,-25.18M,,5.349M,,-11.58M,-31.40M,,,-444.87M,-8.055M,0.00,-8.055M,,-63.80M,,0.452M,-516.28M,193.86M,120.27M,7.734M,321.86M,-8.055M,,,0.00
2007-09,207.21M,,,28.37M,22.73M,11.56M,34.29M,34.29M,,,,13.08M,-284.76M,0.768M,-38.38M,,28.05M,82.45M,-211.88M,0.103M,71.17M,-29.81M,,-29.81M,,-874.98M,,7.782M,-897.00M,,,895.71M,2.075M,0.00,2.075M,,-60.47M,,0.452M,837.76M,177.85M,11.93M,4.075M,193.86M,2.075M,,,0.00
2007-06,81.66M,,,-10.72M,22.62M,10.37M,32.99M,32.99M,,,,15.59M,94.19M,-180.61M,119.73M,,-53.93M,-21.66M,-42.29M,24.14M,101.38M,-26.50M,,-26.50M,,327.19M,,1.345M,302.16M,,,-217.52M,56.86M,-190.66M,-133.80M,,-60.83M,,9.595M,-402.56M,174.16M,0.982M,2.712M,177.85M,56.86M,,,-190.66M
2007-03,138.34M,,,-23.08M,23.73M,13.23M,36.96M,36.96M,,,,23.63M,-162.89M,-16.45M,-91.04M,,90.03M,,-180.35M,-15.42M,-19.92M,-24.67M,,-24.67M,,-157.11M,,2.331M,-179.82M,,,227.55M,18.66M,-159.34M,-140.68M,,-61.53M,,5.072M,30.42M,343.22M,-169.32M,0.256M,174.16M,18.66M,,,-159.34M
2006-12,108.59M,,,-43.52M,24.52M,10.05M,34.57M,34.57M,,,,59.97M,271.57M,87.82M,26.05M,,-134.29M,28.94M,286.41M,46.03M,467.58M,-50.84M,,-47.52M,,0.352M,,-4.482M,-53.79M,,,-217.38M,39.98M,0.00,39.98M,,-61.75M,,12.00M,-227.16M,154.20M,186.63M,2.399M,343.22M,39.98M,,,0.00
2006-09,197.71M,,,53.61M,18.33M,8.553M,26.88M,26.88M,,,,-36.37M,-264.80M,12.83M,-45.49M,,124.79M,-18.09M,-190.76M,-7.869M,43.20M,-20.91M,,-20.91M,,-35.76M,,-5.423M,-58.92M,,,36.59M,26.16M,0.00,26.16M,,-61.17M,,4.239M,5.822M,161.67M,-9.90M,2.424M,154.20M,26.16M,,,0.00
2006-06,99.03M,,,-50.02M,26.34M,11.76M,38.10M,38.10M,,,,76.34M,25.21M,-160.66M,93.73M,,-53.58M,-6.156M,-101.46M,25.02M,87.00M,-41.37M,,-41.37M,,1.998M,,11.34M,-28.80M,,,13.76M,49.70M,-63.22M,-13.51M,,-61.36M,,7.073M,-54.04M,154.01M,4.162M,3.496M,161.67M,49.70M,,,-63.22M
2006-03,128.18M,,,2.147M,21.19M,8.11M,29.30M,29.30M,,,,-46.81M,-145.34M,26.82M,-93.33M,,10.86M,6.156M,-194.83M,-25.02M,-107.03M,-23.01M,,-23.01M,,-1.225M,,-1.758M,-25.23M,,,72.97M,3.839M,-55.36M,-51.53M,,-32.25M,,0.751M,-10.05M,296.56M,-142.31M,-0.233M,154.01M,3.839M,,,-55.36M
2005-12,127.47M,,,46.14M,15.70M,9.438M,25.14M,25.14M,,,,0.716M,187.99M,99.48M,96.26M,,-83.44M,,240.58M,,419.70M,-31.60M,,-19.62M,,0.448M,,-17.73M,-38.58M,,,-223.06M,7.223M,-53.87M,-46.64M,,-32.36M,,1.188M,-300.88M,215.55M,80.24M,0.763M,296.56M,7.223M,,,-53.87M
2005-09,179.63M,,,-0.198M,24.72M,7.982M,32.70M,32.70M,,,,21.99M,-162.81M,10.62M,-29.77M,,66.89M,,-115.06M,,119.06M,-28.67M,,-28.67M,,-0.985M,,5.858M,-23.79M,,,-76.51M,29.14M,-59.07M,-29.93M,,-30.45M,,5.324M,-131.56M,249.52M,-36.30M,2.333M,215.55M,29.14M,,,-59.07M
