,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2018-03,439.62M,439.62M,221.70M,217.91M,,107.68M,44.56M,-10.18M,4.052M,0.956M,-3.096M,152.24M,65.67M,0.956M,4.052M,-3.096M,-7.959M,-3.096M,54.62M,15.42M,39.20M,,39.20M,46.50M,75.11M,,2018-03,0.28,,0.3328,2018-03,0.28,,0.3318,0.28,138.50M,140.99M,0.16,AOR,Restated
2017-12,494.78M,494.78M,256.95M,237.83M,,93.63M,42.83M,-24.21M,4.06M,0.65M,-3.41M,136.46M,101.37M,0.65M,4.06M,-3.41M,-22.53M,-3.41M,75.43M,125.72M,-50.29M,,-50.29M,-35.76M,97.07M,,2017-12,-0.36,,-0.2553,2017-12,-0.36,,-0.2577,-0.36,138.73M,142.02M,0.15,AOR,Restated
2017-09,464.71M,464.71M,241.82M,222.89M,,92.93M,42.87M,0.00,3.819M,0.488M,-3.331M,135.80M,87.09M,0.488M,3.819M,-3.331M,0.778M,-3.331M,84.53M,21.00M,63.53M,,63.53M,63.53M,106.77M,,2017-09,0.46,,0.46,2017-09,0.46,,0.46,0.46,137.85M,139.42M,0.15,AOR,Restated
2017-06,434.12M,434.12M,227.39M,206.73M,,97.06M,43.05M,,4.472M,0.355M,-4.117M,140.10M,66.63M,0.355M,4.472M,-4.117M,1.027M,-4.117M,63.54M,12.13M,51.41M,,51.41M,51.41M,85.99M,,2017-06,0.38,,0.38,2017-06,0.37,,0.37,0.37,136.86M,138.45M,0.15,AOR,Restated
2017-03,406.81M,406.81M,215.49M,191.32M,,90.25M,41.98M,0.00,4.453M,0.271M,-4.182M,132.24M,59.09M,0.271M,4.453M,-4.182M,0.66M,-4.182M,55.56M,12.99M,42.57M,,42.57M,42.57M,77.05M,,2017-03,0.31,,0.31,2017-03,0.31,,0.31,0.31,136.36M,138.24M,0.15,AOR,Restated
2016-12,474.74M,474.74M,260.00M,214.73M,,82.81M,38.21M,,4.528M,0.478M,-4.05M,121.02M,93.71M,0.478M,4.528M,-4.05M,-4.385M,-4.05M,85.28M,23.78M,61.50M,,61.50M,61.50M,105.46M,,2016-12,0.46,,0.46,2016-12,0.44,,0.44,0.44,136.24M,138.21M,0.12,AOR,Restated
2016-09,405.23M,405.23M,213.85M,191.38M,76.69M,76.69M,33.84M,,5.736M,0.336M,-5.40M,110.53M,80.85M,0.336M,5.736M,-5.40M,-0.241M,-5.40M,75.21M,16.58M,58.63M,,58.63M,58.63M,95.02M,,2016-09,0.43,,0.43,2016-09,0.43,,0.43,0.43,136.96M,137.94M,0.12,AOR,Restated
2016-06,402.73M,402.73M,219.41M,183.32M,79.90M,79.90M,38.21M,,4.36M,0.328M,-4.032M,118.11M,65.21M,0.328M,4.36M,-4.032M,-1.327M,-4.032M,59.85M,14.48M,45.37M,,45.37M,45.37M,78.05M,,2016-06,0.33,,0.33,2016-06,0.33,,0.33,0.33,137.86M,138.99M,0.12,AOR,Restated
2016-03,379.47M,379.47M,201.78M,177.69M,83.03M,83.03M,37.28M,,3.447M,0.26M,-3.187M,120.31M,57.38M,0.26M,3.447M,-3.187M,1.43M,-3.187M,55.62M,54.50M,1.125M,,1.125M,1.125M,73.01M,,2016-03,0.01,,0.01,2016-03,0.01,,0.01,0.01,137.50M,138.78M,0.12,AOR,Restated
2015-12,437.65M,437.65M,230.34M,207.31M,80.66M,80.66M,31.79M,,3.397M,0.306M,-3.091M,112.45M,94.86M,0.306M,3.397M,-3.091M,13.02M,-3.091M,104.78M,34.58M,70.20M,,70.20M,70.20M,121.25M,,2015-12,0.50,,0.50,2015-12,0.50,,0.50,0.50,137.99M,139.31M,0.11,AOR,Restated
2015-09,381.93M,381.93M,201.19M,180.74M,73.56M,73.56M,31.20M,,3.67M,0.319M,-3.351M,104.76M,75.98M,0.319M,3.67M,-3.351M,-1.455M,-3.351M,71.18M,-1.896M,73.07M,,73.07M,73.07M,86.70M,,2015-09,0.52,,0.52,2015-09,0.52,,0.52,0.52,139.60M,140.52M,0.11,AOR,Restated
2015-06,392.98M,392.98M,203.36M,189.62M,83.96M,83.96M,35.13M,,3.358M,0.295M,-3.063M,119.08M,70.53M,0.295M,3.358M,-3.063M,-1.02M,-3.063M,66.45M,15.95M,50.50M,,50.50M,50.50M,81.93M,,2015-06,0.36,,0.36,2015-06,0.36,,0.36,0.36,140.06M,141.49M,0.11,AOR,Restated
2015-03,344.52M,344.52M,168.62M,175.90M,75.37M,75.37M,34.77M,,3.661M,0.247M,-3.414M,110.14M,65.75M,0.247M,3.661M,-3.414M,0.70M,-3.414M,63.04M,15.13M,47.91M,,47.91M,47.91M,79.19M,,2015-03,0.34,,0.34,2015-03,0.34,,0.34,0.34,139.77M,141.47M,0.11,AOR,Restated
2014-12,434.37M,434.37M,219.63M,214.74M,90.26M,90.26M,36.10M,-0.963M,3.593M,0.471M,-3.122M,126.35M,88.38M,0.471M,3.593M,-3.122M,-2.477M,-3.122M,82.78M,10.03M,72.75M,,72.75M,73.60M,99.34M,,2014-12,0.52,,0.5260,2014-12,0.51,,0.5159,0.51,140.63M,143.01M,0.10,AOR,Restated
2014-09,375.37M,375.37M,190.98M,184.39M,76.30M,76.30M,34.02M,-4.06M,3.663M,0.398M,-3.265M,110.32M,74.07M,0.398M,3.663M,-3.265M,-0.341M,-3.265M,70.46M,17.61M,52.86M,,52.86M,55.90M,87.70M,,2014-09,0.37,,0.3915,2014-09,0.37,,0.3912,0.37,141.43M,143.41M,0.10,AOR,Restated
2014-06,369.38M,369.38M,186.66M,182.72M,83.50M,83.50M,36.31M,-3.547M,3.629M,0.272M,-3.357M,119.81M,62.91M,0.272M,3.629M,-3.357M,-2.477M,-3.357M,57.08M,12.32M,44.76M,,44.76M,47.54M,74.94M,,2014-06,0.32,,0.3396,2014-06,0.31,,0.3293,0.31,141.57M,144.12M,0.10,AOR,Restated
2014-03,351.54M,351.54M,183.01M,168.53M,81.94M,81.94M,36.33M,-7.813M,3.708M,0.264M,-3.444M,118.27M,50.26M,0.264M,3.708M,-3.444M,-7.615M,-3.444M,39.20M,9.311M,29.89M,,29.89M,35.85M,59.38M,,2014-03,0.21,,0.2523,2014-03,0.21,,0.2514,0.21,140.93M,143.83M,0.10,AOR,Restated
2013-12,400.32M,400.32M,210.23M,190.09M,88.03M,88.03M,38.42M,-25.83M,3.73M,0.337M,-3.393M,126.46M,63.63M,0.337M,3.73M,-3.393M,-25.09M,-3.393M,35.15M,6.413M,28.74M,,28.74M,49.85M,56.70M,,2013-12,0.20,,0.3495,2013-12,0.20,,0.3468,0.20,141.24M,143.89M,0.09,AOR,Restated
2013-09,358.14M,358.14M,185.25M,172.89M,76.36M,76.36M,32.99M,0.00,3.696M,0.256M,-3.44M,109.35M,63.54M,0.256M,3.696M,-3.44M,-0.053M,-3.44M,60.05M,13.56M,46.49M,,46.49M,46.49M,78.62M,,2013-09,0.33,,0.33,2013-09,0.32,,0.32,0.32,141.86M,144.23M,0.09,AOR,Restated
2013-06,389.33M,389.33M,199.29M,190.04M,80.17M,80.17M,39.60M,0.00,3.767M,0.274M,-3.493M,119.77M,70.27M,0.274M,3.767M,-3.493M,-0.175M,-3.493M,66.60M,16.45M,50.16M,,50.16M,50.16M,85.60M,,2013-06,0.35,,0.35,2013-06,0.35,,0.35,0.35,142.08M,143.77M,0.09,AOR,Restated
2013-03,348.58M,348.58M,164.60M,183.99M,78.17M,78.17M,36.68M,0.00,2.897M,0.191M,-2.706M,114.86M,69.13M,0.191M,2.897M,-2.706M,0.764M,-2.706M,67.19M,15.55M,51.64M,,51.64M,51.64M,84.96M,,2013-03,0.36,,0.36,2013-03,0.35,,0.35,0.35,144.63M,146.29M,0.09,AOR,Restated
2012-12,386.38M,386.38M,177.31M,209.08M,73.32M,73.32M,33.68M,,2.729M,0.509M,-2.22M,107.00M,102.08M,0.509M,2.729M,-2.22M,-2.151M,-2.22M,97.71M,19.53M,78.18M,-0.916M,77.26M,78.18M,115.29M,,2012-12,0.53,-0.01,0.53,2012-12,0.52,-0.01,0.52,0.51,148.08M,150.10M,0.07,AOR,Restated
2012-09,332.23M,332.23M,158.88M,173.35M,69.52M,69.52M,29.59M,,3.096M,0.268M,-2.828M,99.12M,74.24M,0.268M,3.096M,-2.828M,-2.175M,-2.828M,69.23M,13.28M,55.95M,-0.044M,55.90M,55.95M,87.17M,,2012-09,0.37,0.00,0.37,2012-09,0.37,0.00,0.37,0.37,150.88M,152.33M,0.07,AOR,Restated
2012-06,338.29M,338.29M,168.26M,170.03M,71.80M,71.80M,37.51M,,2.768M,0.377M,-2.391M,109.31M,60.72M,0.377M,2.768M,-2.391M,-0.24M,-2.391M,58.09M,15.68M,42.40M,-1.312M,41.09M,42.40M,75.67M,,2012-06,0.28,-0.01,0.28,2012-06,0.27,-0.01,0.27,0.27,153.17M,155.03M,0.07,AOR,Restated
2012-03,348.45M,348.45M,165.72M,182.73M,77.86M,77.86M,36.57M,,3.066M,0.428M,-2.638M,114.43M,68.30M,0.428M,3.066M,-2.638M,1.225M,-2.638M,66.88M,18.06M,48.82M,-0.686M,48.14M,48.82M,85.16M,,2012-03,0.32,0.00,0.32,2012-03,0.31,0.00,0.31,0.31,154.48M,156.97M,0.07,AOR,Restated
2011-12,405.21M,405.21M,179.71M,225.50M,,80.91M,34.92M,-1.206M,3.176M,0.768M,-2.408M,115.83M,109.67M,0.768M,3.176M,-2.408M,0.892M,-2.408M,108.15M,31.32M,76.83M,-0.703M,76.13M,77.69M,127.62M,,2011-12,0.49,-0.01,0.4955,2011-12,0.48,-0.01,0.4854,0.48,155.62M,157.97M,0.06,AOR,Restated
2011-09,371.33M,371.33M,169.43M,201.90M,,81.30M,35.19M,-0.066M,1.526M,0.155M,-1.371M,116.49M,85.41M,0.155M,1.526M,-1.371M,-0.066M,-1.371M,83.97M,19.58M,64.39M,0.329M,64.72M,64.44M,103.08M,,2011-09,0.41,0.00,0.4103,2011-09,0.40,0.00,0.4003,0.40,158.66M,160.80M,0.06,AOR,Restated
2011-06,391.56M,391.56M,186.14M,205.41M,,124.13M,39.48M,2.124M,0.435M,0.086M,-0.349M,163.61M,41.80M,0.086M,0.435M,-0.349M,2.124M,-0.349M,43.58M,13.76M,29.82M,-0.514M,29.31M,28.37M,67.75M,,2011-06,0.19,0.00,0.1809,2011-06,0.18,0.00,0.1711,0.18,159.80M,162.55M,0.06,AOR,Restated
2011-03,375.97M,375.97M,179.46M,196.51M,,82.61M,37.59M,-0.852M,0.35M,0.264M,-0.086M,120.20M,76.32M,0.264M,0.35M,-0.086M,-0.852M,-0.086M,75.38M,23.77M,51.61M,-0.291M,51.32M,52.19M,95.62M,,2011-03,0.32,0.00,0.3237,2011-03,0.32,0.00,0.3236,0.32,159.40M,162.31M,0.06,AOR,Restated
2010-12,437.51M,437.51M,204.65M,232.86M,,97.49M,35.00M,,0.412M,0.358M,-0.054M,132.49M,100.37M,0.358M,0.412M,-0.054M,1.597M,-0.054M,101.91M,31.84M,70.07M,-0.248M,69.82M,70.07M,124.15M,,2010-12,0.44,0.00,0.44,2010-12,0.43,0.00,0.43,0.43,158.90M,162.20M,,AOR,Restated
2010-09,332.50M,332.50M,150.39M,182.11M,,67.80M,28.52M,0.631M,0.349M,0.454M,0.105M,96.32M,85.79M,0.454M,0.349M,0.105M,0.631M,0.105M,86.52M,23.57M,62.96M,0.00,62.96M,62.50M,101.27M,,2010-09,0.40,0.00,0.3971,2010-09,0.39,0.00,0.3871,0.39,158.22M,160.92M,,AOR,
2010-06,331.13M,331.13M,147.81M,183.32M,,65.20M,28.31M,1.734M,0.90M,0.192M,-0.708M,93.51M,89.82M,0.192M,0.90M,-0.708M,1.734M,-0.708M,90.84M,31.39M,59.45M,0.00,59.45M,58.32M,105.04M,,2010-06,0.38,0.00,0.3727,2010-06,0.37,0.00,0.3630,0.37,154.50M,161.64M,,AOR,Restated
2010-03,287.30M,287.30M,121.94M,165.35M,,56.21M,24.80M,0.053M,1.224M,0.254M,-0.97M,81.01M,84.34M,0.254M,1.224M,-0.97M,0.053M,-0.97M,83.43M,27.53M,55.90M,0.00,55.90M,55.86M,96.42M,,2010-03,0.37,0.00,0.3698,2010-03,0.35,0.00,0.3498,0.35,152.90M,161.60M,,AOR,Restated
2009-12,311.56M,311.56M,135.51M,176.05M,,61.74M,24.37M,-0.029M,1.139M,,0.61M,86.11M,89.94M,,1.139M,0.61M,-0.029M,0.61M,90.52M,30.27M,60.25M,,60.25M,60.27M,103.18M,,2009-12,0.40,0.00,0.4001,2009-12,0.38,0.00,0.3801,0.38,152.20M,161.84M,,AOR,Restated
2009-09,285.55M,285.55M,122.74M,162.82M,,52.20M,21.29M,-1.664M,1.238M,,-1.238M,73.50M,89.32M,,1.238M,-1.238M,-1.664M,-1.238M,86.42M,26.38M,60.04M,,60.04M,61.19M,98.34M,,2009-09,0.40,0.00,0.4076,2009-09,0.38,0.00,0.3872,0.38,151.57M,160.29M,,AOR,Restated
2009-06,277.98M,277.98M,116.03M,161.95M,,54.06M,23.23M,-1.092M,1.727M,,-1.727M,77.29M,84.66M,,1.727M,-1.727M,-1.092M,-1.727M,81.84M,26.19M,55.65M,,55.65M,56.40M,93.87M,,2009-06,0.37,0.00,0.3750,2009-06,0.35,0.00,0.3546,0.35,149.95M,161.35M,,AOR,Restated
2009-03,272.00M,272.00M,114.28M,157.72M,,51.94M,22.41M,1.024M,2.778M,,-2.778M,74.35M,83.37M,,2.778M,-2.778M,1.024M,-2.778M,81.61M,27.34M,54.27M,,54.27M,53.59M,94.32M,,2009-03,0.38,0.00,0.3753,2009-03,0.35,0.00,0.3458,0.35,143.82M,162.58M,,AOR,Restated
2008-12,302.35M,302.35M,128.86M,173.49M,,63.74M,21.67M,4.139M,3.436M,,3.961M,85.41M,88.08M,,3.436M,3.961M,4.139M,3.961M,96.18M,31.19M,64.98M,,64.98M,62.19M,110.63M,,2008-12,0.47,0.00,0.4500,2008-12,0.41,0.00,0.3930,0.41,139.69M,164.42M,,,Restated
2008-09,276.74M,276.74M,121.48M,155.26M,,56.97M,21.64M,4.956M,3.473M,,-3.473M,78.61M,76.65M,,3.473M,-3.473M,4.956M,-3.473M,78.13M,23.35M,54.78M,,54.78M,51.30M,94.49M,,2008-09,0.39,0.00,0.3650,2008-09,0.35,0.00,0.3287,0.35,139.21M,163.12M,,,Restated
2008-06,260.98M,260.98M,114.36M,146.61M,,58.39M,23.55M,3.637M,3.634M,,-3.634M,81.94M,64.67M,,3.634M,-3.634M,3.637M,-3.634M,64.68M,20.06M,44.62M,,44.62M,42.11M,80.48M,,2008-06,0.32,0.00,0.3018,2008-06,0.29,0.00,0.2745,0.29,138.05M,162.34M,,,Restated
2008-03,236.91M,236.91M,106.11M,130.80M,,52.58M,23.11M,0.018M,3.793M,,-3.793M,75.69M,55.11M,,3.793M,-3.793M,0.018M,-3.793M,51.33M,14.81M,36.52M,,36.52M,36.51M,64.38M,,2008-03,0.27,0.00,0.2699,2008-03,0.24,0.00,0.2399,0.24,136.99M,161.49M,,,Restated
2007-12,242.63M,242.63M,105.40M,137.24M,,53.54M,20.84M,-0.603M,,,,74.38M,62.86M,,,,-0.603M,,65.20M,18.60M,46.60M,,46.60M,47.03M,70.42M,,2007-12,0.345,0.00,0.3482,2007-12,0.30,0.00,0.3031,0.30,135.39M,140.76M,,,
2007-09,191.10M,191.10M,84.08M,107.02M,,39.51M,15.69M,0.957M,,,,55.20M,51.82M,,,,0.957M,,50.54M,15.77M,34.76M,,34.76M,34.11M,58.21M,,2007-09,0.255,0.00,0.2501,2007-09,0.225,0.00,0.2209,0.225,135.13M,159.54M,,,
2007-06,184.30M,184.30M,85.15M,99.15M,,40.07M,17.92M,1.169M,,,,57.98M,41.16M,,,,1.169M,,39.77M,10.68M,29.08M,,29.08M,28.23M,47.22M,,2007-06,0.22,0.00,0.2136,2007-06,0.19,0.00,0.1846,0.19,133.48M,157.83M,,,
2007-03,161.36M,161.36M,71.54M,89.82M,,35.82M,18.02M,2.409M,,,,53.84M,35.98M,,,,2.409M,,35.65M,9.387M,26.26M,,26.26M,24.49M,41.89M,,2007-03,0.20,0.00,0.1866,2007-03,0.175,0.00,0.1636,0.175,132.08M,156.07M,,,
2006-12,185.90M,185.90M,81.46M,104.44M,,33.11M,16.26M,-3.614M,,,,8.367M,96.08M,,,,-3.614M,,52.00M,12.24M,39.76M,,39.76M,42.52M,101.64M,,2006-12,0.295,0.00,0.3156,2006-12,0.26,0.00,0.2806,0.26,133.92M,133.92M,,,
2006-09,133.21M,133.21M,57.50M,75.71M,,27.82M,13.93M,1.448M,,,,41.74M,33.97M,,,,1.448M,,33.15M,6.079M,27.07M,,27.07M,25.89M,39.50M,,2006-09,0.20,0.00,0.1912,2006-09,0.18,0.00,0.1725,0.18,134.96M,158.10M,,,
2006-06,138.55M,138.55M,64.64M,73.91M,,29.70M,15.17M,2.725M,,,,44.86M,29.05M,,,,2.725M,,29.82M,8.41M,21.41M,,21.41M,19.45M,34.07M,,2006-06,0.155,0.00,0.1408,2006-06,0.14,0.00,0.1279,0.14,138.22M,161.60M,,,
2006-03,117.34M,117.34M,56.49M,60.85M,,26.75M,15.23M,0.701M,,,,41.98M,18.87M,,,,0.701M,,17.64M,4.984M,12.66M,,12.66M,12.16M,23.29M,,2006-03,0.09,0.00,0.0864,2006-03,0.085,0.00,0.0819,0.085,138.33M,162.62M,,,
2005-12,156.25M,156.25M,69.59M,86.66M,,28.00M,12.51M,-1.088M,,,,40.51M,46.15M,,,,-1.088M,,45.71M,11.56M,34.14M,,34.14M,34.95M,50.63M,,2005-12,0.245,0.00,0.2508,2005-12,0.215,0.00,0.2201,0.215,139.12M,160.57M,,,
2005-09,113.03M,113.03M,52.91M,60.12M,,22.00M,11.78M,-0.949M,,,,33.78M,26.34M,,,,-0.949M,,23.44M,6.094M,17.34M,,17.34M,18.05M,31.53M,,2005-09,0.125,0.00,0.1301,2005-09,0.11,0.00,0.1145,0.11,138.75M,157.67M,,,
2005-06,130.97M,130.97M,59.64M,71.33M,,25.03M,13.97M,2.852M,,,,39.00M,32.33M,,,,2.852M,,33.21M,8.634M,24.57M,,24.57M,22.46M,35.13M,,2005-06,0.175,0.00,0.1600,2005-06,0.155,0.00,0.1417,0.155,140.41M,158.53M,,,
2005-03,108.32M,108.32M,49.73M,58.59M,,24.20M,13.26M,0.734M,,,,37.45M,21.14M,,,,0.734M,,19.87M,5.167M,14.71M,,14.71M,14.16M,24.25M,,2005-03,0.105,0.00,0.1011,2005-03,0.095,0.00,0.0915,0.095,140.07M,154.81M,,,
2004-12,143.73M,143.73M,67.99M,75.74M,,28.25M,13.09M,-0.563M,,,,41.34M,34.39M,,,,-0.563M,,32.27M,8.21M,24.06M,,24.06M,24.48M,38.32M,,2004-12,0.165,0.00,0.1678,2004-12,0.145,0.00,0.1475,0.145,149.12M,169.95M,,,
2004-09,110.77M,110.77M,51.79M,58.98M,,22.00M,11.32M,-0.429M,,,,33.32M,25.66M,,,,-0.429M,,23.28M,6.452M,16.82M,,16.82M,17.13M,29.25M,,2004-09,0.125,0.00,0.1273,2004-09,0.11,0.00,0.1120,0.11,134.59M,152.95M,,,
2004-06,119.30M,119.30M,58.27M,61.02M,,23.03M,10.78M,0.224M,,,,33.81M,27.21M,,,,0.224M,,25.43M,7.506M,17.93M,,17.93M,17.77M,30.81M,,2004-06,0.135,0.00,0.1338,2004-06,0.12,0.00,0.1189,0.12,132.79M,149.38M,,,
2004-03,108.86M,108.86M,55.44M,53.42M,,20.96M,10.60M,-0.832M,,,,31.56M,21.86M,,,,-0.832M,,18.93M,6.246M,12.68M,,12.68M,13.24M,25.55M,,2004-03,0.095,0.00,0.0992,2004-03,0.085,0.00,0.0887,0.085,133.51M,149.21M,,,
2003-12,97.41M,97.41M,46.04M,51.37M,,19.52M,9.027M,-3.142M,,,,28.54M,22.83M,,,,-3.142M,,20.13M,5.164M,14.96M,,14.96M,17.30M,24.58M,,2003-12,0.0925,0.00,0.1065,2003-12,0.08,0.00,0.0922,0.08,166.61M,191.74M,,,
2003-09,70.23M,70.23M,31.24M,38.99M,,14.97M,6.255M,0.035M,,,,21.22M,17.77M,,,,0.035M,,15.56M,4.699M,10.86M,,10.86M,10.84M,19.38M,,2003-09,0.0825,0.00,0.0823,2003-09,0.08,0.00,0.0798,0.08,131.70M,135.81M,,,
2003-06,75.16M,75.16M,36.04M,39.12M,,15.83M,7.785M,-0.557M,,,,23.62M,15.50M,,,,-0.557M,,14.50M,4.785M,9.715M,,9.715M,10.09M,16.94M,,2003-06,0.07,0.00,0.0727,2003-06,0.0675,0.00,0.0701,0.0675,138.79M,143.93M,,,
2003-03,69.17M,69.17M,33.13M,36.04M,,14.72M,7.598M,0.107M,,,,22.32M,13.73M,,,,0.107M,,13.66M,4.507M,9.15M,,9.15M,9.078M,15.18M,,2003-03,0.0662,0.00,0.0657,2003-03,0.0638,0.00,0.0633,0.0638,138.11M,143.53M,,,
2002-12,74.93M,74.93M,35.85M,39.08M,,16.58M,7.133M,-0.302M,,,,23.71M,15.37M,,,,-0.302M,,14.92M,2.238M,12.68M,,12.68M,12.94M,17.01M,,2002-12,0.0938,0.00,0.0956,2002-12,0.0888,0.00,0.0905,0.0888,135.52M,143.00M,,,
2002-09,64.46M,64.46M,30.63M,33.82M,,14.79M,6.211M,0.101M,,,,21.00M,12.82M,,,,0.101M,,12.53M,1.879M,10.65M,,10.65M,10.56M,14.39M,,2002-09,0.0788,0.00,0.0781,2002-09,0.075,0.00,0.0744,0.075,135.24M,142.00M,,,
2002-06,63.60M,63.60M,30.78M,32.82M,,14.76M,6.46M,0.473M,,,,21.22M,11.60M,,,,0.473M,,11.24M,1.687M,9.557M,,9.557M,9.155M,13.06M,,2002-06,0.0712,0.00,0.0683,2002-06,0.0675,0.00,0.0647,0.0675,134.13M,141.59M,,,
2002-03,58.10M,58.10M,26.80M,31.30M,,13.82M,7.089M,0.124M,,,,20.91M,10.39M,,,,0.124M,,10.20M,1.529M,8.668M,,8.668M,8.563M,11.92M,,2002-03,0.065,0.00,0.0642,2002-03,0.0612,0.00,0.0605,0.0612,133.35M,141.52M,,,
