,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,3.834B,-3.991B,38.00M,-193.00M,-197.00M,-4.343B,925.00M,,925.00M,925.00M,1.27B,,,-83.00M,,,,,243.00M,-595.00M,-44.00M,-396.00M,1.291B,-1.288B,-110.00M,0.00,-3.339B,960.00M,-3.667B,862.00M,1.027B,1.889B,7.00M,,7.00M,-523.00M,-523.00M,-63.00M,1.31B,1.983B,-1.066B,-9.00M,908.00M,7.00M,3.081B,-1.192B,,,
2017-12,2.071B,-53.00M,-2.00M,391.00M,,195.00M,-148.00M,,-148.00M,-148.00M,-2.198B,,,91.00M,,,,,212.00M,314.00M,-14.00M,512.00M,1.129B,-1.496B,-22.00M,-28.00M,1.471B,-2.014B,-2.067B,270.00M,-137.00M,133.00M,19.00M,,19.00M,-463.00M,-463.00M,889.00M,1.126B,1.769B,188.00M,26.00M,1.983B,567.00M,3.021B,-2.888B,,,
2017-09,857.00M,-21.00M,-11.00M,31.00M,,-1.00M,1.138B,,1.138B,1.138B,430.00M,,,-267.00M,,,,,-316.00M,238.00M,-1.00M,-79.00M,2.078B,-1.078B,-26.00M,0.00,-1.028B,769.00M,-1.337B,418.00M,-43.00M,375.00M,11.00M,,11.00M,-462.00M,-462.00M,161.00M,85.00M,943.00M,826.00M,0.00,1.769B,11.00M,2.384B,-2.009B,,,
2017-06,804.00M,-4.00M,-40.00M,183.00M,,139.00M,957.00M,,957.00M,957.00M,321.00M,,,-180.00M,,,,,-265.00M,-55.00M,272.00M,-48.00M,1.993B,-989.00M,-20.00M,-2.00M,-1.496B,636.00M,-1.844B,745.00M,-194.00M,551.00M,18.00M,,18.00M,-460.00M,-460.00M,-115.00M,-6.00M,800.00M,143.00M,0.00,943.00M,18.00M,1.888B,-1.337B,,,
2017-03,1.591B,-1.145B,28.00M,-169.00M,,-1.286B,691.00M,,691.00M,691.00M,565.00M,,,-264.00M,,,,,36.00M,261.00M,-336.00M,-39.00M,1.258B,-1.842B,-129.00M,1.484B,-4.141B,829.00M,-3.67B,141.00M,2.241B,2.382B,7.00M,,7.00M,-460.00M,-460.00M,-246.00M,1.683B,1.529B,-729.00M,0.00,800.00M,7.00M,2.93B,-548.00M,,,
2016-12,1.011B,-196.00M,-86.00M,-413.00M,,-843.00M,891.00M,,891.00M,891.00M,460.00M,,,-183.00M,,,,,58.00M,-394.00M,-34.00M,-370.00M,1.075B,-921.00M,-89.00M,0.00,-1.641B,1.499B,-1.063B,357.00M,-660.00M,-303.00M,9.00M,,9.00M,-407.00M,-407.00M,1.326B,625.00M,681.00M,637.00M,,1.529B,9.00M,653.00M,-956.00M,,,
2016-09,790.00M,-12.00M,9.00M,-83.00M,,-86.00M,1.07B,,1.07B,1.07B,360.00M,,,-299.00M,,,,,-192.00M,315.00M,66.00M,189.00M,2.024B,-972.00M,-79.00M,342.00M,-1.949B,1.033B,-1.546B,477.00M,-1.116B,-639.00M,485.00M,,485.00M,-402.00M,-402.00M,29.00M,-527.00M,730.00M,-49.00M,,681.00M,485.00M,1.381B,-2.02B,,,
2016-06,544.00M,-264.00M,50.00M,500.00M,,286.00M,816.00M,,816.00M,816.00M,206.00M,,,-23.00M,,,,,-181.00M,104.00M,-27.00M,-104.00M,1.725B,-1.082B,-26.00M,11.00M,-2.348B,1.663B,-1.756B,630.00M,-178.00M,452.00M,26.00M,,26.00M,-402.00M,-402.00M,57.00M,133.00M,628.00M,102.00M,,730.00M,26.00M,1.081B,-629.00M,,,
2016-03,654.00M,-15.00M,40.00M,-48.00M,,-23.00M,651.00M,,651.00M,651.00M,200.00M,,,35.00M,,,,,169.00M,-57.00M,-84.00M,28.00M,1.545B,-1.265B,-89.00M,292.00M,-2.629B,-79.00M,-3.681B,883.00M,1.686B,2.569B,17.00M,,17.00M,-401.00M,-401.00M,8.00M,2.193B,571.00M,57.00M,,628.00M,17.00M,2.936B,-367.00M,,,
2015-12,510.00M,,,56.00M,,6.00M,841.00M,,841.00M,841.00M,314.00M,,,-39.00M,123.00M,52.00M,,-255.00M,122.00M,-19.00M,-81.00M,-58.00M,1.576B,-1.066B,-51.00M,26.00M,-2.727B,1.248B,-2.519B,1.435B,-1.377B,58.00M,24.00M,,24.00M,-354.00M,-354.00M,601.00M,329.00M,1.181B,-614.00M,,772.00M,24.00M,1.317B,-1.259B,,,
2015-09,881.00M,,0.00,-264.00M,,-278.00M,900.00M,,900.00M,900.00M,331.00M,,,-446.00M,-115.00M,-66.00M,,61.00M,5.00M,118.00M,188.00M,191.00M,1.579B,-1.039B,-125.00M,213.00M,-1.61B,713.00M,-1.723B,62.00M,392.00M,454.00M,644.00M,,644.00M,-348.00M,-348.00M,24.00M,774.00M,551.00M,630.00M,,1.181B,644.00M,2.256B,-1.802B,,,
2015-06,721.00M,,0.00,-30.00M,,-55.00M,825.00M,,825.00M,825.00M,255.00M,,,-32.00M,-126.00M,-29.00M,,246.00M,-38.00M,117.00M,-131.00M,39.00M,1.753B,-941.00M,-94.00M,106.00M,-3.53B,2.175B,-2.19B,279.00M,26.00M,305.00M,614.00M,,614.00M,-342.00M,-342.00M,-58.00M,519.00M,469.00M,82.00M,,551.00M,614.00M,1.859B,-1.554B,,,
2015-03,650.00M,,0.00,-99.00M,,-99.00M,637.00M,,637.00M,637.00M,262.00M,,,5.00M,118.00M,43.00M,,-52.00M,-23.00M,-152.00M,-208.00M,-274.00M,1.181B,-826.00M,-91.00M,0.00,-1.568B,830.00M,-1.564B,24.00M,603.00M,627.00M,16.00M,,16.00M,-341.00M,-341.00M,-27.00M,275.00M,577.00M,-108.00M,,469.00M,16.00M,797.00M,-170.00M,,,
2014-12,884.00M,,,-692.00M,21.00M,-715.00M,778.00M,,778.00M,778.00M,489.00M,,,20.00M,263.00M,112.00M,,-525.00M,-107.00M,15.00M,318.00M,76.00M,1.532B,-842.00M,-50.00M,0.00,-2.183B,742.00M,-2.283B,-252.00M,-44.00M,-296.00M,576.00M,,576.00M,-316.00M,-316.00M,879.00M,843.00M,485.00M,92.00M,,577.00M,576.00M,1.26B,-1.556B,,,
2014-09,664.00M,,,-29.00M,0.00,-41.00M,872.00M,,872.00M,872.00M,255.00M,,,64.00M,-112.00M,-92.00M,,96.00M,-44.00M,-7.00M,-135.00M,-294.00M,1.52B,-784.00M,-66.00M,438.00M,-2.327B,1.70B,-973.00M,102.00M,-430.00M,-328.00M,15.00M,,15.00M,-315.00M,-315.00M,-56.00M,-684.00M,622.00M,-137.00M,,485.00M,15.00M,1.091B,-1.419B,,,
2014-06,491.00M,,,186.00M,0.00,153.00M,695.00M,,695.00M,695.00M,271.00M,,,-39.00M,-61.00M,-29.00M,,145.00M,3.00M,19.00M,-217.00M,-140.00M,1.431B,-689.00M,-80.00M,0.00,-1.358B,784.00M,-1.263B,516.00M,-254.00M,262.00M,17.00M,,17.00M,-315.00M,-315.00M,2.00M,-34.00M,488.00M,134.00M,,622.00M,17.00M,1.82B,-1.558B,,,
2014-03,430.00M,,,124.00M,-21.00M,59.00M,551.00M,,551.00M,551.00M,190.00M,,,-33.00M,-90.00M,9.00M,,284.00M,-24.00M,-161.00M,-198.00M,-180.00M,1.017B,-1.114B,-91.00M,,-2.18B,1.452B,-1.842B,-62.00M,1.179B,1.117B,25.00M,,25.00M,-315.00M,-315.00M,48.00M,875.00M,438.00M,50.00M,,488.00M,25.00M,1.834B,-717.00M,,,
2013-12,327.00M,,,74.00M,-40.00M,74.00M,736.00M,,736.00M,736.00M,54.00M,0.00,,-105.00M,116.00M,-12.00M,,-351.00M,12.00M,160.00M,651.00M,576.00M,1.712B,-789.00M,-171.00M,,-2.685B,1.617B,-1.857B,-9.00M,-225.00M,-234.00M,427.00M,,427.00M,-286.00M,-286.00M,118.00M,25.00M,558.00M,-120.00M,,438.00M,427.00M,718.00M,-952.00M,,,
2013-09,698.00M,,,-152.00M,-22.00M,-193.00M,690.00M,,690.00M,690.00M,264.00M,0.00,,172.00M,-108.00M,-22.00M,,48.00M,46.00M,72.00M,-477.00M,-441.00M,1.14B,-771.00M,-114.00M,0.00,-1.641B,931.00M,-1.481B,547.00M,-125.00M,422.00M,406.00M,,406.00M,-279.00M,-279.00M,-61.00M,488.00M,411.00M,147.00M,,558.00M,406.00M,791.00M,-369.00M,,,
2013-06,611.00M,,,26.00M,-5.00M,12.00M,595.00M,,595.00M,595.00M,172.00M,0.00,,-255.00M,-412.00M,-22.00M,,309.00M,-40.00M,130.00M,68.00M,33.00M,1.168B,-749.00M,-62.00M,,-1.471B,1.013B,-1.207B,1.737B,-1.336B,401.00M,1.00M,,1.00M,-278.00M,-278.00M,111.00M,235.00M,215.00M,196.00M,,411.00M,1.00M,1.273B,-872.00M,,,
2013-03,41.00M,,,42.00M,67.00M,97.00M,500.00M,,500.00M,500.00M,363.00M,300.00M,,1.00M,136.00M,-25.00M,,116.00M,-10.00M,-219.00M,-218.00M,-220.00M,1.082B,-895.00M,-24.00M,,-1.986B,1.303B,-1.578B,-300.00M,966.00M,666.00M,8.00M,,8.00M,-279.00M,-279.00M,-13.00M,382.00M,329.00M,-114.00M,,215.00M,8.00M,1.589B,-923.00M,,,
2012-12,429.00M,,,4.00M,,124.00M,452.00M,,452.00M,452.00M,165.00M,0.00,,-336.00M,61.00M,-20.00M,,-327.00M,5.00M,181.00M,101.00M,1.00M,835.00M,-1.206B,-103.00M,,-6.841B,5.62B,-2.427B,2.113B,-335.00M,1.778B,19.00M,0.00,19.00M,-252.00M,-252.00M,130.00M,1.675B,246.00M,83.00M,,329.00M,19.00M,2.069B,-291.00M,0.00,,
2012-09,414.00M,,,181.00M,,128.00M,521.00M,,521.00M,521.00M,144.00M,0.00,,67.00M,-202.00M,27.00M,,91.00M,35.00M,87.00M,-83.00M,-45.00M,1.229B,-1.09B,-45.00M,,-1.609B,219.00M,-2.48B,1.221B,226.00M,1.447B,14.00M,0.00,14.00M,-252.00M,-252.00M,-7.00M,1.202B,295.00M,-49.00M,,246.00M,14.00M,2.122B,-675.00M,0.00,,
2012-06,607.00M,,,-138.00M,,-205.00M,408.00M,,408.00M,408.00M,239.00M,0.00,,128.00M,-204.00M,12.00M,1.00M,189.00M,-62.00M,54.00M,-74.00M,-84.00M,1.093B,-1.30B,-113.00M,,-787.00M,61.00M,-2.026B,1.252B,-412.00M,840.00M,360.00M,0.00,360.00M,-252.00M,-252.00M,5.00M,953.00M,275.00M,20.00M,,295.00M,360.00M,1.352B,-512.00M,0.00,,
2012-03,461.00M,,,-132.00M,,-132.00M,396.00M,,396.00M,396.00M,134.00M,0.00,,38.00M,59.00M,-18.00M,-1.00M,-9.00M,-24.00M,-168.00M,99.00M,-62.00M,835.00M,-1.274B,-44.00M,,-773.00M,52.00M,-1.995B,432.00M,582.00M,1.014B,12.00M,-19.00M,-7.00M,-248.00M,-248.00M,299.00M,1.058B,377.00M,-102.00M,,275.00M,12.00M,1.148B,-134.00M,-19.00M,,
2011-12,667.00M,,,,-65.00M,-444.00M,403.00M,,403.00M,403.00M,279.00M,0.00,-182.00M,249.00M,321.00M,-39.00M,,-567.00M,5.00M,81.00M,89.00M,-110.00M,957.00M,-1.364B,-207.00M,,241.00M,266.00M,-857.00M,590.00M,-486.00M,104.00M,9.00M,-375.00M,-366.00M,,-231.00M,130.00M,-363.00M,640.00M,-263.00M,,377.00M,9.00M,1.483B,-433.00M,-375.00M,,
2011-09,408.00M,,,,-9.00M,239.00M,575.00M,,575.00M,575.00M,118.00M,0.00,96.00M,47.00M,-162.00M,-55.00M,,-85.00M,48.00M,-14.00M,-89.00M,-357.00M,1.126B,-877.00M,-172.00M,,-613.00M,-573.00M,-2.063B,767.00M,786.00M,1.553B,6.00M,0.00,6.00M,,-230.00M,-39.00M,1.29B,287.00M,353.00M,,640.00M,6.00M,1.464B,-697.00M,0.00,,
2011-06,580.00M,,,,6.00M,-112.00M,469.00M,,469.00M,469.00M,147.00M,51.00M,-145.00M,72.00M,-260.00M,-196.00M,,567.00M,-75.00M,7.00M,-97.00M,-54.00M,1.008B,-975.00M,-112.00M,,-468.00M,161.00M,-1.282B,513.00M,-328.00M,185.00M,15.00M,0.00,15.00M,,-230.00M,166.00M,136.00M,425.00M,-138.00M,,287.00M,15.00M,1.252B,-739.00M,0.00,,
2011-03,268.00M,,,,13.00M,57.00M,402.00M,,402.00M,402.00M,9.00M,,231.00M,-3.00M,250.00M,-18.00M,,-87.00M,0.00,-71.00M,-55.00M,19.00M,983.00M,-811.00M,-47.00M,,-676.00M,410.00M,-1.077B,-51.00M,488.00M,437.00M,18.00M,0.00,18.00M,,-229.00M,-9.00M,217.00M,302.00M,123.00M,,425.00M,18.00M,201.00M,-252.00M,0.00,,
2010-12,1.957B,,,,-34.00M,237.00M,529.00M,,529.00M,529.00M,175.00M,19.00M,499.00M,-2.429B,188.00M,39.00M,,-276.00M,-2.00M,81.00M,-112.00M,4.00M,1.065B,-695.00M,-117.00M,,-1.097B,64.00M,-1.728B,508.00M,-195.00M,313.00M,124.00M,,124.00M,,-207.00M,-56.00M,174.00M,791.00M,-489.00M,,302.00M,124.00M,706.00M,-1.328B,,,
2010-09,-973.00M,,,,-22.00M,-98.00M,604.00M,,604.00M,604.00M,56.00M,0.00,-208.00M,1.61B,-253.00M,-68.00M,,-55.00M,155.00M,82.00M,169.00M,30.00M,1.021B,-663.00M,-59.00M,,-687.00M,77.00M,-1.273B,1.131B,-881.00M,250.00M,115.00M,,115.00M,,-206.00M,55.00M,214.00M,829.00M,-38.00M,,791.00M,115.00M,1.433B,-302.00M,,,
2010-06,417.00M,,,,5.00M,-212.00M,454.00M,,454.00M,454.00M,10.00M,0.00,33.00M,15.00M,-288.00M,25.00M,,588.00M,-193.00M,-62.00M,65.00M,135.00M,852.00M,-743.00M,-61.00M,,-604.00M,425.00M,-922.00M,618.00M,-970.00M,-352.00M,57.00M,,57.00M,,-206.00M,185.00M,-316.00M,1.215B,-386.00M,,829.00M,57.00M,785.00M,-167.00M,,,
2010-03,556.00M,,,,-7.00M,-438.00M,486.00M,,486.00M,486.00M,270.00M,,-324.00M,192.00M,251.00M,26.00M,,-81.00M,-12.00M,-25.00M,-5.00M,154.00M,896.00M,-846.00M,-37.00M,,-613.00M,98.00M,-1.361B,698.00M,916.00M,1.614B,12.00M,,12.00M,,-204.00M,20.00M,1.442B,238.00M,977.00M,,1.215B,12.00M,800.00M,-102.00M,,,
2009-12,348.00M,,,,33.00M,238.00M,727.00M,-186.00M,541.00M,541.00M,91.00M,,-4.00M,-78.00M,137.00M,11.00M,,-225.00M,41.00M,28.00M,9.00M,1.00M,1.137B,-782.00M,-84.00M,,-1.242B,107.00M,-1.917B,608.00M,438.00M,1.046B,12.00M,,12.00M,-766.00M,-192.00M,-12.00M,854.00M,164.00M,74.00M,,238.00M,12.00M,831.00M,215.00M,,,
2009-09,533.00M,,,,-26.00M,123.00M,314.00M,186.00M,500.00M,500.00M,109.00M,,36.00M,105.00M,-144.00M,12.00M,,-63.00M,31.00M,-24.00M,-36.00M,-224.00M,1.182B,-810.00M,-111.00M,,-786.00M,-1.00M,-1.597B,-81.00M,459.00M,378.00M,103.00M,,103.00M,,-192.00M,14.00M,303.00M,276.00M,-112.00M,,164.00M,103.00M,17.00M,-382.00M,,,
2009-06,370.00M,,,,17.00M,19.00M,494.00M,,494.00M,494.00M,91.00M,,27.00M,23.00M,-181.00M,-35.00M,,245.00M,-55.00M,76.00M,27.00M,77.00M,1.101B,-692.00M,-97.00M,,-724.00M,91.00M,-1.325B,-91.00M,477.00M,386.00M,34.00M,,34.00M,191.00M,-191.00M,-5.00M,224.00M,276.00M,0.00,,276.00M,34.00M,864.00M,265.00M,,,
2009-03,364.00M,,,,-7.00M,259.00M,469.00M,,469.00M,469.00M,-18.00M,,,5.00M,193.00M,97.00M,,-13.00M,-8.00M,-87.00M,-218.00M,-36.00M,1.043B,-654.00M,-70.00M,,-443.00M,1.00M,-1.096B,1.149B,-1.22B,-71.00M,49.00M,,49.00M,-191.00M,-191.00M,7.00M,-206.00M,535.00M,-259.00M,,276.00M,49.00M,1.508B,-1.579B,,,
2008-12,407.00M,,,,,379.00M,,,,618.00M,61.00M,,,120.00M,264.00M,50.00M,,-341.00M,16.00M,153.00M,-346.00M,-204.00M,1.044B,-824.00M,1.45B,,-3.222B,2.095B,-1.951B,,,31.00M,9.00M,,9.00M,,-179.00M,-11.00M,-150.00M,1.592B,-1.057B,,535.00M,9.00M,,,,,
2008-09,774.00M,,,,,-302.00M,,,,232.00M,422.00M,,,-312.00M,-45.00M,77.00M,,-426.00M,34.00M,-443.00M,280.00M,-523.00M,291.00M,699.00M,699.00M,,-9.00M,-2.017B,-1.327B,,,2.37B,9.00M,,9.00M,,-179.00M,4.00M,2.204B,424.00M,1.168B,,1.592B,9.00M,,,,,
2008-06,209.00M,,,,,-197.00M,,,,402.00M,-52.00M,,,126.00M,-378.00M,-248.00M,,532.00M,-72.00M,438.00M,-9.00M,263.00M,751.00M,-1.747B,-1.747B,,483.00M,-78.00M,-1.342B,,,565.00M,15.00M,,15.00M,,-178.00M,10.00M,412.00M,603.00M,-179.00M,,424.00M,15.00M,,,,,
2008-03,249.00M,,,,,40.00M,,,,391.00M,138.00M,,,208.00M,182.00M,15.00M,,128.00M,-9.00M,78.00M,-103.00M,291.00M,1.317B,-649.00M,-649.00M,,-578.00M,39.00M,-1.188B,,,351.00M,8.00M,,8.00M,,-178.00M,3.00M,184.00M,290.00M,313.00M,,603.00M,8.00M,,,,,
2007-12,224.00M,,,,,113.00M,,,,402.00M,153.00M,,,174.00M,197.00M,12.00M,,-140.00M,45.00M,17.00M,-350.00M,-219.00M,847.00M,-546.00M,-546.00M,,-4.00M,-146.00M,-696.00M,,,95.00M,10.00M,,10.00M,,-164.00M,-152.00M,-211.00M,350.00M,-60.00M,,290.00M,10.00M,,,,,
2007-09,533.00M,,,,,-143.00M,,,,365.00M,-53.00M,,,73.00M,-274.00M,3.00M,,20.00M,9.00M,147.00M,216.00M,121.00M,896.00M,-413.00M,-413.00M,,147.00M,-1.777B,-2.043B,,,753.00M,9.00M,,9.00M,,-164.00M,176.00M,774.00M,723.00M,-373.00M,,350.00M,9.00M,,,,,
2007-06,405.00M,,,,,-350.00M,,,,361.00M,-15.00M,,,114.00M,-214.00M,-95.00M,,258.00M,-57.00M,-141.00M,365.00M,116.00M,631.00M,-339.00M,-339.00M,,144.00M,-791.00M,-986.00M,,,1.02B,16.00M,,16.00M,,-163.00M,-21.00M,852.00M,226.00M,497.00M,,723.00M,16.00M,,,,,
2007-03,150.00M,,,,,568.00M,,,,351.00M,317.00M,,,-4.00M,61.00M,66.00M,,-75.00M,-11.00M,119.00M,-323.00M,-163.00M,1.219B,-559.00M,-559.00M,,-305.00M,11.00M,-853.00M,,,-615.00M,11.00M,,11.00M,,-163.00M,7.00M,-760.00M,620.00M,-394.00M,,226.00M,11.00M,,,,,
2006-12,268.00M,,,,,605.00M,,,,361.00M,58.00M,,,-197.00M,254.00M,-11.00M,,-51.00M,15.00M,-26.00M,-198.00M,-17.00M,1.078B,-503.00M,-503.00M,,18.00M,-416.00M,-901.00M,,,418.00M,21.00M,,21.00M,,-148.00M,-7.00M,284.00M,159.00M,461.00M,,620.00M,21.00M,,,,,
2006-09,526.00M,,,,,27.00M,,,,500.00M,67.00M,,,-257.00M,-166.00M,5.00M,,8.00M,45.00M,-25.00M,216.00M,83.00M,946.00M,792.00M,792.00M,,-18.00M,-1.509B,-735.00M,,,-52.00M,9.00M,,9.00M,,-149.00M,6.00M,-186.00M,134.00M,25.00M,,159.00M,9.00M,,,,,
2006-06,236.00M,,,,,-97.00M,,,,218.00M,134.00M,,,304.00M,-238.00M,-30.00M,,136.00M,-43.00M,77.00M,-106.00M,-204.00M,591.00M,-1.567B,-1.567B,,669.00M,-40.00M,-938.00M,,,476.00M,-206.00M,258.00M,52.00M,,-148.00M,-47.00M,333.00M,148.00M,-14.00M,,134.00M,-206.00M,,,258.00M,,
2006-03,251.00M,,,,,262.00M,,,,342.00M,134.00M,,,-282.00M,-3.00M,-167.00M,,-295.00M,-9.00M,-446.00M,96.00M,-824.00M,-117.00M,-548.00M,-548.00M,,-669.00M,-16.00M,-1.233B,,,839.00M,509.00M,-258.00M,251.00M,,-148.00M,26.00M,968.00M,530.00M,-382.00M,,148.00M,509.00M,,,-258.00M,,
2005-12,222.00M,,,,,-209.00M,,,,381.00M,61.00M,,,-577.00M,66.00M,-100.00M,,-186.00M,96.00M,-517.00M,-206.00M,-847.00M,-969.00M,-481.00M,-481.00M,,,181.00M,-300.00M,,,855.00M,6.00M,5.00M,11.00M,,-137.00M,-32.00M,697.00M,1.102B,-572.00M,,530.00M,6.00M,,,5.00M,,
