,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-10,17.61B,17.61B,12.44B,5.173B,3.736B,,151.00M,,-151.00M,,4.297B,876.00M,,151.00M,-151.00M,,-151.00M,725.00M,249.00M,476.00M,73.00M,,549.00M,476.00M,1.437B,561.00M,876.00M,,0.76,0.12,,0.76,0.88,,0.76,0.11,,0.76,0.87,,623.70M,628.80M,0.56,,AOR,Restated
2015-07,17.43B,17.43B,12.05B,5.376B,3.495B,,148.00M,,-148.00M,,4.046B,1.33B,,148.00M,-148.00M,,-148.00M,1.182B,409.00M,773.00M,-20.00M,,753.00M,773.00M,1.881B,550.00M,1.33B,,1.21,-0.03,,1.21,1.18,,1.21,-0.03,,1.21,1.18,,635.80M,641.00M,0.52,,AOR,Restated
2015-04,17.12B,17.12B,11.91B,5.208B,3.514B,,155.00M,,-155.00M,,4.054B,1.154B,,155.00M,-155.00M,,-155.00M,999.00M,348.00M,651.00M,-16.00M,,635.00M,651.00M,1.694B,540.00M,1.154B,,1.02,-0.03,,1.02,0.99,,1.01,-0.03,,1.01,0.98,,640.90M,646.40M,0.52,,AOR,Restated
2015-01,21.75B,21.75B,15.56B,6.188B,4.057B,,152.00M,,-152.00M,,4.602B,1.586B,,152.00M,-152.00M,,-152.00M,1.434B,474.00M,960.00M,-3.60B,,-2.64B,960.00M,2.131B,545.00M,1.586B,,1.51,-5.64,,1.51,-4.14,,1.51,-5.64,,1.51,-4.14,,638.00M,644.30M,0.52,,AOR,Restated
2014-10,17.25B,17.25B,12.17B,5.083B,3.644B,,146.00M,,-146.00M,,4.179B,904.00M,,146.00M,-146.00M,,-146.00M,758.00M,232.00M,526.00M,-174.00M,,352.00M,526.00M,1.439B,535.00M,904.00M,,0.83,-0.28,,0.83,0.55,,0.82,-0.28,,0.82,0.55,,634.00M,639.60M,0.52,,AOR,Restated
2014-07,16.96B,16.96B,11.80B,5.159B,3.599B,,433.00M,,-433.00M,,4.136B,1.023B,,433.00M,-433.00M,,-433.00M,590.00M,199.00M,391.00M,-157.00M,,234.00M,391.00M,1.561B,538.00M,1.023B,,0.62,-0.25,,0.62,0.37,,0.61,-0.25,,0.61,0.37,,633.50M,638.40M,0.43,,AOR,Restated
2014-04,16.66B,16.66B,11.75B,4.909B,3.376B,,152.00M,,-152.00M,,3.887B,1.022B,,152.00M,-152.00M,,-152.00M,870.00M,299.00M,571.00M,-153.00M,,418.00M,571.00M,1.533B,511.00M,1.022B,,0.90,-0.24,,0.90,0.66,,0.89,-0.24,,0.89,0.66,,633.30M,638.20M,0.43,,AOR,Restated
2014-01,20.20B,20.20B,14.60B,5.60B,3.325B,,84.00M,,-84.00M,,3.673B,1.927B,,84.00M,-84.00M,0.00,-84.00M,1.843B,600.00M,1.243B,,,520.00M,1.243B,2.275B,348.00M,1.927B,,0.82,,,0.82,0.82,,0.81,,,0.81,0.81,,632.40M,638.20M,0.43,,AOR,Restated
2013-10,17.26B,17.26B,12.13B,5.125B,3.853B,,165.00M,,-165.00M,,4.422B,703.00M,,165.00M,-165.00M,,-165.00M,538.00M,197.00M,341.00M,,,341.00M,341.00M,1.272B,569.00M,703.00M,,0.54,,,0.54,0.54,,0.54,,,0.54,0.54,,631.30M,637.40M,0.43,,AOR,Restated
2013-07,17.12B,17.12B,11.74B,5.372B,3.698B,,171.00M,,-171.00M,,4.24B,1.132B,,171.00M,-171.00M,,-171.00M,961.00M,350.00M,611.00M,,,611.00M,611.00M,1.675B,543.00M,1.132B,,0.96,,,0.96,0.96,,0.95,,,0.95,0.95,,634.80M,642.00M,0.36,,AOR,Restated
2013-04,16.71B,16.71B,11.56B,5.143B,3.59B,,629.00M,,-629.00M,,4.126B,1.017B,,629.00M,-629.00M,391.00M,-629.00M,779.00M,281.00M,498.00M,,,498.00M,498.00M,1.944B,536.00M,1.408B,,0.78,,,0.78,0.78,,0.77,,,0.77,0.77,,642.10M,649.50M,0.36,,AOR,Restated
2013-01,22.73B,22.73B,16.30B,6.43B,3.957B,,126.00M,,-126.00M,,4.398B,2.032B,,126.00M,-126.00M,5.00M,-126.00M,1.911B,634.00M,1.277B,,,961.00M,1.277B,2.478B,441.00M,2.037B,,1.48,,,1.48,1.48,,1.47,,,1.47,1.47,,648.90M,655.80M,0.36,,AOR,Restated
2012-10,16.93B,16.93B,11.68B,5.254B,3.704B,,192.00M,,-192.00M,,4.246B,1.008B,,192.00M,-192.00M,156.00M,-192.00M,972.00M,335.00M,637.00M,,,637.00M,637.00M,1.707B,543.00M,1.164B,,0.97,,,0.97,0.97,,0.96,,,0.96,0.96,,654.80M,662.20M,0.36,,AOR,Restated
2012-07,16.78B,16.78B,11.40B,5.374B,3.588B,,184.00M,,-184.00M,,4.119B,1.255B,,184.00M,-184.00M,,-184.00M,1.071B,367.00M,704.00M,,,704.00M,704.00M,1.786B,531.00M,1.255B,,1.07,,,1.07,1.07,,1.06,,,1.06,1.06,,656.70M,662.90M,0.30,,AOR,Restated
2012-04,16.87B,16.87B,11.66B,5.206B,3.392B,,184.00M,,-184.00M,,3.921B,1.285B,,184.00M,-184.00M,,-184.00M,1.101B,404.00M,697.00M,,,697.00M,697.00M,1.814B,529.00M,1.285B,,1.05,,,1.05,1.05,,1.04,,,1.04,1.04,,666.30M,672.40M,0.30,,AOR,Restated
