,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-09,21.05B,21.05B,,7.438B,7.438B,419.00M,,,7.857B,3.00M,10.66B,7.51B,2.48B,5.03B,,-93.00M,220.00M,4.937B,4.937B,699.00M,8.773B,0.89,,,0.89,0.89,0.88,,,0.88,0.88,5.288B,5.356B,0.22
2012-06,21.05B,21.05B,,7.441B,7.441B,418.00M,,,7.859B,-61.00M,11.04B,7.092B,2.371B,4.721B,,-99.00M,219.00M,4.622B,4.622B,735.00M,8.409B,0.83,,,0.83,0.83,0.82,,,0.82,0.82,5.307B,5.370B,0.22
2012-03,21.27B,21.27B,,7.983B,7.983B,419.00M,,,8.402B,-7.00M,10.89B,6.648B,2.328B,4.32B,,-72.00M,226.00M,4.248B,4.248B,649.00M,8.015B,0.76,,,0.76,0.76,0.75,,,0.75,0.75,5.283B,5.338B,0.12
2011-12,20.54B,20.54B,,13.89B,7.283B,467.00M,,,7.75B,48.00M,10.89B,6.057B,1.874B,4.183B,,-76.00M,219.00M,4.107B,4.107B,725.00M,7.543B,0.74,,,0.74,0.74,0.73,,,0.73,0.73,5.272B,5.317B,0.12
2011-09,19.28B,19.28B,2.088B,4.83B,6.918B,466.00M,,,7.384B,300.00M,10.54B,6.14B,1.998B,4.142B,,-87.00M,216.00M,4.055B,3.863B,515.00M,7.776B,0.73,0.0,,0.6937,0.73,0.72,0.0,,0.684,0.72,5.276B,5.319B,0.12
2011-06,19.66B,19.66B,2.171B,5.063B,7.234B,464.00M,,,7.698B,-128.00M,10.68B,6.073B,2.001B,4.072B,,-124.00M,220.00M,3.948B,3.879B,491.00M,7.779B,0.7,0.0,,0.6869,0.7,0.7,0.0,,0.687,0.7,5.286B,5.332B,0.12
2011-03,19.98B,19.98B,2.347B,5.151B,7.498B,483.00M,,,7.981B,-166.00M,10.65B,5.386B,1.572B,3.814B,,-55.00M,189.00M,3.759B,3.704B,477.00M,7.207B,0.68,0.0,,0.6697,0.68,0.67,0.0,,0.6598,0.67,5.279B,5.333B,0.05
2010-12,21.18B,21.18B,2.195B,5.006B,7.201B,549.00M,,,7.75B,-1.384B,11.06B,5.165B,1.672B,3.493B,,-79.00M,182.00M,3.414B,3.361B,422.00M,7.071B,0.62,0.0,,0.6098,0.62,0.61,0.0,,0.5999,0.61,5.256B,5.294B,0.05
2010-09,20.74B,20.74B,2.28B,4.852B,7.132B,548.00M,,,7.68B,356.00M,11.10B,5.176B,1.751B,3.425B,,-86.00M,189.00M,3.339B,3.192B,167.00M,7.208B,0.6,0.0,,0.572,0.6,0.6,0.0,,0.5721,0.6,5.240B,5.273B,0.05
2010-06,21.11B,21.11B,2.225B,4.922B,7.147B,553.00M,,,7.70B,30.00M,11.45B,4.659B,1.514B,3.145B,,-83.00M,184.00M,3.062B,2.840B,622.00M,6.682B,0.55,0.0,,0.5075,0.55,0.55,0.0,,0.5078,0.55,5.220B,5.261B,0.05
2010-03,21.40B,21.40B,1.992B,4.937B,6.929B,549.00M,,,7.478B,28.00M,11.15B,4.001B,1.401B,2.60B,,-53.00M,175.00M,2.547B,2.427B,713.00M,6.079B,0.46,0.0,,0.4368,0.46,0.45,0.0,,0.427,0.45,5.190B,5.225B,0.05
2009-12,22.42B,22.42B,2.086B,4.649B,6.735B,,,,6.735B,110.00M,11.50B,3.962B,949.00M,3.013B,,-190.00M,,2.823B,2.823B,404.00M,6.154B,0.06,0.0,,0.06,0.06,0.06,0.0,,0.06,0.06,4.767B,4.795B,0.05
2009-09,22.44B,22.44B,2.051B,4.462B,6.513B,,,,6.513B,-40.00M,11.68B,4.671B,1.355B,3.316B,,-81.00M,,3.235B,3.235B,897.00M,6.955B,0.56,0.0,,0.56,0.56,0.56,0.0,,0.56,0.56,4.678B,4.706B,0.05
2009-06,22.47B,22.47B,2.06B,4.665B,6.725B,,,,6.725B,-78.00M,11.76B,4.724B,1.475B,3.249B,,-77.00M,597.00M,3.172B,3.172B,559.00M,7.261B,0.58,0.0,,0.58,0.58,0.57,0.0,,0.57,0.57,4.483B,4.502B,0.05
2009-03,21.17B,21.17B,1.824B,4.67B,6.494B,,,,6.494B,-119.00M,11.38B,4.641B,1.552B,3.089B,,-44.00M,661.00M,3.045B,3.045B,981.00M,7.578B,0.56,0.0,,0.56,0.56,0.56,0.0,,0.56,0.56,4.247B,4.249B,0.34
2008-12,10.08B,10.08B,671.00M,2.506B,3.177B,,,,3.177B,721.00M,6.724B,-4.777B,-2.036B,-2.741B,,7.00M,,-2.734B,-2.734B,515.00M,-2.773B,-0.93,0.0,,-0.93,-0.93,-0.93,0.0,,-0.93,-0.93,3.584B,3.595B,0.34
2008-09,10.89B,10.89B,555.00M,2.564B,3.119B,,,,3.119B,84.00M,6.381B,2.381B,730.00M,1.651B,,-14.00M,,1.637B,1.637B,406.00M,4.774B,0.49,0.0,,0.49,0.49,0.49,0.0,,0.49,0.49,3.316B,3.331B,0.34
2008-06,11.41B,11.41B,806.00M,2.623B,3.429B,,,,3.429B,-91.00M,6.278B,2.603B,834.00M,1.769B,,-16.00M,,1.753B,1.753B,380.00M,4.872B,0.53,0.0,,0.53,0.53,0.53,0.0,,0.53,0.53,3.310B,3.321B,0.31
2008-03,10.25B,10.25B,644.00M,2.571B,3.215B,,,,3.215B,323.00M,5.76B,3.093B,1.074B,2.019B,,-20.00M,,1.999B,1.999B,368.00M,6.182B,0.61,0.0,,0.61,0.61,0.6,0.0,,0.6,0.6,3.302B,3.318B,0.31
2007-12,10.20B,10.20B,,3.453B,3.453B,,,,3.453B,282.00M,5.488B,1.523B,272.00M,1.251B,,,,1.251B,1.251B,391.00M,5.277B,0.38,0.0,,0.38,0.38,0.37,0.0,,0.37,0.37,3.328B,3.352B,0.31
2007-09,9.853B,9.853B,,3.253B,3.253B,,,,3.253B,333.00M,5.28B,3.46B,1.177B,2.283B,,,,2.283B,2.283B,377.00M,7.403B,0.69,0.0,,0.69,0.69,0.68,0.0,,0.68,0.68,3.340B,3.374B,0.31
2007-06,9.891B,9.891B,,3.388B,3.388B,,,,3.388B,200.00M,5.196B,3.444B,1.165B,2.279B,,,,2.279B,2.279B,382.00M,6.821B,0.68,0.0,,0.68,0.68,0.67,0.0,,0.67,0.67,3.351B,3.389B,0.28
2007-03,9.441B,9.441B,,3.274B,3.274B,,,,3.274B,128.00M,5.01B,3.20B,956.00M,2.244B,,,,2.244B,2.244B,382.00M,6.329B,0.66,0.0,,0.66,0.66,0.66,0.0,,0.66,0.66,3.376B,3.416B,0.28
2006-12,9.413B,9.413B,,3.106B,3.106B,,,,3.106B,307.00M,5.05B,3.181B,1.062B,2.119B,,,,2.119B,2.119B,971.00M,6.362B,0.63,0.0,,0.63,0.63,0.62,0.0,,0.62,0.62,3.379B,3.424B,0.28
2006-09,8.934B,8.934B,,2.937B,2.937B,,,,2.937B,280.00M,5.047B,3.24B,1.046B,2.194B,,,,2.194B,2.194B,976.00M,6.592B,0.65,0.0,,0.65,0.65,0.64,0.0,,0.64,0.64,3.372B,3.416B,0.28
2006-06,8.789B,8.789B,,2.955B,2.955B,,,,2.955B,-23.00M,4.984B,3.181B,1.092B,2.089B,,,,2.089B,2.089B,734.00M,6.274B,0.62,0.0,,0.62,0.62,0.615,0.0,,0.615,0.615,3.364B,3.404B,0.26
2006-03,8.555B,8.555B,,2.929B,2.929B,,,,2.929B,155.00M,4.87B,3.048B,1.03B,2.018B,,,,2.018B,2.018B,540.00M,5.71B,0.6,0.0,,0.6,0.6,0.6,0.0,,0.6,0.6,3.358B,3.396B,0.26
2005-12,8.492B,8.492B,,2.704B,2.704B,,,,2.704B,-31.00M,4.839B,2.906B,976.00M,1.93B,,,,1.93B,1.93B,1.159B,5.311B,0.57,0.0,,0.57,0.57,0.57,0.0,,0.57,0.57,3.351B,3.388B,0.26
2005-09,8.503B,8.503B,,2.714B,2.714B,,,,2.714B,115.00M,4.676B,2.973B,998.00M,1.975B,,,,1.975B,1.975B,1.00B,4.942B,0.585,0.0,,0.585,0.585,0.58,0.0,,0.58,0.58,3.374B,3.411B,0.26
2005-06,7.865B,7.865B,,2.545B,2.545B,,,,2.545B,240.00M,4.536B,2.857B,947.00M,1.91B,,,,1.91B,1.91B,949.00M,4.521B,0.57,0.0,,0.57,0.57,0.56,0.0,,0.56,0.56,3.375B,3.414B,0.24
2005-03,8.089B,8.089B,,2.492B,2.492B,,,,2.492B,67.00M,4.453B,2.812B,956.00M,1.856B,,,,1.856B,1.856B,1.053B,4.232B,0.545,0.0,,0.545,0.545,0.54,0.0,,0.54,0.54,3.391B,3.431B,0.24
2004-12,8.168B,8.168B,,2.415B,2.415B,,,,2.415B,173.00M,4.456B,2.732B,947.00M,1.785B,,,,1.785B,1.785B,930.00M,3.911B,0.53,0.0,,0.53,0.53,0.52,0.0,,0.52,0.52,3.385B,3.431B,0.24
2004-09,7.318B,7.318B,,2.222B,2.222B,,,,2.222B,58.00M,4.418B,2.69B,942.00M,1.748B,,,,1.748B,1.748B,849.00M,3.677B,0.515,0.0,,0.515,0.515,0.51,0.0,,0.51,0.51,3.378B,3.417B,0.24
2004-06,7.426B,7.426B,,2.127B,2.127B,,,,2.127B,20.00M,4.226B,2.633B,919.00M,1.714B,,,,1.714B,1.714B,804.00M,3.476B,0.51,0.0,,0.51,0.51,0.5,0.0,,0.5,0.5,3.376B,3.417B,0.225
2004-03,7.147B,7.147B,,2.16B,2.16B,,,,2.16B,128.00M,4.05B,2.714B,947.00M,1.767B,,,,1.767B,1.767B,866.00M,3.522B,0.52,0.0,,0.52,0.52,0.515,0.0,,0.515,0.515,3.399B,3.442B,0.225
2003-12,7.443B,7.443B,,2.251B,2.251B,,,,2.251B,130.00M,4.042B,2.479B,855.00M,1.624B,,,0.00,1.624B,1.624B,790.00M,3.292B,0.48,0.0,,0.48,0.48,0.475,0.0,,0.475,0.475,3.381B,3.424B,0.225
2003-09,7.333B,7.333B,,2.18B,2.18B,,,,2.18B,35.00M,4.142B,2.332B,771.00M,1.561B,,,1.00M,1.561B,1.561B,917.00M,3.169B,0.465,0.0,,0.465,0.465,0.46,0.0,,0.46,0.46,3.354B,3.388B,0.225
2003-06,6.93B,6.93B,,2.008B,2.008B,,,,2.008B,-27.00M,3.973B,2.351B,826.00M,1.525B,,,1.00M,1.525B,1.525B,1.348B,3.233B,0.455,0.0,,0.455,0.455,0.45,0.0,,0.45,0.45,3.351B,3.381B,0.15
2003-03,6.682B,6.682B,,2.007B,2.007B,,,,2.007B,-80.00M,3.849B,2.314B,822.00M,1.492B,,,1.00M,1.492B,1.492B,1.25B,3.193B,0.445,0.0,,0.445,0.445,0.44,0.0,,0.44,0.44,3.363B,3.388B,0.15
2002-12,7.236B,7.236B,,2.918B,2.918B,,,,2.918B,-236.00M,3.493B,2.275B,809.00M,1.466B,0.00,,1.00M,1.466B,1.466B,2.52B,3.235B,0.43,0.0,0.0,0.43,0.43,0.43,0.0,-0.0002,0.43,0.43,3.381B,3.408B,0.14
2002-09,6.04B,6.04B,,1.86B,1.86B,,,,1.86B,121.00M,3.695B,2.238B,794.00M,1.444B,,,1.00M,1.444B,1.542B,699.00M,3.242B,0.425,0.0,,0.4538,0.425,0.42,0.0,,0.4485,0.42,3.401B,3.436B,0.14
2002-06,6.017B,6.017B,,1.832B,1.832B,,,,1.832B,45.00M,3.639B,2.202B,782.00M,1.42B,,,1.00M,1.42B,1.457B,143.00M,3.19B,0.415,0.0,,0.4259,0.415,0.41,0.0,,0.4208,0.41,3.421B,3.462B,0.14
2002-03,5.956B,5.956B,,1.762B,1.762B,,,,1.762B,37.00M,3.655B,2.138B,759.00M,1.379B,-276.00M,,1.00M,1.103B,1.391B,935.00M,3.164B,0.405,-0.08,0.0,0.4086,0.325,0.4,-0.08,-0.081,0.4036,0.32,3.406B,3.438B,0.13
2001-12,6.71B,6.71B,,1.646B,1.646B,,,,1.646B,-1.531B,2.948B,1.87B,701.00M,1.169B,,,5.00M,1.169B,1.169B,1.853B,3.127B,0.345,0.0,,0.345,0.345,0.34,0.0,,0.34,0.34,3.373B,3.398B,0.13
2001-09,5.484B,5.484B,,1.558B,1.558B,,,,1.558B,165.00M,3.201B,1.842B,678.00M,1.164B,,,,1.164B,1.242B,730.00M,3.457B,0.34,0.0,,0.3629,0.34,0.335,0.0,,0.3577,0.335,3.421B,3.454B,0.13
2001-06,3.553B,3.553B,,1.519B,1.519B,,,,1.519B,27.00M,3.008B,-129.00M,-42.00M,-87.00M,,,,-87.00M,915.86M,800.00M,1.679B,-0.025,0.0,,0.2674,-0.025,-0.025,0.0,,0.2674,-0.025,3.430B,3.430B,0.12
2001-03,5.234B,5.234B,,1.459B,1.459B,,,,1.459B,117.00M,2.82B,1.877B,712.00M,1.165B,,,4.00M,1.165B,1.154B,481.00M,3.938B,0.34,0.0,,0.3369,0.34,0.335,0.0,,0.332,0.335,3.432B,3.477B,0.12
2000-12,5.405B,5.405B,,1.39B,1.39B,,,,1.39B,242.00M,2.794B,1.835B,707.00M,1.128B,,,8.00M,1.128B,888.26M,584.00M,3.975B,0.325,0.0,,0.2634,0.325,0.32,0.0,,0.2596,0.32,3.892B,3.967B,0.12
2000-09,4.83B,4.83B,,1.457B,1.457B,,,,1.457B,-341.00M,2.775B,1.381B,560.00M,821.00M,,,,821.00M,500.00M,456.00M,3.476B,0.24,0.0,,0.142,0.24,0.235,0.0,,0.1381,0.235,3.275B,3.314B,0.11
2000-06,4.562B,4.562B,,1.219B,1.219B,,,,1.219B,-39.00M,2.47B,1.676B,637.00M,1.039B,,,4.00M,1.039B,840.62M,329.00M,3.313B,0.32,0.0,,0.2585,0.32,0.315,0.0,,0.2542,0.315,3.226B,3.264B,0.11
2000-03,4.675B,4.675B,,1.304B,1.304B,,,,1.304B,-601.00M,2.632B,1.663B,623.00M,1.04B,,,4.00M,1.04B,486.54M,421.00M,3.409B,0.305,0.0,,0.1419,0.305,0.305,0.0,,0.1433,0.305,3.393B,3.423B,0.11
1999-12,5.782B,5.782B,,1.583B,1.583B,,,,1.583B,-247.00M,3.157B,1.935B,700.00M,1.235B,,,9.00M,1.235B,774.83M,479.00M,4.087B,0.325,0.0,,0.2045,0.325,0.32,0.0,,0.2016,0.32,3.820B,3.886B,0.1
1999-09,4.191B,4.191B,,1.108B,1.108B,,,,1.108B,-2.00M,2.382B,1.533B,571.00M,962.00M,,,9.00M,962.00M,860.34M,456.00M,2.792B,0.29,0.0,,0.2592,0.29,0.285,0.0,,0.2545,0.285,3.297B,3.334B,0.1
1999-06,4.125B,4.125B,,1.102B,1.102B,,,,1.102B,23.00M,2.311B,1.501B,570.00M,931.00M,,,9.00M,931.00M,922.94M,737.00M,2.686B,0.28,0.0,,0.2776,0.28,0.275,0.0,,0.2726,0.275,3.303B,3.345B,0.1
1999-03,3.993B,3.993B,,1.058B,1.058B,,,,1.058B,-2.00M,2.266B,1.381B,497.00M,884.00M,,,9.00M,884.00M,812.31M,299.00M,2.603B,0.265,0.0,,0.2432,0.265,0.265,0.0,,0.2435,0.265,3.294B,3.328B,0.0925
1998-12,3.858B,3.858B,,1.292B,1.292B,,,,1.292B,8.00M,2.301B,-248.00M,-54.00M,-194.00M,,,9.00M,-194.00M,-191.65M,522.00M,1.048B,-0.0617,,,-0.061,-0.0617,-0.0617,,,-0.061,-0.0617,3.288B,3.288B,0.0925
1998-09,3.884B,3.884B,,1.061B,1.061B,,,,1.061B,76.00M,2.263B,1.23B,488.00M,742.00M,,,9.00M,742.00M,739.59M,609.00M,2.495B,0.225,0.0,,0.2234,0.225,0.225,0.0,,0.2234,0.225,1.512B,1.544B,0.0925
1998-06,3.947B,3.947B,,1.054B,1.054B,,,,1.054B,66.00M,2.232B,1.186B,467.00M,719.00M,,,9.00M,719.00M,686.87M,571.00M,2.444B,0.22,0.0,,0.1988,0.22,0.215,0.0,,0.1942,0.215,1.514B,1.546B,0.0825
