,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,18.14B,202.40B,271.66B,474.05B,43.15B,,43.15B,602.21B,,,,18.21B,,18.21B,,18.21B,26.44B,17.80B,44.24B,968.83B,10.37B,,958.46B,531.90B,1.564T,1.915T,73.40B,73.40B,0.00,16.29B,16.29B,16.29B,170.60B,227.30B,,227.30B,1.304T,7.883B,958.00M,1.539T,1.709T,35.36B,147.93B,60.40B,31.25B,26.23B,,,-4.921B,204.95B
2017-12,23.37B,215.95B,276.41B,492.35B,44.82B,,44.82B,629.42B,1.799B,8.865B,7.089B,9.769B,2.291B,29.81B,-11.30B,18.51B,26.59B,16.66B,43.25B,977.97B,11.00B,,966.97B,535.86B,1.578T,1.952T,70.62B,70.62B,,14.57B,14.57B,14.57B,173.87B,224.98B,39.00M,225.02B,1.336T,8.796B,1.143B,1.570T,1.744T,34.49B,145.26B,60.89B,29.89B,25.36B,,,-2.144B,206.94B
2017-09,19.21B,19.21B,272.21B,291.42B,43.86B,,43.86B,620.96B,,,,18.12B,,18.12B,,18.12B,26.58B,16.64B,43.22B,972.04B,11.08B,,960.96B,531.11B,1.566T,1.935T,79.21B,79.21B,0.00,13.99B,13.99B,13.99B,173.02B,238.89B,,238.89B,1.307T,9.497B,895.00M,1.555T,1.728T,34.71B,141.76B,60.76B,27.77B,25.58B,,,-1.627B,205.93B
2017-06,20.25B,20.25B,269.20B,289.45B,47.25B,,47.25B,614.68B,,,,18.12B,,18.12B,,18.12B,26.57B,16.32B,42.89B,982.39B,11.07B,,971.31B,520.62B,1.565T,1.931T,73.04B,73.04B,11.00M,16.66B,16.67B,16.67B,168.39B,238.87B,,238.87B,1.306T,11.64B,915.00M,1.556T,1.725T,34.92B,139.52B,60.69B,25.68B,25.78B,,,-2.11B,205.23B
2017-03,19.70B,19.70B,299.53B,319.23B,37.06B,,37.06B,677.60B,,,,18.16B,,18.16B,,18.16B,26.67B,17.04B,43.71B,976.48B,11.17B,,965.31B,515.32B,1.553T,1.952T,59.83B,59.83B,10.00M,18.50B,18.50B,18.50B,154.70B,256.47B,,256.47B,1.325T,12.46B,989.00M,1.594T,1.749T,34.64B,136.03B,60.58B,24.03B,25.50B,,,-3.178B,201.50B
2016-12,20.73B,20.73B,308.36B,329.09B,36.40B,,36.40B,646.02B,1.726B,8.584B,6.606B,10.16B,2.199B,29.27B,-10.85B,18.42B,26.69B,17.07B,43.77B,993.99B,11.42B,,982.57B,509.72B,1.572T,1.930T,57.19B,57.19B,120.00M,18.54B,18.66B,18.66B,153.97B,255.07B,7.00M,255.08B,1.306T,14.49B,916.00M,1.576T,1.730T,33.69B,133.08B,60.23B,22.71B,24.55B,,,-3.137B,199.58B
2016-09,19.29B,19.29B,291.59B,310.88B,36.53B,,36.53B,645.73B,,,,18.58B,,18.58B,,18.58B,26.69B,14.78B,41.46B,988.93B,11.58B,,977.35B,503.11B,1.567T,1.942T,82.77B,82.77B,123.00M,16.08B,16.20B,16.20B,207.44B,254.84B,,254.84B,1.276T,,930.00M,1.531T,1.738T,33.73B,130.29B,60.68B,22.25B,24.59B,,,2.184B,203.03B
2016-06,20.41B,20.41B,253.01B,273.41B,40.30B,,40.30B,609.23B,,,,18.57B,,18.57B,,18.57B,26.96B,15.09B,42.05B,981.31B,11.66B,,969.64B,458.62B,1.512T,1.889T,76.92B,76.92B,154.00M,15.29B,15.45B,15.45B,197.17B,243.93B,,243.93B,1.245T,,916.00M,1.489T,1.687T,33.97B,127.08B,60.69B,21.07B,24.83B,,,2.948B,201.74B
2016-03,19.08B,19.08B,255.55B,274.64B,40.78B,,40.78B,615.96B,,,,18.61B,,18.61B,,18.61B,27.00B,16.49B,43.50B,965.58B,11.62B,,953.96B,432.57B,1.468T,1.849T,73.60B,73.60B,519.00M,14.31B,14.83B,14.83B,181.30B,227.89B,,227.89B,1.241T,,1.008B,1.469T,1.651T,33.19B,123.89B,60.60B,19.69B,24.05B,,,1.774B,197.50B
2015-12,19.11B,19.11B,267.36B,286.47B,31.32B,,31.32B,605.57B,1.743B,8.479B,7.289B,3.861B,2.131B,23.50B,-11.02B,12.49B,25.53B,16.88B,42.40B,936.44B,11.54B,,924.90B,436.12B,1.429T,1.788T,59.44B,59.44B,334.00M,14.25B,14.58B,14.58B,156.97B,199.53B,8.00M,199.54B,1.223T,13.92B,893.00M,1.437T,1.594T,31.35B,120.87B,60.71B,18.87B,22.21B,,,297.00M,193.00B
2015-09,17.40B,17.40B,266.41B,283.80B,32.68B,,32.68B,571.30B,,,,12.25B,,12.25B,,12.25B,25.68B,16.52B,42.20B,925.50B,11.66B,,913.84B,441.30B,1.425T,1.751T,81.70B,81.70B,393.00M,13.02B,13.42B,13.42B,169.77B,185.27B,,185.27B,1.202T,,992.00M,1.387T,1.557T,31.56B,117.59B,61.00B,17.90B,22.42B,,,2.389B,193.05B
2015-06,19.69B,19.69B,260.67B,280.35B,29.00B,,29.00B,541.60B,,,,12.00B,,12.00B,,12.00B,25.70B,17.72B,43.42B,914.53B,11.75B,,902.77B,443.30B,1.418T,1.721T,81.40B,81.40B,621.00M,10.90B,11.52B,11.52B,164.36B,179.75B,,179.75B,1.186T,,1.118B,1.366T,1.530T,30.78B,114.09B,60.15B,15.71B,21.65B,,,2.068B,189.56B
2015-03,19.79B,19.79B,257.60B,277.40B,35.70B,,35.70B,604.41B,,,,11.97B,,11.97B,,11.97B,25.70B,17.10B,42.80B,885.52B,12.18B,,873.34B,426.06B,1.369T,1.738T,90.12B,90.12B,3.552B,9.745B,13.30B,13.30B,167.82B,183.29B,,183.29B,1.197T,,1.168B,1.380T,1.548T,31.13B,110.68B,59.98B,14.56B,22.00B,,,3.777B,188.80B
2014-12,19.57B,19.57B,257.44B,277.01B,32.02B,,32.02B,567.46B,1.748B,8.155B,7.215B,2.793B,2.009B,21.92B,-10.46B,11.46B,25.70B,18.40B,44.10B,882.81B,12.32B,,870.49B,413.14B,1.355T,1.687T,86.12B,86.12B,2.456B,10.01B,12.47B,12.47B,149.64B,183.93B,9.00M,183.94B,1.168T,,868.00M,1.352T,1.502T,28.35B,107.04B,60.54B,13.69B,19.21B,,,3.518B,184.39B
2014-09,18.03B,18.03B,248.25B,266.28B,31.62B,,31.62B,559.84B,,,,11.27B,,11.27B,,11.27B,25.70B,19.99B,45.69B,868.35B,12.68B,,855.67B,377.65B,1.302T,1.637T,75.73B,75.73B,4.365B,10.40B,14.76B,14.76B,138.65B,184.59B,,184.59B,1.131T,,509.00M,1.315T,1.454T,28.52B,103.49B,60.10B,11.21B,19.38B,,,3.118B,182.48B
2014-06,20.64B,20.64B,248.96B,269.60B,27.64B,,27.64B,535.96B,,,,11.39B,,11.39B,,11.39B,25.70B,20.17B,45.87B,859.77B,13.10B,,846.67B,371.23B,1.289T,1.599T,69.02B,69.02B,4.261B,12.21B,16.47B,16.47B,130.87B,167.88B,,167.88B,1.119T,,690.00M,1.286T,1.417T,27.88B,99.93B,59.93B,9.271B,18.75B,,,4.117B,180.86B
2014-03,19.73B,19.73B,252.66B,272.40B,27.25B,,27.25B,522.43B,,,,11.16B,,11.16B,,11.16B,25.64B,21.59B,47.22B,842.77B,13.70B,,829.07B,354.84B,1.254T,1.547T,65.18B,65.18B,6.07B,11.74B,17.81B,17.81B,122.24B,153.42B,,153.42B,1.095T,,815.00M,1.248T,1.370T,26.32B,96.37B,60.62B,8.206B,17.18B,,,2.752B,175.65B
2013-12,19.92B,19.92B,252.01B,271.93B,26.44B,,26.44B,512.16B,1.759B,7.931B,7.517B,2.129B,1.939B,21.28B,-10.07B,11.20B,25.64B,22.57B,48.20B,839.18B,14.50B,,824.68B,347.52B,1.240T,1.524T,66.44B,66.44B,5.162B,12.46B,17.62B,17.62B,120.32B,152.99B,11.00M,153.00B,1.079T,,866.00M,1.232T,1.352T,25.40B,92.36B,60.30B,8.104B,16.27B,,,1.386B,170.14B
2013-09,18.93B,18.93B,259.40B,278.33B,32.94B,,32.94B,493.30B,,,,11.10B,,11.10B,,11.10B,25.64B,21.84B,47.48B,837.92B,15.16B,,822.76B,339.34B,1.231T,1.488T,72.31B,72.31B,16.97B,,16.97B,16.97B,126.16B,151.21B,,151.21B,1.042T,,1.648B,1.193T,1.319T,24.68B,88.62B,60.19B,7.29B,15.55B,,,2.289B,167.16B
2013-06,17.94B,17.94B,249.44B,267.38B,31.04B,,31.04B,447.08B,,,,11.20B,,11.20B,,11.20B,25.64B,21.87B,47.51B,840.95B,16.14B,,824.80B,325.84B,1.221T,1.441T,74.84B,74.84B,18.50B,,18.50B,18.50B,131.83B,123.38B,,123.38B,1.022T,,1.356B,1.145T,1.277T,23.12B,84.92B,59.94B,5.858B,13.99B,,,1.797B,162.42B
2013-03,16.22B,16.22B,248.16B,264.38B,29.38B,,29.38B,437.57B,,,,11.25B,,11.25B,,11.25B,25.64B,20.13B,45.77B,846.86B,16.71B,,830.15B,328.61B,1.225T,1.437T,75.62B,75.62B,22.26B,,22.26B,22.26B,136.32B,126.19B,,126.19B,1.011T,,1.309B,1.137T,1.273T,23.55B,81.26B,60.14B,6.036B,14.41B,,,5.145B,162.09B
2012-12,21.86B,21.86B,235.20B,257.06B,30.83B,,30.83B,425.21B,1.832B,7.67B,7.194B,2.123B,1.839B,20.66B,-9.229B,11.43B,25.64B,19.96B,45.60B,846.83B,17.06B,,829.77B,310.40B,1.210T,1.423T,76.67B,76.67B,4.038B,18.16B,22.20B,22.20B,133.84B,127.37B,12.00M,127.38B,1.003T,,1.357B,1.130T,1.264T,22.02B,77.68B,59.80B,6.61B,12.88B,,,5.65B,157.55B
2012-09,,16.99B,,16.99B,,,,117.43B,,,,,,,,9.165B,25.64B,12.10B,37.74B,833.26B,17.38B,,815.88B,289.94B,1.257T,1.375T,83.66B,83.66B,,51.96B,51.96B,51.96B,135.62B,130.80B,,130.80B,952.24B,,1.38B,1.083T,1.219T,21.39B,73.99B,59.09B,5.186B,12.28B,,,6.435B,154.68B
2012-06,,16.81B,,16.81B,,,,91.45B,,,,,,,,9.317B,25.41B,13.21B,38.62B,826.51B,18.32B,,808.19B,291.26B,1.245T,1.336T,76.83B,76.83B,,56.02B,56.02B,56.02B,132.85B,124.98B,,124.98B,928.93B,,1.367B,1.054T,1.187T,20.75B,70.46B,58.09B,4.638B,11.69B,,,4.629B,148.07B
2012-03,,17.00B,,17.00B,,,,91.14B,,,,,,,,9.291B,25.14B,14.65B,39.79B,810.93B,18.85B,,792.08B,305.96B,1.243T,1.334T,75.97B,75.97B,,50.96B,50.96B,50.96B,126.93B,129.75B,,129.75B,930.27B,,1.333B,1.060T,1.187T,21.11B,67.24B,57.57B,2.958B,12.10B,,,4.216B,145.52B
2011-12,19.44B,19.44B,222.61B,242.05B,31.24B,,31.24B,317.66B,1.825B,7.441B,7.195B,1.972B,1.725B,20.16B,-8.802B,11.36B,25.12B,22.96B,48.08B,819.33B,19.37B,,799.95B,317.24B,1.194T,1.314T,77.66B,77.66B,18.05B,,18.05B,18.05B,126.76B,125.24B,116.00M,125.35B,920.07B,,1.446B,1.045T,1.172T,20.36B,64.38B,55.96B,2.744B,11.43B,,,3.207B,140.24B
2011-09,,18.31B,,18.31B,,,,108.12B,,,,,,,,9.607B,25.04B,13.77B,38.81B,803.55B,20.04B,,783.51B,264.96B,1.197T,1.305T,86.28B,86.28B,,50.78B,50.78B,50.78B,137.06B,133.21B,,133.21B,895.43B,,1.476B,1.029T,1.166T,20.47B,61.14B,55.50B,2.087B,11.57B,,,3.828B,137.77B
2011-06,,24.06B,,24.06B,,,,112.46B,,,,,,,,9.613B,24.78B,16.20B,40.98B,784.69B,20.89B,,763.79B,241.07B,1.147T,1.260T,71.43B,71.43B,,53.88B,53.88B,53.88B,125.31B,142.87B,,142.87B,853.64B,,1.515B,996.51B,1.122T,20.61B,57.94B,55.23B,1.546B,11.73B,,,5.422B,136.40B
2011-03,,16.98B,,16.98B,,,,110.02B,,,,,,,,9.545B,24.78B,17.07B,41.85B,785.70B,21.98B,,763.72B,225.80B,1.135T,1.245T,68.72B,68.72B,,54.74B,54.74B,54.74B,123.46B,148.60B,,148.60B,837.66B,,1.472B,986.26B,1.110T,20.75B,54.86B,54.82B,541.00M,11.90B,,,5.021B,133.47B
2010-12,,16.04B,,16.04B,28.66B,229.00M,28.89B,125.57B,1.825B,7.44B,6.837B,,1.683B,17.78B,-8.141B,9.644B,24.77B,26.64B,51.41B,810.32B,23.02B,,787.30B,240.49B,1.107T,1.258T,69.91B,69.91B,,55.40B,55.40B,55.40B,125.31B,156.98B,,156.98B,847.94B,,1.481B,1.005T,1.130T,17.48B,51.92B,53.43B,487.00M,8.689B,,,4.738B,126.41B
2010-09,,16.00B,,16.00B,,,,72.55B,,,,,,,,9.636B,24.83B,13.50B,38.33B,753.66B,23.94B,,729.72B,226.15B,1.148T,1.221T,67.25B,67.25B,,50.72B,50.72B,50.72B,117.96B,163.14B,,163.14B,814.51B,,1.507B,977.66B,1.096T,17.60B,48.95B,52.90B,466.00M,8.84B,,,5.502B,123.66B
2010-06,,17.57B,,17.57B,,,,91.47B,,,,,,,,10.51B,24.82B,14.29B,39.11B,766.26B,24.58B,,741.68B,205.06B,1.134T,1.226T,58.58B,58.58B,,45.19B,45.19B,45.19B,103.77B,185.07B,,185.07B,815.62B,,1.626B,1.001T,1.104T,17.72B,46.13B,52.69B,631.00M,8.98B,,,4.844B,119.77B
2010-03,,16.30B,,16.30B,,,,70.49B,,,,,,,,10.40B,24.82B,16.61B,41.43B,821.31B,25.12B,,796.18B,209.52B,1.153T,1.224T,54.37B,54.37B,,46.33B,46.33B,46.33B,100.70B,199.88B,,199.88B,804.89B,,2.012B,1.005T,1.105T,18.02B,43.64B,53.16B,1.46B,9.276B,,,4.087B,116.14B
2009-12,,27.08B,,27.08B,,,,67.96B,2.14B,8.143B,6.384B,,1.381B,18.05B,-7.312B,10.74B,24.81B,17.12B,41.94B,827.60B,24.52B,,803.08B,215.75B,1.176T,1.244T,62.44B,62.44B,,38.97B,38.97B,38.97B,101.41B,203.86B,,203.86B,824.02B,,2.573B,1.028T,1.129T,17.23B,41.56B,52.88B,2.45B,8.485B,,,3.009B,111.79B
2009-09,,17.23B,,17.23B,,,,34.72B,,,,,,,,11.04B,24.05B,15.66B,39.71B,841.34B,24.03B,,817.31B,227.01B,1.194T,1.229T,57.86B,57.86B,,30.80B,30.80B,30.80B,88.66B,214.29B,,214.29B,796.75B,,6.774B,1.011T,1.100T,39.52B,41.48B,40.34B,2.771B,31.59B,,,4.088B,122.15B
2009-06,,20.63B,,20.63B,,,,36.61B,,,,,,,,11.15B,24.62B,16.90B,41.51B,869.02B,23.04B,,845.98B,246.90B,1.248T,1.284T,64.16B,64.16B,,55.48B,55.48B,55.48B,119.64B,229.42B,,229.42B,813.74B,,6.759B,1.043T,1.163T,39.42B,39.16B,40.27B,3.126B,31.50B,,,-590.00M,114.62B
2009-03,,22.19B,,22.19B,,,,40.81B,,,,,,,,11.22B,23.82B,13.65B,37.47B,888.69B,22.28B,,866.41B,224.96B,1.245T,1.286T,58.83B,58.83B,,72.08B,72.08B,72.08B,130.92B,250.65B,,250.65B,797.27B,,6.762B,1.048T,1.179T,38.68B,36.95B,32.41B,3.593B,31.41B,,,-3.624B,100.30B
2008-12,,23.76B,,23.76B,,,,73.20B,,,,,,,,11.27B,22.63B,16.16B,38.79B,891.15B,21.01B,,870.13B,206.45B,1.236T,1.310T,50.69B,50.69B,,108.07B,108.07B,108.07B,158.76B,267.16B,,267.16B,781.40B,,3.232B,1.049T,1.207T,38.60B,36.54B,36.03B,4.666B,31.33B,,,-6.869B,99.08B
2008-09,,12.86B,,12.86B,2.914B,14.65B,17.56B,41.07B,,,,,,,,5.054B,,,33.53B,430.42B,7.865B,,422.56B,98.19B,581.18B,622.36B,,,,85.19B,85.19B,85.19B,85.19B,107.35B,,107.35B,353.57B,,,460.92B,575.40B,6.413B,40.85B,8.348B,5.207B,625.00M,,,-3.45B,46.96B
2008-06,,13.61B,,13.61B,,,,17.70B,,,,,,,,5.033B,,,13.19B,399.92B,7.375B,,392.54B,101.01B,591.38B,609.07B,,,,86.14B,86.14B,86.14B,86.14B,103.93B,,103.93B,339.12B,,,443.05B,561.11B,6.511B,40.53B,8.266B,5.516B,723.00M,,,-1.831B,47.96B
2008-03,,14.14B,,14.14B,2.835B,14.55B,17.38B,35.84B,,,,,,,,5.056B,,,28.96B,416.85B,5.803B,,411.05B,89.99B,559.31B,595.22B,,,,53.98B,53.98B,53.98B,53.98B,103.18B,,103.18B,358.14B,,,461.32B,547.06B,6.625B,39.90B,8.259B,5.85B,837.00M,,,-771.00M,48.16B
2007-12,,14.76B,,14.76B,2.977B,10.91B,13.89B,31.40B,,,,,,,,5.122B,,,31.09B,409.96B,5.307B,,404.65B,87.61B,543.98B,575.44B,,,,53.26B,53.26B,53.26B,53.26B,99.39B,,99.39B,344.46B,,,443.85B,527.81B,6.238B,38.97B,8.212B,6.035B,450.00M,,,243.00M,47.63B
2007-09,,12.70B,,12.70B,3.016B,16.75B,19.77B,35.90B,,,,,,,,7.528B,,,31.06B,393.63B,3.829B,,389.80B,71.64B,512.74B,548.73B,,,,41.73B,41.73B,41.73B,41.73B,95.59B,,95.59B,334.96B,,,430.55B,500.99B,6.333B,38.82B,8.089B,5.209B,545.00M,,,-292.00M,47.74B
2007-06,,13.17B,,13.17B,2.829B,7.466B,10.30B,27.34B,,,,,,,,4.973B,,,31.52B,378.27B,3.82B,,374.45B,86.00B,512.45B,539.86B,,,,40.84B,40.84B,40.84B,40.84B,93.83B,,93.83B,324.74B,,,418.57B,492.56B,6.425B,37.66B,8.027B,3.898B,637.00M,,,-918.00M,47.30B
2007-03,,12.85B,,12.85B,2.581B,4.781B,7.362B,23.94B,,,,,,,,4.864B,,,29.81B,358.60B,3.772B,,354.83B,57.82B,461.90B,485.90B,,,,13.18B,13.18B,13.18B,13.18B,90.33B,,90.33B,311.16B,,,401.48B,439.77B,6.528B,36.44B,7.875B,4.204B,740.00M,,,-503.00M,46.14B
2006-12,,15.44B,,15.44B,2.57B,7.522B,10.09B,30.56B,,,,,,,,7.789B,,,29.63B,352.93B,3.764B,,349.17B,54.11B,451.34B,482.00B,,,,12.83B,12.83B,12.83B,12.83B,87.14B,,87.14B,310.24B,,,397.39B,436.12B,6.172B,35.28B,7.739B,3.203B,384.00M,,,-109.00M,45.88B
2006-09,,13.22B,,13.22B,2.544B,7.048B,9.592B,25.58B,,,,,,,,4.645B,,,29.64B,348.02B,3.799B,,344.22B,63.69B,457.72B,483.44B,,,,13.80B,13.80B,13.80B,13.80B,84.09B,,84.09B,314.32B,,,398.41B,438.58B,6.253B,34.08B,7.667B,3.273B,465.00M,,,135.00M,44.86B
2006-06,,14.07B,,14.07B,2.394B,8.178B,10.57B,31.36B,,,,,,,,4.529B,,,27.35B,340.93B,3.851B,,337.08B,82.53B,468.06B,499.52B,,,,13.62B,13.62B,13.62B,13.62B,83.76B,,83.76B,326.45B,,,410.21B,457.62B,3.442B,31.96B,10.46B,3.537B,548.00M,,,-431.00M,41.89B
2006-03,,13.22B,,13.22B,2.296B,14.07B,16.36B,35.91B,,,,,,,,4.493B,,,25.45B,350.83B,3.845B,,346.98B,64.78B,456.43B,492.43B,,,,21.35B,21.35B,21.35B,21.35B,84.50B,,84.50B,308.30B,,,392.80B,450.47B,3.528B,31.75B,10.37B,3.587B,634.00M,,,-103.00M,41.96B
2005-12,,15.40B,,15.40B,2.279B,11.61B,13.88B,35.99B,,,,,,,,4.417B,,,23.79B,351.98B,3.871B,,348.11B,56.43B,445.65B,481.74B,,,,23.89B,23.89B,23.89B,23.89B,79.67B,,79.67B,314.45B,,,394.12B,441.08B,6.113B,30.58B,7.04B,3.39B,325.00M,,,317.00M,40.66B
2005-09,,13.93B,,13.93B,1.983B,3.777B,5.76B,25.55B,,,,,,,,4.223B,,,22.01B,342.94B,3.886B,,339.05B,42.96B,427.81B,453.49B,,,,23.24B,23.24B,23.24B,23.24B,78.59B,,78.59B,289.03B,,,367.62B,413.66B,3.283B,29.64B,9.878B,3.267B,389.00M,,,305.00M,39.84B
2005-06,,13.96B,,13.96B,1.601B,3.401B,5.002B,24.62B,,,,,,,,4.156B,,,19.69B,334.12B,3.775B,,330.35B,42.37B,410.20B,434.98B,,,,17.90B,17.90B,17.90B,17.90B,82.86B,,82.86B,275.01B,,,357.87B,395.70B,3.356B,28.57B,9.862B,2.784B,462.00M,,,277.00M,39.28B
2005-03,,13.47B,,13.47B,1.565B,4.05B,5.615B,23.87B,,,,,,,,3.898B,,,20.19B,331.08B,3.783B,,327.30B,45.35B,411.64B,435.64B,,,,24.45B,24.45B,24.45B,24.45B,76.90B,,76.90B,273.16B,,,350.07B,397.17B,3.429B,27.51B,9.843B,2.428B,535.00M,,,121.00M,38.48B
2004-12,,12.90B,,12.90B,1.483B,1.713B,3.196B,22.83B,,,,,,,,3.85B,,,19.18B,326.05B,3.762B,,322.29B,46.23B,405.02B,427.85B,,,,21.96B,21.96B,21.96B,21.96B,73.58B,,73.58B,274.86B,,,348.44B,389.98B,3.164B,26.48B,9.806B,2.247B,270.00M,,,661.00M,37.87B
