,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,133.00M,,,,,40.50M,33.20M,73.70M,73.70M,-0.60M,,8.80M,,1.00M,-74.70M,-6.90M,-3.00M,,194.20M,109.60M,327.00M,,-43.20M,,-22.20M,0.00,-3.10M,-68.50M,,0.00,-235.00M,-235.00M,,-36.20M,-36.20M,0.00,0.00,17.50M,-0.50M,-254.20M,,142.30M,4.30M,3.20M,149.80M,,,0.00,-235.00M,-36.20M,5.10M,19.30M,,AOR,Restated
2017-12,204.60M,,0.10M,0.10M,0.20M,36.20M,28.20M,64.40M,64.40M,-69.50M,,7.60M,,1.10M,-49.50M,-4.20M,6.80M,,-10.70M,-57.60M,151.40M,,-69.70M,,-204.70M,-0.10M,,-281.60M,,,120.00M,120.00M,,-0.10M,-0.10M,,,9.00M,-0.70M,128.20M,,142.00M,-2.00M,2.30M,142.30M,,,120.00M,0.00,-0.10M,35.70M,45.10M,,AOR,Restated
2017-09,120.70M,,0.00,-0.10M,-0.10M,33.80M,27.40M,61.20M,61.20M,-4.00M,,8.80M,,1.00M,-2.30M,-8.20M,38.30M,,-53.70M,-25.90M,162.30M,,-41.30M,,-587.90M,0.00,,-629.20M,,,475.00M,475.00M,,-10.10M,-10.10M,,,3.60M,-1.40M,467.10M,,140.70M,0.20M,1.10M,142.00M,,,475.00M,,-10.10M,44.90M,14.10M,,AOR,Restated
2017-06,121.00M,,,,,31.80M,23.90M,55.70M,55.70M,0.60M,,8.90M,,1.00M,37.30M,-13.50M,11.70M,,-110.80M,-75.30M,111.90M,,-41.40M,,-46.00M,0.10M,,-87.30M,,,120.00M,120.00M,,-166.80M,-166.80M,,,14.90M,-8.60M,-40.50M,,155.00M,-15.90M,1.60M,140.70M,,,20.00M,100.00M,-166.80M,100.90M,40.90M,,AOR,Restated
2017-03,108.80M,,,,,33.80M,22.30M,56.10M,56.10M,-0.70M,,6.50M,,1.10M,-31.00M,-4.70M,-28.30M,,209.30M,145.30M,317.90M,,-31.10M,,-76.30M,0.00,,-107.40M,,,-100.00M,-100.00M,,-99.30M,-99.30M,,,7.50M,-0.50M,-192.30M,,135.10M,18.20M,1.70M,155.00M,,,,-100.00M,-99.30M,4.80M,13.80M,,AOR,Restated
2016-12,109.30M,3.50M,0.10M,1.70M,3.80M,28.50M,22.10M,50.60M,50.60M,16.50M,,9.30M,,1.00M,-38.30M,-4.10M,4.60M,,-60.50M,-98.30M,93.10M,,-57.90M,,-29.30M,-8.50M,9.60M,-86.10M,,,100.00M,100.00M,,-144.30M,-144.30M,,,8.50M,-0.50M,-36.30M,,164.70M,-29.30M,-0.30M,135.10M,,,0.00,100.00M,-144.30M,67.80M,40.80M,,AOR,Restated
2016-09,127.50M,-0.30M,0.10M,-1.20M,-1.40M,29.40M,22.70M,52.10M,52.10M,-7.80M,,10.50M,,1.50M,11.40M,-15.80M,19.20M,,-98.10M,-83.30M,99.30M,,-36.40M,,-43.40M,8.50M,0.00,-71.30M,,,0.00,0.00,,-66.10M,-66.10M,,,16.30M,-1.60M,-51.40M,,196.40M,-23.40M,-8.30M,164.70M,,,0.00,0.00,-66.10M,71.80M,12.90M,,AOR,Restated
2016-06,261.80M,-269.10M,0.90M,,-268.20M,29.40M,23.80M,53.20M,53.20M,-11.70M,,14.90M,,1.20M,55.20M,-10.70M,19.70M,,-35.00M,29.20M,81.20M,,-31.40M,,713.20M,0.10M,0.00,681.90M,,,-705.00M,-705.00M,,0.00,0.00,,,11.60M,-5.30M,-698.70M,,131.80M,64.40M,0.20M,196.40M,,,,-705.00M,0.00,146.80M,45.40M,,AOR,Restated
2016-03,92.60M,,-0.10M,,-0.10M,38.90M,29.80M,68.70M,68.70M,17.80M,,9.80M,,1.30M,-34.00M,4.10M,-46.10M,,189.30M,113.30M,303.90M,,-30.80M,,0.00,0.10M,-0.60M,-31.30M,,,-165.00M,-165.00M,,-116.40M,-116.40M,,,4.70M,-1.10M,-277.80M,,138.30M,-5.20M,-1.30M,131.80M,,,,-165.00M,-116.40M,2.80M,17.50M,,AOR,Restated
2015-12,113.78M,-0.019M,0.402M,0.189M,1.072M,34.03M,33.30M,67.33M,67.33M,-5.598M,,8.554M,18.21M,1.13M,-54.25M,-4.862M,-7.625M,,5.86M,-60.88M,143.76M,,-60.34M,,-51.15M,-0.016M,,-111.10M,,0.034M,-30.00M,-29.97M,-0.048M,-20.40M,-20.45M,,,7.517M,-19.44M,-62.34M,,168.82M,-29.68M,-0.789M,138.30M,,-0.048M,0.034M,-30.00M,-20.40M,46.63M,49.52M,,AOR,Restated
2015-09,131.81M,0.019M,0.001M,-15.59M,-15.57M,33.50M,18.54M,52.04M,52.04M,8.888M,,9.03M,-9.795M,1.136M,1.67M,-7.085M,26.22M,,-34.50M,-13.70M,164.54M,,-45.67M,,0.00,15.73M,,-29.94M,,0.00,-120.00M,-120.00M,0.00,0.00,0.00,,,13.18M,6.691M,-100.13M,,145.49M,34.47M,-11.14M,168.82M,,0.00,-30.00M,-90.00M,0.00,23.95M,18.61M,,AOR,Restated
2015-06,163.32M,0.00,-0.018M,-85.21M,-85.22M,28.63M,28.81M,57.44M,57.44M,-7.896M,,18.97M,-8.419M,9.439M,44.08M,6.886M,5.776M,,-120.19M,-63.45M,84.51M,,-35.33M,,-2.890B,85.35M,,-2.840B,,1.024B,990.00M,2.014B,720.85M,0.00,720.85M,,,9.767M,-9.16M,2.735B,,152.85M,-20.10M,12.74M,145.49M,,720.85M,2.104B,-90.00M,0.00,84.66M,20.65M,,AOR,Restated
2015-03,98.69M,,0.015M,0.006M,0.021M,24.44M,14.14M,38.58M,38.58M,0.506M,,8.045M,,1.195M,-6.094M,2.861M,-33.17M,,160.23M,123.83M,270.99M,,-24.76M,,-0.405M,-0.06M,,-25.22M,,,-130.00M,-130.00M,,0.00,0.00,,,8.336M,-10.39M,-132.06M,,39.36M,113.71M,-0.22M,152.85M,,,,-130.00M,0.00,3.258M,17.33M,,AOR,Restated
2014-12,97.33M,0.01M,0.49M,-0.178M,0.322M,23.05M,14.27M,37.32M,37.32M,27.95M,,7.664M,-5.935M,0.611M,-30.97M,2.502M,14.86M,,-41.74M,-55.34M,110.76M,,-43.81M,,-31.17M,0.002M,,-74.98M,,0.00,160.00M,160.00M,0.00,-595.41M,-595.41M,,,3.745M,4.196M,-427.47M,,432.49M,-391.68M,-1.513M,39.30M,,0.00,160.00M,0.00,-595.41M,65.04M,16.63M,,AOR,Restated
2014-09,99.02M,0.00,-0.225M,-0.007M,-0.232M,21.95M,14.19M,36.14M,36.14M,0.171M,,9.176M,-10.57M,0.667M,-11.34M,1.491M,24.51M,,-57.83M,-43.17M,91.80M,,-27.23M,,-3.83M,0.049M,,-31.01M,,0.00,0.00,0.00,0.00,-60.97M,-60.97M,,,5.932M,7.839M,-47.20M,,419.45M,13.59M,-0.547M,432.49M,,0.00,0.00,0.00,-60.97M,57.84M,16.56M,,AOR,Restated
2014-06,88.10M,0.00,0.052M,-0.126M,-0.074M,20.72M,14.22M,34.94M,34.94M,0.121M,,9.876M,-6.094M,0.661M,-5.108M,-10.96M,6.212M,,-64.24M,-74.10M,54.01M,,-39.62M,,0.00,0.239M,,-39.38M,,0.00,0.00,0.00,0.00,-33.96M,-33.96M,,,7.119M,4.033M,-22.81M,,427.38M,-8.181M,0.253M,419.45M,,0.00,0.00,0.00,-33.96M,80.03M,17.04M,,AOR,Restated
2014-03,115.56M,-65.41M,0.683M,0.011M,-64.72M,20.78M,14.32M,35.10M,35.10M,-3.64M,,8.884M,,0.661M,-7.078M,-2.632M,-32.89M,,183.80M,141.21M,232.83M,,-36.14M,,151.00M,-4.99M,,109.86M,,,0.00,0.00,,-88.16M,-88.16M,,,7.804M,-1.268M,-81.62M,,165.80M,261.07M,0.507M,427.38M,,,,0.00,-88.16M,2.592M,16.96M,,AOR,Restated
2013-12,87.22M,0.00,0.152M,-0.007M,0.145M,20.55M,14.50M,35.05M,35.05M,38.25M,,8.098M,-28.26M,0.665M,-7.369M,2.341M,21.76M,,-38.73M,-22.00M,120.47M,,-38.06M,107.92M,0.00,0.792M,-1.00M,-38.27M,,-35.00M,0.00,-35.00M,,-116.44M,-116.44M,,,29.04M,26.23M,-96.17M,,180.20M,-13.97M,-0.434M,165.80M,,,,-35.00M,-116.44M,24.64M,17.07M,,AOR,Restated
2013-09,96.44M,0.00,0.048M,-0.001M,0.047M,17.70M,15.39M,33.10M,33.10M,4.881M,,9.607M,-17.76M,1.10M,18.23M,-3.031M,25.10M,,-28.51M,11.79M,139.76M,,-44.41M,-44.41M,0.088M,-0.037M,0.00,-44.36M,,-100.00M,0.00,-100.00M,,-25.38M,-25.38M,,,20.80M,16.52M,-88.06M,,172.59M,7.341M,0.275M,180.20M,,,,-100.00M,-25.38M,31.17M,18.99M,,AOR,Restated
2013-06,84.20M,-0.193M,0.002M,0.10M,-0.091M,16.81M,17.20M,34.01M,34.01M,0.385M,,10.17M,-27.81M,0.715M,4.033M,0.928M,23.37M,,-74.82M,-46.49M,55.43M,,-35.44M,-35.44M,-0.791M,0.841M,0.00,-35.39M,,-45.00M,0.00,-45.00M,,-113.46M,-113.46M,,,18.07M,25.85M,-114.54M,,267.36M,-94.50M,-0.275M,172.59M,,,,-45.00M,-113.46M,70.84M,19.41M,,AOR,Restated
2013-03,80.51M,0.193M,0.426M,,0.619M,15.21M,17.21M,32.42M,32.42M,0.622M,,8.141M,-36.13M,0.681M,-12.78M,-2.624M,-36.21M,,155.71M,104.09M,191.26M,,-28.06M,-28.06M,0.00,0.018M,0.439M,-27.61M,,,-10.00M,-10.00M,,-22.13M,-22.13M,,,12.46M,33.97M,14.30M,,89.82M,177.94M,-0.406M,267.36M,,,,-10.00M,-22.13M,0.189M,19.62M,,AOR,Restated
2012-12,98.30M,,0.509M,-0.006M,0.503M,13.18M,17.36M,30.54M,30.54M,63.79M,,9.023M,-5.616M,0.738M,-3.399M,-6.576M,8.088M,,-48.64M,-50.53M,147.23M,,-18.65M,55.72M,-25.97M,-0.263M,0.00,-44.88M,,0.00,-105.00M,-105.00M,,-34.20M,-34.20M,,,24.82M,3.936M,-110.45M,,97.77M,-8.096M,0.145M,89.82M,,,-105.00M,0.00,-34.20M,-3.501M,19.55M,,AOR,Restated
2012-09,82.91M,,0.067M,0.638M,0.705M,12.71M,15.44M,28.16M,28.16M,0.009M,,8.945M,-23.43M,0.786M,10.63M,2.837M,27.29M,,-5.388M,35.37M,133.56M,,-19.19M,-19.19M,-432.56M,0.086M,0.00,-451.67M,,347.22M,-35.00M,312.22M,,-21.77M,-21.77M,,,10.12M,18.10M,318.67M,,97.20M,0.568M,0.004M,97.77M,,,659.45M,-347.22M,-21.77M,13.28M,14.81M,,AOR,Restated
2012-06,73.33M,,0.028M,0.03M,0.058M,13.09M,12.19M,25.28M,25.28M,-0.186M,,12.46M,-31.62M,0.523M,20.83M,7.17M,-3.158M,,-106.96M,-82.12M,-2.178M,,-19.09M,-19.09M,-0.553M,-0.032M,-0.25M,-19.92M,,0.00,25.00M,25.00M,,-69.51M,-69.51M,,,18.86M,30.31M,4.658M,,114.93M,-17.44M,-0.287M,97.20M,,,25.00M,0.00,-69.51M,36.50M,20.26M,,AOR,Restated
2012-03,74.60M,,-0.007M,-0.33M,-0.337M,11.64M,8.587M,20.23M,20.23M,-0.349M,,7.377M,0.00,0.555M,-34.48M,-2.881M,-20.97M,,145.51M,87.18M,189.61M,,-17.44M,-17.44M,-347.78M,-1.893M,,-367.11M,,,125.00M,125.00M,,-36.79M,-36.79M,,,14.59M,-2.124M,100.67M,,191.60M,-76.83M,0.153M,114.93M,,,125.00M,,-36.79M,1.239M,6.359M,,AOR,Restated
2011-12,80.32M,,0.233M,-0.285M,-0.052M,10.87M,8.663M,19.53M,19.53M,23.40M,-1.206M,17.98M,-47.72M,-8.018M,-1.481M,0.509M,-51.35M,,19.62M,-32.70M,51.97M,,-17.90M,-17.90M,0.00,-0.119M,0.30M,-17.72M,,247.60M,-157.31M,90.29M,,-41.65M,-41.65M,,,14.91M,41.16M,104.71M,,52.85M,138.96M,-0.201M,191.60M,,,235.29M,-145.00M,-41.65M,117.72M,48.16M,,AOR,Restated
2011-09,70.99M,,0.414M,0.086M,0.50M,10.80M,8.797M,19.60M,19.60M,-3.743M,0.452M,4.957M,0.00,3.369M,-7.466M,4.853M,74.44M,,-31.58M,40.26M,136.67M,,-13.75M,-13.75M,0.00,-0.066M,0.00,-13.82M,,-75.00M,69.39M,-5.608M,,-126.10M,-126.10M,,,10.40M,-0.108M,-121.42M,,51.97M,1.431M,-0.555M,52.85M,,,69.39M,-75.00M,-126.10M,-80.92M,-18.00M,,AOR,Restated
2011-06,65.58M,,0.125M,-0.125M,0.00,10.86M,8.877M,19.73M,19.73M,1.818M,0.445M,8.513M,-5.47M,-0.015M,20.50M,-0.192M,-26.31M,,-43.49M,-49.50M,41.51M,,-14.52M,-14.52M,-141.28M,0.172M,-3.50M,-159.13M,,398.96M,-206.14M,192.82M,,-140.44M,-140.44M,,,14.45M,1.292M,68.12M,,101.24M,-49.50M,0.235M,51.97M,,,521.88M,-345.00M,-140.44M,77.57M,8.518M,,AOR,Restated
2011-03,65.88M,,0.096M,-0.362M,-0.266M,11.30M,8.455M,19.76M,19.76M,-0.158M,0.309M,3.818M,,3.672M,-37.48M,-7.89M,18.68M,,79.10M,52.42M,145.58M,,-13.65M,-13.65M,0.00,0.194M,,-13.45M,,,-15.95M,-15.95M,,-73.58M,-73.58M,,,3.579M,-0.256M,-86.20M,,54.97M,45.93M,0.338M,101.24M,,,,,-73.58M,3.351M,9.479M,,AOR,Restated
2010-12,242.55M,,0.239M,-0.025M,-8.701M,10.82M,6.916M,17.74M,17.74M,12.19M,-1.156M,16.88M,-33.93M,-174.72M,16.10M,2.23M,7.595M,-29.55M,26.93M,23.30M,94.22M,,-16.44M,-16.44M,-197.67M,-0.094M,,-214.20M,,0.00,315.23M,315.23M,,-290.30M,-290.30M,,,30.37M,12.49M,67.79M,,107.26M,-52.18M,-0.098M,54.97M,,,250.00M,65.23M,-290.30M,16.86M,8.638M,,AOR,Restated
2010-09,-113.78M,,-0.038M,-0.009M,8.868M,10.04M,6.158M,16.19M,16.19M,-2.40M,0.367M,5.706M,-5.047M,170.08M,-11.96M,4.173M,-1.27M,29.55M,-31.74M,-11.25M,68.77M,,-6.636M,-6.636M,0.00,0.072M,,-6.564M,,0.00,-1.161M,-1.161M,,-67.50M,-67.50M,,,3.428M,3.266M,-61.96M,,106.83M,0.246M,0.182M,107.26M,,,0.00,-1.161M,-67.50M,33.20M,8.052M,,AOR,Restated
2010-06,58.40M,,0.038M,-0.061M,-2.867M,9.944M,7.02M,16.96M,16.96M,-0.466M,0.394M,6.398M,-9.889M,5.88M,14.00M,-0.913M,23.43M,,-76.02M,-39.50M,35.84M,,-8.072M,-8.072M,-0.089M,0.166M,,-7.995M,,0.00,-1.124M,-1.124M,,-62.27M,-62.27M,,,1.682M,9.889M,-51.82M,,130.99M,-23.97M,-0.196M,106.83M,,,0.00,-1.124M,-62.27M,62.93M,8.071M,,AOR,Restated
2010-03,55.38M,,,,2.844M,9.929M,7.304M,17.23M,17.23M,0.973M,0.395M,3.886M,-0.147M,0.671M,-42.70M,-4.591M,-25.42M,,128.66M,55.96M,137.19M,,-7.498M,-7.498M,-7.514M,0.083M,,-14.93M,,,-62.94M,-62.94M,,0.00,0.00,,,0.00,0.147M,-62.80M,,71.53M,59.46M,0.003M,130.99M,,,,-62.94M,0.00,0.616M,8.228M,,AOR,Restated
2009-12,-6.445M,,,1.991M,-15.37M,10.04M,7.635M,17.68M,17.68M,7.20M,0.785M,4.218M,-18.25M,76.98M,14.96M,0.402M,21.00M,,-33.25M,3.108M,70.82M,,-14.38M,-14.38M,-10.16M,-0.011M,7.505M,-17.04M,,0.00,-66.05M,-66.05M,,0.00,0.00,,,5.097M,18.25M,-42.70M,,60.56M,11.09M,-0.12M,71.53M,,,-6.808M,-59.24M,0.00,20.54M,8.377M,,AOR,Restated
2009-09,42.20M,,,-0.024M,7.069M,9.621M,8.012M,17.63M,17.63M,5.189M,0.00,3.011M,-1.065M,1.447M,3.31M,1.723M,12.56M,,-22.03M,-4.442M,71.05M,,-8.124M,-8.124M,-7.213M,0.092M,-0.376M,-15.62M,,0.00,-30.53M,-30.53M,,-8.458M,-8.458M,,,1.486M,-3.445M,-40.95M,,45.96M,14.48M,0.122M,60.56M,,,-33.19M,2.659M,-8.458M,30.45M,9.297M,,AOR,Restated
2009-06,45.94M,,,-0.033M,5.673M,9.718M,8.464M,18.18M,18.18M,-0.965M,0.00,3.51M,-0.487M,1.131M,7.963M,-0.327M,12.86M,,-44.35M,-23.85M,49.14M,,-7.836M,-7.836M,0.00,0.174M,-78.10M,-85.76M,,-20.00M,68.02M,48.02M,,-12.40M,-12.40M,,,0.947M,0.487M,37.06M,,45.01M,0.43M,0.526M,45.96M,,,120.00M,-71.98M,-12.40M,54.43M,8.349M,,AOR,Restated
2009-03,44.92M,,,0.398M,5.768M,9.195M,8.51M,17.70M,17.70M,0.766M,0.00,2.005M,-0.171M,0.959M,-28.22M,-3.637M,-24.06M,,119.36M,63.45M,135.39M,,-8.359M,-8.359M,-51.62M,0.056M,-7.00M,-66.92M,,,-30.68M,-30.68M,,-25.88M,-25.88M,,,0.179M,0.171M,-56.21M,,33.18M,12.26M,-0.438M,45.01M,,,,-30.68M,-25.88M,6.034M,8.178M,,AOR,Restated
2008-12,36.44M,,,2.511M,10.64M,9.839M,7.577M,17.42M,17.42M,19.90M,,2.359M,-8.998M,-3.104M,-0.536M,-3.007M,12.16M,,-29.41M,-20.79M,53.86M,,-8.329M,-8.329M,-18.91M,-5.89M,3.333M,-29.80M,,0.00,73.93M,73.93M,,-123.82M,-123.82M,,,0.00,8.998M,-40.89M,,51.02M,-16.82M,-1.016M,33.18M,,,74.00M,-0.068M,-123.82M,13.82M,8.08M,,AOR,Restated
2008-09,40.84M,,,-1.286M,4.624M,9.054M,7.041M,16.10M,16.10M,0.00,,2.901M,-0.069M,1.129M,9.082M,0.947M,7.006M,,-30.44M,-13.40M,52.12M,,-4.513M,-4.513M,0.00,0.074M,2.171M,-2.268M,,0.00,-47.63M,-47.63M,,-31.60M,-31.60M,,,-0.049M,29.55M,-49.73M,,50.84M,0.119M,0.07M,51.02M,,,-30.00M,-17.63M,-31.60M,30.37M,8.287M,,AOR,
2008-06,39.92M,,,0.012M,5.604M,8.517M,6.896M,15.41M,15.41M,-0.567M,,2.569M,-3.348M,2.089M,15.41M,2.327M,16.32M,,-43.68M,-9.618M,52.06M,,-8.044M,-8.044M,-0.041M,0.214M,-100.95M,-108.82M,,150.00M,-26.34M,123.66M,,-46.12M,-46.12M,,,0.786M,3.348M,81.68M,,25.90M,24.92M,0.014M,50.84M,,,140.00M,-16.34M,-46.12M,54.25M,6.456M,,,
2008-03,41.03M,,,1.274M,6.846M,7.907M,8.041M,15.95M,15.95M,0.567M,,2.052M,-13.68M,1.331M,-20.35M,-6.753M,-32.41M,,95.30M,35.78M,89.86M,,-9.766M,-9.766M,0.00,21.16M,-0.984M,10.42M,,,78.75M,78.75M,,-191.02M,-191.02M,,,0.155M,13.68M,-98.43M,,24.05M,1.845M,0.004M,25.90M,,,80.00M,-1.25M,-191.02M,0.873M,6.153M,,AOR,
