,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,581.20M,581.20M,221.20M,360.00M,91.80M,40.50M,33.20M,,32.80M,,-32.80M,,165.50M,194.50M,,32.80M,-32.80M,0.60M,-32.80M,162.30M,29.30M,133.00M,,133.00M,132.51M,268.80M,73.70M,195.10M,,0.81,,,0.8070,0.81,,0.79,,,0.7871,0.79,,165.04M,168.99M,,,AOR,Restated
2017-12,570.30M,570.30M,208.70M,361.60M,87.20M,36.20M,28.20M,,32.10M,,-32.10M,,151.60M,210.00M,,32.10M,-32.10M,1.30M,-32.10M,179.20M,-25.40M,204.60M,,204.60M,203.82M,275.70M,64.40M,211.30M,,1.24,0.00,,1.235,1.24,,1.22,0.00,,1.215,1.22,,164.73M,168.33M,,,AOR,Restated
2017-09,549.10M,549.10M,198.50M,350.60M,80.90M,33.80M,27.50M,,30.30M,,-30.30M,,142.20M,208.40M,,30.30M,-30.30M,2.60M,-30.30M,180.70M,60.00M,120.70M,,120.70M,118.96M,272.30M,61.20M,211.00M,,0.73,,,0.7194,0.73,,0.72,,,0.7097,0.72,,164.58M,167.96M,,,AOR,Restated
2017-06,523.20M,523.20M,193.70M,329.50M,78.80M,31.80M,23.90M,,28.50M,,-28.50M,,134.50M,195.00M,,28.50M,-28.50M,3.40M,-28.50M,169.90M,48.90M,121.00M,,121.00M,118.58M,254.10M,55.70M,198.40M,,0.73,,,0.7153,0.73,,0.72,,,0.7056,0.72,,164.92M,168.31M,,,AOR,Restated
2017-03,502.60M,502.60M,182.90M,319.70M,75.90M,33.80M,22.30M,,28.40M,,-28.40M,,132.00M,187.70M,,28.40M,-28.40M,1.90M,-28.40M,161.20M,52.40M,108.80M,,108.80M,107.52M,245.70M,56.10M,189.60M,,0.65,,,0.6423,0.65,,0.64,,,0.6325,0.64,,166.44M,170.15M,,,AOR,Restated
2016-12,506.10M,506.10M,193.00M,313.10M,77.20M,28.40M,22.10M,,28.30M,,-28.30M,,127.70M,185.40M,,28.30M,-28.30M,3.10M,-28.30M,160.20M,52.70M,107.50M,-3.50M,109.30M,105.42M,239.10M,50.60M,188.50M,,0.64,0.01,0.0303,0.6276,0.65,,0.63,0.01,0.0303,0.6178,0.64,,167.37M,170.20M,,,AOR,Restated
2016-09,498.10M,498.10M,169.70M,328.40M,77.80M,29.50M,22.70M,,28.10M,,-28.10M,,130.00M,198.40M,,28.10M,-28.10M,2.10M,-28.10M,172.40M,44.80M,127.60M,0.00,127.60M,126.05M,252.70M,52.10M,200.50M,,0.76,0.00,0.00,0.7508,0.76,,0.74,0.00,0.00,0.7310,0.74,,168.87M,171.79M,,,AOR,Restated
2016-06,498.30M,498.30M,178.40M,319.90M,75.60M,29.30M,23.80M,,31.50M,,-31.50M,,128.70M,191.20M,,31.50M,-31.50M,0.90M,-31.50M,160.60M,53.80M,106.80M,254.70M,261.80M,106.20M,245.30M,53.20M,192.10M,,0.64,0.92,-0.5924,0.6364,1.56,,0.62,0.91,-0.5924,0.6165,1.53,,168.30M,171.22M,,,AOR,Restated
2016-03,492.70M,492.70M,173.30M,319.40M,71.00M,31.90M,23.90M,,32.00M,,-32.00M,,126.80M,192.60M,,32.00M,-32.00M,,-32.00M,160.60M,50.90M,109.70M,1.80M,92.60M,109.70M,261.30M,68.70M,192.60M,,0.65,-0.10,-0.1122,0.65,0.55,,0.64,-0.10,-0.1122,0.64,0.54,,168.45M,171.48M,,,AOR,Restated
2015-12,477.40M,477.40M,160.70M,316.70M,75.61M,27.43M,27.40M,,32.47M,,-32.47M,,130.44M,186.26M,,32.47M,-32.47M,-0.221M,-32.47M,153.56M,45.53M,108.03M,9.63M,113.78M,108.18M,253.37M,67.33M,186.04M,,0.67,0.00,-0.0230,0.6709,0.67,,0.66,0.00,-0.0230,0.6609,0.66,,169.39M,172.57M,,,AOR,Restated
2015-09,470.41M,470.41M,162.87M,307.53M,70.64M,27.10M,12.64M,,33.00M,,-33.00M,,110.39M,197.15M,,33.00M,-33.00M,17.89M,-33.00M,182.04M,57.86M,124.18M,11.75M,131.81M,111.98M,267.09M,52.04M,215.04M,,0.74,0.04,-0.0244,0.6677,0.78,,0.73,0.04,-0.0244,0.6591,0.77,,168.74M,172.17M,,,AOR,Restated
2015-06,428.60M,428.60M,154.64M,273.96M,82.34M,22.68M,22.90M,,37.66M,,-37.66M,,127.92M,146.04M,,37.66M,-37.66M,84.93M,-37.66M,193.31M,34.39M,158.92M,7.717M,163.32M,89.11M,288.41M,57.44M,230.97M,,0.97,0.02,-0.0202,0.5447,0.99,,0.95,0.02,-0.0202,0.5334,0.97,,164.14M,167.59M,,,AOR,Restated
2015-03,384.29M,384.29M,133.78M,250.51M,49.71M,19.39M,7.455M,,18.26M,,-18.26M,,76.56M,173.95M,,18.26M,-18.26M,-0.502M,-18.26M,155.19M,58.82M,96.37M,4.304M,98.69M,96.68M,212.03M,38.58M,173.45M,,0.61,0.01,-0.0126,0.6120,0.62,,0.60,0.01,-0.0126,0.6019,0.61,,158.09M,161.48M,,,AOR,Restated
2014-12,149.24M,149.24M,-7.016M,156.25M,16.93M,2.945M,-12.52M,,17.60M,,-17.60M,,7.353M,148.90M,,17.60M,-17.60M,0.276M,-17.60M,131.57M,49.13M,82.44M,51.48M,97.33M,82.27M,186.50M,37.32M,149.18M,,0.51,0.08,,0.5089,0.59,,0.50,0.08,,0.4990,0.59,,163.78M,167.08M,,,AOR,Restated
2014-09,448.66M,448.66M,180.87M,267.79M,56.16M,21.95M,14.19M,,17.50M,,-17.50M,,92.30M,175.49M,,17.50M,-17.50M,-0.285M,-17.50M,157.71M,58.69M,99.02M,0.00,99.02M,99.19M,211.34M,36.14M,175.20M,,0.60,0.00,,0.6011,0.60,,0.58,0.00,,0.5811,0.58,,166.19M,169.52M,,,AOR,Restated
2014-06,423.55M,423.55M,172.47M,251.08M,57.07M,20.72M,14.22M,,17.46M,,-17.46M,,92.02M,159.07M,,17.46M,-17.46M,0.20M,-17.46M,141.81M,53.71M,88.10M,0.00,88.10M,87.97M,194.21M,34.94M,159.27M,,0.53,0.00,,0.5293,0.53,,0.52,0.00,,0.5193,0.52,,166.34M,169.50M,,,AOR,Restated
2014-03,409.64M,409.64M,169.67M,239.97M,57.13M,19.78M,14.21M,,17.44M,,-17.44M,,91.13M,148.84M,,17.44M,-17.44M,0.009M,-17.44M,131.41M,46.97M,84.44M,31.12M,115.56M,84.44M,183.95M,35.10M,148.85M,,0.50,0.19,,0.5000,0.69,,0.50,0.18,,0.5000,0.68,,166.98M,170.42M,,,AOR,Restated
2013-12,416.72M,416.72M,170.16M,246.57M,57.68M,19.47M,14.37M,,17.65M,,-17.65M,,91.52M,155.05M,,17.65M,-17.65M,0.406M,-17.65M,137.80M,51.43M,86.38M,0.848M,87.22M,86.12M,190.51M,35.05M,155.45M,,0.52,0.00,,0.5185,0.52,,0.51,0.00,,0.5085,0.51,,167.86M,171.72M,,,AOR,Restated
2013-09,411.93M,411.93M,156.31M,255.62M,56.78M,16.74M,15.26M,,18.69M,,-18.69M,,88.79M,166.84M,,18.69M,-18.69M,0.225M,-18.69M,148.37M,53.47M,94.89M,1.547M,96.44M,94.75M,200.16M,33.10M,167.06M,,0.56,0.01,,0.5591,0.57,,0.55,0.01,,0.5492,0.56,,168.04M,172.15M,,,AOR,Restated
2013-06,390.36M,390.36M,152.43M,237.93M,58.20M,15.81M,17.06M,,19.70M,,-19.70M,,91.07M,146.86M,,19.70M,-19.70M,0.127M,-19.70M,127.28M,45.68M,81.60M,2.605M,84.20M,81.52M,180.99M,34.01M,146.98M,,0.48,0.02,,0.4795,0.50,,0.47,0.02,,0.4695,0.49,,168.15M,172.47M,,,AOR,Restated
2013-03,376.70M,376.70M,143.63M,233.06M,56.32M,14.16M,17.05M,,20.09M,,-20.09M,,87.54M,145.53M,,20.09M,-20.09M,-0.149M,-20.09M,125.29M,45.84M,79.44M,1.066M,80.51M,79.54M,177.80M,32.42M,145.38M,,0.47,0.01,,0.4706,0.48,,0.46,0.01,,0.4605,0.47,,168.08M,172.76M,,,AOR,Restated
2012-12,289.26M,289.26M,79.56M,209.70M,44.91M,9.189M,15.99M,,20.61M,,-20.61M,,70.09M,139.61M,,20.61M,-20.61M,0.047M,-20.61M,119.05M,32.43M,86.62M,,98.30M,86.59M,170.20M,30.54M,139.66M,,0.52,,,0.5198,0.59,,0.51,,,0.5098,0.58,,166.80M,171.93M,,,AOR,Restated
2012-09,398.86M,398.86M,156.75M,242.11M,58.71M,12.71M,15.44M,,18.13M,,-18.13M,,86.86M,155.25M,,18.13M,-18.13M,-0.502M,-18.13M,136.62M,53.70M,82.91M,,82.91M,83.22M,182.90M,28.16M,154.75M,,0.50,,,0.5018,0.50,,0.48,,,0.4818,0.48,,165.98M,171.66M,,,AOR,Restated
2012-06,373.23M,373.23M,147.07M,226.15M,62.47M,13.09M,12.19M,,17.38M,,-17.38M,,87.75M,138.40M,,17.38M,-17.38M,0.126M,-17.38M,121.15M,47.82M,73.33M,,73.33M,73.25M,163.80M,25.28M,138.53M,,0.44,,,0.4395,0.44,,0.43,,,0.4296,0.43,,165.95M,171.90M,,,AOR,Restated
2012-03,346.50M,346.50M,133.33M,213.17M,53.98M,11.64M,8.587M,,16.38M,,-16.38M,,74.21M,138.96M,,16.38M,-16.38M,0.435M,-16.38M,123.01M,48.41M,74.60M,,74.60M,74.34M,159.63M,20.23M,139.40M,,0.45,,,0.4484,0.45,,0.44,,,0.4385,0.44,,164.84M,171.35M,,,AOR,Restated
2011-12,211.15M,211.15M,47.62M,163.53M,42.86M,7.177M,6.856M,0.00,14.75M,,-14.85M,,56.89M,106.64M,,14.75M,-14.85M,0.478M,-14.85M,92.26M,32.25M,60.02M,,80.32M,59.71M,126.55M,19.53M,107.02M,,0.37,0.12,,0.3681,0.49,,0.35,0.12,,0.3482,0.47,,163.87M,170.53M,,,AOR,Restated
2011-09,340.10M,340.10M,137.62M,202.48M,51.48M,10.80M,8.797M,0.00,14.59M,0.099M,-14.49M,,71.07M,131.41M,0.099M,14.59M,-14.49M,-0.086M,-14.49M,116.83M,45.84M,70.99M,,70.99M,71.04M,151.02M,19.60M,131.42M,,0.43,0.00,,0.4303,0.43,,0.41,0.00,,0.4103,0.41,,164.20M,171.17M,,,AOR,Restated
2011-06,327.28M,327.28M,131.18M,196.10M,55.91M,10.86M,8.877M,3.364M,14.90M,,-14.90M,,75.64M,120.45M,,14.90M,-14.90M,3.489M,-14.90M,109.05M,43.47M,65.58M,,65.58M,63.48M,143.68M,19.73M,123.94M,,0.39,0.00,,0.3774,0.39,,0.38,0.00,,0.3680,0.38,,166.96M,174.63M,,,AOR,Restated
2011-03,312.87M,312.87M,124.56M,188.31M,49.26M,11.30M,8.455M,,9.615M,0.01M,-9.605M,,69.02M,119.30M,0.01M,9.615M,-9.605M,0.362M,-9.605M,110.05M,44.18M,65.88M,,65.88M,65.66M,139.43M,19.76M,119.67M,,0.39,0.00,,0.3887,0.39,,0.37,0.00,,0.3688,0.37,,169.03M,176.96M,,,AOR,Restated
2010-12,293.16M,293.16M,116.48M,176.68M,45.24M,10.82M,6.916M,0.00,9.269M,,-9.452M,,62.98M,113.71M,,9.269M,-9.452M,0.33M,-9.452M,104.58M,38.69M,65.89M,,65.89M,65.69M,131.59M,17.74M,113.85M,,0.38,,,0.3788,0.38,,0.36,,,0.3588,0.36,,171.70M,179.39M,,,AOR,Restated
2010-09,287.35M,287.35M,117.00M,170.35M,40.98M,10.04M,6.158M,0.544M,8.484M,0.059M,-8.425M,,57.18M,113.17M,0.059M,8.484M,-8.425M,0.553M,-8.425M,105.30M,42.42M,62.88M,,62.88M,62.55M,129.98M,16.19M,113.79M,,0.35,0.00,,0.3481,0.35,,0.34,0.00,,0.3382,0.34,,178.69M,187.19M,,,AOR,Restated
2010-06,281.68M,281.68M,115.00M,166.68M,42.64M,9.944M,7.02M,0.00,8.445M,0.092M,-8.353M,,59.60M,107.08M,0.092M,8.445M,-8.353M,0.029M,-8.353M,98.75M,40.35M,58.40M,,58.40M,58.39M,124.16M,16.96M,107.20M,,0.32,0.00,,0.3199,0.32,,0.31,0.00,,0.3099,0.31,,180.49M,189.54M,,,AOR,Restated
2010-03,276.15M,276.15M,114.99M,161.16M,37.51M,9.929M,7.304M,,8.466M,0.032M,-8.434M,,54.75M,106.41M,0.032M,8.466M,-8.434M,0.032M,-8.434M,98.01M,42.64M,55.38M,,55.38M,55.35M,123.71M,17.23M,106.48M,,0.31,0.00,,0.3099,0.31,,0.29,0.00,,0.2899,0.29,,180.05M,189.45M,,,AOR,Restated
2009-12,265.13M,265.13M,153.41M,111.72M,51.88M,10.04M,7.635M,-0.121M,9.139M,,-8.944M,,69.56M,42.16M,,9.139M,-8.944M,-2.112M,-8.944M,31.10M,37.55M,-6.445M,,-6.445M,-5.072M,57.92M,17.68M,40.24M,,-0.05,0.00,,-0.0423,-0.05,,-0.05,0.00,,-0.0427,-0.05,,179.42M,188.31M,,,AOR,Restated
2009-09,258.31M,258.31M,117.38M,140.93M,38.50M,9.621M,8.012M,0.029M,9.449M,,-9.449M,,56.13M,84.80M,,9.449M,-9.449M,0.053M,-9.449M,75.40M,33.19M,42.20M,,42.20M,42.17M,102.48M,17.63M,84.85M,,0.24,0.00,,0.2398,0.24,,0.23,0.00,,0.2298,0.23,,172.80M,179.85M,,,AOR,Restated
2009-06,257.92M,257.92M,112.98M,144.94M,38.90M,9.718M,8.464M,0.049M,8.523M,,-8.523M,,57.09M,87.85M,,8.523M,-8.523M,0.082M,-8.523M,79.41M,33.47M,45.94M,,45.94M,45.89M,106.12M,18.18M,87.93M,,0.27,0.00,,0.2697,0.27,,0.26,0.00,,0.2597,0.26,,172.89M,179.82M,,,AOR,Restated
2009-03,245.75M,245.75M,107.52M,138.23M,33.32M,9.195M,8.51M,0.043M,8.154M,,-8.154M,,51.02M,87.20M,,8.154M,-8.154M,-0.355M,-8.154M,78.69M,33.78M,44.92M,,44.92M,45.15M,104.55M,17.70M,86.85M,,0.26,0.00,,0.2613,0.26,,0.25,0.00,,0.2513,0.25,,173.94M,180.60M,,,AOR,Restated
2008-12,231.47M,231.47M,97.91M,133.56M,39.95M,9.839M,7.577M,,8.75M,,-6.852M,,57.36M,76.20M,,8.75M,-6.852M,-2.544M,-6.852M,66.80M,30.36M,36.44M,,36.44M,36.44M,92.96M,17.42M,75.55M,,0.21,0.00,,0.21,0.21,,0.20,0.00,,0.20,0.20,,176.76M,183.45M,,,AOR,Restated
2008-09,224.39M,224.39M,98.31M,126.08M,32.26M,9.054M,7.041M,0.002M,8.393M,,-8.393M,,48.36M,77.72M,,8.393M,-8.393M,0.002M,-8.393M,69.33M,28.49M,40.84M,,40.84M,40.84M,93.82M,16.10M,77.73M,,0.22,0.00,,0.2200,0.22,,0.22,0.00,,0.2200,0.22,,182.27M,189.67M,,,AOR,
2008-06,222.07M,222.07M,97.37M,124.70M,30.35M,8.517M,6.896M,0.787M,7.847M,,-7.847M,,45.77M,78.94M,,7.847M,-7.847M,0.775M,-7.847M,71.86M,31.94M,39.92M,,39.92M,39.42M,95.12M,15.41M,79.71M,,,,,0.2281,0.2310,,,,,0.2192,0.2220,,172.80M,179.85M,,,,
2008-03,215.62M,215.62M,93.31M,122.31M,28.67M,7.907M,8.041M,0.816M,6.326M,,-6.326M,,44.62M,77.69M,,6.326M,-6.326M,-0.458M,-6.326M,70.90M,29.88M,41.03M,,41.03M,41.32M,93.18M,15.95M,77.23M,,,,,0.2391,0.2374,,,,,0.2298,0.2281,,172.80M,179.85M,,,AOR,
