,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-06,140.70M,3.60M,144.30M,266.40M,,318.50M,39.20M,,,20.80M,522.80M,,,,,,,403.50M,2.734B,1.052B,3.786B,,16.40M,170.20M,4.376B,4.899B,,161.40M,,161.40M,,161.40M,120.00M,,120.00M,6.80M,126.80M,449.00M,449.00M,,737.20M,2.275B,1.90M,2.277B,337.50M,337.50M,,,81.50M,2.696B,3.433B,,0.10M,2.983B,2.154B,3.144B,-526.40M,1.466B,,AOR,Restated
2017-03,155.00M,3.60M,158.60M,298.70M,,302.00M,25.00M,,,28.20M,513.80M,,,,,,,377.80M,2.653B,1.027B,3.680B,,15.80M,160.80M,4.235B,4.749B,,162.10M,2.10M,164.20M,,164.20M,0.00,,0.00,6.60M,6.60M,501.60M,501.60M,,672.40M,2.274B,6.80M,2.281B,329.40M,329.40M,,,80.30M,2.691B,3.363B,,0.10M,2.862B,2.134B,2.993B,-616.90M,1.386B,,AOR,Restated
2016-12,135.10M,3.40M,138.50M,216.40M,50.90M,313.20M,28.90M,4.10M,,16.20M,500.90M,0.00,799.10M,,66.50M,865.60M,-485.30M,380.30M,2.578B,1.011B,3.589B,,15.60M,145.50M,4.130B,4.631B,,74.30M,0.00,74.30M,109.70M,184.00M,100.00M,,100.00M,6.80M,106.80M,330.80M,330.80M,,621.60M,2.273B,7.10M,2.280B,322.20M,322.20M,,,74.80M,2.677B,3.299B,,0.10M,2.753B,2.122B,2.891B,-650.80M,1.332B,,AOR,Restated
2016-09,164.79M,3.457M,168.24M,229.94M,,241.18M,28.62M,,,26.27M,464.30M,,,,,,,355.87M,2.632B,1.069B,3.701B,,,121.09M,4.221B,4.685B,,192.30M,,192.30M,,192.30M,0.00,,0.00,6.899M,6.899M,355.46M,355.46M,,556.49M,2.272B,7.332M,2.279B,305.69M,305.69M,13.93M,,54.06M,2.653B,3.210B,,0.137M,2.644B,2.101B,2.750B,-518.93M,1.475B,,AOR,Restated
2016-06,196.40M,3.372M,199.77M,241.33M,,247.07M,30.87M,,,19.20M,496.92M,,,,,,,334.63M,2.630B,1.104B,3.734B,,,119.78M,4.228B,4.725B,,163.41M,16.50M,179.91M,,179.91M,0.00,,0.00,2.256M,2.256M,431.17M,431.17M,,615.17M,2.271B,1.973M,2.273B,314.70M,314.70M,14.57M,,57.73M,2.660B,3.275B,,0.137M,2.516B,2.071B,2.681B,-457.14M,1.450B,,AOR,Restated
2016-03,131.82M,3.472M,135.29M,297.31M,,305.87M,30.83M,,,52.31M,586.78M,,,,,,,341.99M,2.704B,1.191B,3.895B,,,598.80M,4.872B,5.459B,,179.67M,7.918M,187.59M,,187.59M,705.00M,,705.00M,4.143M,709.14M,486.55M,486.55M,31.76M,1.417B,2.270B,2.164M,2.272B,342.17M,342.17M,14.80M,,53.30M,2.752B,4.169B,,0.137M,2.254B,2.039B,2.686B,-316.78M,1.290B,,AOR,Restated
2015-12,138.30M,3.60M,141.90M,216.00M,37.60M,299.60M,34.10M,38.70M,,14.20M,604.60M,0.00,685.40M,,66.90M,752.30M,-402.00M,350.30M,2.753B,1.245B,3.998B,,0.00,607.80M,4.989B,5.594B,,93.30M,,93.30M,128.80M,222.10M,870.00M,,870.00M,4.80M,874.80M,340.90M,340.90M,39.70M,1.479B,2.269B,2.30M,2.271B,329.20M,329.20M,14.90M,,58.40M,2.742B,4.222B,,0.10M,2.162B,2.023B,2.571B,-242.00M,1.372B,,AOR,Restated
2015-09,168.82M,3.63M,172.46M,266.00M,,311.21M,46.13M,,4.769M,83.20M,617.76M,,,,,,,391.62M,3.119B,1.416B,4.535B,,,43.41M,5.001B,5.619B,,266.47M,,266.47M,,266.47M,900.00M,,900.00M,5.473M,905.47M,366.92M,366.92M,,1.541B,2.291B,2.34M,2.293B,401.42M,401.42M,15.89M,,54.50M,2.765B,4.305B,,0.137M,2.048B,2.000B,2.555B,-179.42M,1.314B,,AOR,Restated
2015-06,145.49M,3.725M,149.22M,267.38M,,332.56M,37.48M,,4.77M,85.96M,609.99M,,,,,,,386.09M,3.058B,1.656B,4.713B,,,39.35M,5.166B,5.776B,,246.36M,,246.36M,,246.36M,1.02B,,1.02B,5.797M,1.026B,436.00M,436.00M,,1.710B,2.290B,3.623M,2.294B,463.56M,463.56M,15.88M,,47.98M,2.821B,4.531B,,0.137M,1.916B,1.971B,2.559B,-83.87M,1.244B,,AOR,Restated
2015-03,152.85M,3.855M,156.70M,226.64M,,239.43M,29.74M,,4.77M,23.35M,453.99M,,,,,,,303.83M,1.207B,392.34M,1.599B,,,24.48M,1.951B,2.404B,,142.47M,,142.47M,,142.47M,30.00M,170.00M,200.00M,5.878M,205.88M,359.53M,359.53M,,709.77M,1.096B,4.329M,1.100B,203.38M,203.38M,16.17M,,43.10M,1.363B,2.073B,,0.137M,1.753B,1.190B,2.532B,-80.06M,331.72M,,AOR,Restated
2014-12,39.36M,3.801M,43.16M,203.34M,23.32M,286.18M,31.50M,5.583M,4.772M,13.29M,384.48M,0.00,614.62M,,65.21M,679.84M,-377.56M,302.27M,1.207B,406.48M,1.614B,,,26.36M,1.961B,2.345B,,,,,180.73M,180.73M,160.00M,170.00M,330.00M,6.058M,336.06M,252.59M,252.59M,,771.27M,1.096B,5.026M,1.101B,202.54M,224.93M,16.22M,,21.00M,1.363B,2.134B,,0.137M,1.654B,1.171B,2.534B,-80.51M,211.04M,,AOR,Restated
2014-09,432.49M,3.73M,436.22M,188.71M,,218.82M,31.15M,,5.076M,14.38M,705.65M,,,,,,,281.35M,1.184B,406.56M,1.591B,,,27.26M,1.972B,2.678B,,164.29M,,164.29M,,164.29M,,135.00M,135.00M,5.455M,140.46M,254.16M,254.16M,,561.34M,1.131B,5.537M,1.136B,194.87M,194.87M,16.01M,,43.29M,1.390B,1.952B,,0.137M,1.557B,1.257B,2.044B,-42.86M,725.98M,,AOR,Restated
2014-06,419.45M,3.837M,423.28M,177.97M,,206.47M,37.18M,,5.076M,32.55M,704.56M,,,,,,,272.88M,1.184B,420.75M,1.605B,,,24.06M,1.971B,2.675B,,157.35M,,157.35M,,157.35M,,135.00M,135.00M,4.781M,139.78M,309.18M,309.18M,,608.74M,1.130B,5.156M,1.136B,194.52M,194.52M,16.16M,,43.92M,1.390B,1.999B,,0.137M,1.458B,1.241B,1.980B,-42.38M,676.28M,,AOR,Restated
2014-03,427.38M,3.918M,431.29M,173.45M,,180.95M,26.41M,,5.075M,35.48M,679.20M,,,,,,,251.73M,1.184B,434.97M,1.619B,,,24.93M,1.961B,2.640B,,156.89M,8.166M,165.06M,,165.06M,,,,4.317M,4.317M,343.83M,343.83M,,515.64M,1.265B,5.683M,1.271B,194.30M,194.30M,15.12M,,44.42M,1.525B,2.040B,,0.137M,1.370B,1.224B,1.951B,-42.82M,599.53M,,AOR,Restated
2013-12,165.80M,3.911M,169.71M,143.06M,19.90M,225.89M,25.66M,27.97M,5.077M,6.714M,474.84M,0.00,503.78M,,38.80M,542.57M,-309.20M,233.37M,1.182B,447.62M,1.629B,,,105.98M,2.030B,2.504B,,80.97M,,80.97M,107.29M,188.26M,0.00,,0.00,4.448M,4.448M,226.58M,226.58M,9.449M,431.18M,1.265B,6.31M,1.271B,198.60M,210.82M,15.07M,,23.82M,1.526B,1.957B,,0.137M,1.254B,1.202B,1.865B,-43.49M,547.59M,,AOR,Restated
2013-09,180.20M,4.514M,184.72M,167.77M,,209.96M,25.99M,,11.96M,28.71M,461.33M,,,,,,,219.12M,1.251B,471.14M,1.722B,,,27.40M,1.969B,2.430B,,171.28M,,171.28M,,171.28M,0.00,35.00M,35.00M,4.459M,39.46M,244.16M,244.16M,,456.64M,1.265B,6.221M,1.271B,143.43M,143.43M,30.46M,,45.17M,1.490B,1.947B,,0.137M,1.167B,1.156B,1.753B,-86.59M,483.00M,,AOR,Restated
2013-06,172.59M,4.254M,176.84M,186.55M,,240.56M,31.05M,,10.46M,34.70M,493.61M,,,,,,,185.93M,1.249B,486.53M,1.736B,,,24.01M,1.946B,2.439B,,157.96M,,157.96M,,157.96M,0.00,135.00M,135.00M,2.87M,137.87M,287.57M,287.57M,,585.14M,1.265B,2.141M,1.267B,135.26M,135.26M,34.40M,,52.14M,1.489B,2.074B,,0.137M,1.070B,1.117B,1.733B,-88.34M,365.50M,,AOR,Restated
2013-03,267.36M,5.141M,272.50M,190.92M,,206.00M,31.96M,,10.46M,31.63M,552.54M,,,,,,,167.13M,1.248B,503.73M,1.752B,,,44.69M,1.964B,2.516B,,150.26M,,150.26M,,150.26M,0.00,180.00M,180.00M,3.979M,183.98M,314.45M,314.45M,,650.42M,1.265B,1.878M,1.266B,134.50M,134.50M,37.95M,,74.48M,1.513B,2.164B,,0.137M,986.24M,1.078B,1.622B,-88.93M,352.52M,,AOR,Restated
2012-12,89.82M,4.883M,94.70M,165.17M,18.01M,224.40M,21.95M,29.28M,10.40M,9.832M,390.56M,0.00,395.22M,,34.84M,430.06M,-275.98M,154.08M,1.247B,520.94M,1.768B,,,47.30M,1.970B,2.360B,,,,,107.93M,107.93M,10.00M,180.00M,190.00M,5.263M,195.26M,200.70M,200.70M,79.72M,585.35M,1.264B,1.753M,1.266B,133.76M,146.68M,41.28M,,65.27M,1.519B,2.105B,,0.137M,905.73M,1.045B,1.605B,-89.16M,255.59M,,AOR,Restated
2012-09,97.77M,4.895M,102.66M,175.52M,,184.06M,25.39M,,15.61M,33.61M,361.34M,,,,,,,144.80M,1.220B,530.02M,1.750B,,0.00,46.89M,1.942B,2.303B,,176.46M,3.287M,179.75M,0.00,179.75M,,,265.79M,,265.79M,,,219.80M,668.26M,1.302B,,1.302B,80.76M,80.76M,27.89M,,82.80M,1.493B,2.161B,,0.137M,807.43M,991.74M,1.580B,-76.85M,142.05M,,AOR,Restated
2012-06,97.20M,4.782M,101.98M,173.61M,,204.95M,28.49M,,15.61M,46.46M,397.50M,,,,,,,133.73M,934.76M,363.56M,1.298B,,0.00,23.80M,1.456B,1.853B,,,,153.68M,0.00,153.68M,,,201.78M,,201.78M,,,253.88M,612.26M,1.054B,,1.054B,41.88M,41.88M,35.62M,,62.51M,1.194B,1.807B,,0.137M,724.52M,963.05M,1.563B,-77.35M,46.68M,,AOR,Restated
2012-03,114.93M,4.968M,119.90M,194.54M,,218.29M,28.62M,,13.50M,39.54M,419.84M,,,,,,,124.78M,933.30M,375.74M,1.309B,,0.00,38.38M,1.472B,1.892B,,,,144.97M,0.25M,145.22M,,,130.48M,,130.48M,,,288.94M,567.56M,1.099B,,1.099B,39.87M,39.87M,115.55M,,80.04M,1.335B,1.902B,,0.137M,651.19M,917.88M,1.501B,-77.40M,-10.26M,,AOR,Restated
2011-12,191.60M,5.066M,196.67M,148.06M,9.442M,190.01M,21.90M,36.97M,3.818M,4.281M,453.65M,0.00,329.49M,,31.78M,361.27M,-241.86M,119.41M,709.94M,226.42M,936.37M,,10.48M,21.19M,1.087B,1.541B,,,,,97.25M,97.25M,0.00,,0.00,5.554M,5.554M,176.84M,176.84M,65.99M,349.65M,1.097B,3.675M,1.100B,0.00,13.58M,127.75M,,48.29M,1.290B,1.640B,,0.137M,576.58M,874.81M,1.471B,-78.29M,-98.49M,,AOR,Restated
2011-09,52.85M,4.828M,57.67M,152.80M,,158.55M,23.59M,,3.681M,28.27M,271.76M,,,,,,,110.33M,712.56M,232.53M,945.09M,1.708M,23.34M,27.70M,1.108B,1.380B,,146.36M,,335.67M,,335.67M,,,165.67M,,165.67M,,,,506.00M,853.58M,,853.58M,,,99.42M,,79.81M,1.033B,1.539B,,0.137M,496.27M,837.47M,1.438B,-53.66M,-158.87M,,AOR,Restated
2011-06,51.97M,5.351M,57.32M,145.63M,,179.30M,26.02M,,3.681M,29.16M,295.48M,,,,,,,107.64M,712.56M,241.33M,953.89M,1.773M,20.98M,28.33M,1.113B,1.408B,,,,121.28M,0.00,121.28M,,,170.66M,,170.66M,,,214.99M,511.60M,854.50M,,854.50M,,,106.20M,,80.23M,1.041B,1.553B,,0.137M,425.28M,807.86M,1.323B,-53.51M,-144.44M,,AOR,Restated
2011-03,101.24M,5.603M,106.84M,163.89M,,167.98M,25.49M,,3.681M,7.705M,311.70M,,,,,,,100.77M,632.67M,191.77M,824.44M,1.773M,21.55M,26.20M,974.73M,1.286B,,88.46M,18.79M,107.25M,8.163M,115.41M,,,130.00M,,130.00M,247.06M,247.06M,,492.47M,700.52M,,700.52M,,,112.93M,,89.60M,903.05M,1.396B,,0.136M,359.70M,766.53M,1.180B,-54.84M,-109.09M,,AOR,Restated
2010-12,54.97M,5.653M,60.63M,126.56M,,151.27M,17.79M,,3.681M,7.066M,240.44M,0.00,287.08M,,31.42M,318.50M,-225.09M,93.41M,632.67M,200.23M,832.90M,1.773M,21.88M,26.70M,976.66M,1.217B,,112.00M,0.00,112.00M,3.50M,115.50M,,,437.72M,,437.72M,,,163.01M,720.88M,401.83M,,401.83M,,,118.61M,,90.21M,610.65M,1.332B,,0.135M,293.83M,754.71M,1.106B,-55.80M,-114.44M,,AOR,Restated
2010-09,107.26M,5.35M,112.60M,130.36M,,143.16M,18.04M,,4.405M,7.566M,285.77M,,,,,,,83.57M,503.24M,94.11M,597.35M,,66.05M,16.66M,763.64M,1.049B,,99.28M,2.217M,101.50M,5.284M,106.79M,,,128.32M,,128.32M,155.87M,155.87M,2.00M,392.98M,401.88M,,401.88M,,,113.74M,,78.67M,594.29M,987.27M,,0.132M,227.93M,705.70M,819.56M,-50.95M,62.14M,,AOR,Restated
2010-06,106.83M,5.067M,111.89M,118.47M,,139.54M,21.68M,,4.405M,7.962M,285.49M,,,,,,,86.25M,502.00M,100.23M,602.22M,,63.92M,15.38M,767.78M,1.053B,,81.57M,0.00,81.57M,5.284M,86.86M,,,53.94M,,53.94M,182.28M,182.28M,0.544M,323.61M,476.77M,,476.77M,,,118.49M,,80.83M,676.08M,999.69M,,0.132M,165.05M,690.64M,748.90M,-52.18M,53.58M,,AOR,Restated
2010-03,130.99M,5.546M,136.54M,132.90M,,132.90M,21.13M,,4.405M,20.88M,315.85M,,,,,,,88.27M,494.28M,107.25M,601.53M,,63.95M,16.08M,769.83M,1.086B,,78.00M,22.28M,100.29M,5.284M,105.57M,,,4.723M,,4.723M,214.30M,214.30M,0.544M,325.13M,527.08M,,527.08M,,,124.00M,,81.22M,732.30M,1.057B,,0.13M,106.65M,659.39M,683.99M,-52.68M,28.25M,,AOR,Restated
2009-12,71.53M,5.445M,76.97M,89.44M,,106.16M,16.16M,,4.405M,21.66M,225.34M,0.00,250.98M,,28.06M,279.04M,-189.88M,89.16M,490.83M,108.53M,599.36M,6.536M,66.26M,10.30M,771.61M,996.95M,,101.40M,1.414M,102.82M,0.00,102.82M,,,66.66M,,66.66M,,,125.52M,300.28M,527.51M,,527.51M,,,127.15M,,76.96M,731.62M,1.032B,,0.13M,51.28M,652.57M,683.99M,-53.63M,-34.95M,,AOR,Restated
2009-09,60.56M,5.352M,65.91M,104.08M,,111.00M,16.73M,,4.49M,22.63M,220.76M,,,,,,,87.23M,489.24M,118.34M,607.58M,,91.42M,12.38M,798.61M,1.019B,,,,,,100.98M,,,131.53M,,131.53M,,,158.81M,391.32M,527.89M,,527.89M,,,159.35M,1.062B,77.26M,1.827B,2.218B,,0.10M,-439.06M,,683.99M,-75.56M,-1.199B,,AOR,Restated
2009-06,45.96M,5.023M,50.98M,107.15M,,115.62M,17.38M,,4.49M,24.02M,212.50M,,,,,,,84.28M,487.22M,119.55M,606.77M,,97.92M,7.872M,796.84M,1.009B,,,,,,84.67M,,,160.37M,,160.37M,,,180.85M,425.89M,528.69M,,528.69M,,,159.16M,842.12M,81.96M,1.612B,2.038B,,0.10M,-265.46M,,683.99M,-79.13M,-1.028B,,AOR,Restated
2009-03,45.01M,4.779M,49.78M,115.29M,,116.90M,17.94M,,4.49M,15.11M,204.23M,,,,,,,87.07M,487.00M,128.01M,615.01M,,98.18M,15.90M,816.16M,1.020B,,66.39M,15.00M,81.39M,,81.39M,,,189.97M,,189.97M,,,287.19M,558.55M,449.12M,,449.12M,,,158.33M,758.44M,87.06M,1.453B,2.011B,,0.10M,-225.88M,,683.99M,-81.34M,-991.11M,,AOR,Restated
2008-12,33.18M,5.114M,38.30M,83.94M,,96.94M,13.01M,,4.49M,16.19M,168.93M,0.00,97.90M,119.46M,45.18M,262.54M,-179.96M,82.59M,447.37M,112.71M,560.08M,,100.26M,17.02M,759.95M,928.88M,,83.38M,0.00,83.38M,5.397M,88.78M,,,219.40M,,219.40M,,,196.72M,504.90M,450.36M,,450.36M,,,157.71M,749.54M,76.19M,1.434B,1.939B,,0.10M,-243.50M,0.00,683.99M,-82.43M,-1.010B,,AOR,Restated
