,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-03,411.47M,,,,0.00,,0.00,64.00M,42.12M,106.13M,106.13M,109.91M,0.00,12.06M,-80.16M,119.23M,157.50M,-30.46M,-12.01M,,,,234.26M,,798.74M,,-125.42M,,,-0.906M,7.451M,6.256M,-112.62M,,-42.75M,,-42.75M,,0.00,0.00,-79.92M,-79.92M,51.15M,-1.299M,-72.82M,,1.791B,613.30M,2.404B,,,6.646B,-6.688B,0.00,,AOR,Restated
2016-12,247.25M,,,,,,,63.18M,43.07M,106.25M,106.25M,49.49M,,29.19M,15.16M,-536.94M,-713.55M,57.05M,315.44M,,,,-878.00M,,-430.36M,,-137.28M,,,-1.497M,-19.96M,1.88M,-156.86M,,-52.13M,,-52.13M,,-229.93M,-229.93M,-80.17M,-80.17M,10.23M,-11.49M,-363.49M,,2.742B,-950.70M,1.791B,,,65.36M,-117.49M,-229.93M,,AOR,Restated
2016-09,145.68M,,,260.62M,,0.00,262.85M,60.78M,42.67M,103.45M,103.45M,89.81M,,8.431M,-75.03M,-207.26M,-157.36M,-81.43M,1.231B,,,,817.51M,,1.355B,,-154.44M,,,0.00,-0.947M,7.267M,-148.12M,,-201.61M,,-201.61M,,-1.243B,-1.243B,-73.41M,-73.41M,1.193B,-4.563M,-329.77M,,1.865B,876.63M,2.742B,,,58.44M,-260.05M,-1.243B,,AOR,Restated
2016-06,349.16M,,,-83.70M,,0.00,-83.70M,58.91M,41.58M,100.48M,100.48M,72.24M,,16.77M,74.11M,-233.39M,97.13M,17.63M,-221.72M,,,,-340.35M,,191.96M,,-130.17M,,,-19.03M,13.00M,-10.31M,-146.51M,,-80.12M,,-80.12M,,-586.34M,-586.34M,-73.24M,-73.24M,36.07M,-1.897M,-705.53M,,2.525B,-660.08M,1.865B,,,550.64M,-630.76M,-586.34M,,AOR,Restated
2016-03,603.45M,,,-503.95M,,-1.124M,-505.07M,57.65M,41.41M,99.06M,99.06M,318.22M,,17.53M,100.17M,-395.81M,140.84M,-14.32M,512.36M,,,,243.06M,,880.41M,,-89.90M,,,-4.724M,0.00,-7.44M,-102.07M,,-13.60M,,-13.60M,,-318.23M,-318.23M,-70.63M,-70.63M,1.172B,-0.879M,768.86M,,978.09M,1.547B,2.525B,,,6.482B,-6.496B,-318.23M,,AOR,Restated
2015-12,329.64M,,,467.38M,,48.73M,516.11M,55.19M,33.98M,89.17M,89.17M,-611.20M,,22.26M,93.58M,-76.26M,-1.188B,31.97M,1.540B,,,,307.98M,,751.61M,,-90.11M,,,-2.727B,47.69M,-3.438M,-2.772B,,1.009B,,1.009B,,-118.58M,-118.58M,-71.20M,-71.20M,33.98M,-21.23M,831.52M,,2.167B,-1.189B,978.09M,,,2.755B,-1.747B,-118.58M,,AOR,Restated
2015-09,361.01M,3.825M,,-196.49M,,0.00,-192.66M,55.42M,22.76M,78.18M,78.18M,36.62M,,14.45M,540.52M,-610.08M,-678.86M,-21.12M,1.579B,,0.339M,,281.62M,,1.162B,,-74.50M,,,-26.91M,-86.21M,1.093M,-186.53M,,-256.90M,,-256.90M,,-1.059B,-1.059B,-61.86M,-61.86M,15.84M,-1.45M,-1.363B,,2.555B,-387.74M,2.167B,,,35.56M,-292.46M,-1.059B,,AOR,Restated
2015-06,214.16M,1.314M,,-14.90M,,0.00,-13.59M,48.43M,21.55M,69.98M,69.98M,-10.08M,,13.09M,-5.735M,-57.81M,-89.10M,38.13M,963.86M,,1.541M,,856.63M,,1.122B,,-51.89M,,,-3.92M,0.00,0.622M,-55.19M,,-257.49M,,-257.49M,,-483.82M,-483.82M,-63.94M,-63.94M,36.25M,-79.20M,-848.19M,,2.337B,218.20M,2.555B,,,42.47M,-299.96M,-483.82M,,AOR,Restated
2015-03,-513.39M,7.814M,,752.71M,,0.00,760.52M,44.92M,11.74M,56.66M,56.66M,12.34M,,13.84M,-1.636M,-44.18M,1.485B,-65.13M,-963.05M,,-0.37M,,412.61M,,741.72M,,-52.64M,,,-2.561B,0.00,1.163M,-2.612B,,2.011B,,2.011B,,-16.27M,-16.27M,-64.09M,-64.09M,101.73M,-123.35M,1.909B,,2.299B,38.22M,2.337B,,,2.029B,-18.68M,-16.27M,,AOR,Restated
2014-12,-199.95M,,,371.40M,,0.00,371.40M,44.52M,6.652M,51.17M,51.17M,-18.06M,,19.57M,-1.951M,-766.72M,-2.097B,10.99M,3.530B,,-1.51M,,676.16M,,896.96M,,-52.56M,,,-24.60M,0.00,0.005M,-77.16M,,0.00,,0.00,,-300.21M,-300.21M,-64.02M,-64.02M,40.16M,-5.491M,-329.56M,,1.809B,490.24M,2.299B,,,0.00,0.00,-300.21M,,AOR,Restated
2014-09,65.55M,,,155.74M,,,155.74M,47.48M,7.924M,55.40M,55.40M,65.66M,,10.94M,347.38M,-402.48M,-301.98M,-8.421M,834.97M,,-0.607M,,121.48M,0.00,832.16M,,-65.79M,,,0.00,,0.833M,-64.95M,,0.00,,0.00,,-183.33M,-183.33M,-52.91M,-52.91M,18.21M,-2.524M,-220.56M,,1.262B,546.65M,1.809B,,,0.00,0.00,-183.33M,,AOR,Restated
2014-06,-12.78M,0.00,,145.04M,,,177.99M,41.61M,7.658M,49.27M,49.27M,-16.52M,,10.15M,0.453M,-40.31M,483.47M,2.445M,-137.21M,,-0.646M,,307.75M,0.00,519.84M,,-73.28M,,,-117.79M,,0.006M,-191.07M,,566.40M,,566.40M,,-318.63M,-318.63M,-53.16M,-53.16M,50.02M,-8.27M,236.36M,,696.73M,565.13M,1.262B,,,2.549B,-1.983B,-318.63M,,AOR,Restated
2014-03,180.08M,0.00,,5.663M,,,5.663M,38.51M,7.733M,46.24M,46.24M,-13.54M,,10.79M,-3.634M,-336.38M,140.56M,-16.58M,1.090B,,1.961M,,879.29M,0.00,1.116B,,-66.21M,,,0.00,,6.277M,-59.93M,,-423.00M,,-423.00M,,-232.31M,-232.31M,-54.03M,-54.03M,27.35M,-25.11M,-707.10M,,347.46M,349.26M,696.73M,,,15.61B,-16.03B,-232.31M,,AOR,Restated
2013-12,48.93M,,,116.30M,,,116.30M,37.89M,7.823M,45.71M,45.71M,2.396M,,11.23M,-2.675M,-159.12M,-1.627B,43.66M,523.12M,,-0.708M,,-1.220B,-7.546M,-1.004B,,-59.18M,,,-9.103M,,0.083M,-68.20M,,423.00M,,423.00M,,-19.65M,-19.65M,-54.37M,-54.37M,32.33M,-193.00M,188.30M,,1.231B,-883.54M,347.46M,,,522.50M,-99.50M,-19.65M,,AOR,Restated
2013-09,50.56M,,,50.48M,,,50.48M,35.95M,8.195M,44.15M,44.15M,13.18M,,9.375M,9.60M,-1.477B,-1.087B,-104.09M,2.438B,,7.867M,,-222.59M,2.112M,-30.94M,,-64.52M,,,-1.65M,,0.879M,-65.29M,,0.00,,0.00,,-83.08M,-83.08M,-48.71M,-48.71M,22.95M,-131.50M,-240.35M,,1.568B,-336.58M,1.231B,,,0.00,0.00,-83.08M,,AOR,Restated
2013-06,64.11M,,,35.82M,,,35.82M,34.99M,8.011M,43.00M,43.00M,-23.87M,,8.396M,-0.716M,-418.05M,-224.58M,-66.64M,613.84M,,1.976M,,-93.45M,38.59M,75.41M,,-49.55M,,,331.63M,,0.442M,280.49M,,0.00,,0.00,,-116.40M,-116.40M,-48.80M,-48.80M,66.92M,-28.69M,-135.61M,,1.347B,220.29M,1.568B,,,5.00M,-5.00M,-116.40M,,AOR,Restated
2013-03,204.14M,,,3.761M,,,3.761M,34.16M,7.934M,42.09M,42.09M,20.54M,,9.178M,-5.688M,11.48M,121.43M,-13.68M,555.08M,,1.877M,,676.19M,30.21M,985.36M,,-32.09M,,,0.00,,0.058M,-36.56M,,0.00,,0.00,,0.00,0.00,-48.61M,-48.61M,26.10M,-4.996M,-18.91M,,417.40M,929.89M,1.347B,,,1.529B,-1.529B,0.00,,AOR,Restated
2012-12,174.62M,,,,,,,33.59M,7.963M,41.56M,41.56M,15.73M,,9.326M,0.531M,-429.12M,-295.94M,14.67M,211.42M,,0.839M,,-498.13M,15.22M,-241.71M,,-56.29M,,,0.00,,0.023M,-61.38M,,0.00,,0.00,,-284.69M,-284.69M,-49.60M,-49.60M,39.75M,-1.09M,-346.12M,,1.067B,-649.20M,417.40M,,,796.00M,-796.00M,-284.69M,,AOR,Restated
2012-09,190.45M,,,,,,,31.80M,8.114M,39.91M,39.91M,15.38M,,7.517M,-3.896M,-50.79M,-323.78M,0.95M,644.45M,,4.858M,,275.69M,19.58M,545.39M,,-40.41M,,,3.085M,,0.00,-41.62M,,-392.33M,,-392.33M,,-647.99M,-647.99M,-32.68M,-32.68M,24.13M,-0.13M,-1.093B,,1.656B,-589.14M,1.067B,,,30.00M,-422.33M,-647.99M,,AOR,Restated
2012-06,190.18M,,,,,,,29.79M,7.207M,37.00M,37.00M,15.57M,,6.066M,-3.994M,25.19M,-115.14M,-7.951M,6.12M,,-12.24M,,-104.03M,-56.84M,91.93M,,-29.40M,,,-521.10M,,0.023M,-560.47M,,0.00,,0.00,,-185.75M,-185.75M,-32.65M,-32.65M,20.01M,-0.005M,-202.81M,,2.327B,-671.35M,1.656B,,,0.00,0.00,-185.75M,,AOR,Restated
2012-03,220.78M,,,,,,,26.37M,5.347M,31.72M,31.72M,23.76M,,6.103M,-3.493M,-132.56M,640.38M,-1.918M,-481.12M,,11.60M,,36.39M,-86.93M,236.42M,,-17.95M,,,-7.157M,,,-47.22M,,-118.83M,,-118.83M,,-200.46M,-200.46M,-33.72M,-33.72M,54.63M,-3.988M,-232.44M,,2.370B,-43.24M,2.327B,,,-175.96M,57.14M,-200.46M,,AOR,Restated
2011-12,159.96M,,,,,,,25.80M,6.082M,31.88M,31.88M,6.567M,,6.268M,2.199M,229.67M,-317.63M,58.64M,246.65M,,-11.39M,,205.93M,12.67M,431.70M,,-45.53M,,,-250.50M,,,-298.64M,,563.12M,,563.12M,,-128.04M,-128.04M,-33.71M,-33.71M,16.45M,-6.535M,411.28M,,1.826B,544.34M,2.370B,,,705.75M,-142.64M,-128.04M,,AOR,Restated
2011-09,138.20M,,0.271M,,,,0.271M,13.26M,1.445M,14.71M,14.71M,72.56M,,5.671M,2.011M,69.70M,-284.20M,-23.85M,362.09M,,,6.049M,125.98M,,360.10M,,-28.67M,,,-45.38M,,-0.876M,-85.82M,,-17.24M,,-17.24M,,-440.32M,-440.32M,-30.70M,-30.70M,17.40M,-0.304M,-448.74M,,2.000B,-174.46M,1.826B,,,-649.28M,632.04M,-440.32M,,AOR,Restated
2011-06,184.42M,,0.584M,,,,0.584M,26.83M,5.18M,32.01M,32.01M,71.63M,,9.486M,2.572M,-100.45M,25.44M,-16.60M,25.00M,,,-13.85M,-80.46M,,230.64M,,-33.70M,,,0.00,,0.876M,-32.82M,,19.11M,,19.11M,,-145.13M,-145.13M,-31.65M,-31.65M,48.76M,-0.885M,-109.80M,,1.912B,88.02M,2.000B,,,178.00M,-158.89M,-145.13M,,AOR,Restated
2011-03,214.38M,,,,,,,25.05M,5.343M,30.39M,30.39M,30.30M,,5.342M,2.062M,-268.97M,258.20M,-10.79M,401.24M,,,1.868M,381.55M,,676.40M,,-43.68M,,,0.00,,,-43.68M,,-1.905M,-58.40M,-60.31M,,-69.76M,-69.76M,-27.54M,-27.54M,89.37M,-52.95M,-121.18M,,1.401B,511.54M,1.912B,,,162.89M,-223.20M,-69.76M,,AOR,Restated
2010-12,160.50M,,,,,,,24.52M,5.342M,29.86M,29.86M,20.30M,,6.78M,-0.887M,275.79M,-227.74M,24.96M,-399.65M,,,5.931M,-320.71M,,-99.20M,,-50.09M,,,0.00,,,-50.09M,,0.00,58.40M,58.40M,,-185.36M,-185.36M,-27.74M,-27.74M,,46.70M,-108.00M,,1.658B,-257.29M,1.401B,,,343.41M,-285.01M,-185.36M,,AOR,Restated
2010-09,134.28M,,7.387M,,,,7.387M,9.814M,3.304M,13.12M,13.12M,23.84M,,5.93M,5.749M,59.58M,-113.99M,-9.125M,406.21M,,,0.445M,321.13M,,549.23M,,-44.17M,,,,,-0.143M,-52.21M,,-1.373M,,-1.373M,,-120.09M,-120.09M,-22.32M,-22.32M,10.00M,0.10M,-149.56M,,1.311B,347.47M,1.658B,,,246.14M,-247.52M,-120.09M,,AOR,Restated
2010-06,163.20M,,1.414M,,,,1.414M,20.75M,5.258M,26.01M,26.01M,19.21M,,7.328M,-1.842M,24.46M,-104.98M,-4.167M,69.07M,,,-0.511M,-16.13M,,213.00M,,-44.26M,,,,,0.009M,-44.26M,,2.458M,,2.458M,,-95.06M,-95.06M,-22.55M,-22.55M,58.22M,-0.96M,-57.90M,,1.200B,110.84M,1.311B,,,219.23M,-216.77M,-95.06M,,AOR,Restated
2010-03,181.01M,,,,,,,19.79M,5.401M,25.19M,25.19M,23.96M,,9.615M,-8.638M,-392.94M,368.21M,1.25M,159.96M,,,3.714M,140.19M,,388.08M,,-45.46M,,,,,0.007M,-45.46M,,-17.55M,,-17.55M,,-110.57M,-110.57M,-22.60M,-22.60M,34.08M,-5.675M,-122.32M,,979.57M,220.30M,1.200B,,,271.38M,-288.93M,-110.57M,,AOR,Restated
2009-12,151.31M,,,,,,,19.82M,5.384M,25.20M,25.20M,17.51M,,7.176M,12.02M,371.94M,-391.15M,22.50M,-254.54M,,,-3.648M,-254.90M,,-41.69M,,-42.57M,,,,,0.127M,-42.45M,,195.07M,,195.07M,,-144.63M,-144.63M,-23.15M,-23.15M,30.42M,-3.372M,54.34M,,1.009B,-29.80M,979.57M,,,686.77M,-491.70M,-144.63M,,AOR,Restated
2009-09,130.15M,,0.218M,,,,0.218M,19.76M,5.157M,24.92M,24.92M,-45.84M,,6.754M,-18.52M,-165.00M,-542.71M,0.314M,843.64M,,-0.526M,3.744M,139.47M,0.00,353.30M,,-43.62M,,,-2.996M,,-0.032M,-46.54M,,-26.96M,,-26.96M,,-176.53M,-176.53M,-16.77M,-16.77M,14.27M,,-210.32M,,912.92M,96.44M,1.009B,,,245.42M,-272.38M,-176.53M,,AOR,Restated
2009-06,125.13M,,3.10M,,,,3.10M,18.72M,4.835M,23.55M,23.55M,19.69M,,5.785M,16.11M,-2.528M,162.94M,-41.55M,93.66M,,0.526M,-2.056M,211.00M,-6.327M,398.04M,,-33.63M,,,-13.42M,,0.032M,-47.02M,,12.27M,,12.27M,,-93.94M,-93.94M,-15.13M,-15.13M,3.38M,,-93.42M,,655.33M,257.60M,912.92M,,,303.45M,-291.18M,-93.94M,,AOR,Restated
2009-03,144.04M,,,,,,,18.32M,4.869M,23.19M,23.19M,16.46M,,7.225M,10.55M,-210.16M,383.68M,3.244M,-44.33M,,,3.53M,135.97M,-0.655M,336.78M,,-26.24M,,,0.00,,,-26.24M,,-22.46M,,-22.46M,,-91.53M,-91.53M,-15.23M,-15.23M,3.084M,,-126.13M,,470.92M,184.41M,655.33M,,,1.265B,-1.287B,-91.53M,,AOR,Restated
2008-12,112.53M,,,,,,,17.81M,4.843M,22.66M,22.66M,9.681M,,7.374M,4.897M,-80.09M,-768.92M,22.61M,366.62M,,,-1.474M,-461.25M,-0.251M,-304.37M,,-42.34M,,,14.94M,,,-28.55M,,28.31M,,28.31M,,-88.35M,-88.35M,-15.57M,-15.57M,1.331M,,-74.28M,,878.11M,-407.20M,470.92M,,,340.00M,-311.69M,-88.35M,,,Restated
2008-09,333.41M,,,,,,3.676M,17.32M,4.945M,22.27M,22.27M,-33.53M,,,-30.16M,173.24M,-102.91M,-31.04M,277.51M,,,-4.305M,312.50M,-209.29M,514.11M,,-56.69M,1.603M,82.22M,-7.01M,0.00,0.702M,-62.48M,,,,-30.16M,-72.22M,-125.54M,-197.76M,,-11.93M,,-1.152M,-156.61M,,583.09M,295.03M,878.11M,,-72.22M,,,-125.54M,,,Restated
2008-06,-108.02M,,,,,,1.386M,17.58M,4.13M,21.71M,21.71M,-0.659M,,,6.638M,-79.68M,410.69M,13.81M,-362.94M,,,1.014M,-17.11M,226.73M,130.67M,,-25.52M,1.189M,-24.33M,-0.013M,0.00,1.176M,-24.44M,,,,6.685M,50.02M,-158.50M,-108.48M,,-12.09M,,-0.472M,-114.51M,,591.36M,-8.274M,583.09M,,50.02M,,,-158.50M,,,
2008-03,133.85M,,,,,,-0.769M,40.34M,11.57M,33.46M,33.46M,47.82M,,,9.306M,-193.30M,294.46M,-3.409M,-121.01M,,,-4.042M,-27.31M,-3.052M,193.31M,,-28.91M,0.208M,-28.70M,0.299M,0.00,,-27.67M,,,,-19.73M,17.95M,-84.20M,-66.25M,,-12.16M,,-0.302M,-98.42M,,524.14M,67.22M,591.36M,,17.95M,,,-84.20M,,,
2007-12,109.82M,,,,,,0.743M,,,18.44M,18.44M,-13.62M,,,16.11M,108.49M,-610.26M,3.854M,260.13M,,,2.213M,-235.57M,3.052M,-101.03M,,-26.20M,0.02M,-26.18M,-162.51M,467.42M,,278.00M,,,,26.81M,4.249M,-311.44M,-307.19M,,-12.50M,,-0.131M,-293.04M,,640.20M,-116.06M,524.14M,,4.249M,,,-311.44M,,,
2007-09,87.58M,,,,,,-1.302M,19.95M,5.269M,25.22M,25.22M,2.065M,,,27.90M,-99.77M,-14.18M,-11.57M,86.10M,,,-1.372M,-40.80M,,127.58M,,-34.35M,1.634M,-32.72M,-0.614M,486.78M,0.353M,453.80M,,,,123.07M,4.662M,-546.70M,-542.03M,,-8.734M,,-0.491M,-428.18M,,487.01M,153.20M,640.20M,,4.662M,,,-546.70M,,,
2007-06,129.91M,,,,,,3.946M,21.85M,5.507M,27.36M,27.36M,-18.08M,,,20.15M,89.96M,475.46M,-1.815M,-361.13M,,,3.779M,206.24M,,369.52M,,-26.30M,2.34M,-23.96M,-24.83M,-123.74M,4.852M,-167.68M,,,,-4.123M,12.67M,-492.20M,-479.53M,,-9.322M,,-0.237M,-493.21M,,778.38M,-291.37M,487.01M,,12.67M,,,-492.20M,,,
2007-03,129.50M,,,,,,-2.52M,20.18M,4.813M,24.99M,24.99M,12.01M,,,15.10M,-222.47M,30.20M,8.443M,430.46M,,,-2.775M,243.86M,,422.94M,,-29.26M,2.123M,-27.14M,-1.106M,-384.80M,,-413.05M,,,,-14.01M,65.45M,-71.48M,-6.033M,,-9.534M,,-0.315M,-29.90M,,798.39M,-20.01M,778.38M,,65.45M,,,-71.48M,,,
2006-12,122.19M,,,,,,-0.212M,19.63M,7.141M,26.78M,26.78M,17.19M,,,12.83M,2.954M,-205.74M,-2.951M,312.82M,,,2.012M,109.10M,,287.87M,,-28.14M,1.98M,-26.16M,-143.54M,-377.81M,,-547.51M,,,,121.82M,11.84M,-325.63M,-313.79M,,-9.659M,,-1.605M,-203.24M,,1.261B,-462.88M,798.39M,,11.84M,,,-325.63M,,,
