,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,2.091B,,2.091B,11.27B,11.27B,12.87B,173.36M,,26.40B,0.00,39.90M,1.121B,2.211B,3.373B,-1.432B,1.940B,6.698B,3.062B,9.760B,,298.48M,12.00B,38.40B,,26.40B,26.40B,1.438B,27.84B,,,252.89M,252.89M,,,,28.09B,4.278B,4.278B,1.808B,1.808B,,176.05M,,484.35M,6.938B,35.03B,,2.831M,3.377B,4.674B,4.823B,,,-43.51M,3.188B,,AOR,Restated
2017-12,3.038B,,3.038B,10.13B,10.13B,12.02B,110.24M,,25.30B,0.00,40.30M,1.056B,2.094B,3.190B,-1.361B,1.829B,6.076B,2.825B,8.901B,,334.82M,11.07B,36.36B,,25.35B,25.35B,1.374B,26.72B,,,20.06M,20.06M,,,,26.74B,4.267B,4.267B,1.660B,1.660B,,,,429.15M,6.747B,33.49B,,2.814M,3.174B,4.580B,4.785B,,,-96.34M,2.875B,,AOR,Restated
2017-09,2.435B,,2.435B,10.30B,10.30B,11.46B,103.43M,,24.30B,0.00,40.30M,979.59M,2.071B,3.091B,-1.293B,1.798B,6.044B,2.833B,8.878B,,337.66M,11.01B,35.32B,,25.40B,25.40B,1.402B,26.81B,,,12.12M,12.12M,,,,26.82B,3.430B,3.430B,2.493B,2.493B,,0.00,,427.04M,6.434B,33.25B,,2.806M,2.395B,4.518B,4.755B,,,-95.85M,2.064B,,AOR,Restated
2017-06,1.311B,,1.311B,10.55B,10.55B,11.67B,142.97M,,23.68B,0.00,40.29M,994.42M,1.974B,3.009B,-1.259B,1.750B,6.043B,2.871B,8.914B,,312.89M,10.98B,34.65B,,24.80B,24.80B,942.41M,25.75B,,,4.119M,4.119M,,,,25.75B,3.429B,3.429B,2.400B,2.400B,,,,519.88M,6.349B,32.10B,,2.804M,2.820B,4.499B,4.655B,,,-112.46M,2.554B,,AOR,Restated
2017-03,2.404B,,2.404B,9.584B,9.584B,11.34B,170.15M,,23.49B,0.00,40.28M,975.40M,1.880B,2.896B,-1.194B,1.702B,5.988B,2.889B,8.877B,,324.38M,10.90B,34.40B,,24.28B,24.28B,639.56M,24.92B,,,615.85M,615.85M,,,,25.53B,3.478B,3.478B,2.332B,2.332B,,,,526.03M,6.336B,31.87B,,2.796M,2.850B,4.455B,4.655B,,,-123.49M,2.529B,,AOR,Restated
2016-12,1.791B,,1.791B,9.696B,9.696B,11.41B,176.65M,,23.08B,0.00,40.27M,928.56M,1.799B,2.768B,-1.137B,1.631B,5.987B,2.927B,8.914B,,295.48M,10.84B,33.92B,,24.17B,24.17B,762.44M,24.93B,,,607.98M,607.98M,,,,25.54B,3.527B,3.527B,2.223B,2.223B,,,,509.74M,6.260B,31.80B,,2.783M,2.518B,4.392B,4.655B,,,-141.85M,2.117B,,AOR,Restated
2016-09,2.742B,,2.742B,9.176B,9.176B,10.72B,210.22M,,22.85B,0.00,40.29M,859.15M,1.717B,2.617B,-1.086B,1.531B,5.991B,2.968B,8.959B,,295.63M,10.79B,33.64B,,23.93B,23.93B,743.84M,24.67B,,,610.21M,610.21M,,,,25.28B,3.576B,3.576B,2.215B,2.215B,,,,436.46M,6.228B,31.51B,,2.778M,2.304B,4.333B,4.396B,,,-114.31M,2.129B,,AOR,Restated
2016-06,1.865B,,1.865B,8.985B,8.985B,10.49B,114.96M,,21.46B,0.00,40.30M,485.63M,1.694B,2.220B,-1.054B,1.166B,5.979B,3.007B,8.986B,,305.22M,10.46B,31.91B,,22.69B,22.69B,692.01M,23.38B,,,613.18M,613.18M,,,,24.00B,3.794B,3.794B,2.121B,2.121B,,,,122.30M,6.038B,30.03B,,2.77M,2.251B,4.064B,4.327B,,,-110.98M,1.879B,,AOR,Restated
2016-03,2.525B,,2.525B,8.767B,8.767B,10.64B,133.20M,,22.07B,0.00,40.33M,469.23M,1.603B,2.113B,-1.018B,1.095B,5.980B,3.048B,9.028B,,302.09M,10.43B,32.50B,,22.99B,22.99B,665.18M,23.65B,,,119.55M,119.55M,,,,23.77B,4.369B,4.369B,2.041B,2.041B,,,,123.51M,6.533B,30.30B,,2.765M,1.974B,4.080B,3.763B,,,-102.18M,2.191B,,AOR,Restated
2015-12,978.09M,,978.09M,8.381B,8.381B,10.86B,138.96M,,20.36B,0.00,40.34M,463.07M,1.540B,2.043B,-983.84M,1.060B,5.982B,3.071B,9.053B,,281.79M,10.39B,30.76B,,22.54B,22.54B,592.55M,23.13B,,,108.41M,108.41M,787.05M,787.05M,,24.02B,4.393B,4.393B,932.30M,932.30M,,,,105.83M,5.431B,29.46B,,2.759M,1.441B,4.260B,4.288B,,,-115.81M,1.300B,,AOR,Restated
2015-09,2.167B,,2.167B,8.223B,8.223B,9.755B,189.00M,,20.33B,0.00,39.50M,653.54M,1.450B,2.143B,-950.08M,1.193B,4.144B,1.993B,6.138B,,298.47M,7.628B,27.96B,,20.89B,20.89B,691.79M,21.58B,,,,,,,,21.58B,3.493B,3.493B,1.944B,1.944B,,,,331.08M,5.768B,27.35B,,2.75M,1.164B,3.736B,4.151B,,,-136.33M,616.39M,,AOR,Restated
2015-06,2.555B,,2.555B,7.597B,7.597B,9.640B,110.33M,,19.90B,0.00,39.51M,405.86M,1.409B,1.854B,-895.71M,958.69M,4.117B,1.999B,6.115B,,357.28M,7.431B,27.33B,,19.35B,19.35B,633.05M,19.98B,,,7.37M,7.37M,1.128B,1.128B,,21.12B,3.743B,3.743B,,,,,,897.81M,4.641B,25.76B,,2.747M,879.20M,3.903B,3.140B,,,-69.01M,1.576B,,AOR,Restated
2015-03,2.337B,,2.337B,7.560B,7.560B,9.517B,142.41M,,19.56B,0.00,39.49M,407.07M,1.365B,1.812B,-856.37M,955.56M,4.136B,1.986B,6.122B,,371.01M,7.449B,27.01B,,18.40B,18.40B,649.64M,19.04B,,,64.20M,64.20M,1.117B,1.117B,,20.23B,3.943B,3.943B,,,,,,920.85M,4.863B,25.09B,,2.741M,728.97M,3.868B,2.608B,,,-75.58M,1.916B,,AOR,Restated
2014-12,2.299B,,2.299B,7.144B,7.144B,10.63B,73.58M,,20.14B,0.00,37.54M,382.79M,1.321B,1.742B,-834.65M,907.00M,2.960B,540.66M,3.501B,,352.15M,4.760B,24.90B,,19.03B,19.03B,673.51M,19.71B,,,,,1.100B,1.100B,,20.81B,1.996B,1.996B,,,,,,335.65M,2.332B,23.14B,,2.72M,1.306B,3.102B,2.582B,,,-60.73M,1.768B,,AOR,Restated
2014-09,1.809B,,1.809B,6.313B,6.313B,8.594B,84.96M,,16.80B,0.00,37.54M,359.04M,1.296B,1.692B,-792.85M,899.58M,2.949B,533.24M,3.482B,,350.65M,4.732B,21.53B,,15.59B,15.59B,561.86M,16.15B,,,,,1.095B,1.095B,,17.25B,1.996B,1.996B,241.20M,241.20M,,,,88.29M,2.325B,19.58B,,2.711M,1.570B,2.749B,2.313B,,,-52.05M,1.957B,,AOR,Restated
2014-06,1.262B,,1.262B,6.133B,6.133B,8.422B,74.32M,,15.89B,0.00,37.54M,363.74M,1.259B,1.661B,-778.42M,882.16M,2.950B,539.37M,3.489B,,367.74M,4.739B,20.63B,,14.81B,14.81B,471.07M,15.28B,,,,,1.058B,1.058B,,16.34B,1.995B,1.995B,,,,,,309.41M,2.305B,18.64B,,2.707M,1.556B,2.564B,2.097B,,,-39.38M,1.986B,,AOR,Restated
2014-03,696.73M,,696.73M,6.506B,6.506B,8.493B,63.62M,,15.76B,0.00,37.54M,343.71M,1.208B,1.589B,-738.51M,850.85M,2.949B,545.89M,3.495B,,255.23M,4.601B,20.36B,,14.91B,14.91B,587.18M,15.50B,,,,,1.003B,1.003B,,16.50B,1.397B,1.397B,,,,,,318.85M,1.716B,18.22B,,2.695M,1.621B,2.359B,1.793B,,,-44.51M,2.146B,,AOR,Restated
2013-12,347.46M,,347.46M,6.214B,6.214B,8.603B,63.88M,,15.23B,0.00,37.54M,328.88M,1.161B,1.528B,-703.48M,824.10M,2.950B,551.48M,3.501B,,242.30M,4.568B,19.80B,,13.86B,13.86B,533.09M,14.39B,423.00M,,423.00M,423.00M,1.014B,1.014B,,15.83B,1.397B,1.397B,,,,,,322.62M,1.719B,17.55B,,2.686M,1.495B,2.327B,1.537B,,,-41.08M,2.248B,,AOR,Restated
2013-09,1.231B,,1.231B,6.052B,6.052B,6.981B,129.23M,,14.39B,0.00,37.54M,324.15M,1.110B,1.471B,-667.86M,803.56M,2.945B,554.74M,3.500B,,221.71M,4.525B,18.92B,,13.34B,13.34B,532.56M,13.87B,,,,,1.002B,1.002B,,14.87B,1.397B,1.397B,,,,,,331.65M,1.728B,16.60B,,2.678M,1.508B,2.361B,1.517B,,,-35.48M,2.320B,,AOR,Restated
2013-06,1.568B,,1.568B,4.585B,4.585B,5.895B,90.91M,,12.14B,0.00,37.54M,321.83M,1.057B,1.417B,-639.56M,777.09M,2.945B,560.26M,3.505B,,158.36M,4.440B,16.58B,,11.01B,11.01B,441.02M,11.45B,,,,,991.41M,991.41M,,12.44B,1.396B,1.396B,,,,,,323.05M,1.719B,14.16B,,2.671M,1.506B,2.398B,1.434B,,,-55.10M,2.418B,,AOR,Restated
2013-03,1.347B,,1.347B,4.180B,4.180B,5.663B,72.71M,,11.72B,0.00,37.54M,320.87M,1.025B,1.384B,-621.62M,762.24M,2.945B,566.76M,3.512B,,112.41M,4.387B,16.11B,,10.36B,10.36B,463.08M,10.83B,,,,,1.005B,1.005B,212.24M,12.04B,1.396B,1.396B,,,,,,326.23M,1.722B,13.77B,,2.651M,1.386B,2.331B,1.317B,,,-56.24M,2.346B,,AOR,Restated
2012-12,417.40M,,417.40M,4.361B,4.361B,5.966B,54.32M,,11.02B,0.00,33.30M,359.53M,1.013B,1.406B,-605.22M,800.34M,2.975B,573.64M,3.549B,,124.06M,4.473B,15.50B,,9.880B,9.880B,522.97M,10.40B,,,,,981.46M,981.46M,51.46M,11.44B,1.396B,1.396B,,,,,,326.45M,1.723B,13.16B,,2.64M,1.389B,2.291B,1.312B,,,-33.89M,2.337B,,AOR,Restated
2012-09,1.067B,,1.067B,3.785B,3.785B,5.472B,72.37M,,11.06B,0.00,33.01M,324.26M,942.60M,1.300B,-556.19M,743.68M,2.943B,580.45M,3.523B,,116.68M,4.384B,15.44B,,9.493B,9.493B,570.21M,10.06B,,,,,963.08M,963.08M,239.71M,11.27B,1.396B,1.396B,,,,,,325.90M,1.722B,12.99B,,2.625M,1.270B,2.252B,1.038B,,,-32.66M,2.455B,,AOR,Restated
2012-06,1.656B,,1.656B,3.943B,3.943B,5.447B,124.20M,,11.17B,0.00,36.01M,383.15M,1.067B,1.487B,-621.53M,865.05M,2.985B,601.67M,3.587B,,125.47M,4.577B,15.75B,,9.171B,9.171B,482.24M,9.653B,,,392.25M,392.25M,906.01M,906.01M,,10.95B,1.484B,1.484B,,,,,,382.79M,1.867B,12.82B,,2.616M,1.140B,2.221B,390.03M,,,-43.25M,2.930B,,AOR,Restated
2012-03,2.327B,,2.327B,3.869B,3.869B,5.354B,53.56M,,11.60B,0.00,36.03M,320.15M,1.038B,1.394B,-590.79M,803.42M,2.751B,357.50M,3.108B,,129.56M,4.041B,15.65B,,9.250B,9.250B,412.60M,9.662B,,,392.16M,392.16M,860.47M,860.47M,,10.92B,1.490B,1.490B,,,,,,293.59M,1.784B,12.70B,,2.608M,990.99M,2.195B,204.28M,,,-37.36M,2.946B,,AOR,Restated
2011-12,2.370B,,2.370B,3.724B,3.724B,5.824B,36.63M,,11.96B,0.00,36.00M,319.13M,1.023B,1.378B,-584.34M,793.60M,2.741B,362.50M,3.103B,,125.87M,4.022B,15.98B,,9.589B,9.589B,418.96M,10.01B,,,447.08M,447.08M,846.31M,846.31M,,11.30B,1.482B,1.482B,,,,,,290.35M,1.772B,13.07B,,2.584M,812.60M,2.134B,0.00,,,-44.38M,2.905B,,AOR,Restated
2011-09,1.826B,,1.826B,3.794B,3.794B,5.443B,86.66M,,11.38B,0.00,33.28M,259.84M,865.00M,1.158B,-485.26M,672.86M,2.523B,282.84M,2.806B,,129.05M,3.608B,14.98B,,9.191B,9.191B,410.49M,9.602B,,,392.09M,392.09M,838.72M,838.72M,42.54M,10.88B,972.86M,972.86M,,,,,,267.69M,1.241B,12.12B,,4.965M,4.056B,4.083B,5.226B,,,-50.87M,2.867B,,AOR,Restated
2011-06,2.000B,,2.000B,3.907B,3.907B,5.158B,55.94M,,11.12B,0.00,36.04M,310.64M,957.43M,1.304B,-542.12M,761.99M,2.551B,292.90M,2.844B,,128.50M,3.734B,14.86B,,8.893B,8.893B,332.43M,9.226B,,,0.175M,0.175M,781.85M,781.85M,,10.01B,1.362B,1.362B,,,,,,282.98M,1.645B,11.65B,,4.958M,3.939B,4.059B,4.777B,,,-22.49M,3.203B,,AOR,Restated
2011-03,1.912B,,1.912B,3.802B,3.802B,5.196B,45.62M,,10.96B,0.00,36.04M,308.24M,927.70M,1.272B,-516.82M,755.16M,2.550B,295.92M,2.846B,,123.41M,3.725B,14.68B,,8.909B,8.909B,300.68M,9.210B,,,0.278M,0.278M,739.73M,739.73M,,9.950B,1.343B,1.343B,,,,,,255.23M,1.598B,11.55B,,4.939M,3.786B,4.001B,4.632B,,,-26.71M,3.133B,,AOR,Restated
2010-12,1.401B,,1.401B,3.551B,3.551B,5.441B,35.21M,,10.43B,0.00,36.16M,308.69M,889.66M,1.235B,-497.70M,736.81M,,,2.845B,,121.91M,3.704B,14.13B,,8.467B,8.467B,338.46M,8.805B,,,115.38M,115.38M,720.06M,720.06M,,9.641B,1.287B,1.287B,,,,,,242.00M,1.529B,11.17B,,4.92M,3.599B,3.953B,4.559B,,,-35.83M,2.962B,,AOR,Restated
2010-09,1.658B,,1.658B,3.827B,3.827B,5.210B,52.59M,,10.75B,0.00,36.41M,307.45M,841.59M,1.185B,-473.73M,711.71M,2.544B,300.98M,2.845B,,129.44M,3.686B,14.43B,,8.833B,8.833B,369.02M,9.202B,,,0.422M,0.422M,703.62M,703.62M,,9.906B,1.343B,1.343B,,,,,,231.04M,1.574B,11.48B,,4.898M,3.466B,3.899B,4.373B,,,-42.54M,2.954B,,AOR,Restated
2010-06,1.311B,,1.311B,3.888B,3.888B,5.097B,42.86M,,10.34B,0.00,36.04M,305.20M,800.99M,1.142B,-454.05M,688.18M,2.540B,306.41M,2.846B,,131.30M,3.666B,14.00B,,8.452B,8.452B,331.07M,8.783B,,,0.489M,0.489M,703.02M,703.02M,,9.487B,1.360B,1.360B,,,,,,226.23M,1.586B,11.07B,,4.894M,3.347B,3.883B,4.253B,,,-50.16M,2.931B,,AOR,Restated
2010-03,1.200B,,1.200B,3.948B,3.948B,4.981B,37.78M,,10.17B,0.00,36.07M,295.68M,770.01M,1.102B,-435.96M,665.80M,2.544B,310.22M,2.855B,,134.82M,3.655B,13.82B,,8.435B,8.435B,312.17M,8.747B,,,0.503M,0.503M,678.79M,678.79M,,9.426B,1.359B,1.359B,,,,,,205.46M,1.564B,10.99B,,4.867M,3.206B,3.817B,4.158B,,,-38.29M,2.832B,,AOR,Restated
2009-12,979.57M,,979.57M,3.541B,3.541B,5.362B,33.79M,,9.916B,0.00,36.11M,294.24M,727.66M,1.058B,-416.11M,641.91M,,,2.857B,,140.99M,3.640B,13.56B,,8.226B,8.226B,355.83M,8.581B,,,0.593M,0.593M,661.47M,661.47M,,9.243B,1.375B,1.375B,,,,,,196.71M,1.572B,10.82B,,4.846M,3.048B,3.775B,4.044B,,,-42.82M,2.741B,,AOR,Restated
2009-09,1.009B,,1.009B,3.917B,3.917B,4.973B,55.06M,,9.954B,0.00,35.66M,292.90M,694.56M,1.023B,-403.88M,619.24M,2.542B,316.71M,2.859B,,140.68M,3.619B,13.57B,,8.517B,8.517B,315.66M,8.833B,,,1.068M,1.068M,645.72M,645.72M,,9.480B,1.177B,1.177B,,,,,,199.73M,1.377B,10.86B,,4.829M,2.920B,3.738B,3.900B,,,-46.10M,2.716B,,AOR,Restated
2009-06,912.92M,,912.92M,3.747B,3.747B,4.424B,54.58M,,9.138B,0.00,35.64M,290.09M,684.82M,1.011B,-415.52M,595.04M,,,2.856B,,146.56M,3.597B,12.74B,,7.701B,7.701B,289.73M,7.990B,,,0.71M,0.71M,596.02M,596.02M,,8.587B,1.190B,1.190B,,,,,,174.23M,1.364B,9.951B,,4.821M,2.806B,3.717B,3.723B,,,-20.98M,2.784B,,AOR,Restated
2009-03,655.33M,,655.33M,3.734B,3.734B,4.579B,36.85M,,9.005B,0.00,35.52M,287.54M,648.05M,971.11M,-394.46M,576.64M,2.518B,327.02M,2.845B,,122.91M,3.544B,12.55B,,7.651B,7.651B,251.59M,7.903B,,,0.695M,0.695M,574.36M,574.36M,,8.478B,1.159B,1.159B,,,,,,153.56M,1.313B,9.791B,,2.409M,2.703B,3.711B,3.629B,,,-27.73M,2.759B,,AOR,Restated
2008-12,470.92M,,470.92M,3.538B,3.538B,4.964B,34.74M,,9.007B,0.00,35.54M,285.95M,640.34M,961.82M,-389.38M,572.44M,2.853B,,2.853B,,129.02M,3.554B,12.56B,,7.656B,7.656B,291.18M,7.947B,,,1.31M,1.31M,558.44M,558.44M,,8.507B,1.185B,1.185B,,,,,,153.19M,1.339B,9.845B,,2.406M,2.575B,3.701B,3.535B,,,-26.56M,2.716B,,,Restated
2008-09,878.11M,,878.11M,3.480B,3.480B,4.212B,55.91M,43.69M,8.670B,0.00,35.26M,281.00M,616.94M,933.20M,-381.04M,552.16M,2.875B,,2.875B,,120.50M,3.548B,12.22B,,7.327B,7.327B,270.82M,7.597B,,,1.719M,1.719M,550.71M,550.71M,17.76M,8.168B,1.187B,1.187B,,,,,,152.74M,1.340B,9.508B,,2.406M,2.479B,3.692B,3.447B,,,-16.49M,2.710B,,,Restated
2008-06,583.09M,,583.09M,3.667B,3.667B,4.116B,27.42M,53.95M,8.448B,0.00,35.77M,255.84M,513.83M,805.44M,-284.21M,521.22M,2.548B,471.30M,3.019B,,,3.541B,11.99B,,7.039B,7.039B,286.88M,7.326B,,,1.872M,1.872M,522.91M,522.91M,20.77M,7.872B,1.231B,1.231B,,,,,,161.67M,1.393B,9.264B,,2.402M,2.376B,3.674B,3.321B,,,-8.071M,2.724B,,,
2008-03,591.36M,,591.36M,3.648B,3.648B,4.528B,41.19M,,8.809B,0.00,35.77M,260.47M,555.27M,851.52M,-322.42M,529.10M,2.747B,488.26M,3.235B,,,3.764B,12.57B,,7.397B,7.397B,307.28M,7.704B,,,1.616M,1.616M,529.40M,529.40M,,8.235B,1.224B,1.224B,,,,,,166.44M,1.390B,9.625B,,2.387M,2.496B,3.620B,3.162B,,,-8.064M,2.948B,,,
2007-12,524.14M,,524.14M,3.462B,3.462B,4.822B,30.77M,,8.839B,0.00,35.78M,253.83M,537.79M,827.40M,-303.65M,523.75M,2.780B,469.67M,3.249B,,,3.773B,12.61B,,7.415B,7.415B,387.54M,7.802B,,,1.487M,1.487M,507.63M,507.63M,,8.312B,1.250B,1.250B,,,,,,164.78M,1.415B,9.727B,,2.381M,2.375B,3.595B,3.079B,,,-8.035M,2.885B,,,
2007-09,640.20M,467.42M,1.108B,3.472B,3.472B,4.102B,32.82M,,8.714B,0.00,35.79M,243.48M,512.19M,791.46M,-284.48M,506.98M,2.611B,477.72M,3.089B,,,3.596B,12.31B,,6.989B,6.989B,370.66M,7.359B,,,0.476M,0.476M,497.12M,497.12M,,7.857B,1.227B,1.227B,,,,,,126.01M,1.353B,9.210B,,2.379M,2.286B,3.583B,2.767B,8.896M,-14.14M,-5.247M,3.100B,,,
2007-06,487.01M,954.20M,1.441B,3.549B,3.549B,4.129B,30.94M,,9.150B,0.00,35.67M,257.82M,592.37M,885.85M,-356.87M,528.99M,2.738B,473.60M,3.212B,,,3.741B,12.89B,,6.887B,6.887B,469.50M,7.357B,,,0.621M,0.621M,483.45M,483.45M,,7.841B,1.213B,1.213B,,,,,,101.55M,1.314B,9.155B,,2.378M,2.404B,3.574B,2.236B,,,-9.371M,3.736B,,,
