,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-06,291.02M,291.02M,730.37M,730.37M,,184.49M,,,,1.206B,,,,,5.827B,,,5.827B,-2.651B,3.175B,3.989B,1.309B,5.298B,,135.72M,8.609B,9.815B,247.13M,,,247.13M,579.07M,826.20M,,423.27M,,423.27M,225.13M,225.13M,,1.475B,6.029B,,6.029B,170.89M,,299.77M,1.509M,68.08M,85.95M,6.483B,7.957B,2.644M,-1.498B,3.505B,,,,,-153.59M,1.856B
2017-03,295.63M,295.63M,721.03M,721.03M,,181.98M,,,,1.199B,,,,,5.662B,,,5.662B,-2.551B,3.112B,3.957B,1.291B,5.248B,,114.02M,8.473B,9.672B,239.89M,,,239.89M,533.65M,773.54M,,421.23M,,421.23M,223.70M,223.70M,,1.418B,5.923B,,5.923B,151.31M,,273.25M,1.049M,67.31M,86.58M,6.350B,7.768B,2.641M,-1.431B,3.492B,,,,,-161.24M,1.903B
2016-12,236.48M,236.48M,691.25M,691.25M,,184.37M,,,,1.112B,0.0,260.06M,1.702B,2.913B,,121.73M,538.37M,5.536B,-2.452B,3.083B,3.905B,1.269B,5.174B,,117.02M,8.375B,9.487B,222.20M,5.625M,,227.82M,374.52M,602.34M,,172.98M,,172.98M,201.13M,201.13M,,1.047B,6.078B,,6.078B,151.30M,,271.13M,0.124M,54.70M,99.54M,6.504B,7.550B,2.636M,-1.343B,3.490B,,,,,-212.57M,1.937B
2016-09,458.13M,458.13M,700.24M,700.24M,,169.99M,,11.08M,,1.467B,,,,,5.575B,,,5.575B,-2.408B,3.167B,3.862B,1.323B,5.185B,,85.76M,8.438B,9.905B,233.97M,,,233.97M,447.41M,681.38M,,121.20M,,121.20M,202.17M,202.17M,19.27M,1.024B,6.338B,,6.338B,192.78M,,303.82M,25.56M,,88.79M,6.731B,7.755B,2.634M,-1.246B,3.507B,,,,,-138.45M,2.125B
2016-06,236.99M,236.99M,710.53M,710.53M,,192.70M,,5.19M,,1.289B,,,,,5.541B,,,5.541B,-2.345B,3.196B,3.840B,1.329B,5.169B,,86.25M,8.452B,9.741B,220.12M,,,220.12M,415.54M,635.66M,,112.51M,,112.51M,212.23M,212.23M,21.63M,982.03M,6.103B,,6.103B,214.53M,,323.57M,24.96M,,86.37M,6.513B,7.495B,2.63M,-1.125B,3.493B,,,,,-149.29M,2.221B
2016-03,117.94M,117.94M,574.72M,574.72M,,116.97M,,22.26M,,831.90M,,,,,4.865B,,,4.865B,-2.326B,2.539B,2.401B,621.09M,3.022B,,29.30M,5.590B,6.422B,180.26M,,,180.26M,297.17M,477.43M,,89.97M,,89.97M,181.09M,181.09M,,748.49M,4.931B,,4.931B,50.94M,,147.02M,24.75M,,74.36M,5.153B,5.901B,2.119M,-982.53M,1.629B,,,,,-152.16M,496.40M
2015-12,128.38M,128.38M,564.40M,597.57M,,109.78M,,22.18M,,857.91M,0.0,218.17M,1.507B,2.458B,,112.92M,447.45M,4.744B,-2.247B,2.497B,2.361B,606.10M,2.967B,,28.44M,5.493B,6.351B,219.59M,,,219.59M,289.64M,509.23M,,88.07M,,88.07M,183.11M,183.11M,,841.83M,4.758B,,4.758B,55.00M,,150.70M,19.77M,0.00,71.84M,4.980B,5.822B,2.113M,-942.22M,1.624B,,,,,-174.92M,508.84M
2015-09,492.90M,492.90M,573.89M,573.89M,,139.16M,0.00,22.35M,,1.228B,,,,,4.644B,,,4.644B,-2.215B,2.429B,2.347B,576.66M,2.924B,65.87M,23.21M,5.442B,6.670B,156.84M,,,156.84M,318.01M,474.85M,,253.73M,,253.73M,182.20M,182.20M,,910.78M,4.921B,,4.921B,47.03M,,144.11M,12.57M,,74.59M,5.139B,6.050B,2.111M,-844.68M,1.613B,,,,,-163.69M,607.20M
2015-06,117.10M,117.10M,596.25M,596.25M,,139.77M,0.00,21.61M,,874.73M,,,,,4.682B,,,4.682B,-2.189B,2.493B,2.389B,597.29M,2.986B,43.83M,25.02M,5.548B,6.423B,162.24M,,,162.24M,333.81M,496.05M,,70.24M,,70.24M,185.85M,185.85M,,752.14M,4.719B,,4.719B,49.84M,,150.18M,13.44M,,79.12M,4.948B,5.700B,2.108M,-766.85M,1.603B,,,,,-129.75M,708.79M
2015-03,119.60M,119.60M,590.03M,590.03M,,136.79M,20.00M,21.05M,,887.47M,,,,,4.597B,,,4.597B,-2.120B,2.477B,2.359B,582.07M,2.941B,45.06M,21.49M,5.484B,6.371B,184.41M,,,184.41M,296.25M,480.65M,,54.48M,,54.48M,185.20M,185.20M,,720.33M,4.667B,,4.667B,55.88M,,154.90M,13.65M,,72.36M,4.895B,5.615B,2.105M,-719.00M,1.591B,,,,,-131.08M,742.86M
2014-12,125.93M,125.93M,604.26M,645.82M,,97.91M,33.86M,14.19M,,917.72M,0.0,205.46M,1.409B,2.456B,,130.89M,467.18M,4.669B,-2.118B,2.551B,2.424B,609.86M,3.034B,,21.18M,5.606B,6.523B,203.01M,,,203.01M,304.55M,507.57M,,52.10M,,52.10M,197.14M,197.14M,,856.74M,4.564B,,4.564B,54.66M,,158.71M,13.60M,,73.51M,4.797B,5.653B,2.098M,-659.55M,1.589B,,,,,-75.03M,856.36M
2014-09,183.99M,183.99M,619.00M,619.00M,,128.91M,33.86M,10.64M,,976.39M,,,,,4.665B,,,4.665B,-2.105B,2.561B,2.421B,602.86M,3.024B,50.96M,24.36M,5.660B,6.636B,141.64M,795.67M,,937.32M,284.24M,1.222B,,60.80M,,60.80M,232.63M,232.63M,,1.598B,4.332B,,4.332B,60.96M,,166.33M,11.89M,,72.35M,4.570B,6.169B,1.937M,-516.36M,1.017B,,,,,-47.23M,455.77M
2014-06,145.34M,145.34M,636.98M,636.98M,,145.02M,33.86M,1.67M,,962.87M,,,,,4.738B,,,4.738B,-2.131B,2.607B,2.473B,625.82M,3.099B,42.37M,23.83M,5.772B,6.735B,162.04M,,,162.04M,444.75M,606.79M,,56.60M,,56.60M,238.32M,238.32M,,901.71M,4.298B,,4.298B,64.01M,,171.83M,9.015M,,66.50M,4.536B,5.438B,1.93M,276.35M,1.012B,,,,,-2.335M,1.288B
2014-03,169.91M,169.91M,626.12M,626.12M,,131.77M,33.86M,25.98M,,987.63M,,,,,4.642B,,,4.642B,-2.080B,2.562B,2.466B,622.07M,3.088B,43.94M,25.19M,5.719B,6.707B,167.64M,,,167.64M,417.70M,585.33M,,55.08M,,55.08M,227.43M,227.43M,,867.85M,4.289B,,4.289B,319.13M,,429.05M,8.353M,,69.94M,4.788B,5.655B,1.919M,63.30M,984.58M,,,,,-6.983M,1.043B
2013-12,120.53M,120.53M,616.80M,648.71M,,112.89M,33.86M,17.62M,,933.61M,0.0,203.42M,1.283B,2.467B,,177.38M,499.91M,4.631B,-2.053B,2.578B,2.463B,607.65M,3.071B,45.61M,24.52M,5.719B,6.653B,216.46M,55.14M,,271.60M,314.78M,586.38M,,52.58M,,52.58M,238.72M,238.72M,,969.10M,4.119B,,4.119B,340.57M,,444.81M,10.50M,,68.22M,4.632B,5.601B,1.914M,67.82M,980.16M,,,,,-8.66M,1.041B
2013-09,172.03M,172.03M,614.65M,614.65M,,106.36M,33.61M,15.83M,,942.48M,,,,,4.581B,,,4.581B,-2.075B,2.506B,2.376B,490.80M,2.867B,47.02M,18.42M,5.438B,6.381B,164.97M,,,164.97M,402.61M,567.58M,,51.53M,,51.53M,209.38M,209.38M,,828.50M,3.974B,,3.974B,336.22M,,435.52M,13.45M,,70.79M,4.480B,5.309B,1.912M,78.86M,982.44M,,,,,-4.497M,1.059B
2013-06,258.87M,258.87M,581.48M,581.48M,,156.10M,33.61M,15.92M,,1.046B,,,,,4.466B,,,4.466B,-2.013B,2.452B,2.317B,460.46M,2.778B,40.92M,17.99M,5.289B,6.335B,141.69M,,,141.69M,396.07M,537.76M,,324.68M,,324.68M,210.48M,210.48M,,1.073B,3.614B,,3.614B,393.60M,,487.78M,13.27M,,66.55M,4.168B,5.241B,1.911M,126.96M,973.10M,,,,,-21.70M,1.080B
2013-03,230.00M,230.00M,571.40M,571.40M,,166.12M,33.61M,0.00,,1.001B,,,,,4.470B,,,4.470B,-1.992B,2.478B,2.309B,448.69M,2.757B,42.49M,19.04M,5.297B,6.298B,168.59M,,,168.59M,369.40M,537.99M,,91.85M,,91.85M,214.73M,214.73M,,844.58M,3.758B,,3.758B,408.13M,,501.28M,13.52M,,66.40M,4.326B,5.170B,1.906M,152.50M,954.80M,,,,,5.352M,1.115B
2012-12,243.42M,243.42M,572.20M,640.51M,,96.40M,33.61M,10.15M,,1.024B,0.0,199.35M,1.217B,2.456B,,108.74M,461.93M,4.443B,-1.966B,2.478B,2.335B,460.02M,2.795B,43.85M,17.89M,5.334B,6.358B,168.12M,53.04M,,221.16M,275.14M,496.30M,,92.89M,,92.89M,217.13M,217.13M,,904.95M,3.732B,,3.732B,398.55M,,495.90M,12.48M,,62.92M,4.291B,5.196B,1.90M,185.56M,942.20M,,,,,20.31M,1.150B
2012-09,334.58M,334.58M,576.50M,576.50M,,113.90M,36.61M,4.393M,,1.066B,,,,,,,,4.358B,-1.948B,2.410B,2.336B,443.42M,2.780B,45.42M,26.53M,5.262B,6.328B,124.76M,,,124.76M,379.71M,504.47M,,71.38M,,71.38M,196.76M,196.76M,,772.62M,3.668B,,3.668B,434.85M,97.89M,532.74M,11.92M,,55.04M,4.256B,5.028B,1.721M,913.14M,354.08M,,,,,18.27M,1.287B
2012-06,170.23M,170.23M,572.38M,572.38M,,97.49M,36.61M,14.45M,,891.15M,,,,,,,,4.256B,-1.879B,2.376B,2.322B,447.20M,2.769B,32.91M,17.80M,5.196B,6.087B,136.67M,,,136.67M,378.37M,515.03M,,62.84M,,62.84M,202.86M,202.86M,,780.73M,3.430B,,3.430B,468.06M,96.44M,564.50M,10.71M,,61.50M,4.056B,4.837B,1.716M,906.81M,332.37M,,,,,-1.285M,1.240B
2012-03,178.29M,178.29M,558.36M,558.36M,,110.65M,35.11M,42.29M,,932.00M,,,,,,,,4.244B,-1.842B,2.403B,2.283B,416.32M,2.699B,34.44M,18.59M,5.155B,6.087B,139.24M,,,139.24M,363.72M,502.95M,,63.23M,,63.23M,204.10M,204.10M,7.859M,778.14M,3.390B,,3.390B,493.95M,97.58M,591.54M,9.187M,,57.70M,4.040B,4.818B,1.712M,915.13M,317.49M,,,,,25.29M,1.260B
2011-12,179.84M,179.84M,543.47M,560.64M,,88.36M,35.11M,43.24M,,914.45M,0.0,172.45M,1.109B,2.383B,,93.09M,474.96M,4.233B,-1.826B,2.407B,2.254B,412.01M,2.666B,35.80M,17.65M,5.127B,6.041B,156.38M,43.18M,,199.56M,273.74M,473.30M,,73.32M,,73.32M,197.18M,197.18M,3.317M,849.03M,3.280B,,3.280B,507.36M,,604.54M,8.568M,,53.17M,3.938B,4.787B,1.721M,902.57M,343.60M,,,,,-2.203M,1.246B
2011-09,480.88M,480.88M,548.42M,548.42M,,132.32M,35.11M,50.96M,,1.260B,,,,,,,,4.208B,-1.812B,2.396B,2.259B,417.82M,2.677B,37.17M,21.45M,5.132B,6.391B,130.47M,,,130.47M,392.42M,522.89M,,63.19M,,63.19M,166.10M,166.10M,2.51M,754.69M,3.257B,,3.257B,517.58M,95.57M,613.14M,7.375M,,52.70M,3.923B,4.678B,1.866M,924.09M,774.82M,,,,,5.552M,1.706B
2011-06,271.42M,271.42M,577.62M,577.62M,,120.67M,35.11M,51.70M,,1.070B,,,,,,,,4.298B,-1.820B,2.478B,2.358B,450.11M,2.808B,32.10M,22.51M,5.341B,6.411B,133.63M,,,133.63M,422.40M,556.04M,,66.20M,,66.20M,172.82M,172.82M,3.342M,798.39M,2.867B,,2.867B,501.84M,95.71M,597.55M,8.503M,,85.73M,3.550B,4.349B,2.029M,933.63M,1.047B,,,,,70.80M,2.054B
2011-03,189.82M,189.82M,610.15M,610.15M,,140.45M,35.11M,43.08M,,1.019B,,,,,,,,4.447B,-1.921B,2.527B,2.379B,476.76M,2.856B,26.91M,41.91M,5.452B,6.470B,132.14M,,,132.14M,421.88M,554.02M,,44.80M,,44.80M,209.13M,209.13M,,807.95M,2.961B,,2.961B,489.92M,97.63M,587.55M,8.503M,,85.74M,3.634B,4.442B,2.003M,731.57M,1.234B,,,,,52.00M,2.019B
2010-12,258.69M,258.69M,575.83M,575.83M,,146.42M,35.10M,39.13M,,1.055B,0.0,1.235B,,2.540B,,107.51M,481.01M,4.363B,-1.844B,2.519B,2.324B,418.71M,2.743B,29.15M,49.69M,5.341B,6.396B,161.20M,,,161.20M,395.32M,556.52M,,96.99M,,96.99M,201.43M,201.43M,,854.93M,2.912B,,2.912B,481.64M,95.86M,577.50M,7.417M,,87.64M,3.578B,4.433B,2.001M,695.71M,1.229B,,,,,29.48M,1.956B
2010-09,184.17M,184.17M,590.23M,590.23M,,157.14M,35.10M,27.96M,,994.61M,,,,,,,,4.284B,-1.785B,2.499B,2.333B,423.54M,2.757B,30.31M,70.25M,5.356B,6.351B,138.36M,,,138.36M,374.73M,513.09M,,36.76M,,36.76M,197.32M,197.32M,,747.17M,2.973B,,2.973B,478.63M,95.19M,573.82M,6.673M,,89.75M,3.637B,4.384B,2.005M,700.20M,1.236B,,,,,22.32M,1.961B
2010-06,340.48M,340.48M,581.18M,581.18M,,142.72M,35.10M,25.76M,,1.125B,,,,,,,,4.162B,-1.705B,2.457B,2.544B,415.69M,2.960B,32.58M,72.30M,5.522B,6.647B,124.31M,,,124.31M,361.70M,486.01M,,37.66M,,37.66M,207.98M,207.98M,,731.65M,3.129B,,3.129B,450.87M,90.76M,541.62M,3.742M,,128.62M,3.799B,4.531B,2.02M,866.51M,1.268B,,,,,-23.96M,2.112B
2010-03,325.42M,325.42M,582.60M,582.60M,,115.95M,35.10M,31.25M,,1.090B,,,,,,,,4.165B,-1.657B,2.508B,2.593B,429.44M,3.022B,34.01M,84.38M,5.648B,6.739B,132.40M,,,132.40M,339.72M,472.11M,,37.80M,,37.80M,216.00M,216.00M,,725.91M,3.183B,,3.183B,463.24M,89.67M,552.91M,4.085M,,124.57M,3.861B,4.587B,2.034M,837.86M,1.300B,,,,,8.183M,2.148B
2009-12,446.66M,446.66M,585.38M,585.38M,,141.47M,0.00,37.92M,,1.211B,0.0,1.202B,,2.404B,,148.80M,429.33M,4.185B,-1.616B,2.568B,2.535B,438.81M,2.974B,35.21M,58.48M,5.635B,6.847B,175.23M,,,175.23M,390.86M,566.09M,,40.56M,,40.56M,208.06M,208.06M,,814.71M,3.211B,,3.211B,467.07M,90.50M,557.57M,4.104M,,105.86M,3.875B,4.689B,2.035M,825.01M,1.299B,,,,,27.66M,2.153B
2009-09,449.26M,449.26M,596.43M,596.43M,,126.73M,,25.25M,,1.198B,,,,,,,,4.030B,-1.562B,2.468B,2.507B,439.72M,2.946B,36.14M,58.13M,5.509B,6.706B,136.57M,,,136.57M,347.63M,484.20M,,30.71M,,30.71M,206.59M,206.59M,,721.50M,3.276B,,3.276B,462.72M,83.65M,546.37M,2.124M,,112.35M,3.935B,4.656B,2.033M,751.54M,1.290B,,,,,4.822M,2.048B
2009-06,316.06M,316.06M,589.16M,589.16M,,169.41M,,37.99M,,1.113B,,,,,,,,3.871B,-1.484B,2.387B,2.449B,432.44M,2.882B,30.86M,59.81M,5.360B,6.472B,123.62M,,,123.62M,316.44M,440.05M,,30.58M,,30.58M,206.14M,206.14M,,676.77M,3.208B,,3.208B,442.50M,79.27M,521.77M,2.831M,,114.01M,3.844B,4.521B,2.027M,708.35M,1.273B,,,,,-34.56M,1.949B
2009-03,271.83M,271.83M,562.66M,562.66M,,100.15M,,39.30M,,973.94M,,,,,,,,3.744B,-1.408B,2.336B,2.413B,427.86M,2.840B,31.85M,62.04M,5.271B,6.245B,121.21M,,,121.21M,312.79M,434.00M,,30.03M,,30.03M,199.68M,199.68M,,663.71M,3.130B,,3.130B,442.07M,75.92M,517.99M,3.442M,,114.46M,3.763B,4.427B,2.022M,620.71M,1.258B,,,,,-65.73M,1.815B
2008-12,278.37M,278.37M,552.83M,552.83M,,103.89M,,41.30M,,976.39M,0.0,1.091B,,969.47M,1.198B,144.86M,346.84M,3.751B,-1.364B,2.387B,2.452B,443.73M,2.896B,33.19M,64.49M,5.380B,6.357B,154.61M,,,154.61M,356.47M,511.09M,,35.75M,,35.75M,182.76M,182.76M,,729.60M,3.207B,,3.207B,427.32M,73.00M,500.33M,3.548M,,113.14M,3.821B,4.551B,2.019M,591.91M,1.250B,,,,,-41.22M,1.803B
2008-09,318.24M,318.24M,610.47M,610.47M,,95.56M,,58.03M,,1.082B,,,,,,,,3.747B,-1.356B,2.391B,2.581B,479.58M,3.061B,,103.42M,5.555B,6.638B,139.12M,,,139.12M,423.49M,562.60M,,22.37M,,22.37M,196.62M,196.62M,,781.58M,3.393B,,3.393B,394.03M,,394.03M,3.376M,,167.87M,3.955B,4.737B,2.016M,590.56M,1.241B,,,64.28M,1.897B,1.962B,1.897B
2008-06,203.20M,203.20M,603.42M,603.42M,,90.76M,,57.77M,,955.15M,,,,,,,,3.672B,-1.301B,2.371B,2.583B,499.24M,3.083B,,99.46M,5.553B,6.509B,147.44M,,,147.44M,311.65M,459.09M,,98.84M,,98.84M,197.68M,197.68M,,755.61M,3.319B,,3.319B,355.48M,,355.48M,4.27M,,173.96M,3.848B,4.604B,2.014M,579.24M,1.234B,,,,,85.51M,1.900B
2008-03,107.42M,107.42M,586.46M,586.46M,,107.02M,,59.35M,,860.26M,,,,,,,,3.574B,-1.240B,2.334B,2.560B,478.10M,3.038B,,94.38M,5.466B,6.327B,151.22M,,,151.22M,301.28M,452.50M,,25.79M,,25.79M,203.02M,203.02M,,681.30M,3.279B,,3.279B,360.23M,,360.23M,9.876M,,161.41M,3.801B,4.482B,2.01M,543.36M,1.218B,,,,,71.65M,1.835B
2007-12,125.61M,125.61M,564.05M,564.05M,,91.28M,,41.46M,,822.40M,,,,3.523B,,,,3.523B,-1.187B,2.336B,2.574B,480.40M,3.055B,,94.87M,5.486B,6.308B,208.67M,,,208.67M,329.22M,537.89M,,33.44M,,33.44M,194.34M,194.34M,,765.68M,3.233B,,3.233B,351.23M,,351.23M,9.089M,,153.63M,3.738B,4.503B,2.007M,509.88M,1.210B,,,73.40M,0.663M,74.06M,1.795B
2007-09,90.75M,90.75M,560.08M,560.08M,,98.34M,,2.223M,,751.40M,,,,,,,,3.322B,-1.124B,2.198B,2.412B,458.37M,2.871B,,82.84M,5.152B,5.903B,139.45M,,,139.45M,312.35M,451.80M,,28.38M,,28.38M,177.28M,177.28M,,657.46M,3.074B,,3.074B,277.55M,,277.55M,6.82M,,168.26M,3.520B,4.178B,2.003M,481.87M,1.174B,,,,,60.62M,1.719B
