,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.042B,1.042B,448.72M,593.74M,68.87M,136.29M,205.17M,6.348M,-23.93M,,99.01M,1.386M,-97.63M,39.50M,405.25M,188.49M,1.386M,99.01M,-97.63M,-44.08M,-97.63M,46.78M,1.168M,45.61M,-0.462M,,-0.468M,,44.68M,89.72M,306.37M,160.58M,145.79M,0.16,0.0,,,0.3163,0.16,0.16,0.0,,,0.3158,0.16,285.26M,285.99M,0.5875
2017-12,991.24M,991.24M,405.51M,585.73M,66.24M,148.53M,214.77M,9.021M,-84.63M,,90.58M,1.94M,-88.64M,36.00M,391.82M,193.90M,1.94M,90.58M,-88.64M,-100.24M,-88.64M,5.031M,-6.535M,10.64M,-2.87M,,1.242M,,9.013M,71.87M,236.66M,141.06M,95.61M,0.04,-0.01,,,0.2619,0.03,0.04,-0.01,,,0.2609,0.03,270.32M,271.50M,0.5875
2017-09,965.66M,965.66M,418.33M,547.33M,61.86M,127.68M,189.54M,3.824M,-66.82M,,91.52M,2.526M,-88.99M,34.00M,352.06M,195.28M,2.526M,91.52M,-88.99M,-78.00M,-88.99M,28.29M,2.268M,25.38M,-1.058M,,0.021M,,24.34M,97.79M,248.32M,128.22M,119.80M,0.1,0.0,,,0.373,0.09,0.1,0.0,,,0.372,0.09,265.20M,266.14M,0.55
2017-06,949.81M,949.81M,414.28M,535.52M,61.71M,126.11M,187.83M,4.398M,-19.09M,,89.97M,,-89.97M,30.32M,346.24M,189.28M,,89.97M,-89.97M,0.28M,-89.97M,99.59M,18.01M,83.15M,-2.026M,,-2.492M,,78.63M,112.83M,317.95M,128.39M,189.56M,0.31,-0.01,,,0.4318,0.3,0.3,-0.01,,,0.4214,0.3,264.22M,264.93M,0.55
2017-03,938.88M,938.88M,426.71M,512.17M,63.31M,134.80M,198.11M,-2.417M,-9.808M,,86.06M,,-86.06M,31.79M,354.61M,157.56M,,86.06M,-86.06M,-3.444M,-86.06M,68.06M,9.22M,58.84M,-0.337M,,-0.382M,,58.12M,63.34M,278.83M,124.71M,154.12M,0.22,0.0,,,0.2385,0.22,0.22,0.0,,,0.2384,0.22,263.86M,264.81M,0.55
2016-12,934.19M,934.19M,416.22M,517.98M,62.85M,132.89M,195.74M,2.956M,-27.40M,,87.44M,2.009M,-85.43M,29.96M,351.12M,166.86M,2.009M,87.44M,-85.43M,-34.69M,-85.43M,46.73M,-1.213M,49.80M,-0.275M,,-0.587M,,48.94M,68.70M,259.60M,125.43M,134.18M,0.19,-0.01,,,0.2639,0.2,0.19,-0.01,,,0.2637,0.19,263.53M,264.51M,0.55
2016-09,942.82M,942.82M,429.81M,513.01M,60.57M,128.25M,188.82M,2.583M,-32.20M,,85.42M,2.118M,-83.30M,31.86M,345.36M,167.66M,2.118M,85.42M,-83.30M,-55.51M,-83.30M,28.85M,23.42M,5.759M,2.041M,,-0.72M,,7.08M,30.77M,238.94M,124.67M,114.27M,0.02,0.01,,,0.1177,0.03,0.02,0.01,,,0.1173,0.03,263.27M,264.50M,0.485
2016-06,883.75M,883.75M,395.65M,488.10M,61.54M,131.42M,192.95M,3.028M,-61.77M,,77.01M,2.144M,-74.87M,31.01M,338.99M,149.11M,2.144M,77.01M,-74.87M,-78.12M,-74.87M,-3.881M,10.84M,-14.72M,1.587M,,-0.835M,,-13.97M,31.82M,188.15M,115.02M,73.13M,-0.06,0.01,,,0.1323,-0.06,-0.06,0.01,,,0.1323,-0.06,246.39M,246.39M,0.485
2016-03,750.69M,750.69M,326.10M,424.58M,53.22M,111.99M,165.21M,0.138M,-18.01M,,68.35M,1.287M,-67.06M,24.09M,276.50M,148.08M,1.287M,68.35M,-67.06M,-6.077M,-67.06M,74.94M,11.90M,63.04M,0.00,,-0.267M,,62.77M,67.38M,230.49M,87.20M,143.29M,0.3,0.0,,,0.3218,0.3,0.3,0.0,,,0.3217,0.3,211.53M,212.47M,0.485
2015-12,752.43M,752.43M,324.42M,428.00M,53.07M,113.39M,166.46M,-0.321M,-53.81M,,68.96M,1.207M,-67.75M,24.14M,276.07M,151.93M,1.207M,68.96M,-67.75M,-67.65M,-67.75M,16.53M,10.59M,5.94M,0.00,,-0.235M,,5.705M,46.63M,170.96M,85.47M,85.48M,0.02,0.01,,,0.2137,0.03,0.02,0.01,,,0.2128,0.03,211.21M,212.23M,0.485
2015-09,746.53M,746.53M,317.66M,428.87M,54.08M,116.30M,170.37M,5.224M,-21.90M,,66.27M,1.132M,-65.14M,25.43M,282.30M,146.57M,1.132M,66.27M,-65.14M,-54.99M,-65.14M,26.44M,3.774M,23.52M,0.00,,-0.407M,,23.11M,69.77M,179.20M,86.49M,92.71M,0.11,0.0,,,0.3312,0.11,0.11,0.0,,,0.3302,0.11,210.91M,211.92M,0.475
2015-06,759.73M,759.73M,326.28M,433.45M,54.55M,121.73M,176.28M,8.593M,-14.77M,,66.92M,0.831M,-66.09M,25.35M,289.18M,144.27M,0.831M,66.92M,-66.09M,-16.77M,-66.09M,61.41M,7.404M,54.01M,0.00,,-0.677M,,53.33M,67.77M,215.88M,87.55M,128.33M,0.26,-0.01,,,0.3285,0.25,0.25,-0.01,,,0.3181,0.25,210.70M,212.08M,0.475
2015-03,749.29M,749.29M,321.65M,427.63M,52.33M,117.54M,169.88M,1.829M,-2.162M,,65.71M,0.814M,-64.90M,24.71M,280.54M,147.10M,0.814M,65.71M,-64.90M,-24.51M,-64.90M,57.69M,15.95M,41.74M,,,-0.643M,,41.10M,58.78M,209.35M,85.95M,123.40M,0.2,,,,0.2841,0.2,0.19,,,,0.2733,0.19,210.24M,212.25M,0.475
2014-12,777.98M,777.98M,337.02M,440.95M,54.14M,144.19M,198.33M,-0.449M,-15.88M,,71.36M,-1.619M,-72.98M,26.77M,313.67M,127.28M,-1.619M,71.36M,-72.98M,-41.59M,-72.98M,12.71M,0.876M,12.67M,0.729M,,-0.654M,,12.75M,57.28M,172.65M,88.58M,84.08M,0.04,0.0,,,0.2624,0.04,0.04,0.0,,,0.2602,0.04,203.49M,205.50M,0.475
2014-09,782.70M,782.70M,335.51M,447.19M,53.24M,132.34M,185.57M,5.184M,-5.368M,,64.38M,1.158M,-63.22M,25.58M,300.35M,146.84M,1.158M,64.38M,-63.22M,-27.88M,-63.22M,55.75M,54.89M,0.858M,0.00,,-0.792M,,0.066M,18.83M,209.32M,89.19M,120.13M,0.0003,0.0,,,0.0974,0.0003,0.0003,0.0,,,0.0966,0.0003,193.36M,194.90M,0.475
2014-06,786.89M,786.89M,336.96M,449.93M,51.60M,131.13M,182.73M,4.755M,-4.648M,,63.58M,1.378M,-62.20M,26.32M,297.99M,151.94M,1.378M,63.58M,-62.20M,0.19M,-62.20M,89.93M,-182.78M,272.70M,-0.326M,,-0.739M,,271.64M,272.16M,242.45M,88.94M,153.51M,1.42,-0.02,,,1.421,1.4,1.41,-0.02,,,1.411,1.4,192.38M,193.53M,0.27
2014-03,770.13M,770.13M,335.14M,434.98M,54.55M,131.00M,185.55M,4.72M,-5.872M,,63.84M,1.526M,-62.31M,24.51M,296.49M,138.49M,1.526M,63.84M,-62.31M,-11.19M,-62.31M,64.99M,29.73M,42.72M,-0.612M,,-0.442M,,41.67M,50.28M,215.26M,86.43M,128.82M,0.22,0.0,,,0.2617,0.22,0.22,0.0,,,0.2614,0.22,191.88M,193.07M,0.27
2013-12,768.21M,768.21M,336.08M,432.13M,61.77M,157.75M,219.52M,4.518M,-5.538M,,65.61M,2.09M,-63.52M,26.81M,329.58M,102.55M,2.09M,65.61M,-63.52M,-16.71M,-63.52M,22.32M,-26.02M,48.34M,-0.684M,,-0.596M,,47.06M,60.22M,171.18M,83.25M,87.93M,0.25,-0.02,,,0.3151,0.25,0.25,-0.03,,,0.3147,0.24,191.61M,192.70M,0.27
2013-09,755.31M,755.31M,310.66M,444.65M,53.50M,146.70M,200.20M,2.277M,-45.77M,,65.56M,1.075M,-64.48M,22.73M,302.59M,142.06M,1.075M,65.56M,-64.48M,-48.06M,-64.48M,29.52M,24.19M,5.33M,-0.571M,,-0.91M,,3.849M,35.87M,174.74M,79.66M,95.08M,0.03,-0.01,,,0.1944,0.02,0.03,-0.01,,,0.1936,0.02,191.33M,192.27M,0.27
2013-06,754.40M,754.40M,321.06M,433.34M,50.26M,147.63M,197.89M,2.214M,-0.551M,,63.81M,0.818M,-62.99M,24.43M,301.24M,132.10M,0.818M,63.81M,-62.99M,-15.83M,-62.99M,53.28M,25.94M,27.34M,-0.098M,,-0.876M,,26.37M,37.46M,196.02M,78.93M,117.09M,0.14,0.0,,,0.1976,0.14,0.14,0.0,,,0.1971,0.14,190.82M,192.57M,0.27
2013-03,747.03M,747.03M,321.08M,425.96M,53.62M,143.62M,197.24M,2.312M,-1.773M,,63.41M,0.225M,-63.18M,23.90M,301.34M,124.62M,0.225M,63.41M,-63.18M,-4.512M,-63.18M,56.92M,38.57M,18.35M,2.184M,,-1.148M,,19.39M,20.67M,200.53M,80.20M,120.33M,0.1,0.01,,,0.1182,0.1,0.1,0.01,,,0.1181,0.1,190.21M,192.11M,0.27
2012-12,757.17M,757.17M,338.41M,418.76M,64.08M,140.59M,204.66M,0.274M,-6.45M,,64.68M,0.467M,-64.22M,26.76M,311.31M,107.45M,0.467M,64.68M,-64.22M,-8.004M,-64.22M,35.23M,8.96M,26.47M,-1.074M,,-0.692M,,24.71M,32.21M,179.80M,79.88M,99.91M,0.15,-0.01,,,0.1857,0.14,0.15,-0.01,,,0.1853,0.14,180.02M,181.97M,0.27
2012-09,748.12M,748.12M,310.34M,437.78M,55.03M,121.64M,176.67M,3.803M,-12.80M,,61.98M,0.596M,-61.38M,24.03M,281.64M,156.14M,0.596M,61.98M,-61.38M,-9.922M,-61.38M,84.84M,31.12M,53.72M,0.032M,,-0.942M,,52.81M,60.17M,227.76M,80.94M,146.82M,0.31,0.0,,,0.353,0.31,0.31,0.0,,,0.3527,0.31,171.78M,173.05M,0.27
2012-06,752.16M,752.16M,313.06M,439.10M,58.37M,119.34M,177.71M,2.52M,-1.913M,,59.03M,0.81M,-58.22M,23.29M,278.50M,160.60M,0.81M,59.03M,-58.22M,-11.98M,-58.22M,90.40M,48.96M,41.44M,-2.524M,,-0.862M,,38.06M,49.47M,226.94M,77.51M,149.43M,0.24,-0.01,,,0.2919,0.22,0.24,-0.01,,,0.2916,0.22,171.30M,172.23M,0.27
2012-03,746.50M,746.50M,315.30M,431.20M,57.97M,126.81M,184.77M,1.725M,-2.444M,,59.33M,0.545M,-58.78M,24.16M,286.94M,144.26M,0.545M,59.33M,-58.78M,0.86M,-58.78M,86.33M,25.26M,61.07M,-5.093M,,-0.63M,,55.35M,60.35M,223.67M,78.01M,145.66M,0.36,-0.03,,,0.3595,0.32,0.35,-0.03,,,0.3495,0.32,171.32M,172.22M,0.25
2011-12,741.84M,741.84M,315.31M,426.53M,56.97M,21.33M,78.31M,,-18.64M,,58.64M,0.655M,-57.99M,,263.50M,163.03M,0.655M,58.64M,-57.99M,-16.31M,-57.99M,88.73M,41.34M,47.38M,-13.38M,,-1.945M,,32.06M,59.49M,251.90M,104.53M,147.37M,0.27,-0.05,,,0.3474,0.2,0.27,-0.05,,,0.347,0.2,181.62M,182.47M,0.25
2011-09,768.31M,768.31M,306.36M,461.94M,60.60M,144.88M,205.47M,,-41.85M,3.53M,50.66M,0.614M,-50.05M,,285.91M,176.04M,0.614M,50.66M,-50.05M,-57.47M,-50.05M,68.52M,18.13M,50.39M,-12.47M,,-0.587M,,37.34M,92.07M,196.09M,69.82M,119.18M,0.26,-0.06,,,0.4761,0.19,0.26,-0.06,,,0.4749,0.19,195.61M,196.72M,0.25
2011-06,758.55M,758.55M,307.58M,450.97M,,,223.39M,,-2.401M,,49.41M,0.81M,-48.60M,,302.26M,148.72M,0.81M,49.41M,-48.60M,-2.401M,-48.60M,97.71M,30.25M,67.46M,185.59M,,-0.363M,,252.68M,68.75M,225.99M,71.82M,147.13M,0.33,0.92,,,0.3382,1.25,0.33,0.91,,,0.3382,1.24,201.65M,203.31M,0.25
2011-03,746.01M,746.01M,315.96M,430.05M,,,212.76M,,9.422M,,48.62M,,-48.62M,,292.92M,137.14M,,48.62M,-48.62M,9.422M,-48.62M,97.94M,16.76M,81.18M,-6.557M,,-1.159M,,73.46M,72.21M,226.72M,73.34M,146.56M,0.41,-0.03,,,0.371,0.37,0.4,-0.03,,,0.3612,0.37,200.23M,201.25M,0.1875
2010-12,710.85M,710.85M,287.47M,423.38M,,,84.44M,,-11.50M,,47.80M,0.833M,-46.97M,,260.15M,163.23M,0.833M,47.80M,-46.97M,-18.47M,-46.97M,97.79M,40.69M,57.10M,-26.55M,,-1.216M,,29.33M,63.35M,240.36M,94.77M,145.59M,0.29,-0.14,,,0.3273,0.14,0.29,-0.14,,,0.3273,0.14,200.13M,200.13M,0.1875
2010-09,731.13M,731.13M,299.62M,431.51M,,,180.16M,,-65.26M,,52.22M,0.162M,-52.05M,,257.39M,174.12M,0.162M,52.22M,-52.05M,-65.26M,-52.05M,56.80M,29.31M,27.49M,-178.31M,,-2.959M,,-153.78M,66.95M,186.25M,70.93M,109.02M,0.14,-0.89,,,0.3508,-0.76,0.14,-0.89,,,0.3508,-0.76,201.25M,201.25M,0.0625
2010-06,724.78M,724.78M,294.68M,430.10M,,,196.78M,,-4.009M,,52.62M,,-52.62M,,272.27M,157.83M,,52.62M,-52.62M,-4.009M,-52.62M,101.20M,52.27M,48.93M,-7.176M,,-0.46M,,41.29M,51.07M,229.32M,62.08M,153.82M,0.24,-0.04,,,0.2528,0.2,0.24,-0.04,,,0.2528,0.2,203.01M,204.21M,0.0625
2010-03,776.51M,776.51M,325.23M,451.27M,,,233.85M,,-7.766M,,56.98M,0.422M,-56.56M,,319.64M,131.64M,0.422M,56.98M,-56.56M,-7.766M,-56.56M,67.31M,41.47M,25.84M,,,-0.273M,,25.57M,30.61M,210.08M,76.43M,124.29M,0.13,0.0,,,0.1548,0.13,0.12,0.0,,,0.1447,0.12,203.58M,204.70M,0.0625
2009-12,779.34M,779.34M,320.07M,459.27M,,,229.48M,,-22.33M,,58.26M,0.632M,-57.62M,,312.22M,147.05M,0.632M,58.26M,-57.62M,-22.33M,-57.62M,91.25M,26.58M,64.67M,,,-3.419M,,61.25M,77.08M,232.19M,43.38M,149.51M,0.3,0.0,,,0.3778,0.3,0.3,0.0,,,0.3773,0.3,203.46M,204.68M,
2009-09,764.88M,764.88M,321.47M,443.42M,,,218.63M,,-1.39M,,60.04M,0.567M,-59.47M,0.705M,300.77M,142.65M,0.567M,60.04M,-59.47M,-1.39M,-59.47M,81.79M,38.61M,43.18M,,,0.009M,,43.19M,44.09M,224.54M,82.71M,141.83M,0.21,0.0,,,0.2144,0.21,0.21,0.0,,,0.2144,0.21,203.22M,204.89M,
2009-06,746.03M,746.03M,312.70M,433.33M,,,215.85M,,-18.39M,,55.55M,0.378M,-55.18M,0.742M,295.28M,138.05M,0.378M,55.55M,-55.18M,-18.39M,-55.18M,101.27M,13.76M,87.51M,,,0.126M,,87.64M,103.53M,236.78M,79.96M,156.83M,0.43,0.0,,,0.5085,0.43,0.43,0.0,,,0.5078,0.43,202.50M,204.20M,
2009-03,723.35M,723.35M,316.98M,406.37M,,,210.39M,,-7.155M,,56.31M,0.789M,-55.52M,-1.504M,285.17M,121.20M,0.789M,56.31M,-55.52M,-7.155M,-55.52M,58.52M,31.58M,26.94M,,,1.855M,,28.80M,33.45M,192.35M,77.52M,114.83M,0.14,0.0,,,0.163,0.14,0.14,0.0,,,0.1629,0.14,202.07M,203.31M,
2008-12,752.56M,752.56M,335.05M,417.51M,,,215.25M,,-20.72M,,58.91M,1.473M,-57.44M,,288.69M,128.82M,1.473M,58.91M,-57.44M,-20.72M,-57.44M,50.66M,49.78M,0.879M,,,0.476M,,1.355M,14.82M,183.02M,64.25M,109.57M,0.01,0.0,,,0.0767,0.01,0.0,0.0,,,0.0663,0.0,201.82M,203.18M,
2008-09,784.34M,784.34M,352.25M,432.09M,,,218.96M,,-15.66M,,60.86M,1.441M,-59.42M,1.928M,295.74M,136.34M,1.441M,60.86M,-59.42M,-15.66M,-59.42M,61.26M,50.01M,11.25M,,,0.062M,,11.31M,21.49M,196.98M,45.49M,122.13M,0.06,0.0,,,0.1105,0.06,0.06,0.0,,,0.11,0.06,201.58M,203.52M,
2008-06,768.86M,768.86M,346.97M,421.89M,,,225.93M,-0.839M,-2.693M,,61.11M,1.352M,-59.76M,,298.84M,123.05M,1.352M,61.11M,-59.76M,-2.693M,-59.76M,60.60M,24.86M,35.74M,,,0.148M,,35.89M,37.64M,195.80M,74.10M,121.71M,0.18,0.0,,,0.1887,0.18,0.18,0.0,,,0.1886,0.18,200.86M,203.04M,
2008-03,749.38M,749.38M,347.75M,401.63M,,,222.23M,3.545M,2.49M,,61.24M,1.219M,-60.02M,,291.76M,109.88M,1.219M,61.24M,-60.02M,2.49M,-60.02M,52.35M,18.27M,34.07M,,,-0.592M,,33.48M,31.86M,184.36M,70.78M,113.58M,0.17,0.0,,,0.1619,0.17,0.16,0.0,,,0.152,0.16,200.87M,203.42M,
2007-12,727.00M,727.00M,334.55M,392.45M,,,209.75M,,-4.722M,,,,,-0.833M,277.54M,114.90M,,,,-4.722M,,49.87M,22.26M,28.00M,,,0.388M,,28.00M,31.07M,184.76M,69.86M,114.90M,0.14,0.0,,,0.1553,0.14,0.14,0.0,,,0.1551,0.14,200.53M,202.98M,
2007-09,701.83M,701.83M,322.60M,379.24M,,,192.27M,,-3.471M,,,,,-5.033M,250.45M,128.79M,,,,-3.471M,,62.73M,10.65M,51.33M,,,-0.746M,,51.33M,54.22M,193.16M,64.37M,128.79M,0.26,0.0,,,0.2744,0.26,0.25,0.0,,,0.2643,0.25,200.20M,202.11M,
2007-06,668.69M,668.69M,307.96M,360.73M,,,188.84M,,2.878M,,,,,0.357M,249.49M,111.23M,,,,2.878M,,53.25M,14.02M,39.05M,,,-0.171M,,39.05M,36.93M,172.98M,61.75M,111.23M,0.2,0.0,,,0.1894,0.2,0.19,0.0,,,0.1795,0.19,199.79M,201.74M,
2007-03,632.51M,632.51M,295.00M,337.51M,,,180.50M,,7.686M,,,,,0.037M,237.71M,99.79M,,,,7.686M,,57.18M,22.08M,34.71M,,,-0.391M,,34.71M,29.99M,158.48M,58.68M,99.79M,0.17,0.0,,,0.1463,0.17,0.17,0.0,,,0.1466,0.17,199.23M,201.42M,
2006-12,609.51M,609.51M,275.38M,334.12M,,,175.34M,,12.92M,,,,,-10.05M,219.40M,114.73M,,,,12.92M,,66.93M,29.41M,37.14M,,,-0.389M,,37.14M,29.38M,170.36M,55.63M,114.73M,0.19,0.0,,,0.151,0.19,0.18,0.0,,,0.1415,0.18,198.74M,201.13M,
2006-09,595.61M,595.61M,277.23M,318.38M,,,167.60M,,-1.088M,,,,,0.505M,221.25M,97.13M,,,,-1.088M,,46.08M,19.20M,26.61M,,,-0.267M,,26.61M,27.27M,151.75M,54.62M,97.13M,0.13,0.0,,,0.1333,0.13,0.13,0.0,,,0.1333,0.13,198.31M,200.58M,
2006-06,581.57M,581.57M,259.29M,322.28M,,,168.28M,,7.032M,,,,,-0.174M,219.38M,102.89M,,,,7.032M,,62.50M,24.21M,37.84M,,,-0.444M,,37.84M,33.53M,155.40M,52.51M,102.89M,0.1933,0.0,,,0.1716,0.1933,0.1867,0.0,,,0.1651,0.1867,197.89M,200.17M,
2006-03,563.66M,563.66M,262.37M,301.29M,,,158.84M,,2.684M,,,,,0.163M,208.85M,92.44M,,,,2.684M,,48.70M,20.97M,27.27M,,,-0.46M,,27.27M,25.66M,143.52M,51.08M,92.44M,0.14,0.0,,,0.1318,0.14,0.14,0.0,,,0.1319,0.14,197.52M,199.97M,
2005-12,538.36M,538.36M,242.11M,296.25M,,,151.60M,,0.976M,,,,,-4.091M,199.44M,96.80M,,,,0.976M,,47.44M,17.74M,29.11M,,,-0.582M,,31.86M,28.50M,149.93M,53.12M,96.80M,0.1467,-0.01,,,0.1436,0.1367,0.1433,-0.01,,,0.1403,0.1333,196.98M,199.51M,
2005-09,526.47M,526.47M,237.41M,289.06M,,,141.44M,,6.801M,,,,,-0.259M,186.88M,102.18M,,,,6.801M,,64.41M,27.64M,36.38M,,,-0.397M,,36.38M,32.30M,149.22M,47.04M,102.18M,0.1867,0.0,,,0.1659,0.1867,0.18,0.0,,,0.1594,0.18,196.29M,198.42M,
2005-06,511.92M,511.92M,228.09M,283.83M,,,141.31M,,-6.029M,,,,,1.083M,187.14M,96.69M,,,,-6.029M,,44.52M,18.87M,25.41M,,,-0.249M,,25.41M,29.03M,142.65M,45.96M,96.69M,0.1267,0.0,,,0.1452,0.1267,0.1267,0.0,,,0.145,0.1267,195.71M,197.20M,
2005-03,501.41M,501.41M,230.63M,270.78M,,,135.34M,,-4.445M,,,,,-0.218M,179.67M,91.11M,,,,-4.445M,,40.65M,17.24M,22.95M,,,-0.456M,,22.95M,25.62M,136.86M,45.75M,91.11M,0.12,0.0,,,0.1337,0.12,0.1133,0.0,,,0.1269,0.1133,194.97M,197.28M,
