,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2014-03,936.00M,-262.00M,,,-262.00M,,,137.00M,137.00M,110.00M,47.00M,49.00M,81.00M,107.00M,-144.00M,,-227.00M,,,-217.00M,-481.00M,,2014-03,-118.00M,,-118.00M,3.034B,-704.00M,,2.212B,2014-03,-676.00M,-79.00M,-755.00M,172.00M,,172.00M,-605.00M,-605.00M,,-4.00M,-1.192B,2014-03,3.586B,1.637B,2.00M,,2014-03,172.00M,,-676.00M,,,AOR,Restated
2013-12,735.00M,11.00M,,,11.00M,,,181.00M,181.00M,-82.00M,34.00M,51.00M,276.00M,59.00M,-37.00M,,109.00M,,,73.00M,204.00M,,2013-12,-200.00M,,337.00M,1.00M,-116.00M,,-315.00M,2013-12,1.477B,-290.00M,1.187B,81.00M,0.00,81.00M,-577.00M,-577.00M,,,711.00M,2013-12,1.771B,1.806B,9.00M,,2013-12,81.00M,1.477B,0.00,0.00,,AOR,Restated
2013-09,692.00M,-11.00M,,,-11.00M,,,180.00M,180.00M,-74.00M,2.00M,45.00M,11.00M,-159.00M,165.00M,,257.00M,,,-55.00M,208.00M,,2013-09,-124.00M,,-124.00M,8.00M,-356.00M,-3.00M,-475.00M,2013-09,-597.00M,567.00M,-30.00M,40.00M,-53.00M,-13.00M,-577.00M,-577.00M,,,-620.00M,2013-09,1.821B,-42.00M,-8.00M,,2013-09,40.00M,0.00,-597.00M,-53.00M,,AOR,Restated
2013-06,530.00M,,,,,,,189.00M,189.00M,-153.00M,1.00M,46.00M,-2.00M,-86.00M,-10.00M,,148.00M,,,847.00M,899.00M,,2013-06,-98.00M,,-98.00M,0.00,155.00M,0.00,57.00M,2013-06,0.00,-630.00M,-630.00M,173.00M,-83.00M,90.00M,-575.00M,-575.00M,,,-1.115B,2013-06,1.355B,452.00M,14.00M,,2013-06,173.00M,0.00,0.00,-83.00M,,AOR,Restated
2013-03,623.00M,,,,,,,213.00M,213.00M,-182.00M,3.00M,49.00M,-17.00M,-318.00M,-163.00M,,24.00M,,,-660.00M,-1.117B,,2013-03,-115.00M,,-115.00M,0.00,273.00M,3.00M,161.00M,2013-03,12.00M,551.00M,563.00M,270.00M,-297.00M,-27.00M,-580.00M,-580.00M,,,-44.00M,2013-03,1.656B,-311.00M,10.00M,,2013-03,270.00M,12.00M,0.00,-297.00M,,AOR,Restated
2012-12,924.00M,,,,,,,199.00M,199.00M,-493.00M,62.00M,46.00M,272.00M,5.00M,32.00M,,-43.00M,,,-133.00M,-139.00M,,2012-12,-175.00M,,-175.00M,52.00M,400.00M,,277.00M,2012-12,0.00,29.00M,29.00M,66.00M,-492.00M,-426.00M,-561.00M,-561.00M,,0.00,-958.00M,2012-12,1.503B,155.00M,-2.00M,,2012-12,66.00M,0.00,0.00,-492.00M,,AOR,Restated
2012-09,-713.00M,,,,,,,195.00M,195.00M,-817.00M,1.83B,26.00M,3.58B,99.00M,35.00M,,-92.00M,,,441.00M,483.00M,,2012-09,-137.00M,,-137.00M,-5.038B,972.00M,,-4.203B,2012-09,-49.00M,-101.00M,-150.00M,83.00M,-1.051B,-968.00M,-571.00M,-571.00M,,0.00,-1.689B,2012-09,2.801B,-1.308B,10.00M,,2012-09,83.00M,1.95B,-1.999B,-1.051B,,AOR,Restated
2012-06,808.00M,,,,,,,148.00M,148.00M,-124.00M,190.00M,40.00M,-160.00M,652.00M,-102.00M,,-157.00M,,,-161.00M,232.00M,,2012-06,-113.00M,,-113.00M,3.00M,336.00M,,226.00M,2012-06,0.00,91.00M,91.00M,155.00M,-521.00M,-366.00M,-575.00M,-575.00M,,0.00,-850.00M,2012-06,2.307B,510.00M,-16.00M,,2012-06,155.00M,0.00,0.00,-521.00M,,AOR,Restated
2012-03,1.482B,,,,,,,139.00M,139.00M,204.00M,98.00M,42.00M,-371.00M,-108.00M,-68.00M,,10.00M,,,-1.041B,-1.207B,,2012-03,-123.00M,,-123.00M,-2.479B,-425.00M,,-3.027B,2012-03,-109.00M,30.00M,-79.00M,159.00M,-339.00M,-180.00M,-579.00M,-579.00M,,2.00M,-836.00M,2012-03,5.776B,-3.476B,7.00M,,2012-03,159.00M,0.00,-109.00M,-339.00M,,AOR,Restated
2011-12,1.231B,,,,,,,146.00M,146.00M,142.00M,0.00,41.00M,-388.00M,-68.00M,-43.00M,,170.00M,,,337.00M,396.00M,,2011-12,-134.00M,,-134.00M,-48.00M,677.00M,,495.00M,2011-12,0.00,-68.00M,-68.00M,601.00M,-362.00M,239.00M,,-560.00M,-365.00M,0.00,-754.00M,2011-12,4.471B,1.309B,-4.00M,,2011-12,601.00M,0.00,-67.00M,-362.00M,,AOR,Restated
2011-09,1.355B,,,,,-228.00M,-168.00M,86.00M,86.00M,30.00M,13.00M,39.00M,-411.00M,176.00M,96.00M,,-6.00M,,,320.00M,586.00M,,2011-09,-84.00M,,-84.00M,-285.00M,206.00M,,-163.00M,2011-09,0.00,-3.00M,-3.00M,-235.00M,-474.00M,-709.00M,,-564.00M,365.00M,207.00M,-704.00M,2011-09,3.665B,831.00M,-25.00M,,2011-09,-235.00M,0.00,-3.00M,-474.00M,,AOR,Restated
2011-06,1.307B,,,,,111.00M,95.00M,206.00M,206.00M,66.00M,0.00,43.00M,-407.00M,-237.00M,-162.00M,,303.00M,,,-26.00M,-122.00M,,2011-06,-74.00M,,-74.00M,8.00M,-266.00M,,-332.00M,2011-06,-24.00M,52.00M,28.00M,182.00M,-237.00M,-55.00M,,-565.00M,,85.00M,-507.00M,2011-06,3.405B,254.00M,6.00M,,2011-06,182.00M,,28.00M,-237.00M,,AOR,Restated
2011-03,1.367B,,,,,117.00M,73.00M,190.00M,190.00M,177.00M,15.00M,38.00M,-492.00M,-91.00M,-84.00M,,-8.00M,,,-631.00M,-814.00M,,2011-03,-75.00M,,-75.00M,114.00M,-1.476B,,-1.437B,2011-03,-54.00M,18.00M,-36.00M,53.00M,-148.00M,-95.00M,,-565.00M,,4.00M,-692.00M,2011-03,5.033B,-1.648B,20.00M,,2011-03,53.00M,,-36.00M,-148.00M,,AOR,Restated
2010-12,842.00M,,,,,-348.00M,-198.00M,61.00M,61.00M,322.00M,21.00M,50.00M,-357.00M,-148.00M,193.00M,,189.00M,,,422.00M,656.00M,,2010-12,-125.00M,,-125.00M,-819.00M,-1.535B,,-2.479B,2010-12,-894.00M,-87.00M,-981.00M,41.00M,-223.00M,-182.00M,,-549.00M,,48.00M,-1.664B,2010-12,7.581B,-2.548B,0.00,,2010-12,41.00M,0.00,-894.00M,-223.00M,,AOR,Restated
2010-09,1.302B,,,,,102.00M,66.00M,168.00M,168.00M,3.00M,7.00M,47.00M,-372.00M,-68.00M,-49.00M,,31.00M,,,314.00M,228.00M,,2010-09,-89.00M,,-89.00M,22.00M,1.015B,,948.00M,2010-09,-42.00M,-7.00M,-49.00M,89.00M,-188.00M,-99.00M,,-550.00M,,0.00,-698.00M,2010-09,5.918B,1.633B,30.00M,,2010-09,89.00M,0.00,-42.00M,-188.00M,,AOR,
2010-06,2.369B,,,,,124.00M,67.00M,191.00M,191.00M,7.00M,0.00,49.00M,-1.447B,255.00M,-13.00M,,-154.00M,,,-208.00M,-120.00M,,2010-06,-81.00M,,-81.00M,-2.00M,321.00M,,238.00M,2010-06,6.00M,78.00M,84.00M,40.00M,-165.00M,-125.00M,,-552.00M,,98.00M,-495.00M,2010-06,5.135B,792.00M,-9.00M,,2010-06,40.00M,6.00M,0.00,-165.00M,,AOR,Restated
2010-03,,,,,,122.00M,65.00M,187.00M,187.00M,90.00M,200.00M,47.00M,733.00M,-309.00M,25.00M,,13.00M,,,-522.00M,-793.00M,,2010-03,-129.00M,,-129.00M,37.00M,-2.427B,,-2.519B,2010-03,0.00,-17.00M,-17.00M,82.00M,0.00,82.00M,,-551.00M,,,-486.00M,2010-03,7.683B,-2.541B,-7.00M,,2010-03,82.00M,,0.00,0.00,,AOR,Restated
2009-12,8.353B,,,-328.00M,-7.857B,121.00M,61.00M,182.00M,182.00M,-16.00M,0.00,53.00M,53.00M,150.00M,81.00M,,246.00M,,,152.00M,629.00M,,2009-12,-196.00M,427.00M,231.00M,0.00,-697.00M,,-1.027B,2009-12,1.603B,-25.00M,1.578B,42.00M,0.00,42.00M,,-626.00M,,0.00,994.00M,2009-12,6.367B,1.311B,5.00M,,2009-12,42.00M,1.683B,-106.00M,0.00,,AOR,Restated
2009-09,1.29B,,,-324.00M,-359.00M,117.00M,64.00M,181.00M,181.00M,67.00M,0.00,42.00M,42.00M,13.00M,11.00M,,-43.00M,,,271.00M,252.00M,,2009-09,-169.00M,26.00M,-143.00M,-2.232B,386.00M,,-1.989B,2009-09,-65.00M,29.00M,-36.00M,3.00M,0.00,3.00M,,-626.00M,,3.00M,-656.00M,2009-09,7.507B,-1.172B,32.00M,,2009-09,3.00M,0.00,-65.00M,0.00,,AOR,Restated
2009-06,1.298B,,,-315.00M,-393.00M,121.00M,56.00M,177.00M,177.00M,85.00M,,45.00M,132.00M,-17.00M,8.00M,,50.00M,,,-501.00M,-460.00M,,2009-06,-164.00M,39.00M,-326.00M,,-313.00M,,-438.00M,2009-06,-69.00M,-30.00M,-99.00M,0.00,0.00,0.00,,-615.00M,,4.00M,-710.00M,2009-06,7.832B,-352.00M,27.00M,,2009-06,0.00,-2.00M,-67.00M,0.00,,AOR,Restated
2009-03,921.00M,,,-283.00M,-283.00M,110.00M,57.00M,167.00M,167.00M,27.00M,0.00,43.00M,-44.00M,81.00M,-18.00M,,277.00M,,,-719.00M,-379.00M,,2009-03,-201.00M,65.00M,65.00M,,-790.00M,,-926.00M,2009-03,2.00M,,2.00M,782.00M,,782.00M,,-616.00M,,187.00M,355.00M,2009-03,7.976B,-119.00M,-25.00M,,2009-03,782.00M,2.00M,,,,AOR,Restated
2008-12,2.24B,,,-996.00M,2.472B,113.00M,67.00M,180.00M,180.00M,-199.00M,349.00M,181.00M,-5.056B,238.00M,205.00M,92.00M,108.00M,,,-444.00M,199.00M,,2008-12,-285.00M,235.00M,891.00M,-4.531B,1.113B,4.542B,1.074B,2008-12,1.351B,-1.688B,-199.00M,1.00M,,1.00M,,-616.00M,,211.00M,-603.00M,2008-12,7.173B,837.00M,-34.00M,,2008-12,1.00M,1.58B,-1.917B,,,AOR,Restated
2008-09,2.107B,25.00M,12.00M,471.00M,-2.96B,121.00M,61.00M,182.00M,182.00M,1.353B,-23.00M,-88.00M,480.00M,-657.00M,3.00M,-92.00M,329.00M,,,707.00M,290.00M,,2008-09,-196.00M,21.00M,-635.00M,4.048B,49.00M,-12.00M,3.91B,2008-09,-1.579B,99.00M,-1.618B,0.00,,0.00,,-615.00M,,19.00M,-2.214B,2008-09,4.047B,3.148B,-22.00M,,2008-09,0.00,-1.579B,99.00M,,,,
2008-06,1.005B,0.00,-6.00M,-241.00M,-215.00M,142.00M,61.00M,203.00M,203.00M,9.00M,-2.00M,40.00M,38.00M,64.00M,25.00M,,121.00M,,,-136.00M,74.00M,,2008-06,-210.00M,37.00M,37.00M,-191.00M,-117.00M,,-481.00M,2008-06,1.58B,21.00M,1.601B,4.00M,,4.00M,,-617.00M,,-19.00M,969.00M,2008-06,2.443B,1.602B,2.00M,,2008-06,4.00M,1.579B,22.00M,,,,Restated
2008-03,891.00M,-25.00M,-6.00M,-230.00M,-261.00M,186.00M,65.00M,251.00M,251.00M,267.00M,25.00M,48.00M,73.00M,-5.00M,-103.00M,,66.00M,,,-404.00M,-446.00M,,2008-03,-250.00M,243.00M,243.00M,483.00M,100.00M,,576.00M,2008-03,-1.00M,-120.00M,-121.00M,0.00,,0.00,,-613.00M,,,-734.00M,2008-03,1.801B,617.00M,25.00M,,2008-03,0.00,,-121.00M,,,,Restated
2007-12,-89.00M,,,,38.00M,169.00M,85.00M,254.00M,254.00M,-241.00M,,,638.00M,-95.00M,51.00M,52.00M,117.00M,,356.00M,-451.00M,30.00M,,2007-12,-250.00M,20.00M,-230.00M,-432.00M,696.00M,,34.00M,2007-12,,,9.00M,21.00M,,21.00M,,-554.00M,,,-524.00M,2007-12,1.647B,140.00M,14.00M,,2007-12,21.00M,,,,,,
2007-09,858.00M,,,,-220.00M,124.00M,89.00M,213.00M,213.00M,32.00M,,,63.00M,-13.00M,38.00M,34.00M,80.00M,,-318.00M,-70.00M,-249.00M,,2007-09,-185.00M,-25.00M,-210.00M,273.00M,331.00M,,394.00M,2007-09,,,-1.305B,17.00M,,17.00M,,-556.00M,,,-1.844B,2007-09,2.379B,-753.00M,21.00M,,2007-09,17.00M,,,,,,
2007-06,706.00M,,,,-112.00M,121.00M,88.00M,209.00M,209.00M,-38.00M,,,160.00M,-235.00M,-142.00M,29.00M,296.00M,,-42.00M,230.00M,136.00M,,2007-06,-206.00M,36.00M,-170.00M,,-467.00M,,-637.00M,2007-06,,,14.00M,274.00M,,274.00M,,-552.00M,,,-264.00M,2007-06,2.214B,160.00M,5.00M,,2007-06,274.00M,,,,,,
2007-03,690.00M,,,,35.00M,128.00M,88.00M,216.00M,216.00M,-169.00M,,,68.00M,-118.00M,-1.00M,-82.00M,13.00M,,42.00M,71.00M,-75.00M,,2007-03,-202.00M,13.00M,-189.00M,,196.00M,,7.00M,2007-03,,,-51.00M,21.00M,,21.00M,,-551.00M,,,-581.00M,2007-03,2.018B,191.00M,5.00M,,2007-03,21.00M,,,,,,
