,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,5.342B,1.428B,6.77B,4.374B,984.00M,5.683B,306.00M,932.00M,417.00M,,1.231B,965.00M,,,14.65B,0.00,100.00M,4.955B,3.099B,,1.005B,9.159B,-4.099B,5.06B,6.863B,1.116B,7.979B,2.252B,1.367B,1.776B,,2018-03,1.725B,654.00M,296.00M,2.675B,4.47B,7.145B,,0.00,,1.925B,1.925B,,1.925B,117.00M,117.00M,,9.624B,5.775B,,5.775B,447.00M,,1.098B,113.00M,,,2018-03,221.00M,32.32B,1.916B,19.43B,,,-2.234B,12.79B,,2018-03,AOR,Restated
2017-12,5.421B,1.391B,6.812B,4.347B,1.262B,6.30B,273.00M,931.00M,384.00M,,1.166B,576.00M,,,14.85B,0.00,100.00M,4.848B,3.059B,,980.00M,8.987B,-3.986B,5.001B,6.863B,1.21B,8.073B,2.48B,1.61B,1.533B,,2017-12,2.248B,654.00M,231.00M,3.133B,4.451B,7.584B,,299.00M,,688.00M,987.00M,,987.00M,83.00M,83.00M,,9.563B,6.975B,,6.975B,454.00M,,1.164B,106.00M,,,2017-12,221.00M,31.16B,1.898B,19.25B,,,-2.289B,11.74B,,2017-12,AOR,Restated
2017-09,4.644B,2.478B,7.122B,4.332B,1.256B,5.922B,224.00M,956.00M,380.00M,,1.25B,754.00M,,,15.05B,0.00,105.00M,5.188B,3.034B,,938.00M,9.265B,-4.251B,5.014B,6.865B,1.213B,8.078B,2.526B,2.346B,965.00M,,2017-09,1.699B,639.00M,213.00M,2.551B,4.036B,6.587B,,,799.00M,662.00M,1.461B,,1.461B,647.00M,647.00M,,9.438B,6.982B,,6.982B,492.00M,,1.155B,131.00M,,,2017-09,221.00M,34.14B,1.845B,19.00B,,,-2.421B,14.78B,,2017-09,AOR,Restated
2017-06,3.47B,3.035B,6.505B,4.219B,1.245B,5.782B,201.00M,927.00M,412.00M,,1.217B,820.00M,,,14.32B,0.00,105.00M,4.971B,3.044B,,996.00M,9.116B,-4.172B,4.944B,6.861B,1.245B,8.106B,2.58B,2.572B,883.00M,,2017-06,1.551B,641.00M,291.00M,2.483B,3.95B,6.433B,,,556.00M,750.00M,1.306B,,1.306B,737.00M,737.00M,,9.017B,6.911B,,6.911B,512.00M,,1.181B,122.00M,,,2017-06,221.00M,33.93B,1.794B,18.78B,,,-2.467B,14.70B,,2017-06,AOR,Restated
2017-03,3.91B,2.199B,6.109B,4.083B,1.168B,5.494B,,,,,1.384B,628.00M,,,13.62B,0.00,107.00M,4.952B,3.324B,,938.00M,9.321B,-4.301B,5.02B,6.875B,1.276B,8.151B,2.685B,2.618B,848.00M,,2017-03,1.503B,646.00M,180.00M,2.329B,3.729B,6.058B,,,448.00M,749.00M,1.197B,,1.197B,837.00M,837.00M,,8.494B,7.237B,,7.237B,528.00M,,1.195B,119.00M,,,2017-03,221.00M,33.66B,1.337B,18.39B,,,-2.414B,14.42B,,2017-03,AOR,Restated
2016-12,4.237B,2.113B,6.35B,3.774B,1.142B,5.543B,264.00M,988.00M,310.00M,,1.241B,570.00M,,,13.70B,0.00,107.00M,4.93B,3.287B,,849.00M,9.173B,-4.193B,4.98B,6.875B,1.385B,8.26B,2.719B,2.996B,1.048B,,2016-12,1.664B,660.00M,152.00M,2.476B,3.749B,6.225B,,0.00,,992.00M,992.00M,,992.00M,762.00M,762.00M,,8.841B,5.716B,,5.716B,547.00M,,1.283B,170.00M,,,2016-12,221.00M,33.51B,1.725B,16.78B,,,-2.503B,16.18B,,2016-12,AOR,Restated
2016-09,3.432B,2.128B,5.56B,3.813B,1.34B,5.597B,265.00M,952.00M,416.00M,,1.482B,565.00M,,,13.20B,0.00,107.00M,4.724B,3.194B,,906.00M,8.931B,-4.141B,4.79B,6.875B,1.377B,8.252B,3.035B,3.528B,918.00M,,2016-09,1.407B,642.00M,312.00M,2.361B,3.56B,5.921B,,,,,990.00M,,990.00M,1.323B,1.323B,,8.996B,5.836B,,5.836B,567.00M,,1.642B,168.00M,,,2016-09,221.00M,33.27B,1.65B,16.80B,,,-2.735B,15.61B,,2016-09,AOR,Restated
2016-06,2.934B,1.717B,4.651B,3.685B,1.454B,5.622B,248.00M,977.00M,399.00M,,1.437B,588.00M,,,12.30B,0.00,107.00M,4.70B,3.44B,,699.00M,8.946B,-4.349B,4.597B,6.875B,1.379B,8.254B,3.281B,3.389B,1.012B,,2016-06,1.504B,642.00M,164.00M,2.31B,3.587B,5.897B,,,,,155.00M,,155.00M,1.182B,1.182B,,7.885B,6.581B,,6.581B,586.00M,,1.805B,160.00M,,,2016-06,221.00M,32.71B,1.594B,16.80B,,,-2.804B,14.92B,,2016-06,AOR,Restated
2016-03,2.644B,1.663B,4.307B,3.363B,1.387B,4.957B,227.00M,919.00M,402.00M,,1.336B,615.00M,,,11.22B,0.00,107.00M,4.611B,3.392B,,647.00M,8.757B,-4.302B,4.455B,6.875B,1.38B,8.255B,3.689B,3.23B,1.048B,,2016-03,1.543B,642.00M,472.00M,2.657B,3.237B,5.894B,,,,,106.00M,,106.00M,1.165B,1.165B,,7.597B,6.593B,,6.593B,606.00M,,1.693B,165.00M,,,2016-03,221.00M,32.18B,1.503B,16.82B,,,-2.693B,14.39B,,2016-03,AOR,Restated
2015-12,2.385B,1.885B,4.27B,2.948B,1.169B,4.299B,199.00M,868.00M,381.00M,,1.221B,625.00M,,,10.42B,0.00,107.00M,4.515B,3.347B,,662.00M,8.631B,-4.219B,4.412B,6.881B,1.419B,8.30B,4.66B,2.844B,1.117B,,2015-12,1.565B,655.00M,572.00M,2.792B,3.132B,5.924B,,,139.00M,,139.00M,,139.00M,1.003B,1.003B,,8.017B,6.55B,,6.55B,586.00M,,1.429B,158.00M,,,2015-12,221.00M,31.61B,1.459B,16.56B,,,-2.468B,14.27B,,2015-12,AOR,Restated
2015-09,3.975B,1.438B,5.413B,2.714B,1.019B,3.908B,214.00M,561.00M,355.00M,,1.13B,529.00M,1.731B,,12.93B,0.00,107.00M,4.442B,3.313B,,605.00M,8.467B,-4.218B,4.249B,6.952B,1.544B,8.496B,4.627B,719.00M,762.00M,,2015-09,1.249B,636.00M,179.00M,2.064B,3.489B,5.553B,,,,,642.00M,,642.00M,963.00M,963.00M,,7.158B,6.632B,,6.632B,630.00M,,902.00M,194.00M,468.00M,,2015-09,221.00M,32.45B,1.413B,16.61B,,,-2.395B,15.08B,,2015-09,AOR,Restated
2015-06,4.199B,1.277B,5.476B,2.543B,970.00M,3.672B,225.00M,642.00M,437.00M,,1.304B,502.00M,1.892B,,13.06B,0.00,109.00M,4.832B,3.752B,,461.00M,9.154B,-4.791B,4.363B,6.976B,1.563B,8.539B,4.632B,577.00M,787.00M,,2015-06,1.839B,634.00M,98.00M,2.571B,3.17B,5.741B,,,,,755.00M,,755.00M,939.00M,939.00M,,7.435B,6.615B,,6.615B,667.00M,,727.00M,168.00M,475.00M,,2015-06,221.00M,32.36B,1.363B,16.65B,,,-2.173B,15.12B,,2015-06,AOR,Restated
2015-03,6.294B,1.313B,7.607B,2.25B,1.09B,3.458B,275.00M,689.00M,473.00M,,1.437B,538.00M,1.885B,,14.92B,0.00,108.00M,4.806B,3.693B,,383.00M,8.99B,-4.667B,4.323B,7.027B,1.706B,8.733B,4.279B,685.00M,634.00M,,2015-03,2.346B,633.00M,220.00M,3.199B,2.701B,5.90B,,,,,330.00M,,330.00M,1.459B,1.459B,,7.689B,7.127B,,7.127B,697.00M,,1.156B,143.00M,583.00M,,2015-03,221.00M,33.11B,1.314B,16.68B,,,-2.416B,15.55B,,2015-03,AOR,Restated
2014-12,5.571B,1.864B,7.435B,2.10B,1.112B,3.39B,204.00M,856.00M,500.00M,,1.56B,470.00M,1.644B,,14.61B,0.00,109.00M,4.83B,3.774B,,353.00M,9.066B,-4.649B,4.417B,7.027B,1.753B,8.78B,4.408B,915.00M,621.00M,,2014-12,2.487B,645.00M,262.00M,3.394B,2.371B,5.765B,,,,,590.00M,,590.00M,1.167B,1.167B,,8.461B,7.242B,,7.242B,770.00M,,1.115B,131.00M,618.00M,,2014-12,221.00M,32.54B,1.507B,16.99B,,,-2.425B,14.85B,,2014-12,AOR,Restated
2014-09,4.851B,2.37B,7.221B,1.823B,1.354B,3.321B,329.00M,787.00M,449.00M,,1.565B,482.00M,1.51B,,14.18B,0.00,109.00M,4.784B,3.747B,,322.00M,8.962B,-4.575B,4.387B,7.046B,1.718B,8.764B,4.328B,1.015B,779.00M,,2014-09,2.568B,623.00M,312.00M,3.503B,3.204B,6.707B,,,,,401.00M,,401.00M,995.00M,995.00M,,8.103B,7.267B,,7.267B,903.00M,,806.00M,58.00M,618.00M,,2014-09,221.00M,33.15B,1.499B,17.12B,,,-2.605B,15.14B,,2014-09,AOR,Restated
2014-06,4.282B,2.893B,7.175B,1.799B,1.226B,3.315B,316.00M,800.00M,550.00M,,1.666B,512.00M,1.356B,,14.06B,0.00,110.00M,4.806B,3.773B,,247.00M,8.936B,-4.498B,4.438B,7.046B,1.843B,8.889B,3.876B,875.00M,1.363B,,2014-06,2.405B,621.00M,204.00M,3.23B,3.113B,6.343B,,,,,365.00M,,365.00M,1.09B,1.09B,,7.798B,7.372B,,7.372B,1.104B,,681.00M,52.00M,624.00M,,2014-06,221.00M,33.03B,1.479B,17.17B,,,-2.225B,15.33B,,2014-06,AOR,Restated
2014-03,5.225B,1.834B,7.059B,1.742B,1.291B,3.316B,267.00M,886.00M,502.00M,,1.655B,538.00M,1.39B,,14.01B,0.00,109.00M,4.784B,3.715B,,248.00M,8.856B,-4.371B,4.485B,7.046B,2.208B,9.254B,3.558B,789.00M,1.324B,,2014-03,2.502B,619.00M,170.00M,3.291B,2.888B,6.179B,,,,,281.00M,,281.00M,1.061B,1.061B,,7.521B,7.367B,,7.367B,1.142B,,690.00M,58.00M,616.00M,,2014-03,221.00M,33.29B,1.449B,17.22B,,,-2.267B,15.47B,,2014-03,AOR,Restated
2013-12,3.586B,939.00M,4.525B,1.69B,1.408B,3.36B,250.00M,757.00M,491.00M,,1.498B,412.00M,1.701B,,18.92B,0.00,109.00M,4.748B,3.699B,,287.00M,8.843B,-4.264B,4.579B,7.096B,2.318B,9.414B,3.747B,508.00M,1.428B,,2013-12,2.559B,634.00M,160.00M,3.353B,2.259B,5.612B,,,,,359.00M,,359.00M,756.00M,756.00M,4.931B,12.44B,7.981B,,7.981B,769.00M,,718.00M,82.00M,625.00M,,2013-12,221.00M,32.95B,1.922B,17.80B,,,-2.141B,15.15B,,2013-12,AOR,Restated
2013-09,1.771B,951.00M,2.722B,1.839B,1.524B,3.673B,299.00M,810.00M,531.00M,,1.64B,556.00M,2.036B,,10.63B,0.00,112.00M,5.083B,3.932B,,387.00M,9.514B,-4.278B,5.236B,7.646B,8.176B,15.82B,3.623B,195.00M,1.301B,,2013-09,2.466B,611.00M,208.00M,3.285B,3.311B,6.596B,,,,,680.00M,,680.00M,1.003B,1.003B,,8.279B,6.532B,,6.532B,5.102B,,773.00M,-12.00M,665.00M,,2013-09,221.00M,32.83B,1.966B,17.98B,,,-2.312B,14.73B,,2013-09,AOR,Restated
2013-06,1.821B,978.00M,2.799B,1.851B,1.198B,3.406B,330.00M,858.00M,597.00M,,1.785B,536.00M,1.96B,,10.49B,0.00,113.00M,5.041B,3.895B,,344.00M,9.393B,-4.165B,5.228B,7.646B,8.37B,16.02B,3.223B,195.00M,1.104B,,2013-06,2.346B,606.00M,212.00M,3.164B,3.44B,6.604B,,,,,764.00M,,764.00M,986.00M,986.00M,,8.354B,6.442B,,6.442B,4.964B,,826.00M,2.00M,649.00M,,2013-06,221.00M,32.72B,1.975B,18.02B,,,-2.52B,14.37B,,2013-06,AOR,Restated
2013-03,1.355B,1.178B,2.533B,1.798B,1.174B,3.308B,338.00M,884.00M,569.00M,,1.791B,616.00M,1.828B,,10.08B,0.00,113.00M,5.028B,3.806B,,426.00M,9.373B,-4.114B,5.259B,7.646B,8.57B,16.22B,3.242B,190.00M,975.00M,,2013-03,2.079B,601.00M,276.00M,2.956B,3.314B,6.27B,,,,,1.372B,,1.372B,772.00M,772.00M,,8.414B,6.522B,,6.522B,4.574B,,1.638B,40.00M,459.00M,,2013-03,221.00M,32.76B,2.126B,18.32B,,,-3.131B,13.66B,,2013-03,AOR,Restated
2012-12,1.656B,1.173B,2.829B,1.708B,1.056B,3.083B,271.00M,814.00M,572.00M,,1.657B,355.00M,1.597B,,9.521B,0.00,114.00M,4.963B,3.695B,,611.00M,9.383B,-4.05B,5.333B,7.635B,8.778B,16.41B,3.523B,203.00M,904.00M,,2012-12,2.202B,606.00M,193.00M,3.001B,2.734B,5.735B,,,162.00M,664.00M,826.00M,,826.00M,825.00M,825.00M,,8.279B,6.568B,,6.568B,4.407B,,1.882B,15.00M,475.00M,,2012-12,221.00M,32.73B,2.694B,18.82B,,,-3.202B,13.62B,,2012-12,AOR,Restated
2012-09,1.503B,1.427B,2.93B,1.734B,953.00M,2.889B,296.00M,868.00M,533.00M,,1.697B,423.00M,1.339B,,9.278B,0.00,114.00M,4.897B,3.648B,,623.00M,9.282B,-3.985B,5.297B,7.498B,9.217B,16.72B,3.698B,179.00M,877.00M,,2012-09,2.085B,596.00M,193.00M,2.874B,3.881B,6.755B,,,,,751.00M,,751.00M,689.00M,689.00M,,8.195B,6.608B,,6.608B,4.754B,,1.473B,0.00,464.00M,,2012-09,221.00M,32.38B,2.717B,18.48B,,,-2.944B,13.90B,,2012-09,AOR,Restated
2012-06,2.801B,2.236B,5.037B,1.623B,1.056B,2.825B,263.00M,755.00M,503.00M,,1.521B,455.00M,1.175B,,11.01B,0.00,111.00M,4.543B,3.421B,,326.00M,8.401B,-3.923B,4.478B,6.799B,4.569B,11.37B,3.732B,201.00M,875.00M,,2012-06,2.134B,598.00M,138.00M,2.87B,3.528B,6.398B,,,,,236.00M,,236.00M,357.00M,357.00M,,6.991B,5.209B,,5.209B,805.00M,,1.543B,-286.00M,703.00M,,2012-06,221.00M,33.66B,2.783B,17.60B,,,-2.967B,16.10B,,2012-06,AOR,Restated
2012-03,2.307B,2.722B,5.029B,3.613B,,3.613B,241.00M,721.00M,501.00M,,1.463B,500.00M,1.16B,,11.76B,0.00,111.00M,4.592B,3.459B,,283.00M,8.445B,-3.933B,4.512B,6.799B,4.816B,11.62B,3.585B,108.00M,823.00M,,2012-03,2.385B,593.00M,162.00M,3.14B,3.639B,6.779B,,,,,145.00M,,145.00M,287.00M,287.00M,,7.211B,5.27B,,5.27B,836.00M,,1.616B,-91.00M,656.00M,,2012-03,221.00M,33.60B,2.825B,17.29B,,,-3.018B,16.34B,,2012-03,AOR,Restated
2011-12,5.776B,2.957B,8.733B,2.25B,1.237B,3.743B,260.00M,646.00M,478.00M,,1.384B,258.00M,1.20B,,15.32B,0.00,137.00M,4.545B,3.437B,,262.00M,8.381B,-3.86B,4.521B,5.586B,3.124B,8.71B,2.909B,688.00M,824.00M,,2011-12,2.603B,597.00M,167.00M,3.367B,3.132B,6.499B,,,113.00M,2.00M,115.00M,,115.00M,337.00M,337.00M,,7.78B,5.376B,,5.376B,973.00M,,2.017B,-89.00M,384.00M,,2011-12,220.00M,33.07B,3.114B,17.40B,,,-3.045B,15.96B,,2011-12,AOR,Restated
2011-09,4.471B,3.722B,8.193B,2.181B,1.235B,3.687B,205.00M,709.00M,443.00M,,1.357B,356.00M,1.276B,,14.87B,0.00,137.00M,4.536B,3.423B,,199.00M,8.295B,-3.803B,4.492B,5.564B,3.196B,8.76B,2.819B,333.00M,741.00M,,2011-09,2.292B,578.00M,183.00M,3.053B,3.757B,6.81B,,,,,182.00M,,182.00M,321.00M,321.00M,,7.313B,5.437B,,5.437B,860.00M,,811.00M,-136.00M,467.00M,,2011-09,220.00M,32.80B,3.226B,17.39B,,,-2.282B,16.57B,,2011-09,AOR,Restated
2011-06,3.665B,4.005B,7.67B,2.116B,1.517B,4.059B,357.00M,698.00M,437.00M,,1.492B,420.00M,1.134B,,14.78B,0.00,138.00M,4.588B,3.465B,,152.00M,8.343B,-3.789B,4.554B,5.233B,3.222B,8.455B,2.734B,521.00M,794.00M,,2011-06,2.401B,579.00M,165.00M,3.145B,3.795B,6.94B,,,,,187.00M,,187.00M,283.00M,283.00M,,7.41B,5.332B,,5.332B,923.00M,,870.00M,-208.00M,443.00M,,2011-06,220.00M,32.39B,3.321B,17.19B,,,-2.389B,16.35B,,2011-06,AOR,Restated
2011-03,3.405B,3.388B,6.793B,2.046B,1.343B,3.587B,218.00M,690.00M,414.00M,,1.322B,451.00M,1.143B,,13.30B,0.00,138.00M,4.59B,3.453B,,139.00M,8.32B,-3.716B,4.604B,5.233B,3.299B,8.532B,3.065B,587.00M,767.00M,,2011-03,2.036B,578.00M,63.00M,2.677B,3.596B,6.273B,,,,,135.00M,,135.00M,347.00M,347.00M,,6.755B,5.276B,,5.276B,899.00M,660.00M,922.00M,-97.00M,438.00M,,2011-03,220.00M,32.06B,3.436B,17.30B,,,-2.414B,16.00B,,2011-03,AOR,Restated
2010-12,5.033B,2.268B,7.301B,,,3.48B,199.00M,608.00M,397.00M,,1.204B,252.00M,1.036B,,13.27B,0.00,133.00M,4.565B,3.423B,,139.00M,8.26B,-3.596B,4.664B,5.233B,3.37B,8.603B,2.681B,850.00M,1.005B,,2010-12,1.983B,575.00M,65.00M,2.623B,3.597B,6.22B,,,,,117.00M,,117.00M,402.00M,402.00M,,6.739B,5.328B,,5.328B,895.00M,755.00M,1.297B,-75.00M,424.00M,,2010-12,220.00M,31.64B,3.682B,17.45B,,,-2.371B,15.71B,,2010-12,AOR,Restated
2010-06,5.918B,1.536B,7.454B,1.805B,1.177B,3.172B,274.00M,446.00M,545.00M,,1.265B,296.00M,796.00M,,12.98B,0.00,135.00M,4.30B,3.103B,,690.00M,8.228B,-3.483B,4.745B,5.218B,2.763B,7.981B,2.795B,1.331B,1.216B,,2010-06,1.681B,556.00M,49.00M,2.286B,3.057B,5.343B,,,,,290.00M,,290.00M,275.00M,275.00M,,5.908B,6.248B,,6.248B,915.00M,749.00M,1.248B,-94.00M,409.00M,,2010-06,220.00M,31.32B,3.697B,17.27B,,,-2.30B,15.67B,,2010-06,AOR,Restated
2010-03,5.135B,1.641B,6.776B,,,3.459B,213.00M,641.00M,430.00M,,1.284B,268.00M,745.00M,,12.53B,0.00,140.00M,4.277B,3.17B,,787.00M,8.374B,-3.552B,4.822B,5.218B,2.813B,8.031B,2.997B,1.395B,976.00M,,2010-03,1.752B,554.00M,101.00M,2.407B,3.137B,5.544B,,,,,208.00M,,208.00M,265.00M,265.00M,,6.017B,6.081B,,6.081B,1.706B,,1.30B,-16.00M,416.00M,,2010-03,220.00M,30.95B,3.676B,17.17B,,,-2.425B,15.25B,,2010-03,AOR,Restated
