,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,4.972B,5.193B,1.584B,3.609B,980.00M,,980.00M,1.25B,,,-39.00M,,46.00M,,-46.00M,,2.23B,1.379B,,46.00M,-46.00M,446.00M,-46.00M,1.779B,284.00M,-9.00M,1.486B,1.489B,1.968B,143.00M,2018-03,0.91,,0.9115,0.91,0.91,,0.9115,2018-03,1.633B,1.64B,0.40,,2018-03,AOR,Restated
2017-12,5.046B,5.449B,1.601B,3.848B,1.316B,,1.316B,1.925B,,,-50.00M,,51.00M,,-51.00M,,3.338B,510.00M,,51.00M,-51.00M,239.00M,-51.00M,698.00M,3.027B,1.00M,-2.328B,-2.321B,946.00M,197.00M,2017-12,-1.41,,-1.406,-1.41,-1.41,,-1.406,2017-12,1.636B,1.643B,0.40,,2017-12,AOR,Restated
2017-09,4.862B,5.254B,1.579B,3.675B,1.163B,,1.163B,1.561B,,,-29.00M,,48.00M,,-48.00M,,2.724B,951.00M,,48.00M,-48.00M,280.00M,-48.00M,1.183B,327.00M,-11.00M,845.00M,842.83M,1.419B,188.00M,2017-09,0.52,,0.5187,0.52,0.51,,0.5087,2017-09,1.639B,1.645B,0.39,,2017-09,AOR,Restated
2017-06,4.77B,5.144B,1.569B,3.575B,1.187B,,1.187B,1.679B,,,-119.00M,,52.00M,,-52.00M,,2.866B,709.00M,,52.00M,-52.00M,638.00M,-52.00M,1.295B,373.00M,-6.00M,916.00M,980.08M,1.558B,211.00M,2017-06,0.56,,0.5990,0.56,0.56,,0.5988,2017-06,1.644B,1.65B,0.39,,2017-06,AOR,Restated
2017-03,4.58B,4.929B,1.265B,3.664B,1.085B,,1.085B,1.303B,,,447.00M,,45.00M,,-45.00M,,2.388B,1.276B,,45.00M,-45.00M,724.00M,-45.00M,1.955B,429.00M,48.00M,1.574B,1.205B,2.193B,193.00M,2017-03,0.95,,0.7277,0.95,0.94,,0.7189,2017-03,1.662B,1.671B,0.39,,2017-03,AOR,Restated
2016-12,4.814B,5.243B,1.406B,3.837B,1.529B,,1.463B,1.472B,,,-20.00M,,40.00M,,-40.00M,,2.935B,902.00M,,40.00M,-40.00M,224.00M,-40.00M,1.086B,188.00M,-4.00M,894.00M,897.31M,1.248B,122.00M,2016-12,0.53,,0.5320,0.53,0.53,,0.5320,2016-12,1.674B,1.683B,0.39,,2016-12,AOR,Restated
2016-09,4.492B,4.922B,1.305B,3.617B,1.144B,19.00M,1.163B,1.138B,,0.00,3.00M,,42.00M,,-42.00M,,2.301B,1.316B,,42.00M,-42.00M,285.00M,-42.00M,1.559B,344.00M,-13.00M,1.202B,1.175B,1.706B,105.00M,2016-09,0.72,,0.7037,0.72,0.72,,0.7038,2016-09,1.671B,1.679B,0.38,,2016-09,AOR,Restated
2016-06,4.432B,4.871B,1.206B,3.665B,1.238B,25.00M,1.263B,1.266B,,45.00M,214.00M,,42.00M,,-42.00M,,2.529B,1.136B,,42.00M,-42.00M,521.00M,-42.00M,1.615B,427.00M,-22.00M,1.166B,990.10M,1.747B,90.00M,2016-06,0.70,,0.5947,0.70,0.69,,0.5852,2016-06,1.67B,1.679B,0.38,,2016-06,AOR,Restated
2016-03,3.964B,4.391B,1.052B,3.339B,1.068B,22.00M,1.09B,1.136B,,,208.00M,,43.00M,,-43.00M,,2.226B,1.113B,,43.00M,-43.00M,585.00M,-43.00M,1.655B,449.00M,-11.00M,1.195B,1.026B,1.763B,65.00M,2016-03,0.72,,0.6187,0.72,0.71,,0.6093,2016-03,1.669B,1.68B,0.38,,2016-03,AOR,Restated
2015-12,3.862B,4.287B,952.00M,3.335B,1.501B,49.00M,1.55B,1.916B,,0.00,-387.00M,,43.00M,,-43.00M,,3.466B,-131.00M,,43.00M,-43.00M,-236.00M,-43.00M,-410.00M,-222.00M,-9.00M,-197.00M,19.00M,-291.00M,76.00M,2015-12,-0.08,,0.0493,-0.08,-0.08,,0.0482,2015-12,1.67B,1.685B,0.38,,2015-12,AOR,Restated
2015-09,3.552B,4.069B,1.097B,2.972B,1.176B,48.00M,1.224B,1.132B,,0.00,200.00M,,41.00M,,-41.00M,,2.356B,616.00M,,41.00M,-41.00M,412.00M,-41.00M,987.00M,257.00M,-24.00M,706.00M,480.30M,1.133B,105.00M,2015-09,0.42,,0.2847,0.42,0.42,,0.2855,2015-09,1.668B,1.678B,0.37,,2015-09,AOR,Restated
2015-06,3.572B,4.163B,1.013B,3.15B,1.135B,36.00M,1.171B,1.856B,,0.00,-204.00M,,49.00M,,-49.00M,,3.027B,123.00M,,49.00M,-49.00M,-22.00M,-49.00M,52.00M,162.00M,-20.00M,-130.00M,-23.20M,192.00M,91.00M,2015-06,-0.08,,-0.0159,-0.08,-0.08,,-0.0159,2015-06,1.667B,1.667B,0.37,,2015-06,AOR,Restated
2015-03,3.059B,4.041B,847.00M,3.194B,1.029B,27.00M,1.056B,1.016B,,,117.00M,,51.00M,,-51.00M,,2.072B,1.122B,,51.00M,-51.00M,377.00M,-51.00M,1.448B,249.00M,-13.00M,1.186B,1.034B,1.603B,104.00M,2015-03,0.71,,0.6189,0.71,0.71,,0.6196,2015-03,1.663B,1.676B,0.37,,2015-03,AOR,Restated
2014-12,3.24B,4.258B,966.00M,3.292B,1.364B,740.00M,2.104B,1.189B,,,-109.00M,,53.00M,,-53.00M,,3.293B,-1.00M,,53.00M,-53.00M,-6.00M,-53.00M,-60.00M,-87.00M,-14.00M,13.00M,85.15M,96.00M,103.00M,2014-12,0.01,,0.0535,0.01,0.01,,0.0530,2014-12,1.66B,1.676B,0.37,,2014-12,AOR,Restated
2014-09,2.843B,3.921B,1.007B,2.914B,1.20B,28.00M,1.228B,983.00M,,,252.00M,,50.00M,,-50.00M,,2.211B,703.00M,,50.00M,-50.00M,355.00M,-50.00M,1.008B,276.00M,-11.00M,721.00M,523.53M,1.17B,112.00M,2014-09,0.43,,0.3109,0.43,0.43,,0.3118,2014-09,1.658B,1.67B,0.36,,2014-09,AOR,Restated
2014-06,2.77B,3.889B,991.00M,2.898B,1.138B,45.00M,1.183B,1.416B,,,-3.00M,,46.00M,,-46.00M,,2.599B,299.00M,,46.00M,-46.00M,195.00M,-46.00M,448.00M,114.00M,-1.00M,333.00M,314.35M,609.00M,115.00M,2014-06,0.20,,0.1887,0.20,0.20,,0.1888,2014-06,1.657B,1.669B,0.36,,2014-06,AOR,Restated
2014-03,2.807B,3.811B,968.00M,2.843B,1.12B,64.00M,1.184B,946.00M,,,209.00M,,54.00M,,-54.00M,,2.13B,713.00M,,54.00M,-54.00M,326.00M,-54.00M,985.00M,49.00M,1.00M,937.00M,716.60M,1.176B,137.00M,2014-03,0.57,,0.4366,0.57,0.56,,0.4277,2014-03,1.652B,1.666B,0.36,,2014-03,AOR,Restated
2013-12,3.298B,4.441B,1.273B,3.168B,1.322B,27.00M,1.349B,957.00M,,,-38.00M,,53.00M,,-53.00M,,2.306B,862.00M,,53.00M,-53.00M,60.00M,-53.00M,869.00M,134.00M,-9.00M,726.00M,734.46M,1.103B,181.00M,2013-12,0.44,,0.4451,0.44,0.44,,0.4451,2013-12,1.647B,1.671B,0.36,,2013-12,AOR,Restated
2013-09,3.025B,4.065B,1.175B,2.89B,1.174B,37.00M,1.211B,893.00M,,,-23.00M,,46.00M,,-46.00M,,2.104B,786.00M,,46.00M,-46.00M,78.00M,-46.00M,818.00M,126.00M,0.00,692.00M,692.00M,1.044B,180.00M,2013-09,0.42,,0.42,0.42,0.42,,0.42,2013-09,1.646B,1.662B,0.35,,2013-09,AOR,Restated
2013-06,3.024B,4.048B,1.108B,2.94B,1.26B,101.00M,1.361B,951.00M,,,-151.00M,,50.00M,,-50.00M,,2.312B,628.00M,,50.00M,-50.00M,-48.00M,-50.00M,530.00M,0.00,6.00M,536.00M,659.00M,769.00M,189.00M,2013-06,0.33,,0.4048,0.33,0.32,,0.3941,2013-06,1.644B,1.66B,0.35,,2013-06,AOR,Restated
2013-03,2.957B,3.831B,1.063B,2.768B,1.183B,0.00,1.183B,930.00M,,,-32.00M,,50.00M,,-50.00M,,2.113B,655.00M,,50.00M,-50.00M,69.00M,-50.00M,674.00M,51.00M,-14.00M,609.00M,615.47M,937.00M,213.00M,2013-03,0.37,,0.3739,0.37,0.37,,0.3739,2013-03,1.638B,1.655B,0.35,,2013-03,AOR,Restated
2012-12,224.00M,4.191B,1.075B,3.116B,1.355B,155.00M,1.51B,1.082B,,,-108.00M,,51.00M,,-51.00M,,2.592B,524.00M,,51.00M,-51.00M,40.00M,-51.00M,513.00M,-411.00M,1.00M,925.00M,981.55M,763.00M,199.00M,2012-12,0.56,,0.5938,0.56,0.56,,0.5938,2012-12,1.672B,1.672B,0.35,,2012-12,AOR,Restated
2012-09,3.736B,3.736B,987.00M,2.749B,1.238B,3.00M,1.241B,951.00M,,,-1.909B,,48.00M,,-48.00M,,2.192B,557.00M,,48.00M,-48.00M,-1.768B,-48.00M,-1.259B,-546.00M,2.00M,-711.00M,512.30M,-1.016B,195.00M,2012-09,-0.43,,0.3098,-0.43,-0.43,,0.3098,2012-09,1.653B,1.653B,0.34,,2012-09,AOR,Restated
2012-06,4.443B,4.443B,1.245B,3.198B,1.228B,0.00,1.228B,962.00M,,,-39.00M,,41.00M,,-41.00M,,2.19B,1.008B,,41.00M,-41.00M,92.00M,-41.00M,1.059B,251.00M,-163.00M,645.00M,657.97M,1.248B,148.00M,2012-06,0.38,,0.3877,0.38,0.38,,0.3876,2012-06,1.683B,1.701B,0.34,,2012-06,AOR,Restated
2012-03,5.251B,5.251B,1.303B,3.948B,1.196B,,1.196B,909.00M,,,112.00M,,42.00M,,-42.00M,,2.105B,1.843B,,42.00M,-42.00M,226.00M,-42.00M,2.027B,545.00M,-381.00M,1.101B,992.81M,2.208B,139.00M,2012-03,0.65,,0.5859,0.65,0.64,,0.5766,2012-03,1.687B,1.706B,0.34,,2012-03,AOR,Restated
2011-12,1.832B,5.454B,1.367B,4.087B,4.488B,-2.977B,1.511B,1.008B,,,-222.00M,,42.00M,,-111.00M,,2.519B,1.568B,,42.00M,-111.00M,137.00M,-111.00M,1.594B,363.00M,-379.00M,852.00M,1.023B,1.782B,146.00M,2011-12,0.51,,0.6114,0.51,0.50,,0.5999,2011-12,1.691B,1.717B,0.34,,2011-12,AOR,Restated
2011-09,5.345B,5.345B,1.407B,3.938B,205.00M,1.019B,1.224B,973.00M,,,35.00M,,40.00M,23.00M,-17.00M,,2.197B,1.741B,23.00M,40.00M,-17.00M,106.00M,-17.00M,1.83B,475.00M,-386.00M,969.00M,943.08M,1.956B,86.00M,2011-09,0.57,0.00,0.5547,0.57,0.56,0.00,0.5449,2011-09,1.698B,1.715B,0.33,,2011-09,AOR,Restated
2011-06,5.434B,5.434B,1.481B,3.953B,253.00M,1.04B,1.293B,923.00M,,,-2.00M,,32.00M,,-32.00M,,2.216B,1.737B,,32.00M,-32.00M,85.00M,-32.00M,1.79B,483.00M,-405.00M,902.00M,903.46M,2.028B,206.00M,2011-06,0.53,0.00,0.5309,0.53,0.52,0.00,0.5208,2011-06,1.707B,1.722B,0.33,,2011-06,AOR,Restated
2011-03,5.011B,5.011B,1.343B,3.668B,214.00M,928.00M,1.142B,935.00M,,,104.00M,,31.00M,,-31.00M,,2.077B,1.591B,,31.00M,-31.00M,186.00M,-31.00M,1.767B,400.00M,-381.00M,986.00M,905.54M,1.988B,190.00M,2011-03,0.58,0.00,0.5327,0.58,0.57,0.00,0.5231,2011-03,1.702B,1.714B,0.33,,2011-03,AOR,Restated
2010-12,5.111B,5.111B,1.414B,3.697B,3.957B,-2.658B,1.299B,1.01B,,,-178.00M,,42.00M,,-96.00M,,2.309B,1.388B,,42.00M,-96.00M,121.00M,-96.00M,1.413B,571.00M,-359.00M,483.00M,558.60M,1.516B,61.00M,2010-12,0.28,,0.3243,0.28,0.28,,0.3237,2010-12,1.707B,1.73B,0.33,,2010-12,AOR,Restated
2010-09,4.798B,4.798B,1.28B,3.518B,231.00M,892.00M,1.123B,824.00M,,,-3.00M,,38.00M,23.00M,-15.00M,,1.947B,1.571B,23.00M,38.00M,-15.00M,58.00M,-15.00M,1.614B,312.00M,-353.00M,949.00M,958.68M,1.82B,168.00M,2010-09,0.55,0.00,0.5557,0.55,0.55,0.00,0.5556,2010-09,1.712B,1.726B,0.32,,2010-09,AOR,
2010-06,4.768B,4.768B,1.277B,3.491B,263.00M,894.00M,1.157B,822.00M,,,-5.00M,,32.00M,16.00M,-16.00M,,1.979B,1.512B,16.00M,32.00M,-16.00M,96.00M,-16.00M,1.592B,324.00M,-341.00M,927.00M,918.24M,1.815B,191.00M,2010-06,0.54,0.00,0.5349,0.54,0.53,0.00,0.5249,2010-06,1.718B,1.728B,0.32,,2010-06,AOR,Restated
2010-03,4.807B,4.807B,1.306B,3.501B,212.00M,900.00M,1.112B,910.00M,,,-122.00M,,33.00M,15.00M,-18.00M,,2.022B,1.479B,15.00M,33.00M,-18.00M,-9.00M,-18.00M,1.452B,351.00M,-358.00M,743.00M,823.38M,1.672B,187.00M,2010-03,0.43,0.00,0.4769,0.43,0.43,0.00,0.4766,2010-03,1.715B,1.725B,0.32,,2010-03,AOR,Restated
2009-12,5.033B,5.033B,1.433B,3.60B,334.00M,1.17B,1.504B,1.108B,,,-282.00M,,43.00M,14.00M,-29.00M,,1.98B,1.62B,14.00M,43.00M,-29.00M,-167.00M,-29.00M,1.32B,188.00M,-328.00M,8.025B,1.046B,1.545B,182.00M,2009-12,0.41,3.64,0.5334,4.05,0.41,3.63,0.5334,2009-12,1.959B,1.959B,0.32,,2009-12,AOR,Restated
2009-09,4.788B,4.788B,1.317B,3.471B,256.00M,953.00M,1.209B,820.00M,,,-52.00M,,47.00M,13.00M,-34.00M,,2.029B,1.442B,13.00M,47.00M,-34.00M,87.00M,-34.00M,1.565B,366.00M,-324.00M,966.00M,914.84M,1.793B,181.00M,2009-09,0.45,0.04,0.4701,0.49,0.45,0.03,0.4701,2009-09,1.98B,1.984B,0.31,,2009-09,AOR,Restated
2009-06,4.665B,4.665B,1.225B,3.44B,298.00M,950.00M,1.248B,811.00M,,,8.00M,,42.00M,14.00M,-28.00M,,2.059B,1.381B,14.00M,42.00M,-28.00M,169.00M,-28.00M,1.522B,353.00M,-315.00M,983.00M,839.41M,1.741B,177.00M,2009-06,0.44,0.05,0.4326,0.49,0.44,0.05,0.4326,2009-06,1.98B,1.983B,0.31,,2009-06,AOR,Restated
2009-03,4.322B,4.322B,1.165B,3.157B,248.00M,1.005B,1.253B,908.00M,,,79.00M,,52.00M,13.00M,-39.00M,,2.161B,996.00M,13.00M,52.00M,-39.00M,225.00M,-39.00M,1.195B,275.00M,-283.00M,638.00M,576.18M,1.414B,167.00M,2009-03,0.33,-0.01,0.2993,0.32,0.33,-0.01,0.2993,2009-03,1.978B,1.978B,0.31,,2009-03,AOR,Restated
2008-12,2.367B,2.367B,442.00M,1.925B,80.00M,666.00M,746.00M,1.07B,,,104.00M,,,,,,326.00M,1.599B,,,,1.138B,,1.193B,194.00M,-266.00M,1.244B,645.91M,1.842B,180.00M,2008-12,0.37,0.24,0.3260,0.61,0.37,0.24,0.3260,2008-12,1.98B,1.98B,0.31,,2008-12,AOR,Restated
2008-09,5.254B,5.254B,1.634B,3.62B,362.00M,1.208B,1.57B,834.00M,,,-178.00M,,,,,,2.404B,1.216B,,,,-14.00M,,1.155B,308.00M,-259.00M,2.578B,718.53M,1.398B,182.00M,2008-09,0.30,1.00,0.3660,1.30,0.30,0.99,0.3651,2008-09,1.977B,2.004B,0.31,,2008-09,,
2008-06,5.203B,5.203B,1.67B,3.533B,420.00M,1.165B,1.585B,826.00M,,,-64.00M,,,,,-163.00M,2.248B,1.285B,,,,-64.00M,,1.221B,258.00M,-241.00M,764.00M,772.48M,1.488B,203.00M,2008-06,0.36,0.02,0.3855,0.38,0.36,0.02,0.3852,2008-06,1.977B,2.006B,0.31,,2008-06,,Restated
2008-03,4.891B,4.891B,1.57B,3.321B,319.00M,1.134B,1.453B,782.00M,,,-13.00M,,73.00M,43.00M,-30.00M,,2.235B,1.086B,43.00M,73.00M,-30.00M,151.00M,-30.00M,1.207B,330.00M,-230.00M,661.00M,656.45M,1.531B,251.00M,2008-03,0.32,0.01,0.3248,0.33,0.32,0.01,0.3247,2008-03,1.975B,2.008B,0.31,,2008-03,,Restated
2007-12,6.213B,6.213B,2.066B,4.147B,515.00M,1.595B,2.11B,944.00M,,,-664.00M,,,,,,3.054B,1.093B,,,,-533.00M,,520.00M,268.00M,-217.00M,-89.00M,466.60M,1.347B,254.00M,2007-12,0.02,-0.07,0.2384,-0.05,0.01,-0.07,0.2284,2007-12,1.976B,1.976B,0.31,,2007-12,,
2007-09,4.601B,4.601B,1.478B,3.123B,338.00M,1.105B,1.443B,802.00M,,,279.00M,,,,,,2.245B,878.00M,,,,418.00M,,1.256B,292.00M,-211.00M,858.00M,538.86M,1.091B,213.00M,2007-09,0.38,0.05,0.2715,0.43,0.38,0.05,0.2736,2007-09,1.974B,2.012B,0.28,,2007-09,,
2007-06,4.471B,4.471B,1.408B,3.063B,354.00M,1.103B,1.457B,755.00M,,,50.00M,,,,,,2.212B,851.00M,,,,178.00M,,985.00M,203.00M,-194.00M,706.00M,548.30M,1.06B,209.00M,2007-06,0.30,0.06,0.2798,0.36,0.30,0.06,0.2802,2007-06,1.968B,2.006B,0.28,,2007-06,,
2007-03,4.317B,4.317B,1.34B,2.977B,268.00M,1.133B,1.401B,791.00M,,,-3.00M,,,,,,2.192B,785.00M,,,,123.00M,,852.00M,68.00M,-141.00M,690.00M,645.76M,1.001B,216.00M,2007-03,0.33,0.02,0.3314,0.35,0.33,0.02,0.3314,2007-03,1.962B,1.997B,0.28,,2007-03,,
2006-12,3.555B,3.555B,1.23B,2.325B,407.00M,1.192B,1.599B,745.00M,,,-584.00M,,,,,,2.344B,-19.00M,,,,-446.00M,,-520.00M,-239.00M,-16.00M,-134.00M,53.40M,215.00M,234.00M,2006-12,-0.15,0.08,0.0285,-0.07,-0.15,0.08,0.0285,2006-12,1.963B,1.963B,0.28,,2006-12,,
2006-09,4.154B,4.154B,1.465B,2.689B,286.00M,1.189B,1.475B,756.00M,,,97.00M,,,,,,2.231B,458.00M,,,,215.00M,,617.00M,193.00M,-86.00M,338.00M,271.34M,688.00M,230.00M,2006-09,0.17,0.00,0.1360,0.17,0.17,0.00,0.1365,2006-09,1.961B,1.992B,0.28,,2006-09,,
2006-06,4.871B,4.871B,1.568B,3.303B,352.00M,1.181B,1.533B,740.00M,,,14.00M,,,,,,2.273B,1.03B,,,,139.00M,,1.11B,256.00M,-187.00M,667.00M,656.23M,1.267B,237.00M,2006-06,0.34,0.00,0.3345,0.34,0.34,0.00,0.3346,2006-06,1.96B,1.994B,0.28,,2006-06,,
2006-03,4.676B,4.676B,1.476B,3.20B,295.00M,1.238B,1.533B,750.00M,,,237.00M,,,,,,2.283B,917.00M,,,,330.00M,,1.193B,328.00M,-151.00M,714.00M,542.16M,1.143B,226.00M,2006-03,0.36,0.00,0.2722,0.36,0.36,0.00,0.2736,2006-03,1.957B,1.988B,0.28,,2006-03,,
2005-12,4.417B,4.417B,1.404B,3.013B,432.00M,1.252B,1.684B,707.00M,,,-48.00M,,,,,,2.391B,622.00M,,,,46.00M,,620.00M,116.00M,-155.00M,499.00M,388.02M,861.00M,239.00M,2005-12,0.17,0.08,0.1900,0.25,0.17,0.08,0.1897,2005-12,1.955B,1.983B,0.28,,2005-12,,
2005-09,4.767B,4.767B,1.483B,3.284B,349.00M,1.286B,1.635B,669.00M,,,613.00M,,,,,,2.304B,980.00M,,,,697.00M,,1.626B,507.00M,-155.00M,964.00M,542.14M,1.197B,217.00M,2005-09,0.49,0.00,0.2740,0.49,0.49,0.00,0.2774,2005-09,1.953B,1.984B,0.28,,2005-09,,
2005-06,4.889B,4.889B,1.483B,3.406B,365.00M,1.268B,1.633B,649.00M,,,-31.00M,,,,,,2.282B,1.124B,,,,56.00M,,1.13B,-21.00M,-160.00M,1.004B,1.010B,1.354B,230.00M,2005-06,0.51,0.00,0.5195,0.51,0.50,0.00,0.5094,2005-06,1.952B,1.984B,0.28,,2005-06,,
2005-03,4.532B,4.532B,1.367B,3.165B,318.00M,1.183B,1.501B,653.00M,,,-100.00M,,,,,,2.154B,1.011B,,,,-31.00M,,928.00M,268.00M,-122.00M,533.00M,609.12M,1.254B,243.00M,2005-03,0.27,0.00,0.3065,0.27,0.27,0.00,0.3059,2005-03,1.949B,1.981B,0.28,,2005-03,,
2004-12,5.157B,5.157B,1.665B,3.492B,424.00M,1.39B,1.814B,677.00M,,,22.00M,,,,,,2.491B,1.001B,,,,91.00M,,1.039B,766.00M,-134.00M,139.00M,125.80M,1.256B,255.00M,2004-12,0.07,0.00,0.0632,0.07,0.07,0.00,0.0633,2004-12,1.945B,1.979B,0.28,,2004-12,,
2004-09,4.778B,4.778B,1.467B,3.311B,325.00M,1.199B,1.524B,615.00M,,,-45.00M,,,,,,2.139B,1.172B,,,,25.00M,,1.146B,239.00M,-152.00M,758.00M,790.62M,1.41B,238.00M,2004-09,0.39,0.00,0.4083,0.39,0.38,0.00,0.3980,2004-09,1.942B,1.975B,0.28,,2004-09,,
2004-06,4.819B,4.819B,1.50B,3.319B,346.00M,1.201B,1.547B,625.00M,,,-388.00M,,,,,,2.172B,1.147B,,,,-329.00M,,769.00M,118.00M,-128.00M,527.00M,851.46M,1.359B,212.00M,2004-06,0.27,0.00,0.4391,0.27,0.27,0.00,0.4362,2004-06,1.942B,1.976B,0.28,,2004-06,,
