,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2018-03,249.10M,,,-3.70M,-3.70M,,,101.50M,101.50M,88.80M,,,-100.50M,51.30M,,58.00M,-42.70M,3.90M,-32.70M,-73.70M,,,-145.20M,299.30M,,2018-03,-66.60M,-66.60M,0.00,,2.10M,-254.70M,,2018-03,-43.80M,,-43.80M,,-85.00M,-85.00M,9.40M,-4.10M,,2018-03,586.30M,-78.90M,513.70M,,2018-03,,,-43.80M,-85.00M,2018-03,AOR,Restated
2017-12,30.00M,,-3.70M,3.00M,-0.70M,,,185.10M,185.10M,11.40M,,6.20M,0.00,70.80M,,10.20M,-20.60M,-19.10M,-42.70M,27.50M,,,-54.90M,258.10M,,2017-12,-88.50M,-88.50M,,,0.00,0.40M,,2017-12,-43.70M,,-43.70M,,-165.10M,-165.10M,9.90M,-26.50M,,2017-12,550.10M,33.10M,584.40M,,2017-12,,0.00,-43.70M,-165.10M,2017-12,AOR,Restated
2017-09,78.00M,,3.90M,16.10M,20.00M,,,110.40M,110.40M,-78.80M,,81.60M,0.00,57.40M,,-14.20M,11.80M,-36.00M,-4.70M,44.00M,,,15.10M,269.50M,,2017-09,-93.30M,-93.30M,,,-0.10M,-170.20M,,2017-09,-43.80M,,-43.80M,,-59.60M,-59.60M,15.40M,-7.50M,,2017-09,541.80M,3.80M,550.10M,,2017-09,,0.00,-43.80M,-59.60M,2017-09,AOR,Restated
2017-06,165.20M,,5.50M,-18.60M,-13.10M,,,101.60M,101.60M,22.60M,,31.00M,,61.20M,,26.40M,-43.10M,-13.90M,-77.20M,19.40M,,,-114.80M,280.10M,,2017-06,-101.10M,-101.10M,,,0.20M,-253.20M,,2017-06,-43.70M,,-43.70M,,-170.80M,-170.80M,13.30M,-5.80M,,2017-06,715.10M,-180.10M,541.80M,,2017-06,,,-43.70M,-170.80M,2017-06,AOR,Restated
2017-03,170.10M,,-15.10M,10.60M,-4.50M,,,99.60M,99.60M,-1.10M,,,0.00,53.70M,,6.00M,-3.30M,-19.20M,-12.60M,19.20M,,,-15.90M,307.90M,,2017-03,-74.40M,-74.40M,,,,-495.30M,,2017-03,-43.80M,,-43.80M,,-68.10M,-68.10M,47.30M,-4.10M,,2017-03,968.00M,-256.10M,715.10M,,2017-03,,,-43.80M,-68.10M,2017-03,AOR,Restated
2016-12,93.40M,,6.90M,-14.60M,-7.70M,,,101.40M,101.40M,8.30M,,85.00M,,41.30M,,12.20M,7.90M,-11.80M,22.50M,73.80M,,-43.00M,49.40M,383.30M,,2016-12,-106.70M,-106.70M,,,-2.10M,114.40M,,2016-12,-195.00M,,-195.00M,,-30.60M,-30.60M,9.10M,-67.70M,,2016-12,762.00M,213.50M,966.00M,,2016-12,,,-195.00M,-30.60M,2016-12,AOR,Restated
2016-09,94.00M,,,11.00M,11.00M,,,100.00M,100.00M,25.00M,,0.00,,46.00M,,35.00M,-65.00M,-33.00M,-32.00M,99.00M,,10.00M,-21.00M,290.00M,,2016-09,-95.00M,-95.00M,,,1.00M,-66.00M,,2016-09,0.00,,0.00,,-69.00M,-69.00M,8.00M,,,2016-09,598.00M,163.00M,762.00M,,2016-09,,,0.00,-69.00M,2016-09,AOR,Restated
2016-06,120.00M,,14.00M,-17.00M,-3.00M,,,98.00M,98.00M,42.00M,,0.00,,48.00M,,9.00M,-28.00M,-35.00M,-23.00M,36.00M,,-25.00M,-75.00M,239.00M,,2016-06,-67.00M,-67.00M,,,,-330.00M,,2016-06,-5.00M,,-5.00M,,-34.00M,-34.00M,16.00M,4.00M,,2016-06,710.00M,-110.00M,598.00M,,2016-06,,,-5.00M,-34.00M,2016-06,AOR,Restated
2016-03,92.00M,,-14.00M,17.00M,3.00M,,,97.00M,97.00M,29.00M,,,,57.00M,,-14.00M,-37.00M,-4.00M,-65.00M,-42.00M,,58.00M,-90.00M,174.00M,,2016-03,-64.00M,-64.00M,,,,-6.00M,,2016-03,-175.00M,,-175.00M,,-297.00M,-297.00M,4.00M,-4.00M,,2016-03,1.01B,-304.00M,710.00M,,2016-03,,,-175.00M,-297.00M,2016-03,AOR,Restated
2015-12,66.62M,,,-0.769M,-0.769M,,,93.74M,93.74M,9.585M,,,,66.25M,13.41M,23.23M,-24.85M,-81.03M,22.82M,31.21M,,-29.34M,-81.20M,190.86M,,2015-12,-80.08M,-80.08M,,0.007M,-0.079M,-161.62M,,2015-12,-43.70M,,-43.70M,,-152.32M,-152.32M,31.18M,-16.45M,,2015-12,1.163B,-152.05M,1.010B,,2015-12,,0.00,-43.70M,-152.32M,2015-12,AOR,Restated
2015-09,-183.76M,,10.43M,0.769M,11.20M,,,49.72M,49.72M,389.48M,,,,51.06M,87.05M,21.75M,18.03M,-12.09M,-31.95M,-136.35M,,-41.07M,-203.42M,223.09M,,2015-09,-76.05M,-76.05M,,-0.039M,4.069M,-195.19M,,2015-09,0.00,,0.00,,-91.82M,-91.82M,19.14M,-112.35M,,2015-09,1.322B,-157.14M,1.163B,,2015-09,,0.00,0.00,-91.82M,2015-09,AOR,Restated
2015-06,170.22M,,-6.518M,0.434M,-6.084M,,,12.56M,12.56M,21.26M,-3.178M,,,67.00M,41.76M,2.761M,-50.07M,2.096M,-9.089M,2.898M,,-13.91M,-68.07M,238.22M,,2015-06,-73.10M,-73.10M,,-3.939B,0.459M,-3.180B,,2015-06,3.454B,,3.454B,,-23.54M,-23.54M,6.802M,-91.42M,,2015-06,916.81M,404.60M,1.322B,,2015-06,,3.70B,-245.50M,-23.54M,2015-06,AOR,Restated
2015-03,91.32M,,-3.916M,-0.434M,-4.35M,,,10.58M,10.58M,-24.82M,3.178M,,,42.80M,-52.52M,19.36M,-58.92M,2.626M,-38.98M,-13.66M,,46.43M,-62.50M,23.03M,,2015-03,-57.08M,-57.08M,,,0.951M,-48.42M,,2015-03,-12.00M,,-12.00M,,-60.03M,-60.03M,24.88M,52.22M,,2015-03,944.00M,-20.32M,916.81M,,2015-03,,,-12.00M,-60.03M,2015-03,AOR,Restated
2014-12,153.42M,,-9.253M,,-9.253M,,,18.60M,18.60M,6.456M,-12.11M,8.536M,,33.38M,35.32M,47.83M,-5.269M,-40.78M,-11.76M,98.46M,,-39.44M,1.201M,283.38M,,2014-12,-53.12M,-53.12M,,0.00,-0.293M,-57.31M,,2014-12,-11.50M,,-11.50M,,-19.85M,-19.85M,36.32M,-35.21M,,2014-12,752.16M,195.84M,944.00M,,2014-12,,0.00,-11.50M,-19.85M,2014-12,AOR,Restated
2014-09,177.73M,,13.30M,,13.30M,,,9.353M,9.353M,-48.03M,3.951M,0.00,,28.37M,-31.78M,6.912M,-13.55M,8.755M,11.57M,88.25M,,26.69M,121.72M,281.52M,,2014-09,-22.69M,-22.69M,,0.00,-0.733M,-75.57M,,2014-09,-12.00M,,-12.00M,,-104.63M,-104.63M,25.50M,31.74M,,2014-09,612.04M,146.55M,752.16M,,2014-09,,0.00,-12.00M,-104.63M,2014-09,AOR,Restated
2014-06,166.50M,,-4.046M,,-4.046M,,,9.774M,9.774M,-54.11M,3.988M,0.00,,28.41M,-124.14M,1.701M,-9.242M,-14.07M,-51.45M,138.98M,,13.86M,78.08M,106.15M,,2014-06,-43.46M,-43.46M,,0.00,-0.044M,0.081M,,2014-06,-12.00M,,-12.00M,,-156.46M,-156.46M,21.78M,124.10M,,2014-06,528.28M,83.65M,612.04M,,2014-06,,0.00,-12.00M,-156.46M,2014-06,AOR,Restated
2014-03,159.35M,,,,,,,9.268M,9.268M,-58.31M,4.175M,3.464M,,23.84M,-130.41M,0.559M,0.063M,-20.90M,33.63M,-60.68M,,4.887M,-43.00M,-31.06M,,2014-03,-17.73M,-17.73M,,,0.07M,-90.20M,,2014-03,-19.50M,,-19.50M,,-22.06M,-22.06M,30.40M,130.36M,,2014-03,529.86M,-2.04M,528.28M,,2014-03,,,-19.50M,-22.06M,2014-03,AOR,Restated
2013-12,-18.99M,,3.426M,1.571M,4.997M,,,8.454M,8.454M,75.80M,2.656M,33.52M,,19.79M,-9.882M,-0.082M,-18.01M,5.118M,-36.25M,142.57M,,-0.812M,92.62M,208.88M,,2013-12,-8.701M,-8.701M,,,-9.11M,-613.27M,,2013-12,-12.00M,,-12.00M,,0.00,0.00,26.72M,9.795M,,2013-12,910.41M,-379.87M,529.86M,,2013-12,,,-12.00M,0.00,2013-12,AOR,Restated
2013-09,93.78M,,-2.969M,-1.01M,-3.979M,,,7.225M,7.225M,-8.949M,0.554M,0.00,,21.60M,-38.52M,2.727M,-43.25M,9.399M,-13.79M,95.54M,,21.94M,69.83M,144.28M,,2013-09,-6.616M,-6.616M,,,0.002M,-216.33M,,2013-09,-12.00M,,-12.00M,,0.00,0.00,20.98M,35.48M,,2013-09,936.46M,-27.59M,910.41M,,2013-09,,,-12.00M,0.00,2013-09,AOR,Restated
2013-06,95.88M,,-3.178M,7.157M,3.979M,,,6.748M,6.748M,0.165M,0.025M,0.00,,17.96M,-35.98M,1.165M,-28.95M,-8.922M,-3.362M,45.24M,,3.752M,7.757M,97.70M,,2013-06,-8.519M,-8.519M,,,-0.131M,-191.97M,,2013-06,-12.00M,,-12.00M,,-31.03M,-31.03M,14.05M,35.95M,,2013-06,1.023B,-87.31M,936.46M,,2013-06,,,-12.00M,-31.03M,2013-06,AOR,Restated
2013-03,82.22M,,2.721M,-7.718M,-4.997M,,,6.266M,6.266M,25.82M,0.00,0.00,,16.86M,-21.33M,2.236M,-26.23M,-5.469M,13.52M,-40.99M,,-1.40M,-60.57M,46.50M,,2013-03,-5.493M,-5.493M,,,-0.076M,-5.569M,,2013-03,0.00,,0.00,,-35.11M,-35.11M,9.527M,21.27M,,2013-03,989.50M,36.62M,1.023B,,2013-03,,,0.00,-35.11M,2013-03,AOR,Restated
2012-12,80.97M,,5.405M,0.202M,5.607M,,,6.274M,6.274M,13.48M,0.00,0.00,,13.69M,,-2.634M,-7.571M,-2.798M,0.024M,9.006M,,-3.866M,-5.205M,104.96M,,2012-12,-7.589M,-7.589M,,0.00,-0.001M,-7.59M,,2012-12,-12.00M,,-12.00M,0.00,-11.55M,-11.55M,11.53M,-0.481M,,2012-12,905.53M,84.86M,989.50M,,2012-12,0.00,0.00,-12.00M,-11.55M,2012-12,AOR,Restated
2012-09,92.18M,,-4.49M,3.972M,-0.518M,,,6.194M,6.194M,54.48M,0.00,26.30M,,14.02M,,-0.541M,-23.58M,5.823M,-24.22M,-16.94M,,8.141M,-50.79M,141.32M,,2012-09,-6.239M,-6.239M,,0.00,0.00,-6.239M,,2012-09,-67.00M,,-67.00M,-0.052M,0.00,-0.052M,24.68M,5.68M,,2012-09,806.21M,98.40M,905.53M,,2012-09,-0.052M,0.00,-67.00M,0.00,2012-09,AOR,Restated
2012-06,36.26M,,0.628M,-5.31M,-4.682M,,,5.544M,5.544M,-19.92M,0.00,,,12.99M,,1.967M,-21.53M,0.456M,1.786M,79.74M,,8.93M,69.37M,101.53M,,2012-06,-4.252M,-4.252M,,-0.306M,-0.001M,-4.559M,,2012-06,-127.00M,,-127.00M,462.26M,0.00,462.26M,14.40M,1.28M,,2012-06,359.39M,447.92M,806.21M,,2012-06,462.26M,0.00,-127.00M,0.00,2012-06,AOR,Restated
2012-03,45.41M,,-1.543M,1.136M,-0.407M,,,5.875M,5.875M,23.12M,,,,13.32M,,2.925M,-20.18M,-9.746M,5.372M,-2.845M,,-0.033M,-27.44M,62.80M,,2012-03,-3.766M,-3.766M,,-605.43M,-0.002M,-609.20M,,2012-03,355.00M,,355.00M,,0.00,0.00,15.82M,-6.20M,,2012-03,540.86M,-181.77M,359.39M,,2012-03,,355.00M,,0.00,2012-03,AOR,Restated
2011-12,48.17M,,2.101M,-2.565M,-0.464M,,,4.414M,4.414M,26.90M,-0.024M,0.00,,10.34M,,0.101M,-26.45M,-1.316M,-0.011M,25.29M,,3.836M,1.356M,90.79M,,2011-12,-6.741M,-6.741M,,0.00,0.044M,0.661M,,2011-12,0.64M,,0.64M,0.00,,0.00,11.23M,0.979M,,2011-12,438.15M,104.30M,540.86M,,2011-12,0.00,0.00,0.64M,,2011-12,AOR,Restated
2011-09,65.57M,,8.217M,5.79M,14.01M,,,4.496M,4.496M,-4.007M,-0.201M,0.00,,11.26M,,0.554M,-16.56M,-1.363M,-15.54M,17.55M,,0.483M,-15.43M,76.25M,,2011-09,-5.405M,-5.405M,,0.00,-0.003M,7.592M,,2011-09,-0.35M,0.00,-0.35M,0.00,,0.00,7.985M,0.774M,,2011-09,347.87M,92.25M,438.15M,,2011-09,0.00,0.00,-0.35M,,2011-09,AOR,Restated
2011-06,34.74M,0.00,-1.664M,-1.518M,-3.182M,,,4.389M,4.389M,9.112M,0.091M,,,11.83M,,0.745M,-9.208M,0.879M,-4.438M,31.49M,,2.23M,20.95M,78.68M,,2011-06,-7.614M,-7.614M,,-0.481M,-0.01M,31.00M,,2011-06,-0.198M,-60.00M,-60.20M,-9.685M,,-9.685M,16.55M,1.233M,,2011-06,289.43M,57.58M,347.87M,,2011-06,-9.685M,0.00,-60.20M,,2011-06,AOR,Restated
2011-03,26.83M,0.00,-3.138M,-1.228M,-4.366M,,,4.317M,4.317M,10.06M,0.11M,,,11.33M,,0.136M,-26.56M,-10.38M,-1.053M,5.447M,,8.484M,-24.06M,24.36M,,2011-03,-2.222M,-2.222M,,-105.40M,-0.338M,-72.96M,,2011-03,-0.092M,60.00M,59.91M,9.685M,,9.685M,,0.299M,,2011-03,267.14M,21.29M,289.43M,,2011-03,9.685M,60.00M,-0.092M,,2011-03,AOR,Restated
2010-12,26.45M,-0.076M,1.189M,-2.664M,-1.551M,,,3.928M,3.928M,9.221M,-0.758M,,,7.605M,,-24.46M,-17.08M,0.099M,0.761M,22.56M,,-1.258M,5.078M,51.01M,,2010-12,-3.895M,-3.915M,0.02M,0.00,0.00,-9.978M,,2010-12,0.379M,,0.379M,-22.82M,,-22.82M,37.55M,0.744M,,2010-12,209.96M,56.88M,267.14M,,2010-12,-22.82M,0.00,0.379M,,2010-12,AOR,Restated
2010-09,27.87M,0.013M,-9.244M,6.453M,-2.778M,,,4.031M,4.031M,14.27M,0.161M,,,8.379M,,8.54M,-18.02M,-0.442M,-10.15M,18.53M,,1.09M,-8.991M,42.94M,,2010-09,-3.425M,-3.425M,0.00,0.00,-0.002M,-55.42M,,2010-09,-0.074M,0.00,-0.074M,9.016M,,9.016M,,-0.135M,,2010-09,212.10M,-3.67M,209.96M,,2010-09,9.016M,0.00,-0.074M,,2010-09,AOR,Restated
2010-06,21.77M,0.00,4.555M,-0.256M,4.299M,,,3.991M,3.991M,6.567M,0.285M,,,8.25M,,8.535M,-6.707M,-1.021M,-2.485M,10.74M,,-0.227M,0.297M,45.46M,,2010-06,-3.206M,-3.186M,-0.02M,0.00,,-21.64M,,2010-06,-0.134M,0.00,-0.134M,13.80M,,13.80M,-10.59M,0.399M,,2010-06,186.06M,27.29M,212.10M,,2010-06,13.80M,0.00,-0.134M,,2010-06,AOR,Restated
2010-03,20.93M,0.063M,2.977M,2.672M,5.712M,,,3.842M,3.842M,6.333M,0.312M,,,8.104M,,8.416M,-17.43M,-12.76M,9.105M,-4.371M,,1.71M,-23.74M,21.49M,,2010-03,-2.317M,-2.317M,,0.00,,-2.276M,,2010-03,-0.171M,0.00,-0.171M,,,,10.59M,0.313M,,2010-03,157.17M,29.95M,186.06M,,2010-03,,0.00,-0.171M,,2010-03,AOR,Restated
2009-12,237.13M,0.163M,,,-3.067M,,,3.538M,3.538M,-208.73M,0.00,,,6.878M,,1.384M,-5.554M,4.787M,-0.591M,-1.689M,,-1.644M,-4.691M,32.44M,,2009-12,-9.17M,-9.17M,0.00,,0.486M,-27.71M,,2009-12,23.92M,,-20.08M,30.73M,,30.73M,-22.53M,,,2009-12,165.30M,-7.849M,157.17M,,2009-12,30.73M,,23.92M,,2009-12,AOR,Restated
2009-09,26.73M,0.108M,,,0.108M,,,2.971M,2.971M,0.00,0.00,,,6.979M,,1.259M,-12.71M,4.951M,4.09M,4.763M,,-0.387M,0.707M,38.76M,,2009-09,-7.78M,-7.78M,0.00,,0.266M,-7.514M,,2009-09,-24.08M,,-24.08M,-10.80M,,-10.80M,22.53M,,,2009-09,145.80M,18.90M,165.30M,,2009-09,-10.80M,,-24.08M,,2009-09,AOR,Restated
2009-06,16.80M,-0.024M,,,-0.024M,,,2.94M,2.94M,0.00,0.00,,,6.948M,,-1.542M,-11.73M,4.131M,-4.85M,12.37M,,1.665M,1.59M,26.71M,,2009-06,-27.16M,-11.92M,-15.24M,,-0.067M,-27.23M,,2009-06,-0.074M,,-0.074M,6.601M,,6.601M,,,,2009-06,139.04M,6.015M,145.80M,,2009-06,6.601M,,-0.074M,,2009-06,AOR,Restated
2009-03,14.51M,0.024M,,,0.024M,,,3.024M,3.024M,0.00,0.00,,,7.926M,,2.294M,-6.448M,0.727M,-5.575M,-1.315M,,0.766M,-11.84M,15.93M,,2009-03,-18.91M,-6.406M,-12.50M,,-0.067M,-18.97M,,2009-03,-0.071M,,-0.071M,4.199M,,4.199M,,,,2009-03,138.01M,1.084M,139.04M,,2009-03,4.199M,,-0.071M,,2009-03,AOR,Restated
2008-12,15.34M,,,,0.476M,,,2.079M,2.079M,,,,,,,5.801M,-5.137M,0.28M,3.099M,10.03M,,-1.117M,7.158M,30.85M,,2008-12,-18.18M,-9.553M,,,-0.067M,-17.61M,,2008-12,,,-0.071M,0.875M,,0.875M,,0.00,,2008-12,124.15M,14.04M,138.01M,,2008-12,0.875M,,,,2008-12,AOR,Restated
2008-09,19.69M,,,,-0.003M,,,1.96M,1.96M,,,,,,,5.99M,-16.65M,-1.365M,-8.386M,17.82M,,2.456M,-8.183M,19.45M,,2008-09,-10.10M,-10.10M,,,-0.068M,-10.17M,,2008-09,,,-5.068M,13.92M,,13.92M,,0.00,,2008-09,106.10M,18.13M,124.15M,,2008-09,13.92M,,,,2008-09,,
2008-06,2.374M,,,,0.005M,,,2.28M,2.28M,,,,,,,6.007M,-2.445M,-14.69M,10.15M,9.278M,,,3.484M,14.15M,,2008-06,-8.64M,-8.64M,,,-0.068M,-8.711M,,2008-06,,,-13.07M,9.612M,,9.612M,,-0.312M,,2008-06,104.85M,1.669M,106.10M,,2008-06,9.612M,,,,2008-06,,
2008-03,-4.249M,,,,0.042M,,,1.289M,1.289M,,,,,,,5.884M,-7.029M,0.078M,-3.912M,-4.219M,,,-14.22M,-11.25M,,2008-03,-11.44M,-11.44M,,,0.542M,-2.157M,,2008-03,,,17.94M,4.486M,,4.486M,,,,2008-03,95.32M,9.012M,104.85M,,2008-03,4.486M,,,,2008-03,,
2007-12,-12.33M,,,,,,,1.721M,1.721M,,,,,,,5.264M,-17.92M,-0.695M,-2.135M,4.16M,,-0.018M,-16.61M,-21.41M,,2007-12,-12.82M,-12.82M,,,12.87M,9.989M,,2007-12,,,-0.064M,15.30M,,15.30M,,,,2007-12,91.50M,3.817M,95.32M,,2007-12,15.30M,,,,2007-12,,
2007-09,-20.08M,,,,,,,1.26M,1.26M,,,,,,,6.066M,-21.36M,-17.25M,2.488M,10.22M,,0.018M,-25.36M,-38.12M,,2007-09,-17.30M,-17.30M,,,-4.301M,-11.86M,,2007-09,,,17.94M,10.45M,,10.45M,,,,2007-09,112.76M,-21.59M,91.50M,,2007-09,10.45M,,,,2007-09,,
2007-06,-27.18M,,,,,,,1.073M,1.073M,,,,,,,5.34M,-9.089M,-11.85M,0.301M,-0.724M,,-5.343M,-19.95M,-40.72M,,2007-06,-22.49M,-22.49M,,,12.72M,6.763M,,2007-06,,,-0.015M,9.838M,,9.838M,,,,2007-06,136.99M,-24.14M,112.76M,,2007-06,9.838M,,,,2007-06,,
2007-03,-32.69M,,,,,,,0.873M,0.873M,,,,,,,4.98M,-1.173M,-0.799M,-1.094M,-2.178M,,,-12.52M,-39.36M,,2007-03,-16.22M,-16.22M,,,11.35M,-1.816M,,2007-03,,,-0.018M,11.41M,,11.41M,,,,2007-03,166.83M,-29.78M,136.99M,,2007-03,11.41M,,,,2007-03,,
2006-12,-39.25M,,,,0.141M,,,1.055M,1.055M,,,,,,,9.752M,,,0.347M,10.77M,,-4.082M,0.324M,-27.98M,,2006-12,-11.62M,-11.62M,,,-0.41M,8.95M,,2006-12,,,-0.224M,146.43M,,146.15M,,,,2006-12,39.98M,126.90M,166.83M,,2006-12,146.43M,,,,2006-12,,
