,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,16.31B,310.18B,326.50B,19.61B,19.61B,346.10B,,9.499B,,9.499B,80.55B,331.50B,,429.78B,706.33B,,,695.00M,222.00M,917.00M,917.00M,,479.00M,479.00M,479.00M,,,1.396B,17.68B,,17.68B,5.377B,5.377B,,27.03B,198.40B,199.00M,,248.49B,652.50B,,12.00M,26.87B,32.45B,8.557B,,,,,2.854B,53.63B,,AOR,Restated
2018-03,13.93B,309.83B,323.76B,19.37B,19.37B,359.57B,,9.733B,,9.733B,80.80B,317.25B,,416.17B,712.58B,,,672.00M,155.00M,827.00M,827.00M,,526.00M,526.00M,526.00M,,,1.353B,18.85B,,18.85B,6.304B,6.304B,,26.15B,200.31B,198.00M,,251.62B,656.08B,,12.00M,26.45B,31.65B,7.442B,,,,,5.634B,56.31B,,AOR,Restated
2017-12,12.70B,313.80B,326.50B,18.42B,18.42B,344.92B,,9.59B,,9.59B,78.40B,338.77B,,434.92B,719.89B,,,682.00M,311.00M,993.00M,993.00M,100.00M,377.00M,477.00M,477.00M,,,1.47B,18.83B,,18.83B,6.767B,6.767B,,25.72B,198.03B,194.00M,,249.35B,661.02B,,12.00M,26.53B,31.11B,6.401B,,,,,7.427B,58.68B,,AOR,Restated
2017-09,13.02B,318.89B,331.91B,18.59B,18.59B,367.04B,,9.556B,,9.556B,77.64B,324.39B,,419.74B,720.52B,,,730.00M,,730.00M,730.00M,,214.00M,214.00M,214.00M,,,944.00M,19.83B,,19.83B,8.554B,8.554B,,27.13B,197.54B,230.00M,,253.06B,663.57B,,12.00M,24.41B,31.07B,5.779B,,,,,7.005B,56.71B,,AOR,Restated
2017-06,17.32B,374.68B,392.00B,26.49B,26.55B,433.31B,,9.385B,,9.385B,88.64B,381.55B,,487.65B,925.20B,,,722.00M,,722.00M,722.00M,,235.00M,235.00M,235.00M,,,957.00M,22.68B,,22.68B,10.38B,10.38B,,33.72B,230.96B,214.00M,,297.75B,855.53B,,12.00M,35.27B,31.02B,5.284B,,,,,8.436B,69.46B,,AOR,Restated
2017-03,17.41B,368.87B,386.28B,25.92B,25.94B,426.62B,,9.35B,,9.35B,87.66B,375.64B,,480.70B,914.69B,,,699.00M,,699.00M,699.00M,,260.00M,260.00M,260.00M,,,959.00M,19.68B,,19.68B,9.55B,9.55B,,32.90B,229.47B,179.00M,,291.60B,846.58B,,12.00M,34.86B,30.99B,4.332B,,,,,6.396B,67.93B,,AOR,Restated
2016-12,12.65B,298.98B,311.63B,15.44B,15.46B,341.02B,,9.22B,,9.22B,74.68B,304.12B,,395.07B,898.76B,,,696.00M,0.00,696.00M,696.00M,100.00M,142.00M,242.00M,242.00M,,,938.00M,19.61B,,19.61B,6.892B,6.892B,,25.87B,185.89B,171.00M,,238.26B,831.06B,,12.00M,34.68B,30.94B,3.474B,,,,,5.366B,67.53B,,AOR,Restated
2016-09,15.88B,405.39B,421.27B,26.18B,26.18B,462.18B,,9.592B,,9.592B,82.33B,412.26B,,512.06B,952.90B,,,763.00M,151.00M,914.00M,914.00M,,201.00M,201.00M,201.00M,,,1.115B,19.72B,,19.72B,14.36B,14.36B,,44.42B,231.05B,180.00M,0.00,309.55B,874.44B,,12.00M,37.05B,30.80B,3.172B,,,,,13.60B,78.29B,,AOR,Restated
2016-06,17.07B,400.68B,417.75B,26.04B,26.09B,458.15B,,9.852B,,9.852B,80.64B,407.66B,,505.90B,942.57B,,,734.00M,,734.00M,734.00M,,103.00M,103.00M,103.00M,,,837.00M,19.75B,,19.75B,14.97B,14.97B,,45.79B,227.97B,194.00M,0.00,308.48B,863.19B,,12.00M,36.92B,30.78B,3.172B,,,,,14.63B,79.18B,,AOR,Restated
2016-03,13.29B,386.98B,400.27B,27.84B,27.97B,443.23B,,9.729B,,9.729B,79.91B,394.00B,,491.13B,917.43B,,,706.00M,,706.00M,706.00M,,100.00M,100.00M,100.00M,,,806.00M,21.08B,,21.08B,13.78B,13.78B,,41.16B,222.03B,190.00M,0.00,298.05B,841.46B,,12.00M,37.30B,30.77B,3.172B,,,,,10.86B,75.78B,,AOR,Restated
2015-12,12.75B,364.02B,376.77B,22.70B,22.86B,414.66B,,9.477B,,9.477B,78.36B,371.12B,,466.62B,877.93B,,,720.00M,,720.00M,720.00M,100.00M,0.00,100.00M,100.00M,,,820.00M,21.22B,,21.22B,10.59B,10.59B,,36.87B,216.98B,470.00M,77.00M,285.73B,809.51B,,12.00M,35.52B,30.75B,3.102B,,,,,4.771B,67.95B,,AOR,Restated
2015-09,10.22B,369.93B,380.15B,25.81B,25.81B,421.32B,,9.546B,,9.546B,75.10B,377.84B,,470.36B,882.46B,,,716.00M,21.00M,737.00M,737.00M,,100.00M,100.00M,100.00M,,,837.00M,19.95B,,19.95B,11.36B,11.36B,,37.99B,216.81B,485.00M,79.00M,286.19B,811.47B,,12.00M,35.15B,30.73B,2.279B,,,,,6.891B,70.50B,,AOR,Restated
2015-06,8.074B,369.62B,377.70B,24.87B,24.87B,419.03B,,9.644B,,9.644B,75.58B,377.72B,,470.54B,898.41B,,,699.00M,71.00M,770.00M,770.00M,,100.00M,100.00M,100.00M,,,870.00M,19.96B,,19.96B,10.76B,10.76B,,35.53B,218.66B,520.00M,92.00M,285.00B,828.51B,,12.00M,34.38B,30.72B,2.172B,,,,,6.443B,69.38B,,AOR,Restated
2015-03,8.127B,384.12B,392.24B,24.19B,24.19B,432.91B,,9.717B,,9.717B,74.02B,392.19B,,483.90B,919.79B,,,677.00M,243.00M,920.00M,920.00M,,100.00M,100.00M,100.00M,,,1.02B,20.91B,,20.91B,13.30B,13.30B,,37.31B,221.18B,544.00M,95.00M,292.80B,845.48B,,13.00M,33.75B,30.63B,2.158B,1.00M,,,,11.53B,73.77B,,AOR,Restated
2014-12,10.81B,377.68B,388.48B,22.24B,22.24B,426.76B,,9.872B,,9.872B,71.74B,386.42B,,475.89B,902.34B,,,684.00M,184.00M,868.00M,868.00M,,100.00M,100.00M,100.00M,,,968.00M,19.48B,,19.48B,11.82B,11.82B,,35.33B,223.72B,507.00M,99.00M,290.44B,829.78B,,13.00M,32.02B,30.54B,1.172B,1.00M,,,,10.65B,72.05B,,AOR,Restated
2014-09,8.783B,384.00B,392.78B,23.81B,23.81B,433.84B,,10.22B,,10.22B,69.79B,392.21B,,481.12B,908.63B,,,710.00M,293.00M,1.003B,1.003B,,100.00M,100.00M,100.00M,,,1.103B,19.58B,,19.58B,11.36B,11.36B,,33.78B,230.25B,494.00M,102.00M,295.07B,837.33B,,12.00M,30.93B,29.49B,615.00M,1.00M,,,,10.99B,70.80B,,AOR,Restated
2014-06,7.393B,383.28B,390.68B,23.73B,23.73B,432.24B,,10.43B,,10.43B,69.01B,391.25B,,479.82B,911.12B,,,682.00M,232.00M,914.00M,914.00M,,100.00M,100.00M,100.00M,,,1.014B,19.98B,,19.98B,10.45B,10.45B,,33.19B,229.16B,583.00M,108.00M,292.88B,840.95B,,12.00M,29.26B,29.44B,176.00M,1.00M,,,,11.06B,69.59B,,AOR,Restated
2014-03,8.573B,372.67B,381.24B,23.03B,23.03B,421.77B,,10.43B,,10.43B,68.90B,380.49B,,468.21B,890.90B,,,656.00M,239.00M,895.00M,895.00M,,100.00M,100.00M,100.00M,,,995.00M,19.99B,,19.99B,8.906B,8.906B,,32.47B,224.87B,574.00M,107.00M,286.34B,824.57B,,12.00M,28.32B,29.38B,172.00M,1.00M,,,,8.215B,65.76B,,AOR,Restated
2013-12,7.585B,367.54B,375.13B,21.86B,21.86B,413.75B,,10.54B,,10.54B,69.47B,375.61B,,463.99B,885.30B,,,675.00M,186.00M,861.00M,861.00M,,175.00M,175.00M,175.00M,,,1.036B,21.85B,,21.85B,6.643B,6.643B,,30.41B,228.10B,543.00M,887.00M,287.89B,823.20B,,12.00M,27.33B,29.28B,172.00M,1.00M,,,,5.104B,61.55B,,AOR,Restated
2013-09,11.38B,364.69B,376.07B,23.47B,23.47B,416.19B,,9.509B,,9.509B,69.52B,371.94B,,458.92B,822.64B,,,769.00M,199.00M,968.00M,968.00M,,100.00M,100.00M,100.00M,,,1.068B,21.44B,,21.44B,5.955B,5.955B,,31.87B,230.04B,341.00M,110.00M,289.42B,761.38B,,12.00M,26.77B,29.22B,172.00M,1.00M,,,,5.10B,60.93B,,AOR,Restated
2013-06,9.184B,372.74B,381.92B,23.28B,23.28B,420.57B,,9.447B,,9.447B,67.36B,380.68B,,465.31B,815.66B,,,750.00M,111.00M,861.00M,861.00M,,100.00M,100.00M,100.00M,,,961.00M,21.77B,,21.77B,6.602B,6.602B,,33.25B,230.47B,405.00M,130.00M,292.22B,755.25B,,12.00M,25.82B,28.14B,172.00M,1.00M,,,,6.202B,60.00B,,AOR,Restated
2013-03,9.983B,391.14B,401.12B,23.05B,23.05B,440.76B,,9.696B,,9.696B,67.40B,398.22B,,483.38B,841.68B,,,713.00M,231.00M,944.00M,944.00M,,100.00M,100.00M,100.00M,,,1.044B,21.91B,,21.91B,8.699B,8.699B,,34.22B,239.52B,422.00M,96.00M,304.44B,776.81B,,12.00M,25.96B,28.07B,172.00M,1.00M,,,,10.58B,64.45B,,AOR,Restated
2012-12,15.74B,394.06B,409.80B,21.63B,21.63B,447.12B,,9.953B,,9.953B,68.89B,401.41B,,488.13B,836.78B,,,728.00M,401.00M,1.129B,1.129B,100.00M,,100.00M,100.00M,,,1.229B,22.25B,,22.25B,8.693B,8.693B,6.416B,33.69B,241.28B,384.00M,121.00M,312.46B,771.94B,,12.00M,25.20B,28.01B,172.00M,1.00M,,,,11.40B,64.45B,,AOR,Restated
2012-09,16.95B,14.68B,31.63B,22.94B,22.94B,54.57B,,10.02B,,10.02B,71.12B,411.48B,,500.75B,846.28B,,,4.726B,451.00M,5.177B,5.177B,,100.00M,100.00M,100.00M,,,5.277B,27.01B,,27.01B,9.275B,9.275B,6.515B,38.49B,,501.00M,,81.29B,781.74B,,12.00M,25.92B,26.96B,172.00M,1.00M,,,,11.32B,64.05B,,AOR,Restated
2012-06,16.04B,18.53B,34.56B,23.97B,23.97B,58.54B,,11.82B,,11.82B,70.85B,406.08B,,496.46B,825.19B,,,4.155B,310.00M,4.465B,4.465B,,101.00M,101.00M,101.00M,,,4.566B,22.07B,,22.07B,8.603B,8.603B,6.832B,40.30B,,418.00M,,77.81B,762.36B,,12.00M,26.90B,26.93B,172.00M,1.00M,,,,8.735B,62.41B,,AOR,Restated
2012-03,18.67B,11.80B,30.47B,23.76B,23.76B,54.23B,,11.90B,,11.90B,80.48B,388.32B,,490.36B,819.60B,,,3.461B,239.00M,3.70B,3.70B,,101.00M,101.00M,101.00M,,,3.801B,26.58B,,26.58B,6.375B,6.375B,10.48B,32.50B,,458.00M,,75.93B,760.48B,,12.00M,24.64B,26.92B,172.00M,1.00M,,,,7.266B,58.67B,,AOR,Restated
2011-12,10.46B,370.60B,381.06B,22.48B,22.48B,421.34B,,11.94B,,11.94B,83.98B,377.46B,,481.36B,796.23B,,,774.00M,193.00M,967.00M,967.00M,101.00M,585.00M,686.00M,686.00M,,,1.653B,26.85B,37.00M,26.88B,6.395B,6.395B,10.51B,33.72B,233.30B,370.00M,105.00M,310.91B,738.34B,,12.00M,24.81B,26.78B,172.00M,1.00M,,,,6.083B,57.52B,,AOR,Restated
2011-09,10.00B,15.91B,25.91B,23.14B,23.14B,49.05B,,12.01B,,12.01B,74.88B,391.66B,,488.64B,785.23B,,,2.782B,385.00M,3.167B,3.167B,,451.00M,451.00M,451.00M,7.214B,7.214B,10.83B,33.24B,,33.24B,,,10.68B,34.93B,,527.00M,,78.86B,724.36B,,12.00M,26.95B,26.74B,172.00M,1.00M,,,,6.813B,60.35B,,AOR,Restated
2011-06,9.628B,12.42B,22.05B,21.07B,21.07B,43.12B,,12.04B,,12.04B,75.48B,377.10B,,468.00B,771.48B,,,1.281B,133.00M,1.414B,1.414B,,102.00M,102.00M,102.00M,,,1.516B,36.76B,,36.76B,3.764B,3.764B,10.02B,30.08B,,524.00M,,80.62B,717.65B,,12.00M,23.40B,26.71B,172.00M,1.00M,,,,3.356B,53.31B,,AOR,Restated
2011-03,10.69B,8.822B,19.51B,20.32B,20.32B,39.83B,,11.95B,,11.95B,73.70B,365.44B,,455.78B,751.34B,,,793.00M,113.00M,906.00M,906.00M,,572.00M,572.00M,572.00M,2.238B,2.238B,3.716B,36.09B,,36.09B,,,9.313B,28.62B,,533.00M,,74.03B,700.99B,,12.00M,22.19B,26.67B,172.00M,1.00M,,,,1.115B,49.82B,,AOR,Restated
2010-12,13.05B,9.387B,22.43B,19.83B,19.83B,42.26B,,11.78B,,11.78B,74.29B,358.87B,0.00,445.10B,730.91B,,,,316.00M,316.00M,316.00M,,306.00M,306.00M,306.00M,1.881B,1.881B,2.503B,36.07B,,36.07B,,,10.32B,27.27B,,488.00M,,73.66B,681.79B,,11.00M,21.36B,26.42B,172.00M,1.00M,,,,1.00B,48.62B,,AOR,Restated
2010-06,10.70B,9.746B,20.45B,18.18B,18.18B,38.62B,,5.037B,,5.037B,68.43B,261.99B,243.00M,335.33B,573.91B,,,1.855B,,1.855B,1.855B,,879.00M,879.00M,879.00M,,,2.734B,29.14B,,29.14B,2.05B,2.05B,9.79B,29.77B,,349.00M,,70.75B,534.18B,,9.00M,21.82B,16.90B,172.00M,1.00M,,,,822.00M,39.38B,,AOR,Restated
2010-03,9.202B,8.019B,17.22B,17.55B,17.55B,34.78B,,5.049B,,5.049B,67.58B,253.69B,149.00M,326.32B,565.57B,,,745.00M,66.00M,811.00M,811.00M,,318.00M,318.00M,318.00M,,,1.129B,28.66B,,28.66B,,,10.03B,25.98B,,368.00M,,64.68B,529.39B,,9.00M,20.29B,16.87B,172.00M,1.00M,,,,-1.191B,35.81B,,AOR,Restated
2009-12,10.11B,8.374B,18.49B,16.75B,17.07B,35.55B,,5.047B,,5.047B,60.97B,241.48B,1.228B,307.43B,539.31B,,,,0.00,0.00,0.00,,912.00M,912.00M,912.00M,0.00,0.00,912.00M,21.71B,,21.71B,,,10.21B,24.20B,,377.00M,,56.12B,505.82B,,9.00M,19.50B,16.86B,190.00M,1.00M,,,,-3.058B,33.12B,,AOR,Restated
2009-09,15.56B,6.861B,22.42B,16.90B,16.90B,39.33B,,5.033B,,5.033B,60.68B,235.84B,535.00M,302.08B,535.19B,,,911.00M,0.00,911.00M,911.00M,,2.131B,2.131B,2.131B,,,3.042B,21.69B,,21.69B,,,,24.36B,,325.00M,,46.05B,500.60B,,9.00M,19.82B,16.86B,194.00M,1.00M,,,,-2.234B,34.27B,,AOR,Restated
2009-06,13.21B,8.117B,21.33B,16.73B,16.73B,38.06B,,5.036B,,5.036B,62.41B,224.20B,4.109B,292.24B,509.46B,,,881.00M,0.00,881.00M,881.00M,,4.757B,4.757B,4.757B,,,5.638B,20.93B,,20.93B,,,,24.61B,,319.00M,,45.54B,481.84B,,9.00M,20.47B,16.85B,203.00M,1.00M,,,,-9.834B,27.29B,,AOR,Restated
2009-03,19.42B,10.90B,30.32B,18.51B,18.51B,48.83B,,,5.01B,5.01B,62.90B,206.05B,6.349B,273.60B,491.41B,,,846.00M,635.00M,1.481B,1.481B,,5.878B,5.878B,5.878B,,,7.359B,18.98B,,18.98B,,,,24.34B,,319.00M,,43.32B,467.98B,,9.00M,21.83B,16.86B,230.00M,1.00M,,,,-15.36B,23.11B,,AOR,Restated
2008-12,24.21B,13.88B,38.08B,16.97B,16.97B,55.06B,,5.008B,,5.008B,61.17B,206.27B,4.927B,273.07B,501.68B,,,1.023B,342.00M,1.365B,1.365B,,2.659B,2.659B,2.659B,,,4.024B,13.42B,,13.42B,,,6.884B,31.06B,,251.00M,,51.37B,477.69B,,9.00M,22.40B,15.81B,236.00M,1.00M,,,,-14.25B,23.73B,,AOR,Restated
2008-09,20.21B,2.57B,22.78B,17.86B,17.86B,40.64B,,,5.036B,5.036B,60.42B,219.48B,1.625B,286.97B,521.30B,,,1.077B,,1.077B,1.077B,,1.106B,1.106B,1.106B,,,2.183B,19.70B,,19.70B,,,,,,,,19.70B,493.47B,,9.00M,22.04B,17.60B,4.279B,1.00M,-7.352B,-236.00M,48.00M,-7.54B,27.83B,,AOR,Restated
2008-06,13.82B,1.98B,15.80B,15.40B,15.40B,31.20B,,,5.161B,5.161B,59.76B,249.47B,,315.93B,555.79B,,,1.037B,,1.037B,1.037B,,623.00M,623.00M,623.00M,,,1.66B,20.76B,,20.76B,1.017B,1.017B,,,,,159.00M,21.94B,523.25B,,9.00M,21.44B,17.65B,4.047B,1.00M,,,,-2.509B,32.54B,,AOR,Restated
2008-03,10.87B,2.612B,13.49B,15.00B,15.00B,28.48B,,5.094B,,5.094B,58.52B,252.23B,,353.22B,557.13B,,,,,1.112B,1.112B,,632.00M,632.00M,632.00M,,,1.744B,14.13B,,14.13B,1.462B,1.462B,,,286.21B,,,301.80B,524.13B,,9.00M,20.53B,17.60B,4.108B,1.00M,,,,-1.028B,33.00B,,AOR,Restated
2007-12,9.961B,2.544B,12.50B,13.37B,13.37B,25.88B,,4.814B,,4.814B,55.48B,241.57B,0.00,326.55B,559.15B,,,789.00M,0.00,789.00M,789.00M,,667.00M,667.00M,667.00M,,,1.456B,13.18B,,13.18B,1.502B,1.502B,,44.14B,,,,58.81B,523.97B,,9.00M,19.88B,17.10B,2.89B,1.00M,,,,1.078B,35.18B,,AOR,Restated
2007-09,8.627B,1.727B,10.35B,16.55B,16.55B,26.90B,,4.909B,,4.909B,55.17B,7.977B,,351.96B,563.08B,,1.675B,,333.00M,2.008B,2.008B,,1.88B,1.88B,1.88B,,,3.888B,16.42B,,16.42B,1.323B,1.323B,,,280.37B,,,298.11B,528.33B,,9.00M,19.34B,17.52B,2.183B,1.00M,,,,56.00M,34.75B,,AOR,Restated
2007-06,6.504B,2.763B,9.267B,15.30B,15.30B,24.56B,,4.904B,,4.904B,54.01B,8.809B,,350.15B,552.56B,,1.384B,,7.00M,1.391B,1.391B,,1.476B,1.476B,1.476B,,,2.867B,16.28B,,16.28B,1.05B,1.05B,,,275.63B,,,292.96B,519.01B,,9.00M,18.36B,17.50B,2.014B,1.00M,,,,-292.00M,33.56B,,AOR,Restated
2007-03,6.545B,2.483B,9.028B,15.58B,15.58B,24.61B,5.426B,4.897B,,4.897B,54.11B,7.617B,,344.70B,537.81B,,1.935B,,0.00,1.935B,1.935B,,3.375B,3.375B,3.375B,,,5.31B,14.12B,,14.12B,1.992B,1.992B,,,270.32B,,,286.44B,503.74B,,9.00M,17.23B,17.50B,2.073B,1.00M,,,,1.402B,34.07B,,AOR,Restated
2006-12,7.107B,2.709B,9.816B,14.49B,14.49B,24.31B,,4.897B,,4.897B,52.47B,7.803B,,481.93B,527.72B,,2.023B,,1.465B,3.488B,3.488B,,1.449B,1.449B,1.449B,,,4.937B,12.91B,,12.91B,2.278B,2.278B,,,268.58B,,,283.76B,493.92B,,9.00M,16.57B,17.45B,1.357B,1.00M,,,,1.118B,33.80B,,AOR,Restated
2006-09,5.924B,5.839B,11.76B,14.49B,14.49B,26.26B,,4.916B,,4.916B,10.12B,251.37B,,334.55B,516.19B,,2.081B,,0.00,2.081B,2.081B,,1.706B,1.706B,1.706B,,,3.787B,12.84B,,12.84B,2.319B,2.319B,,,266.61B,,,281.78B,484.58B,,9.00M,13.20B,17.40B,878.00M,1.00M,,,,1.887B,31.61B,,AOR,Restated
2006-06,4.126B,4.067B,8.193B,13.22B,13.22B,21.41B,,4.913B,,4.913B,10.06B,244.36B,,326.09B,500.30B,,1.137B,,0.00,1.137B,1.137B,,2.253B,2.253B,2.253B,,,3.39B,12.87B,,12.87B,485.00M,485.00M,,,263.04B,,,276.40B,472.62B,,9.00M,12.20B,17.37B,905.00M,1.00M,,,,-991.00M,27.68B,,AOR,Restated
2006-03,5.144B,3.368B,8.512B,12.73B,12.73B,21.24B,,4.797B,,4.797B,9.987B,246.55B,,325.32B,499.10B,,1.732B,,88.00M,1.82B,1.82B,,1.36B,1.36B,1.36B,,,3.18B,12.07B,,12.07B,1.199B,1.199B,,,261.23B,,,274.49B,470.54B,,9.00M,11.58B,17.33B,938.00M,1.00M,,,,590.00M,28.57B,,AOR,Restated
2005-12,,,,,,,,,4.797B,4.797B,47.17B,,,331.10B,481.64B,,,,,,,,1.414B,1.414B,1.414B,,,1.414B,12.02B,,12.02B,,,,,,,,12.02B,452.54B,,9.00M,10.86B,17.27B,959.00M,1.00M,,,,1.912B,29.10B,,AOR,Restated
2005-09,6.95B,4.481B,11.43B,14.39B,14.39B,25.82B,,4.564B,,4.564B,9.841B,239.25B,,314.92B,482.82B,,41.10B,,97.00M,41.20B,41.20B,,1.303B,1.303B,1.303B,,,42.50B,11.63B,,11.63B,1.456B,1.456B,,,257.54B,,,270.62B,454.06B,,9.00M,10.58B,17.27B,981.00M,1.00M,,,,1.874B,28.76B,,AOR,Restated
2005-06,13.61B,2.169B,15.78B,7.822B,7.822B,23.60B,,,,,8.975B,189.82B,,253.22B,381.43B,,32.57B,,634.00M,33.20B,33.20B,,1.979B,1.979B,1.979B,,,35.18B,11.44B,,11.44B,3.202B,3.202B,,,197.37B,,,212.01B,353.26B,,9.00M,9.84B,16.97B,1.733B,1.00M,,,,3.081B,28.17B,,AOR,Restated
