,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2018-03,206.60M,,,19.10M,19.10M,19.10M,-15.50M,,18.40M,,4.80M,27.40M,-3.30M,-26.40M,-115.50M,,,35.70M,-82.10M,151.30M,-46.20M,,,-3.00M,-1.80M,277.70M,-9.40M,220.30M,0.00,,0.00,,-2.10M,-2.10M,44.80M,-1.80M,40.90M,818.30M,412.50M,-3.80M,1.227B,,5.10M,-5.10M,-2.10M,
2017-12,-2.80M,,,,21.20M,21.20M,-26.30M,0.00,15.30M,,-1.40M,-7.10M,-14.20M,-9.90M,38.90M,,,350.20M,357.90M,363.90M,-59.30M,,,-7.40M,-108.00M,249.40M,-32.80M,49.30M,-0.20M,,-0.20M,,-251.30M,-251.30M,22.50M,,-229.00M,630.30M,184.20M,3.80M,818.30M,,5.40M,-5.60M,-251.30M,
2017-09,170.10M,,,,20.70M,20.70M,0.40M,0.00,15.80M,,-16.90M,54.10M,-37.60M,-1.30M,114.40M,,,-8.90M,120.70M,310.80M,-35.90M,,,6.40M,-0.40M,-158.40M,-14.80M,-209.50M,-0.70M,,-0.70M,,-0.80M,-0.80M,22.60M,-0.80M,20.30M,508.20M,121.60M,0.50M,630.30M,,3.90M,-4.60M,-0.80M,
2017-06,186.10M,,,,18.90M,18.90M,7.10M,31.00M,15.30M,,2.80M,6.70M,-47.90M,4.90M,34.70M,,,-61.90M,-63.50M,197.70M,-61.70M,,,-3.70M,-2.70M,-573.30M,-0.50M,-638.20M,153.20M,,153.20M,,-73.80M,-73.80M,45.60M,1.80M,126.80M,819.30M,-313.70M,2.60M,508.20M,,608.00M,-454.80M,-73.80M,
2017-03,230.20M,,,,21.10M,21.10M,36.60M,,15.20M,,6.10M,-81.50M,-24.30M,-3.60M,-94.20M,,,22.70M,-180.90M,128.30M,-18.60M,,,-2.70M,-81.80M,251.00M,0.60M,151.20M,24.00M,,24.00M,,-437.40M,-437.40M,23.10M,-1.00M,-391.30M,930.10M,-111.80M,1.00M,819.30M,,377.40M,-353.40M,-437.40M,
2016-12,158.50M,,,,19.10M,19.10M,-34.80M,0.00,13.90M,-7.70M,4.00M,-5.60M,-22.50M,1.90M,36.30M,,,38.00M,48.10M,201.10M,-63.20M,,,0.00,-0.60M,143.50M,0.50M,80.20M,223.20M,,223.20M,,-281.40M,-281.40M,20.60M,42.70M,5.10M,645.00M,286.40M,-1.30M,930.10M,,228.90M,-5.70M,-281.40M,
2016-09,141.40M,1.00M,1.00M,,18.20M,18.20M,-2.80M,0.00,14.40M,-19.40M,1.20M,9.90M,-28.40M,-0.50M,54.30M,,,16.60M,51.90M,205.90M,-48.30M,,,-0.20M,-3.10M,59.10M,-3.80M,3.90M,2.30M,,2.30M,,-0.20M,-0.20M,38.10M,23.60M,63.80M,369.90M,273.60M,1.50M,645.00M,,8.70M,-6.40M,-0.20M,
2016-06,126.60M,-0.70M,-0.70M,,18.00M,18.00M,0.00,0.00,14.30M,-26.10M,37.00M,-32.50M,-10.10M,-10.40M,34.70M,,,39.50M,21.20M,190.30M,-78.20M,,,-41.10M,0.00,-265.20M,0.30M,-343.10M,-3.60M,,-3.60M,,-36.60M,-36.60M,25.10M,46.80M,31.70M,501.40M,-121.10M,-10.40M,369.90M,,6.20M,-9.80M,-36.60M,
2016-03,143.00M,-0.30M,-0.30M,,15.90M,15.90M,0.20M,,14.30M,-11.10M,1.30M,-32.20M,-4.60M,-3.60M,-47.60M,,,31.80M,-56.20M,107.10M,-27.70M,,,0.00,-2.00M,72.80M,4.20M,47.30M,0.20M,,0.20M,,-344.10M,-344.10M,19.50M,-44.70M,-369.10M,718.40M,-214.70M,-2.30M,501.40M,,9.70M,-9.50M,-344.10M,
2015-12,140.70M,2.50M,2.50M,,14.50M,14.50M,-93.90M,,12.90M,-14.20M,1.10M,-10.00M,-11.60M,-9.10M,-6.50M,,,77.20M,40.00M,103.80M,-41.30M,,,-3.80M,-12.80M,77.30M,4.10M,27.30M,0.00,,0.00,,-100.00M,-100.00M,27.20M,13.10M,-59.70M,646.10M,71.40M,0.90M,718.40M,,10.70M,-10.70M,-100.00M,124.10M
2015-09,118.10M,-1.10M,-1.10M,,18.50M,18.50M,-3.30M,,12.60M,-7.40M,9.20M,11.20M,-23.80M,-0.70M,55.20M,,,14.00M,55.90M,202.50M,-26.00M,,,,-321.60M,168.60M,3.40M,-175.60M,3.30M,,3.30M,,-0.20M,-0.20M,17.50M,3.00M,23.60M,597.60M,50.50M,-2.00M,646.10M,,7.40M,-4.10M,-0.20M,-37.20M
2015-06,112.70M,-0.30M,-0.30M,,16.80M,16.80M,-1.90M,,10.80M,-9.90M,0.90M,-3.00M,-13.40M,1.10M,39.80M,,,16.50M,41.00M,170.10M,-18.40M,,,0.00,1.10M,35.20M,-5.40M,12.50M,-0.60M,,-0.60M,,-78.90M,-78.90M,19.00M,9.90M,-50.60M,457.00M,132.00M,8.60M,597.60M,,5.90M,-6.50M,-78.90M,
2015-03,123.40M,-1.10M,-1.10M,,16.00M,16.00M,4.10M,,13.60M,-9.80M,-0.20M,-36.50M,-18.90M,8.50M,-59.10M,,,33.30M,-72.70M,73.30M,-20.80M,,,,-0.40M,-159.40M,0.30M,-180.30M,-0.80M,,-0.80M,,-101.00M,-101.00M,23.50M,6.40M,-71.90M,653.80M,-178.90M,-17.90M,457.00M,,7.40M,-8.20M,-101.00M,
2014-12,109.20M,-2.80M,-2.80M,,18.30M,18.30M,-67.30M,,12.20M,-15.20M,19.80M,-16.10M,-11.50M,5.40M,21.10M,,,20.10M,19.00M,93.20M,-45.30M,,,,-25.10M,180.90M,1.50M,112.00M,-14.00M,,-14.00M,,-0.20M,-0.20M,42.00M,18.10M,45.90M,404.10M,251.10M,-1.40M,653.80M,,6.00M,-20.00M,-0.20M,475.00M
2014-09,94.60M,1.90M,1.90M,,18.00M,18.00M,-4.30M,,12.20M,-12.90M,4.30M,-10.50M,-7.50M,1.10M,54.40M,,,-139.10M,-101.60M,12.20M,-18.10M,,,,-0.30M,-136.70M,0.30M,-154.80M,0.10M,,0.10M,,-0.10M,-0.10M,38.40M,10.30M,48.70M,498.60M,-93.90M,-0.60M,404.10M,,6.20M,-6.10M,-0.10M,-200.30M
2014-06,547.00M,-1.80M,-1.80M,,16.10M,16.10M,-1.90M,,11.90M,-7.30M,0.20M,-22.90M,-11.00M,-6.00M,16.00M,,,237.70M,213.80M,778.00M,-16.00M,,,,2.00M,-457.10M,0.70M,-470.40M,-128.80M,,-128.80M,,-0.60M,-0.60M,18.70M,6.90M,-103.80M,295.70M,203.80M,-0.90M,498.60M,,5.80M,-134.60M,-0.60M,
2014-03,60.30M,2.70M,2.70M,,16.20M,16.20M,2.40M,,12.00M,-14.00M,0.20M,22.70M,-0.50M,-1.40M,21.40M,,,16.90M,59.10M,138.90M,-14.30M,,,,-0.70M,-105.40M,0.60M,-119.80M,130.00M,,130.00M,,-300.00M,-300.00M,14.20M,12.00M,-143.80M,420.40M,-124.70M,0.00,295.70M,,208.30M,-78.30M,-300.00M,
2013-12,75.10M,1.00M,1.00M,,17.10M,17.10M,-13.80M,,11.50M,-10.20M,4.60M,-0.70M,-3.10M,-25.40M,-33.10M,,,88.30M,26.00M,111.30M,-21.20M,,,,-1.20M,-226.50M,2.00M,-246.90M,64.30M,,64.30M,,-22.70M,-22.70M,8.60M,30.30M,80.50M,471.00M,-55.10M,4.50M,420.40M,,599.90M,-535.60M,-22.70M,21.90M
2013-09,76.80M,-0.60M,-0.60M,,17.00M,17.00M,0.70M,,11.90M,-4.40M,1.30M,17.90M,-9.60M,-6.10M,21.40M,,,5.90M,29.50M,132.20M,-22.60M,,,,0.10M,-80.40M,-3.60M,-106.50M,305.10M,,305.10M,,-227.60M,-227.60M,9.50M,-18.40M,68.60M,372.70M,94.30M,4.00M,471.00M,,372.90M,-67.80M,-227.60M,32.10M
2013-06,93.30M,0.10M,0.10M,,14.70M,14.70M,0.50M,,12.80M,2.70M,0.20M,-14.10M,-13.00M,-2.50M,34.00M,,,-0.60M,3.80M,128.10M,-29.50M,,,,-0.10M,-43.70M,0.30M,-73.00M,34.70M,,34.70M,,-138.90M,-138.90M,13.60M,1.30M,-89.30M,401.50M,-34.20M,5.40M,372.70M,,168.40M,-133.70M,-138.90M,
2013-03,143.90M,-0.50M,-0.50M,,14.10M,14.10M,0.20M,,11.20M,-61.60M,0.60M,5.40M,-18.70M,27.70M,-22.10M,,,0.90M,-6.80M,101.10M,-36.80M,,,,-1.50M,52.40M,-0.40M,13.70M,5.50M,,5.50M,,-107.70M,-107.70M,13.80M,63.50M,-24.90M,310.90M,89.90M,0.70M,401.50M,,163.80M,-158.30M,-107.70M,
2012-12,89.40M,,,,11.50M,11.50M,-27.50M,,10.80M,-17.50M,2.80M,-22.50M,2.20M,-14.10M,-9.50M,,,89.10M,45.20M,114.70M,-44.10M,,,0.00,-36.20M,107.30M,0.40M,27.40M,13.20M,,13.20M,,-177.80M,-177.80M,10.70M,7.00M,-146.90M,305.80M,-4.80M,9.90M,310.90M,,169.10M,-155.90M,-177.80M,
2012-09,69.20M,,,,14.40M,14.40M,-0.20M,,10.90M,4.00M,1.50M,18.20M,-12.50M,2.90M,22.30M,,,0.60M,31.50M,131.30M,-25.70M,,,0.00,-1.40M,-107.40M,2.60M,-131.90M,-9.80M,,-9.80M,,-23.10M,-23.10M,25.00M,7.40M,-0.50M,304.30M,-1.10M,2.60M,305.80M,,32.80M,-42.60M,-23.10M,
2012-06,67.80M,,,,14.00M,14.00M,-0.40M,,11.20M,-4.80M,6.80M,2.70M,-3.50M,10.30M,36.80M,,,5.90M,52.20M,146.80M,-28.20M,,,-7.00M,-0.40M,-15.00M,0.90M,-42.70M,5.00M,,5.00M,,-53.70M,-53.70M,39.50M,4.10M,-5.10M,213.30M,99.00M,-8.00M,304.30M,,53.50M,-48.50M,-53.70M,
2012-03,65.10M,,,,13.80M,13.80M,1.70M,,9.20M,-38.20M,-0.90M,-24.90M,-7.90M,2.50M,-52.30M,,,1.20M,-81.40M,-30.70M,-18.00M,,,,2.20M,84.20M,,68.40M,31.10M,,31.10M,,-89.50M,-89.50M,24.90M,30.40M,-3.10M,171.20M,34.60M,7.50M,213.30M,,151.60M,-120.50M,-89.50M,
2011-12,,,-3.00M,,14.80M,14.80M,-2.80M,,9.00M,-2.40M,-152.30M,-15.20M,-18.70M,11.30M,12.40M,,,3.60M,-6.60M,93.40M,-31.40M,,,-5.40M,6.80M,-76.80M,-6.90M,-108.30M,-401.10M,376.70M,-24.40M,-48.60M,-40.10M,-88.70M,,0.00,-53.60M,244.00M,-68.50M,-4.30M,171.20M,-48.60M,20.60M,-45.00M,-40.10M,
2011-09,,,0.00,,13.90M,13.90M,0.40M,,10.50M,7.60M,52.60M,9.80M,-23.50M,15.80M,29.10M,,,-0.80M,30.40M,115.40M,-19.50M,,,0.00,0.00,68.00M,6.80M,55.30M,505.50M,-505.90M,-0.40M,15.20M,-104.30M,-89.10M,,-7.70M,-97.20M,175.60M,73.50M,-5.10M,244.00M,15.20M,305.00M,-305.40M,-104.30M,
2011-06,,,4.00M,,14.80M,14.80M,0.30M,,7.80M,4.00M,60.40M,-13.40M,-8.90M,-0.90M,22.90M,,,-6.50M,-6.80M,84.50M,-19.20M,,,-2.00M,0.00,-180.90M,4.70M,-195.40M,,23.90M,23.90M,20.20M,-83.20M,-63.00M,,-4.80M,-43.90M,325.20M,-154.80M,5.20M,175.60M,20.20M,90.00M,-66.10M,-83.20M,
2011-03,,,,,14.50M,14.50M,1.50M,,7.70M,-15.20M,59.40M,-34.90M,-5.90M,-5.60M,-9.00M,,,2.40M,-53.00M,14.90M,-14.20M,,,-0.30M,-42.60M,-100.60M,-0.70M,-158.10M,,105.30M,105.30M,13.20M,-75.80M,-62.60M,,16.80M,59.50M,396.10M,-83.70M,12.80M,325.20M,13.20M,110.50M,-5.20M,-75.80M,
2010-12,218.00M,,-14.90M,,15.40M,15.40M,-4.40M,,6.90M,-13.10M,-130.20M,-2.40M,6.70M,9.20M,-1.60M,,,4.40M,16.30M,94.00M,-21.70M,,,0.00,-4.70M,1.80M,1.50M,-23.10M,,207.60M,-57.60M,-73.80M,0.00,-73.80M,,12.70M,-26.60M,361.00M,44.30M,-9.20M,396.10M,-73.80M,254.40M,-95.20M,0.00,
2010-09,,,3.90M,,13.40M,13.40M,-2.60M,,8.60M,-10.50M,45.90M,9.30M,-15.90M,-1.10M,38.50M,,,6.90M,37.70M,96.40M,-16.40M,,,0.00,0.00,-0.30M,1.50M,-15.20M,,-296.40M,-79.60M,20.40M,-0.70M,19.70M,,3.30M,-56.60M,320.30M,24.60M,16.10M,361.00M,20.40M,-188.20M,-108.20M,-0.70M,
2010-06,-47.70M,,8.30M,,13.70M,13.70M,-6.90M,,6.30M,-12.30M,105.10M,-25.50M,-14.40M,-12.30M,41.50M,,,-7.80M,-18.50M,48.00M,-15.70M,,,0.00,0.00,-1.30M,0.30M,-16.70M,,48.70M,48.70M,20.10M,-101.30M,-81.20M,,18.20M,-14.30M,321.20M,17.00M,-17.90M,320.30M,20.10M,83.70M,-35.00M,-101.30M,
2010-03,47.70M,,,,14.00M,14.00M,2.70M,,7.50M,-19.20M,-3.10M,-15.60M,-13.20M,1.70M,-14.80M,,,5.30M,-36.60M,13.00M,-9.20M,,,-1.20M,0.00,-0.60M,3.30M,-6.50M,,40.10M,40.10M,33.30M,-98.00M,-64.70M,,18.20M,-6.40M,334.10M,0.10M,-13.00M,321.20M,33.30M,104.50M,-64.40M,-98.00M,
2009-12,47.60M,-0.60M,3.10M,,14.20M,14.20M,-5.70M,,7.80M,-7.70M,-2.80M,0.50M,0.80M,11.60M,-3.70M,,,0.20M,9.40M,65.90M,-23.70M,,,0.00,4.00M,-1.70M,5.50M,-15.90M,-11.70M,,-11.70M,22.80M,-15.90M,6.90M,,8.70M,3.90M,287.60M,53.90M,-7.40M,334.10M,22.80M,0.00,-11.70M,-15.90M,
2009-09,73.50M,-1.70M,-80.90M,,15.40M,15.40M,-4.90M,,7.90M,-12.90M,36.10M,10.00M,-5.90M,7.50M,19.80M,,,5.90M,37.30M,71.50M,-12.10M,,,0.00,-0.50M,4.00M,61.90M,53.30M,-14.50M,,-14.50M,10.70M,-25.10M,-14.40M,,2.60M,-26.30M,183.10M,98.50M,6.00M,287.60M,10.70M,30.00M,-44.50M,-25.10M,
2009-06,47.50M,-1.50M,25.90M,,14.90M,14.90M,-1.10M,,5.70M,,-35.40M,-10.20M,-8.60M,-10.40M,29.50M,,,6.10M,6.40M,63.90M,-17.10M,,,0.00,-3.50M,2.50M,3.50M,-14.60M,-10.70M,,-10.70M,16.50M,-27.70M,-11.20M,,6.40M,-15.50M,146.70M,33.80M,2.60M,183.10M,16.50M,69.30M,-80.00M,-27.70M,
2009-03,60.50M,0.50M,-26.90M,,14.20M,14.20M,1.70M,,6.90M,,2.40M,-51.90M,0.60M,-1.10M,-42.90M,,,0.50M,-94.80M,-36.00M,-11.10M,,,0.00,,1.40M,27.00M,17.30M,-47.70M,,-47.70M,16.70M,-26.80M,-10.10M,,3.90M,-53.90M,218.70M,-72.60M,0.60M,146.70M,16.70M,30.00M,-77.70M,-26.80M,
2008-12,38.10M,4.90M,22.20M,,14.30M,14.30M,-21.40M,,28.70M,,-21.30M,0.30M,-6.40M,2.60M,33.30M,,,-9.90M,19.90M,80.50M,-44.70M,-74.00M,-40.70M,-27.40M,0.00,4.80M,97.10M,-16.80M,94.20M,,-40.00M,13.10M,-21.00M,-7.90M,,2.30M,-45.60M,202.40M,18.10M,-1.80M,218.70M,13.10M,206.30M,-112.10M,-21.00M,
2008-09,32.90M,-2.00M,0.70M,,13.80M,13.80M,-3.10M,,-12.80M,,22.00M,-49.20M,-11.50M,13.20M,18.80M,,,-11.00M,-39.70M,13.80M,-12.20M,74.00M,40.70M,0.40M,1.90M,11.90M,-77.80M,-2.20M,-74.50M,,59.70M,15.40M,-70.70M,-55.30M,,2.80M,7.20M,188.20M,18.80M,-4.60M,202.40M,15.40M,-97.00M,22.50M,-70.70M,
2008-06,39.70M,0.10M,-0.70M,,14.00M,14.00M,3.50M,,6.20M,,0.20M,-16.30M,0.30M,-16.20M,-5.90M,,,4.20M,-33.90M,29.00M,-12.00M,,,-0.40M,-0.50M,6.40M,1.00M,-5.10M,81.50M,,81.50M,29.10M,-114.80M,-85.70M,,7.10M,2.90M,162.90M,26.80M,-1.50M,188.20M,29.10M,83.80M,-2.30M,-114.80M,
2008-03,18.20M,1.90M,11.10M,,13.50M,13.50M,-2.50M,,6.60M,,-1.20M,-3.30M,-0.20M,-2.90M,-13.30M,,,3.90M,-15.80M,29.90M,-9.10M,,,,-1.40M,16.60M,76.80M,82.90M,-7.00M,,-7.00M,6.20M,-100.00M,-93.80M,,2.20M,-98.60M,141.80M,14.20M,6.90M,162.90M,6.20M,13.20M,-20.20M,-100.00M,
2007-12,15.80M,,0.10M,,13.70M,13.70M,-6.60M,,,,24.20M,4.50M,3.20M,2.60M,21.50M,,,-2.10M,29.70M,76.90M,-18.40M,1.80M,-16.60M,,-27.40M,-48.70M,0.00,-92.70M,,,-0.70M,6.10M,-23.70M,-17.60M,,0.00,-18.30M,175.70M,-34.10M,0.20M,141.80M,6.10M,,,-23.70M,
2007-09,29.10M,,1.30M,,14.00M,14.00M,-2.70M,,,,5.00M,4.80M,-10.80M,1.80M,15.40M,,,1.50M,12.70M,59.40M,-15.70M,3.00M,-12.70M,,0.00,-1.20M,-0.50M,-14.40M,,,-1.60M,11.70M,-47.40M,-35.70M,,1.20M,-36.10M,164.90M,8.90M,1.90M,175.70M,11.70M,,,-47.40M,
2007-06,34.90M,,1.30M,,13.70M,13.70M,0.60M,,,,6.50M,-6.90M,-2.30M,-4.80M,-6.60M,,,1.40M,-19.20M,37.80M,-14.80M,0.00,-14.80M,,-0.10M,-0.90M,,-15.80M,,,-13.80M,9.20M,-35.00M,-25.80M,,2.70M,-36.90M,180.20M,-14.90M,-0.40M,164.90M,9.20M,,,-35.00M,
2007-03,33.20M,,-1.40M,,13.40M,13.40M,3.10M,,,,6.90M,2.90M,0.90M,-7.10M,-16.30M,,,0.50M,-19.10M,36.10M,-13.60M,2.40M,-11.20M,,-9.50M,-0.90M,,-21.60M,,,-11.80M,11.70M,-24.80M,-13.10M,,8.10M,-16.80M,182.80M,-2.30M,-0.30M,180.20M,11.70M,,,-24.80M,
2006-12,20.70M,,3.90M,,14.60M,14.60M,10.80M,,,,24.80M,6.90M,2.10M,-1.20M,-17.20M,,5.90M,-1.30M,-4.80M,70.00M,-17.40M,7.50M,-9.90M,,,-0.30M,2.80M,-7.40M,,,-17.70M,7.30M,-18.70M,-11.40M,,-3.20M,-32.30M,151.30M,30.30M,1.20M,182.80M,7.30M,,,-18.70M,
2006-09,27.80M,,2.90M,,13.80M,13.80M,1.10M,,,,8.10M,6.40M,-9.70M,,1.70M,,7.20M,0.90M,6.50M,60.20M,-18.00M,14.70M,-3.30M,,,-1.50M,-10.90M,-15.70M,,,-26.70M,8.30M,-41.30M,-33.00M,,-1.10M,-60.80M,167.10M,-16.30M,0.50M,151.30M,8.30M,,,-41.30M,
2006-06,36.10M,,-1.40M,,14.20M,14.20M,-7.50M,,,,8.60M,-7.70M,-2.70M,2.00M,16.30M,,-13.10M,-5.20M,-10.40M,39.60M,-13.90M,-5.70M,-19.60M,,,,12.10M,-7.50M,,,-13.60M,10.20M,-56.50M,-46.30M,,4.40M,-55.50M,189.20M,-23.40M,1.30M,167.10M,10.20M,,,-56.50M,
2006-03,45.90M,,,,14.20M,14.20M,2.70M,,,,4.40M,-2.20M,-2.50M,-2.00M,-4.70M,,,5.20M,-6.20M,61.00M,-10.10M,5.70M,-4.40M,,,,-0.70M,-5.10M,,,-27.90M,7.70M,-29.40M,-21.70M,,4.60M,-45.00M,178.60M,10.90M,-0.30M,189.20M,7.70M,,,-29.40M,
2005-12,38.60M,,-7.70M,,14.40M,14.40M,-9.50M,,,,3.70M,9.30M,2.00M,0.30M,-8.40M,,5.10M,-3.50M,4.80M,44.30M,-24.40M,14.00M,-10.40M,,,,3.10M,-8.80M,,,68.20M,4.10M,-17.10M,-13.00M,,0.00,55.20M,88.00M,90.70M,-0.10M,178.60M,4.10M,,,-17.10M,
2005-09,-4.40M,,11.20M,,14.00M,14.00M,-6.60M,,,,1.50M,2.80M,-5.00M,,23.60M,,1.90M,,23.30M,39.00M,-10.80M,9.20M,-1.60M,,,,-10.00M,-11.60M,,,-14.90M,7.40M,-20.40M,-13.00M,,-6.40M,-34.30M,96.10M,-6.90M,-1.20M,88.00M,7.40M,,,-20.40M,
2005-06,13.90M,,7.20M,,14.20M,14.20M,-1.30M,,,,-1.50M,-11.40M,-7.90M,1.90M,16.10M,7.50M,-7.00M,0.90M,0.10M,32.60M,-9.80M,-8.20M,-18.00M,,,,8.40M,-9.60M,,,-5.00M,8.10M,-3.50M,4.60M,,6.40M,6.00M,72.60M,29.00M,-5.50M,96.10M,8.10M,,,-3.50M,
2005-03,31.20M,,4.30M,,13.60M,13.60M,3.60M,,,,,-13.30M,-2.00M,-1.90M,-6.20M,-7.50M,,-0.90M,-31.80M,20.90M,-6.00M,9.60M,3.60M,,,,-0.80M,2.80M,,,10.80M,6.60M,-12.50M,-5.90M,,-2.80M,2.10M,48.90M,25.80M,-2.10M,72.60M,6.60M,,,-12.50M,
