,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.227B,272.30M,1.499B,406.60M,40.20M,446.80M,108.00M,131.70M,334.20M,573.90M,78.00M,,118.90M,2.717B,,,,,,,,,711.60M,1.145B,480.50M,1.625B,532.10M,,181.40M,57.80M,3.108B,5.825B,121.20M,171.60M,292.80M,198.60M,491.40M,16.60M,598.60M,598.60M,,598.60M,,,67.70M,1.314B,456.00M,,456.00M,,,,518.10M,1.265B,2.579B,213.00M,2.179B,1.229B,254.20M,,,-121.30M,3.246B
2017-12,818.30M,519.20M,1.338B,438.70M,40.60M,479.30M,101.40M,121.10M,332.40M,554.90M,60.60M,,116.90M,2.549B,0.0,39.10M,436.80M,527.80M,,88.20M,1.092B,-412.20M,679.70M,1.126B,468.00M,1.594B,567.00M,,167.10M,108.90M,3.117B,5.666B,116.60M,139.70M,256.30M,224.80M,481.10M,15.00M,598.00M,598.00M,,598.00M,,,76.50M,1.42B,438.40M,,438.40M,,,,504.30M,1.290B,2.710B,212.00M,1.962B,1.167B,252.10M,,,-132.70M,2.956B
2017-09,630.30M,772.50M,1.403B,475.00M,,475.00M,83.20M,136.60M,318.60M,538.40M,52.80M,,97.40M,2.566B,,,,,,,,,649.60M,980.50M,414.90M,1.395B,567.50M,,197.10M,112.40M,2.922B,5.488B,113.40M,112.20M,225.60M,219.90M,445.50M,8.20M,,,,,,,67.30M,735.20M,1.034B,,1.034B,,,,556.70M,1.591B,2.326B,211.60M,1.965B,1.130B,0.80M,,,-142.70M,3.162B
2017-06,508.20M,623.60M,1.132B,510.70M,,510.70M,79.20M,122.40M,290.00M,491.60M,54.10M,,95.20M,2.283B,,,,,,,,,627.90M,965.10M,408.60M,1.374B,551.50M,,185.20M,116.80M,2.855B,5.138B,104.60M,101.20M,205.80M,170.40M,376.20M,8.30M,,,,,,,15.40M,562.50M,1.017B,,1.017B,,,,619.60M,1.636B,2.199B,244.70M,4.332B,1.267B,2.746B,,,-157.80M,2.940B
2017-03,819.30M,98.90M,918.20M,510.20M,,510.20M,65.60M,114.90M,250.90M,431.40M,53.00M,,105.60M,2.018B,,,,,,,,,588.80M,945.20M,402.10M,1.347B,519.00M,,179.10M,127.80M,2.762B,4.780B,93.00M,178.50M,271.50M,172.40M,443.90M,8.30M,,,,,,,3.60M,584.80M,847.90M,,847.90M,,,,605.00M,1.453B,2.038B,243.20M,4.146B,1.208B,2.672B,,,-181.50M,2.743B
2016-12,930.10M,341.00M,1.271B,365.50M,49.10M,414.60M,60.60M,102.40M,233.60M,396.60M,45.90M,,111.80M,2.24B,0.0,30.10M,367.20M,484.50M,,79.60M,961.40M,-381.40M,580.00M,626.10M,204.80M,830.90M,532.10M,,203.80M,123.20M,2.27B,4.51B,97.10M,41.20M,138.30M,160.20M,298.50M,14.60M,,,,,,,3.30M,532.50M,822.30M,,822.30M,,,,376.70M,1.358B,1.891B,242.60M,3.906B,1.168B,2.499B,,,-198.40M,2.619B
2016-09,645.00M,555.30M,1.200B,454.20M,,454.20M,60.60M,93.70M,246.70M,401.00M,49.80M,,66.10M,2.171B,,,,,,,,,543.70M,630.00M,207.00M,837.00M,467.50M,5.30M,189.30M,124.80M,2.168B,4.339B,87.00M,42.60M,129.60M,175.80M,305.40M,8.10M,,,,,,,19.40M,532.80M,600.60M,,600.60M,,,,513.80M,1.114B,1.647B,242.00M,3.748B,1.091B,2.218B,,,-171.20M,2.692B
2016-06,369.90M,690.30M,1.060B,425.80M,,425.80M,60.50M,86.50M,220.60M,367.60M,50.00M,,81.50M,1.985B,,,,,,,,,516.20M,629.40M,208.70M,838.10M,391.70M,5.30M,188.60M,126.40M,2.066B,4.051B,83.40M,44.00M,127.40M,137.30M,264.70M,18.50M,,,,,,,24.10M,478.20M,602.50M,,602.50M,,,,499.50M,1.102B,1.580B,241.00M,3.606B,1.020B,2.218B,,,-178.70M,2.471B
2016-03,501.40M,450.40M,951.80M,388.50M,,388.50M,61.30M,80.70M,214.60M,356.60M,48.80M,,73.60M,1.819B,,,,,,,,,497.30M,630.90M,203.70M,834.60M,369.20M,5.80M,196.50M,131.10M,2.034B,3.854B,78.60M,42.30M,120.90M,145.70M,266.60M,26.60M,,,,,,,33.30M,458.30M,602.20M,,602.20M,,,,494.00M,1.096B,1.554B,239.80M,3.480B,933.40M,2.181B,,,-172.60M,2.299B
2015-12,718.40M,506.30M,1.225B,315.40M,56.40M,371.80M,63.80M,64.10M,212.00M,339.90M,45.10M,,66.40M,2.048B,0.0,25.10M,293.40M,460.60M,,75.20M,854.30M,-371.80M,482.50M,628.30M,205.40M,833.70M,379.90M,,180.50M,131.80M,2.008B,4.056B,63.90M,49.00M,112.90M,144.10M,257.00M,5.60M,,,,,,,4.20M,476.20M,596.90M,,596.90M,,,,480.10M,1.077B,1.553B,239.10M,3.337B,946.80M,1.837B,,,-182.60M,2.503B
2015-09,646.10M,604.40M,1.250B,338.40M,,338.40M,70.20M,68.00M,195.30M,333.50M,47.50M,79.00M,96.60M,2.146B,,,,,,,,,454.80M,621.20M,207.30M,828.50M,366.00M,5.50M,21.40M,54.90M,1.731B,3.877B,71.50M,43.30M,114.80M,175.50M,290.30M,7.80M,,,,,10.10M,10.10M,49.50M,532.50M,604.90M,,604.90M,,,,317.80M,922.70M,1.455B,130.20M,3.196B,1.001B,1.737B,,,-169.20M,2.421B
2015-06,597.60M,811.40M,1.409B,351.00M,,351.00M,69.30M,78.50M,165.50M,313.30M,46.10M,65.20M,112.40M,2.297B,,,,,,,,,450.60M,370.90M,18.90M,389.80M,324.60M,6.60M,82.00M,57.70M,1.311B,3.608B,66.20M,41.00M,107.20M,130.50M,237.70M,7.70M,,,,,10.50M,10.50M,44.30M,445.20M,600.30M,,600.30M,,,,274.20M,874.50M,1.320B,129.90M,3.078B,964.10M,1.737B,,,-146.60M,2.289B
2015-03,457.00M,913.80M,1.371B,345.30M,,345.30M,67.40M,71.50M,159.60M,298.50M,44.80M,57.00M,138.40M,2.255B,,,,,,,,,445.10M,368.40M,20.50M,388.90M,255.60M,5.70M,84.90M,53.40M,1.234B,3.488B,68.60M,46.40M,115.00M,126.90M,241.90M,8.00M,,,,,10.50M,10.50M,43.80M,405.30M,602.70M,,602.70M,,,,266.50M,869.20M,1.274B,129.40M,2.965B,925.00M,1.658B,,,-147.90M,2.214B
2014-12,653.80M,785.00M,1.439B,288.00M,37.00M,325.00M,67.40M,59.30M,170.10M,296.80M,48.80M,,121.70M,2.231B,0.0,25.40M,270.60M,461.40M,,50.90M,808.30M,-365.40M,442.90M,376.00M,23.40M,399.40M,240.90M,5.80M,153.70M,49.20M,1.292B,3.523B,58.20M,41.80M,100.00M,116.80M,216.80M,16.20M,,,,,,,2.60M,426.10M,598.10M,,598.10M,,,,307.40M,905.50M,1.332B,128.90M,2.842B,878.40M,1.557B,,,-100.90M,2.191B
2014-09,404.10M,1.111B,1.515B,322.90M,,322.90M,62.40M,77.70M,163.50M,303.60M,48.50M,29.50M,89.60M,2.309B,,,,,,,,,429.30M,379.00M,25.80M,404.80M,92.00M,8.10M,68.70M,37.90M,1.041B,3.35B,59.90M,41.50M,101.40M,139.50M,240.90M,7.60M,,,13.60M,13.60M,7.10M,7.10M,2.20M,427.80M,596.40M,,596.40M,,,,282.40M,878.80M,1.307B,128.00M,2.733B,810.00M,1.557B,,,-70.60M,2.043B
2014-06,498.60M,985.50M,1.484B,327.50M,,327.50M,60.40M,79.10M,177.60M,317.10M,46.30M,42.80M,60.30M,2.278B,,,,,,,,,422.50M,384.30M,29.50M,413.80M,99.00M,7.60M,69.90M,35.70M,1.048B,3.327B,,,,,540.50M,,,,,,,,,540.50M,598.00M,,598.00M,,,,273.20M,871.20M,1.412B,127.10M,2.638B,747.40M,1.557B,,,-41.10M,1.915B
2014-03,295.70M,535.90M,831.60M,305.10M,,305.10M,56.10M,79.20M,172.70M,308.00M,46.00M,35.40M,77.20M,1.603B,,,,,,,,,418.70M,385.40M,31.60M,417.00M,95.20M,5.90M,76.40M,35.20M,1.048B,2.652B,,,,,356.20M,,,,,,,,,356.20M,725.40M,,725.40M,,,,229.30M,954.70M,1.311B,126.40M,2.091B,711.70M,1.556B,,,-32.40M,1.341B
2013-12,420.40M,516.50M,936.90M,302.50M,25.50M,328.00M,57.80M,82.20M,168.90M,308.90M,46.80M,33.40M,71.80M,1.726B,0.0,21.60M,268.20M,447.00M,,27.90M,764.70M,-343.10M,421.60M,385.40M,33.50M,418.90M,21.90M,7.30M,79.00M,35.40M,984.10M,2.710B,48.40M,38.70M,87.10M,123.10M,210.20M,14.00M,,,,,7.20M,7.20M,13.10M,345.60M,593.10M,,593.10M,,,,226.80M,819.90M,1.166B,126.00M,2.031B,671.20M,1.256B,,,-27.60M,1.544B
2013-09,471.00M,286.60M,757.60M,327.80M,,327.80M,61.10M,70.30M,182.50M,313.90M,46.60M,41.30M,83.20M,1.570B,,,,,,,,,409.00M,383.80M,63.10M,446.90M,20.70M,11.10M,41.50M,31.00M,960.20M,2.531B,,,,,335.10M,,,,,,,,,335.10M,532.10M,,532.10M,,,,226.00M,758.10M,1.093B,125.70M,1.970B,618.00M,1.233B,,,-42.90M,1.437B
2013-06,372.70M,202.30M,575.00M,341.80M,,341.80M,57.80M,62.30M,179.40M,299.50M,42.70M,33.90M,97.70M,1.391B,,,,,,,,,399.20M,381.50M,64.60M,446.10M,21.90M,13.00M,43.50M,25.40M,949.10M,2.340B,,,,,314.20M,,,,,,,,,314.20M,227.30M,,227.30M,,,,218.40M,445.70M,759.90M,125.40M,1.893B,615.10M,1.006B,,,-48.00M,1.580B
2013-03,401.50M,156.40M,557.90M,329.70M,,329.70M,52.60M,59.30M,176.60M,288.50M,43.20M,34.90M,106.50M,1.361B,,,,,,,,,385.40M,380.20M,65.50M,445.70M,22.50M,10.80M,45.90M,25.60M,935.90M,2.297B,,,,,300.40M,,,,,,,,,300.40M,192.70M,,192.70M,,,,211.50M,404.20M,704.60M,124.70M,1.799B,587.20M,866.70M,,,-52.00M,1.592B
2012-12,310.90M,210.50M,521.40M,321.10M,26.40M,347.50M,49.50M,58.80M,172.70M,281.00M,41.60M,43.40M,57.00M,1.292B,0.0,21.50M,183.70M,421.20M,,68.10M,694.50M,-321.20M,373.30M,384.70M,67.00M,451.70M,21.10M,9.90M,47.30M,26.30M,929.60M,2.222B,74.70M,40.50M,115.20M,109.00M,224.20M,11.80M,,,,,8.70M,8.70M,,347.40M,189.30M,,189.30M,,,,205.50M,394.80M,742.20M,124.20M,1.654B,489.00M,749.90M,,,-37.90M,1.479B
2012-09,305.80M,316.70M,622.50M,325.40M,,325.40M,50.60M,62.30M,173.10M,286.00M,42.10M,42.40M,69.30M,1.388B,,,,,,,,,328.70M,349.80M,59.60M,409.40M,23.40M,9.70M,10.90M,26.00M,808.10M,2.196B,,,,,298.60M,,,,,,,,,298.60M,175.40M,,175.40M,,,,185.50M,360.90M,659.50M,123.90M,1.563B,458.80M,572.10M,,,-37.10M,1.536B
2012-06,304.30M,201.70M,506.00M,336.40M,,336.40M,51.20M,68.40M,145.80M,265.40M,39.50M,36.00M,95.50M,1.279B,,,,,,,,,315.80M,349.80M,61.70M,411.50M,22.10M,10.90M,10.20M,25.80M,796.30M,2.075B,,,,,284.30M,,,,,,,,,284.30M,185.10M,,185.10M,,,,171.10M,356.20M,640.50M,123.00M,1.494B,418.00M,549.00M,,,-51.00M,1.435B
2012-03,213.30M,196.20M,409.50M,346.70M,,346.70M,52.90M,71.10M,144.30M,268.30M,41.70M,31.60M,90.20M,1.188B,,,,,,,,,308.20M,349.80M,65.10M,414.90M,21.90M,21.40M,24.00M,25.80M,816.20M,2.004B,,,,,265.20M,,,,,,,,,265.20M,179.40M,,179.40M,,,,169.30M,348.70M,613.90M,121.10M,1.426B,363.30M,495.30M,,,-24.60M,1.390B
2011-12,171.20M,279.30M,450.50M,283.80M,36.90M,320.70M,51.70M,66.60M,143.00M,261.30M,35.00M,43.90M,57.10M,1.168B,0.0,21.60M,172.80M,380.70M,,29.00M,604.10M,-299.80M,304.30M,349.80M,66.90M,416.70M,21.80M,24.60M,20.00M,24.60M,812.00M,1.980B,85.00M,37.50M,122.50M,90.90M,213.40M,6.60M,,,,,8.60M,8.60M,,335.20M,150.40M,,150.40M,,,,157.00M,307.40M,642.60M,120.00M,1.361B,300.50M,405.80M,,,-37.50M,1.338B
2011-09,451.10M,,451.10M,346.80M,,346.80M,47.60M,70.30M,130.00M,247.90M,43.00M,25.30M,67.80M,1.182B,,,,,,,,,286.40M,349.80M,70.20M,420.00M,21.40M,,48.60M,24.60M,801.00M,1.983B,,,,,302.00M,,,,,,,,,302.00M,175.00M,,175.00M,,,,151.30M,326.30M,628.30M,119.50M,1.298B,326.50M,365.80M,,,-23.20M,1.355B
2011-06,468.20M,,468.20M,364.10M,,364.10M,44.80M,59.90M,124.70M,229.40M,44.00M,57.80M,53.30M,1.217B,,,,,,,,,281.00M,349.90M,72.90M,422.80M,24.80M,,45.10M,11.90M,785.60M,2.002B,,,,,313.30M,,,,,,,,,313.30M,174.80M,,174.80M,,,,129.10M,303.90M,617.20M,118.80M,1.246B,291.40M,261.50M,,,-9.50M,1.385B
2011-03,433.80M,,433.80M,354.20M,,354.20M,40.80M,50.90M,126.00M,217.70M,42.70M,56.00M,45.90M,1.150B,,,,,,,,,274.30M,349.90M,76.30M,426.20M,27.30M,,41.00M,12.00M,780.80M,1.931B,,,,,295.70M,,,149.50M,,149.50M,,,,445.20M,,,,,,,,128.10M,573.30M,117.70M,1.188B,246.00M,178.30M,,,-15.50M,1.358B
2010-12,396.10M,,396.10M,277.30M,25.20M,302.50M,38.20M,39.00M,126.40M,203.60M,35.40M,51.90M,43.10M,1.033B,0.0,21.60M,147.40M,345.20M,,28.20M,542.40M,-272.60M,269.80M,315.20M,67.10M,382.30M,25.00M,,44.50M,13.00M,734.60M,1.767B,47.60M,22.30M,69.90M,226.10M,296.00M,,,41.80M,,41.80M,,,,337.80M,,,,,,,121.20M,121.20M,459.00M,117.00M,1.124B,211.30M,102.00M,,,-42.10M,1.308B
2010-09,361.00M,,361.00M,303.40M,,303.40M,40.00M,39.90M,132.30M,212.20M,45.00M,44.20M,26.60M,992.40M,,,,,,,,,260.30M,315.20M,71.70M,386.90M,22.30M,,51.40M,12.10M,733.00M,1.725B,,,,,281.60M,,,100.60M,,100.60M,,,,382.20M,,,,,,,109.70M,109.70M,491.90M,116.10M,1.059B,184.40M,102.00M,,,-24.20M,1.234B
2010-06,320.30M,,320.30M,294.00M,,294.00M,36.60M,40.00M,105.70M,182.30M,49.00M,37.80M,35.50M,918.90M,,,,,,,,,249.80M,315.20M,74.30M,389.50M,21.90M,,50.00M,11.80M,723.00M,1.642B,,,,,247.70M,,,,,,,,,247.70M,177.50M,,177.50M,,,,98.90M,276.40M,524.10M,115.10M,1.011B,145.80M,101.30M,,,-53.00M,1.118B
2010-03,321.20M,,321.20M,278.60M,,278.60M,34.80M,37.60M,102.20M,174.60M,33.30M,42.70M,22.30M,872.70M,,,,,,,,,247.20M,315.20M,83.60M,398.80M,21.90M,,52.00M,11.80M,731.70M,1.604B,,,,,242.20M,,,,,,,,,242.20M,129.30M,,129.30M,,,,81.40M,210.70M,452.90M,77.20M,953.70M,1.116B,970.30M,,,-24.90M,1.152B
2009-12,334.10M,,334.10M,249.40M,22.70M,272.10M,32.80M,30.40M,102.70M,165.90M,33.70M,48.30M,35.10M,889.20M,0.0,21.80M,137.20M,330.70M,,15.70M,505.40M,-253.40M,252.00M,315.20M,86.70M,401.90M,22.30M,,37.10M,13.00M,726.30M,1.616B,51.10M,35.90M,87.00M,203.50M,290.50M,,,,,,,,,290.50M,90.30M,,90.30M,,,,76.80M,167.10M,457.60M,76.10M,906.00M,1.056B,872.30M,,,-7.90M,1.158B
2009-09,287.60M,1.90M,289.50M,280.50M,,280.50M,33.60M,32.40M,102.70M,168.70M,40.70M,44.70M,53.10M,877.20M,,,,,,,,,240.70M,315.20M,91.00M,406.20M,24.80M,,39.60M,13.60M,724.90M,1.602B,,,,,296.30M,,,,,,,,,296.30M,102.30M,,102.30M,,,,113.10M,215.40M,511.70M,75.40M,858.40M,1.020B,856.40M,,,-6.50M,1.090B
2009-06,183.10M,5.20M,188.30M,274.50M,,274.50M,35.30M,28.40M,97.20M,160.90M,44.80M,38.30M,38.80M,745.60M,,,,,,,,,239.10M,315.70M,91.30M,407.00M,20.30M,,36.40M,16.70M,719.50M,1.465B,,,,,245.10M,,,,,,,,,245.10M,113.90M,,113.90M,,,,103.00M,216.90M,462.00M,75.10M,784.90M,998.10M,831.30M,,,-23.70M,1.003B
2009-03,146.70M,3.70M,150.40M,255.80M,,255.80M,35.10M,24.00M,87.00M,146.10M,35.20M,35.60M,25.90M,649.00M,,,,,,,,,229.80M,315.70M,92.60M,408.30M,16.60M,,36.90M,18.30M,709.90M,1.359B,,,,,200.20M,,,,,,,,,200.20M,123.00M,,123.00M,,,,92.40M,215.40M,415.60M,74.30M,737.40M,969.00M,803.60M,,,-33.80M,943.30M
2008-12,218.70M,8.10M,226.80M,186.30M,18.40M,204.70M,36.50M,19.50M,95.80M,151.80M,30.70M,42.40M,35.50M,691.90M,0.0,21.70M,109.00M,313.50M,,27.20M,471.40M,-241.30M,230.10M,315.70M,96.90M,412.60M,14.70M,,37.70M,13.20M,708.30M,1.400B,65.60M,6.20M,71.80M,186.70M,258.50M,,,,,,,,,258.50M,175.50M,,175.50M,,,,87.40M,262.90M,521.40M,73.70M,676.90M,940.40M,776.80M,,,-35.40M,878.80M
2008-09,202.40M,12.10M,214.50M,213.60M,,213.60M,35.90M,25.10M,82.80M,143.80M,37.80M,28.00M,38.60M,676.30M,,,,,,,466.30M,-242.30M,224.00M,315.70M,107.90M,423.60M,,,19.70M,37.60M,704.90M,1.381B,229.90M,,229.90M,,229.90M,,,,,,,,,229.90M,202.80M,,202.80M,,,,74.00M,276.80M,506.70M,73.30M,639.40M,912.60M,755.80M,,,5.00M,874.50M
2008-06,188.20M,19.90M,208.10M,173.30M,,173.30M,33.20M,26.80M,76.80M,136.80M,41.70M,30.60M,44.60M,635.10M,,,,,,,466.90M,-242.30M,224.60M,315.70M,109.60M,425.30M,,,17.20M,46.10M,713.20M,1.348B,226.60M,,226.60M,,226.60M,,,,,,,,,226.60M,141.70M,,141.70M,,,,82.70M,224.40M,451.00M,72.70M,606.50M,884.00M,685.10M,,,19.20M,897.30M
2008-03,162.90M,26.70M,189.60M,155.30M,,155.30M,33.80M,26.10M,79.60M,139.50M,30.80M,34.80M,41.60M,591.60M,,,,,,,465.90M,-242.30M,223.60M,315.70M,111.90M,427.60M,,,19.70M,47.80M,718.70M,1.310B,241.60M,,241.60M,,241.60M,,,150.00M,,150.00M,,,,391.60M,62.90M,,62.90M,,,,78.20M,141.10M,532.70M,68.90M,566.80M,695.00M,570.30M,,,17.20M,777.60M
2007-12,141.80M,49.40M,191.20M,115.80M,29.50M,145.30M,30.50M,21.80M,100.30M,152.60M,25.40M,30.20M,37.00M,581.70M,0.0,22.10M,93.80M,255.60M,67.00M,32.00M,470.50M,-242.30M,228.20M,350.30M,122.50M,472.80M,,,13.80M,48.60M,763.40M,1.345B,63.90M,,63.90M,161.50M,225.40M,,,150.00M,,150.00M,,,,375.40M,61.70M,,61.70M,,,,73.00M,134.70M,510.10M,68.60M,548.60M,680.60M,470.30M,7.00M,0.50M,7.50M,835.00M
2007-09,175.70M,,175.70M,136.70M,,136.70M,30.60M,21.40M,106.30M,158.30M,68.20M,25.90M,,564.80M,,,,,,,470.10M,-242.10M,228.00M,337.70M,107.00M,444.70M,,,7.70M,54.50M,734.90M,1.300B,198.80M,,198.80M,,198.80M,,,150.00M,,150.00M,,,,348.80M,61.20M,,61.20M,,,,65.90M,127.10M,475.90M,68.40M,532.80M,666.30M,446.60M,,,2.90M,823.80M
