,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2010-09,3.093B,3.093B,1.481B,1.612B,872.94M,196.44M,,,31.25M,1.777M,-29.47M,-10.55M,1.059B,553.11M,1.777M,31.25M,-29.47M,291.04M,-29.47M,814.68M,180.88M,633.80M,12.63M,,,,646.44M,633.80M,941.80M,95.88M,845.93M,,0.97,0.02,,0.97,0.99,,0.93,0.02,,0.93,0.95,,654.60M,683.43M,0.02,,AOR,
2010-06,3.217B,3.217B,1.612B,1.606B,896.59M,191.20M,,,28.94M,1.039M,-27.90M,,1.088B,517.77M,1.039M,28.94M,-27.90M,,-27.90M,489.86M,127.74M,362.12M,10.35M,,,,372.48M,362.12M,616.54M,97.73M,518.80M,,0.55,0.02,,0.55,0.57,,0.53,0.02,,0.53,0.55,,652.48M,682.34M,0.02,,AOR,Restated
2010-03,3.008B,3.008B,1.539B,1.469B,866.33M,180.84M,,,30.04M,1.553M,-28.49M,,1.047B,421.54M,1.553M,30.04M,-28.49M,,-28.49M,393.05M,100.31M,292.75M,7.486M,,,,300.23M,292.75M,516.09M,92.99M,423.10M,,0.45,0.01,,0.45,0.46,,0.43,0.01,,0.43,0.45,,648.97M,680.12M,0.02,,AOR,Restated
2009-12,3.133B,3.133B,1.695B,1.438B,890.46M,154.22M,,0.00,35.43M,1.649M,-33.78M,0.00,1.045B,393.71M,1.649M,35.43M,-33.78M,,-33.78M,359.94M,93.00M,266.94M,,,,,266.94M,266.94M,484.55M,89.19M,395.36M,,0.41,0.00,,0.41,0.41,,0.40,0.00,,0.40,0.40,,655.01M,677.36M,0.02,,AOR,Restated
2009-09,2.751B,2.751B,1.430B,1.321B,782.44M,159.04M,,0.00,31.84M,1.594M,-30.25M,-85.12M,856.36M,464.60M,1.594M,31.84M,-30.25M,,-30.25M,434.35M,82.99M,351.36M,,,,,351.36M,351.36M,551.84M,85.65M,466.19M,,0.55,0.00,,0.55,0.55,,0.53,0.00,,0.53,0.53,,642.19M,672.54M,0.015,,AOR,Restated
2009-06,2.674B,2.674B,1.411B,1.262B,759.82M,158.50M,,,31.33M,1.126M,-30.20M,,918.32M,343.95M,1.126M,31.33M,-30.20M,,-30.20M,313.74M,18.05M,295.69M,,,,,295.69M,295.69M,431.02M,85.95M,345.07M,,0.46,0.00,,0.46,0.46,,0.44,0.00,,0.44,0.44,,639.83M,669.08M,0.015,,AOR,Restated
2009-03,2.628B,2.628B,1.369B,1.259B,757.50M,160.90M,,,24.06M,0.665M,-23.39M,,918.39M,340.22M,0.665M,24.06M,-23.39M,,-23.39M,316.83M,79.12M,237.71M,,,,,237.71M,237.71M,421.68M,80.80M,340.88M,,0.37,0.00,,0.37,0.37,,0.36,0.00,,0.36,0.36,,638.67M,666.96M,0.015,,AOR,Restated
2008-12,3.177B,3.177B,1.725B,1.452B,860.49M,167.47M,,,25.43M,4.00M,-21.43M,,1.028B,423.65M,4.00M,25.43M,-21.43M,,-21.43M,402.22M,96.53M,305.69M,,,,,305.69M,305.69M,511.88M,84.23M,427.65M,,0.48,0.00,,0.48,0.48,,0.46,0.00,,0.46,0.46,,639.05M,667.19M,0.015,,AOR,
2008-09,3.208B,3.208B,1.698B,1.511B,806.42M,182.01M,,,30.22M,1.07M,-29.15M,,988.43M,522.14M,1.07M,30.22M,-29.15M,,-29.15M,492.99M,121.00M,371.99M,,,,,371.99M,371.99M,607.74M,84.53M,523.21M,,0.58,0.00,,0.58,0.58,,0.555,0.00,,0.555,0.555,,639.77M,674.67M,0.015,,,Restated
2008-06,3.284B,3.284B,1.724B,1.560B,859.97M,189.87M,,,,,,,1.050B,510.46M,,,,,,478.02M,114.57M,363.45M,,,,,363.45M,363.45M,593.90M,83.44M,510.46M,,0.57,0.00,,0.57,0.57,,0.545,0.00,,0.545,0.545,,638.47M,673.10M,0.015,,,
2008-03,3.029B,3.029B,1.611B,1.418B,818.39M,186.10M,,,,,,,1.004B,413.22M,,,,,,376.08M,99.57M,276.50M,,,,,276.50M,276.50M,500.32M,87.09M,413.22M,,0.435,0.00,,0.435,0.435,,0.415,0.00,,0.415,0.415,,637.61M,671.95M,0.015,,,
2007-12,3.141B,3.141B,1.691B,1.451B,769.18M,216.58M,,,,,,0.00,985.76M,464.77M,,,,,,434.71M,114.49M,320.22M,0.00,,,,320.22M,320.22M,548.94M,78.08M,470.86M,,0.51,0.00,,0.51,0.51,,0.485,0.00,,0.485,0.485,,630.87M,668.03M,0.015,,,Restated
2007-09,2.731B,2.731B,1.482B,1.249B,655.12M,131.16M,,,,,,,786.28M,462.93M,,,,,,438.08M,103.58M,334.50M,149.22M,,,,483.72M,334.50M,525.96M,63.03M,462.93M,,0.54,0.24,,0.54,0.78,,0.515,0.225,,0.515,0.74,,620.65M,656.27M,0.015,,,
2007-06,2.671B,2.671B,1.456B,1.215B,781.56M,,,14.34M,,,,-14.34M,767.23M,447.81M,,,,14.34M,,424.67M,113.52M,311.15M,,,,,311.15M,300.65M,512.14M,64.34M,447.81M,,0.505,0.00,,0.4880,0.505,,0.48,0.00,,0.4640,0.48,,618.94M,655.47M,0.015,,,
2007-03,2.522B,2.522B,1.382B,1.140B,645.82M,123.96M,,,,,,,769.79M,370.12M,,,,,,344.41M,92.80M,251.62M,3.188M,,,,254.80M,251.62M,433.16M,63.05M,370.12M,,0.405,0.005,,0.405,0.41,,0.385,0.005,,0.385,0.39,,619.34M,655.90M,0.01,,,
2006-12,2.625B,2.625B,1.446B,1.180B,627.79M,109.83M,,0.00,,,,0.00,737.62M,442.21M,,,,0.00,,370.84M,97.62M,320.01M,3.708M,,,,323.72M,320.01M,505.34M,63.13M,442.21M,,0.52,0.005,,0.52,0.525,,0.495,0.005,,0.495,0.50,,617.79M,654.44M,0.01,,,
2006-09,2.408B,2.408B,1.319B,1.089B,584.56M,118.68M,,0.762M,,,,-0.762M,702.48M,386.62M,,,,0.762M,,361.09M,97.11M,263.98M,4.095M,,,,268.07M,263.42M,440.92M,54.30M,386.62M,,0.43,0.005,,0.4291,0.435,,0.41,0.005,,0.4091,0.415,,616.69M,651.48M,0.01,,,
2006-06,2.350B,2.350B,1.318B,1.032B,666.45M,,,15.62M,,,,-15.62M,650.83M,381.28M,,,,15.62M,,367.80M,53.27M,314.52M,,,,,314.52M,301.17M,433.18M,51.90M,381.28M,,0.51,0.00,,0.4883,0.51,,0.49,0.00,,0.4694,0.49,,615.72M,648.01M,0.01,,,
2006-03,2.144B,2.144B,1.227B,916.69M,619.62M,,,,,,,,619.62M,297.07M,,,,,,289.11M,73.39M,215.72M,,,,,215.72M,215.72M,343.44M,46.37M,297.07M,,0.35,0.00,,0.35,0.35,,0.335,0.00,,0.335,0.335,,613.68M,648.09M,0.01,,,
2005-12,2.151B,2.151B,1.219B,931.54M,208.26M,,,-13.93M,,,,13.93M,596.50M,335.04M,,,,-13.93M,,328.66M,89.15M,239.51M,,,,,251.70M,249.66M,376.65M,41.62M,335.04M,,0.39,0.02,,0.4066,0.41,,0.37,0.02,,0.3856,0.39,,613.02M,650.38M,0.01,,,
2005-09,1.966B,1.966B,1.119B,847.87M,523.61M,,,-4.577M,,,,4.577M,528.19M,319.68M,,,,-4.577M,,313.53M,84.71M,228.82M,,,,,228.82M,232.16M,363.18M,43.50M,319.68M,,0.37,0.00,,0.3754,0.37,,0.35,0.00,,0.3551,0.35,,619.18M,657.25M,0.01,,,
2005-06,1.929B,1.929B,1.079B,849.60M,537.16M,,,8.576M,,,,-8.576M,528.58M,321.02M,,,,8.576M,,315.89M,86.87M,229.02M,,,,,229.02M,222.80M,365.41M,44.39M,321.02M,,0.37,0.00,,0.3600,0.37,,0.35,0.00,,0.3405,0.35,,619.28M,657.45M,0.0075,,,
2005-03,1.826B,1.826B,1.051B,775.18M,508.68M,,,5.335M,,,,-5.335M,503.35M,271.84M,,,,5.335M,,259.66M,71.41M,188.26M,,,,,188.26M,184.39M,317.57M,45.74M,271.84M,,0.305,0.00,,0.2988,0.305,,0.29,0.00,,0.2841,0.29,,619.76M,658.78M,0.0075,,,
2004-12,1.980B,1.980B,1.144B,835.70M,521.74M,,,2.041M,,,,-2.041M,519.70M,316.00M,,,,2.041M,,304.52M,86.79M,217.73M,,,,,217.73M,216.27M,354.89M,38.89M,316.00M,,0.35,0.00,,0.3476,0.35,,0.335,0.00,,0.3328,0.335,,618.99M,658.16M,0.0075,,,
2004-09,1.745B,1.745B,1.005B,739.99M,452.13M,,,4.054M,,,,-4.054M,448.07M,291.92M,,,,4.054M,,280.83M,80.04M,200.79M,,,,,200.79M,197.89M,333.00M,41.08M,291.92M,,0.325,0.00,,0.3203,0.325,,0.31,0.00,,0.3056,0.31,,618.25M,655.93M,0.0075,,,
2004-06,1.621B,1.621B,935.54M,685.71M,414.83M,,,1.36M,,,,-1.36M,413.47M,272.24M,,,,1.36M,,260.33M,78.10M,182.23M,,,,,182.23M,181.28M,310.49M,38.25M,272.24M,,0.295,0.00,,0.2935,0.295,,0.28,0.00,,0.2785,0.28,,617.66M,654.54M,0.0075,,,
2004-03,1.543B,1.543B,911.93M,631.26M,406.98M,,,0.686M,,,,-0.686M,406.30M,224.97M,,,,0.686M,,212.04M,66.79M,145.24M,,,,,145.24M,144.77M,262.88M,37.91M,224.97M,,0.235,0.00,,0.2342,0.235,,0.225,0.00,,0.2243,0.225,,616.80M,652.97M,0.0062,,,
